-0.0178926+0.0970079j 0.0162983-0.172165j 0.0115577-0.0294515j -0.0266909-0.243434j -0.0228811-0.560943j 0.00551644+0.374864j -0.0137854-0.33996j 0.0565369-0.242096j 0.0434161-0.0247873j 0.038153-0.0102824j -0.000557549-0.0953148j -0.136747+0.0283734j 0.0967413+0.0016872j -0.161263+0.0123345j -0.00854632-0.0286356j 0.102372-0.0623517j -0.0501874+0.0171677j 0.00528893-0.0589227j 0.0306438+0.0751687j 0.0853704-0.0765541j -0.0160101+0.0218712j 0.07005+0.0117654j -0.0251068-0.0539026j 0.0118119+0.110723j -0.00754445+0.0549808j -0.0255367-0.0725114j -0.0383456-0.0374174j -0.0079285-0.11282j -0.0326628-0.00633721j 0.0790958+0.0413761j -0.037607-0.0177656j -0.0902601-0.0476528j -0.135491+0.023999j -0.00220961-0.107757j 0.120912+0.010806j 0.0036291-0.110038j 
0.0228214+0.0899731j -0.00642717-0.0398755j -0.0230146+0.0737276j 0.00100573-0.105396j -0.0131714+0.016519j 0.016535+0.015988j 0.0105377-0.0838414j 0.0757158-0.0169169j -0.0069884+0.0438434j -0.0799691+0.0535371j -0.0632057-0.00463891j -0.0331381-0.00552898j 0.00818492+0.0141298j 0.00493995-0.0489495j -0.0238084+0.0143914j 0.0565717+0.0112103j -0.0393613+0.0278342j 0.0330266+0.145863j 0.0993218+0.0228146j 0.0119032+0.0187646j -0.02183-0.0246432j 0.0228328-0.0520466j -0.0289184+0.0544499j -0.0304412+0.0865962j 0.0391947+0.0877845j 0.0682991-0.0311397j -0.0446521-0.000447484j 0.285947+0.124841j 0.0197823+0.148178j 0.0209838-0.0176433j 0.0471944+0.0405895j 0.0182362-0.204979j 0.230701-0.178856j 0.124998-0.165621j -0.0136495+0.126254j 0.208547+0.128061j 
0.0209952-0.00100295j 0.00870552-0.0125349j 0.00174463+0.0895782j -0.00871003-0.0301066j -0.03038-0.0705873j 0.00724303+0.0240199j -0.0265254+0.106775j 0.108137+0.079025j -0.034018+0.0513997j -0.111413+0.124669j -0.184626-0.0567599j -0.111301+0.027353j -0.0196964+0.087149j -0.00827228-0.0139484j -0.0311742-0.0568911j 0.0238604-0.0466041j 0.00279626+0.00104589j 0.0311167+0.154098j 0.189411+0.0258899j 0.0551557+0.0634608j -0.0152674-0.0298203j 0.0480449-0.111485j 0.0199324+0.0385004j -0.0458925+0.0582891j -0.0989523+0.261742j -0.00754582+0.0455075j 0.158059+0.0933827j -0.07612-0.152605j 0.0614359+0.00204233j -0.107106+0.0195555j 0.276349+0.103557j -0.138698+0.211341j -0.0347787+0.0118073j 0.0220552-0.0558549j -0.00305986-0.0192756j -0.0361863-0.0236525j 
0.0230358+0.0214313j 0.0271248-0.0263632j -0.0235281+0.0305928j -0.0128249-0.0411302j -0.0493534+0.050241j 0.0218387-0.00431876j 0.00197047+0.00758822j 0.068115+0.0139476j -0.00188546+0.0140907j -0.0365629+0.0270115j -0.0424799-0.00485424j -0.0275232+0.0651275j -0.0408548+0.00165903j 0.018293-0.0161681j -0.00423712+0.0123831j 0.0266415-0.00210207j -0.0113648+0.0158271j -0.0164464+0.0930576j 0.081723+0.0475992j 0.0247107+0.0490591j -0.0238661-0.00509244j 0.00739352-0.0147032j -0.0544958-0.0229478j 0.0665966-0.0162448j -0.305128-0.127365j -0.0750496-0.0737011j -0.0794112+0.251829j 0.107404+0.0176084j -0.0599281+0.0152438j -0.0228179-0.0982803j -0.223252+0.284376j -0.17381-0.108958j -0.0261635+0.0365536j 0.076887+0.13461j -0.0579302-0.0585543j -0.0660007-0.0333589j 
0.0362652+0.0737076j -0.0193619+0.0181039j -0.00834435+0.102794j 0.0418262+0.0374623j 0.0525591-0.0308175j -0.0486899-0.0467729j -0.00904682+0.0212769j 0.0739329+0.0110829j -0.0755813+0.0573954j -0.108365-0.0439247j -0.0231425+0.0901097j 0.0756058-0.123783j 0.134074+0.0416914j -0.0115418-0.0717905j -0.0395224-0.0497256j 0.0518815-0.0805116j 0.0445112+0.0257114j 0.049876+0.10279j 0.0516213-0.0115166j -0.0606821+0.0213371j 0.0420363-0.0194131j 0.0692923-0.153577j 0.0441374+0.207173j -0.00396521-0.202532j 0.0548322-0.10282j -0.326328-0.0957926j -0.152341-0.0986066j -0.0482881-0.0311456j 0.113202-0.143858j 0.148733-0.139669j 0.0246426-0.00530787j -0.0211455+0.00993427j -0.00652201+0.00214512j 0.0239214-0.0396589j 0.00857281+0.00888222j 0.0136925+0.00525471j 
0.0306591+0.023402j -0.0532301-0.0310348j 0.0430288+0.000741691j -0.0166458+0.0208354j -0.0219341+0.0114295j -0.0166123-0.00865814j 0.0315132-0.0488606j 0.052415-0.119832j 0.00550795-0.0264694j 0.0730672-0.0137599j 0.0138999+0.0516623j 0.0774461+0.0862094j 0.000214504-0.0100375j 0.0489362+0.0630747j 0.0693112-0.00619645j -0.037351+0.0282926j 0.0148181+0.0520372j 0.0757847+0.056743j -0.00919425+0.0298511j -0.0634921+0.178839j -0.0143102-0.0319099j 0.18697+0.161874j -0.236058+0.0713074j -0.100817-0.163983j 0.0202734+0.134602j -0.0375081-0.116555j 0.256125-0.159809j 0.0706652-0.073118j 0.104971+0.0905586j 0.0895485+0.108179j -0.0644763+0.0832198j 0.00400891-0.025454j -0.0266554-0.00747601j 0.012664+0.0676924j -0.0216406-0.0220496j -0.0159607-0.0226458j 
0.0209188-0.0133025j -0.0183074+0.00628477j 0.0115016-0.00691211j -0.0452725+0.0474226j -0.0468226-0.0332957j 0.0404486-0.0411853j 0.0460393-0.0804526j -0.0580927-0.0554546j 0.0493807-0.0123379j 0.167961+0.0755725j 0.00348564+0.123512j -0.0313646+0.0437253j 0.0580296-0.0235991j -0.0487421+0.0178534j 0.0131811+0.0561721j -0.0294739+0.0212207j -0.0314768-0.0105335j 0.00988102-0.0770958j -0.0199268+0.0994358j 0.0176157+0.119408j 0.0217101-0.0970038j -0.00820244-0.00117472j 0.108456-0.0120081j -0.32769-0.0823335j -0.0792463+0.0526542j -0.172705+0.333163j 0.00673494+0.000162021j 0.0252832+0.0175196j -0.128832-0.090243j -0.115609-0.13891j 0.0113615+0.0448087j 0.0279653-0.0295748j 0.0408132+0.000789806j -0.0175312-0.0257901j 0.0104359+0.0248329j 0.0203815+0.0368712j 
-0.0510024+0.0493561j -0.0661781-0.00787447j -0.11283+0.0478172j 0.00858016-0.0880568j -0.0161846+0.00385477j -0.00198861+0.0151965j -0.115194+0.06345j 0.114801+0.0802144j -0.0329528-0.0418651j -0.0591417-0.176032j 0.0439675+0.00483265j 0.0831073-0.00834512j 0.00216135-0.00604004j 0.0392992+0.0597709j 0.0311778+0.01919j -0.0424707+0.00921444j -0.0676266+0.0676122j 0.0781933-0.0359429j -0.0350522-0.165838j 0.144787+0.187166j -0.243929-0.033976j -0.00547379+0.0379558j -0.0979696+0.163583j -0.193836+0.227533j 0.0496849-0.0262133j 0.0796752+0.074051j -0.143845-0.0737749j -0.0557309+0.00256244j 0.0319732-0.0270674j 0.00709485-0.0356142j -0.0022659+0.0399678j -0.0596118-0.0181435j -0.0214021-0.00342118j 0.0141568+0.0543491j -0.0127091-0.0236081j -0.0131586-0.0147596j 
-0.0229164+0.0642468j 0.0182074-0.0641116j -0.119884+0.0668511j 0.00263829-0.0289297j -0.0706254-0.0485174j -0.141477+0.084422j -0.034319-0.0228215j 0.0802665+0.175594j -0.11271-0.13016j 0.035733+0.0346705j -0.0641608+0.0460118j -0.100653+0.0498353j 0.0378426-0.0340662j -0.0764853+0.00969899j -0.0731022+0.00200229j -0.0339825-0.0668347j -0.123394-0.137841j 0.0447028-0.024335j -0.0682092-0.147455j -0.122312+0.040009j 0.0771922-0.172745j -0.244962+0.125232j -0.187994-0.0576196j -0.00984249-0.139306j -0.0567564+0.0131465j -0.0469348-0.0621542j 0.0325874+0.117072j -0.0188261+0.0686694j 0.0145329-0.00740924j -0.00130981-0.00255209j 0.0161805-0.0407924j 0.0230378+0.0522805j 0.0200037-0.00553769j -0.0155089-0.0613492j 0.01312+0.0390135j 0.0209337+0.0344399j 
-0.093023-0.0693734j 0.032036-0.0575265j 0.0569404-0.117038j 0.152903-0.0943713j -0.0113618-0.0397492j 0.123884+0.0165928j -0.0741541+0.0205635j 0.0806344+0.0978306j 0.134531+0.169589j 0.0238413-0.0257257j -0.0268829+0.0181236j -0.0885137-0.00226424j 0.0491654+0.0112463j -0.00209813+0.0557675j 0.0981497+0.116155j 0.0115472+0.0468879j -0.0117614+0.291948j -0.00612225+0.00148932j -0.124854-0.0293743j -0.16395+0.065346j -0.27671+0.0586668j -0.0185565+0.0750838j 0.0576564-0.0534525j 0.0834535-0.0945177j -0.0464917+0.00208822j -0.082724-0.0242875j 0.0660276+0.0984955j 0.00473472+0.050226j -0.0181662-0.0303913j -0.016468-0.0207205j 0.0152664-0.0595404j 0.042088+0.0643893j 0.0132135+0.00467493j -0.0101639-0.0600044j 0.00924356+0.0332603j 0.0145626+0.0247757j 
-0.0156844-0.116748j 0.0677844-0.00651554j 0.0730026-0.0981561j 0.159753+0.0934244j 0.0349621-0.015528j 0.014121+0.0501836j 0.0116917-0.0886038j -0.204461+0.0840496j -0.0395832+0.0419672j 0.124013-0.0220747j 0.0148605-0.0126595j 0.0311946-0.0276916j -0.00415355+0.0232285j -0.0711269+0.00367374j 0.0178263+0.0376295j 0.00965055-0.0453911j -0.106865+0.0782787j 0.0464389+0.0489956j 0.223847-0.122501j -0.174144-0.0547274j -0.0616728-0.247659j -0.038689-0.128756j -0.023225-0.126097j -0.0437967-0.0254331j 0.034864-0.0180633j 0.0495765+0.0409754j -0.0414085-0.0989193j -0.0297726-0.0743835j 0.0165537+0.0771714j 0.0213552+0.0359745j -0.0224225+0.0282313j -0.0441695-0.0728423j 0.00141005-0.00529496j 0.0078937+0.0754819j -0.0235114-0.0418841j -0.0119649+0.000636245j 
0.121957-0.0535857j -0.00237203+0.0385719j 0.117796+0.086287j -0.0273526+0.117238j -0.0114597+0.0435732j -0.0543672+0.111899j -0.0047382+0.0201378j 0.0247564-0.0278302j -0.183382+0.0322887j -0.00957358-0.00400668j 0.0141552-0.0197233j 0.0534881-0.0143802j -0.0465358+0.0422009j 0.00532052+0.0038395j -0.0274862+0.0808892j -0.0250986+0.0439141j -0.313065+0.061902j -0.103321+0.0102319j -0.0586176+0.107218j 0.00469439-0.153903j -0.0559633-0.217205j 0.0828082+0.15377j 0.0695528+0.183799j 0.0494393+0.0730606j 0.00236847+0.001157j -0.0218374-0.0270033j 0.0198988+0.0542108j 0.0273059+0.0203071j -0.00698288-0.0356547j -0.00386203-0.0133296j 0.0194005-0.0138445j 0.00491794+0.0277078j -0.0134805-0.00147143j -0.0141173-0.00902174j 0.00958549-0.00874662j -0.00564315-0.0195711j 
