-0.00386969-0j -0.000644948-0j -0.000394948-0j -8.06184e-05-0j -4.75049e-06-0j -0.00348605-0j -0.000562559-0j -0.000459328-0j -6.62982e-05-0j -5.74159e-05-0j -6.76653e-06-0j -3.08849e-07-0j -0.00224318-0j -0.00226642-0j -0.000354678-0j -0.000358353-0j -0.000280397-0j -0.000186931-0j -0.000283303-0j -4.04719e-05-0j -0.000188869-0j -4.08913e-05-0j -4.67329e-05-0j -1.65226e-05-0j -4.72172e-05-0j -3.89441e-06-0j -1.66938e-05-0j -4.13064e-06-0j -3.93476e-06-0j -4.17345e-06-0j -3.4422e-07-0j -3.47787e-07-0j -1.28283e-08-0j -1.29613e-08-0j 0.578901-0j 0.716353-0j 0.417873-0j -0.000263532-0j -0.000326104-0j -0.000190227-0j -0.000204131-0j -2.94638e-05-0j -0.000186345-0j -0.000252599-0j -0.000147349-0j -3.64595e-05-0j -3.29415e-05-0j -0.00023059-0j -2.12681e-05-0j -2.1961e-05-0j -0.000134511-0j -2.74512e-06-0j -1.90188e-05-0j -4.0763e-05-0j -2.71753e-05-0j -3.88219e-06-0j -3.39692e-06-0j -2.37784e-05-0j -2.35345e-05-0j -1.9411e-06-0j -1.58523e-05-0j -2.2876e-07-0j -1.98153e-06-0j -1.37285e-05-0j -4.80397e-06-0j -2.80173e-07-0j -2.40198e-06-0j -2.80231e-06-0j -2.83076e-07-0j -1.80851e-08-0j -1.40116e-06-0j -3.46696e-07-0j -1.65128e-07-0j -5.69627e-10-0j -2.23792e-08-0j -2.0224e-07-0j -7.04877e-10-0j -1.30545e-08-0j -4.11178e-10-0j 
-5.23692e-07-0j -0.00241428-0j -5.34491e-08-0j -0.000299356-0j -0.0761583-0j -4.71774e-07-0j 1.45872e-05-0j 8.97388e-06-0j 0.0355397-0j 1.4888e-06-0j 0.00237764-0j -0.0258535-0j -3.03574e-07-0j -3.0672e-07-0j 9.19685e-06-0j 9.29215e-06-0j -3.79467e-08-0j 7.32946e-06-0j -3.83399e-08-0j -0.000150282-0j 7.40542e-06-0j -0.000151839-0j -0.000174938-0j -2.23603e-09-0j -0.000176751-0j -0.197551-0j -2.2592e-09-0j -1.53381e-05-0j -0.199598-0j -1.5497e-05-0j -0.00551842-0j -0.00557561-0j -0.00326735-0j -0.00330121-0j -2.2876e-07-0j -2.83076e-07-0j -1.65128e-07-0j 6.83342e-06-0j 8.45593e-06-0j 4.93263e-06-0j -2.76254e-08-0j -0.000109406-0j 3.64063e-06-0j -3.41847e-08-0j -1.99411e-08-0j -0.000135383-0j 8.54178e-07-0j 4.50504e-06-0j -7.89735e-05-0j -0.000164986-0j 2.62794e-06-0j 0.000964589-0j 3.7157e-07-0j 1.05699e-06-0j -0.000204159-0j 0.00208108-0j 0.00119362-0j 6.16578e-07-0j 4.59794e-07-0j 5.03329e-08-0j -0.000119093-0j 0.52944-0j 0.000696277-0j 2.68213e-07-0j 0.0025752-0j 9.8448e-05-0j 6.22838e-08-0j 0.0015022-0j 0.655149-0j -0.00151389-0j 3.63322e-08-0j 0.000121823-0j 0.38217-0j -0.000340906-0j -0.00187335-0j 7.10635e-05-0j -0.00042185-0j -0.00109279-0j -0.000246079-0j 
-6.41389e-07-0j 1.53349e-05-0j -0.00119661-0j 0.0349894-0j 0.00204439-0j -5.77803e-07-0j 1.33759e-05-0j 1.46334e-05-0j -0.000149702-0j 0.0249549-0j -0.135493-0j 0.00033581-0j -3.718e-07-0j -3.75653e-07-0j 8.43315e-06-0j 8.52054e-06-0j 8.93297e-06-0j -3.09834e-08-0j 9.02555e-06-0j -9.13859e-05-0j -3.13044e-08-0j -9.23329e-05-0j -0.000213577-0j -0.000151762-0j -0.00021579-0j 0.00040571-0j -0.000153335-0j -0.170495-0j 0.000409915-0j -0.172262-0j -0.0284734-0j -0.0287684-0j 2.8043e-05-0j 2.83336e-05-0j -2.80173e-07-0j -3.46696e-07-0j -2.0224e-07-0j 6.26598e-06-0j 7.75375e-06-0j 4.52302e-06-0j 6.50326e-06-0j -6.65295e-05-0j -3.08862e-08-0j 8.04737e-06-0j 4.6943e-06-0j -8.2326e-05-0j -0.000150548-0j -3.82197e-08-0j -4.80235e-05-0j 5.22165e-07-0j -2.22948e-08-0j 0.000285981-0j -5.76231e-05-0j -0.000186294-0j 6.46146e-07-0j 0.00168492-0j 0.000353883-0j -0.000108671-0j -7.13049e-05-0j 0.00255766-0j 3.76919e-07-0j 9.8448e-05-0j 0.000206432-0j -4.15946e-05-0j 0.00208498-0j 0.533543-0j 0.00316494-0j 0.00121624-0j 0.000121823-0j -0.00377959-0j 0.00184622-0j 0.660226-0j 7.10635e-05-0j 2.18598e-06-0j -0.004677-0j 0.385132-0j 2.70501e-06-0j -0.00272825-0j 1.57792e-06-0j 
4.14015e-08-0j -1.65437e-06-0j -8.12188e-07-0j -0.00378419-0j 0.0314378-0j 3.7297e-08-0j -1.44303e-06-0j -4.69833e-07-0j 3.25506e-05-0j 2.83085e-05-0j 0.0454035-0j -0.0921971-0j 2.39996e-08-0j 2.42483e-08-0j -9.09792e-07-0j -9.1922e-07-0j -2.8681e-07-0j 1.99997e-09-0j -2.89783e-07-0j 1.98706e-05-0j 2.02069e-09-0j 2.00765e-05-0j 1.14607e-05-0j -5.1055e-08-0j 1.15795e-05-0j -0.000273327-0j -5.1584e-08-0j -0.000389809-0j -0.00027616-0j -0.000393848-0j -0.217787-0j -0.220044-0j -0.0242685-0j -0.02452-0j 1.80851e-08-0j 2.23792e-08-0j 1.30545e-08-0j -6.75992e-07-0j -8.36497e-07-0j -4.87957e-07-0j -2.088e-07-0j 1.44659e-05-0j 1.99369e-09-0j -2.58377e-07-0j -1.5072e-07-0j 1.79007e-05-0j 8.07853e-06-0j 2.46707e-09-0j 1.0442e-05-0j -5.63326e-08-0j 1.43912e-09-0j -0.000192665-0j -3.9111e-08-0j 9.99667e-06-0j -6.97081e-08-0j -0.000182228-0j -0.000238411-0j 5.83139e-06-0j -4.83974e-08-0j 1.43805e-06-0j -4.06631e-08-0j 0.00151389-0j -0.000139073-0j -2.82318e-08-0j -0.000225496-0j 0.00377959-0j 1.7795e-06-0j -0.000131539-0j 0.00187335-0j 0.516147-0j 1.03804e-06-0j 0.004677-0j 0.00109279-0j -0.00383903-0j 0.638699-0j 0.00272825-0j -0.00475056-0j 0.372575-0j -0.00277116-0j 
-1.30402e-09-0j 7.30378e-08-0j -1.33091e-10-0j -2.6272e-06-0j -0.00707934-0j -1.17475e-09-0j 6.37076e-08-0j -1.54786e-10-0j -2.16053e-06-0j 6.50213e-09-0j 5.27941e-05-0j 0.0655612-0j -7.55916e-10-0j -7.6375e-10-0j 4.01659e-08-0j 4.05821e-08-0j -9.44895e-11-0j -6.2993e-11-0j -9.54687e-11-0j -1.3189e-06-0j -6.36458e-11-0j -1.33257e-06-0j 5.29232e-09-0j -5.56785e-12-0j 5.34716e-09-0j 3.03851e-05-0j -5.62555e-12-0j -1.34609e-07-0j 3.07e-05-0j -1.36004e-07-0j -0.000512969-0j -0.000518285-0j -0.254919-0j -0.257561-0j -5.69627e-10-0j -7.04877e-10-0j -4.11178e-10-0j 2.9844e-08-0j 3.693e-08-0j 2.15425e-08-0j -6.8789e-11-0j -9.60166e-07-0j -6.27954e-11-0j -8.5122e-11-0j -4.96545e-11-0j -1.18814e-06-0j 3.73049e-09-0j -7.77054e-11-0j -6.93084e-07-0j 2.487e-09-0j -4.53281e-11-0j 2.14181e-05-0j -6.40903e-12-0j 4.61625e-09-0j 3.0775e-09-0j -1.26513e-07-0j 2.65036e-05-0j 2.69281e-09-0j -7.93077e-12-0j 2.19821e-10-0j 1.79521e-09-0j -0.000340906-0j 1.54604e-05-0j -4.62628e-12-0j -1.56552e-07-0j 2.18598e-06-0j 2.72015e-10-0j -9.13219e-08-0j -0.00042185-0j 0.00383903-0j 1.58676e-10-0j 2.70501e-06-0j -0.000246079-0j 0.498786-0j 0.00475056-0j 1.57792e-06-0j 0.617216-0j 0.00277116-0j 0.360043-0j 
0.0036458-0j 0.000607633-0j 0.000372098-0j 7.59542e-05-0j 4.47564e-06-0j 5.69043e-05-0j 9.18289e-06-0j 7.4978e-06-0j 1.08221e-06-0j 9.37225e-07-0j 1.10453e-07-0j 5.04147e-09-0j 0.0021134-0j -0.0020613-0j 0.000334157-0j -0.000325921-0j 0.000264174-0j 0.000176116-0j -0.000257663-0j 3.81303e-05-0j -0.000171775-0j -3.71905e-05-0j 4.40291e-05-0j 1.55666e-05-0j -4.29439e-05-0j 3.66909e-06-0j -1.51829e-05-0j 3.89166e-06-0j -3.57865e-06-0j -3.79574e-06-0j 3.24305e-07-0j -3.16311e-07-0j 1.20861e-08-0j -1.17882e-08-0j 0.00159257-0j 3.4144e-05-0j -0.0022394-0j 0.000248285-0j 5.32314e-06-0j -0.000349127-0j 0.000192321-0j 2.77591e-05-0j 0.000175564-0j 4.12328e-06-0j -0.000270433-0j 5.95145e-07-0j 3.10356e-05-0j 3.76403e-06-0j -3.90336e-05-0j 2.06904e-05-0j -0.00024687-0j 2.5863e-06-0j 1.79184e-05-0j 6.65392e-07-0j 4.43595e-07-0j 3.65758e-06-0j 5.54493e-08-0j -4.36409e-05-0j 3.84164e-07-0j 1.82879e-06-0j -2.9094e-05-0j 2.15525e-07-0j -3.63674e-06-0j -2.51961e-05-0j 7.84172e-08-0j 2.63963e-07-0j 3.92086e-08-0j -5.14313e-06-0j 4.62078e-09-0j 1.70387e-08-0j -2.57157e-06-0j 5.65928e-09-0j -3.03062e-07-0j 5.3667e-10-0j 3.65305e-10-0j -3.71174e-07-0j 1.1506e-11-0j -2.39592e-08-0j -7.54642e-10-0j 
-0.000562559-0j 0.00442087-0j -5.74159e-05-0j 0.00111694-0j 0.000132323-0j -8.78053e-06-0j 6.68107e-05-0j -1.15694e-06-0j 1.59144e-05-0j 6.81884e-06-0j 2.44491e-06-0j 1.86509e-07-0j -0.000326104-0j 0.000318066-0j 0.00243118-0j -0.00237126-0j -4.0763e-05-0j -2.71753e-05-0j 3.97583e-05-0j 0.000560722-0j 2.65055e-05-0j -0.000546902-0j 0.000320336-0j -2.40198e-06-0j -0.000312441-0j 8.12164e-05-0j 2.34278e-06-0j 5.72285e-05-0j -7.92146e-05-0j -5.58179e-05-0j 9.58812e-06-0j -9.3518e-06-0j 5.36925e-07-0j -5.23691e-07-0j 0.0841582-0j 0.00180432-0j -0.11834-0j 0.00180641-0j 3.87288e-05-0j -0.0025401-0j -2.96757e-05-0j 0.000408209-0j -2.70901e-05-0j -6.36237e-07-0j 4.17287e-05-0j 8.75186e-06-0j 0.000225801-0j -5.80802e-07-0j -0.000574006-0j 0.000150534-0j 3.80929e-05-0j 5.72485e-05-0j -2.76487e-06-0j 4.8411e-06-0j 3.2274e-06-0j 5.37863e-05-0j 1.22739e-06-0j -0.000317512-0j -5.92778e-08-0j 1.33055e-05-0j -0.000211675-0j 6.37203e-06-0j -8.05004e-05-0j 3.88784e-06-0j 1.15316e-06-0j 5.8429e-06-0j 2.85265e-07-0j -7.5632e-05-0j 1.36614e-07-0j 6.30349e-07-0j -1.87096e-05-0j 1.2527e-07-0j -8.96008e-06-0j 2.78289e-08-0j 1.35145e-08-0j -8.21604e-06-0j 5.96642e-10-0j -8.8637e-07-0j -3.91318e-08-0j 
-0.000429662-0j -7.16103e-05-0j 0.00842883-0j 0.000855788-0j -5.27459e-07-0j -6.70624e-06-0j -1.08221e-06-0j 8.4479e-05-0j -1.2754e-07-0j 2.12302e-05-0j 1.24449e-06-0j -5.94143e-10-0j 0.0728469-0j -0.0710514-0j -3.93808e-05-0j 3.84102e-05-0j 0.0029765-0j -2.07555e-05-0j -0.00290313-0j -4.4937e-06-0j 2.02439e-05-0j 4.38294e-06-0j 0.000496083-0j 0.000529845-0j -0.000483856-0j -4.32406e-07-0j -0.000516785-0j 8.81545e-05-0j 4.21748e-07-0j -8.59817e-05-0j 3.654e-06-0j -3.56393e-06-0j -1.42436e-09-0j 1.38926e-09-0j -0.000187686-0j -4.02391e-06-0j 0.000263916-0j 0.00855816-0j 0.000183484-0j -0.0120341-0j 0.00216691-0j -3.27144e-06-0j -2.06904e-05-0j 4.64577e-05-0j -0.00304701-0j -7.01385e-08-0j 0.000349683-0j -4.43595e-07-0j 4.60016e-06-0j -2.43839e-06-0j 2.9094e-05-0j -3.04798e-07-0j 0.000405891-0j 7.49708e-06-0j -5.22781e-08-0j 4.12106e-05-0j -6.53477e-09-0j -0.00049171-0j 8.70216e-06-0j 6.22469e-05-0j 3.42876e-06-0j -2.53999e-08-0j 4.28594e-07-0j -0.000570747-0j 8.8354e-07-0j 5.97934e-06-0j 1.33455e-06-0j -5.79485e-05-0j -5.44564e-10-0j 1.91978e-07-0j -8.75289e-05-0j 1.28195e-07-0j 3.57162e-08-0j -6.32472e-11-0j 4.11595e-09-0j -8.40789e-06-0j -1.356e-12-0j -2.69952e-07-0j 8.89355e-11-0j 
6.20163e-05-0j -0.000985047-0j 6.32951e-06-0j 0.00574354-0j 0.00208892-0j 9.67962e-07-0j -1.48866e-05-0j 1.2754e-07-0j 8.18354e-05-0j -1.51936e-06-0j 2.55959e-05-0j 3.93539e-06-0j -0.0105145-0j 0.0102554-0j -0.000541709-0j 0.000528357-0j 4.4937e-06-0j 2.9958e-06-0j -4.38294e-06-0j 0.00288335-0j -2.92196e-06-0j -0.00281229-0j -7.13765e-05-0j 2.64794e-07-0j 6.96172e-05-0j 0.000850259-0j -2.58267e-07-0j 0.000294281-0j -0.000829302-0j -0.000287028-0j 0.000151363-0j -0.000147632-0j 1.41813e-05-0j -1.38318e-05-0j 2.70901e-05-0j 5.80802e-07-0j -3.80929e-05-0j 0.117723-0j 0.00252394-0j -0.165537-0j 3.27144e-06-0j 0.0020991-0j 2.9864e-06-0j 7.01385e-08-0j -4.60016e-06-0j 4.50039e-05-0j -5.03125e-05-0j 6.40274e-08-0j -0.00295166-0j -3.35416e-05-0j -4.19935e-06-0j 0.000599338-0j 3.04798e-07-0j -1.07868e-06-0j -7.19121e-07-0j 0.000276581-0j 1.28496e-05-0j 7.07472e-05-0j 6.53477e-09-0j -2.96469e-06-0j 4.71648e-05-0j 0.000100592-0j -0.000842764-0j -4.28594e-07-0j 5.92979e-06-0j 6.11697e-05-0j -6.35619e-08-0j -0.000388916-0j 2.15666e-06-0j 1.33005e-05-0j 4.16882e-06-0j 1.31146e-06-0j -0.000141448-0j 8.82813e-07-0j 2.85158e-07-0j -8.60142e-05-0j 1.89272e-08-0j -1.87026e-05-0j -1.24137e-06-0j 
-0.000384301-0j 0.00924651-0j -3.92226e-05-0j -8.00627e-06-0j -4.71774e-07-0j 0.00145637-0j -9.67962e-07-0j 0.000114096-0j 1.64683e-05-0j -9.87922e-08-0j -1.16428e-08-0j -5.31418e-10-0j -0.000222771-0j 0.000217281-0j 0.0085522-0j -0.0083414-0j -2.78464e-05-0j 0.00537858-0j 2.71601e-05-0j -4.01929e-06-0j -0.00524601-0j 3.92022e-06-0j 0.000670002-0j -1.64087e-06-0j -0.000653488-0j 5.58335e-05-0j 1.60042e-06-0j -4.10217e-07-0j -5.44573e-05-0j 4.00106e-07-0j -3.41847e-08-0j 3.33421e-08-0j -1.27399e-09-0j 1.24259e-09-0j -0.000167871-0j -3.5991e-06-0j 0.000236053-0j -2.61715e-05-0j -5.61108e-07-0j 3.68013e-05-0j 0.00492212-0j 0.000710448-0j 0.0026716-0j 0.000105529-0j -0.00692128-0j 1.52317e-05-0j -3.27144e-06-0j 5.72782e-05-0j -0.000999001-0j 0.000631883-0j -0.00375669-0j -2.7262e-07-0j 0.000272669-0j -7.01385e-08-0j 1.35474e-05-0j 5.56584e-05-0j -5.84487e-09-0j 4.60016e-06-0j 5.84593e-06-0j -1.92771e-07-0j -0.000888527-0j 3.2797e-06-0j 3.83346e-07-0j -0.000383416-0j 1.19329e-06-0j -2.78242e-08-0j -4.13295e-09-0j -7.82644e-05-0j 7.03156e-08-0j -1.79604e-09-0j 2.71067e-07-0j -5.9654e-10-0j -4.61177e-06-0j -5.657e-11-0j -3.85065e-11-0j 3.91251e-08-0j -1.21284e-12-0j 2.52552e-09-0j 7.95463e-11-0j 
0.10205-0j -4.38521e-05-0j -2.68538e-05-0j -5.48152e-06-0j -3.23002e-07-0j -4.10672e-06-0j 0.000257039-0j -5.41107e-07-0j -7.81021e-08-0j -6.76384e-08-0j -7.97126e-09-0j -3.63837e-10-0j -0.000152521-0j 0.000148762-0j -2.41157e-05-0j 2.35213e-05-0j 0.00739453-0j -1.27101e-05-0j -0.00721227-0j 0.00106731-0j 1.23968e-05-0j -0.001041-0j -3.17752e-06-0j -1.12342e-06-0j 3.09921e-06-0j -2.64794e-07-0j 1.09573e-06-0j -2.80856e-07-0j 2.58267e-07-0j 2.73934e-07-0j -2.34047e-08-0j 2.28278e-08-0j -8.72241e-10-0j 8.50742e-10-0j -0.000114934-0j -2.46413e-06-0j 0.000161615-0j -1.79184e-05-0j -3.84164e-07-0j 2.51961e-05-0j -1.38795e-05-0j -2.00334e-06-0j 0.00491422-0j -2.97572e-07-0j 1.95168e-05-0j -4.29509e-08-0j 0.00086872-0j 0.000105359-0j 2.81701e-06-0j -1.4932e-06-0j -0.00691017-0j 7.23934e-05-0j -1.29315e-06-0j 1.86251e-05-0j -3.20137e-08-0j -2.63963e-07-0j 1.55209e-06-0j -0.00122156-0j -2.77247e-08-0j -1.31982e-07-0j 2.09968e-06-0j -1.55542e-08-0j -0.000101796-0j 1.81837e-06-0j -5.65928e-09-0j -1.90499e-08-0j -2.82964e-09-0j 3.71174e-07-0j -3.33476e-10-0j -1.22967e-09-0j 1.85587e-07-0j -4.08423e-10-0j 2.18716e-08-0j -3.87308e-11-0j -2.63636e-11-0j 2.67871e-08-0j -8.30375e-13-0j 1.7291e-09-0j 5.44616e-11-0j 
6.79355e-05-0j -0.000533871-0j -0.00133271-0j 0.0128955-0j -1.59795e-05-0j -0.000257452-0j -8.06816e-06-0j -1.33573e-05-0j -1.92185e-06-0j 0.000158276-0j 2.82275e-05-0j -2.25231e-08-0j 3.93808e-05-0j -3.84102e-05-0j 0.0712843-0j -0.0695273-0j -0.000470626-0j 3.28173e-06-0j 0.000459026-0j -6.77137e-05-0j -3.20085e-06-0j 6.60447e-05-0j 0.00369841-0j -8.37758e-05-0j -0.00360726-0j -9.80781e-06-0j 8.17109e-05-0j 0.00132836-0j 9.56607e-06-0j -0.00129562-0j 0.000110699-0j -0.00010797-0j -6.48398e-08-0j 6.32417e-08-0j 2.96757e-05-0j 6.36237e-07-0j -4.17287e-05-0j -0.000218145-0j -4.67695e-06-0j 0.000306746-0j 0.0831876-0j 0.011969-0j 3.27144e-06-0j 0.00178351-0j -0.116975-0j 0.000256612-0j 0.00260697-0j 7.01385e-08-0j -0.0168304-0j -1.81787e-05-0j -4.60016e-06-0j -6.91342e-06-0j -6.4177e-05-0j 5.58925e-05-0j -3.89746e-07-0j 0.000620985-0j -1.48221e-07-0j -0.00366581-0j -1.37593e-06-0j 0.000464065-0j 2.55622e-05-0j -7.69496e-07-0j 9.72135e-06-0j 9.0243e-05-0j 1.33137e-05-0j 0.000135623-0j 9.94939e-06-0j -0.000873202-0j -1.64977e-08-0j 7.27764e-06-0j -0.000652549-0j 2.90771e-06-0j 1.08203e-06-0j -3.36066e-09-0j 1.5603e-07-0j -0.000190707-0j -7.20513e-11-0j -1.02335e-05-0j 4.72561e-09-0j 
-5.66129e-06-0j 0.000135355-0j -5.77803e-07-0j -0.00160677-0j 0.018045-0j 2.14544e-05-0j 2.04556e-06-0j -1.16428e-08-0j -2.28937e-05-0j 2.08774e-07-0j 0.000107803-0j 5.13548e-05-0j -3.28173e-06-0j 3.20085e-06-0j -0.018073-0j 0.0176276-0j -4.10217e-07-0j -2.73478e-07-0j 4.00106e-07-0j -0.000806627-0j 2.66737e-07-0j 0.000786745-0j 9.80781e-06-0j -2.41722e-08-0j -9.56607e-06-0j 0.00358105-0j 2.35765e-08-0j -8.2326e-05-0j -0.00349278-0j 8.02968e-05-0j 0.00130754-0j -0.00127532-0j 0.000247525-0j -0.000241424-0j -2.47298e-06-0j -5.30197e-08-0j 3.47739e-06-0j 5.53073e-05-0j 1.18577e-06-0j -7.77708e-05-0j 7.25097e-05-0j 0.142579-0j -2.7262e-07-0j 1.55458e-06-0j -0.00010196-0j 0.00305684-0j 6.91342e-06-0j -5.84487e-09-0j -0.200489-0j 4.60894e-06-0j 3.83346e-07-0j 0.00252424-0j -2.78242e-08-0j 1.48221e-07-0j 9.88141e-08-0j -7.73742e-05-0j 5.41188e-05-0j -9.72135e-06-0j -5.9654e-10-0j 4.07377e-07-0j -6.4809e-06-0j 0.000868961-0j -0.00354948-0j 3.91251e-08-0j -1.65888e-06-0j 0.000257629-0j 8.73401e-09-0j 0.0001088-0j 1.86302e-05-0j 0.000173565-0j -5.72836e-07-0j 5.52347e-06-0j -0.0012219-0j 1.92948e-05-0j 3.72117e-06-0j -0.000362267-0j 4.13673e-07-0j -0.000244059-0j -2.71315e-05-0j 
-0.0119957-0j 0.0703564-0j 6.32951e-06-0j -0.000123131-0j -1.45872e-05-0j 9.67962e-07-0j 0.00142463-0j -1.84122e-05-0j 0.000253272-0j -7.51707e-07-0j -2.69526e-07-0j -2.05607e-08-0j 3.59496e-05-0j -3.50635e-05-0j -0.000268013-0j 0.000261407-0j -0.000869207-0j -0.000867964-0j 0.000847783-0j 0.0119565-0j 0.000846571-0j -0.0116618-0j 0.00509802-0j 2.64794e-07-0j -0.00497237-0j 0.00129253-0j -2.58267e-07-0j -6.30885e-06-0j -0.00126067-0j 6.15335e-06-0j -1.05699e-06-0j 1.03094e-06-0j -5.91904e-08-0j 5.77315e-08-0j 2.70901e-05-0j 5.80802e-07-0j -3.80929e-05-0j -0.000199138-0j -4.26945e-06-0j 0.00028002-0j 3.27144e-06-0j -4.50008e-05-0j 0.0833922-0j 7.01385e-08-0j -4.60016e-06-0j -9.64802e-07-0j 0.00481486-0j 0.0017879-0j 6.32782e-05-0j 0.00480798-0j -0.117262-0j 0.00122073-0j -4.40018e-05-0j 0.000103229-0j 0.000103081-0j 0.000855987-0j 2.61721e-05-0j -0.00677045-0j -9.43383e-07-0j -1.46679e-06-0j -0.00676077-0j 0.000101408-0j -0.00171654-0j 6.18734e-05-0j 1.8352e-05-0j -6.44119e-07-0j -3.14475e-08-0j -0.00120365-0j 2.17416e-06-0j -6.94894e-08-0j 2.06254e-06-0j -1.38097e-08-0j -0.000142596-0j -3.06785e-09-0j -1.48983e-09-0j 9.05733e-07-0j -6.57736e-11-0j 9.77131e-08-0j 4.31388e-09-0j 
-0.00734583-0j 6.32951e-06-0j 0.0708523-0j -0.000152075-0j 4.66213e-08-0j 5.92753e-07-0j -1.85024e-05-0j -1.5012e-05-0j 1.12731e-08-0j 0.00017846-0j -2.21148e-07-0j 5.25153e-11-0j 2.20145e-05-0j -2.14719e-05-0j 3.4808e-06-0j -3.39501e-06-0j 0.102309-0j 1.83454e-06-0j -0.0997876-0j -7.68278e-05-0j -1.78933e-06-0j 7.49341e-05-0j -8.81545e-05-0j 0.00898594-0j 8.59817e-05-0j 3.82197e-08-0j -0.00876445-0j 0.000741023-0j -3.72777e-08-0j -0.000722758-0j -6.4932e-07-0j 6.33315e-07-0j 1.25897e-10-0j -1.22794e-10-0j 1.65892e-05-0j 3.55667e-07-0j -2.33271e-05-0j 2.5863e-06-0j 5.54493e-08-0j -3.63674e-06-0j -0.000385062-0j 2.89157e-07-0j -0.000353739-0j -8.2556e-06-0j 0.000541458-0j 6.19943e-09-0j 0.0120194-0j -7.58404e-06-0j -4.066e-07-0j 2.15525e-07-0j 0.000497413-0j -5.21107e-06-0j 0.0034119-0j 0.000257693-0j 4.62078e-09-0j -7.32317e-06-0j -1.11723e-07-0j -0.0169012-0j 7.31499e-05-0j 0.00105568-0j -3.03062e-07-0j 2.24505e-09-0j 7.32758e-06-0j -0.00479767-0j -1.57006e-07-0j 5.02621e-05-0j 2.26334e-05-0j 1.02975e-05-0j 4.81331e-11-0j -3.41148e-08-0j -0.00148445-0j 1.0776e-06-0j -3.1569e-09-0j 5.59031e-12-0j -7.31409e-10-0j -7.06763e-05-0j 1.19854e-13-0j 4.79708e-08-0j -7.86086e-12-0j 
3.58051e-05-0j -0.00172895-0j -0.000702402-0j -7.13157e-05-0j 4.39549e-08-0j 5.58853e-07-0j 9.01845e-08-0j 0.00203965-0j -3.07932e-06-0j -1.76918e-06-0j -1.03708e-07-0j 4.95119e-11-0j 2.07555e-05-0j -2.02439e-05-0j 3.28173e-06-0j -3.20085e-06-0j -0.000248041-0j 0.072092-0j 0.000241928-0j 3.74475e-07-0j -0.0703151-0j -3.65245e-07-0j 0.0119774-0j -4.41537e-05-0j -0.0116822-0j -1.044e-05-0j 4.30654e-05-0j -7.34621e-06-0j 1.01827e-05-0j 7.16514e-06-0j -3.045e-07-0j 2.96994e-07-0j 1.18697e-10-0j -1.15771e-10-0j 1.56405e-05-0j 3.35326e-07-0j -2.1993e-05-0j 2.43839e-06-0j 5.22781e-08-0j -3.42876e-06-0j -0.000180576-0j 2.7262e-07-0j -0.000499548-0j -3.87148e-06-0j 0.000253918-0j 5.84487e-09-0j -2.91403e-05-0j -1.07101e-05-0j -3.83346e-07-0j 0.00846947-0j 0.000702442-0j 2.53999e-08-0j 0.00979981-0j -6.24757e-07-0j 0.000181582-0j 0.000994985-0j 5.44564e-10-0j 4.09758e-05-0j 0.000210104-0j -5.18724e-06-0j -0.0119094-0j -6.13253e-07-0j -3.57162e-08-0j -0.0137801-0j 2.13321e-05-0j -4.98279e-07-0j -1.11213e-07-0j -0.00139911-0j -1.31479e-08-0j -1.59982e-08-0j 7.29408e-06-0j -1.06829e-08-0j 8.62329e-07-0j 5.2706e-12-0j -3.42996e-10-0j 7.00658e-07-0j 1.13e-13-0j 2.2496e-08-0j -7.41129e-12-0j 
0.00149946-0j 0.000123131-0j 0.000152075-0j 0.0686389-0j -0.000261115-0j -1.20995e-07-0j -0.000359935-0j 1.52419e-06-0j -1.02294e-05-0j -3.65045e-05-0j 0.000305888-0j -4.91924e-07-0j -4.4937e-06-0j 4.38294e-06-0j 6.77137e-05-0j -6.60447e-05-0j -0.0103876-0j -3.74475e-07-0j 0.0101315-0j 0.0697152-0j 3.65245e-07-0j -0.0679969-0j -0.000852994-0j 9.55956e-06-0j 0.00083197-0j -0.000106282-0j -9.32394e-06-0j 0.00707048-0j 0.000103663-0j -0.00689621-0j 0.00180888-0j -0.0017643-0j -1.77266e-06-0j 1.72897e-06-0j -3.38626e-06-0j -7.26002e-08-0j 4.76162e-06-0j 5.03125e-05-0j 1.07868e-06-0j -7.07472e-05-0j 3.90958e-05-0j -0.000262387-0j 7.22067e-05-0j 8.382e-07-0j -5.49748e-05-0j -5.62549e-06-0j 0.116302-0j 1.54809e-06-0j 0.000368958-0j 4.19271e-06-0j -0.000101534-0j 0.0144911-0j 7.32317e-06-0j 0.00249347-0j 8.98901e-08-0j 0.00330531-0j 0.000310684-0j -0.163538-0j 1.57006e-07-0j -0.000107031-0j -5.8956e-06-0j -1.2574e-05-0j -0.0203768-0j -1.02975e-05-0j 7.08648e-05-0j 0.00146968-0j -2.29471e-06-0j -0.00464779-0j -2.69582e-07-0j 0.00015895-0j 0.000150502-0j 3.15094e-05-0j 1.7681e-05-0j -1.10352e-07-0j 3.40782e-06-0j -0.0020666-0j -2.3659e-09-0j -0.000223508-0j 1.55172e-07-0j 
