-0.00322746-0j -0.000520828-0j -0.000425255-0j -6.13802e-05-0j -5.31568e-05-0j -6.26459e-06-0j -2.85938e-07-0j -0.00296745-0j -0.000469194-0j -0.000370931-0j -0.000247287-0j -5.35392e-05-0j -6.18218e-05-0j -2.18573e-05-0j -5.15181e-06-0j -5.46432e-06-0j -4.5536e-07-0j -1.69703e-08-0j -0.00193656-0j -0.00195662-0j -0.000301914-0j -0.000305042-0j -0.000233861-0j -0.000236285-0j -3.3755e-05-0j -0.000213485-0j -3.41048e-05-0j -0.000215698-0j -3.77392e-05-0j -2.51595e-05-0j -3.81303e-05-0j -3.14493e-06-0j -2.17887e-05-0j -2.54202e-05-0j -3.17752e-06-0j -2.20145e-05-0j -4.44761e-06-0j -2.2238e-06-0j -4.4937e-06-0j -2.62078e-07-0j -3.20978e-07-0j -2.24685e-06-0j -2.64794e-07-0j -3.24305e-07-0j -2.07191e-08-0j -2.09338e-08-0j -6.52589e-10-0j -6.59352e-10-0j 
6.86252e-06-0j 0.0204145-0j -8.64477e-05-0j 0.000580185-0j 0.00207043-0j -0.0173491-0j 2.79006e-05-0j 6.30966e-06-0j -9.50776e-05-0j 0.0145853-0j 5.25805e-07-0j -0.097888-0j 0.0011977-0j -1.34227e-05-0j 0.000149232-0j -0.00992775-0j -0.00253988-0j 2.48902e-06-0j 4.11768e-06-0j 4.16036e-06-0j -6.11798e-05-0j -6.18138e-05-0j -4.75404e-05-0j -4.8033e-05-0j 0.000319062-0j -8.78032e-05-0j 0.000322369-0j -8.87131e-05-0j -0.141422-0j -5.09832e-06-0j -0.142888-0j -0.0176211-0j -8.90495e-06-0j -5.15115e-06-0j -0.0178037-0j -8.99724e-06-0j -0.00401925-0j 0.000130149-0j -0.0040609-0j 1.529e-05-0j -0.00178713-0j 0.000131498-0j 1.54484e-05-0j -0.00180565-0j -0.000193282-0j -0.000195285-0j 1.34187e-07-0j 1.35578e-07-0j 
4.57501e-06-0j -7.03605e-05-0j -0.000174651-0j -0.112064-0j -7.18114e-06-0j 0.000120978-0j 1.86004e-05-0j 4.20644e-06-0j -6.33851e-05-0j 5.25805e-07-0j 0.0146106-0j 0.00033738-0j 0.00241972-0j 3.09834e-08-0j -0.0288245-0j 3.44337e-05-0j 1.77109e-05-0j 1.65935e-06-0j 2.74512e-06-0j 2.77357e-06-0j -4.07865e-05-0j -4.12092e-05-0j 3.31505e-07-0j 3.34941e-07-0j 0.000212708-0j -8.76776e-05-0j 0.000214913-0j -8.85862e-05-0j -5.09832e-06-0j -0.141668-0j -5.15115e-06-0j 6.07328e-05-0j -8.94856e-06-0j -0.143136-0j 6.13622e-05-0j -9.0413e-06-0j -0.00812012-0j -3.00421e-07-0j -0.00820427-0j -0.00295328-0j 6.19852e-06-0j -3.03535e-07-0j -0.00298389-0j 6.26275e-06-0j 1.34778e-06-0j 1.36175e-06-0j 8.94582e-08-0j 9.03852e-08-0j 
-4.04378e-07-0j -0.0024185-0j -5.32814e-08-0j -0.000211013-0j 1.27612e-06-0j 0.00203798-0j -0.0221602-0j -3.718e-07-0j 1.12638e-05-0j 8.98957e-06-0j -3.09834e-08-0j 0.0356018-0j 1.48413e-06-0j -2.73857e-09-0j 0.00167597-0j -1.87852e-05-0j -0.00675866-0j -0.00400167-0j -2.42637e-07-0j -2.45151e-07-0j 7.24794e-06-0j 7.32305e-06-0j -2.93012e-08-0j -2.96048e-08-0j -0.000116043-0j 5.17385e-06-0j -0.000117245-0j 5.22747e-06-0j -0.000175244-0j 6.03995e-07-0j -0.00017706-0j -0.197896-0j -2.72998e-09-0j 6.10254e-07-0j -0.199947-0j -2.75827e-09-0j -1.529e-05-0j 5.33861e-08-0j -1.54484e-05-0j -0.00388988-0j 0.00010442-0j 5.39394e-08-0j -0.00393019-0j 0.000105502-0j -0.00160573-0j -0.00162237-0j -0.000361586-0j -0.000365333-0j 
5.60322e-06-0j -4.26347e-05-0j 0.0204862-0j 0.00146611-0j -0.0795419-0j 0.000299886-0j -1.19019e-07-0j 5.15181e-06-0j -3.8408e-05-0j -0.000123779-0j -0.000124385-0j -8.85833e-06-0j -0.140425-0j 0.00210288-0j 0.000185227-0j -0.0165266-0j 2.91148e-05-0j -8.48238e-09-0j 3.36208e-06-0j 3.39692e-06-0j -2.47145e-05-0j -2.49706e-05-0j -7.80391e-05-0j -7.88478e-05-0j -5.58493e-06-0j -5.35061e-05-0j -5.6428e-06-0j -5.40605e-05-0j 0.000593797-0j 0.000596705-0j 0.00059995-0j -7.83247e-07-0j -0.0998241-0j 0.000602888-0j -7.91364e-07-0j -0.100859-0j -0.0204193-0j -0.010088-0j -0.0206309-0j 1.25855e-05-0j -0.00146127-0j -0.0101925-0j 1.27159e-05-0j -0.00147642-0j 1.65765e-06-0j 1.67483e-06-0j -3.80742e-10-0j -3.84688e-10-0j 
1.40081e-06-0j 2.26054e-07-0j -7.11379e-05-0j 2.66407e-08-0j 0.00256599-0j -1.04796e-06-0j 1.24105e-10-0j 1.28795e-06-0j 2.03643e-07-0j -6.20504e-05-0j 1.07329e-07-0j 2.32375e-08-0j -1.03417e-05-0j -0.202094-0j 2.23603e-09-0j 0.000263774-0j -7.61741e-08-0j 7.36557e-12-0j 8.40519e-07-0j 8.49229e-07-0j 1.31039e-07-0j 1.32397e-07-0j -3.91211e-05-0j -3.95265e-05-0j 1.46506e-08-0j 9.26585e-08-0j 1.48024e-08-0j 9.36187e-08-0j -6.31313e-06-0j 1.09199e-08-0j -6.37856e-06-0j 1.36499e-09-0j 0.00105179-0j 1.10331e-08-0j 1.37913e-09-0j 0.00106269-0j -7.4401e-07-0j -0.0205614-0j -7.5172e-07-0j 1.13749e-10-0j 1.54943e-05-0j -0.0207745-0j 1.14928e-10-0j 1.56548e-05-0j -3.46595e-09-0j -3.50187e-09-0j 2.83242e-13-0j 2.86177e-13-0j 
-6.60346e-07-0j 1.52868e-05-0j -0.00120088-0j 0.0246989-0j -0.000299886-0j -0.0770219-0j 0.000383782-0j -6.07147e-07-0j 1.37713e-05-0j 7.2558e-06-0j 1.46589e-05-0j -0.000149232-0j 0.0250439-0j 1.2916e-06-0j -0.0956441-0j 0.00292755-0j -0.0231275-0j 4.57941e-05-0j -3.96224e-07-0j -4.0033e-07-0j 8.86143e-06-0j 8.95326e-06-0j 4.57457e-06-0j 4.62198e-06-0j -9.40869e-05-0j 6.30575e-06-0j -9.50619e-05-0j 6.3711e-06-0j -0.0001059-0j -0.00021395-0j -0.000106997-0j 0.000404438-0j -0.000123702-0j -0.000216167-0j 0.000408629-0j -0.000124984-0j -0.171103-0j -1.88512e-05-0j -0.172876-0j -0.0200992-0j -0.00793401-0j -1.90465e-05-0j -0.0203075-0j -0.00801623-0j -0.00265867-0j -0.00268622-0j 3.09144e-06-0j 3.12348e-06-0j 
-4.04378e-07-0j 6.21905e-06-0j 1.53885e-05-0j -3.41877e-05-0j 0.0351745-0j 0.0030883-0j -1.64406e-06-0j -3.718e-07-0j 5.6025e-06-0j 1.34227e-05-0j -3.09834e-08-0j -2.98204e-05-0j -0.000213202-0j 0.0143564-0j -8.79361e-06-0j -0.168662-0j 0.000452122-0j -1.46667e-07-0j -2.42637e-07-0j -2.45151e-07-0j 3.60506e-06-0j 3.64241e-06-0j 8.46263e-06-0j 8.55033e-06-0j -1.88009e-05-0j -2.67482e-08-0j -1.89958e-05-0j -2.70254e-08-0j -0.000130149-0j 3.00421e-07-0j -0.000131498-0j -5.36807e-06-0j -0.000151286-0j 3.03535e-07-0j -5.4237e-06-0j -0.000152854-0j 0.000715465-0j -0.139203-0j 0.000722879-0j -9.0097e-07-0j -0.0303615-0j -0.140645-0j -9.10307e-07-0j -0.0306761-0j 3.4406e-05-0j 3.47626e-05-0j -7.90706e-09-0j -7.989e-09-0j 
3.01405e-08-0j -1.16615e-06-0j -5.7332e-07-0j -0.00379747-0j -1.19019e-07-0j -0.000383782-0j -0.0745065-0j 2.77124e-08-0j -1.05054e-06-0j 3.46404e-09-0j -6.69085e-07-0j 2.29446e-05-0j 1.99829e-05-0j 2.04121e-10-0j 0.0455628-0j 2.34177e-06-0j 0.00263039-0j -0.0280229-0j 1.80851e-08-0j 1.82725e-08-0j -6.75992e-07-0j -6.82997e-07-0j 2.18398e-09-0j 2.20661e-09-0j 1.44659e-05-0j -2.87817e-07-0j 1.46158e-05-0j -2.90799e-07-0j -8.4499e-08-0j 1.63211e-05-0j -8.53746e-08-0j -0.000192665-0j -2.93752e-08-0j 1.64902e-05-0j -0.000194662-0j -2.96796e-08-0j -0.000275164-0j -4.97915e-09-0j -0.000278016-0j -0.218551-0j -1.96638e-05-0j -5.03075e-09-0j -0.220816-0j -1.98676e-05-0j -0.00539874-0j -0.00545469-0j -0.00383903-0j -0.00387881-0j 
4.12716e-08-0j -1.27612e-06-0j -1.04524e-06-0j 2.15364e-05-0j -0.0023808-0j 0.0399798-0j 0.00226171-0j 3.79467e-08-0j -1.14961e-06-0j -9.11718e-07-0j 3.16223e-09-0j 1.87852e-05-0j 2.91148e-05-0j 1.54892e-05-0j -0.000171053-0j 0.0350469-0j -0.132587-0j 0.000408419-0j 2.4764e-08-0j 2.50207e-08-0j -7.3974e-07-0j -7.47406e-07-0j -5.74812e-07-0j -5.80769e-07-0j 1.18436e-05-0j 2.72998e-09-0j 1.19663e-05-0j 2.75827e-09-0j 1.77732e-05-0j -6.1645e-08-0j 1.79574e-05-0j -0.00010442-0j 5.09321e-06-0j -6.22838e-08-0j -0.000105502-0j 5.14599e-06-0j -0.000299949-0j -0.000301948-0j -0.000303057-0j 0.000397009-0j -0.194812-0j -0.000305077-0j 0.000401123-0j -0.196831-0j -0.0315001-0j -0.0318266-0j 3.69042e-05-0j 3.72866e-05-0j 
-2.17521e-09-0j 1.01062e-07-0j 2.74012e-08-0j -2.85354e-06-0j -1.98256e-06-0j -0.00532381-0j 0.0340757-0j -1.99997e-09-0j 9.10424e-08-0j 2.39009e-08-0j -1.66664e-10-0j -2.48902e-06-0j -1.14687e-06-0j 4.25458e-09-0j 4.57941e-05-0j 4.8828e-05-0j 0.0552207-0j -0.0901748-0j -1.30518e-09-0j -1.3187e-09-0j 5.85833e-08-0j 5.91904e-08-0j 1.50688e-08-0j 1.5225e-08-0j -1.56926e-06-0j -1.43882e-10-0j -1.58552e-06-0j -1.45373e-10-0j -7.00108e-07-0j 4.88194e-09-0j -7.07363e-07-0j 2.79551e-05-0j 2.82259e-09-0j 4.93253e-09-0j 2.82448e-05-0j 2.85185e-09-0j 1.9768e-05-0j -1.24626e-07-0j 1.99729e-05-0j -0.000332427-0j -0.000548405-0j -1.25917e-07-0j -0.000335872-0j -0.000554088-0j -0.236061-0j -0.238507-0j -0.0259359-0j -0.0262047-0j 
5.93336e-11-0j -3.67876e-09-0j 7.81789e-12-0j 1.45642e-07-0j -3.75462e-10-0j -4.27533e-06-0j -0.00890805-0j 5.45536e-11-0j -3.31406e-09-0j 6.8192e-12-0j 4.54613e-12-0j 1.27037e-07-0j -4.36665e-10-0j 4.01825e-13-0j -3.5159e-06-0j 1.29657e-08-0j 7.43514e-05-0j 0.0751748-0j 3.56017e-11-0j 3.59706e-11-0j -2.1325e-09-0j -2.1546e-09-0j 4.29931e-12-0j 4.34386e-12-0j 8.00933e-08-0j 3.92472e-12-0j 8.09233e-08-0j 3.96539e-12-0j -2.66563e-10-0j -1.77709e-10-0j -2.69325e-10-0j -2.14629e-06-0j 4.00565e-13-0j -1.7955e-10-0j -2.16853e-06-0j 4.04716e-13-0j 1.05532e-08-0j -1.57074e-11-0j 1.06626e-08-0j 4.27922e-05-0j -2.19055e-07-0j -1.58702e-11-0j 4.32356e-05-0j -2.21325e-07-0j -0.000645477-0j -0.000652166-0j -0.269629-0j -0.272423-0j 
0.00306476-0j 0.000494574-0j 0.000403818-0j 5.82861e-05-0j 5.04773e-05-0j 5.9488e-06-0j 2.71524e-07-0j 4.88218e-05-0j 7.71941e-06-0j 6.10273e-06-0j 4.06849e-06-0j 8.80853e-07-0j 1.01712e-06-0j 3.59607e-07-0j 8.47601e-08-0j 8.99017e-08-0j 7.49181e-09-0j 2.79203e-10-0j 0.00183894-0j -0.00179361-0j 0.000286695-0j -0.000279628-0j 0.000222073-0j -0.000216599-0j 3.20534e-05-0j 0.000202724-0j -3.12634e-05-0j -0.000197727-0j 3.58368e-05-0j 2.38912e-05-0j -3.49535e-05-0j 2.9864e-06-0j 2.06904e-05-0j -2.33024e-05-0j -2.91279e-06-0j -2.01804e-05-0j 4.22341e-06-0j 2.11171e-06-0j -4.11931e-06-0j 2.48867e-07-0j 3.04798e-07-0j -2.05966e-06-0j -2.42733e-07-0j -2.97286e-07-0j 1.96747e-08-0j -1.91897e-08-0j 6.19693e-10-0j -6.04419e-10-0j 
-0.000469194-0j 0.00357008-0j -6.18218e-05-0j 0.0008504-0j 0.00036437-0j 0.000130646-0j 9.96627e-06-0j -7.47428e-06-0j 5.57225e-05-0j -9.34286e-07-0j -6.22857e-07-0j 1.28517e-05-0j 7.34209e-06-0j -5.50533e-08-0j 1.86147e-06-0j 1.31167e-06-0j 2.19759e-07-0j 1.23063e-08-0j -0.000281529-0j 0.000274589-0j 0.0020695-0j -0.0020185-0j -3.39978e-05-0j 3.31598e-05-0j 0.000467662-0j -3.10356e-05-0j -0.000456136-0j 3.02706e-05-0j 0.000258688-0j 0.000172459-0j -0.000252312-0j 6.55864e-05-0j -3.16756e-06-0j -0.000168208-0j -6.39699e-05-0j 3.08948e-06-0j 6.16199e-05-0j 1.52433e-05-0j -6.01011e-05-0j 7.30008e-06-0j 6.69389e-06-0j -1.48676e-05-0j -7.12015e-06-0j -6.5289e-06-0j 7.22155e-07-0j -7.04356e-07-0j 3.1882e-08-0j -3.10962e-08-0j 
-0.000354678-0j -5.72358e-05-0j 0.0044679-0j -6.74531e-06-0j 0.00112282-0j 6.58184e-05-0j -3.14229e-08-0j -5.65003e-06-0j -8.93348e-07-0j 6.75214e-05-0j -4.70836e-07-0j -1.01939e-07-0j 1.12536e-05-0j 1.20194e-05-0j -9.80908e-09-0j 1.99977e-06-0j 8.28904e-08-0j -3.23115e-11-0j 0.0728831-0j -0.0710867-0j -3.31785e-05-0j 3.23607e-05-0j 0.00245704-0j -0.00239648-0j -3.70946e-06-0j -2.34607e-05-0j 3.61803e-06-0j 2.28825e-05-0j 0.000396504-0j -2.76487e-06-0j -0.000386731-0j -3.45609e-07-0j 0.000460237-0j 2.69672e-06-0j 3.3709e-07-0j -0.000448894-0j 4.67284e-05-0j 7.05814e-05-0j -4.55766e-05-0j -2.88007e-08-0j 6.77994e-06-0j -6.88417e-05-0j 2.80909e-08-0j -6.61283e-06-0j 2.17683e-07-0j -2.12318e-07-0j -7.17156e-11-0j 6.99479e-11-0j 
5.11933e-05-0j -0.000787317-0j 6.74531e-06-0j 0.00432809-0j -8.03552e-05-0j 0.00135371-0j 0.000208134-0j 8.15511e-07-0j -1.22886e-05-0j 1.01939e-07-0j 6.79593e-08-0j 6.54085e-05-0j -1.61916e-06-0j 6.00681e-09-0j 1.9288e-05-0j 6.67573e-06-0j 3.43365e-06-0j 3.21701e-07-0j -0.0105198-0j 0.0102605-0j -0.000456392-0j 0.000445143-0j 3.70946e-06-0j -3.61803e-06-0j 0.00238016-0j 3.38626e-06-0j -0.00232149-0j -3.3028e-06-0j -5.7049e-05-0j -3.80327e-05-0j 5.56428e-05-0j 0.000679586-0j 3.45609e-07-0j 3.70952e-05-0j -0.000662835-0j -3.3709e-07-0j 0.000313613-0j -3.36164e-06-0j -0.000305883-0j 0.000114061-0j 6.93599e-05-0j 3.27879e-06-0j -0.000111249-0j -6.76504e-05-0j 1.50814e-05-0j -1.47096e-05-0j 1.00102e-06-0j -9.76343e-07-0j 
-0.000312796-0j -5.04773e-05-0j 0.00594988-0j 0.000858791-0j -5.15181e-06-0j -6.07147e-07-0j -2.77124e-08-0j 0.00145739-0j -7.87859e-07-0j -6.22857e-07-0j 0.000120306-0j -8.99017e-08-0j 1.49863e-05-0j -3.67022e-08-0j 1.24886e-06-0j -9.17555e-09-0j -7.64629e-10-0j -2.8496e-11-0j -0.000187686-0j 0.00018306-0j 0.00855816-0j -0.00834722-0j -2.26652e-05-0j 2.21066e-05-0j -3.27144e-06-0j 0.00298694-0j 3.19081e-06-0j -0.00291332-0j -3.65758e-06-0j 0.000706467-0j 3.56743e-06-0j -3.04798e-07-0j 0.000304853-0j -0.000689054-0j 2.97286e-07-0j -0.000297339-0j 6.22279e-05-0j -2.15525e-07-0j -6.06941e-05-0j 3.66682e-06-0j -3.11084e-08-0j 2.10213e-07-0j -3.57644e-06-0j 3.03416e-08-0j -2.00804e-09-0j 1.95854e-09-0j -6.32472e-11-0j 6.16883e-11-0j 
