0.00725717-0.0250729j 0.00838309+0.0359429j 0.00644839+0.0211535j -0.00541109+0.00832667j -0.00287127-0.00753865j -0.00668359-0.0183769j -0.00699277+0.0026362j 0.00403784+0.0107937j -0.0050017-0.00937803j 0.000952206+0.0120984j 0.000190181+0.0018761j -0.00453935-0.0123539j 0.00717628-0.006217j -0.00231572+0.00158625j -0.00464849-0.0103443j -0.00303204-0.0114275j 0.000312662+0.00887002j 0.00241915-0.00517576j 0.00356465+0.00124261j -0.00250505-0.0026692j -0.00217516-0.00576948j 0.000484052-0.00110756j 0.00121948-0.000365341j 0.00114688-0.00345512j 0.0028415+0.0106537j 0.00618748+0.000644396j 0.00428175+0.00410571j -0.00128209-0.00141j 0.000464701-0.00641697j -0.000932514-0.000640418j -0.00341455-0.000986016j 0.00733665+0.00642112j 0.00378469+0.000330177j 0.00489288+0.00162542j 0.00580271-0.00425303j 0.00332357-0.00122757j 0.00196123+0.00122715j 0.00535795-0.00204462j 0.00396092-0.00168077j 0.00199476+6.08379e-05j 0.00412896+0.00846185j 0.00264659+0.000884075j -0.000461433-0.000768751j 0.0106593+0.00560757j -0.0031502-0.0121353j -0.00440895-0.00946891j 0.00243394+0.000977802j 0.00298245+0.00338431j 0.000714814-0.00606949j 0.000353068+0.00324754j -0.0162027-0.0054259j -0.00915503-0.00505866j -0.013847-0.0135036j 0.00615647+0.00728067j 9.32719e-05-0.0143927j -0.00178214-0.0337488j 0.037575+0.0183944j 0.0208004+0.048087j 0.0290638-0.0294347j 0.0314548+0.0311201j 0.00287668+0.0465956j -0.00316699+0.0153474j -0.0123204+0.000197285j 0.00473186-0.0355194j -0.00387029-0.0280737j 0.00467145-0.00406225j 0.00393154-0.0423511j 0.0347106+0.0192807j 0.0109827-0.402536j 
-0.00198777+0.00581929j 0.00119524-0.0335738j -0.00158481-0.0369151j 0.00233808+0.00966311j -0.00405784-0.00863804j -0.00719727+0.00596168j -0.000495359+0.0537301j 0.00571404+0.014067j -0.00276076+0.0157925j 0.00270357-0.0106917j 0.00792762+0.000535813j 0.00719+0.00547864j -0.000261773-0.00558011j -0.00483257+0.0124283j 0.0051677+0.0348377j -0.00501592+0.00377871j 0.00221827+0.00486777j 0.00457455-0.00941969j 0.0101382+0.0128361j -0.00386296-0.00108579j 0.000429528-0.00695094j -0.00566921-0.0188181j 0.0103042+0.0293205j 0.00890579+0.0103257j -0.00765073-0.0232948j -0.00471537-0.0228801j -0.0142693+0.00681399j 0.0121358+2.18675e-05j 0.0114978-0.00373435j -0.00425055+0.00914362j 0.0223275+0.0165937j -0.0210001-0.00528012j 0.0119353-0.0116906j 0.0264069-0.00695984j 0.0100882+0.0209233j 0.0238849-0.0148762j 0.0101779-0.0311847j -0.0164863+0.00756864j 0.00154049+0.0045826j -0.00713348+0.0254642j 0.0130504+0.030621j -0.0259575-0.00413426j -0.00650349-0.0364678j 0.025907-0.0478543j -0.0161678+0.0172898j 0.0188585+0.0184842j -0.0526592-0.0238602j 0.0277906+0.0475879j 0.000517467-0.0510019j 0.0079804+0.0353168j -0.0131091-0.00366877j -0.00611064-0.013008j -0.0406674-0.00119925j 0.011367+0.0378736j 0.00820069+0.0531077j 0.0135635+0.050153j 0.00341584-0.196147j -0.0139658+0.183787j -0.0146276+0.102037j -0.00298163-0.0760521j 0.00776708+0.0714626j -0.0307074-0.00560196j -0.0307811+0.0649437j 0.00539374+0.0907365j 0.00349949-0.0855943j -0.0196236+0.0366792j 0.00372338-0.00896322j 0.00515779+0.221977j -0.00152399+0.163321j 
0.000716659-0.00339509j -5.19461e-05+0.0238841j 0.00291185+0.0223489j -0.00185227+0.011897j 0.00179452+0.0231618j -0.00120494+0.00817008j 0.000842777+0.0163739j 0.00137077-0.0300296j 0.00138129+0.0258266j -0.00377347+0.00856807j -0.00414393-0.00266916j -0.000833086+0.00331436j -0.00705882-0.0141722j -0.00158419+0.029288j 0.00438719+0.0125091j 0.00430715+0.0142788j -0.00239016-0.0210657j -0.000888456-0.026274j 0.0074285-0.0225555j -0.00361975+0.02116j -0.00175247-0.0237222j -0.00230642-0.0165796j 0.00128142-0.00671382j 0.000227016-0.0034177j -0.00167766+0.0102824j 0.00224049+0.0109708j 0.00604709-0.00269079j -0.00234976+0.0148183j 2.72496e-05+0.005726j 0.0041837+0.00318382j -0.00225414+0.0229741j 0.000647148-0.021882j -0.00241167+0.00462175j -0.0228686+0.00587824j -0.0488485-0.0196715j -0.0261555-0.0072214j 0.005178+0.0120393j -0.00460379-0.025719j -0.0106932-0.0106906j -0.0136174-0.0138484j 0.00520654-0.0213903j 0.00553949+0.0136685j 0.00730916-0.0188619j 0.00911376+0.0149751j 0.00599767+0.0151384j 0.00883022+0.0226414j 0.00531971-0.0689428j 0.0101034-0.0641449j 0.00147606-0.0152984j -0.00372046-0.0443712j 0.00860819+0.0574421j -0.00114133+0.0326121j 0.00116626+0.0178318j 0.00218278+0.0441657j -0.00481887+0.0380961j 0.00703436-0.0798019j -0.0117766+0.105959j 0.00577218-0.0181616j 0.0037963+0.00636481j 0.00823987-0.102329j -0.0155561-0.100098j -0.00318768-0.0285026j 0.00207881+0.0881907j -0.00135908-0.0120753j 0.00182279+0.11299j 0.000519421-0.00295722j -0.00588498+0.0159638j 0.00186276+0.2546j -0.00100539+0.5155j 
-0.000755507+0.0438679j -0.00296426+0.00286867j 0.00115717+0.0172956j -0.000572033-0.0214791j -0.00157413+0.0296339j -0.0022258+0.00903139j 0.000470401+0.00388293j 0.00702059-0.0208035j -0.00284195+0.00904527j 0.000670808-0.0208415j 0.00210599-0.00802865j 0.000866327+0.00663738j -0.00722072-0.0126624j 0.000256151+0.0280787j 0.00121731+0.01683j -0.000583004+0.0283515j -0.000537484-0.028634j -0.00355986-0.00255557j 0.0015418-0.00841811j -0.00406386+0.0331831j 0.000260454-0.0126739j -0.00609939-0.0432394j 0.00617189+0.00654785j 0.00106876+0.0109346j -0.00767175-0.0178163j 0.00427504+0.0235171j 0.0101637+0.0376422j 0.00504902+0.0226226j 0.00423698+0.0059005j -0.00186317+0.0149427j 0.01615-0.00326991j -0.00913411+0.0238801j 0.00226641+0.00996122j 0.0046808+0.0103325j 0.00295383+0.0156729j 0.0128039+0.00579912j 0.0149798-0.00662399j -0.0116024+0.0379401j 0.00135215+0.0394556j 0.00684942+0.0258849j -0.0191067-0.0448565j 1.34916e-05-0.0218501j -0.000509206-0.029207j 0.0129348-0.011681j 0.00920622+0.0314531j -0.0114297+0.0126995j -0.00754819-0.0420511j 0.000629968+0.0278514j 0.00380503+0.0104915j -0.0111795-0.0267723j -0.00887444+0.0313478j 0.00112008-0.0231479j -0.00245701-0.0136354j -0.00579101-0.00273848j 0.00853277-0.00616658j 0.0156623-0.122583j -0.00444985-0.0724084j 4.49027e-05+0.0739027j -0.00449597+0.109998j 0.012508+0.0962525j 0.00919817-0.0593883j -0.00339608-0.0507285j -0.00245783-0.0321468j 0.00424056+0.124799j -0.000227799+0.118772j -0.00796006-0.0212089j -0.00523913+0.0855357j -0.00106257-0.539117j 0.000537959+0.137294j 
-0.00518971-0.0322669j 0.00154161-0.0542345j 0.00306244+0.0795303j -0.00184543-0.0156352j -3.53838e-05+0.0578656j -0.00566677-0.00273181j 0.000376449-0.0215138j -4.84124e-05-0.00649939j 0.00140769-0.018339j -0.00437899-0.0562692j -5.57443e-05+0.0138173j 0.000723557+0.0382353j 0.000429356-0.0294881j 0.00843531+0.00320268j -0.00109987-0.0534454j 0.00451718+0.0453985j 0.000454827-0.0234262j -0.00189281-0.00358114j 0.00237242-0.0190396j -6.08624e-05+0.0506371j 0.00244457+0.00415652j 0.00505491+0.0309719j -0.00461604-0.0264528j 0.00328931+0.000450454j -0.00609874-0.00847777j 0.00477817-0.0161195j 0.0162885+0.0667658j -0.00364896+0.0206528j 0.00789196+0.030505j 8.55655e-06+0.0427704j 0.0147797+0.00449067j 0.00175031+0.0479377j 0.00282199+0.00263877j -0.0212101+0.0133312j -0.0286385-0.027276j 0.00252769-0.0326197j -0.0143695-0.0265379j 0.00726366+0.0262551j -0.00901423-0.00890194j -0.0145259+0.0569136j -0.00800601-0.00969271j 0.0110837+0.0137904j -0.0052931-0.0205935j -0.0238934-0.0701718j 0.0301384+0.00271586j 0.00318702+0.00419433j -0.0219953-0.0245959j 0.028584-0.0422498j -0.0189563+0.101888j 0.0208872-0.0572481j 0.00189522+0.0723049j -0.0212319+0.00316275j -0.0172348-0.000458409j 0.0118538+0.14203j 0.0215922-0.0520622j 0.00732472+0.0229659j 0.0117676-0.0321487j -0.0146007+0.0577442j -0.0140337-0.12426j 0.00598446+0.0145747j -0.00960004+0.0520128j 0.00459733-0.0817224j -0.00756603-0.101635j -0.0180933+0.00298681j 0.00535035+0.0973549j -0.00641166+0.172794j 0.00145036+0.025434j 0.002909+0.148131j -0.00501532-0.196882j 
-0.00143327+5.46897e-05j 0.000755703-0.0243681j -0.00235192-0.0146652j 0.00079673-0.00884964j -0.00283021+0.00931622j -0.00696403+0.021118j 0.00572806+0.0259872j 0.00648305-0.0324004j 0.00448842-0.0159485j 0.0016919-0.00377666j 0.00519432+0.013246j 0.00107944-0.0207237j -0.00207548+0.0051535j -0.00495433-0.0267402j 0.0095204+0.00571133j 0.00370127+0.0194205j -0.00282984-0.0335095j 0.000634137-0.0123711j 0.00686167-0.00305364j 0.00857724+0.0336955j -0.00656954-0.0349501j -0.0110121+0.00747403j 0.00181652+0.01931j 0.00778418-0.000347894j 0.00749835-0.000926084j -0.00052812-0.0083356j 0.0031466+0.0233289j 0.0208205+0.0126086j 0.00680578+0.00151863j 0.00523911+0.0245362j 0.00223593-5.5907e-05j -0.00716832+0.0073806j 0.00827135+0.0018911j -0.00980382+0.00714224j -0.0143578-0.0103759j -0.017337-0.0146103j -0.00870689-0.0138415j 0.00428998-0.00353505j 0.0043064+0.0219729j -0.0246667+6.79984e-05j 0.0228979+0.0504573j -0.0529409-0.0632107j 0.0157241-0.00856124j 0.0211755+0.023397j -0.0241031-0.0234461j 0.0533734+0.0259011j 0.00336032-0.0691099j 0.00275003+0.00946088j 0.033565-0.0865079j 0.0132483-0.0106567j -0.0126694-0.0350188j 0.00554596+0.0919815j -0.00378439+0.121046j -0.0162658+0.0875607j -0.00713742+0.0868591j 0.00602457+0.0286801j 0.00575037+0.038377j 0.0200664+0.0842028j 0.00295417-0.000154514j -0.0147858+0.0700625j -0.0108706+0.0342665j -0.0258899+0.149212j -0.00343433+0.00638307j -0.00418891+0.0516707j -0.0071323+0.169825j -0.00822464-0.0713009j -0.00320008-0.0118085j 0.00379427-0.0515921j -0.00286296-0.207448j 
-0.00144998+0.00285452j -1.33319e-05-0.00953782j -0.00172399-0.0195045j -0.0010101+0.0111723j 0.00600933-0.00728036j -0.00687188+0.062281j 0.00131117+0.0494416j -0.0083268+0.0450597j -0.00512986-0.0137433j -2.82523e-05+0.0321266j 0.00236741-0.0176565j 0.00321707+0.0303071j -0.000139437-0.0310879j -0.000621043+0.00663297j 0.00582117+0.00935981j 0.008634-0.0425059j -0.00160862-0.0059304j 0.00522499-0.0492619j 0.0078828+0.0505557j 0.00389186+0.0147799j -0.00373442-0.00619775j -0.00412974+0.0017091j -0.0029114+0.00997254j -0.00505255+0.0230829j -0.0124277+0.0089714j -0.0154656-0.0557754j 0.00219608+0.00784913j 0.00470753-0.00933109j -0.0112182-0.0250027j 0.00709468-0.0147045j -0.00518836+0.015455j 0.0110379+0.0359889j 0.00148714+0.0135792j 0.0146065+0.0126574j 0.0233904-0.00281897j -0.00460464+0.0242005j -0.00903603-0.0681141j -0.016902-0.0493699j -0.00913985+0.00225993j 0.0230377+0.0125321j -0.00681025-0.0473764j -0.0277924-0.00298325j -0.000262539+0.0380933j 0.0208423+0.0203257j 0.017957-0.00750782j -0.00436043+0.0165305j -0.00621732-0.0692448j -0.0247527+0.034061j -0.0034014-0.0125539j 0.0301634+0.0080623j 0.0115868-0.197525j 0.00635821-0.0945764j -0.00383009+0.0942011j -0.00467799+0.027079j -0.0064767-0.118779j 0.00611366-0.0688372j -0.00612613-0.0344673j -0.00154005-0.0434679j 0.0150882-0.0816547j -0.00448499+0.0223813j 0.00878923+0.000936967j -0.00431141-0.0865144j 0.00234968+0.178777j -0.0168354+0.0687535j -0.0157127-0.0824948j 0.00232104+0.310723j 0.0171023+0.138409j -0.003077+0.0378522j -0.00360156+0.0304834j 
0.00218628-0.022022j 0.00265341+0.0238254j -0.00128564+0.0347843j 0.00137888-0.00940701j -0.00824167+0.021701j -0.00525861-0.0694885j -0.000532392+0.024043j 0.00578594-0.0359393j 0.00406593-0.0132126j -0.00110632-0.0110252j 0.00417021+0.026069j -0.00464729-0.0128262j 0.00214844+0.0283692j -0.00426445+0.00989194j 0.00369055+0.00742769j 0.0035259+0.0233709j 0.00144486-0.00127688j 0.00666357+0.0247427j 0.00222656-0.00906173j 0.00420671+0.0333123j 0.00255912-0.0179676j -0.0104539-0.020262j 0.00422626+0.00269964j 0.00121904+0.0110944j -0.00447245+0.0018723j 0.0119874+0.0365612j 0.00680191+0.0371263j -0.000692868+0.0169117j -0.00332932+0.00380069j 0.00668281+0.0400328j -0.00870453-0.0165386j 0.00803725+0.0243981j 0.000225034+0.0273484j -0.0296111+0.0310516j 0.0384989-0.0140601j -0.0299867-0.00948475j -0.00379032-0.00225758j -0.0136917+0.0386698j -0.0106545-0.0036267j 0.0105363+0.00113935j -0.00863022+0.060326j -0.0112375-0.0427507j 0.0103396-0.034039j 0.0235386+0.0123185j -0.0128382+0.0310249j -0.0231392+0.0290224j 0.0297349-0.00239195j -0.0237549-0.0512097j 0.00300728-0.0934573j -0.00334997-0.076936j -0.00146501+0.0257605j -0.000851061-0.0363854j 0.014848-0.0272677j -0.00984094-0.0536956j 9.43576e-05-0.00210246j -0.000325193-0.00946309j -0.00569036-0.0796045j 0.00891509-0.144274j 0.0132387+0.00472288j -0.000616972-0.0676116j 0.0110711+0.0920557j -0.00249844+0.0307654j 0.0100198-0.0801526j 0.0058854+0.094442j 0.00414881-0.113608j 0.00678436+0.190981j -0.000317613-0.414643j 0.00560016+0.0724872j -0.000181963+0.0244245j 
-0.000866805+0.0242325j 5.69161e-05-0.0171236j 0.00338624-0.0598153j 0.00285278+0.00166641j -0.00403497+0.0365943j -0.00537924+0.00275787j -0.00380345+0.0455492j 5.12206e-05-0.05781j 0.0046641+0.0150158j 0.00129892+0.0428436j 0.00383347-0.00993305j -0.00916344+0.00335763j 0.00602953-6.3838e-07j 0.00282149+0.0420095j 0.000626167+0.0393376j -0.00633437+0.0418302j 0.00499055+0.0168338j 0.000929329-0.00231221j -0.00430467-0.00455114j -0.00510898+0.0221186j 0.00774488-0.0138598j 0.00305051-0.0171209j -0.00528157+0.000979225j 0.00757651-0.00257997j -0.00578687+0.00895669j 0.0136268+0.00928973j 0.00332326+0.0139001j -0.0179888-0.0283427j 0.00467946-0.00347446j -0.00868662+0.019798j -0.0197008+0.0159261j 0.0109217-0.0049473j -0.00858917-0.0512173j 0.00437126-0.0479252j -0.0347648+0.0214598j 0.010416-0.0198765j -0.0250541-0.0391876j 0.024839+0.0429088j -0.017071-0.0722876j 0.0120146+0.0335032j 0.0187147+0.0153106j 0.00789607-0.0399358j 0.00766786+0.0397083j 0.00312255-0.0500574j -0.0134511+0.0548497j 0.00229301-0.00114305j 0.0347873+0.0872858j -0.00376553-0.0572799j 0.00400127-0.0525037j -0.0135765-0.00386197j 0.00644053-0.0391203j -0.0128339+0.183662j 0.028471-0.152477j -0.00576827+0.0509776j 0.0188363-0.0661218j -0.0217069-0.0417681j 0.00956089-0.00633411j 0.00247777-0.00346918j 0.00190429-0.115984j 0.00262083+0.0788468j -0.00398301-0.0161083j 0.000372247-0.082833j 0.0203915-0.0401246j 0.00170362+0.210597j 0.015034-0.12925j 0.00490654+0.00505263j -0.00490554+0.160229j 0.0013952+0.0357433j 0.00183543-0.00184235j 
-0.00106955-0.0257795j 0.00173878-0.0254899j -0.00241444+0.0270207j -0.00209668+0.00250703j -0.0036188-0.01903j -0.00374548-0.0137027j -0.00158859+0.0252084j 0.0042379+0.0408371j 0.00139823+0.0121195j -0.00373264-0.0349906j 0.00448074+0.0433659j -0.00326586+0.0155961j 0.00344095-0.0407632j 0.00190339-0.023676j -0.000218223-0.0083311j -0.00029794-0.017924j 0.00328831+0.0235293j 0.00329077-0.00633761j -0.00148557+0.00603918j 0.00208263+0.0165019j 0.00469701+0.0144346j -0.00914305-0.017121j -0.00356175+0.00549468j -0.00515207+0.0213899j -0.0109242-0.012903j 0.012042-0.0431265j 0.00274789+0.0268508j -0.00288557+0.0204321j -0.0023532+0.00993946j 0.0105285+0.0173758j -0.00640919-0.000700173j 0.0112026+0.0257339j -0.00736095-0.00561025j -0.00415323-0.0110356j 0.0303626-0.00973082j -0.0379627-0.0118757j 0.000401169-0.0320248j -0.0196087-0.0281891j -0.00909297+0.0117705j 0.044828+0.0801575j 0.0041375+0.00667106j 0.0115731-0.0221421j 0.015715-0.0144322j 0.0185852+0.00617302j 0.000514205-0.0114301j -0.0166763+0.0439661j 0.00281124-0.00794722j -0.0192362+0.0396048j 0.00366359-0.00633712j 0.0087208-0.101206j -0.00676519-0.0641095j 0.00383115-0.0808303j 0.0127103-0.0104602j -0.0152945-0.164559j 0.0137107-0.0555056j -0.00827828+0.0156778j -0.00196037+0.0105695j -0.00557923+0.123797j 0.0139495-0.113739j 0.00788286+0.0276717j 0.0161498-0.0719909j 0.00103995+0.253518j 0.00635495-0.197704j -0.00325338+0.062805j 0.00486033+0.278796j -0.0108033-0.209277j 0.00261571+0.343014j 0.00230728+0.154703j 0.00402752+0.0174822j 
-0.000757949-0.0585864j 0.00290739-0.0158825j 0.00155482+0.00954015j -0.00179561+0.0227959j 0.00241859-0.000368215j 0.00740521-0.037053j -0.00121931-0.0226021j 0.000738806-0.0060273j -0.000605493-0.00232375j -0.0027531-0.0312895j -0.00350396-0.0319652j 0.00608867-0.0268693j -0.0026564+0.00563637j 0.000685747+0.0308125j -0.00103668-0.0455334j -0.0049318-0.0240979j -0.00374244-0.0160261j 0.000378178-0.00810641j 0.00208675-0.0391697j -0.00630461-0.0718102j -0.0017336-0.0210943j -0.00677877+0.0151248j 0.00696572-0.00178667j 0.000718187-0.00385768j 0.00882714+0.026665j 0.0091189+0.0249419j -0.00589771-0.00412636j 0.00284362+0.0464627j 0.000495405+0.00943362j -0.00640713-0.0563447j -0.00887894+0.0111619j 0.00614553-0.0071726j -0.00325843+0.0669949j -0.0182575+0.0175378j -0.0192352+0.0187229j 0.00575548+0.0194889j 0.0279033+0.043672j 0.0128569-0.0083498j -0.00106905+0.0490084j -0.000341561-0.0103064j -0.00791815-0.0390009j 0.00729178+0.038314j 0.014304+0.0225691j 0.0156204+0.0369916j -0.0228433-0.070321j -0.0126452+0.0923869j 0.00535014+0.0103512j -0.011086-0.0620061j 0.00745765-0.122699j -0.0200556+0.00260392j -0.0223585+0.0900526j -0.00588465+0.00993194j 0.000454985+0.0565168j 0.0072243-0.0852832j 0.00843008+0.0963186j -0.00965248-0.0177188j -0.0212728-0.0683811j 0.00324944-0.0022048j 0.00489604-0.11903j 0.00066323+0.0640466j 0.00873526-0.0171588j 0.00438189-0.0667705j -0.00074671-0.142246j 0.0180306-0.20584j -0.0012412-0.0248896j -0.00451491+0.366771j 0.00312257+0.248575j -0.00229913+0.0219416j -0.00124065-0.0563221j 
0.000169678-0.00499665j -1.9039e-05+0.0103068j -0.00410139+0.0264664j -0.00175974-0.0308932j 0.00245308-0.00517198j -0.00101162-0.0203534j -0.00012013-0.0190369j -0.00377753+0.0313222j 0.00059035+0.00474212j -0.000360742-0.0215213j 0.00124828+0.0547964j 6.10128e-05+0.00648781j 0.00136417+0.0622439j -0.00543651-0.036855j -0.000527928+0.00122875j 0.00061766-0.00690931j 0.000295035+0.00662505j -0.000800726+0.00776043j 0.00851147+0.0196954j -0.000221077-0.0383555j -0.00833937+0.0485633j 0.00446851+0.0737206j -0.000226415+0.022803j 0.00101715-0.00272926j 0.00474098-0.0149116j -0.0142991-0.0117662j -0.000182256-0.0392122j 0.000601899-0.018217j -0.00392642+0.0242259j 0.00574814-0.00512484j 0.00484705+0.0336783j -0.0148595-0.0710003j 0.00482326-0.00978572j -0.00636004+0.00956667j -0.0128498-0.0179217j 0.0225636-0.00711595j -0.0279926+0.000730307j -0.00401091-0.0175737j -0.00757261-0.0313397j -0.0203661-0.0460148j -0.0133693+0.0758828j -0.0460572-0.0152113j -0.00982678+0.0243877j 0.0153316-0.0330069j 0.00139166+0.0320306j 0.0139984-0.0664169j 0.0127813-0.0244037j -0.00606223-0.0283303j 0.00456996+0.132046j -0.0016986+0.00714049j 0.00845249+0.0181295j -0.00426819+0.0104447j -0.00973541+0.025487j 0.00914469-0.0755151j 0.00723009+0.0886647j 0.00470046+0.0620553j 0.000834987-0.0361181j 0.0079276-0.0127463j -0.00396204+0.00639208j -0.00879332+0.0437921j 0.000210066+0.0549702j -0.00979139+0.150935j -0.00268761-0.049922j -0.00634457-0.0915673j 0.0026476+0.0165262j -0.00126806+0.150383j 0.00528562+0.262413j -0.00424184-0.0368344j -0.00104594+0.0730174j 
-0.000535004-0.0323056j 0.000734241-0.020023j 0.00319884+0.0441544j -0.0043443+0.0298255j 0.00473039-0.00690418j 0.00160359+0.0136081j -0.00246662-0.00624108j -0.000810208+0.00797692j 0.00144024+0.000768465j -0.00396006+0.0435999j 0.000223302-0.0320295j 0.00415224-0.0438271j -0.00158958+0.0415544j -0.00219121+0.0392413j 0.00234049-0.0273781j 0.000220925+0.00264112j -0.000764635-0.0310606j 0.00126717-0.0171929j 0.013903-0.0475566j -0.0125864+0.00184766j -2.67143e-05-0.0376957j -0.00165505+0.0497325j 0.00443483-0.0155941j -0.00542904-0.0252459j 0.00212018+0.0762805j 0.00650986+0.045575j 0.0135122+0.0365746j -0.00453023-0.0146709j -0.00935937-0.012528j -0.00635763-0.0443032j 0.00693783-0.00546247j 0.0130629+0.0134973j -0.00616806+0.0232821j 0.00633176-0.0148674j -0.0836635+0.0240818j 0.0415009+0.00254393j -0.000635249-0.0560142j -0.0083606-0.0185411j -0.0130798+0.0298538j 0.0107378-0.0325781j -0.0157336-0.0380779j -0.0239891+0.0810453j 0.00100383+0.0223066j 0.0238096-0.011229j -0.00564248+0.0769899j -0.0157427+0.0455659j -0.00240288-0.0377082j -0.0101321-0.078498j 0.00539638-0.0619371j -0.00759681-0.0567617j 0.0100611+0.0828438j 0.00329065-0.150054j 0.00339486+0.00470147j -0.0122563+0.0743592j 0.00499147-0.154564j 0.00982411-0.0134458j -0.0112016-0.0246448j 0.00646778+0.0984298j 0.00443486+0.111987j 0.00447503-0.0197702j 0.00315949+0.0777552j -0.00285297-0.276937j 0.000875575+0.0465672j 0.00119143-0.0514579j -0.00454413-0.0811311j -0.00359905-0.433614j -0.00652363+0.0194982j -0.000508628+0.0481408j 0.0028827-0.0689788j 
0.000708887+0.000521567j -0.000383063-0.025251j -0.00440255+0.016443j -0.00400375+0.0222715j -0.00159856-0.0886769j 5.31375e-07-0.00964191j -0.000313966+0.0399639j 0.00129268+0.0997775j -0.00159714+0.0165094j 0.000855006-0.0710261j 0.00446274+0.00687283j -0.00462173+0.022224j 0.00406503-0.0189145j 0.00118066-0.040376j -0.00640964-0.0153626j 0.00101124-0.0317271j -0.00174674+0.0132169j 0.000465081-0.00677518j -0.00477216+0.0297648j 0.00789103-0.0211108j -0.00277209+0.0316414j -0.0057171-0.0500104j -0.00388892+0.0579651j 0.00302516+0.0493403j -0.00144446-0.0740222j -0.00730902-0.0730475j 0.00756278+0.0248381j 0.0084263+0.0570575j 0.00642423+0.0417174j 0.00900415+0.00156675j -0.00386903+0.0324971j 0.00116633-0.0258476j -0.0115939+0.0247947j -0.00711158-0.0216378j -0.0112708-0.0134713j -0.0213436-0.00657289j 0.00562232-0.0104016j 0.00818946-0.0585149j -0.0094132+0.000151951j -0.0168847+0.00775429j -0.0051107-0.0486725j -0.00544305+0.0168421j 0.0101376-0.00731601j 0.0157566-0.0316498j -0.00712866-0.112242j 0.0115122-0.00866176j 0.00267883+0.0165129j -0.0185499+0.0070534j 0.00907018-0.00424901j 0.00544746-0.00704954j -0.00832633+0.043734j 0.00268501-0.0163745j 0.00529314+0.117347j -0.00866087+0.0860611j -0.00240736-0.014997j -0.00457671-0.120796j -0.00154695+0.044095j 0.0136973-0.13596j 8.89577e-05+0.0109206j -0.00159749-0.00236047j 0.00390201-0.137414j -0.00260349+0.0361112j 0.00244354-0.180558j 0.000203046-0.0903556j -0.00934654-0.474925j -0.00128748-0.160405j 0.00284933+0.0188553j -0.000856764-0.0270472j 0.00569924+0.0114474j 
-0.00359969+0.010889j 0.000421339-0.0462314j 0.000675602-0.00721862j 0.00213885-0.00593662j -0.000722439+0.0160565j -0.00392289+0.0108035j 0.00155474+0.017724j -0.00425556+0.0304223j -0.00264404+0.0211055j 0.00140364-0.03498j -0.00205068-0.0106452j -0.00301778+0.0222752j 0.00112649-0.0319215j 0.0119137+0.0139312j -0.00290534-0.0110286j -0.00318221-0.00849555j -0.000987508+0.0106552j 0.00131525-0.0522004j -0.00715965+0.0199912j 0.000563906-0.0359853j 0.00244025-0.00837755j -0.00511656+0.0340068j -0.00554198+0.0262002j 0.0127811+0.00536649j -0.017532-0.0391933j -0.00379493-0.105514j -0.00342968-0.0213898j -0.00921001-0.00558766j 0.0119974+0.0146289j 0.000705247-0.02466j -0.0169691+0.105765j 0.00698736-0.00572869j -0.013969+0.00946209j -0.0277733+0.00259023j -0.00998579+0.00492481j 0.00396789+0.00943632j -0.00967476+0.0271888j 0.0356951-0.0466023j -0.0273635-0.0994991j -0.00279032+0.0547467j -0.0223169-0.104332j 0.000689733+0.0463509j 0.0149712+0.0538384j 0.0270063-0.0600126j -0.00653602-0.0500466j -0.0071251+0.0441712j 0.00958782+0.0442j -0.0275048+0.0239557j -0.00840552+0.00568673j -0.0026923+0.059277j 0.000764926-0.0179885j -0.0183117+0.0136748j 0.0175211-0.13512j -0.000350226-0.0489269j 0.00515099-0.0422684j -0.000960652-0.14458j -0.00541832+0.0861128j 0.00637896+0.085218j 0.0159735+0.0825087j -0.00220324-0.0904461j 0.0067517-0.0452934j 0.00961793-0.0394316j 0.00821059+0.163197j 0.000183849+0.175666j 0.00436308+0.292193j 0.00248618+0.0273408j 0.00356206-0.152505j 0.00443128-0.0168963j -0.00414871-0.0528563j 
