-0.0103352-0j -0.00736065-0j -0.00106242-0j -0.00423634-0j -0.00428024-0j -0.000748886-0j -0.000756647-0j -6.24072e-05-0j -6.30539e-05-0j 0.577605-0j 0.714749-0j -0.000497692-0j 0.416937-0j -0.000304773-0j -0.000615862-0j -6.22114e-05-0j -0.000377137-0j -0.000359253-0j -3.66584e-06-0j -0.000219996-0j -7.69827e-05-0j -4.53625e-06-0j -4.49066e-05-0j -2.64615e-06-0j -0.00230581-0j -0.00269011-0j 0.0719741-0j -0.00164735-0j -0.00235384-0j -0.000303817-0j -0.000970911-0j 0.0839698-0j -4.38521e-05-0j 0.0514208-0j -3.79771e-05-0j -0.000354453-0j 0.0734736-0j -4.47564e-06-0j -0.000217057-0j -5.11608e-05-0j 0.0303063-0j -2.04284e-07-0j -0.000310146-0j -4.43066e-05-0j -3.13295e-05-0j -2.71321e-05-0j -4.47657e-05-0j -5.22158e-06-0j -0.000127929-0j -3.87683e-05-0j -3.19755e-06-0j -2.38331e-07-0j -1.84649e-05-0j -1.45948e-07-0j -1.59911e-05-0j -4.56888e-06-0j -2.0854e-07-0j -1.88457e-06-0j -8.60184e-08-0j 
-0.000197768-0j 1.01784e-08-0j 6.74182e-05-0j 3.38112e-07-0j -3.29778e-07-0j -1.43303e-05-0j 1.3977e-05-0j -0.0326743-0j 0.0318689-0j 2.38331e-07-0j 5.10974e-09-0j -9.52353e-06-0j -3.35131e-07-0j 2.43246e-08-0j -2.04181e-07-0j 0.000227854-0j 5.21511e-10-0j 1.33916e-05-0j 0.180975-0j -3.42042e-08-0j 4.88512e-06-0j 0.00388004-0j -0.000320399-0j -0.254479-0j 1.84032e-07-0j 3.71992e-09-0j -7.12025e-06-0j 1.31479e-07-0j -1.81356e-07-0j 2.42483e-08-0j -2.27102e-07-0j -1.43925e-07-0j 0.000160612-0j -5.08695e-06-0j -7.26707e-07-0j 4.90143e-10-0j 7.01672e-06-0j -0.00234329-0j 1.73238e-08-0j 3.24653e-06-0j 8.78663e-06-0j -0.454921-0j -2.38957e-08-0j -1.46893e-08-0j 0.000114747-0j -5.19185e-07-0j -0.000158277-0j -4.73661e-05-0j -2.99233e-08-0j 7.16141e-07-0j -0.00167413-0j -0.00919554-0j -0.000198201-0j -0.325011-0j 8.96782e-07-0j 0.00230922-0j 0.448306-0j 0.00289171-0j 0.561389-0j 
0.00599109-0j 0.00426682-0j 0.000615862-0j -0.00238581-0j 0.00248117-0j -0.000421756-0j 0.000438613-0j -3.51463e-05-0j 3.65511e-05-0j 0.00173101-0j -0.00208104-0j 0.000288502-0j 0.00124951-0j 0.00017667-0j -0.00034684-0j 3.60627e-05-0j -0.000212395-0j 0.000208251-0j 2.12502e-06-0j 0.000127527-0j -4.33549e-05-0j -2.55471e-06-0j 2.60314e-05-0j 1.53392e-06-0j 0.00133663-0j 0.0015594-0j 0.000215698-0j -0.00281043-0j -0.00132563-0j 0.000176116-0j 0.000562817-0j 0.000251647-0j 2.54202e-05-0j -0.000453531-0j 2.20145e-05-0j 0.000205469-0j -0.000213923-0j 2.59444e-06-0j -0.000370307-0j 2.96569e-05-0j 9.08242e-05-0j 1.18419e-07-0j -0.000174667-0j 2.56836e-05-0j -5.34492e-05-0j -4.62884e-05-0j -2.52111e-05-0j 3.02684e-06-0j 7.41577e-05-0j -2.18334e-05-0j -5.45514e-06-0j 1.38156e-07-0j 1.07037e-05-0j -2.48992e-07-0j 9.26971e-06-0j -2.57309e-06-0j -1.17445e-07-0j 1.09245e-06-0j 4.98631e-08-0j 
-0.00605318-0j 0.00416165-0j 0.000600682-0j -0.00248117-0j 0.00250538-0j -0.000438613-0j 0.000442892-0j -3.65511e-05-0j 3.69077e-05-0j -0.00174895-0j 0.00208922-0j -0.000291491-0j -0.00113349-0j -0.000178501-0j 0.000348203-0j -3.64364e-05-0j 0.00021323-0j -0.000188915-0j -2.14704e-06-0j -0.000115687-0j 4.35254e-05-0j 2.56476e-06-0j -2.36144e-05-0j -1.39149e-06-0j -0.00135048-0j 0.00152096-0j -0.000217933-0j -0.00096483-0j 0.00137779-0j -0.000177941-0j -0.00268766-0j 0.000245445-0j -2.56836e-05-0j -0.000155699-0j -2.22427e-05-0j 0.000200405-0j 0.000222339-0j -2.62132e-06-0j -0.000127127-0j 2.89259e-05-0j -0.000433719-0j -1.19647e-07-0j 0.000181539-0j 2.50506e-05-0j -1.83493e-05-0j -1.58909e-05-0j 2.6203e-05-0j 2.95224e-06-0j -0.00035413-0j 2.26924e-05-0j -1.87276e-06-0j 1.34751e-07-0j -5.11143e-05-0j -8.54796e-08-0j -4.42663e-05-0j 2.67433e-06-0j 1.22066e-07-0j -5.21683e-06-0j -2.38115e-07-0j 
0.044665-0j -0.000674643-0j 0.00928016-0j 0.00037723-0j -0.000392307-0j -0.00314429-0j 0.00326996-0j -0.000797186-0j 0.000829049-0j -0.000273697-0j 0.000329041-0j 0.00215085-0j -0.000197565-0j -2.79341e-05-0j -0.00258577-0j 0.000543414-0j 3.35826e-05-0j 0.00155256-0j 6.43779e-05-0j -2.01639e-05-0j -0.000653297-0j -7.73958e-05-0j 0.000392257-0j 4.64704e-05-0j 0.0513132-0j 0.0598654-0j 0.00160808-0j -0.107892-0j -0.050891-0j -2.78464e-05-0j 0.0216066-0j 0.00187609-0j 0.000383046-0j -0.00338118-0j 0.000164124-0j -3.24875e-05-0j -0.00159485-0j 5.88469e-05-0j 5.85507e-05-0j 0.000446887-0j 0.000677116-0j 4.48911e-06-0j 2.76173e-05-0j 0.000191477-0j -0.000805403-0j -0.000345091-0j -0.000379895-0j 6.86547e-05-0j -1.17254e-05-0j -0.000162773-0j -0.000123733-0j 5.2373e-06-0j 0.00016129-0j -9.43893e-06-0j 6.91079e-05-0j -5.83627e-05-0j -4.45218e-06-0j 2.47788e-05-0j 1.89024e-06-0j 
-0.0451278-0j -0.000658014-0j 0.00905143-0j 0.000392307-0j -0.000396135-0j -0.00326996-0j 0.00330186-0j -0.000829049-0j 0.000837137-0j 0.000276533-0j -0.000330335-0j -0.00217314-0j 0.000179221-0j 2.82235e-05-0j 0.00259594-0j -0.000549045-0j -3.37146e-05-0j -0.00140841-0j -6.50451e-05-0j 1.82917e-05-0j 0.000655866-0j 7.77001e-05-0j -0.000355836-0j -4.21557e-05-0j -0.0518449-0j 0.0583898-0j -0.00162474-0j -0.0370398-0j 0.0528933-0j 2.8135e-05-0j -0.103179-0j 0.00182985-0j -0.000387016-0j -0.00116077-0j -0.000165824-0j -3.16868e-05-0j 0.00165759-0j -5.94567e-05-0j 2.01006e-05-0j 0.000435873-0j -0.00323348-0j -4.53563e-06-0j -2.87039e-05-0j 0.000186758-0j -0.000276497-0j -0.000118471-0j 0.000394841-0j 6.69625e-05-0j 5.59929e-05-0j 0.000169177-0j -4.24779e-05-0j 5.10821e-06-0j -0.00077022-0j -3.24041e-06-0j -0.000330015-0j 6.06589e-05-0j 4.62735e-06-0j -0.000118328-0j -9.0266e-06-0j 
-0.000748886-0j 0.0509912-0j -7.69827e-05-0j 0.000298226-0j -0.000310146-0j -0.00504025-0j 0.0052417-0j 4.39329e-06-0j -4.56888e-06-0j 0.0418532-0j -0.0503163-0j -3.60627e-05-0j 0.0302112-0j 0.00424473-0j 4.33549e-05-0j 0.000430972-0j -0.00510306-0j -2.60314e-05-0j -2.65627e-07-0j 0.00306401-0j -0.000518119-0j 3.19339e-07-0j 0.000311092-0j -1.9174e-07-0j -0.000167079-0j -0.000194925-0j 0.00521524-0j 0.000351304-0j 0.000165704-0j 0.0021047-0j -7.03522e-05-0j 0.00608445-0j -3.17752e-06-0j -0.0109657-0j 0.000528927-0j 0.00245549-0j -0.00517233-0j 3.10052e-05-0j -0.0044254-0j -3.70711e-06-0j 0.00219599-0j -1.48024e-08-0j -0.00208739-0j 0.000617082-0j 6.68115e-06-0j -0.00111214-0j 3.15138e-06-0j 3.61727e-05-0j 0.000886232-0j -0.000524576-0j -6.51923e-05-0j -1.72695e-08-0j -1.33797e-06-0j 3.1124e-08-0j 0.000222717-0j -3.07501e-05-0j 1.46806e-08-0j 1.30554e-05-0j -6.23289e-09-0j 
-0.000499258-0j -0.000355568-0j -5.13218e-05-0j -0.0576029-0j 0.0599052-0j 3.51463e-05-0j -3.65511e-05-0j 2.92886e-06-0j -3.04592e-06-0j -0.000144251-0j 0.00017342-0j 0.00696556-0j -0.000104126-0j -1.47225e-05-0j -0.00837407-0j -3.00523e-06-0j 1.76996e-05-0j 0.00502801-0j -1.77085e-07-0j -1.06273e-05-0j 3.61291e-06-0j 2.12893e-07-0j -2.16929e-06-0j -1.27826e-07-0j -0.000111386-0j -0.00012995-0j -1.79748e-05-0j 0.000234203-0j 0.000110469-0j 0.00425214-0j -4.69014e-05-0j -2.09706e-05-0j 0.000613743-0j 3.77943e-05-0j -1.83454e-06-0j 0.00496083-0j 1.78269e-05-0j -2.16203e-07-0j -0.00894066-0j 0.000716034-0j -7.56869e-06-0j -9.86828e-09-0j -0.00421716-0j -2.1403e-06-0j -0.00129047-0j 3.85736e-06-0j -0.000608694-0j -2.52237e-07-0j 0.00179046-0j 1.81945e-06-0j 4.54595e-07-0j -1.1513e-08-0j 0.00025843-0j 2.07493e-08-0j -7.72476e-07-0j 2.14424e-07-0j 9.78709e-09-0j -9.10372e-08-0j -4.15526e-09-0j 
0.000756647-0j 0.0497343-0j -7.50853e-05-0j 0.000310146-0j -0.000313172-0j -0.0052417-0j 0.00529284-0j 4.56888e-06-0j -4.61346e-06-0j -0.0422869-0j 0.0505142-0j 3.64364e-05-0j -0.0274061-0j -0.00428872-0j -4.35254e-05-0j -0.000435438-0j 0.00512312-0j 2.36144e-05-0j 2.6838e-07-0j -0.00277952-0j 0.000520156-0j -3.20595e-07-0j -0.000282207-0j 1.73937e-07-0j 0.00016881-0j -0.000190121-0j -0.00526929-0j 0.000120604-0j -0.000172223-0j -0.00212651-0j 0.000335957-0j 0.00593448-0j 3.21045e-06-0j -0.00376456-0j -0.000534408-0j 0.00239496-0j 0.00537583-0j -3.13265e-05-0j -0.00151925-0j -3.61574e-06-0j -0.0104867-0j 1.49558e-08-0j 0.00216951-0j 0.000601872-0j 2.29366e-06-0j -0.0003818-0j -3.27537e-06-0j 3.52811e-05-0j -0.00423208-0j 0.000545214-0j -2.23807e-05-0j -1.68438e-08-0j 6.38929e-06-0j 1.0685e-08-0j -0.00106355-0j 3.19599e-05-0j -1.52582e-08-0j -6.23445e-05-0j 2.97643e-08-0j 
-0.0103014-0j 7.69827e-05-0j 0.0493955-0j -4.30453e-05-0j 4.47657e-05-0j 0.000725192-0j -0.000754177-0j -0.00863872-0j 0.00898399-0j -0.00604099-0j 0.00726254-0j -0.000496067-0j -0.00436062-0j 3.18752e-06-0j 0.000596376-0j 0.00289243-0j -3.83207e-06-0j -0.00035808-0j 0.00105197-0j 2.30088e-06-0j -0.0034773-0j -0.00126469-0j 0.00208786-0j 0.000759355-0j 2.41157e-05-0j 2.8135e-05-0j 0.0717391-0j -5.07064e-05-0j -2.39173e-05-0j 3.17752e-06-0j 1.01545e-05-0j 0.0836957-0j 0.00203884-0j -0.150841-0j -3.78531e-05-0j 3.70711e-06-0j -0.0711489-0j 0.000637694-0j -6.68115e-06-0j 0.00237865-0j 0.0302074-0j 9.80459e-05-0j -3.15138e-06-0j -4.41619e-05-0j -0.00428692-0j 7.95909e-05-0j -0.00202207-0j 0.000743977-0j 1.33797e-06-0j 3.75417e-05-0j -0.00134083-0j 0.000114387-0j 0.000858499-0j -0.000206154-0j -1.59389e-05-0j -0.000632448-0j -9.72392e-05-0j 0.000268515-0j 4.12844e-05-0j 
0.000504431-0j -0.000346804-0j -5.00568e-05-0j -0.0599052-0j 0.0604896-0j 3.65511e-05-0j -3.69077e-05-0j 3.04592e-06-0j -3.07564e-06-0j 0.000145746-0j -0.000174102-0j -0.00703775-0j 9.44577e-05-0j 1.48751e-05-0j 0.00840699-0j 3.03637e-06-0j -1.77692e-05-0j -0.00456116-0j 1.7892e-07-0j 9.64055e-06-0j -3.62712e-06-0j -2.1373e-07-0j 1.96787e-06-0j 1.15958e-07-0j 0.00011254-0j -0.000126747-0j 1.81611e-05-0j 8.04025e-05-0j -0.000114816-0j -0.0042962-0j 0.000223972-0j -2.04537e-05-0j -0.000620104-0j 1.29749e-05-0j 1.85356e-06-0j 0.00483856-0j -1.85283e-05-0j 2.18444e-07-0j -0.00306936-0j 0.000698385-0j 3.61433e-05-0j 9.97054e-09-0j 0.00438308-0j -2.08755e-06-0j -0.000443023-0j 1.32424e-06-0j 0.000632642-0j -2.4602e-07-0j -0.0085501-0j -1.89104e-06-0j 1.56064e-07-0j -1.12292e-08-0j -0.0012341-0j 7.1233e-09-0j 3.68886e-06-0j -2.22861e-07-0j -1.01722e-08-0j 4.34736e-07-0j 1.98429e-08-0j 
0.0104082-0j 7.50853e-05-0j 0.048178-0j -4.47657e-05-0j 4.52025e-05-0j 0.000754177-0j -0.000761535-0j -0.00898399-0j 0.00907165-0j 0.00610359-0j -0.00729109-0j 0.000501207-0j 0.00395574-0j -3.22056e-06-0j -0.000598721-0j -0.0029224-0j 3.84714e-06-0j 0.000324832-0j -0.00106288-0j -2.08724e-06-0j 0.00349098-0j 0.00126967-0j -0.00189401-0j -0.000688849-0j -2.43656e-05-0j 2.74415e-05-0j -0.0724826-0j -1.74076e-05-0j 2.48583e-05-0j -3.21045e-06-0j -4.84913e-05-0j 0.0816327-0j -0.00205997-0j -0.051784-0j 3.82454e-05-0j 3.61574e-06-0j 0.0739482-0j -0.000644303-0j -2.29366e-06-0j 0.00232002-0j -0.144251-0j -9.9062e-05-0j 3.27537e-06-0j -4.30734e-05-0j -0.00147171-0j 2.73238e-05-0j 0.00210162-0j 0.000725639-0j -6.38929e-06-0j -3.90187e-05-0j -0.000460312-0j 0.000111568-0j -0.00409965-0j -7.07733e-05-0j 7.6114e-05-0j 0.000657331-0j 0.000101065-0j -0.00128226-0j -0.000197148-0j 
-0.00588513-0j -0.00849853-0j -0.00122277-0j 0.00717551-0j -0.0074623-0j -0.0396088-0j 0.0411919-0j 0.000105039-0j -0.000109237-0j 3.60627e-05-0j -4.33549e-05-0j 0.0409125-0j 2.60314e-05-0j -0.000707455-0j -0.0491854-0j 0.00684542-0j 0.00085051-0j 0.0295322-0j -8.48254e-06-0j -0.000510668-0j -0.00822964-0j 1.01978e-05-0j 0.00494129-0j -6.12302e-06-0j 2.78464e-05-0j 3.24875e-05-0j -0.000211883-0j -5.85507e-05-0j -2.76173e-05-0j 0.0506404-0j 1.17254e-05-0j -0.000247196-0j 0.00728614-0j 0.00044551-0j 0.00415658-0j 0.0590804-0j 0.000210139-0j 0.000741298-0j -0.106478-0j 0.0085005-0j -8.92179e-05-0j -5.91493e-07-0j -0.0502237-0j 0.00484934-0j -0.01532-0j -0.00873973-0j -0.0072262-0j 0.000864848-0j 0.0213233-0j -0.00412238-0j -0.00155867-0j -6.90075e-07-0j 0.00306799-0j 1.24369e-06-0j 0.00175022-0j -0.000735199-0j 5.86626e-07-0j 0.00031214-0j -2.49061e-07-0j 
