0.985065-0.0063802j 0.201898+0.0581465j -0.0272555+0.13186j -0.0248304+0.03753j -0.00374483-0.000396243j -0.0933587-0.0137414j 0.00782747+0.0778488j -0.0373406+0.0443741j 0.0267029-0.0146905j 0.0153601+0.00677062j -0.0170695+0.00543866j -0.0461165+0.0241223j 0.0207652+0.00839359j 0.0250107-0.00277679j 0.0448232+0.0166389j 0.00927392+0.0406112j -0.000224517-0.00102977j -0.0244773+0.0354818j 0.026147-0.0165917j 0.0172327-0.0471835j 0.0067742-0.0230952j 0.00360718+0.00709144j -0.0290727+0.0351882j -0.00824764+0.0160526j 
0.0651156-0.0020541j 0.0159986+0.00714009j 0.00142531+0.0610079j 0.0290249+0.00139096j 0.0143414+0.0553199j -0.0403139-0.0126136j 0.0351808+0.0310819j 0.0260224-0.0859092j 0.00677076+0.0281579j -0.0111986-0.00179059j -0.0306871-0.0129171j -0.0996999-0.126522j -0.0643254-0.0430997j 0.139136-0.0868283j 0.115567-0.0311268j 0.285445-0.331332j 0.166309-0.0269247j -0.360013-0.294648j 0.0383291-0.0192167j -0.168346-0.0116744j -0.0611583+0.0717901j -0.155061+0.104573j -0.0042906+0.054924j 0.0260809-0.0275507j 
0.0562565+0.0354489j -0.0528131-0.0957077j 0.0162462+0.0415542j 0.141179+0.103437j -0.0351449+0.0826652j 0.00439131-0.0503624j 0.0227873-0.0436354j -0.0505224-0.00620449j -0.0517795-0.0474234j 0.13709-0.00584251j 0.0361462+0.0975388j 0.0934242-0.0452855j -0.113131-0.256571j -0.203605-0.0909029j 0.00568247-0.00645785j -0.227127+0.115072j 0.0883013+0.109995j 0.116256+0.132932j -0.108665-0.0245987j 0.193735+0.0326856j 0.0752156+0.00146274j -0.060729-0.00102237j 0.157051+0.0101521j -0.0937168+0.0333995j 
-0.0318586+0.00132506j 0.0394197+0.00762053j -0.0665024-0.0780561j -0.0363267+0.0251083j -0.082957-0.0795993j -0.121455-0.0347621j -0.0222581-0.129653j 0.0168436+0.010378j 0.0190932-0.0188538j -0.0106374-0.0637547j -0.227331-0.109209j -0.15083+0.213019j -0.0532915-0.152217j 0.36218+0.289882j -0.210174-0.296109j 0.134937-0.0407891j 0.18986+0.186811j -0.0914173+0.0586948j 0.290855-0.0885702j 0.0251808+0.0144631j 0.0429251-0.112196j 0.073133+0.0209076j 0.0681579-0.0554125j -0.0585694+0.0203154j 
0.0226711-0.0137543j 0.0687565+0.0455011j -0.0169046-0.0905318j -0.120212-0.0702813j 0.021445-0.124921j -0.0103372+0.0237331j -0.0136305-0.0215606j 0.0130756+0.0521602j 0.0350294+0.0204185j -0.0594831+0.0578749j -0.0453619-0.0515867j 0.0481163+0.195671j 0.131303+0.187337j 0.127278+0.154944j -0.103544-0.124215j -0.162388+0.247596j -0.137129-0.0276454j 0.0157309+0.0332947j 0.0236363-0.120724j -0.010561-0.0303569j -0.0283247-0.0487683j 0.0963345-0.0163892j -0.0768495+0.0251371j 0.00603824-0.0098951j 
0.00419674-0.000452096j 0.0503376+0.0251901j -0.0737084-0.0360403j -0.00452452+0.00608585j -0.0937271-0.0592455j 0.0228931+0.0537432j 0.0208879-0.0372422j -0.0403931+0.0909069j -0.00426276+0.0896865j -0.0147343+0.0448295j -0.012758-0.0835075j -0.0493712-0.00329843j 0.130647+0.191002j -0.0702357+0.0248768j -0.0455299-0.00450234j -0.0327381+0.03854j 0.0520148-0.156732j 0.0479393+0.0415244j 0.050839-0.0280932j 0.144371-0.0983803j -0.201903+0.1252j 0.100398-0.016316j -0.0670334+0.231797j -0.140423+0.00137258j 
0.0202501-0.00518159j -0.0289274+0.00817139j 0.0136783+0.0260719j 0.0294721-0.00887521j 0.0829178+0.100439j -0.0496056+0.011068j -0.123914-0.0363547j 0.0231282-0.0494474j 0.0502628-0.172134j 0.0128354+0.0223183j -0.0393641+0.00214997j -0.0360396-0.0111773j -0.0548991-0.153083j -0.0243894+0.0202452j -0.0515964+0.0281842j 0.0595041-0.0700859j 5.93578e-05+0.149268j 0.143285+0.166241j 0.0637179+0.0947732j 0.0816609+0.0402138j 0.109592-0.10846j 0.0805325-0.0144508j 0.108393-0.0989011j -0.0162715+0.110584j 
-0.0147653-0.00224723j -0.0146514-0.0165449j -0.0364032-0.0727822j 0.00837473+0.000738906j -0.0735048-0.058654j 0.0143024-0.00167768j 0.0176672+0.0075419j -0.0224166+0.079001j -0.00675126+0.0347304j -0.0185687-0.0216132j -0.0129263+0.0133201j 0.0359129+0.0914296j -0.0102669+0.0471775j 0.102178+0.130142j 0.082358+0.0166374j -0.0700585+0.084979j 0.069595-0.104094j 0.116478+0.0576741j -0.018143+0.0882875j -0.219721+0.241697j -0.0393545+0.030697j -0.0504464-0.226271j 0.0456434-0.0850312j 0.0270947-0.044885j 
0.0248371+0.027484j -0.0402943-0.0495531j -0.016369+0.0460935j 0.0644347+0.0456747j -0.0316435+0.0350688j 0.0224837+0.0100033j -0.0456851-0.0803179j -0.013213-0.00858592j 0.0470542-0.0151348j 0.000592792-0.0418679j 0.0243488+0.0320767j 0.0574715+0.00401664j -0.0433646-0.118553j 0.0131397-0.0384375j 0.0848518-0.0390959j -0.11675+0.0212356j -0.0366096+0.12267j -0.042269-0.0254791j -0.0485406-0.0833816j -0.0432274+0.0230905j 0.0943845-0.050245j 0.0174097-0.0530237j 0.0586354-0.0410299j 0.0534599+0.0187844j 
0.0314086+0.0155113j 0.0225205+0.00219306j 0.00779659-0.0195926j -0.00644576+0.00031679j 0.0135052-0.0127014j 0.0744534+0.0308066j -0.00221959+0.0429112j 0.0225002+0.0160342j -0.0501297-0.0254897j 0.0146611-0.00849689j 0.0204357+0.0281505j 0.00430442-0.0308515j -0.00101849+0.00560105j -0.0331675-0.0174122j -0.0128498+0.0351704j -0.0353157+0.00978432j -0.0522787-0.0425054j 0.0250629-0.0304099j -0.0216387-0.0303053j -0.015113-0.00641669j 0.00378039-0.0270261j -0.028768-0.0100228j -0.0440787+0.0449542j -0.00490239-0.0145074j 
0.00702473-0.0174538j 0.0321844+0.0270088j 0.0111512+0.00986837j -0.0850496+0.01135j 0.0899867-0.00932272j 0.0410663+0.016409j -0.0193596+0.0438566j 0.0434702-0.0109234j 0.0122367+0.00720378j -0.122917-0.0515865j 0.0941039-0.00902992j -0.0206953-0.0516012j -0.0220309+0.0257979j 0.0482738-0.0934584j -0.0102392+0.0472458j 0.0856494-0.0945418j -0.227017+0.0484377j -0.0236384-0.0165819j -0.0235996+0.0185843j -0.0686244-0.0804926j 0.0855584-0.152655j 0.0491098+0.00723685j -0.092018-0.096997j 0.0672342-0.0650755j 
0.00777901-0.00918665j -0.0084463-0.0236678j -0.0115758-0.0319392j -0.00100892-0.0243464j -0.012963+0.00334831j 0.0113577-0.0276436j 0.0399029+0.0492437j 0.0149347+0.0192215j -0.0111982+0.00476739j 0.0121479-0.0411289j 0.01049+0.0153544j 0.0544113-0.0347604j -0.0198657+0.00111689j 0.0195823-0.000382305j -0.0373776-0.045917j -0.00191484+0.107717j 0.0310162+0.00556976j -0.0595601+0.0321811j -0.0908546-0.0579252j -0.0140303+0.0206685j 0.0164465-0.000760781j 0.0067932+0.0120906j -0.00519542+0.0479221j -0.0354623-0.0164309j 
-0.0252538+0.00107208j 0.0354117-0.00403667j -0.014003-0.0317037j 0.032243-4.48004e-05j 0.0298824+0.0130762j 0.0254043-0.00249231j -0.014734+0.013584j -0.014374-0.0194473j -0.0383486+0.0154028j 0.0468129+0.00618386j -0.0096332+0.0137921j -0.0318409-0.0260101j -0.00556019-0.0271584j -0.00997581-0.0498037j 0.0482733-0.00881335j 0.0602078-0.0299732j 0.0814513-0.0179765j -0.069192-0.0841806j -0.0497089+0.0394673j 0.0298079-0.0482829j -0.0108695+0.0707863j -0.0493675+0.0606038j 0.0105171+0.0220603j -0.0184919+0.00440471j 
0.0208855+0.0151749j 0.00302099-0.024134j -0.00562939-0.00147136j -0.00554812+0.0212495j -0.00408217+0.00127073j -0.0298417-0.0141507j -0.0190562+0.0356474j -0.0139193+0.0197223j 0.0198305-0.0168824j 0.00534192+0.0691908j -0.012872-0.0243941j 0.00292324-0.00683273j -0.000526115-0.0144924j 0.0230653-0.0156709j -0.0349515-0.0145134j -0.0077867-0.000653898j -0.010291+0.00119726j -0.0169329+0.0504345j -0.0227088-0.029675j -0.0196974-0.0012594j -0.0138897-0.0160186j -0.0128436-0.00638299j 0.00735934-0.0711431j 0.0210867-0.0073178j 
-0.00312549+0.0168101j -0.0364453-0.0227866j -0.00741083+0.0194866j 0.0624358+0.0250572j -0.00531142+0.0584728j 0.0330271-0.0329295j 0.055712+0.0195248j 0.0795252+0.0328196j -0.0123142+0.0144461j 0.0192158+0.0288145j -0.0604778-0.0398938j -0.0213912-0.0210953j 0.0195556-0.0436514j -0.0222006-0.0155973j 0.0549966-0.0202778j 0.0252568-0.0477369j 0.129699+0.00579135j -0.0423924-0.0254819j 0.000396605+0.00429j 0.0435044-0.0112073j 0.00538533+0.084951j 0.0113487+0.0318958j 0.045597+0.0163609j -0.0189137+0.0547038j 
-0.0389111+0.00247298j -0.0231173-0.00487163j 0.0038378-0.0135958j -0.00098405+0.00106699j -0.00970858-0.0092092j 0.0250939+0.0121153j -0.00729382-0.0211636j 0.0234703-0.00844025j -0.00971192-0.00676339j 0.00272168-0.0018475j -0.0117289+0.000448931j 0.00858282-0.0028743j -0.0030465-0.00199738j 0.0204241+0.0406419j -0.00292646+0.0260359j -0.0252839+0.00214228j -0.0192228+0.00221094j 0.014981+0.0069581j 0.0288705-0.0535782j -0.0102271+0.0264868j -0.0067306-0.00850402j 0.0192926-0.00443184j 0.00651748+0.00396513j -0.00828805+0.00565522j 
-0.0035995+0.00480934j 0.00573503+0.0176723j -0.0225376+5.51084e-05j -0.0100997+0.015192j 0.0127465+0.00374339j -0.00726509-0.00735819j -0.00525932-0.00655669j -0.00949353+0.00168143j -6.7667e-05+0.0161074j 0.00774896+0.00151375j -0.0019433+0.00647456j -0.0211607+0.0256404j 0.00122948-0.00444497j 0.0199566+0.0134425j 0.0618181+0.0224657j 0.0293886-0.0232976j -0.00753031-0.00811258j 0.0163912-0.03157j -0.00375638+0.0599433j -0.00206802-0.00736923j -0.00738092-0.00191797j 0.0213932+0.00296125j 0.000578424+0.000166784j -0.00193709-0.00692563j 
-0.000518892-0.00427779j -0.0190799+0.0169206j 0.00228003+0.0471132j 0.0105646-0.00496818j 0.0128618+0.0196911j 0.0315251-0.0249468j -0.0165318+0.0538591j 0.0433856+0.0291913j -0.0135312+0.00499494j -0.00702348-0.0196572j -0.00330458+0.00274612j 0.0107801+0.030599j -0.0284597+0.000418998j 0.0039344-0.0237653j -0.00387906+0.0139081j -0.00297148+0.00505632j -0.0342678+0.00315984j 0.0100802+0.0139516j -0.010605+0.0156347j -0.0121175-0.0198967j -0.0304664-0.0167913j 0.0181305-0.0201392j -0.00354811+0.00714654j -0.0072183-0.0230918j 
0.0142305-0.0100285j -0.0316621+0.00434046j 0.00111585+0.0181336j 0.0715726-0.0369253j -0.0436707+0.0324933j 0.00104182-0.0292402j -0.0280539-0.0191553j -0.0124501-0.010675j 0.0176361+0.00965995j 0.031488-0.0429157j 0.0083329-0.0022412j 0.0125001+0.0203092j -0.0150583-0.0148375j -0.0757668-0.00374411j -0.0109949+0.0381j -0.0153974+0.047918j 0.0303217+0.00947818j 0.0391164-0.00430241j 0.0165851+0.0188737j 0.0388434+0.00456553j -0.00595451+0.0069148j 0.000882554+0.0224915j -0.0173352+0.0322765j 0.0204739+0.0270193j 
-0.0123481+0.00329301j -0.00679444-0.0127134j 0.000735994-0.0157657j 0.0242519-0.00104011j 0.000254243-0.0231544j -0.00686184+0.0109713j -0.00638944-0.0197804j -0.0258674-0.0054237j 0.0259285+0.0470043j 0.0278966+0.0104284j 0.022435-0.00401564j 0.0905163-0.0136929j 0.0424184+0.000902352j -0.0338361-0.0419646j 0.113795+0.0381616j -0.0187568+0.0227033j 0.0728393-0.0654977j -0.0358187-0.0458001j -0.0174531+0.011114j -0.025015+0.00699814j -0.0322128+0.122932j 0.00401008-0.012666j 0.0252543-0.0011947j -0.00378952-0.0126569j 
0.000393442+0.0155247j 0.0169404+0.0168184j -0.00216787+0.00905522j 0.0107928-0.0140033j 0.0119035+0.0175826j -0.0574436+0.034304j 0.0197057+0.00248408j -0.0176602+0.0199852j 0.0118224-0.022384j 0.00705467-0.0188793j 0.00951509-0.0207278j -0.029759-0.0291385j -0.0394905+0.020393j 0.00719156-0.0188775j -0.0178237-0.00411868j 0.0158803-0.0254131j -0.0346188+0.0132973j -0.00530268-0.00587818j -0.0181328-0.0161272j -0.00643212-0.0234514j -0.049771-0.0133621j -0.0121731-0.0079777j -0.0192076+0.022493j -0.00558912-0.0186689j 
-0.008903-0.00992522j -3.32203e-05+0.0107988j -0.0108123-0.0130004j -0.0189196-0.00212539j -0.0137607+0.0252591j -0.0199837-0.0028571j -0.0123876-0.0181856j -0.0321067-0.0283988j -0.0238868-0.00681871j 0.00322785-0.0281536j -0.0175906+0.0318625j -0.0465778+0.00982894j -0.0408957-0.00871732j 0.0787246+0.0656913j 0.0163285+0.0222649j 0.0404577-0.0432021j -0.00120858+0.0397822j -0.00156903-0.0345483j 0.0089319-0.0322317j 0.00445889+0.0222236j -0.00315192-0.0242427j 0.00549722+0.0274991j 0.0234247+0.0139373j -0.00924593+0.0051667j 
-0.017394-0.0148888j -0.0234013-0.00242182j -0.0272671+0.0251378j 0.0263283-0.0472289j 0.0135176+0.0410214j -0.019298+0.0145646j 0.0191401-0.0143476j 0.0344274+0.0134587j 0.00839951-0.0143975j 0.0152174-0.0528022j -0.0192345+0.0129603j 0.0420472-0.0345067j -0.0419036+0.000484292j -0.0159617+0.0286105j 0.0408417-0.0258455j 0.0431038+0.0401913j 0.0223369-0.0153201j -0.0161721-0.0238645j -0.00269207+0.0117011j 0.0225374-0.012501j 0.0174373+0.00608807j 0.0428149+0.00346818j -0.00415773+0.00620723j 0.0406542-0.00950329j 
0.0111807-0.00526408j -0.00286019+0.0239301j -0.0144623-0.00542497j -0.035364-0.0114258j 0.0551379-0.0279536j -0.0172735-0.0331539j 0.000670433+0.0221346j 0.025422-0.00920874j 0.00947181+0.00906875j -0.0485839+0.0243804j 0.00124332-0.0471379j 0.0160145+0.0263349j -0.0129824-0.00371783j 0.0610562-0.0251506j 0.0192749-0.0114167j -0.0152388+0.00947043j -0.022419-0.00622465j -0.035649-0.00293242j -0.0208202-0.0245012j -0.00822938+0.0156721j -0.0401018-0.0253189j -0.00733032-0.0085185j 0.0249551-0.0132993j -0.0318755-0.0175242j 
-0.00745369-0.00346904j 0.0121019-0.0113736j -0.0107668-0.0315167j 0.0192063-0.0315376j 0.0179674+0.00319419j -0.0106734+0.029526j -0.0140318-0.054352j -0.00331743-0.019195j 0.0041031-0.00705159j 0.0063807-0.00937687j 0.000764364-0.000108043j -0.051478+0.0134979j 0.00314413+0.0507112j 0.0477556+0.0371416j -0.020502-0.0136653j -0.024243-0.0097746j -0.00132514+0.0244288j 0.00605586+0.0167799j 0.00110213-0.0207128j -0.0192481+0.0309592j -0.0281604+0.0025401j 0.00481629-0.0222059j -0.00292298-0.00401272j 0.00484785-0.00403425j 
0.0361785+0.0143073j -0.0227398-0.0216432j 0.012125+0.0323382j 0.0283736+0.00638152j 0.00943931+0.0349833j 0.0305696+0.051208j -0.0609284-0.0519503j 0.0158794+0.0377852j 0.00339342-0.0164802j -0.0219238-0.0519571j 0.0361928+0.0422231j 0.108162+0.0299548j -0.0635496-0.0356048j 0.0053596-0.0177506j 0.029825+0.0073256j -0.0297683+0.0684502j 0.0175417+0.0458255j -0.0215522-0.0324786j -0.0038573+0.0113482j -0.0125246+0.0239665j 0.0330357-0.0482346j 0.00793461+0.0193981j 0.035562-0.0378151j 0.0216449-0.021556j 
-0.00164294-0.0246373j 0.0488542+0.0253162j -0.0270899-0.0614601j -0.0748761+0.00501224j -0.0415284-0.0755405j 0.0104227+0.0125313j 0.00612784-0.0259422j -0.00339135+0.00908102j 0.0094456+0.000901881j -0.08242+0.0408187j -0.0759511-0.0547813j 0.0250533-0.0107946j 0.0247929-0.00274282j -0.013651+0.0709759j 0.00973318-0.0494556j 0.00568281+0.0716489j -0.0176776-0.0626009j -0.00418172+0.0189312j 0.00659207-0.024551j -0.00432757+0.0011123j 0.0422679-0.0128194j 0.0132369-0.0353291j -0.000904448-0.0294661j 0.0273343-0.0210457j 
-0.0178081+0.0246921j 0.0123478-0.0363133j -0.05745-0.0299996j 0.10782+0.0777818j -0.0761493-0.0321947j -0.0174508-0.0389325j 0.00654424-0.0239316j 0.00801282+0.0062037j -0.00591925+0.0246877j 0.113823+0.0600569j -0.0654445-0.0228436j -0.03428-0.00565582j -0.0446333-0.0610481j 0.0159231+0.0310605j -0.0220353-0.0382925j 0.0249589+0.010647j 0.0487759+0.0164462j 0.0151372+0.0331859j 0.0314692+0.0304328j -0.0086165+0.015641j -0.0819924+0.016965j -0.0094722-0.00670797j -0.00613689-0.0149532j -0.0642502+0.0255086j 
-0.0248669+0.00580415j 0.0709648+0.0438505j -0.0157941-0.00179905j -0.0719264-0.0945406j -0.0106795-0.0134289j 0.00963697+0.0159809j 0.00598294+0.0460477j 0.0294334-0.0176925j -0.0033994+0.00434677j -0.0939274-0.0811417j -0.0611304+0.0072037j 0.00809541+0.0286301j -0.0153757+0.103835j 0.00776186-0.000303018j -0.0280789+0.0189704j 0.0943758-0.0183662j -0.0302734-0.0425247j -0.00225241-0.0174164j 0.0352941+0.0124611j 0.00769382-0.0177354j 0.00370394+0.0445368j 0.0197314+0.0133726j -0.0327161+0.0547117j 0.00244288+0.00197374j 
0.00302987+0.00686364j 0.0117763-0.0532199j 0.00752305+0.0556792j -0.0345656+0.068629j -0.00566047+0.0963461j 0.013902-0.0275844j -0.0113699-0.0054057j 0.0392066-0.0277342j 0.0357302-0.0267627j -0.0458243+0.115065j -0.0212109+0.0994084j 0.0520023-0.034894j 0.0301436-0.0146476j -0.000877042-0.0057121j 0.00267922+0.0116147j 0.0585231-0.061782j -0.0566027+0.029031j -0.0160206-0.0045205j 0.00600954+0.00662516j 0.00703146-0.0327803j 0.0780341-0.0769862j 0.0212418+0.0244435j -0.00505844-0.0386628j 0.0469495-0.0194543j 
