0.487078-0.236836j 0.247863+0.632845j -0.389823+0.138526j -0.151416-0.124304j -0.111844+0.0474606j 0.0790439+0.0105603j 0.0405528+0.0112351j 0.0273753+0.0304441j -0.100382+0.0501023j -0.0280843-0.0189387j -0.00993165-0.0705605j 0.00499828-0.0307001j 0.0170397-0.0240141j -0.0375657-0.0086261j -0.00935377-0.0390184j -0.0322918-0.009349j 0.011591+0.0279929j 0.00941559+0.0126817j -0.013471+0.0398515j 0.052231+0.00110154j 0.0455163-0.0445359j -0.023817-0.0124879j -0.00415054-0.0318506j -0.0367793-0.018842j 8.7202e-05+0.0338564j 0.0170033+0.00959088j -0.0185175-0.00370724j 0.0142483-0.0226035j 0.034316+0.0277178j 0.00870309+0.0315116j 0.00324844-0.00246754j -0.0300676+0.0508925j -0.0210925+0.0315255j -0.0100552+0.0496624j -0.040296+0.0341522j 0.00939047-0.0213404j 
-0.0246765+0.0447875j -0.0254808-0.0258199j 0.0026114+0.0120125j -0.0816972+0.0234347j -0.025269+0.0144856j -0.0638028-0.0773814j 0.0699201+0.00236415j -0.0833023+0.0188443j 0.0792496+0.0499133j -0.0605943-0.0637658j 0.0625097+0.0151451j -0.0347083+0.0717618j -0.260869+0.221792j -0.0720873-0.100646j -0.00350551+0.0950443j -0.130095+0.0148188j -0.0223928-0.0167591j 0.0142302-0.0853592j -0.0341296+0.0318128j 0.0135592+0.133739j 0.080038+0.123668j -0.153485-0.0839565j -0.14646-0.012138j 0.0464494+0.0717195j 0.00143291+0.0331832j 0.0913761-0.00841966j -0.220637+0.107887j -0.0698985-0.00220185j -0.144753-0.110385j -0.228591+0.0555405j -0.117913+0.0841237j -0.18834+0.193802j -0.248318+0.0958484j -0.0709529+0.113119j -0.12561+0.12837j 0.244261-0.0354678j 
0.0535318-0.00175928j 0.00147249+0.0330946j 0.0563166-0.00380481j 0.164135+0.075541j -0.0300574+0.0196483j -0.101168-0.0202558j 0.146122+0.0107928j -0.0729994+0.0153777j -0.0398866-0.00772339j -0.131525-0.12374j -0.110853+0.114086j 0.142257-0.00832847j -0.0384408+0.121619j 0.0710866+0.0512699j 0.0208124+0.0119194j -0.0648196-0.0654663j 0.0471313+0.00691569j 0.0458967+0.0896327j 0.0957516+0.0792813j 0.0440433-0.0326344j -0.00403447-0.0620042j 0.0692987+0.00934668j 0.0758625-0.148698j 0.027971-0.0154827j 0.0583708-0.0497544j 0.212892+0.0810226j 0.0479473+0.222412j 0.0279806-0.0352823j 0.0131523-0.0546886j 0.0576306-0.0578154j 0.0958602-0.0840118j -0.0795521+0.11454j 0.101183+0.0242497j 0.0663228-0.0880602j 0.292283-0.0494085j 0.0840907-0.11292j 
0.0226635+0.00349043j -0.013895+0.0467121j 0.0143864-0.00461383j -0.104266-0.0216142j -0.0499469-0.0295357j -0.0552187+0.029145j -0.0950593-0.0530616j -0.0136049+0.00994137j 0.0389981-0.0315696j 0.0271341+0.0569785j 0.0533248-0.0264931j -0.0353902-0.0647412j 0.0204015-0.0550918j -0.0147806-0.0684719j -0.0400327+0.0238824j 0.0406794+0.0183325j 0.0366457+0.0319936j -0.0653691-0.0785567j -0.0065133+0.04038j 0.0530376+0.104774j 0.146402-0.073996j 0.0663109-0.0994109j 0.12121+0.0889325j -0.0290122-0.0207239j -0.117721+0.111137j 0.0703928-0.229069j -0.0654811-0.0554173j -0.221033+0.196581j 0.146189-0.144403j 0.0399829-0.130096j -0.0982813+0.10971j 0.0818306+0.121813j -0.141392+0.0852681j 0.212698-0.145014j 0.0404988-0.0570286j -0.046274-0.0647789j 
0.0185386+0.0019335j 0.031427-0.0182487j -0.00514845-0.0272682j 0.0142634-0.00565316j -0.0155916+0.0698966j -0.0169129-0.0241774j 0.046113+0.0421831j -0.0915561+0.0245976j 0.00229288-0.00280901j -0.0891108-0.103837j -0.01869+0.0297273j 0.0472549-0.0288078j -0.0414288+0.0470654j 0.0716558-0.109981j 0.00354591+0.0215085j -0.0534025+0.00925893j 0.029125+0.0344076j -0.00639669+0.00918465j 0.108648+0.0639424j -0.0340078+0.075786j -0.156008-0.100838j 0.00691297-0.045635j 0.0428456+0.0463054j 0.120883-0.03614j -0.229679+0.166812j 0.0179703+0.144716j 0.259799-0.120299j -0.281363+0.392513j 0.173008-0.00438968j -0.189467+0.0225141j 0.0823564-0.00484293j 0.0209274-0.0670828j 0.104317-0.0598039j -0.0402501+0.0131702j 0.0358627+0.0239932j 0.0781748+0.00465132j 
0.037803+0.00530293j 0.0117845+0.0272414j -0.0313544+0.0337992j -0.0451956+0.00738903j 0.018215-0.00539363j 0.000884362-0.00152002j 0.0188206+0.00362035j 0.0183604-0.059973j -0.0704246-0.0114998j 0.0114745-0.0500049j -0.0358145-0.0228939j -0.0460065-0.0411454j -0.00981106+0.0713129j 0.0414896-0.0237183j 0.0324941+0.0146642j 0.0191367-0.0155564j -0.0338131-0.0276215j -0.00588248-0.0463705j -0.0134109-0.0462679j -0.129065-0.0358272j -0.24931+0.00097947j -0.0549744-0.0334448j -0.0868181-0.148387j 0.0944275+0.0410126j -0.0589025-0.00343939j -0.118964+0.159822j 0.237081+0.0547284j 0.0755962+0.0779503j 0.110353+0.206095j -0.051639+0.265651j 0.0646812-0.0666334j -0.0249593-0.0778541j 0.148322-0.0648158j -0.171457+0.199401j -0.113829+0.0962699j -0.0314555+0.00998951j 
0.0343865-0.00700455j -0.00449377+0.0647611j 0.0569629-0.0256537j 0.0277739+0.055766j -0.0309328+0.0296862j 0.0189912-0.068178j 0.0860836-0.0141977j -0.0875122+0.0241783j -0.0280972+0.0365348j -0.0714963-0.0675089j -0.0231717+0.0418294j 0.0720316+0.0358462j 0.0264045+0.0306103j 0.0531497+0.0218598j 0.0487871-0.00506275j -0.0552004+0.0215341j -0.0147376+0.057279j 0.0303937-0.0128287j 0.115984+0.0136962j 0.0400928-0.04495j -0.013819-0.0448356j 0.0577734+0.074018j 0.0256902-0.0637539j -0.0805295+0.0866126j -0.012049-0.0639967j 0.218693+0.00347892j 0.132218+0.0749971j -0.0571878-0.0493247j 0.00835352-0.0083202j -0.00324542-0.0557461j -0.0660369+0.114963j 0.0323605-0.0135334j 0.116682+0.0762574j 0.0819182-0.0135497j 0.024931+0.0758935j 0.111037+0.044104j 
0.0166089+0.0382199j -0.0246735-0.0130312j 0.0612484+0.00358982j -0.093054-0.0529388j -0.0694513-0.0978504j -0.0193098-0.0174706j -0.10298-0.0759735j -0.0438983-0.0946775j 0.137957+0.0626498j -0.00589+0.0792722j 0.066882-0.0560529j 0.0151526+0.152237j 0.00542534+0.0250175j -0.00395678+0.0793278j -0.00741181-0.00659263j -0.0214072-0.014044j 0.201851+0.0638284j -0.0496897-0.0275474j 0.0288181-0.0100344j -0.0874191-0.110105j -0.0878324+0.0478629j -0.0550651+0.160274j -0.0611014-0.36911j 0.157446-0.0794631j -0.289691-0.142461j 0.00851583-0.0271638j 0.0136339+0.0585168j 0.0526513-0.0447591j 0.157541-0.112882j -0.175312+0.00976443j 0.038951-0.0131361j 0.080191+0.0725069j -0.0837828+0.0610022j 0.0719162-0.00716385j -0.0216216-0.00548653j 0.00655691+0.0180182j 
0.016977-0.00691117j -0.0523229-0.0472835j 0.0461265+0.0175392j -0.0285777+0.0209433j -0.0182842-0.0308985j 0.0139264-0.0262911j 0.0116526-0.0158847j -0.0402072-0.0677325j -0.000791379+0.0208277j -0.0217954-0.0160172j 0.00701824-0.0244904j -0.0143494+0.00138505j 0.00691815+0.0226246j 0.0110664-0.00821207j 0.00275519+0.00463795j 0.00431024-2.23267e-05j 0.00278203-0.0152306j -0.00537865-0.050872j 0.0513692+0.0411698j 0.0787857+0.00269354j 0.0719045-0.10568j 0.172482+0.256148j 0.311553+0.187113j -0.223823-0.24632j 0.0527946+0.0741234j 0.121328+0.17986j -0.106692-0.147459j -0.0639677+0.147272j 0.0174757+0.213827j -0.0218323+0.0890795j -0.0629184-0.0399849j 0.0422119-0.206731j 0.0458125+0.00100274j 0.0878824+0.0554076j 0.0029581+0.00926278j 0.00435801+0.0397991j 
-0.00889878-0.0263196j 0.0127506-0.0137238j 0.0400702-0.0654893j 0.0625065+0.0672466j 0.0287547+0.0585973j 0.0548733+0.00457923j 0.10167+0.0105268j 0.117792+0.0777151j -0.137313-0.104106j 0.0166016-0.087192j -0.0187596+0.0149889j -0.050406-0.108012j 0.0143254-0.0465332j 0.018639-0.0840055j 0.0760347-0.0196603j -0.0280875+0.0108307j -0.139961-0.0753907j 0.105285+0.00596639j -0.0430434+0.0208967j 0.000151681+0.146438j 0.0265462-0.0177171j -0.175157-0.204453j -0.00534482+0.0777996j 0.0294227+0.124177j 0.1684+0.16436j -0.0246455-0.136266j 0.0906492+0.0127345j 0.0762913+0.0335823j -0.11957-0.0531616j 0.136682+0.00984858j -0.0353562+0.0988299j -0.0234157+0.0295143j 0.117418+0.000885882j -0.0429683-0.0409278j -0.0623505+0.0755582j 0.0342336-0.0179786j 
-0.0727406+0.0615056j -0.075458+0.00518148j 0.0784123+0.0844551j -0.221022-0.0280808j -0.0703058-0.0327132j 0.144717+0.0122285j -0.0155602+0.0213369j -0.0888264-0.0600058j -0.0751903+0.0261073j 0.084482+0.0915038j -0.0502229-0.0159229j -0.0199112-0.0643294j 0.0492306-0.0398362j 0.0554745+0.0358062j 0.070065-0.034581j -0.0372449-0.0658564j -0.119425+0.0554812j 0.0078872-0.0193667j 0.0731925-0.016992j 0.0149165-0.0565515j -0.000856397+0.0025797j -0.00434704-0.0736138j -0.071944+0.0573936j -0.226186+0.0890432j -0.0329505-0.139885j 0.0609834-0.23538j 0.134798-0.0832399j -0.113652-0.0868144j 0.0180441+0.16881j 0.0317862+0.00870943j -0.19493+0.12671j 0.102338-0.0204108j 0.119593-0.0420576j 0.0940107+0.00410824j -0.23986+0.145685j 0.133348-0.00286488j 
0.135947+0.0633674j 0.0719054+0.0837638j 0.108156-0.00229572j 0.106789+0.16124j 0.00769681+0.0346497j 0.0558309-0.0197283j 0.0332849-0.0176269j 0.0912797+0.146521j 0.158203+0.0705618j 0.0393094+0.104491j 0.0722414+0.0831423j 0.0282036-0.0335912j 0.0087063-0.031305j 0.0258556+0.0545223j 0.0427816+0.0127644j 0.0330677+0.0360931j 0.165192+0.0234332j 0.108803-0.000652627j -0.152377-0.21397j -0.230739-0.183509j 0.123575+0.140343j 0.00491931+0.0656474j 0.137925+0.141045j 0.161076+0.163478j -0.132316-0.0572808j 0.0854307-0.0893638j -0.0930187-0.104874j 0.175541-0.16682j -0.101733+0.0279787j -0.00634476+0.11826j 0.0591144+0.112155j 0.0333404-0.178834j 0.0717236+0.0433408j 0.0528565+0.0318212j 0.0456029+0.0392402j -0.0255123+0.0177025j 
0.115077+0.0521233j -0.0231311-0.0238709j 0.210492+0.128732j -0.120316-0.0294162j -0.0303462-0.063952j 0.228194+0.0402266j 0.0758245+0.104211j 0.0107925-0.146769j 0.0163978-0.0494318j 0.0797881+0.0713616j 0.0928123-0.00851497j -0.121748-0.021634j 0.0261032+0.069483j 0.00504334+0.0326612j 0.0795056-0.0205419j -0.0710068-0.0894897j 0.0327409-0.10854j 0.194713+0.115465j 0.0328131+0.101855j -0.0886919-0.000997291j 0.0284434-0.0227035j -0.228465+0.010946j 0.176926-0.141238j 0.00260873-0.21373j -0.102831+0.0295139j -0.0145374-0.00185133j -0.0519676+0.041493j 0.203154+0.0409123j 0.0188816-0.0580911j -0.0107696+0.0449909j -0.0249346-0.139132j 0.116952+0.0242291j 0.103179-0.0138349j 0.111963-0.149412j -0.0340476+0.0498056j 0.137339-0.052384j 
-0.0266105-0.119238j -0.00384685-0.0442411j -0.0408806-0.189117j 0.00796158-0.0789992j 0.0538495-0.0103839j 0.0109856-0.190409j -0.00812602-0.143994j 0.0561448-0.0503334j -0.0262121-0.021879j -0.0398915-0.03505j 0.0462705-0.163653j -0.0469205+0.113707j 0.0204753-0.0808103j -0.041594-0.0359252j 0.053559-0.0525881j 0.0562781+0.0613894j 0.0218128+0.0150361j -0.0580606-0.253782j 0.00225512-0.0077443j 0.0656263+0.123335j -0.0286127-0.0531789j -0.0598354+0.223784j 0.0630759-0.2379j 0.0721375-0.0679587j 0.0506871+0.121276j 0.0920873-0.172277j 0.0585393-0.0863287j 0.0620698+0.0601043j -0.0178386-0.0366479j -0.0472023+0.060405j -0.00245829+0.219407j 0.0434227-0.0245991j 0.0223917+0.078081j 0.0767569+0.0355614j -0.0994673+0.0989462j 0.021555+0.0374994j 
