0.00117437+0.0165693j -0.0148954-0.00449202j 0.00763184+0.00907264j -0.004862+0.00669728j -0.00750714-0.0230301j 0.019278-0.00276661j -0.00442054-0.00437211j -0.00045582-0.00524458j -0.00196928-0.000288546j 0.00733517+0.00184526j 0.00244896+0.00952878j -0.0061912-6.1662e-05j -0.00708983-0.00381714j -0.00908753+0.00228186j -0.00381835+0.0153697j 0.00340902-0.00434449j 0.00122606-0.00567935j 0.0088037-0.00996175j 0.0179211+0.0152176j 0.00542066+0.00398066j -0.0162998-0.0175965j 0.00179177+0.00666595j -0.000354129+0.0160415j -4.82472e-05+0.00696964j 0.00291851+0.0101054j -0.00948252-0.00932978j 0.00645993+0.0017708j 0.0110463-0.00608446j 0.0107678-0.000319237j -0.011714+0.0143595j -0.0122664-0.0118701j -0.00384025+0.00306607j 0.0155535-0.00204024j 0.0129194-0.00469219j 0.00354964+0.0104103j -0.00688964-0.00574867j 0.00478814-0.00257981j 0.0107688-0.0110833j 0.008702+0.00263278j -0.00516114-0.00671481j -0.0122831-0.0205446j -0.00259632+8.19838e-05j 0.0157349-0.00499957j 0.00362011+0.00562738j -0.00336066+0.000464209j -0.00512433-0.0191075j 0.0131386+0.000700345j -0.0102393+0.00751431j -0.00866024+0.00832926j 0.00567661-0.00128964j 0.0105312-0.0133644j -0.000120307+0.00862881j -0.000343296-0.00396851j -0.000760959-0.00224904j 0.00639488-0.00784408j 0.007038+0.0029027j -0.00637983-0.00155107j -0.0158755-0.000951748j -0.00143172-0.0025033j -0.00175537+0.00742416j -0.00429139-0.00153076j -0.000481981-0.00435547j 0.00675604-0.000541554j 0.0037188+0.00208143j -0.00548036-0.00149957j 0.000573529-0.00278409j 0.00148583-0.00875245j 0.000950699+0.00559998j 0.00280114-0.00587388j 0.00995753+0.0029193j -0.00648992-0.000348973j -0.00522933-0.00105657j -0.00236666+0.00345791j 0.00711484+0.00333837j 0.0132418-0.00530629j -0.00213438+0.00649116j 0.00256384-0.00923992j -0.00079761-0.000398419j 0.0110609+0.00253534j 0.000798272+0.000137363j 0.0142535+0.00625867j 0.00801377-0.0064341j -0.00424638-0.00273214j -0.0233504+0.0102007j 0.00976634-0.0043779j 0.00726673-0.0046711j 0.00334528-0.00449299j -0.012326-0.00761537j -0.00722906+0.0105628j 0.00523543-0.00476626j 0.000675651+0.00613767j 0.000976888-0.0163974j 0.0254044+0.0249352j -0.00929696+0.00524607j -0.0103612-0.00393526j -0.0034514+0.0145599j -0.00242414+0.0125253j 
0.000898409+0.0246597j 0.00449931+0.00759952j -0.0252489-0.000554535j 0.00313669-0.0113693j 0.00891769-0.0391624j 0.00020833-0.0282132j 0.0383017-0.0132708j 0.0215165+0.0119318j -0.0128126-0.0226324j -0.0318825+6.37211e-05j -0.00525935-0.0015995j 0.0292061-0.0114825j -0.00444755-0.00262889j 0.0110538+0.00504889j 0.0185723+0.0152162j -0.0200826-0.00516155j -0.0663342-0.0127517j 0.0384151-0.0793775j -0.0574272+0.00531092j -0.00241909-0.0167989j 0.0286758-0.0292345j 0.0101996-0.034246j -0.00345418+0.0254443j 0.0602678-0.00710525j -0.00598781-0.0293371j 0.0381331-0.0401782j -0.011875-0.0424916j -0.0100914-0.0475426j 0.0357436-0.0261737j -0.00999163+0.028974j 0.071329-0.0013632j 0.112608+0.0365593j -0.0515003-0.0125718j -0.0567571-0.0209573j -0.0104777-0.00308126j 0.00563955-0.0152504j -0.0754548+0.0104029j -0.0341204-0.0773258j 0.0272371+0.0158581j 0.012889-0.00739027j 0.0319804+0.00179751j 0.0463427+0.0482539j -0.0141009-0.0542367j 0.0436956-0.0282316j -0.0118257+0.0322781j 0.0477605+0.000235452j 0.0219058-0.0317645j -0.0597855+0.036011j 0.0301234+0.00362953j 0.0145552+0.0414208j 0.0121061-0.0417525j 0.000473474-0.0131172j -0.0447289-0.0185958j -0.00896554+0.00399159j 0.0757428-0.0395493j 0.0186656+0.00684477j 0.00163665-0.00110323j 0.0053241+0.0219696j -0.0164214-0.0250746j -0.0270912-0.00240828j 0.0175457-0.00297856j 0.0100603-0.010546j -0.00829891-0.0248698j -0.0262823-0.00940996j -0.0127532+0.00920542j 0.0171721+0.000925785j 0.0767292+0.004638j -0.0107174-0.00181236j 0.0249575+0.00756687j -0.0283632-0.0347508j -0.0199642+0.0141932j 0.00417336-0.00728787j 0.0294439+0.0175409j 0.00445878-0.0133565j 0.0135864-0.035447j -0.0454423+0.002045j 0.0268894+0.0300699j -0.0223361-0.0205003j 0.0243339-0.00499551j -0.0119703+0.00818945j -0.0129891-0.00938301j 0.012728-0.0365033j -0.00208831-0.00715155j 0.00987831+0.0192252j -0.0103343-0.0219417j 0.0136977-0.0103587j 0.0229746-0.0188588j 0.0537856+0.0134115j -0.00744008+0.00734694j 0.0091501-0.0262562j 0.0297309+0.00615308j 0.000406062+0.000215008j -0.0107642+0.025879j -0.0158777+0.0194936j 0.043773+0.0205816j -0.0123105-0.00635024j 0.00356217+0.0187909j 
-0.0116893-0.0250715j -0.0104878+0.0122091j 0.01471+0.0289848j 0.00695179+0.0164696j 0.0222804+0.0433511j 0.0157686-0.0156228j 0.00500832-0.0158767j -0.00521598+0.0100824j -0.00497908-0.0100615j 0.01435+0.0437869j 0.0193068+0.0288113j -0.00990779+0.0272215j -0.0196442+0.00666908j -0.0164518-0.0114404j 0.00104123+0.0227058j 0.0395067-0.0291142j 0.0136135+0.0391477j 0.0285117+0.0117282j 0.0320848+0.000151208j -0.00689025+0.0135858j 0.0246125+0.00960352j -0.0622773-0.00558222j -0.00776722-0.00204332j -0.0435822-0.0370461j 0.0164158+0.0129914j 0.00436714+0.0204342j -0.0186551+0.0124264j 0.0234965+0.0309968j -0.0840918-0.0330213j 0.00172985+0.0514861j 0.0433276+0.078259j -0.00301337-0.101283j -0.0206613-0.086888j 0.0188977+0.00298854j 0.0191187-0.0228705j 0.0118916+0.0731868j -0.00257382+0.0508162j -0.026481+0.0710896j 0.0309662-0.0175487j -0.0491634-0.0826322j -0.0459331+0.0241391j -0.0673773+0.0350933j -0.0290837-0.0038068j -0.0655456+0.0497859j 0.0534554-0.0168449j 0.0402236-0.0125842j 0.00888777+0.00535721j -0.00180849-0.0401644j -0.00829736-0.00322244j -0.0532864+0.00899015j 0.0910381+0.0305105j 0.022289-0.00701866j -0.00154222+0.0502105j -0.00577613+0.036309j 0.0584607+0.0492341j 0.0225324+0.011377j 0.0449289-0.0077151j 0.0119849+0.0208819j -0.0372067-0.00873541j 0.0190658+0.00683454j -0.00913725+0.0195245j 0.0380322+0.0349879j -0.00636828-0.0264844j -0.023986-0.018387j 0.0159476+0.010976j 0.0142319+0.00312222j -0.0282339+0.030029j -0.0112333-0.00945818j -0.00436749+0.0102106j 0.0318833-0.0298408j 0.0202841-0.0274784j 0.0199869+0.0473398j 0.0061537-0.0270695j -0.0105326+0.000507879j 0.0195302+0.0402627j 0.0172356-0.018728j -6.47439e-06-0.0133193j -0.0209815+0.0357404j -0.0137854-0.0148935j -0.0137181+0.0337093j 0.0212746+0.00341053j -0.000178393-0.00216466j 0.0522721+0.0143403j -0.000484012+0.00792748j 0.0369685-0.00206239j 0.0137832-0.00464366j 0.0650552+0.0352892j -0.00346428+0.0269154j -0.0132034-0.0379959j 0.00224896-0.0074095j -0.0137539+0.0240368j 0.00891253+0.0204872j 0.00511942-0.00640713j -0.0471545-0.0221598j -0.0276652+0.0151452j 0.0094946+0.00660166j 0.00449387+0.00381643j 
0.003828+0.00633149j 0.0183096-0.0091375j -0.0147282-0.00762164j -0.0029363+0.00444391j -0.0046268-0.01226j -0.0236983+0.0195589j 0.00324845+0.00446457j -0.0142933-3.6141e-05j -0.00977222+0.0194673j -0.00622381-0.0224604j -0.0192201+0.012565j 0.0130725+0.00762529j 0.0196173+0.00240462j 0.0196655-0.0274509j 0.0051536-0.0292056j 0.0234957+0.00416266j 0.000118574-0.0371468j -0.0148439+0.0229589j -0.0287042+0.0303482j -0.029853+0.0119974j -0.0109762-0.0194356j -0.00880164-0.00611611j 0.0742994-0.0256972j 0.0144672+0.0384883j -0.0617888-0.0035157j 0.0189769-0.0245723j 0.0249726-0.00874196j 0.0198102-0.00877212j 0.00825869+0.00596107j -0.00168288+0.006728j -0.0454207+0.0199771j 0.0428782+0.0150717j 0.0586345+0.0342137j 0.0228952-0.0448188j -0.0849876+0.0503491j -0.129776-0.0882385j -0.0793562-0.0150095j -0.00675274-0.0280274j 0.103823+0.0537084j 0.048422-0.00718771j -0.00626891-0.118244j 0.0118569-0.0623463j 0.0204092-0.056361j -0.0395611+0.00904841j -0.0162949+0.0806147j 0.017347+0.00561421j -0.0510419+0.0512268j -0.00306314-0.0202375j -0.00456021-0.00579926j -0.0248362-0.0358863j -0.0634537+0.0571543j -0.0176082+0.0144158j -0.0288458-0.0602949j -0.00905522-0.0408798j -0.0477026+0.0639621j -0.0208681+0.064651j 0.0131912+0.0103313j 0.0223336-0.0499521j -0.00651636-0.0575586j -0.0221883+0.0258799j 0.028332-0.0436915j -0.0607466+0.0322512j 0.0270364+0.00382022j 0.0115693-0.0233086j 0.00181237-0.011369j 0.00167558+0.022191j -0.0163644+0.0164833j 0.0144539+0.00439812j -0.00908522-0.0111104j 0.0422283+0.0139523j -0.008722-0.0231359j -0.0438104-0.0197449j 0.03067+0.0252281j 0.0254623+0.0144945j -0.0286257+0.0227603j 0.0116534-0.00969609j 0.0127626+0.00663918j -0.0196942-0.0380377j -0.0041916+0.0265162j -0.00637463+0.00395869j -0.039974+0.0421363j 0.0144299-0.0325602j -0.0284629+0.0227614j 0.00803755-0.0496215j -0.00224782+0.0168703j 0.00255158+0.0353785j -0.00551345+0.0227297j -0.00838166+0.0183012j 0.0312035-0.0061719j 0.023956-0.0205853j 0.00637986+0.0058339j -0.0338665-0.00363239j 0.00320458-0.0214646j 0.00502403-0.0199844j 0.010278+0.0129774j -0.00995796-0.00995387j 0.00174094-0.0223832j 
-0.0106669-0.0138317j -0.00290407+0.00177805j 0.00605428+0.0292747j -0.0114365+0.0257541j 0.0146281+0.0262167j 0.00160724+0.00135795j -0.0241654-0.00179448j 0.00768356+0.0130769j 0.00938152-0.00201553j 0.0104669+0.0336131j 0.00381887+0.0370419j -0.0187102+0.0567233j -0.0048917-0.00150514j -0.0223281-0.0322456j -0.0411408+0.0174487j 0.0122401-0.00335907j 0.0357565-0.00253046j -0.0484102+0.0409363j 0.0176459+0.0102954j 0.00127098+0.00871502j 0.0611062+0.0282495j -0.0853233-0.043715j -0.0365846+0.0707861j -0.0569308+0.0171187j -0.0373108-0.015968j -0.00600423+0.0651729j -0.0414751+0.0211656j 0.0123472+0.0620472j -0.0432736-0.028756j -0.111756+0.0192983j -0.019298+0.0981479j 0.0303236+0.0517079j 0.0324909-0.0604432j 0.0586541-0.0360773j -0.0527315-0.0422542j 0.00681855-0.0414208j 0.0788831-0.101457j 0.00244868-0.0293054j 0.0510865+0.108212j -0.0559504-0.10159j 0.0374155+0.0309103j -0.0224214+0.0550341j 0.0598068-0.0270032j -0.0711089-0.0178865j 0.0113676-0.0494479j 0.0800349-0.0316046j 0.0273958-0.0424564j -0.0314958-0.0807553j -0.0642403+0.00560588j 0.0547233+0.00488067j 0.0772672+0.0222733j -0.0366152+0.00586097j 0.00315991+0.00592993j 0.0140839-0.0129551j 0.0381432+0.043142j 0.0548429+0.0297555j -0.0162105+0.0266615j -0.035209+0.0227374j -0.00866848-0.0243641j -0.05737-0.0721707j -0.00134748-0.000916421j 0.0417919+0.0508894j -0.0218103-0.00766388j -0.0461026-0.00649786j -0.0076637-0.0158565j 0.0389221+0.0080273j 0.0232663+0.0611258j 0.00130939+0.031294j 0.0317644-0.00268737j 0.020521-0.00465267j -0.000393414-0.0262264j 0.0278771+0.0306591j -0.0353717+0.0533863j 0.00182691+0.0426926j -0.0280707+0.0385056j 0.0438284+0.0179734j 0.000983149+0.0213397j 0.0165411+0.0325976j 0.0280056-0.00435198j 0.0159647+0.0228742j -0.00969835+0.0157863j 0.00823555-0.00163965j -0.0304521-0.0241176j -0.00150164+0.0332475j 0.0591529+0.0241633j 0.0275431-0.0136236j 0.0263255+0.0208284j 0.0293401+0.0369976j -0.0035928-0.0146248j 0.00348801+0.027813j 0.00320425+0.0351516j 0.0200608+0.0297022j -0.015496+0.000141978j -0.0082744-0.00549349j 0.0108956+0.00655036j 0.0243102+0.0164287j -0.00268412-0.00651337j 
-0.00552682+0.00546631j 0.0138822+0.000244528j -0.0306547+0.00735872j -0.0242613+0.0215827j 0.00547572-0.00316194j -0.0225797+0.00659352j -0.0154651+0.0317198j -0.00169902-0.0128618j 0.00569882-0.00184894j -0.0249843+0.0154933j -0.0351741+0.0276419j -0.0114601+0.00900137j 0.00328567-0.0301397j -0.00522066+0.028427j -0.0301132+0.0384358j 0.0176357+0.021407j 0.0255924-0.0260432j -0.0741132+0.0828809j -0.0201818+0.0208048j 0.00809328+0.0121503j 0.0299721+0.000503352j -0.052392+0.0506211j 0.0324373+0.0626212j 0.0516796+0.027955j -0.0129061+0.100058j 0.00798768+0.00416029j -0.0589948+0.0400862j -0.0177268+0.0200616j -0.0472911-0.012176j -0.0161783+0.076502j 0.0197971+0.0347157j 0.0214963-0.0124462j 0.00193533-0.0725812j -0.0181115-0.0069448j -0.0492741+0.0335547j -0.00489525+0.0715998j 0.0297259-0.057125j -0.0819152+0.0100348j -0.0153781-0.0845316j -0.0199426-0.00619037j 0.0449446-0.0392199j -0.0617938-0.0534552j 0.0212224+0.0518992j -0.0279417+0.0286303j 0.000866735-0.0543897j 0.03924-0.0485357j -0.0527293+0.0195989j 0.025909+0.0104373j 0.0139406+0.0752879j 0.0103719-0.130465j -0.0141914-0.026283j 0.00102939+0.0735206j -0.0324782+0.00523999j 0.00117077+0.00524975j -0.0118089+0.0205655j 0.0186113-0.00864372j 0.0279151+0.0233211j 0.030798+0.0071631j 0.00367718+0.0213417j -0.0186983+0.0475222j 0.0114943+0.00329523j -0.0225694-0.0175684j -0.0344976+0.0483247j -0.0189204+0.0159878j 0.0313917+0.00992549j -0.0162403-0.0397693j -0.0275912-0.0271747j -0.00700881-0.0144358j 0.0533343-0.0153403j -0.0254919+0.0472601j 0.028516+0.00249342j -0.00668586+0.0280386j -0.0113519-0.000858697j -0.0110026+0.0262076j -0.0196915+0.0470039j -0.0021701-0.0164304j 0.0152227+0.0298484j -0.0276781+0.00400132j 0.0111786-0.00475892j -0.0275978-0.0465589j -0.0108948-0.000244695j -0.00714103+0.0254388j -0.0234232+0.0209727j -0.00191698+0.00574012j 0.00909258-0.00704104j -0.0016928-0.0195532j 0.00479439+0.00865663j 0.00408409-0.0296796j -0.0116913-0.00456195j 0.00588064+0.03296j -0.018533-0.0177358j -0.0177944-0.0195439j 0.0406443-0.0135728j -0.000474926-0.0155628j 0.0170012-0.0207554j -0.0112552-0.0151241j 0.018109-0.00199658j 
-0.023149+0.0169665j -0.00429143-0.00296381j 0.0105824+0.00526732j 0.00990048+0.0167101j 0.0356686-0.0201368j 0.0111593+0.00188913j -0.00229119+0.0337697j 0.0220642+0.0498773j -0.00085604+0.000903669j 0.0120506-0.016174j 0.0340888+0.0280426j -0.00339082-0.0391694j -0.0338642-0.0749399j -0.0112884+0.023242j -0.0115183-0.00166128j -0.0203265-0.0555011j 0.0183369-0.0330357j -0.0178509-0.0195018j 0.00555335+0.0126812j -0.0162366-0.0278943j 0.0606633+0.0557175j -0.0613189-0.00879532j -0.0361142-0.0413101j -0.0588507-0.0197583j 0.0155887+0.084874j -0.00230856-0.0547877j -0.0237086-0.0146712j 0.040758+0.0171812j -0.0411346-0.00411044j -0.0332565-0.030476j -0.0462758-0.0537938j -0.021138+0.00266781j -0.0140625-0.0432641j 0.0100405-0.00683141j -0.036491-0.00908631j -0.0153192+0.0505329j 0.0380954+0.0438785j -0.0180506-0.0606885j 0.0569183-0.0523135j -0.0168135+0.00510149j 0.0299618+0.0373j 0.0332163+0.1203j -0.0370169-0.00368048j -0.0872755-0.0163786j 0.0401209-0.000837714j 0.0532859-0.0217039j 0.0574087+0.0961628j -0.00465697+0.0722186j -0.0417161+0.0282511j -0.0154988-0.0230899j 0.0665997-0.00016167j -0.0349307+0.010265j 0.0466831+0.0224128j 0.0129637+0.00256159j 0.0290401-0.0235699j 0.0196126-0.0108672j 0.00889157+0.00292899j -0.0100587-0.0433546j -0.0459816-0.0218388j -0.0367418+0.0139105j 5.162e-05+0.00830072j 0.0130633-0.0142168j 0.0119122+0.0700581j 0.00840083+0.0510555j -0.0087089+0.0046946j 0.000702451-0.0328134j 0.0241423+0.046257j -0.00926972-0.0309867j 0.00787377-0.00219839j 0.0329388+0.0344283j 0.0118593+0.00100212j 0.015818+0.0193383j -0.0176872-0.0408665j -0.00453724-0.0188632j 0.0281125+0.0116211j 0.0271308+0.0130059j 0.0029816+0.0271987j 0.0167658+0.0198921j -0.0140605-0.0122999j 0.0488542+0.0317286j 0.00167595+0.00690158j -0.0142506+0.01258j 0.026328+0.0403422j -0.0132249+0.00691127j 0.0331875-0.0081196j 0.00440257+0.00909328j 0.0366286-0.0141267j 0.0136507-0.0199122j -0.00906564+0.0166434j 0.00437134+0.0169447j 0.0246023+0.0322922j 0.0255454+0.00215414j 0.00494396-0.0336574j -0.0219654-0.00860847j -0.00594895-0.016523j 0.00747002-0.00781447j 0.00173584-0.0118644j 
0.00652518+0.00250824j 0.00982466+6.47532e-05j -0.0360613+0.00702854j -0.0230095+0.00332002j -0.00800348+0.00119204j -0.016303+0.00235187j 0.0021996+0.00532545j 0.00306529-0.0114748j -0.0143862-0.0253055j -0.0310566+0.0197491j -0.0276521+0.0117766j -0.0308427+0.000937567j -0.00305495+0.00423869j 0.0412588+0.0280575j 0.0128713+0.0337077j 0.00405099+0.0246783j 0.00344806-0.00546682j -0.0745111+0.0347229j -0.0552044-0.0180578j -0.00513838-0.0175473j 0.0223723-0.0384117j 0.0197238+0.0270867j -0.00607315-0.0084428j 0.0113787-0.0209425j 0.019646-0.00589894j -0.00337578-0.0156407j -0.0632334-0.00173817j -0.0747969-0.00192249j 0.0105115-0.00720398j -0.0089694+0.0363674j -0.0914044+0.0475506j 0.0260871-0.0261303j -0.0342267+0.0181559j -0.0459543+0.0130243j 0.0152154-0.00877331j 0.0681791-0.0596685j 0.027456-0.11359j -0.00924583+0.0415912j -0.111313+0.0892928j 0.102302+0.0343934j 0.0292205-0.00530136j -0.136548+0.0209917j -0.0138155-0.0851582j -0.0172275-0.0176306j 0.0488222+0.036687j 0.105179+0.0164598j 0.0394776-0.00693339j 0.0191124-0.0450412j 0.0179257-0.00669756j 0.0293734-0.03987j 0.035026+0.0338685j -0.00153697-0.0148892j 0.00560202+0.0229676j 0.0105693-0.00367476j -0.0100803-0.0191928j -0.0249799-0.032902j -0.00499229+0.0141695j 0.016518+0.0309435j 0.0368939-0.0110591j -0.00809507+0.0099214j 0.0252196-0.00565622j -0.00848748-0.0251693j -0.0304332+0.00462927j -0.0246363+0.0151855j -0.0029689-0.00837378j -0.0204467+0.0159228j -0.0149642-0.00104263j 0.00586085+0.00583472j -0.0121687-0.0327332j -0.0271662-0.0137758j 0.0601469-0.00233242j 0.0171363-0.0156008j -0.00337175+0.0318888j -0.0596202-0.00287795j -0.0459297+0.00588946j -0.0071707+0.00489979j 0.00227989-0.0441242j -0.0432258+0.0136936j 0.0114045-0.0426178j -0.0501369+0.0374281j -0.0300203-0.0136979j 0.00454993-0.0127847j 0.0269184+0.0345052j 0.0394621+0.0179575j -0.00996223-0.0125817j 0.0131192-0.00955139j 0.000942592+0.0190278j 0.0376522+0.00388856j 0.0190517+0.0111444j 0.00527561-0.0121571j -0.0115774+0.0208606j 0.00239885-0.00973877j 0.0351375+0.0114238j 0.00574605+0.00611251j 0.0244806-0.00226402j -0.00367554+0.0040661j 0.0349135+0.0112933j 
-0.0190905+0.00848817j 0.00446158+0.0109632j 0.00535139+0.00279143j -0.00373061+0.023394j 0.0223397-0.00351371j -0.00743097-0.0152747j -0.0276314+0.0153097j -0.0242289+0.0305349j -0.0122314+0.0077734j 0.00348461-0.00799297j 0.0109978+0.0181683j 0.0160314+0.0273394j 0.0261389-0.0150632j -0.00134933-0.0174658j 0.0136714-0.00795563j 0.0348822-0.0461321j 0.0529247-0.0634667j -0.0240933-0.0215955j -0.0152503+0.0154476j -0.0013624-0.038131j -0.0378534+0.0119528j -0.0359967-0.0478842j -0.0598617+0.0457311j -0.0459286-0.0541123j -0.0427513-0.0404809j 0.0237749+0.00566123j -0.0115089+0.070635j -0.0435269+0.0231987j -0.0690375+0.0408413j 0.0378504+0.0134984j 0.0622443-0.0989343j -0.0235792+0.128246j -0.0289434-0.048204j 0.0254192-0.00608921j 0.0455762+0.0161648j 0.0684508+0.0278981j 0.00688238+0.0684744j -0.00389555-0.0764554j -0.0417434-0.0341129j -0.074259+0.0148179j 0.0494851-0.0670202j 0.035214+0.0857152j -0.0587132+0.0400506j -0.029971-0.0404223j -0.00252103-0.0405008j -0.0217263-0.0646835j -0.101084-0.0116036j 0.0294011+0.11974j -0.0224403+0.0292388j 0.0344439-0.0219602j -0.0100452-0.170401j -0.0103529+0.0333244j 0.0321864-0.021064j 0.0299024-0.0499061j -0.050801-0.0737467j -0.0274538-0.00164842j 0.000674119+0.00903827j 0.0590481+0.0221779j -0.00761436-0.0331467j -0.00197699+0.0741733j 0.0074309+0.0159136j 0.0189468-0.0240865j -0.0618491+0.0308515j -0.0161468+0.0519886j 0.0229463+0.0244578j 0.00918794-0.0356402j -0.00949122-0.0616536j 0.00699991+0.0151727j -0.0301276+0.0216101j -0.0452577+0.0439782j 0.0117549-0.00226475j 0.0412439-0.0199533j 0.0060589-0.023625j -0.0112048+0.00540118j -0.0352621+0.0194703j 0.0191821-0.0047893j -0.0239009+0.0447222j 0.0302382+0.00972018j -0.0281552-0.0174421j 0.0164502-0.00970701j -0.01062+0.0228805j -0.0358527-0.0237781j -0.00841504-0.0146448j 0.0299718+0.0100403j 0.00281876-0.0399016j -0.0257751-0.025497j -0.00562279-0.0406974j 0.0111981-0.0567004j -0.00322097+0.0111393j -0.0299785+0.000564834j 0.00427105-0.000961567j 0.014648-0.0629652j 0.0433296-0.0019821j 0.00990097+0.00722968j -0.00200619-0.0176329j 0.0163902-0.0298034j 0.0278953-0.0048261j 
-0.00281984+0.0133815j 0.00801096+0.0126307j -0.0136567-0.00362563j -0.0229096+0.019895j 0.00260608-0.0153561j -0.0163997-0.0177334j 0.00319742+0.00828365j -0.00151011-0.0316342j 0.00639894+0.0362845j 0.00146192-0.0171748j -0.039113+0.0217078j -0.0443481-0.0173076j -0.00599601+0.0142197j 0.0192164+0.0339153j -0.0566095+0.00487335j 0.0190387+0.0373011j 0.00847136+0.00786777j -0.0133361-0.00825833j -0.00835209+0.024141j 0.00204492-0.0247326j 0.0422815+0.0557377j 0.00827872+0.0503183j -0.0169536-0.0352943j 0.000648427-0.0221731j 0.00639071+0.0163993j -0.0572505+0.00508228j -0.0260511-0.00948632j -0.00147453-0.0778019j -0.00507811-0.0760143j -0.0475574-0.0188078j 0.0816658-0.0148999j -0.0673004-0.00915198j 0.0601088+0.0697171j 0.0478575+0.0126472j -0.0621235+0.0791109j 0.00320358-0.0176862j 0.04693-0.000598535j 0.047701-0.0491607j -0.0153901-0.0218359j 0.0112273+0.0315833j 0.0680462-0.0035394j 0.0427713+0.0324409j 0.0653521-0.00929704j 0.05742-0.0338633j -0.00733132+0.0213093j 0.00602131-0.0219759j 0.0288057+0.0104296j -0.00485693+0.0416918j -0.0474879-0.0220561j -0.0337655-0.0806211j 0.0149034-0.00258934j -0.0134917+0.044791j -0.0161689-0.0202739j -0.00599185-0.0237617j 0.0124006-0.0286471j 0.0214257+0.0127015j 0.0262942+0.00842867j -0.0213097-0.053031j -0.00846534-0.00451292j 0.0442085+0.0262389j 0.00405085-0.0193314j -0.0192219+0.00108458j 0.0479847+0.027155j -9.19153e-05-0.00662598j 0.0139968-0.0188337j 0.00414068+0.018153j 0.00792179+0.0116105j -0.0182062-0.0475443j 0.0250456-0.0167582j 0.0183142+0.0506034j -0.0174942+0.0164083j -0.0233747-0.0439379j -0.0460916-0.00584896j -0.00659058+0.00835406j 0.0209091-0.00251322j -0.0237765+0.0189686j 0.0213159-0.0248584j 0.00903563-0.00276507j -0.000120092+0.00203549j -0.0217113+0.0227616j -0.0294449-0.000434239j 0.0167598+0.0110879j 0.00534298+0.00669038j -0.0393154-0.0276838j 0.00721721+0.0215334j 0.012888+0.0222579j -0.00911842+0.000686673j -0.000508072-0.0230701j -0.0171514+0.0268j 0.013051+0.00945383j -0.00941474-0.00374605j -0.0374424-0.0261833j -0.0319246-0.0380642j -0.010329-0.0138069j 0.00479215-0.0176966j -0.025015-0.00445757j -0.00178379-0.0167502j 
-0.00484372-0.0010319j 0.00636647+0.00341077j -0.000419103-0.0110878j -0.000358608+0.00360071j 0.00791911+0.00946875j -0.0143596-0.00650749j -0.00749991+0.0108327j 0.0110362+0.0227695j 0.0178438-0.00184491j -0.0119343-0.023504j -0.00151711+0.00969623j 0.00229193-0.00158836j 0.00566103-0.00155232j -0.0243177+0.00220484j -0.0265078-0.00149446j -0.0449982-0.0318382j -0.00570431-0.0458765j 0.00466758-0.0180178j 0.00974547-0.0139179j 0.0127528-0.0325308j -0.000301892+0.0234339j -0.00439287-0.0163931j -0.0532949-0.0246547j 0.0279262-0.0398634j 0.012403-0.00974852j -0.0265513+0.00622837j 0.0019621-0.00643526j 0.00553498-0.0353965j -0.000101082+0.00615842j 0.0275578+0.018666j 0.0909952-0.0931105j -0.0765422+0.0468318j -0.018689-0.0224416j -0.00781025-0.0889338j -0.0159705+0.0699857j 0.00911746-0.0500522j 0.0504533-0.0123015j 0.00539282-0.0501981j -0.0243306-0.00569372j -0.0623772+0.0883903j -0.00120685-0.107029j 0.0809113-0.0655436j -0.023499-0.121031j 0.0947153-0.0672535j 0.0312222+0.109797j -0.0273687+0.0472908j 0.0289306+0.0475032j -0.0269811+0.0421821j -0.0219129+0.0214271j -0.0112299-0.0689244j 0.0269757+0.0343606j -0.0125618-0.00042025j -0.0440309-0.0601244j 0.00885538-0.0601833j 0.0637255+0.00493231j 0.036143+0.0337523j -0.00209219+0.0252932j -0.0244839+0.00546478j -0.0437422-0.0528979j 0.031789+0.0640071j 0.0309084-0.0184207j 0.037469+0.00155869j 0.0103199+0.0096298j -0.0384666+0.00496353j -0.00353908-0.0132281j 0.0299456-0.00894886j 0.00368684-0.048098j -0.0316089-0.0181036j 0.0111137-0.0163166j -0.0165545+0.042318j -0.0287802+0.039566j 0.00827964-0.00748219j 0.00369036-0.00887146j -0.00462175-0.0344264j 0.0379508-0.00258236j -0.0418467-0.00152825j 0.00961114-0.00223966j -0.00533945-0.0365393j 0.0215518-0.0166899j 0.0131436-0.00634696j 0.00554885+0.0185484j -0.0231705-0.0462142j -0.010431+0.0586916j -0.0563078-0.0211233j -0.0176704-0.0184158j 0.00145356+0.0294888j -0.00431438+0.0170097j 0.0323261-0.00222688j -0.0217559+0.00704555j -0.0307731-0.0251217j 0.00292772-0.00819824j -0.0123362-0.0223664j -0.0181078+0.00618176j -0.00701028-0.01854j 0.0184347-0.010119j -0.0166171-0.014218j -0.0129265+0.00754993j 
