0.0230979+0.0404041j 0.0120277-0.0862922j 0.0531083+0.00973983j -0.0347144-0.0107182j 0.0733645-0.0172975j -0.063044+0.0532804j -0.00243834-0.000439583j -0.0217263+0.0163045j -0.0340772-0.00390885j 0.00117249+0.0203006j -0.0475435-0.025767j 0.0413294-0.00680854j 0.0224317-0.0437868j 0.0144716-0.0713324j -0.0620508-0.00559563j 0.00630303-0.0108337j -0.0175752+0.00485375j -0.00463254+0.00126759j -0.0183681-0.0193359j 0.00884195-0.00556644j -0.0141612-0.00256256j -0.0144464+0.0102853j 0.0227113-0.00758656j 0.00139567-0.0112373j 0.00337896-0.00238125j -0.0350519-5.20765e-05j -0.0351686-0.0159808j -0.0233098-0.0247705j -0.00924803+0.00779613j -0.00911349-0.00602842j -0.00080162-0.00967909j 0.00565685-0.0119036j 0.00170433+0.0434163j -0.00609347+0.0451986j 0.00170866-0.0235719j -0.00522522+0.0500946j -0.00909164-0.0163963j 0.0704427-0.00113446j 0.0278844-0.0384263j -0.0259033-0.0272088j 
-0.00636413+0.000254855j 0.0488634-0.000490537j -0.0340599-0.00489995j 0.0014524+0.000339463j -0.0449405-0.00970649j 0.0343745-0.00519622j -0.0176601+0.0199395j 0.0084116-0.0206105j -0.00879713-0.053985j -0.0788936-8.56842e-05j 0.00717623-0.000630192j 0.000378626+0.000221338j 0.00928771-0.0540087j 0.0111229+0.0194549j -0.0179427-0.0204161j -0.0248816-0.0246654j -0.0146662+0.0440667j -0.00910746-0.0163911j -0.0636097+0.016375j -0.0049807-0.0425521j 0.00397006+0.0340721j -0.0124253+0.0490308j 0.000624288-0.0536683j -0.00801193-0.0427926j -0.0166274+0.015104j 0.0248613+0.0016366j 0.000328953-0.00537485j -0.115988+0.000262879j 0.00019306+0.0262332j -0.0389954+0.000113748j -0.0167613-0.0153425j 0.0144136-0.0410826j 0.00167746-0.0532413j 0.0143738+0.0488407j -0.00560596+0.0329489j -0.00165152+0.042043j -0.0632319-0.0166232j 0.00907158-0.0189716j -0.0151475-0.0448673j -0.0258573+0.0251385j 
0.00116847+0.0201847j 0.0141318-0.0036824j 0.00257525-0.00647076j -0.0262494+0.0381174j -0.039938-0.0269907j 0.0565774+0.0373535j 0.00465799-0.00899329j -0.0173519+0.00122485j -0.00640832-7.45257e-05j 0.0206163-0.0127573j -0.0162907-0.0524505j 0.0497934+0.0233227j 0.0711979+0.00450495j 0.0576348-0.0519278j -0.0329154-0.053366j -0.00562891+0.00579552j 0.00711474-0.00166863j 0.000540284-0.00395376j 0.0105769+0.0177431j -0.0226599+0.0167944j 0.0336931-0.00533931j 0.00484252-0.00989124j -0.0248014+0.00445037j -0.0192929-0.00996715j 0.0146743+0.0271883j 0.0181745+0.00631996j 0.00882803+0.0361044j 0.0316996+0.0425807j 0.0131773-0.0184292j 0.00246224+0.011614j 0.0176104-0.00951635j 0.0041121-0.00768994j 0.00355385-0.0172011j 0.0399219-0.0310764j -0.0193497-0.00289631j 0.0192486-0.04402j -0.00274003+0.0284252j -0.0402098-0.0264339j -0.0450026+0.0160208j 0.0128941+0.0303076j 
-0.0130862-0.0708648j 0.00674474-0.0496241j -0.00607447-0.0200034j 0.00681893+0.0123937j -0.0165088-0.0180769j 0.0266611+0.00646795j 0.00432996+0.00777796j -0.00525151+0.00471547j -0.0257465+0.00282007j 0.0235814+0.035266j 0.0150526-0.0103683j -0.00305108+0.0358353j -0.00988415+0.0417126j 0.0336006+0.0135598j 0.0185959-0.0121068j -0.0137359+0.0165362j 0.0115412+0.0288771j -0.050933-0.00040553j -0.00439678-0.000174742j 0.0189769-0.0215562j -0.0130311-0.0395217j -0.0266551+0.027298j 0.0285246+0.0516379j -0.00985252-0.00398248j 0.0172482-0.0017373j -0.0557695-0.0248097j 0.0212738-0.0371163j -0.00523697-0.0392362j -0.000757095-0.0173314j -0.00622347-0.00802682j 0.00162165-0.0215321j 0.00258721-0.0110834j -0.0441948+0.0334393j -0.0264843+0.0290562j 0.0110518-0.0161101j -0.0427234+0.038599j 0.0241597-0.00578036j 0.0521325+0.0452913j 0.0487222+0.0100911j 0.00971335-0.0461921j 
0.00418391-0.00139303j -0.0469843-0.00120084j 0.0216902-0.0382346j 0.0280161+0.00686083j 0.033177-0.0182315j -0.00714123+0.00177485j 0.0155922+0.0285486j 0.0311414-0.0189382j -0.0210635+0.0257618j 0.0118937-0.00381908j 0.0220812+0.00277045j 0.0379744+0.00881524j 0.0211956+0.00463708j 0.0223136+0.00281208j 0.00165022-0.0219285j -0.0357187-0.0264494j -0.0432118+0.0412244j -0.00482838-0.0798182j -0.00913827-0.0093681j 0.0841054+0.0160399j 0.0192827-0.02948j -0.065009-0.0249613j -0.0533719+0.0541272j 0.0114648+0.0185923j 0.00140711-0.0185795j -0.020634-0.0413105j 0.0310502+0.0662703j 0.0490441-0.0626311j 0.0179011-0.00548936j 0.0181458-0.0193683j 0.0115038+0.00185397j -0.00294961+0.0267884j 0.0214083-0.00930123j -0.0274132-0.0122798j -0.0102408-0.00760958j -0.0149186-0.0217056j 0.0422156+0.00570507j -0.0144171+0.00493386j 0.00825835+0.0350145j 0.0158004-0.0131523j 
0.00231039+0.0100026j -0.0237581+8.99922e-06j 0.0187652-0.0661283j 0.0545247-0.00210826j 0.0478598-0.0309247j -0.014783-0.007421j -0.0138769-0.0212568j -0.0421297-0.00538529j 0.0146802-0.0572445j -0.0517617+0.0258444j 0.000937137-0.0207446j -0.0499459+0.00540599j -0.0267678-0.00965295j 0.0115627+0.0228153j 0.000959699-0.000746044j -0.00456655-0.00496543j 0.0168665+0.0120492j 0.015188+0.0307098j -0.031058+0.0328097j -0.0416198-0.0145574j 0.0137641+0.0557904j -0.00514176-0.0369903j 0.0288052+0.00348702j 0.00781243-0.0516657j -0.0416169+0.0465534j 0.0206838+0.0219129j -0.00759029-0.0132585j -0.0152728-0.00457165j 0.0803581-0.0261645j -0.0125321-0.0175299j 0.0576822-0.000861729j 0.0341733+0.0190772j -0.0038085-0.0352108j 0.0127889+0.0403466j -0.0169826-0.0402794j 0.00016751-0.026503j 0.0288676+0.0116517j -0.0056046-0.0132926j -0.00499936+0.0235821j 0.0104096-0.00564126j 
-0.00313411-0.0457016j -0.0597663+0.0191255j 0.016036+0.0156551j -0.012257-0.00484262j 0.0216331+0.0097107j -0.0239333+0.00644867j -0.0177085-0.0122605j 0.0111432+0.00183337j 0.0359359-0.0217597j 0.0018456-0.0669411j 0.00739658-0.0285791j 0.0240321+0.0341363j 0.0900886+0.0233634j 0.0369961+0.000330141j 0.0112746-0.0622329j -0.00120204-0.00631925j 0.0177363-0.0170706j 0.0535402+0.00270417j 0.00846665+0.028933j -0.00348891-0.00400409j 0.00213621+0.05461j 0.00160174-0.00862562j 0.0101034-0.0537038j 0.0105616+0.0086807j -0.0350199-0.00334844j 0.0427583-0.0082084j -0.0203164-0.0333002j -0.0642913-0.00259011j 0.00209177-0.0172963j -0.0120972-0.003972j -0.0182153+0.0145376j 0.00342497+0.0191649j -0.0141855-0.0318354j -0.0130697+0.0230789j 0.00994016+0.0299026j -0.00455616+0.0218995j 0.00571122-0.0468591j -0.0162817+0.0164279j 0.0434846-0.00567573j -0.0148385-0.0126542j 
0.0215701+0.0342147j -0.0300392+0.0512758j -0.00402652+0.00715126j -0.0190773-0.0433489j 0.0336839-0.0194717j -0.0552155+0.0258336j 0.00824271+0.0154294j 0.0201968-0.0151555j -0.000555805+0.0104116j -0.00287793+0.0103261j 0.0342818+0.0261035j -0.0227109+0.00113736j -0.0357039+0.0203626j -0.0111924+0.0481935j 0.0358728+0.0142308j 0.0049325+0.00809091j -0.00892922-0.0144571j -0.011858-0.0214733j 0.0168454-0.0176137j -0.0162335-0.000904761j 0.0473893-0.0136739j -0.0521832-0.00190191j 0.0244296+0.0186328j 0.000338661-0.0474622j 0.0125536+0.065346j -0.00502203+3.32152e-05j 0.00536338+0.0140582j 0.0123311-0.0154417j -0.00829217-0.0600747j -0.0163037-0.0140194j 0.0555817-0.0427071j 0.0688341-0.0155837j -0.01327-0.00130916j 0.0239555+0.00879408j -0.0381139-0.0253644j -0.0294722-0.0321637j -0.00312739-0.0336232j 0.00292365+0.0119071j 0.012253-0.0129479j -0.00884726-0.00359946j 
0.033009+0.0593765j 0.0220759+0.00941969j 0.0211316+0.0317389j -0.0536643+0.0365143j -0.0245629-0.00144052j 0.0319801+0.043092j -0.0264385-0.0257058j 0.000483958+0.0266051j 0.0443099-0.0176081j -0.000810319-0.0325084j -0.00570363+0.0293144j -0.0522595-0.00468847j -0.0189303+0.0198889j -0.0511319+0.0329497j 0.0371408+0.0307111j -0.0166539-0.0132887j 0.0141991+0.0130183j 0.049145+0.000421597j 0.00595831+0.0444731j 0.0382659+0.0396554j -0.00931296+0.00716541j -0.0170535-0.0212636j -0.00314315-0.013453j -0.0299383+0.047058j 0.0125764-0.0387005j 0.00813042+8.62136e-05j -0.01147+0.0180843j 0.00907002-0.0358977j 0.0140044-0.0358025j 0.01052+0.00116809j -0.0340288-0.011181j -0.0416244+0.0208939j 0.0217438+0.0106066j 0.00180658-0.0109655j -0.0288884+0.0132208j 0.00573839+0.0166357j 0.070307-0.00866639j -0.0122025-0.0304848j 0.0305811+0.0372879j -0.00343723-0.0305183j 
0.0525271+0.0310247j -0.00849169+0.0214974j 0.0349395-0.00733108j -0.00700512+0.0694185j -0.0242748+0.00256785j 0.0659756+0.0135733j -0.0239967+0.02837j 0.0029453-0.00466277j -0.0398022-0.0616238j -0.0653126+0.0388102j 0.00872961-0.00114365j -0.0083945+0.0314877j -0.00981247-0.0271939j 0.0287895+0.0289484j -0.00625732-0.019679j -0.00302139+0.0398614j 0.0300773-0.0105807j -0.0411661-0.0106021j 0.0535594-0.0102317j 0.0231693-0.0229097j -0.00807689-0.0413927j -0.0072023+0.018039j 0.00875493+0.057554j 0.0196079+0.0341472j 0.00303-0.0139626j -0.0449452+0.0005806j 0.0309876-0.000226424j 0.0321616-0.00708363j -0.0285261-0.0241047j 0.0147794-0.00287694j -0.000972291+0.0124251j 0.0036469+0.0279006j -0.00594857+0.0295532j -0.00639676-0.0214996j 0.00788387-0.00442611j 0.00473382-0.0119745j 0.0234068-0.0256635j -0.00372446+0.0173471j 0.0287232+0.000806023j -0.00443997-0.0157891j 
-0.0583257-0.0245197j 0.0692239-0.0569039j 0.0119072-0.042451j 0.01055-0.00764832j 0.0319146-0.0460661j -0.0143243+0.0304998j -0.0104075+0.0249581j 0.065335+0.00489461j 0.0117922+0.0251269j 0.0100426-0.0558705j 0.0145052+0.0536251j 0.0157684-0.00771238j 0.0171132+0.000968211j -0.0450984+0.0278758j 0.0289563+0.0107424j -0.00684523+0.0355073j 0.067394-0.0197919j 0.0190886+0.0274316j 0.0484955+0.0584135j -0.0292504-0.00492419j 0.0105883+0.0226296j 0.0277756+0.00170543j 0.00759159-0.0125559j -0.0124413+0.0275513j -0.0121654+0.0042741j 0.0155366+0.012397j -0.00369157-0.0194252j -0.0178838+0.0519388j 0.00801536-0.0467785j -6.14296e-05+0.0153235j -0.0138172+0.0140904j -0.0133856+0.0250139j -0.0211681-0.00627841j 0.032318-0.0118075j 0.00134215+0.0144307j 0.0310766-0.0064703j 0.0273623-0.0165361j -0.0357032-0.0118803j 0.0160458+0.0121473j -0.00518922-0.00234438j 
-0.0192073+0.0418787j -0.0169572-0.0827282j -0.0639542-0.0505256j 0.0340185-0.0101635j -0.0611264-0.0441521j 0.0539662-0.0114754j 0.0625726-0.00704604j -0.0251074-0.0702814j 0.0214439+0.0421422j -0.00219541+0.0236401j 0.047186-0.0284511j -0.00783641-0.0405782j -0.0351345+0.00382685j 0.0260768+0.0130376j 0.00116403-0.00118218j 0.0262623-0.0287166j -0.0307382-0.0379382j 0.0689486+2.3076e-05j 0.00718756-0.0204373j 0.00856192+0.0501583j 0.000637532+0.0224418j -0.00787972-0.044974j 0.00222072-0.0419785j 0.00457047+0.0115246j 0.0015456-0.00993667j 0.0339499-0.000153272j -0.0378141+0.00677536j 0.0248616-0.02808j -0.0104948-0.00538324j 0.00924758-0.00697674j -0.00233632-0.00328738j 0.000702481+0.010015j 0.0239825+0.00850518j -0.0165515-0.00997769j -0.0140324+0.00167886j -0.0110584-0.00516825j 0.0173815-0.0189256j -0.00283375-0.000205978j 0.0172048+0.00455609j -0.00590912-0.0109849j 
