0.000373652-0.0790848j 0.105356-0.0308944j -0.0265268-0.0403697j -0.066224-0.0575789j -0.0434854-0.0209489j -0.0166163+0.108534j -0.0780177+0.0107506j -0.0392446-0.106258j -0.122855+0.0854012j 0.0865097+0.0352074j 0.0965092+0.0427868j 0.00553109-0.0124308j -0.0386963+0.0370648j -0.0123406+0.00596368j 0.0402145+0.0978084j -0.0320371-0.0881321j -0.0898836+0.119613j 0.10445+0.043384j 
-0.0447937-0.0430143j 0.0373678-0.00565249j -0.00815728+0.0100487j 0.0509785-0.0352476j 0.0273693+0.0892025j 0.021157-0.0303639j -0.00770829-0.0184114j -0.01235-0.00413486j 0.00455667+0.0221585j 0.0141521-0.0338143j 0.0264725+0.0243576j -0.0263383+0.00877653j 0.000876101+0.000661475j 0.0296546+0.0142204j -0.0186971+0.016466j 0.00402348+0.0129964j 0.0016751-0.0263663j -0.0276862+0.000181002j 
0.00211206+0.0290465j -0.00992217+0.0209889j 0.0432016-0.0467486j -0.00186354+0.0409543j -0.00236421-0.0432428j 0.00871925+0.0216694j -0.0365359+0.0201949j 0.0312864+0.000969292j 0.0129662+0.00321446j 0.0436527-0.0564502j 0.0254897+0.0342893j -0.00106908-0.00501914j -0.000502129+0.00273334j 0.0183886+0.0203593j 0.01476-0.00362723j -0.00536128-0.0483763j -0.00363515-0.0245857j -0.0449864-0.0187994j 
-0.0241317+0.00559813j 0.00788776+0.00538202j 0.0264024-0.0216443j 0.014008+0.00402713j 0.0229976+0.00722658j 0.00956188-0.00168896j -0.0288119+0.00419844j 0.0556593+0.0222554j 0.0222013-0.043659j -0.00214241-0.000475648j -0.00978811-0.0302004j 0.0595416-0.00251595j -0.00200513+0.00107396j -0.0306102-0.0282306j 0.0673889-0.0208919j 0.00104498-0.0825896j -0.0257019+0.0247759j 0.00878125-0.00338086j 
-0.0135182+0.017759j 0.00455099+0.0322913j 0.0577056-0.066232j 0.0264027+0.0484838j 2.74218e-05-0.0181602j 0.0267898+0.0190954j -0.0554359+0.0214145j -0.0304951-0.0103396j -0.00623295+0.0106929j -0.0313656+0.00843243j 0.00626283-0.0116509j -0.0189788+0.00873773j 0.00145591-0.00126986j 0.0110857-0.00702038j -0.0249431+0.010065j -0.00389313+0.0446169j -0.000137291+4.73203e-05j 0.00902523+0.0215373j 
-0.0557699-0.0211403j 0.027293-0.0191175j 0.00103433+0.0170971j 0.0261899-0.0481956j 0.0585959+0.0662531j 0.00472389-0.0322425j -0.0143613-0.0174259j 0.00950012-0.0213975j -0.000156653-0.000508781j -0.00378325-0.0438983j 0.0243166+0.00985339j -0.0106482-0.00764149j 0.00129309+0.0016221j 0.0180637+0.0083199j -0.00575369-0.0119631j -0.031445-0.00898941j -0.00628449-0.0102394j -0.0298736+0.0102016j 
-0.0286625-0.00367991j 0.00961181+0.00197053j 0.0235856-0.00825592j 0.0140998-0.00312954j 0.0262915+0.0208862j 0.0081068-0.00535946j -0.0245154-0.00499294j 0.0092757+0.00350692j -0.0254803-0.0254637j 0.000361004+0.0814993j -0.0666159-0.0212746j 0.0311218-0.0277349j -0.00187445-0.00122285j -0.0592824-0.00258329j 0.0105916-0.0303151j -0.00238309-0.000532111j 0.021189+0.0437885j 0.0554112-0.0214411j 
-0.0367707-0.0204363j 0.00877115-0.0222305j -0.00191162+0.0440744j -0.00328605-0.0413495j 0.0443398+0.046745j -0.0103732-0.02122j 0.00243422-0.029543j -0.0434938+0.0184543j -0.00467219+0.0230771j -0.00486849+0.04972j -0.0167131-0.00406778j -0.0163862+0.019336j -0.000319418-0.00269406j -0.0010214-0.00444075j -0.0241159+0.0324154j 0.0427056+0.054642j 0.0130574-0.00149808j 0.0320976-0.00168297j 
-0.00799863+0.018001j 0.0214499+0.0298808j 0.0265548-0.0879522j 0.0515071+0.0341077j -0.00798394-0.00923627j 0.0366704+0.00508074j -0.0445345+0.0425087j -0.0289048-0.000145938j 0.00159385+0.0271838j 0.0033741-0.012621j 0.0192303+0.0162532j -0.0303461+0.0151648j 0.000848589-0.000499184j 0.0270658+0.00862557j -0.0272517+0.0253186j 0.0148939+0.0351475j 0.00446696-0.0225631j -0.012256+0.00464048j 
0.0453521-0.0085461j 0.0130498+0.0225061j -0.0386337-0.0422823j 0.0375127+0.0258283j -0.0696181-0.00502066j 0.0251199+0.00554444j 0.0221978+0.0315938j -0.0369111+0.0232226j 0.0389636+0.015969j -0.0597071-0.0264184j 0.0546868-0.0360902j -0.0105461+0.0605116j 0.00178726-0.00225843j 0.0454112-0.0468061j 0.00345369+0.0565291j 0.0388694+0.0299884j -0.0410666-0.0193785j -0.00337381+0.0533454j 
0.0545262-0.0183218j -0.0366201+0.00958844j -0.00608662+0.0543975j -0.0468805+0.0362614j -0.0643008-0.0267204j -0.0186075+0.0324523j 0.0397582-0.0312163j -0.0274369+0.000138138j -0.0230439+0.0173823j 0.0181696+0.0487899j -0.0330075+0.0146133j -0.0175412-0.00919347j -0.000655202-0.00149218j -0.0142698+0.0188987j -0.030726+0.00468143j 0.015294+0.0435583j 0.0299903+0.00355131j 0.0249035-0.0207207j 
0.0223854-0.0412422j -0.00988821+0.0221645j 0.0128178+0.0315301j -0.000189367+0.0374634j -0.0520863+0.0246993j 0.00859964+0.0222396j 0.0120356-0.0340509j -0.0222963+0.0646135j 0.0195151+0.0323262j 0.0599573+0.0487673j -0.0193448+0.0237442j 0.000113629+0.0348846j -0.00344491-0.00190612j -0.00251484+0.00410406j 0.00778274+0.0587609j 0.101797+0.00659825j 0.015007-0.0211811j 0.0232918-0.0422998j 
