0.42171-0.198301j 0.250136+0.439256j -0.0295361-0.300908j -0.20338+0.239432j 0.0873839-0.174014j -0.253811-0.0188287j 0.0688534-0.024878j 0.0168335-0.0630268j 0.275163-0.0867316j 0.108606-0.00680605j 0.00641313-0.194686j 0.00212406-0.0683307j 0.108992+0.012775j -0.271604-0.0998421j -0.00876988-0.0626139j -0.0664486-0.0293715j 0.255957-0.0034469j -0.0788461-0.17852j 0.190348+0.252805j 0.0507146-0.297505j -0.277555+0.41875j 0.404689+0.226724j 
0.0399013+0.0377453j -0.0287759+0.0284945j -0.0274947+0.0032645j -0.0183497-0.0224122j 0.0190364+0.0193162j 0.0765392-0.0385485j 0.0434689+0.0540717j 0.00301239-0.00548824j -0.0777959+0.000338612j 0.0172181-0.0744097j -0.00670168+0.0089649j -0.0309057+0.0425195j -0.0659335+0.0388751j 0.0224095+0.0743138j 0.00411696-0.00657096j -0.0650105-0.0257046j 0.0130277-0.0849201j -0.023741-0.0133706j 0.027768+0.0114081j 0.00773013+0.0262483j -0.0199492+0.0354395j 0.0474826+0.0272191j 
0.0437709+0.0392864j -0.0214364+0.0462455j -0.0131967-0.0573082j -0.04264-0.0281512j 0.000719789-0.00523447j 0.0621995+0.0430897j 0.068814+0.025164j -0.0108547-0.0004221j -0.0113537+0.0329884j -0.0053188-0.0291795j -0.0202304-0.000857385j -0.0715392-0.00201312j -0.0515709+0.0567814j 0.0620345+0.0687351j -0.00598761-0.0113667j -0.0381954+0.024334j 0.0661409-0.074928j -0.0457849-0.0117839j -0.00628302-0.023537j -0.055467+0.0395453j 0.00433383+0.0120654j 0.0100361+0.012861j 
-0.0219084-0.04133j 0.0474596+0.00336982j 0.0534155-0.0471196j -0.000398803-0.0434951j 0.0445955-0.0134393j 0.0282069+0.0131238j 0.00971777-0.0168896j 0.0319176+0.0344266j 0.0228493-0.00501583j -1.90662e-05-0.0185529j 0.0220129+0.0233199j 0.0214652-0.000450178j 0.0676239-0.00659722j -0.0107285-0.0313939j 0.0200494+0.0434726j 0.0174939+0.0342481j -0.0214767+0.0817918j -0.0124407+0.0521798j -0.0559769-0.0261768j -0.060404+0.0188217j 0.0078245+0.0269551j 0.0082266+0.0069145j 
-0.0431836-0.0121479j 0.0177876-0.026863j 0.0351427-0.031677j 0.00391958-0.0291931j 0.0214868-0.0192918j -0.00889113+0.0069054j -0.0198334+0.00189123j 0.0287386+0.00576957j 0.00394232-0.0166549j 0.00194712-0.00517909j 0.0228509+0.00025693j 0.027838-0.0268244j 0.0290688-0.0479319j -0.0454663-0.0102016j 0.0272295+0.0176196j 0.0192043-0.00087778j 0.0183632+0.0845409j 0.0208563+0.0205293j -0.0284302+0.00409048j -0.0263264+0.00187303j 0.0084859+0.0109849j 0.000678469+7.90193e-05j 
0.00423448-0.00191592j 0.000168028-0.00275982j 0.00229432+0.00462279j -0.0186577-0.0082345j 0.00121366-0.0118803j -0.000786373-0.0215092j -0.00309672+0.00643469j -0.00747523+0.00686382j -0.00959696-0.0120022j -0.0254338-0.0144502j -0.029834+0.0100461j -0.0112372-8.97056e-05j -0.0039127-0.0118328j -0.0154704-0.0300213j 0.023839-0.00052624j 0.000254884+0.00956072j 0.00503605-0.0186158j -0.00350682-0.00916607j -0.0087683-0.00823j -0.010389-0.0248193j -0.00363529-0.0107665j -0.00982902-0.0100829j 
0.00476577-0.0062242j 0.00193694-0.0100763j -0.00639213-0.000806073j -0.0362125-0.00180466j -0.0142311-0.0255711j -0.00671661-0.0301827j -0.0016966+0.0208705j 0.000846232+0.0256912j -0.0194698-0.00767247j -0.0487065+0.0247561j -0.00830519+0.0349999j -0.021282+0.00845346j -0.0259626-0.0160384j -0.0417625-0.0154509j 0.0149653-0.0245864j 0.0235569+0.0206531j -0.0227462-0.0164448j -0.0154182-0.0224509j -0.00950878-0.0170118j -0.0220212-0.0269199j -0.021483-0.00805625j -0.0133954-0.000603602j 
-0.00151223-0.00204738j -0.00227637+0.017226j 0.0319372-0.00137576j 0.0121217+0.0164896j 0.0168369+0.0106001j -0.0266249+0.020266j -0.000498211-0.023007j -0.0221343-0.00809212j -0.013053+0.0106185j -0.0289607-0.0430278j -0.039216+0.0486518j 0.00594473-0.00576233j 0.0262947-0.00553491j -0.0356182-0.0118792j 0.0387532-0.0274959j -0.0364042+0.0026928j 0.00442151-0.0384507j 0.0196917+0.0250603j -0.0076371+0.0413583j -0.0310379+0.0216615j 0.00587711-0.013842j -0.026171+0.00454647j 
-0.00275087+0.00630315j 0.00927379+0.013823j 0.00679434-0.00501984j 0.0445748-0.0154123j 0.0367988+0.0235041j 0.0344085+0.0356598j -0.0196826-0.0224447j -0.019858-0.0193343j 0.0272062+0.00819106j 0.0240956-0.0469981j 0.00492093-0.0272616j 0.00757564-0.0261051j 0.0423069-0.0109213j 0.0529537+0.0105427j -0.0113549+0.0160029j -0.0351348+0.00852704j 0.0269788+0.0124591j 0.0324612+0.0133355j 0.0295054+0.0216108j 0.0475499+0.023594j 0.0228824-0.0039929j 0.0155912+0.00199689j 
0.00740287+0.0110924j -0.00392144-0.00853456j -0.0241291-0.00915132j -0.0105933-0.0315686j -0.0359964-0.00813317j 0.0163061-0.00230916j 0.00610386-0.00867803j 0.00764034-0.0253387j 0.0109922-0.035154j 0.0440414-0.00608982j -0.00602623-0.0510979j 0.0352684-0.0134029j -0.00945856+0.0402704j 0.0214659-0.0174382j 0.0052868+0.0591381j -0.0185034-0.0287987j -0.00679707+0.0124825j -0.00136115-0.0308298j -0.00615163-0.0422375j 0.0246936-0.0053833j 0.0112156+0.00211552j 0.0171984-0.0174693j 
0.00592845+0.00545532j 0.00494846+0.0103872j 0.00259919-0.0293798j 0.00250633-0.0158992j -0.0359493-0.00412543j 0.00680708+0.0395265j -0.00881061-0.0412872j -0.0159804-0.013528j 0.000987075-0.0100953j -0.0243933-0.0156395j 0.00160764+0.0442836j 0.0316763-0.0254923j 0.014269+0.0231327j -0.0431586+0.0160584j 0.021136-0.0130729j -0.0588025+0.000124149j -0.0478185-0.0132358j 0.032401-0.0329714j 0.00619821+0.00394076j 0.00362332+0.0452924j -0.000265923-0.0121011j -0.00867655+0.0118045j 
-0.00155994-0.00955004j 0.003777+0.0140752j 0.0343836+0.00898778j -0.00361148+0.00651665j -0.0277398+0.0086411j 0.00858077-0.00105586j -0.0160031-0.0491071j 0.0148823+0.00783603j 0.0115447+0.0116275j -0.0559356-0.00586018j 0.000842645+0.0471902j -0.0183601+0.0280919j 0.011987-0.0244312j -0.0409269+0.025797j -0.0200088-0.0311855j -0.0387056+0.00462103j 0.00107142+0.00518061j 0.0229071-0.0330375j -0.00765692+0.0190633j -0.023139+0.0135153j -0.00315701-0.00318044j -0.0147539+0.00969129j 
-0.00332046-0.00655443j -0.00420509+0.0012079j 0.0220936+0.0412009j -0.00520237-0.00624933j -0.0165961+0.0158774j 0.0260312-0.0454731j -0.00690941-0.0288986j 0.0459532-0.00381272j 0.0331347-0.00449243j 0.0123405-0.00825854j -0.00781319-0.0583992j -0.0271789+0.0536475j 0.000103427-0.0236364j 0.0392751-0.00276371j -0.0538472+0.0424422j -0.00375071-0.0259796j 0.0678776+0.039752j -0.00329822-0.0260556j -0.0179892-0.0159369j 0.000263673-0.0398811j 0.0156889+0.0136707j 0.0134177-0.0208468j 
0.00737634-0.00434871j -0.00676165-0.00451032j -0.00912735+0.00309369j -0.04159+0.00260191j -0.0651527+0.0186003j -0.00391186-0.0217017j -0.00909062-0.0193927j 0.0199027-0.0122497j -0.01346-0.0230904j -0.00343084+0.0244728j -0.00123936+0.00244496j 0.0153074+0.00708051j -0.00875488+0.0290393j -0.0316461+0.0155834j 0.00642515+0.0163243j -0.0237284-0.00631131j -0.0173656+0.0218155j -0.0332891-0.0477909j -0.0384077-0.0229958j -0.0148497-0.00364758j -0.0064627+0.00431015j -0.0051574-0.00681219j 
0.00938765-0.00212973j 0.00179028+0.000122362j -0.013057-0.0062606j -0.0318684-0.0105892j -0.0538613+0.0351809j 0.0221373-0.00896298j -0.0328693-0.0288281j -0.0030716-0.0202178j -0.00717483-0.0289141j -0.00832976+0.00167007j 0.00208775+0.00288636j 0.0173991-0.0215412j 0.0158671+0.0228062j -0.0146485+0.0220655j 0.015602+0.0179214j -0.0503335+0.0188994j -0.0154398+0.0281207j -0.0255602-0.0587408j -0.0251641-0.0167607j 0.0163857+0.00569068j -0.000527556-0.00452723j -0.000240111-0.00527187j 
-0.00399333+0.0286917j -0.0258535-0.00246586j 0.0361173-0.0159353j 0.0142691-0.0159769j 0.0156936+0.00804974j -0.0670829-0.0503203j 0.00758559-0.0293999j 0.00493888+0.0321068j -0.0165272-0.0670857j 0.0133165-0.0269544j 0.000991829-0.0860174j 0.00119064+0.0553976j 0.0138559+0.0287261j 0.0144724-0.0665519j -0.00438425+0.0316367j -0.00860845-0.0292527j 0.0657582-0.0517549j -0.0152442+0.00806807j -0.0137935-0.0148146j -0.0366222-0.0148947j 0.0251492-0.00178531j -0.00312537-0.0278923j 
0.00600363-0.0207897j 0.0097839+0.00540217j -0.00479916+0.0384011j -0.0205863-0.000956175j 0.00449943-0.012304j 0.0289739+0.00254176j -0.00244807+0.0290913j 0.0379937-0.0723736j 0.0218103+0.032363j 0.0350861-0.0220479j -0.105254-0.0140744j 0.0332054+0.00554058j -0.0288849-0.0316269j 0.0293197-0.0237665j 0.0156264+0.0796934j 0.00542716-0.0282118j 0.0295847+0.00460028j 0.00108637+0.0134077j -0.020528-0.00313642j 0.00406977-0.0385045j 0.0107263-0.00211675j -0.000119466-0.0212179j 
0.0134128+0.00980334j -0.00238252-0.00892985j -0.054654-0.00341202j -0.00524708-0.0267558j -0.00657842-0.00175663j 0.0354689+0.0229737j 0.0173006+0.00786588j -0.0527056-0.00151436j -0.0140306-0.0205324j 0.0372766-0.043242j -0.000798629-0.0204687j 3.84162e-05-0.0878883j 0.0357093+0.0440224j 0.0163387-0.020536j 0.052927+0.000498398j -0.0160773+0.00673476j -0.0346609+0.0241986j 0.00539463-0.00121005j 0.0033958-0.0277258j 0.0543751-0.00524931j 0.00265004-0.00815919j 0.0134616-0.010496j 
-0.00213552+0.0014677j 0.0172173+0.0147956j 0.0300647-0.020489j 0.0137233-0.0206324j 0.00586089+0.0464439j 0.0341571-0.000721951j -0.0702604-0.0417877j -0.0110747-0.0271298j 0.0248548-0.0220157j -0.0307837-0.0266138j 0.00146329-0.000591998j 0.0169544-0.000311867j 0.0305635-0.0272205j 0.0257403+0.0208084j -0.00989326+0.026788j -0.0691466+0.0436156j 0.0344819+0.000213188j 0.00475121-0.0471379j 0.0135469+0.0187493j 0.0311471+0.0201882j 0.0170253-0.0150348j 0.00257526+0.00078696j 
0.00294379+0.00190448j -0.000545815-0.00218216j -0.0150062-0.000560767j -0.000517809-0.00285216j 0.00393122+0.00496835j 0.00706048+0.0063775j 0.00243062+0.0065857j -0.0167423-0.00161153j -0.0066142-0.00342383j 0.012154-0.010773j -0.000186917-0.00512466j 2.2201e-05-0.0259542j 0.0116083+0.0108047j 0.00743014-0.00360753j 0.0166354-0.0011703j -0.00187182+0.00619079j -0.00683403+0.00656881j -0.00388472+0.00540492j 0.000246542-0.0030903j 0.0148872-0.000972794j 0.00064302-0.00200047j 0.0029996-0.00203621j 
-0.000252066+0.00509229j 0.000610371-0.00485515j -0.0170229+0.0064262j 0.0243885-0.0155001j 0.0255811-0.0588001j 0.0153015+0.0275707j 0.0505194+0.019178j -0.015037+0.0182071j 0.0152314+0.0218199j 0.0160362-0.0231429j -0.00263061+0.00237278j -0.0175869-0.0217352j -0.00881093-0.000878538j 0.00761794-0.0290885j 0.00291177-0.0188426j 0.0333998-0.0293127j -0.0217156-0.00855043j 0.0528774+0.0354455j 0.0316527-0.0105146j 0.0133303-0.00699273j -0.0018984+0.000157257j 0.00910836+0.00194609j 
0.00621654-0.00616414j -0.00587036-0.00515626j -0.0143636+0.000920828j -0.041554+0.0165164j -0.0406286+0.0421502j -0.013863-0.0243723j -0.02389+0.00275699j 0.00877604-0.015201j -0.0291419-0.0198706j 0.00424024+0.0306732j -0.000793205-0.00223375j 0.0161039-0.00401511j -0.000381386+0.0241478j -0.0170116+0.0210671j 0.0176168+0.0144611j -0.0121103+0.0179413j -0.00736624+0.020677j -0.0613628-0.0282699j -0.0411913-0.00919457j -0.00966532-0.00482773j -0.00739151+0.00354994j -0.00667065-0.00518107j 
-0.0135108-0.0219492j 0.016384-0.0136146j 0.00202453+0.0400644j -0.0170344+0.0169869j -0.00411043+0.0259314j 0.0667387-0.0410714j -0.00229118+0.0253413j -0.053695-0.0435495j 0.0415566+0.00216281j 0.000131085-0.023778j -0.00875453+0.05932j -0.0268026-0.0510608j -0.0143593-0.00820813j 0.0344803+0.00308366j 0.0451172+0.0051245j -0.00629768+0.0272226j 0.0275266+0.0446625j -0.0159581-0.0153682j -0.00630756+0.00661082j 0.0205477-0.0414902j -0.00391422-0.00113621j 0.00303432-0.00653904j 
0.0147515+0.00998722j -0.00365784+0.00284107j -0.0232187-0.0122859j -0.0083418-0.0196064j 0.0224819+0.0318636j 0.00134986-0.00475972j -0.0375639-0.0041771j -0.0209319+0.0307976j -0.0407582-0.026101j -0.0108072-0.0247813j -3.48372e-05-0.0471516j -0.018458-0.0286477j 0.0557374-0.00556397j 0.0116553-0.0127226j 0.0154461-0.00834162j -0.0155967+0.0478727j 0.00879286+0.00109138j -0.027088-0.00811499j -0.00474086-0.00676238j 0.0341188-0.00963168j 0.00399289-0.0137509j 0.00155933-0.00997609j 
0.00882744+0.0123322j -0.00059861+0.0120137j 0.0024732-0.0443351j 0.00499314-0.00577733j 0.0319575+0.0323574j -0.0453691+0.0138225j -0.0584686+0.000199975j 0.0193941+0.0130863j -0.0436834-0.0152676j -0.0136505+0.0223749j 0.00209204-0.0437879j 0.0308985+0.0229206j 0.0252702-0.0158051j 0.000479928+0.010444j -0.0151481+0.0116328j -0.00903377+0.0417342j 0.00569279-0.0380059j -0.0352456+0.00334818j 0.00257878+0.0147833j 0.0037585+0.0290335j 0.00484626-0.0101932j -0.0054508+0.00496371j 
0.0175046+0.0171821j -0.011871+0.0017672j -0.0253674-0.00272603j 0.00374802-0.0413113j -0.000458365-0.0308184j 0.00741865+0.011994j 0.0175658-0.0288921j -0.00366119+0.0581779j -0.0221064-0.0177492j -0.00991028-0.0398244j 0.00344146-0.0508997j -0.0352723-0.0133838j 0.0445523+0.00586892j -0.0120949-0.0351723j -0.00678812-0.024219j -0.00652251-0.00922583j -0.0161596-0.00106864j 0.0347359-0.00877252j 0.0086114-0.0319978j 0.0235787-0.0112168j 0.00343809-0.00821614j 0.00683852-0.0114484j 
0.014952-0.002613j -0.022886-0.00444008j -0.046915+0.0236445j -0.0305997+0.0232389j -0.0332795+0.0138185j -0.026215+0.0113159j 0.0358364+0.0084228j 0.0113725+0.0151644j -0.0518049+0.0109428j 0.0428645+0.0113754j -0.004941-0.0258879j -0.00762904-0.0258084j 0.0234851+0.0468422j -0.0265739+0.00890315j 0.019845-0.019008j 0.0194394-0.0228576j -0.0342896+0.0361937j -0.0366652+0.0239526j -0.0447873-0.0149321j -0.00823364-0.00591929j -0.00931475+0.0139584j -0.0030022-0.00581563j 
0.0267635+0.00547076j 0.00479508+0.0141083j -0.0309249-0.0195207j -0.0089424-0.0409605j 0.0189612-0.0251321j 0.00612994+0.0380381j -0.0358065-0.00228267j 0.0373922+0.0277991j -0.035874+0.0119663j -0.0258271-0.00669359j -0.0395166-0.0482453j 0.00408864+0.00419478j 0.0298698-0.0426363j -0.01312-0.0104008j -0.021361+0.00690444j -0.000898941+0.0229734j -0.0261718-0.0192392j 0.0162978-0.010646j 0.0112343-0.0169101j 0.0320915+0.000527316j -0.00166077-0.0168276j 0.00136547-0.00296882j 
-0.0127714-3.4403e-05j 0.0222664-0.00733509j 0.022395-0.0265576j 0.00964047-0.0179632j 0.0160897-0.0224638j 0.0229093-0.0157197j -0.0242194+0.0203816j -0.0140383-0.0240073j 0.0414209-0.0143258j -0.0270333+0.0154504j 0.00736931+0.0344809j 0.0206439+0.00918305j -0.0479414-0.025969j 0.0190254-0.00757443j -0.00182418+0.0254363j 0.00184596+0.0212118j 0.00706248-0.0300258j 0.0142234-0.0256227j 0.0358153-0.00169156j 0.0073228-0.000651583j -0.00176529-0.0102624j 0.00446348+0.00585583j 
-0.0099137+0.00959501j 0.00411976-0.0111508j 0.00976683-0.0250038j 0.00814546-0.00928396j 0.00345826-0.00966297j -0.00518444-0.0178974j -0.000309022+0.00981993j -0.022961-0.00043318j 0.0148996-0.0296192j -0.00401965+0.0122921j 0.0293453+0.00940978j 0.0115278-0.000158713j -0.025332+0.0143885j 0.00891507-0.0119032j 0.00741866+0.00702031j 0.00362719+0.00620687j 0.000386119-0.0211701j -0.00150711-0.0119098j 0.0183719-0.00850173j -0.001602+0.00423893j -0.000600259-0.00279824j 0.00410735+0.00194308j 
