-0.0010475-0j -0.000123449-0j -0.00649114-0j -0.000604777-0j -0.00838003-0j -0.000698336-0j -6.17247e-05-0j -0.000936916-0j -0.00592558-0j -8.7292e-05-0j -8.9092e-06-0j -7.27433e-06-0j -5.75086e-07-0j -0.0537518-0j -1.81135e-08-0j 
-9.26916e-05-0j 0.00104071-0j 3.99137e-06-0j 3.71874e-07-0j -0.000741533-0j -6.17944e-05-0j -5.46191e-06-0j 0.0078984-0j 3.64361e-06-0j -0.0340633-0j -0.00347657-0j -0.0117249-0j -0.00234184-0j 3.30517e-05-0j -0.00026033-0j 
0.0246189-0j 0.00586406-0j -0.00322515-0j -0.000604093-0j -0.00204701-0j -0.000170584-0j 0.0043822-0j -0.000462564-0j 3.05999e-05-0j -6.48706e-05-0j 0.00128065-0j -7.22037e-06-0j 6.87225e-05-0j 0.000277577-0j -3.15337e-08-0j 
-4.99695e-05-0j 0.000858257-0j -0.00030965-0j 0.00420459-0j -0.000399756-0j 0.00974339-0j -2.94448e-06-0j -4.46941e-05-0j 0.0411964-0j -4.16412e-06-0j -4.24999e-07-0j 5.05733e-05-0j -2.74336e-08-0j -0.00256414-0j -8.64076e-10-0j 
4.37233e-05-0j -0.000750975-0j 0.000270943-0j -0.00367901-0j 0.000349786-0j -0.00852546-0j 2.57642e-06-0j 3.91073e-05-0j -0.0360468-0j 3.64361e-06-0j 3.71874e-07-0j -4.42516e-05-0j 2.40044e-08-0j 0.00224362-0j 7.56067e-10-0j 
0.000105933-0j -0.00118938-0j -4.56157e-06-0j -4.24999e-07-0j 0.000847466-0j 7.06222e-05-0j 6.24218e-06-0j -0.00902674-0j -4.16412e-06-0j 0.0389294-0j 0.00397322-0j 0.0133999-0j 0.00267639-0j -3.77734e-05-0j 0.00029752-0j 
-0.0344592-0j -0.00820797-0j 0.00451426-0j 0.000845555-0j 0.00286522-0j 0.000238768-0j -0.0061338-0j 0.000647454-0j -4.2831e-05-0j 9.08e-05-0j -0.00179254-0j 1.01064e-05-0j -9.61915e-05-0j -0.000388526-0j 4.41379e-08-0j 
-3.05999e-05-0j 0.000525573-0j -0.000189621-0j 0.00257477-0j -0.000244799-0j 0.00596658-0j -1.80312e-06-0j -2.73694e-05-0j 0.0252275-0j -2.54999e-06-0j -2.60258e-07-0j 3.09697e-05-0j -1.67996e-08-0j -0.00157021-0j -5.29137e-10-0j 
6.48706e-05-0j -0.000728342-0j -2.79338e-06-0j -2.60258e-07-0j 0.000518965-0j 4.32471e-05-0j 3.82254e-06-0j -0.00552773-0j -2.54999e-06-0j 0.0238393-0j 0.00243309-0j 0.00820575-0j 0.00163895-0j -2.31314e-05-0j 0.000182193-0j 
3.82333e-05-0j -0.000429269-0j -1.64636e-06-0j -1.5339e-07-0j 0.000305867-0j 2.54889e-05-0j 2.25292e-06-0j -0.00325792-0j -1.50291e-06-0j 0.0140504-0j 0.00143401-0j 0.00483629-0j 0.00096596-0j -1.36331e-05-0j 0.00010738-0j 
4.2831e-05-0j -0.000735649-0j 0.000265414-0j -0.00360393-0j 0.000342648-0j -0.00835148-0j 2.52384e-06-0j 3.83092e-05-0j -0.0353112-0j 3.56925e-06-0j 3.64285e-07-0j -4.33485e-05-0j 2.35145e-08-0j 0.00219784-0j 7.40637e-10-0j 
-1.80349e-05-0j 0.000309762-0j -0.000111758-0j 0.00151752-0j -0.00014428-0j 0.00351657-0j -1.06272e-06-0j -1.61309e-05-0j 0.0148686-0j -1.50291e-06-0j -1.5339e-07-0j 1.82529e-05-0j -9.9013e-09-0j -0.000925448-0j -3.11862e-10-0j 
-9.08e-05-0j 0.00101947-0j 3.90992e-06-0j 3.64285e-07-0j -0.0007264-0j -6.05333e-05-0j -5.35044e-06-0j 0.00773721-0j 3.56925e-06-0j -0.0333681-0j -0.00340562-0j -0.0114857-0j -0.00229405-0j 3.23772e-05-0j -0.000255017-0j 
