-0.119088+0.230576j -0.266255-0.116104j 0.0145797-0.198292j 0.154772+0.0597679j 0.0911189-0.141137j 0.000531861+0.158451j 0.209965+0.089731j 0.0400066-0.0854248j 0.142646+0.139785j 0.0565039+0.0299943j 0.0196377-0.135133j -0.0855585-0.0765987j -0.0168634-0.173866j -0.0474891+0.0151022j -0.0888397+0.0100715j 0.0641155+0.0278169j -0.13014+0.0911703j 0.0510636-0.24788j 0.0334734+0.0544753j -0.121363+0.0193833j 0.162407-0.0703072j -0.142081+0.0285777j 0.00250482-0.048161j 0.0581233+0.132789j 0.0320619+0.043567j 0.19577-0.0978956j -0.140487-0.248233j -0.193711-0.168109j -0.204537+0.160625j 0.0373306-0.193687j 0.196032+0.030854j -0.00607025-0.0640732j 0.0583827-0.00239382j -0.0369262+0.0208852j -0.00663305+0.0404757j -0.00683035-0.0423604j 0.0533038-0.00306367j 0.01187+0.0238575j -0.00469123+0.000296758j -0.0245885+0.00307028j -0.00339294+0.00289248j -0.0123192+0.0101963j 0.0183451+0.0205664j -0.00110788-0.0179522j -0.00378675+0.00628954j 0.0143225+0.0100462j 0.00140722+0.00361831j 0.00387948-0.0092248j -0.00944934-0.0164457j -0.020265+0.0098377j -0.0177392-0.00137026j 0.0042007+0.0114005j -0.0061549-0.0119361j 0.00553792-0.008061j 0.00464151-0.0368231j -0.00649479+0.000791032j 0.00210307-0.0072425j -0.000401267-0.00774246j -0.0341078+0.00913793j -0.00884165+0.0082053j -0.0130378-0.0162531j 0.0024947-0.00605673j 0.028301-0.0179091j -0.0221219-0.012532j 0.00566409-0.00168699j 0.00433637+0.00397884j 0.0124596-0.0210733j -0.0466709-0.0241062j -0.0216695+0.0333959j 
-0.000839772-0.003214j 0.00478487+1.61312e-05j 0.00145074-0.00463292j -0.0109026-0.0121578j -0.00623408+0.00614255j -0.00818271+0.0102659j 0.00182984-0.00739798j 0.00895945+0.0176152j 0.0192031+0.00320945j -0.00999757-0.00714317j -0.00217681-0.00727211j 0.00269504-0.0179348j 0.00739515+0.0164175j -0.0196602-0.000342152j 0.00767223+0.00447033j 0.00105955-0.00552819j -0.00311783+0.00646331j -0.0107709-0.00501487j 0.000984969+0.00455927j 0.00126469-0.00155333j 0.000784528+0.00540137j 0.00722041-0.00187515j -0.00584558+0.000219445j -0.00369473+0.00161197j -0.00248245-0.00114658j -0.00232867+0.000493115j 0.00177533+0.00377863j -0.000813745-0.00181072j -0.000975148+0.000755574j 0.00181677-0.00307395j 0.00162464+0.00176943j -0.00147963-0.00412606j -0.00414063-0.00613969j 0.000463566-0.00785814j -0.00203359+0.00851541j -0.00791273+0.00302602j 0.00701676-0.000828312j 0.00495438-0.00578414j -0.00933732-0.000731786j 0.00985721+0.00191428j -0.00957405-0.00599349j 0.000437847+0.0114735j 0.000393211-0.00523711j 0.00066633-0.00932597j -0.0052751-0.0125759j -0.00160494-0.00858632j 0.00592384-0.0076523j 0.000617328+0.015j -0.00279337-0.0131595j -0.0100331-0.000690789j 0.00436072-0.00833029j -0.00914412-0.00141648j 0.0106764-0.00164436j -0.000536527-0.00043389j -0.0014552+0.0119953j 0.00287891-0.00745377j -0.00398515-0.00320022j -0.00821743-0.000639074j 0.0052837-0.000458299j 0.00410891+0.00219977j 0.000518444+0.00677515j -0.00107729-0.000988256j 0.000881799-0.00385659j -0.00278869-6.61106e-05j -0.000504656-0.000370774j -0.000897564+0.00148256j -0.000563953+0.00101754j 0.000974441+0.00100589j -0.000208794-0.000992481j 
0.00308798-0.00259834j 0.000170207+0.00187402j -0.0138626+0.00912345j -0.00415369+0.00825123j 0.0132219-0.00922467j 0.00115441-0.00593588j -0.000772015-0.00208052j -0.000827356-0.00437577j 0.00278478-0.00915909j -0.00186141+0.00709633j 0.00241371-0.00677393j -0.00530767+0.000310545j -0.0110539-0.00859105j 0.00547474-0.00780836j -0.0051698+0.0063475j 0.00262296+0.017583j -0.00642481+0.000626455j 0.0105526+0.00620987j -0.00542519+0.00608927j 0.00334777-0.0130341j 0.00765068+0.000533067j 0.0122898-0.00375787j 0.0091314+0.00189567j -0.00440221+0.00343299j -0.00347034-0.00472004j -0.00279291-0.00578741j 0.00200382+0.00025391j 0.00176798-8.22961e-05j 0.00230344-0.00239037j -0.00309203-0.0028476j 0.00189097-0.00251478j -0.00554672-0.0131108j 0.0152655-0.00025475j -0.0100116-0.00488546j -0.00526792+0.00523362j 0.00209343-0.00845866j -0.00424158-0.00634843j 0.0108668+0.00978957j 0.000476591+0.00610967j -0.0037693-0.00991594j 0.0142598-0.000900821j -0.00731498+0.00212249j -0.000181283-0.000848041j 0.00570918-0.000547171j -0.00533545+0.00321601j 0.00531477+0.00748786j -0.00278175+0.00236248j 0.00224785-0.00451773j 0.016706+0.0077237j 0.00946872-0.00659374j -0.00948738+0.0112565j -0.00160591-0.00510168j 0.00121061-0.00499862j 0.00282376-0.00252583j 0.00264998+0.00596524j 0.00404497-0.0106336j -0.00334426-0.00277596j -0.00284416+0.00046093j 0.0198443-0.0055607j -0.005419-0.00124468j 0.000103657+0.021432j -0.0184247+0.00370421j -0.0018151+0.00501691j -0.00324472+0.00209723j -0.003792+0.00685632j 0.00032726-0.00280797j -0.0024933-0.00137453j 0.000735021+0.00198469j 0.000910223-0.00124882j 
0.00112152-0.00612429j 0.00469518+0.000420448j -0.012353+0.00296721j -0.00342166+0.0108362j 0.014221-0.00101031j -0.00288894-0.00653369j -0.00286521+0.00498306j 0.00403788-0.006963j 0.00302608+0.000677048j 0.00155594+0.00768324j -0.00321729-0.00622429j 0.000701022+0.00701213j -0.0127542+0.000687389j -0.00180704-0.0131346j -0.000467484+0.00327006j 0.00656642+0.00587266j -0.00680288+0.00850424j 0.0034961+0.00814427j 0.000707213+0.00498314j 0.00446199+0.00409914j 0.00488242+0.000681837j 0.00655898-0.00147481j 0.00984863+0.00119599j -0.00393595+0.000872193j -0.000690791+0.00119989j -0.0030336-0.00416742j 0.0024664+0.00284843j 0.00241054-0.0013713j 7.51971e-05-0.00248814j -0.00583321-0.00542932j 0.00343192-0.00489048j -0.0045913-0.00287443j -0.00198107-0.00798107j 0.0138275-0.0224726j 0.00197755-0.0013734j 0.00339949+0.0115742j 0.0100353-0.00305307j -0.0106557-0.00956536j -0.0119042-0.00125202j 0.0157401+0.00382965j -0.0215766-0.00440442j 0.00425929+0.0121208j -0.00344419-0.000363256j -0.00447125-0.000869815j -0.00937569-0.00487769j 0.0110125-0.0172836j 0.00342437-0.0165415j 0.00997221+0.0151413j -0.00725616-0.00885612j -0.0156183-0.00208141j 0.00112568-0.0267139j -0.00808191+0.000912797j 0.0106296-0.00376873j 0.0126467+0.00580605j 0.000172742+0.00116683j -0.00190084-0.00446845j -0.000605106-0.0127773j -0.00147585+0.0206389j -0.00563786+0.000762144j -0.00297264-0.00382401j 0.00189262-8.03542e-05j -0.00303135-0.000365524j -0.00904943+0.000341186j 0.00774694+0.00293639j -0.00228198-0.00515016j 0.0018193+0.0026584j -0.00034606-0.00121883j 0.00216621+0.00275361j 0.00116878-0.0017956j 
-0.00294517-0.000272047j 0.0016772-0.00463955j -0.0070155-0.00473222j -0.015575-0.00326493j 0.00393898+0.00996903j -0.00572877+0.0094173j -0.000774671-0.00363701j 0.0154571+0.00666038j 0.0180083-0.0019004j -0.00794833+0.00164448j -0.00574209-0.00785755j -0.0027036-0.0100402j 0.00350956+0.0117422j -0.0160432-0.00109915j 0.00761594+0.00194316j 0.00291029-0.00248243j -0.00444119+0.00955853j -0.00848117+0.00331571j 0.00194875+0.00386786j 0.00338357+0.00208761j 0.00383709+0.00211343j 0.00769508-0.00337942j 0.00031808-0.00037831j -0.00548171+0.00220895j -0.000669542+0.000760956j -0.00315639-0.00136678j 0.00234539+0.00447958j 0.000124321-0.00170056j -0.000957516+0.00012431j -0.00517282+0.00602593j -0.00669345-0.00799057j 0.00161475-0.0062191j 0.00931703+0.00322385j 0.0150759+0.00552726j -0.00214461-0.002699j 0.000809831-0.002025j -0.00362598+0.00401453j 0.00135044+0.00305262j 0.0081186-0.00284569j -0.0100745+0.00668141j 0.00258978+0.00123779j 0.00128322-0.0189525j -0.00375665+0.00345564j -0.00183893+0.000151161j 0.000435137+0.0214069j 0.00944869+0.00106638j -0.0203944+0.00312268j -0.00665546-0.0194511j 0.0153763+0.0145888j 0.0190167-0.00655035j -0.0102579+0.00339744j 0.0017327+0.00852499j -0.0130404-0.00978985j 0.013714-0.00605971j 0.00780709-0.00218725j -0.00420752+0.00235469j 0.00342656-0.00215461j 0.000495237+0.017105j -0.0097117-0.00294189j -0.00258391-0.00745274j -0.0014651-0.00237073j -0.00306667+0.00359565j 0.0030189+0.00168676j 0.000972688-0.00250228j 0.000421302+0.00140805j -0.00318707-0.00272005j -0.00322222+0.00327159j 0.00210418-0.00142694j -0.000299905-0.00195241j 
-3.68579e-05-0.00186347j 0.00227099+0.000738481j 0.00200813+0.00159452j 0.00556468-0.000705782j -0.00302119-0.00333241j 0.000828537-0.00295978j 0.000814135+0.00133682j -0.00480803+9.01281e-05j -0.00492184+0.00272264j 0.00177464-0.00150645j 0.00275459+0.00176783j 0.00255785+0.00224226j -0.00150509-0.00196322j 0.00380624-0.000595608j -0.00202924-1.05264e-05j -0.000534447+0.000188j 0.000752526-0.0025488j 0.00170297-0.00151629j -0.000190893-0.000859778j -0.000610597+0.000526864j -0.000867872-0.000134417j -0.00186841+0.00137439j 0.000172546-0.00029146j 0.00133606-0.000720704j 0.000548867-0.000146125j 0.000744746-0.000158511j -0.0012259-0.000607437j 0.000421993+0.000391364j 0.000104433-0.000415472j -0.000249974-0.00430315j 0.00580373+0.000923499j -0.00014173+0.00322116j -0.00858262+0.00223293j -0.0135765-0.0042113j 0.00119591-6.25369e-05j 0.000876616+0.00192013j -0.000505542-0.00724925j -0.00288064-0.0010826j -0.00546159+0.00655237j 0.00740434-0.00963879j -0.00479054+0.00616065j 0.0055942+0.00833943j 0.00138484-0.00211765j 0.00165429+0.000624384j -0.00792234-0.00986102j -0.0124174-0.00107159j 0.00561148-0.00577626j 0.0121341+0.0104339j -0.0150298-0.00376779j -0.00819899+0.0135384j -5.75931e-05-0.00574584j -0.00236978-0.000309796j 0.00597216+0.0012356j -0.00548348+0.002979j -0.00222888+0.00434233j 0.00237759-0.00121125j -0.00291313+0.00197507j -0.00355464-0.00514315j 0.00293639-0.000749085j 0.00368583+0.00193387j 0.000230912-0.0016184j 0.00399984-0.00404837j -0.0044276-3.16186e-05j 0.000711425+0.000696815j -0.000905517-0.00182967j 0.00160788+0.00130602j 0.000567128-6.5487e-05j 0.00127283+6.06559e-05j -0.000590137-0.000379769j 
-0.00211201-0.000307938j 0.00149784-0.00197381j -0.000814696-0.000250334j 0.000355737+0.000308146j 0.00116053-0.000541259j -0.000469185-0.0013622j -0.00110214-0.00130051j 0.00141323+0.00141603j 0.000880279+0.000718943j -8.46054e-05+0.000482828j 0.000285696+0.000591951j -0.0006341+0.000697787j -0.000512529-0.0018186j 0.00083858-0.000199823j 0.000595697-0.00176026j -0.00153176+0.00126908j -0.000336287-0.0015067j 0.000245851-0.000513346j -0.000435268+0.000560218j 0.00123143+4.38261e-05j 0.00139886+0.0003263j 0.00014289-4.74037e-05j 0.00104977-0.00018448j -0.000267174-0.000778283j -0.00100531-0.000620357j -0.00180839-0.00118689j -0.000439005+0.00114348j 0.00107818-0.000172456j -0.000782839-0.00115367j -0.00372245+0.000654941j 0.000198268-0.00462859j -0.00439295+0.00205102j 0.000331379+0.000514221j -0.000649123-0.000600477j -0.00471163+0.000758208j -0.00677459-0.00177269j 0.00409823-0.00168611j 0.0018357-0.00191814j -0.00129001+0.00220198j 0.00178819+0.00537767j 0.0032143+0.00718758j 0.00623836+0.00398637j 0.000861609+0.00504599j 0.00135942-0.00148162j 0.00377598-0.00264371j 0.00121603-0.00319864j -0.00195038-0.00108179j -0.000736058-0.00757426j -0.0011295-0.00481293j 0.00208536+0.00105305j -0.00381052+0.00161907j -0.00494574-0.00392981j 0.000925885-0.0056869j -0.00168847+0.0015463j -0.00658739+0.00222157j 0.00197838+0.00298597j 0.000911799-0.000594206j 0.00104079+0.000432185j -0.00283429+0.00226584j -0.000297255-0.00165459j 0.00506306-0.00304742j 0.00472857+0.000637636j 0.00629083-0.00266549j 0.00325374-0.00360412j 0.00248667-0.000740859j -0.00443391-0.00150766j -0.00321909+0.00765844j 0.00787258+0.00135251j 0.00012423-0.0085404j 
-0.000555848+0.00425398j -0.00478344-0.000232384j -0.00242389-0.00344751j 0.00238382-0.00186841j 0.000707911-0.000630322j 0.000342775-0.000924525j -0.00131577+0.000110729j 0.00040949+0.000751291j 0.000505301-0.000214893j 0.000601035-0.000787581j 2.70995e-05-0.000928541j -0.000233316+0.000740522j -0.000926731-0.000262192j 0.000173662-0.000941178j -0.00100252-0.000564893j 0.000429471+0.00147386j -0.000958791+0.000821555j -0.000331295+0.000246147j -0.000566925+0.000537977j -0.000519572-0.000173146j 0.000224007-0.000603488j 4.83721e-05+9.44427e-05j 0.000752596-0.00108054j -0.00116819+0.000558188j -0.000471895-0.00013291j -9.05715e-06+0.000434428j 0.00103407-5.55377e-05j -0.00131979-0.00125037j -0.00125994+0.00128161j 0.00191335+0.00590413j -0.00638783+0.00201766j 0.00602724+0.00902006j -0.00780849+0.00517117j 0.00133596-0.000133014j 0.000660536+0.0043168j -0.00669507-0.00201673j 0.00381906-0.00796238j 0.000610131+0.00234327j 0.0042322-8.45428e-05j 0.00203612-0.00146378j 0.00250837-0.00448508j -0.000327429-0.00396979j 0.00132565+0.00104807j -0.00283456+0.00227852j -0.00476893-0.0006371j -0.00153258-0.00645796j -0.00309192+0.00189041j -0.00500562+0.00349788j -0.00364354+0.00162483j -0.00187908-0.000866385j 0.000866794+0.00501232j -0.00480312+0.00435669j -0.00484835-0.00370327j 0.00071896+0.00293073j 0.00282555-0.00109762j 0.00208489+0.00172888j -0.00240504+0.000111408j -0.000544488-0.00298652j 0.000648218+0.00237074j -0.000518566-0.00211985j -0.00283333-0.000299282j 0.000457933+0.00285162j 0.000808518-0.00103717j -0.00378205+0.00147192j 0.00619902+0.00705831j 0.00484282+0.000234458j 0.000669617-0.00681516j -0.00314511-0.00992652j -0.00882971+0.00249265j 
-0.00240549+0.00418056j -0.00231519-0.00306548j -0.0030119-0.00275374j 0.00361041-0.00160072j 0.0021105-0.000454663j -0.00163326-0.00204683j -0.00277464-0.00219684j 0.00252679+0.00206995j 0.00116253+0.000712973j 0.00133897+0.00104399j 0.000698676+5.45129e-05j -0.000543774+0.0022134j -0.00243791-0.00378843j 0.00174087-0.0012297j 3.02719e-05-0.00349073j -0.00171303+0.00318242j -0.00186353-0.00273151j 0.000754455-0.000452762j -0.00151321+0.001827j 0.00143656-0.000207957j 0.00225679+0.0010517j -0.000358387+0.00157537j 0.00165718-0.00135878j -0.000948545-0.00164269j -0.00262018-0.00103002j -0.00207424-0.00368476j -0.00012085+0.00236478j 0.00128821-0.000498996j -0.00108947-0.00125288j -0.00341629+0.00366874j -0.00429556-0.00398039j -0.00335888+0.00961511j -0.000747289+0.00375667j -0.000934905+0.00478235j -0.00704416+0.000127341j -0.00938141-0.00230845j 0.0111735+0.000994513j 0.00627594-0.000167102j -0.00232325+0.00153138j 0.00405603+0.000868167j -0.00277756+0.00783309j 0.00482854+0.0038235j -0.000169925+0.00772204j -0.000636105-0.00505905j 0.00918992+0.00167866j -0.00261149-0.000957896j -0.00441635-0.000646507j -0.00269912-0.00728295j 0.00157595-0.00423314j -0.00191902+0.00796282j 0.00140979+0.0032581j -0.0111439-0.000297044j 0.0032567-0.00543153j 0.00124072+0.00298816j -0.000602882+0.00580497j 0.00555057+0.00489047j -0.00176133-0.00263141j 0.0021194-0.00156677j 7.67984e-05+0.00269157j -0.00191296-0.00393623j 0.00892786-0.00610677j 0.00232657-0.000996005j 0.00951028-0.00567026j 0.00218718-0.00181288j 0.00340003-0.000427394j -0.00447724+0.000524965j -0.00965049+0.0060894j 0.00125531-0.00442492j -0.00459349-0.00510549j 
0.00194882+0.0103859j -0.00911599+0.00333095j -0.0044323-0.00556268j 0.0042943+0.000259549j 8.9115e-05+5.10314e-05j -0.00561359-0.00185189j 0.00126009-0.00120514j 0.0023323+0.000455358j 0.00212412+0.00136593j 0.000743627+0.000761082j -0.00286989-0.00448026j 0.00145736+0.000727792j -0.00422164-0.00260962j -0.0020413-0.00558564j -0.00442095+0.00020023j 0.00388407+0.00410702j -0.00146866+0.00231687j -0.000460727+0.00249698j -0.00117282+0.00457531j -0.00125362-0.00277579j -0.000382444+0.000259632j -0.000943947+0.00174142j 0.00137908-0.00523817j -0.00124852+0.000454352j -0.00221845-0.00141809j 0.00195524+0.000858726j 0.00325357+0.000594163j -0.00359282-0.00185586j -0.0046989+0.00222961j 0.0063193+0.00712987j -0.00917806+0.00623162j -0.00198388+0.0146441j -0.011221+0.00614165j -0.0103805+0.00722241j 0.00132124+0.00181299j -0.00333626-0.00256849j 0.00314392+0.000932688j 0.00422189+0.00760686j 0.000146382-0.000366993j 0.00552699-0.00291771j -0.00441152-0.00782968j -0.00365392-0.00392335j 0.00583883+0.00164714j -0.00522246-0.00350925j -0.000429325-0.000194727j -0.00653581-0.000760331j -0.0016217+0.00440095j -0.00193772+0.00120775j -0.00819547+0.00467641j -0.00548482-0.00474098j -0.000856561+0.00917168j -0.00393575+0.0102396j -0.00739116-0.0049763j 0.00222837+0.00181976j 0.00643195+0.00239146j 0.00157915-9.52373e-05j -0.00604331+0.000245214j -0.00434328-0.00228473j -0.00212454+0.0104877j 0.00201942+0.00396623j 0.000134315+0.00113336j -0.00035818+0.000386525j 0.00240396+0.000592653j 0.00161253+0.000952803j 0.00822928+0.00577805j 0.00242507+0.00107562j -0.000875795-0.0192222j -0.0139356-0.00947933j -0.00588504+0.0109426j 
-0.00237165-0.000284456j -0.00105022-0.00213667j 0.00119866-0.00107757j -0.000953878-0.000577741j -0.0016252-0.000136536j 0.00409266+0.00180369j 0.000986575+0.00298834j -0.00283943-0.000983008j -0.00060381-0.00172755j 0.000708239-0.00275334j 0.00172146-0.00142621j -0.000699668-0.000640157j 0.00203003+0.00441654j -0.000661581+0.00138266j 0.000390668+0.00297503j 0.00132644-0.00297209j -0.00142204+0.00409723j -0.000461981+0.00136329j -0.000534142-0.00212064j -0.0032804+0.000202792j -0.0014936-0.000403227j 0.00127388-0.000283519j 0.00288084-0.000307356j -0.00109162+0.00208771j 0.00212529-0.00117362j 0.00168658+0.00255696j -0.00227077-0.00126228j -1.57734e-05-0.00414874j 0.000885602+0.00170183j -0.00285317-0.000250791j -0.00151499-0.0031684j 0.00306416-0.00372155j -0.00179379+0.00133209j 0.00156595-0.00421874j 0.00134387+0.0015063j -0.00144329-0.00326703j -0.00677347-0.00234939j -0.00280285+0.00528516j 0.00131439-0.00122286j -0.00107142-0.00231373j -1.52876e-05-0.00908318j -0.00424627-0.00519698j 0.00155463-0.00387044j 0.00324633+0.00474017j -0.0103275+0.000982341j -0.00107176-0.00677297j -0.000283167-0.000885554j -0.00192764+0.00538782j -0.00248653+0.00734963j -0.00423315-0.00457323j -0.00677768+0.00413169j 0.000847627+0.00377937j -0.00495098-0.0017933j 0.00081118-0.000551356j 0.00150487-0.0027713j -0.00797034-0.000850839j -0.00495808-0.0041994j -0.00419032+0.000846448j -0.00299928+0.000571452j 0.00820688+0.00180888j -0.00457626+0.00511083j 0.0095017+0.00682656j 0.0027398+0.00423853j -0.00661872-0.000221319j 0.000582888-0.001506j -0.00638296-0.00878248j 0.000186556-0.00245488j 0.00413884-0.00466312j -0.00204605+0.000134265j 
0.0041279+0.00371906j -0.00255637+0.00548089j 0.000513587-4.93062e-05j -0.00192965+0.00285877j -0.00189734+0.000689143j -0.00485328+0.00026379j 0.00350202+0.0004866j -0.0001586-0.0002751j 0.00122729+0.00115287j 3.01249e-05-4.03367e-05j -0.00334906-0.00238525j 0.00219155-0.00216106j -0.000563689-0.000653465j -0.00257518-0.0022699j -0.00146312+0.00282204j 0.00182148-0.0010771j 0.00134986+0.00118024j 0.000938099+0.00140901j 0.00135635+0.00360965j -0.000776379-0.0014637j 0.000352385+0.00144072j 0.000984251-0.000380409j -0.00145024-0.000723535j 0.000248255-0.000424909j 0.0013234-0.000801139j 0.0018156+0.00291465j 0.00166923-0.00153309j -0.00483348+0.000681809j -0.00181417+0.00188286j 0.00624574+0.00138594j -0.00183389+0.00586367j -0.00565964-0.00146309j -0.00169813-0.000725297j -0.011425+0.0048202j 0.00423758-0.00285631j 0.00786965+0.00421613j 0.000159717+0.00511725j 0.00198137+0.00191195j -0.00382215-0.000521515j 0.00492046-0.00059872j -0.00432807-0.00432315j -0.00166802-0.00148448j 0.00251406+0.00127204j -0.00384775-0.00347749j 0.00633776+0.00276665j -0.00717893+0.00792285j 0.0018496+0.00684691j 0.00311375+0.00342596j 0.00106693-0.00343163j 0.00635139+0.00325342j 0.00692007-0.00182515j 0.00691395+0.0056487j -0.00664393-0.00274744j -0.00096355-0.00478366j 0.00151788-0.00237147j 0.00457699+0.00181401j -0.00510393+0.0145393j 0.00333271-0.00291278j -0.00118897+0.00240561j -0.00677973+0.00266126j -0.00431901-0.00302801j -0.00850671+0.000909203j -8.55764e-05-0.00230695j 0.00410435+0.00317618j -2.2856e-05+0.00682657j 0.00331987+0.0031699j 0.00532798-0.00488436j -0.0100036+0.00337735j 0.00252701+0.00887834j 
-0.000174434-0.00321795j 0.000620342-0.00136416j 0.00462891+0.000836985j 0.000239485-0.00229142j -0.00146122+0.00348811j 0.00855145+0.00322883j -0.00437871+0.00601127j -0.00363131-0.00205555j -0.000858292-0.00366711j 0.00262613-0.00356534j 0.00661407+0.000109338j -0.0022255-0.0013793j 0.00326793+0.0049488j 0.00573459+0.00585159j 0.00339074-0.00303409j -0.00516801-0.00296109j -0.00353173-0.000146324j -0.0016316-0.00263041j 0.00116921-0.00611521j 0.000822693+0.00473765j 0.00335019-0.00119574j 0.00092911-0.00456702j 0.00324869+0.00641849j -0.00420557-0.000202162j 0.0018772-0.00465722j -0.00389087-0.00120603j -0.0029467-0.00218456j 0.00616173-0.00167666j 0.00689694+0.00299391j -0.000105551-0.000272076j 0.00185415-0.00126818j 0.00455445-0.00700631j 0.00304417-0.00161892j 0.00470068+0.000658118j 0.00623193+0.000215314j -9.40156e-05+0.000573589j -0.00280577+0.00142462j -0.00411629+0.000749718j 0.00129171+0.00208117j 0.00130894-0.000575311j -8.16841e-05-0.00225547j -0.001684-0.000645266j -0.00451978-0.00271237j 0.000559597+0.00166104j -0.00151684+0.0029237j 0.00172853-0.00125016j -0.000873767-0.000439995j 0.000133548+0.000336701j 0.0021813-0.00105892j 0.00154346+3.24732e-05j -0.00153102+0.000367954j 0.00227823-0.00164598j -0.0021889+0.000117764j -0.00470137-0.00429182j -0.00322049-0.000313558j -0.00445001+0.0017596j -0.00339894+0.00198629j 0.00127824-0.00256768j -0.000946803-0.00192317j 0.00254762+0.00469358j -0.00290542+0.00207621j 0.00274997+0.00527707j -0.000729802+7.42831e-05j -0.0071532-0.00164899j -0.00453003-0.00473722j -0.00307063-0.00480862j 0.00875168+0.00975649j 0.00611231+0.00293924j 2.79368e-05-0.00145885j 
0.00342235-0.00198803j 0.00391044+0.00476028j 0.00196684-0.00249746j -0.00830265+0.00492675j -0.00136996-6.64121e-05j 0.000374563-0.00151136j 0.00666044+2.70718e-06j -0.00593975+0.0025811j -0.000418229+0.00255314j -0.00203305-0.00217126j -0.00689558+0.000884069j -0.00218572-0.00575803j 0.00544233+0.00433211j -0.0061447-3.83572e-05j 0.00414941+0.00955097j -0.000613359-0.00548643j 8.01389e-05+0.0052519j 0.00344017+0.00711279j 0.00323642+0.00154097j -0.00575899-0.000585501j -0.0030589+0.0013137j 0.00323412-0.00438936j 0.000657621-0.00263425j 0.0023534+0.00240495j 0.00359265-0.00342471j 0.00145522+0.0101084j -0.00539325-0.00355513j -0.00794687-0.00317521j 0.00668154-0.000493591j 0.00462772-0.000716828j -0.00171877+0.00420575j -0.00655744-0.00261366j -0.00321939+0.00186332j -0.00702495+0.0013363j 0.00225365-0.00189509j 0.000400424+0.00617582j -0.00268077+0.00456218j 0.00345169-0.000578184j -0.00124872+0.00178939j 0.00354395+0.00348298j -0.00451829+3.57016e-05j 0.000409061+0.00382687j 0.00701354+0.00247173j -9.60806e-05+0.0025778j 0.00330339-0.00375101j -0.00361135-0.000327951j 0.00736175+0.00503023j 0.00509112-0.00373983j -0.000900029+0.00793645j -0.00193927-0.00869007j 0.00018647+0.00348723j 0.0112251+0.00573815j -0.00203207+0.0072166j 0.000237723-0.000842934j 0.00419953-0.00357017j -0.00604916-0.00562015j -0.00114402+0.00615168j -0.00304719+0.0040223j -0.000398561+0.00460911j 0.00636893+6.02189e-06j -0.00334517+0.00535378j 0.00442654-0.00150198j -0.0057665+0.00417381j 0.00637288+9.50499e-05j -0.0074939+0.00559976j -0.0125106+0.000182802j 0.00405896-0.0191247j -0.00228649+0.00242963j 0.0073926+0.00555316j 
-0.000960789+0.00446518j -0.0065377-0.00246634j -0.00471362+0.000962571j 0.00201617+0.000191229j -0.00244526-0.000384802j -0.000624045+0.000105202j 0.00346551+0.00436566j -0.00108841+0.000196453j 0.00085821-0.00218763j 0.00137905-0.0046312j 0.000204576-0.00261792j 0.00112139+0.0050922j -4.74753e-05+0.0030272j -0.00153591-0.00232901j -0.00253266+0.00223313j 0.00357925-0.00202668j -0.00206461+0.00665143j 0.00485234+0.00341706j -0.00650156+0.00355414j -0.00751073-0.000568634j -0.000213433+0.000733378j 0.00422828+0.00769445j 0.00496607-0.00491112j -0.00441948+0.00361602j -0.00504595-0.00182538j 0.00518404+0.00224527j -0.00361998+0.00481561j -0.00540567-0.00606995j -0.00370412-0.00175398j -0.00462816+0.00286417j -0.00349239-0.00256519j 0.00597706+0.00731702j 0.00176986+0.00251006j 0.00409502-0.00360357j -0.0012983+0.00258786j -0.00375137+0.000547555j 0.00275942-0.00231621j 0.000535597+0.0036839j -0.000241708-0.00195472j -0.00318403-0.00845926j 0.00412885+2.35115e-06j 0.00165327+0.000997611j -0.00342459-0.00576133j -0.00241802+0.00226488j -0.00340784+0.00408098j -0.00383837-0.00289686j -0.00404193-0.00473042j -0.00696596+0.000211284j 0.0016692+0.0049231j -0.0100656+0.00422593j -0.0010595+0.00450766j -0.0123025+0.00426531j 0.00320605-0.012175j 0.0129154-0.00309252j 0.00831789+0.00757273j -0.00646741+0.00157115j -0.00869316-0.0155421j -0.00515654+0.00259523j -0.00220773+0.00753371j 0.00868176-0.00169269j 0.00904744-0.00384766j 0.0103562-0.0069968j 0.0030669+0.0107978j -0.00996677-0.00923191j 0.00687756+0.00419393j -0.00729271+0.0142199j -0.0184742-0.00289049j -0.0035692-0.00835421j -0.0036386+0.00177428j 
