-0.0104171-0.0013882j -0.0005645+0.010579j 0.00210566-0.00632636j -0.00637965-0.00226959j 0.00204024+0.00228713j 0.000797372+0.00311424j -0.00509185+0.00141263j -0.000934103+0.00307038j -0.00133105-0.00110747j 0.00168767-0.00118929j 0.00208167-3.86037e-05j -0.00126697-0.00454884j -0.00785545-0.00315891j -0.00155254+0.00819753j -0.00165822+0.00178765j 0.00143603+0.000968369j -0.00312823-0.000573695j 0.000233246-0.000113883j -0.00213523-0.00127105j 0.000177012+0.00218925j 0.00272419-0.00275595j -0.00127571-0.00113232j 0.00477196-0.00164592j 0.00190803+0.00112726j -0.00433218-0.00137969j 0.0013553-0.00214174j 0.00289795+0.00113154j 0.00289004-0.00550108j -0.000613983-0.00417249j 0.00141518+0.00334303j -0.000781649-0.000986478j -0.000110518+0.000812937j -0.00064435-0.00447374j 0.00155572+0.00169682j 0.00163971+8.30408e-05j 0.000575873-0.00517021j 0.00103699-0.000581001j 0.0051169-0.00237483j 0.00469223+0.00152896j 0.000536685+0.00261673j -0.0020322-0.00514076j -8.77578e-06-0.00192343j 0.0049112+0.000815602j 0.0027489+0.00385974j 0.000871162-0.00122001j -0.00219273-0.00324396j -5.98226e-05+0.00218535j 0.00261788-0.00251468j -0.00261098+0.000974729j 0.00537825-0.000643564j 0.00169594+0.00210094j -0.00295002+0.00421978j 0.00055939-0.000619734j -0.00107724+0.0013131j 0.00388528-0.00160126j 0.00162174+0.000932021j 0.00271116+0.00148849j 0.00227991-0.00319803j 0.00260855+0.00158177j 6.93411e-05-0.0031274j -0.00224818+0.00031143j -0.00188479-0.00271086j -0.000745173+0.00128766j -0.00122402+0.00237051j -0.00146612+0.000551985j -0.00212507+0.000966965j -0.00295864+0.000627986j -0.00264475-0.00305275j -0.0044201-0.00201706j 0.00121032+0.00243275j -0.00183802-0.00466997j -0.00268465+0.00196242j 0.0004865+0.000848317j 0.00230248+0.000793125j -0.00191393+0.00163189j -0.00611392-0.000696314j 0.00155931+0.000279154j 0.000268756-0.012806j 0.014271+0.00510056j 0.00582692-0.00946748j -0.00393469-0.00154809j -0.00354597+0.00243817j -0.00451924+0.00269892j 0.00429646+0.00570964j -0.000947292+0.0011773j -0.00561308-0.00604782j -0.000962986-0.00490218j 0.00584346-0.00912943j 0.0109699+0.00508633j -0.0050222+0.0076575j -0.0169015+0.0146513j -0.0130973-0.0185357j 
-0.000690043-0.00521417j 0.000386332-0.00512449j 0.000428837-0.00191425j -0.00209237+0.0029811j -0.00193404+0.00293222j 0.00246975-4.3125e-05j -0.000777275-0.00164715j 0.00473638-0.00112309j -0.00178077-0.00605463j -0.00346033+0.00228478j -0.00201817+0.00307381j -0.00131466+0.000415795j -0.00318023-0.00486487j -0.00426103+0.000354019j -0.00131872-0.00392797j -0.00162111+0.00399796j -0.000848939+0.00101358j 0.00195969-0.00232678j -0.00340882+0.000507491j -0.000645053+0.00244479j -0.000825995-0.00161279j 0.00103051+0.0030607j 0.00411495-0.000375036j 0.00490306+0.000756861j 0.0065514+0.000626623j -0.00104686+0.00888727j -0.00212716-0.0117588j 0.00324364+0.00137555j -0.00132697-0.00271156j -0.0055041+0.0031531j 5.6449e-05+0.00358156j -0.00455715-0.00162738j -0.00216906+0.00228736j -0.0025928-2.48194e-06j 0.00589071-4.72555e-05j 0.00246454-0.00500425j 0.00550343+0.00182308j -0.000427462+0.00236358j -0.00362392+0.00490371j -0.00183488+0.00169219j -0.00558663+0.00334961j -0.00110927+0.00147262j 0.000574968+0.00487674j 0.00127788-0.00302066j 0.00133309-0.000289478j 0.00108015-0.00238097j -0.00456314-0.00179509j -0.00528838-0.0049817j 0.000333315+0.00623977j 0.00506171-0.00168849j 0.00167015-0.001841j -0.00616422+0.00277554j -0.00108315+0.00421421j -0.00394634-0.00619561j -0.0046853-0.000443097j -0.00392551+0.00524808j 0.00508455-0.00331321j 0.00586098+0.00452691j 0.000590311+0.00508118j -0.000559032+0.000251388j -0.00566875+0.00291995j 0.00588451+0.00368091j -0.00557865-0.00311797j -0.00473413+0.00863061j -0.000843929-0.00169193j -0.01225+0.00712518j -0.00645289-0.00208063j -0.00165867+0.00604017j 0.00157853-0.00209934j 0.0053583-0.00272493j -0.000925089+0.00506876j -0.00286385+0.00135221j 0.00190449+0.00180814j 0.00054816-0.00230467j 0.0041068-0.00208602j 0.00282861+0.00400163j -0.00382738-0.00140593j 0.000500614-0.00293404j 0.00146801+0.00421053j -0.00892093+0.00075385j -0.0018449+0.00441316j -0.00391574+0.00195148j 0.00113223+0.00114517j -0.00444024+0.00482263j 0.00393259+0.00130978j -0.000463222+0.00482212j 0.00276397-0.00511128j 0.00178319+0.00179961j -0.000609216-7.04644e-05j -0.00499515-0.00391359j 0.00107321+0.00405455j 0.0013714-0.0052529j 
-0.00069698-0.00275577j -0.00195952+0.00240463j 0.00117408-0.000906514j -0.00031899-0.00274032j 0.00185124-2.51704e-06j 0.000238284-0.000865157j -0.00534152-0.000730665j 0.00163337+0.00376034j 0.00500772+0.00255484j -0.00083336-0.000611821j -0.00498226+0.000452098j -0.000816694-0.00401713j -0.00273071+0.000467179j -0.00406595+0.000534443j -0.00817111-0.00420397j -0.0046597+0.00634825j 0.00384295-0.00256234j 0.00146203-0.00202635j 0.00236945+0.00148198j 0.00100927+1.05498e-05j -2.25982e-05-0.00401396j 0.001489-0.00598355j 0.00695541-0.00192241j 0.00242897-0.00167941j 0.000181083+0.00202712j 0.00532536-0.00875666j -0.0116421-0.00174433j 0.0127382+0.00120461j -0.00852674+0.000366174j 0.00108055-0.00299653j -0.0037624-0.00109488j 0.00665677-0.000121751j 0.00116508+0.00309625j -0.00313787-0.00545576j 0.00203755-0.00160167j 0.00310075+0.00257205j 0.00407657-0.00439616j -0.000439241+0.000416963j 0.00469442-0.00652059j -0.00463793-0.00626763j 0.00813608-0.00419762j -0.00681079-0.0017106j 0.00277078+0.00435086j -0.00090926+0.00170943j -0.0041478-0.00340015j 0.00641519+0.000804194j 0.0070203-0.00914904j -0.00176158+0.00383487j 0.000761382-0.00806711j 0.00431116-0.000471507j -0.00659955-0.00777616j -0.00644748+0.00154722j -0.00344762-0.00145931j -0.0023879-0.00866476j 0.00231609+0.00336769j -0.00589609+0.00205711j 0.00541262+0.00107684j 0.00244551-0.00190897j -0.00044646-0.00716182j 0.00209584+0.000937159j -0.004764+0.00347704j 0.00348772-0.000471537j -0.000728888-0.00548541j 0.00490021+0.0052045j 0.000729057-0.00722148j -0.00262623-0.00435343j -0.00192714-0.00306308j -0.0035374+0.0052843j -0.00146155+0.00292125j 0.000467775+0.0106964j 0.00200184+0.00316829j 0.00331365-0.00323987j -0.00106262+0.0036338j -0.0047423-0.00979623j -0.00072087+0.00226195j 0.00554076-0.0021771j -0.00469397-0.00237705j -0.00360786+3.48448e-05j -0.0042206-0.00624749j 0.00361399+0.0022958j 0.00039924+0.00176479j 0.00253521+0.00250501j -0.000765565-0.00101738j 0.0056241-0.00125746j 0.00236231+0.000258898j -0.000389755+0.00550834j 0.00327313+0.00297411j 0.00287403+0.00137207j -0.000984405-0.00196311j -0.00255626+0.00507004j 0.00101058+0.000557552j 0.00268175-0.000742778j 
0.000799786-0.000605499j -0.00224373+0.00168682j 0.00122987-0.00191646j -0.00080463-0.00146077j -0.000562742-0.00157785j -0.000388723-0.00188069j -0.000672759-0.000614239j 0.00163554+0.000840244j 0.00281528+0.000720783j 4.89037e-05-0.00049415j -0.00412924-0.00154113j -0.00170311-0.0031282j -0.00259659+0.00109333j -0.00572816+0.000534389j 0.000616364-0.000373825j -0.000787992+0.00357433j -0.00106433-0.00429904j 0.00153271-0.0065814j -0.000199902+0.000714934j 0.00661954+0.000558395j -0.000307776-0.00179061j 0.00289508+0.00639519j 0.00365278+0.000797237j -0.00436618-0.000880063j 0.00723723+6.36359e-05j 0.0011572+0.00131528j 0.00253875+0.00542947j -0.00215574-0.00158842j -0.0043069+0.00321237j -0.00307231+0.00585546j 0.00417579+0.00117291j -0.00365946+0.000501165j -0.00579127+0.00395886j -0.00308829+0.00227313j -0.00211558+0.00635119j -0.0057425+0.000506705j -0.000573234+0.00226771j -0.00100719+0.00175153j -0.00721783-0.00744525j 0.00223786-0.00045264j 0.000122525+0.00756659j 0.0053405+0.00698109j -0.00719702+0.00575443j 0.00399031-0.00178253j 0.00219334+0.00118515j 0.0027037-0.00275376j 0.0044018+0.00633533j -0.00510555+0.001202j 0.00172808+0.00184937j -0.00428757+0.00155026j 5.44961e-05+0.00110038j 0.00715029-0.00203211j 0.00373424+0.000421247j 0.00368941+0.000635928j -0.0131722+0.00172811j -0.0075091-0.00361791j -0.00909824-0.000999723j 0.00124312+0.00654489j -0.00908847+0.00787271j 0.00320426-0.000760191j 0.000339534-0.00257439j 0.00632186-0.000733217j 0.00260908+0.000736485j -0.000296649+0.00548716j 0.00226642+0.0014256j 0.00203746-0.00112825j 0.00264619-0.0037617j 0.00224128+0.00175012j 0.00116317+0.00431256j 0.00394274-0.00250227j 0.00156451+0.00125664j 0.00710112+0.00959585j -0.00233362-0.0027605j -0.000402761-0.00317506j -0.00118821+0.0031763j 0.00134955+0.00702078j -0.0083046-0.00543569j -0.00277898-0.00689673j 0.00814052-0.00329072j 0.0017775-0.000628567j 0.00321544-0.00697636j -0.000202898-4.71318e-05j -0.00341344-0.00178809j -0.00438605+0.00181176j 0.00486131-0.00728604j 0.00438324-0.00378104j -0.000894532-0.00163765j -0.00502679+0.000245485j -0.00477751-0.0002495j -0.000665521+0.00176749j 0.0056775-0.00306497j 0.0023042-0.00139324j 
0.000100455+0.00293355j 0.00163217-0.0020787j -0.00237886+0.00145689j -0.00169138+0.00263991j -0.000141332+0.000641353j -0.00265915-0.00297325j 0.00136292+0.000181531j 0.00397999-0.00278337j -0.000434649+0.0030889j -0.00122818-0.00143633j 0.00300968+0.00478754j -0.0040557+0.00258778j 0.000625417-0.000392458j 0.00255533+0.002944j 0.00344462-0.00256116j 0.00201078+0.000404217j -0.00103185-0.000701719j 0.000318108-0.00182774j -0.00231346+0.00326378j 0.000916464-0.000395179j -0.00125089-0.0046599j 0.000338678-0.00170353j -0.00173524-0.00167062j 0.000116347-0.00438522j 0.00337228+0.00156313j -0.001574-0.00414097j 0.0031625-0.00763895j -0.00057884-0.00254126j -0.00576765-0.0023953j 0.00316883-0.00555811j 0.00188316-0.000925304j 0.00157081-0.00537487j -0.000515946-0.00385188j 0.00557673+0.00266141j -0.00228644+0.00391995j -0.00792516-0.00197793j -0.00299999-0.00608785j -0.00207124-0.000294891j 0.00411744+0.00371335j -0.00204279+0.00837111j -0.00206469+0.000234864j -0.00413233-0.000256853j -0.00544494-0.00654457j 0.00319324-0.00247245j 0.0019288-0.00115175j 0.00122517-0.00252745j 0.00152216-0.00322837j -0.000455899-0.00296189j 0.00372176+0.00511187j 0.00125497-0.00444702j 0.00264788-0.00109708j -0.000820406+0.00242776j 0.00350663-0.000430416j 0.00332019-0.00109793j -0.00501555-0.00260456j -0.000813044-0.00200811j -0.00579123-0.0114781j 0.000525964-0.00688111j 0.0024036-0.00340211j -0.00780674+0.00149873j -0.00594494+0.00159725j 0.00540877+0.00408488j 0.00446461-0.000205841j 0.000735233+0.000979032j -0.00101399-0.00345046j -0.000206724+0.00244995j 0.00142884+0.00240922j -0.00210997+0.00719614j 0.000514708+0.00892269j -0.00400024+0.00333465j -0.00135418-0.00508568j 0.00275482-0.0042167j -0.00218409-0.00914225j 0.000834955+0.00556846j -0.00492137+0.0032936j -0.00564598-0.00211617j -0.00326562+0.0104883j -0.00210114-0.00235116j 0.00758857+0.000783719j 0.00332096-0.00248522j -0.00581328-0.00293132j -6.49526e-06-0.00370635j -0.00657382+0.00066147j 0.0004339+0.00369075j 0.00158554-0.00122243j -0.00428341-0.00209078j -0.00224074-0.00446464j -0.00128647-0.00259368j 0.000521425-2.70532e-05j 0.00320235+0.00145361j -0.00293487-0.0039694j -0.00232735-0.00281081j 
-0.00200516+0.0017464j 0.000340794+0.00487244j -0.000660206-0.00287382j -0.00190083-9.9413e-05j 0.000776737+0.00180373j -0.00488986-0.00221152j -0.000288704-0.00144941j 0.000166483-0.00218477j -0.00412726+0.00515611j 0.00166094-0.00531588j -0.00267657-0.00114753j 0.000847833+0.000839015j 0.00307475-0.005312j 0.000155247+7.95133e-05j -0.000533533-0.00174331j -0.00176097-0.00199696j -0.000701624+0.0075305j -0.00194097+0.00561537j 0.0023388+0.00207164j 0.000917423-0.00453326j 0.000273258-0.00176991j -0.00174388+0.00140848j 0.00300302-0.000134145j 0.00098841-0.00124803j 0.00132782-0.00551783j -0.0066537+0.00244841j 0.00575385+0.00269044j 0.00422172-0.00259011j -0.00516097-0.00698569j -0.00124673-0.000900001j 0.00150806+0.00246792j -0.00731778-0.000670064j -0.00317689+0.000127877j -0.00112352-0.00519104j -0.00433598-0.000212537j -0.00132337-0.00891738j 0.00209653+0.00229049j 0.00179175-0.000530539j -0.00161982+0.00943769j 0.00571621+0.00629043j -0.00306876+0.00286355j 0.00343715-0.000847084j -0.00964318+0.00259538j -0.00133111+0.00323322j -0.000823262-0.000477906j 0.0113965+0.00218437j 0.000203008-0.00569374j -0.00144005+0.000504755j 0.00280193-0.00890513j -0.00322216-0.00547467j 0.00247647+0.000977455j 0.0020375+0.00165768j 0.00232926+0.00313351j 0.00585606-0.00240758j -0.0041655-5.22891e-05j 0.00041358-0.000149776j 0.00382299-0.00358117j 0.00798028+0.00780748j -0.00128118-0.00226157j -0.00205336-0.00466766j -0.00277288-0.000231737j 0.00223991-0.00384727j -0.000418129-0.00190474j -0.0010509-0.00719632j 0.000866047+0.00982067j -1.81381e-05+0.00636519j -0.00332212+0.00194113j 0.00422677+0.00730492j -0.00262571-0.00323586j 0.0024236-0.00259691j 0.000388465-0.0022375j 0.000669609-0.0011884j -0.000825561+0.00794666j 0.00588424-0.00761126j 0.00294395-0.00335739j 0.000158533-0.00142234j 0.000580978-0.00506741j 0.00878302-0.00232318j 0.000561312-0.00223386j -0.00480743+0.00217293j -0.000883119-0.00471116j 0.00609785+0.00614838j 0.000939047+0.00516412j 0.00103126-0.00538588j -0.00176147+0.0019701j -0.00324767-0.00524821j 0.00114793-0.000405082j 0.00371865+0.00267467j -0.000439542+0.00219334j -0.00190717+0.0014729j -0.00168709-0.000904827j 0.000484694+0.00414934j 
-0.00128979+0.00124307j -0.00175198+0.00355815j -0.00154232-0.00235724j -0.000695015+0.00147599j 0.0030938-0.000637272j 8.276e-05+0.00634447j -0.00159587+0.00502907j 0.00124044-0.000175372j 0.000682917+0.000681735j 0.00325082+0.00517774j -0.00205983+0.00124946j 0.000663273-0.00367476j -0.000723697-0.0034273j 0.00080323+0.00347157j 0.00393868+0.00590025j -0.000700628-0.003869j 0.00443943+0.00161506j -0.00520636-0.00272157j 0.000514951-0.00833624j -0.00307188-0.00105354j 0.00291886-0.000921698j 0.00498758+0.0037701j 0.00134075-0.00130618j 0.00520264+0.00532378j -0.000180107-0.00777126j 0.00225547-0.00317155j 0.00669337+0.00286482j 0.000918378-0.00138261j -0.00104224+0.000759177j 0.000745732+0.00140981j 0.00601527+0.00243521j -0.000347299+0.00126038j 0.00330944-0.000383721j -0.00119479-0.000249388j 4.51665e-05+0.00483078j 0.00262209-0.00513795j 0.00171247-0.00154124j 0.000295678+0.00404274j -0.00162838+0.00738133j -0.00257955-0.0046434j 0.0052545-0.00166161j -0.00140811-0.000549288j 0.00480311-0.00207229j -0.000410745-0.00684324j 0.00309466-9.71722e-05j 0.000871593-0.00339815j 0.00126031+0.00114327j 0.00434445+0.00192528j -0.00398675+0.00251218j 0.000582037+0.00286492j -0.00327432-0.0082675j 0.00201094+0.000808705j 0.00320171+0.0080586j -0.0053708+4.43049e-05j 0.000488536+0.00326084j -8.47028e-06+0.00407174j 0.000919607-0.00154466j 0.00159182+0.00343661j 0.00780546+0.0144197j 0.000792762+0.00157378j 0.00287831+0.000592219j -0.000311522-0.00808528j -0.00155935+0.00375645j 0.00218547+7.0975e-05j 0.0040512-0.00629671j 0.00182591+0.000952586j -0.00222402+0.00955358j -0.00818581-0.00719392j -0.00332766-0.00588078j 0.00075622-0.00766567j 0.00212964-0.0023203j 0.00017455+0.000154486j -0.000783021+0.00485281j -0.00715683+0.00109251j -0.00583681-0.00242518j 0.00342284-0.00160761j -0.00673863+0.0050129j 0.00462924+0.000115082j 0.00131375-0.00336377j 0.0120313-0.00120127j -0.00169337-0.000719411j -0.00170213+0.00101387j 0.00371496+0.0036916j -0.00142411+0.00575686j -0.00484774+0.00403547j -0.000450425-0.00109647j -0.00241814+0.00421176j 0.00808744+0.000304475j 0.00190663+0.00223009j 0.000261093-0.00268188j -0.00222259-0.00328062j 0.00224367+0.00331694j 
0.00226886-0.000812174j 0.0039846+0.000477859j -0.000912645-0.003879j -0.000601123-0.00065203j -0.0010273-0.00135464j 0.00190229-0.00148224j 0.0031337+0.00142842j -0.000335608-0.00139463j -0.00181998-0.00197829j -0.000605203+0.00202219j 0.00207842-0.00474621j 0.000304494-0.00457449j 0.000302159-0.00551343j 0.00465053+0.00123638j -0.00252726+0.00639065j 0.00208093-0.00145774j -0.000120554+0.0018344j -0.000416672-0.0129785j 0.00328299+0.00357539j 0.00459939-0.0001653j -0.00678618-0.00664268j -0.00108132+0.00557388j -0.00175765+0.00385147j 0.00351508+0.00997596j -0.000640153-0.00191038j 0.00518066-0.00276575j -0.000724113+0.0091784j 0.00503442+0.00357925j -0.000185741-0.000717689j -0.000600929-0.00313652j 0.00193622+0.0042923j -7.83517e-05-0.00235062j -0.00310687-0.00872168j 0.0018882-0.00702972j -0.00617847-0.00670902j 0.000593802+0.00293889j 0.00122444-0.00604911j 2.92994e-05+0.00260362j -0.000707997-0.00369354j 0.00239599+0.00256875j -0.000174176+0.00300393j 0.00334608+0.00299264j -0.000857314-0.0057035j -0.000414275-0.00526823j 0.0012096-0.00194253j 0.00303422+0.00677243j 0.000383982+0.00486368j 0.00233278-0.00583814j -0.00621679+0.00676692j 0.00331859-0.0024543j -0.000146779+0.00137158j 0.0021598+0.00590863j -0.00336756+0.000620647j -0.00707178-0.00494925j -0.000679674-0.000560223j 0.000773964-0.00101895j 0.00724744+0.00637278j 0.00191023-0.00690664j -0.000663081-0.00428902j -0.00107955+0.000897148j -0.00215748+0.00910104j 0.005445-0.00561067j 0.00129082+0.00116626j 0.00429114-0.00295781j -0.00131521+0.0069775j -0.00246344-0.00167893j -0.00610551-0.00104441j 0.00390984+0.00412361j 0.00174127-0.00321651j 2.6898e-05-0.00251485j -0.00313571-0.000269576j -0.00201958+0.00154896j 0.00135317+0.000586844j 0.0025216+0.00375356j 0.00125821+0.000412008j -4.71026e-05-0.00278265j -0.000634912+0.00248822j -0.00421833+0.00524818j 0.00244353-0.00355999j -0.00764378+0.00232984j 0.00311468+0.00204213j 0.00707595-0.00200317j -0.00431913+0.00114809j 0.00121921-0.000949675j -0.00176803+0.00150981j -0.00755946+0.000689552j -0.00133093-0.000963939j 0.00190396-0.00240941j -0.00266225+0.000644454j 0.00154962-0.00155054j -0.00422815+0.00109343j 0.00259028+0.00127107j 
-0.000418528-0.00145036j -0.00328121-0.000104201j 0.00027432-0.0026385j -0.00113257+0.00297097j -0.00182088+0.000983994j -0.00180048-0.00433428j -0.0028143+8.019e-05j -0.00309692-0.00265335j -0.00170386+0.000969238j -0.000805647-0.00171432j 0.000638776+0.00239991j 0.00124164-0.000946654j -0.00171366-0.00396542j 0.00111608+0.00166241j -0.00245716+0.000472808j -0.000999404+0.00767614j -0.00088334-0.00122903j 8.52494e-05-0.00330462j 0.00130646+0.000514396j -0.000885291-0.00655276j 0.000758565-0.000223321j 0.00266284+0.00382952j 0.00582256-0.00710253j -0.0039668-0.001339j -0.00683665+0.00444218j 0.000812798+0.00302842j -0.00258893+0.0137533j -0.00259444+0.00429062j -0.000650217+0.00246215j 0.000578615-0.0075891j -0.000662686-0.000979768j -0.000190765-0.0020196j -0.00471743-0.000205451j 0.00167279+0.0110239j 0.00380098+0.00198042j 0.0018722-0.0012806j 0.000986518+0.0012906j -0.00239419-0.00547283j -0.000142067-0.00549764j 0.00492741+0.00391913j 0.00881026-0.000366361j 0.00400186+0.0013904j -0.00279802+0.0115342j 0.00256368-0.00871371j -0.00331189+0.00669191j -0.00391917+0.00542099j -0.00214925-0.000475085j 0.00225481-0.00418673j 0.00382186-0.00363987j 0.00431421-0.00632877j 0.00306849+0.00400798j -0.00266458-0.000926222j -0.00211359+0.00181505j 0.00205495+0.00222955j 0.0024701+0.00484822j 0.00140896-0.00370703j 0.00309717-0.00142692j -0.00143205-0.00366455j 0.00134541+0.00311666j -0.0014318+0.0116334j -9.38388e-05+0.000422024j 0.00235037-0.00635249j 0.00136838-0.00817628j -0.00446247-0.00347668j -0.00161194+0.00508657j -0.00459291+0.000518559j -0.00697885+0.00643815j -0.000325872-0.00720412j -0.0038984+0.00506928j 0.000909462-0.00701964j 0.00321512+0.00049312j -0.00109406+0.00560897j 0.00228174+0.00141845j 0.000571418-9.74818e-05j -0.00162242-0.000320251j -0.0021141+0.00337576j -0.000987712+0.00213217j 0.00648093+0.000173482j -3.69641e-05-0.00257148j -0.00420121+0.00290783j 0.00404864-0.00422164j 0.00139564-0.00785461j 0.00139466+0.00659129j 0.00121286+0.00640823j -0.000549461+0.000474107j 0.00107874+0.00374887j -0.00129773-0.00188714j -0.00161599+0.00318033j 0.00335393+0.00161728j -0.00272044-0.00433957j 0.00340638-0.000760674j -0.00264313+0.000136443j 
0.000604291-0.00124144j -0.00265818-0.00103127j 0.00271385+0.000934133j 0.00265482+0.00157896j -0.000272004+0.00274959j 0.00304744+0.000279315j 0.00152722+0.000657962j -0.0032835+0.000503749j -0.00145529+0.0012719j 0.000222494-8.62898e-05j 0.00181442+0.000112837j 0.000912818+0.000613961j -0.00160234-0.00308982j -0.00413645-0.000983357j 0.00336778+0.00162753j 0.00458626-0.00427341j -0.00144414+0.00220025j 0.00217862+0.00059504j -0.00811626+0.00173346j 0.00318861-0.00811644j -0.00130403+0.00241628j -0.00456859-0.00425842j -0.00638629-0.00516325j -3.70517e-05-0.00141368j 0.0031808+0.000442698j -0.00212015-0.00283206j -0.00144155+0.00667165j 0.00835159-0.00212635j -0.00449453+0.00833354j -0.00761287+0.0009558j 0.0054959-0.000839715j -0.000366712-0.00913967j -0.00502732+0.00525347j 0.00455361-0.00478801j -0.00682657+0.00226336j -0.0103911-0.000148836j -0.00194257+0.000210335j 0.00406752+0.000573515j 0.00232679+0.00232044j 0.00294788-0.00577425j -0.000661551-0.0060304j -0.000818688-0.000355287j 0.00379402+0.00369612j 0.00739506-0.00371582j 0.00366229+0.000508021j 0.0011561-0.00256065j -0.0122897-0.00292602j -0.00128434+0.000382098j -0.00221968+0.000267691j -0.00124189+0.00162562j 0.000273493+0.00621358j 0.00326717+0.00136769j 0.00546529+0.000581948j 0.000320224+0.00437352j -0.00271544+0.00161605j -0.00380077+0.00412062j -0.00748932+0.00224018j 0.00433166-0.000598638j 0.0014853-0.00701603j 0.00390887-0.00734566j -0.00318122+0.00966746j 0.00519743-0.00411056j -0.0036739+0.00717364j 0.00456574-0.00745066j -0.00316552+0.00193339j 0.002295+0.00225833j 0.00423566+0.00235434j 0.00127232+0.00197946j 0.00398119-0.00432423j -0.000622433-0.00547897j 0.000204027+0.00183159j -0.000448708-0.00228711j -0.0014791-0.000518974j -0.00129402-0.00110448j -0.00258958-0.00112333j 0.000423363+0.000828442j -0.000659823-0.00100872j -0.00029191-0.00162731j 0.000953254+0.0051418j -0.00104967+0.000474962j 0.00183472+0.00640601j 0.000665327-0.00339582j 0.00337654+0.00129096j 0.00375996-0.00573847j 0.00068235+0.000391849j 0.00632965-0.000414641j -0.00226751-0.00215211j -0.00131179+0.00122695j 0.00231505-0.000875642j -0.00282923-0.00216802j 0.00332942-0.000688018j -0.000957499+0.00194652j 
0.000403311-0.000109163j 0.000797502-9.68607e-05j -0.00111639-0.00108017j 0.000455468-0.000635035j -0.000280952-0.00117478j 0.000485404-0.000483669j 0.00107281+0.000995196j -0.00314888+0.00196129j 0.000981012+0.00154875j -0.000753224+0.00479403j 0.00157398+0.00160238j 0.000961657-0.000592845j -0.000385842+0.00203602j 0.000171972-0.00047614j -0.000193934+0.00250469j 0.0040841-0.0036133j -0.00247666-0.0025317j -0.00249412-0.00150164j 0.00237834-0.00254034j 0.00339779-0.00403661j -0.00256705+0.00452759j -0.00611031+0.00122139j 0.00143842-0.000810189j 0.000474051+0.00400359j 0.0017506-0.00764326j -0.00612504+0.00273784j -0.00306646+0.00691312j 0.000576983-0.00226697j -0.00180825+0.00275013j -0.00632253+0.000401953j 0.00309473-0.000530476j -0.00375366-5.83614e-05j -0.00710408-0.00246422j -0.00550101+0.0020217j 0.00128228+0.00275168j 0.00479932+0.000721561j -0.00343476-0.000432932j 0.00191163-0.00335696j -7.0786e-05+0.00228277j 0.00183948+0.00348921j -0.00579786-0.00324818j 0.00101907+0.00326579j -0.00514109-0.00422245j -0.000792969-0.00481202j -0.00104173-0.00367958j 0.00116352+0.00603906j -0.00826942-0.00451843j -0.00225948+0.00260467j 0.00460399+0.00176051j 0.00551397-0.003626j -0.00792821-0.00203257j -0.000151754-0.00147409j -0.000849139-0.00473473j -0.00420364+0.00360543j 0.000951858-0.00409711j 0.00203463+0.000137646j -0.0042793-0.00302838j 0.000712394-0.00481968j -0.0015533+0.0108571j 0.00169727+0.00769756j -0.00255467-0.0202383j 0.00216992+0.0161625j 0.00358057-0.00964455j 0.00153789+0.0163727j -0.00100323-0.00656407j -0.00246541+0.00203415j -0.00426917-0.00345946j 0.00342332-0.00401331j 0.00105269-0.00177889j 0.00494199+0.0101223j -0.00108218-0.0105621j -0.00471302+0.0116189j -0.00200117+0.000132271j 0.00442181-0.010554j 0.00158174+0.00335075j -0.00143596+0.00239846j 0.00157468-0.00362315j -0.000731106+0.00284535j -0.00365297+0.00574885j -5.58955e-05+0.00322566j 0.0010895+0.00182703j -0.00127144+0.00119203j -0.00123564-0.000894466j 0.000396879-0.00127918j 0.000571371+0.00355602j -0.00179459+0.00226049j 0.000882886+0.000459753j 0.000412768+0.000156854j -5.65879e-05-0.00120689j 0.000925801-0.00165908j -0.00162761+0.000363511j -0.000413252+0.000616339j 
