-0.0897145-0.0839282j -0.273044-0.192361j 0.000265016-0.00737372j 0.0149865-0.033671j -0.00545812-8.73234e-05j -0.0333201-0.0229427j 0.0160451-0.0128674j 0.00301094+0.0233559j -0.0059757-0.0035773j -0.0099093-0.0247195j 0.00256616+0.00655985j 0.0112024+0.00278566j -0.0044158-0.00520031j 0.00998623-0.00165858j 0.0088407-0.00302206j -0.00539246-0.00803298j -0.00431988-0.0125581j 0.00100859+0.0109626j 0.000787536-0.00431392j 0.000237166+0.00379745j -0.00780662-0.0024644j 0.000875991+0.00390985j 0.00639969+0.00348172j 0.00650797+0.0133264j 0.00183741+0.0013404j 3.35742e-05+0.00441842j 0.00151991+0.00256863j 0.00189424+0.00134388j -0.00149706+0.00482878j -0.00232855-6.38283e-05j -0.000702676-0.00231761j -0.00567252-0.0109483j 0.00167404-0.00205253j 0.00133929-0.00159024j -0.00391467-0.00806291j -0.00335371-0.00828813j 0.0069674+0.0142758j 0.000170477-0.00862684j 0.00589628+0.00567039j 0.00262964+0.0118047j 
0.00120872-0.00881161j -0.00133514-0.0259508j -0.00250721-0.00513063j -0.000435924+0.00341714j -0.00230354+0.00150998j -0.000827023+0.0134157j 0.00119553-0.0124267j 0.00502988+0.0152479j -0.010072+0.00701358j 0.00257316-0.0151664j -0.0118127+0.0142826j -0.00683879+0.000603243j -0.00149364-0.00609228j 0.010608+0.00372403j -0.0021415+0.00140233j 0.00608911-0.00265852j 0.0120829-0.000281649j -0.00186154+0.00166615j -0.00394653-3.75038e-05j 0.00367232+0.0121743j 0.0064421-3.34569e-05j -0.00855292-0.00286559j 0.00496181+0.0112811j 0.00195315+0.00685759j 0.00229245+0.00206756j 0.00036076-0.0325641j 0.000191514-3.23776e-05j -0.000362835+0.00794887j -0.001954-0.00425675j 0.00323359-0.00172108j -0.00440098+0.000742499j -0.000897819+0.00952775j -0.0011143-0.00147153j 0.000776309+0.00282577j -0.00592068+0.00490967j -0.00077647+0.00876227j 0.00151454-0.00440712j -0.00203222+0.00131231j -9.01776e-05-0.00461167j 0.00153252-0.000614083j 
0.0236088+0.010087j 0.0584983+0.0107783j 0.00158367+0.000548071j 0.000375411+0.00532231j 0.00100936+0.00212332j 0.0106616+0.00203907j 0.0101856-0.00524083j 0.007779+0.00895288j -0.00361249-0.00854887j 0.00328627-0.00582145j -0.0114128+0.00856145j 0.00653491+0.00573584j 0.0123088-0.00571448j 0.00506577+0.00884115j -0.00170835+0.00494359j 0.015293+0.00352986j 0.00774679+0.00328952j -0.0108153-0.00478945j -0.000861627-0.00281019j 0.00328374-0.0106084j 0.00841988+0.00121931j 0.000377315-0.000490706j -0.00104665-0.0112063j 0.00509303-0.00931842j 9.52444e-05+0.000510732j 0.00861642+0.0116339j 0.0137748-0.0062547j 0.000150037-0.00473666j 0.00224085-0.00701464j -0.00658497+0.0104417j 1.13744e-05-0.0033094j -0.000320025-0.00225506j -0.00425104-0.00149143j -0.00714989-0.00314602j -0.00642944-0.00637457j -0.0118454-0.00272294j 0.00348854-0.00265479j -0.00294546-0.0093244j 0.003468-0.00518494j 0.00138535+0.00334326j 
-0.0455979+0.0243799j -0.174541+0.0804013j 0.00576833+0.00674143j 0.0400537-0.00881859j 6.55685e-05+0.0105002j 0.000366602+0.00921218j -0.00898163-0.00479214j -1.59198e-05-0.000828228j -0.00768428+0.00744313j -0.00108258-0.00374145j -0.0050151-0.00355818j -0.0113807+0.0122602j -0.00193838-0.0110268j -0.0106504+0.0157089j -0.00283858-0.00491865j -0.00879926+0.0037449j -0.0114152+0.0079276j 0.0035577+0.000429136j -0.00728582+0.00159372j -0.000933324-0.002751j 2.55503e-05+0.00832446j 0.00441352-0.000777527j -0.00384517-0.000666318j 0.00576629-0.0052858j 0.00127871-0.00303576j 0.00220988+0.00305242j -0.0137464+0.00737345j 0.00228956-0.00230045j -0.00814973-0.00578767j -0.00792847+0.00364414j 0.0023007+0.00341117j 0.0075258+0.00176341j -0.00462156-0.000196522j -0.00579932+0.00183291j 0.000295086+0.00400356j -0.00437833+0.000359826j -2.59786e-05-0.00458865j -0.00441132-0.000819372j -0.00126093-0.00233365j 0.00271232-0.00126665j 
0.0279386+0.00255872j 0.103961-0.0191122j -0.00219795-0.000498893j -0.0200434+0.0223338j -0.000132493-0.0014745j 0.0041418+0.00439006j 0.00141523-0.000899988j 0.0028102-5.3748e-05j -0.00142226-0.00219792j 0.00210391+0.000501187j -0.00264532+0.00533144j -0.00655008-0.0156054j 0.00636699-0.00275116j 0.00469143-0.00187555j 0.00158004-0.000978588j 0.00276094-0.0115624j 0.00895258-0.00213921j -0.000264391+0.00550778j -0.001552+0.00450716j 0.00935779+0.00829168j 0.00089832+0.00292663j -0.00486749-0.00254984j 0.0120238+0.0145513j 0.0080183+0.0064316j 0.00213988-0.000317528j -0.00991638-0.0110191j 0.012439+0.0167659j 0.0040161+0.00339901j -0.00636022+0.00018199j -0.00693645-0.00322999j 0.000133572-0.000778628j 0.0058169-0.00723855j 0.00434338-0.00477685j 0.00119218+0.000176602j 0.00224367-0.00451462j -0.000770311-0.0028883j 0.000292008+0.0066138j 0.00492836+0.00294062j 0.00308322+0.00486545j -0.00254443+0.00053325j 
-0.00193477+0.0147755j -0.00583908+0.0296752j -0.00309524+0.00622534j 0.00915824+0.0158151j 0.00174979+0.00499294j 0.0246654+0.0202j -0.0119991-0.00233557j 0.017256+0.00509275j 0.00853605+0.00976895j -0.0125755-0.00577597j 0.00359791+0.0134911j 0.0177861+0.00697229j -0.000470931-0.00296814j 0.0094043+0.00409761j 0.00389049+0.00161537j 0.000742309-0.00712787j 0.00284009-0.0047388j -0.00249333-3.34705e-05j 0.00375203+0.0067521j -0.00628673-0.00249798j -0.00167697-0.00443028j 0.0104374+0.0038731j 0.000349364-0.0029293j -0.00565077-0.00569555j -0.00630336+0.000239587j -0.000143749+0.00551322j -0.00571355-9.38973e-05j -1.03152e-05-0.00187418j -0.00834703+0.0168906j -0.000750534-0.00111238j 0.00932653+0.00391145j -0.00197374-0.00481373j -0.00355048+0.00553332j 0.00481424+0.00264702j 0.0050152+0.00474027j -0.000639277-0.00163901j -0.000587389+0.00202086j 0.00445196+0.00666421j 0.00208351+0.00455678j -0.0027211-0.00181946j 
0.0552385-0.00609392j 0.136249-0.0461784j -4.30298e-05+0.00473577j 0.00550496+0.0184923j -0.000288894+0.00610888j 0.00918851-0.0180655j -0.00275413-0.00812092j 0.00382285-0.0142927j -0.00715462+0.00100228j -8.45826e-05-0.00516474j 0.0251589+0.010987j -0.0146065-0.00156541j 0.00280918-0.0173977j -0.0126604-0.00289595j 0.00845072-0.00236706j -0.00946466-0.0191867j -0.00765908-0.0158038j 0.00146622+0.0108078j -0.000883841-0.00203934j -0.0090125+0.0024322j -0.00249594-0.00227265j 0.00262982-0.00374091j -0.00948222-0.00052775j -0.00804612+0.00104954j -0.00107605+0.00521626j 0.00990196+0.00254039j -0.00146695+0.0101786j -0.00334149-0.00216811j 0.00200921-0.00156764j 0.00432518+0.00609451j 0.00187163-0.00881629j 0.00165524-0.00725124j 0.000981539+0.00351963j -0.00306707-0.00333536j 0.00336333-0.00784998j -0.00199292+0.000420324j -0.00579019+0.00227794j -0.000303457-0.00859214j -0.00124212-0.00317098j -0.000424509+0.00437918j 
-0.0262228+0.0475699j -0.0965534+0.172582j 0.00697084+0.00774843j 0.0223469-0.0341308j 0.00738553+0.00551786j 0.00519096-0.00760261j -0.0107028+0.00182567j 0.00662195-0.0193768j -0.00642104-0.00360558j -0.00537367+0.0144925j -0.00991378+0.00220453j 0.00855071-0.0202496j -0.00987368-0.00327439j 0.0211961-0.00167884j -0.00125811+0.00376259j 0.00587949+0.00485685j 0.00712893+0.00316493j -0.0017204-0.00694325j 0.00201969-0.00423901j 0.00693137-0.00386076j 0.004621-0.00696792j 0.00167242-0.0104165j 0.00733598-0.00457632j 0.00593418-7.66266e-05j -0.00328185+0.00568532j -0.0102983-0.00335156j 0.00451377-0.00229166j 0.00360617+0.00168979j 0.0131329+0.00289257j -0.00224732-0.00566951j 0.00774356-0.00302853j -0.00298073+0.0138818j 0.00568195+0.0116943j -0.00161001-0.00286058j 0.00199835+0.00623683j -0.00592298-0.000150335j -0.000747406-0.00495876j -0.00596134+0.00194735j -0.00162762-0.0010731j 0.00227869-0.00215157j 
-0.0167197-0.0805088j -0.0769445-0.269958j -0.00494366-0.0122824j 0.0109594+0.0308644j -0.00164106-0.025669j 0.0184237-0.0216398j 0.0106661-0.0134331j 0.0313183+0.00562791j -0.00364715-0.0122767j -0.00821168-0.00424558j -0.00370711-0.0066073j -0.00878116+0.00783771j -0.00850935+0.00914976j -0.00625555-0.00454085j -0.00146813+0.00334192j -0.00482097+0.00399841j -0.00555982-0.00316995j 0.00726481-0.00255662j -0.000754934-0.00541917j 0.00719836+0.00861451j 0.00443622-0.00321556j 0.00410306-0.000395663j 0.00336079+0.00644634j 0.00287744+0.0103794j -0.00229893+0.00214987j -0.00061727-0.00078554j 0.00195415+0.00246329j -0.000619824+0.00232143j 0.00501897+0.000287111j 0.00774021-0.00197006j 0.000470982-0.00234714j -0.00697513-0.00726792j -0.00185783+0.00923423j -0.000452205+0.000121925j -0.00570707-0.00847238j -0.00129687-0.00348108j 9.31165e-05+0.00683556j -0.00826917-0.00623606j -0.00424141-0.000669485j 0.0034027+0.00280791j 
-0.0640287+0.0153661j -0.204555+0.0510408j -0.0209356-0.00177857j 0.0164245+0.000177466j -0.0342498+0.00288378j -0.0179593-0.0211944j -0.00263997-0.00873537j 0.00619149-0.0207275j -0.00137968+0.00217157j -0.0030742-0.0017002j 0.00478546+0.0130853j 0.00823869+0.0156299j 0.021433+0.00756475j -0.0144676+0.00496252j 0.000898467+0.00278005j 0.00447935+0.000860175j 0.00197801+0.00201931j 5.42696e-05-0.000532099j -0.000420665+0.00395164j 0.00710304+0.0015666j 0.00249174+0.00132432j -0.00393348-0.00193081j 0.00475329+0.000848517j 0.000491173-0.00168075j 0.00111832-0.000201269j 0.00215617-0.0082012j -8.95647e-05+0.0101353j -0.00181435+0.000291773j -0.000172873+6.39874e-05j 0.00642548+0.00327595j -0.00564597-0.00260797j -0.0078672-0.00130314j 0.00114471-0.00288861j 0.00812089-0.000859518j -0.00547699+0.000653402j 0.00829655+0.00612251j 0.00484237-0.00413646j 0.00405516+0.000798392j 9.77925e-05-0.00169591j -0.00119854-0.0010029j 
-0.096331-0.0904989j -0.196415-0.275046j 0.00866714+0.0139306j -0.0354007+0.0181073j 0.0165195+0.00782922j -0.0123358-0.0313009j -0.00885627+0.0159028j 0.00752666-0.00871625j 0.0108461+0.00517084j -0.0173867-0.00988316j -0.00593395+0.00612294j -0.00552083+0.00964763j 0.00304923-0.0093315j 0.000388832+0.0105928j -0.00148277+0.00359002j -0.000321759-0.00342286j 0.00110394-0.00458645j 0.00661181+0.000642132j 0.0022295+0.00220091j 0.00738343+0.00379212j 0.00256669-0.00204541j -0.00352312-0.00073048j 0.00415666+0.00507685j 0.00700855+0.006251j 0.000597523+0.00124211j 0.00483526+0.000572648j -0.00324009+0.000731649j -0.0017316+0.000587536j 0.000111076-0.00126959j 0.00142677-0.00214907j -0.00537049-0.00249309j -0.00738101-0.00468497j 0.000752562-0.000147822j 3.67259e-05-0.00287217j -0.0049959-0.00448359j 0.00466916-0.00124319j 0.00614597+0.0045219j -0.00755586-0.00572894j -0.00191166+0.000375218j 0.00583483+0.00366083j 
-0.0902824+0.0956171j -0.270278+0.193262j 0.0136637-0.0102887j 0.0160039+0.0347153j 0.00727755-0.0181164j -0.0297023+0.0118685j 0.0176175+0.0106263j -0.00892719-0.0058202j 0.00699287-0.0112742j -0.00894175+0.0173214j 0.00540327+0.006883j 0.00883355+0.00548096j -0.00900169-0.00037167j 0.0105078-0.00297204j 0.0025133+0.00177092j -0.00295658+0.00176206j -0.00345404-0.0012586j 0.000593619-0.00693671j 0.00312434-0.00235943j 0.00410975-0.0067128j -0.00171383-0.00179395j -0.00161671+0.00406317j 0.00572788-0.00474883j 0.0056989-0.00690279j 0.00137795-0.00105704j 2.7775e-05-0.0047477j 0.000335428+0.00293344j 0.000501495+0.00157141j 0.000234012+0.000569206j -0.00203893-0.000558846j -0.00282112+0.00517839j -0.00467024+0.00726482j -0.000710932-0.00178045j -0.00160621-0.000483356j -0.00394142+0.00456423j 6.05143e-05-0.0041473j 0.00488506-0.00679097j -0.00366613+0.00683213j 0.0011165+0.00113619j 0.00300221-0.0056799j 
