0.123771-0.0150528j -0.0120929-0.123811j -0.0477446-0.027399j -0.0344136+0.0568394j 0.0153266-0.0160263j -0.0300689-0.00666449j 0.00767095+0.00663956j -0.0371615-0.0045712j -0.0109857-0.00821985j 0.0210072-0.0045517j -0.00786633-0.015889j 0.0194495+0.0270409j -0.006059+0.0295521j -0.0266567+0.0128861j 0.0110049+0.0223164j -0.211503+0.0194808j -0.00909459-0.204728j -0.214892-0.0853539j -0.135624+0.242103j 0.230401+0.0508721j -0.0860101-0.105356j -0.000224751-0.0642238j -0.0761334-0.14772j -0.0881427-0.108817j 0.0131939-0.104325j 0.0953056-0.0479151j -0.00225862-0.0204955j 0.0283235+0.0346089j -0.0300083+0.20085j 0.0444793-0.0809364j -0.0204293+0.0856595j -0.0352553-0.146642j 0.126546-0.114738j -0.199516+0.136903j 0.185801+0.0871041j -0.397122+0.109003j -0.13074-0.420314j 0.0741494-0.110386j -0.112709-0.0415496j -0.0599052-0.0238567j 0.014173-0.0692349j -0.0151181+0.0568349j 0.109402-0.0137443j 0.073542+0.0193141j -0.0131662+0.0221629j 0.0488406+0.0385158j -0.00150953-2.56844e-05j 0.0125698+0.0190952j 0.0113569+0.0382832j -0.00135783-0.00120887j 0.0231653+0.0163746j 0.0163856+0.0223413j 0.0216231-0.00222368j -0.00633943-0.00514315j -0.021356-0.0121667j 0.0116351+0.0372749j -0.0115115+0.0148712j -0.00271602+0.0116987j -0.00321864-0.0102423j 0.0120262+0.00148065j 0.00595759+0.00612979j -0.0133063-0.0172477j -0.00726897+0.00449921j -0.000422312-0.0112374j 0.000947764+0.0126968j -0.00030958-0.00343655j 0.000762807-0.00898234j 0.00174183-0.00183701j -0.000289674-0.0069501j 0.00117044-0.0121803j 0.0125783-0.00374563j 0.000781724+0.0124872j -0.00629201-0.00836671j -0.00402169+0.001142j 0.00259289-0.00596106j 0.00796163+0.0025222j 0.0033406-0.0049998j -0.0159156-0.013841j 0.00588702+0.001406j 0.00295047+0.0197206j 0.00387514+0.0272694j -0.0104586-0.017339j -0.00087854+0.00575349j 0.00160609-0.0211058j -0.00827398+0.0149279j 0.00697398+0.00261664j 0.00844248-0.00679509j -0.0157298-0.0149659j -0.000982485-0.0322217j 0.0229379+0.000925024j 0.00117118-0.0273957j 0.0191182-0.0031749j -0.00336515-0.0338422j -0.0372287+0.00909721j -0.012005-0.0466027j 
0.000813545+0.00197976j -0.00010727-0.000834107j 0.00394513+0.0036102j -0.00456664-0.000632262j -0.000859672-0.00739394j -0.00265599-0.000742352j -0.000619018+0.00130176j -0.00280974+0.00138574j -0.00290809+0.00758425j -0.00811375-0.00166809j 0.00349596-0.00786448j 0.00605209+0.00350074j 0.00456833-0.00817595j 0.000621261+0.000582317j -0.00373963+0.00139557j -0.00175976+0.000419596j -0.0001781-0.00167042j -0.00175103-0.00230678j 0.000856051-0.00319075j -0.00034313-0.000709383j 0.00433992-0.00104715j -0.00334472+0.00129506j -0.0018483+0.00192756j 0.00178705+0.00187346j -0.00332011+0.00848195j -0.0169214-0.00887297j 0.00539738-0.000764021j -0.00166757-0.00487246j 0.0065235+0.00843452j 0.00863306-0.00456255j 0.00270511+5.42918e-05j -0.00123231+0.00439446j -0.00125026+0.00101877j -0.00258744+0.000602368j -0.005385-0.00641736j -0.00548953-0.005667j 0.00338939-0.00185023j -0.000561242-0.000284299j -0.00114595-1.77114e-05j -0.000908004-0.00136424j -9.60429e-05+1.05737e-05j -0.000512503+0.00155004j 0.00243621+0.00191006j -0.00578533-0.00138797j -0.000703617-0.000508155j -0.00223689-0.00187709j 0.00248681-0.00607493j 0.00349405-0.000484555j 0.000279898-0.00285458j -0.00318378+0.00105154j 0.00197866-0.00215175j 0.00194933-0.00305344j -0.00508352-0.000940018j 0.00251018+0.00434559j 0.00140031+0.0061387j 0.00237726-0.00367464j 0.0119509+3.24623e-05j 0.00464128+0.000695666j -0.000739876-0.00406222j 0.000762256+0.000833884j 0.0105664+0.00973346j -0.0145184-0.0158403j -0.0133094+0.0086066j 0.00433993-0.00557864j -0.00984229+0.00273075j -0.00465707+0.0039124j 0.00364656+0.00146092j -0.00760026+0.00430375j -0.00658399+0.00698624j -0.00308076-0.00725908j 0.0113718-0.0111478j 0.00683981+0.000841348j 0.00172653-0.00328007j 0.00764197+0.00136014j -0.00215451-0.00400215j 0.000382251-0.000940865j -0.0104842+0.00816653j 0.00174362-0.000328617j -0.00609998+0.00440974j -0.00281422-0.00131068j -0.00177418-0.00100642j -6.19965e-05+0.00165681j 0.00525153-0.000190337j 0.00487045+0.00173987j 0.00799174+0.00725799j 0.000877102-0.00578484j -0.0034263+0.000947101j -0.000627409+0.0034863j -9.53612e-05-0.00324773j -0.00653943-0.00235481j -0.0027433+0.00429641j -0.00179028+0.00295756j 0.00144433+0.00116392j 0.00146742+0.000597498j 0.000126633+0.00151419j 
0.00122099-0.000356556j 0.00306951+0.00152521j 1.94207e-05-0.00850943j 0.00729525+0.00433106j -0.00296607+0.00913647j -0.0136699-0.00130695j -0.000223235+0.0093386j 0.000570097+0.0100442j 0.000683407+0.00962342j -0.0105722+0.00288143j 0.00338359+0.00176671j 0.00227532+0.00135567j -0.00555779-0.00196812j -0.00164508-0.00245914j -0.00251664+0.000396789j 0.0026404-0.000649155j -0.00118721+0.00168353j 0.00495121+0.00214155j -0.00590312-0.00352132j -0.0037552+0.0089354j 0.00054583-0.00873485j 0.000543233+0.0007808j -0.0157658+0.00980316j 0.00359499+0.00408412j 0.0120095+0.00507013j 0.00613391-0.00321856j -0.0163328-0.00145478j 0.0065908+0.0095009j -0.000128439+0.00237488j 0.00505244-0.00982235j 0.000222534+0.00143682j -0.00765182-0.00509347j -0.00152851-0.00653458j 0.00073976-0.00010454j -0.0022157-0.00457792j -0.00106649+0.00101921j -0.00111724-0.000435059j 0.00103088+0.00302613j 0.00277668-0.000490488j -0.00290389-0.00373366j 0.00641285-0.00212029j -0.00254501-0.00224954j -0.000936431+0.000739382j 0.00316011+0.00373591j 0.000497208+0.000894165j 0.00161007+0.00260033j -0.00426351-0.00114924j -0.00400188+0.00121811j 0.00396748+0.000172007j -0.00475631-0.00709847j 0.0011784-0.000128499j 0.000363277-0.000491782j 0.000257185-0.00552287j -0.00499461-0.00347168j -0.000971969-0.00245827j -0.00414573-0.00417901j 0.00244319+0.00762085j -0.00774893-0.000470783j -0.00502479+0.00255311j 0.00388716+0.00119444j 0.000452687+0.00425182j 0.00607369+0.00231975j -0.00578298+0.0136797j 0.0110996+0.00658529j -0.00621409+0.00429556j 0.000209901+0.000497572j -0.0019393-0.000897944j 1.20074e-05+0.006813j -0.00630221-0.000593099j -0.00375713-0.0144681j -0.00309914+0.00628195j -0.00117829+0.00232029j 0.00510202-0.00430328j -0.000465443+0.000240655j 0.00398211+0.00271886j 0.0117657+0.00527989j -0.000807094+0.0137086j -0.0028972+0.0117937j 0.00449998-0.00246388j 0.00641866+0.00118626j 0.00828302+0.00147116j -0.00366813+0.00189102j 0.00236094+0.00197121j 0.00172428-0.000300404j 0.000789951+0.00186959j 0.00226625-0.00156233j -0.00126767-0.002774j -0.00184902+0.00190619j -0.00225692-0.000413045j -0.000391753+0.000755853j -0.000185632+0.000363309j 0.000340922-5.53934e-05j -0.000945055-0.000363211j 0.000254179+0.000134553j -0.000531251+0.000187848j 
0.000504886-0.000237197j -0.000793491-2.03863e-05j -0.000110418-0.000328613j -0.000361606+9.98514e-05j 0.00426674+0.00468668j 0.00686635-0.00450479j 0.00841905+0.0013463j 0.000791518+0.00140878j 0.00564591-0.00158001j -0.00220699-0.00418958j -0.00158783+0.00643527j 0.00232757+0.00388054j 0.00333238+0.00214588j -0.00353762-4.25875e-05j -0.00124362-0.00210863j 0.000823177+0.000403379j -0.0013054-0.000271119j -0.00285298-0.00316635j 0.00148884-5.82814e-05j 0.00253838+0.00379892j 0.0129111-0.00330551j -0.00231768+0.0103569j 0.0029849-0.0011365j 0.00132483+0.000124622j 0.00673923-0.00314724j -0.0061011-0.00491491j -0.00519228-0.00447918j 0.00332809-0.00761295j -0.00276165-0.000585267j 0.00263703-0.00569095j -0.00906173-0.0123643j 0.000655663-0.00213798j -0.0105426-0.000290579j 0.00229981+0.000959213j 0.00398152-0.0100501j -0.00423083-0.000699955j -0.00303865-0.00167839j -0.000366329+0.000117257j -0.000107803-0.000275581j -0.00127885+0.000910657j -0.00132078+0.000597297j 0.000192664-0.00213367j -0.000683898-0.000183719j 0.00464742-0.00189806j -0.00522048-0.00820525j -0.00575911+0.00949827j -0.00075791+0.00464401j -0.00422251-0.00441207j 0.00180333-0.00200935j 0.00632262-0.0012882j -0.0117959-0.0105226j 0.013059-0.00686407j -0.0059671+0.0115986j -0.000840811-0.0103235j -0.00153827+0.000700312j -0.000850119+0.0084586j 0.00501017+0.00284379j -0.00882374+0.00257939j -0.00509296+0.00375932j -0.000616052+0.000528232j -0.00205654+0.00172624j -0.00762472+0.00479314j 0.000393087-0.00638768j -0.00349606-0.00681581j -0.00737324-0.00625132j 0.00883549+0.00120109j -0.00747673-0.00228931j -0.00280409-0.00170248j 0.00257681+0.0075826j 0.00606666-0.000812004j -0.00287914-0.00481585j -0.00113501+0.00120873j -0.00390704-0.00128253j -0.00366119-0.00699859j 0.0046712+8.04613e-05j -0.00737468+0.00189157j 0.00781656-0.00640261j 1.47736e-05-0.000414074j 0.00834685-0.0112598j -0.00182396-0.005801j 0.0108707+0.00868217j 0.00638689-0.00617454j -0.00167757+0.0172611j 0.00193542+0.00677119j -0.00375036+0.00121371j -0.000810415-0.00177032j 0.00297974+0.000122191j 0.00415648-0.00160361j 0.00406575+0.00239743j -0.00351118+0.00154024j 0.00245079+0.00295857j -0.000557938-0.00395889j -0.00520052+0.000417242j -0.00170081-0.000964454j 0.00124305-0.00124069j 
-0.000717338+0.00108341j 0.00152793-0.00106654j -0.00330517+0.00134309j -0.00226161-0.00456861j -0.000231503-0.00347754j -0.0061306-0.000257306j -0.000876899+0.00385342j -0.00151028+0.00473141j -0.00429166+0.00954627j -0.00933566-0.000484967j 0.00498518-0.00576592j 0.0023859+0.00657781j 0.00560119-0.00469709j -0.000259132+0.00158067j -0.00594644-0.000105534j -0.000763535-0.00055217j 1.7977e-05-4.62782e-05j -0.00198415-0.00149469j 0.000563768-0.00288426j -0.00823474+0.00203574j 0.00628929-0.00553609j 0.00452331-0.00228296j -0.000580632+0.00139435j -0.00576186-0.00938878j 0.00922214-0.00628754j 0.00326374+0.000160125j -0.0100957+0.00230498j 0.0102698-0.00657176j -0.00962124-0.00975797j -0.0125108-0.00286813j -0.00464776-0.00153701j -0.00195635-0.00909772j 0.00107023-0.0125125j 0.00170874-0.00545894j 0.00624-0.00868876j 0.000314235+0.00379933j -0.00583504+0.00145131j 0.000229734-0.000538614j -0.000633503-0.00106365j 0.00102526-0.00319779j 0.00380392+0.00178776j 0.00094798-0.00107338j 0.0013754+0.0018304j -0.00483358+0.00381601j 0.00160452+0.00134773j -0.00136728-0.00305224j -0.00439207-0.00131949j 0.000907693+0.00205319j 0.00207642-0.00721734j -0.000196689+0.00414621j -0.00243356+0.00144682j -0.00437613-0.000738209j -0.000703503+0.00986089j -0.000776739+0.010135j 0.0115399+0.00275259j -0.0090354+0.00051007j -0.00345173-0.0099988j 0.00582098-0.00111112j -0.00469339-0.000322667j -0.00648513+0.00833057j -0.00398092-0.00539355j 0.00330808+0.0084084j 0.00677457-0.0077404j -0.00547506+0.00406123j 0.00731195-0.0100359j 0.00289891-0.00515669j 0.00602165-0.00100269j 0.00315903-0.00963213j 0.00464383+0.00191513j -0.00100847+0.00603141j -0.0129838-0.00078262j -0.00656502+0.000561015j -0.00118976+0.00464512j -0.00314592-0.00114069j -0.00601882-0.00122871j -5.00506e-05-0.00372658j 0.00372426-0.0170623j -0.006839-0.0018448j -0.00518482+0.0022821j 0.000103005+0.00627138j -0.00336317+0.00231882j -0.00205128+0.00276411j -0.00482008-0.00407223j -0.01152+0.00607109j -0.00499512+0.00311172j -0.00156383+0.00290045j -0.00472039-0.00284796j -0.00312329+0.00395554j 0.0082783-0.00277446j 0.00181783+0.00317641j 0.0032702-0.00116385j 0.00453639+0.00144675j -0.00116255-0.0020377j -0.00486849-0.000551034j 0.00169099-0.00359933j 
-0.000960939-0.00117669j 0.00074517-0.000221379j -0.00439857-0.00281956j 0.00552373-0.00500723j 0.00130166-0.00243662j 0.00332647+0.00518342j -0.00106012-0.00367664j -0.000182301-0.00500208j -0.00115414-0.00730666j 0.00894421+0.00212652j -0.00186445-0.00185033j -0.00903622-0.00518684j -0.00158608+0.00842548j -0.000947458-4.6191e-05j 0.00324271-0.00255829j -0.00106734-0.0020701j 0.00077169-0.00104022j -0.00255414+0.000521433j -0.00253291-0.00327462j -0.00644132+0.00179488j 0.00168899-0.00201268j -0.000163408-0.00204375j -0.00311482+0.00401445j 0.000844773-0.00343878j -0.00112495+0.00830211j -0.0146203-0.00438476j 0.00142913+0.00136106j 0.00443007-0.00306913j 0.00387911+0.00161426j 0.00194441-0.00627915j 0.0036974+0.00272561j -0.00381472-2.19017e-05j 0.001823-0.00273239j -0.00318693+0.000997223j -0.00493582-0.00469046j -0.0035398-0.00245678j 0.0024381-0.000597551j 0.00158115-0.00174399j -0.00309743-0.00118374j 0.00249451-0.00115931j 0.00213672+0.00474967j 0.00367388-0.00271152j 0.00106678-0.00282936j -0.00323888+0.00514628j -0.000650934+0.00145719j 0.0016761-0.00302616j -0.00196941-0.00123937j 0.00207173+0.00486995j 0.000909858-0.0118996j -0.00359676+0.00851799j 0.00636335-0.00102473j 0.00379004-0.00270647j 0.00312875+0.00173692j -0.00309786+0.00628901j -0.004062+0.00111343j 0.00461765+0.0130224j -0.00237941+0.000659254j -0.00259604+0.0104065j -0.00336667-0.0114368j -0.00282064+0.00176112j 0.00671732+0.00603503j -0.0156685-0.000704193j -0.00618826+0.0058609j 0.00212048-0.00438008j -0.00112609-0.00632958j -0.0031176+0.00401075j 0.00405649+0.00113659j 0.00148577-0.00716156j 0.00279667-0.00125979j 0.00226344-0.00140528j -0.010719+0.000371765j -0.00136639+0.000550193j -0.0017384-0.00757484j 0.00969976-0.00572252j 0.00152365-0.0101246j 0.00220092+0.00574491j -0.0035959-0.003587j 0.00823593-0.00625448j -0.00573386+0.000921836j 0.00255166+0.0134007j -0.00640123-0.00294645j -0.00239976+0.00467795j -0.000679403+0.00985727j 0.00279792+0.00231752j 0.00163993+0.00380884j -0.000292806-0.00597949j -0.00258884-0.0050775j -0.000680211+0.00551796j -0.0055365-0.000168206j -0.00510582+0.00180604j 0.00265829+0.00410233j -0.00353593-0.00317221j -0.00286019+0.00373183j 0.00309077-0.000169398j -0.000165354+0.00244678j 
-0.000966652-0.000348561j -0.00116403-0.000715152j -0.00435644+0.00472495j -0.00472916+0.00226163j 0.00125697+0.0129445j 0.00307025-0.00624456j 0.00245127-0.00233886j 0.00554307+0.00197764j 0.00440913-0.00856922j 0.00590903-0.00206549j -0.00297206+0.018j 0.00102312+0.00591969j -0.000173667+0.00302996j 0.00159206+0.00174131j -0.000198424+0.00154253j -0.00163323+0.000296683j -0.000201794-0.000962377j 0.00262313-0.00323134j 0.000807399-0.00278648j 0.000749095-0.00438436j 0.00179166-0.00421663j 0.00223691+0.000763315j -0.00208536+0.00192845j -0.000672593+0.000289358j 0.00240322+0.00146382j -0.00332933-0.00123313j -0.000579837+0.000593268j -0.00233653-0.00278691j 0.000994787+0.00403968j -0.000354336-0.00182748j -0.00129651+0.000603779j 0.00044731+0.00248097j 0.00224985-0.00274604j 0.00149448-0.00352062j -0.0010424-0.00299351j -0.00110405-0.00123173j -0.000658457-0.000601359j -0.00127566+0.00019855j 0.000256049+0.000588448j -0.00210478-0.00370974j 0.00191204-0.00342032j -0.00115712+0.00346506j 0.00429601+0.0042674j -0.00840636-0.000701832j 0.00635362+0.00426588j -0.000870575-0.00935503j -0.000380591-0.00623489j 0.00363156+0.00124824j -0.00314198+0.00306536j -0.00316642-0.00486571j -0.000991372-0.00142007j 0.0018067-0.00599113j 0.00320051+0.00225575j -0.00662756+0.00410553j -3.04725e-05+0.00285067j -0.00198655+0.000658955j 0.000499612-0.00164616j 0.00304382+0.000622105j -0.00321087-0.000188566j -0.00196367+0.000267241j 0.00413155+0.00100268j -0.00143763-0.00127819j -0.00474081-0.00222278j -0.00149599-0.000747345j 0.00115591+0.000283998j 0.00249664-0.00358568j 0.00161233+0.000357437j -0.00651879-0.00280268j 0.00210605+0.00181303j -0.00274771-2.76601e-05j 0.00199648-0.000224966j 0.00244763+6.67782e-05j -0.000440598+0.0017042j -0.00294021-0.00120753j 0.00232945-0.00682625j 0.00286182+0.0028785j -0.00445832+0.00275186j -0.00481079+0.000625928j -0.00394778-0.00245443j -0.00564052+0.00034709j -0.00158442-0.00103312j 0.000179637+0.000520213j 0.00345797-0.00619165j -0.00460616+0.00237856j -0.00155544+0.00718217j 0.00329021+0.00439565j -0.00607407+0.00220933j -0.00270066+0.00777776j -0.00518957-0.00640011j -0.00141664+0.0024925j 0.0031665+6.34284e-05j 0.000682669+0.00310853j 0.00435279-0.000838634j 0.00147069+0.000643553j -0.000619728+0.00149192j 
-0.0011712+0.000858123j -0.00391848+0.00111731j 0.00404372+0.00896841j -0.00953241-0.00158787j -0.000234267-0.0121665j 0.0150078-0.00318192j -0.00168996-0.00870488j -0.00399977-0.0103195j -0.00288227-0.00875522j 0.00872452-0.0050692j -0.0036039-0.00285925j -0.00156438-0.000695751j 0.00723787-0.000141722j 0.00184346+0.00186755j 0.0015932-0.000793693j 0.00218355+0.00157843j -0.000977488+0.00138806j 0.00181173+0.00114388j -0.00222315-0.000998171j -0.00286061+0.00522169j -0.00163446-0.0035446j 0.00117014-0.00166836j -0.00883374+0.00641269j 0.00149961+0.00156573j 0.00603803+0.0019984j 0.00399966-0.00212077j -0.00906076+0.00146344j 0.00518283+0.00564257j -0.000280579+0.000450436j 0.00126101-0.0052337j 0.00102929+0.00242429j -0.00519209-0.00234895j -0.000628302-0.00375572j 0.000397133-0.000178963j -0.000850199-0.00141699j 0.000226+0.000780516j -0.000803838+5.60356e-05j 0.00292471+0.00483485j 0.00476358-0.00243095j 0.00291754+0.00099317j 0.00367054+0.000759531j -0.0096152+0.000236267j -0.000752022+0.00434635j 0.00655816+0.00498332j 0.000306493-0.001111j -0.000473902+0.00309294j -0.00167513-0.00676985j 0.00592015+0.00184377j -0.00801453-0.00607662j 0.00214774-0.00684036j 0.00213959+0.000976602j -0.00389629+0.00439605j -0.00038125-0.00186018j -0.000979776+0.00102031j 0.013322+0.00713731j -0.00286835+0.00799109j -0.000957878+0.00969951j -0.00584562-0.00168321j 0.00880788+0.00182357j -0.00167074-0.00690484j 0.00395425+0.000385301j -0.00200606+0.00549479j -0.00257973-0.00180834j -0.00100308+0.000331773j -0.00181669-0.00456841j -0.000607098+0.00313578j 0.00380088+0.00622972j -0.00338333-0.000788496j 0.00845192+0.00588399j 0.00352057+0.0121106j 0.0109314+0.000585148j 0.007542-0.00970484j -0.00264712-0.00427743j 0.00146417+0.00478867j 0.00436351+0.0075521j 0.00138426+0.00903139j -0.000141303+0.0075988j -0.0108576+0.00520376j 0.00325919-0.00237933j 0.00193732+0.00998709j 0.00532942+0.00237911j -0.0109106+0.000642408j -0.00293808+0.000972453j 0.000594364-0.00164691j 0.00184968-0.00109356j -0.0011774-0.00354873j 0.00076957-0.00319232j -0.0030867-0.000268928j -0.000395284+6.76436e-06j -7.50518e-05-0.000112116j -0.000620569-0.000499228j 0.00225826+0.000382213j -0.00137057-0.00167485j -0.00104474-0.000469433j 0.000156294-0.000464499j 
0.00221787+0.000889823j -0.000361264+0.00172162j 0.00884069-0.002853j 0.00118225+0.0083177j 0.000738414+0.00219595j 0.000522508-0.00273584j 0.00634953+0.00422505j 0.000279181+0.00270275j 0.00632168+0.00594986j -0.00901923-0.000583633j -0.000505945-0.00118886j 0.00952837-0.00219921j -0.00235363-0.00550562j -0.00223876-0.00297186j 0.000351886+0.00120004j 0.00321796-0.000998911j 0.00160652+0.00158932j -0.000121001+0.00695518j 0.000932811+0.000610946j 0.00390227+0.00472903j -0.00249912+0.00118577j -0.000534848+0.00414186j -0.00311751-0.0021282j 0.00615978+0.00138444j -0.00430776+0.00337472j 0.000800439-0.00116314j -0.00228506-0.00131704j 0.00429449+0.00772379j 0.00222891-0.00185366j 0.00713818-0.00382052j 0.000628081-0.000923151j -0.0042894-0.00265301j -0.00461377+0.00924675j -0.00312699+0.00847317j -0.00153111+0.00427962j 0.000221983+0.000940708j 0.00207441-0.000496488j 0.00281727-0.000674895j -0.000906668-0.00113489j 0.00390346+0.00449536j -4.87854e-05+0.00277304j -0.00404324+0.000363326j 0.00205982-0.000670522j 0.00324799+0.012912j 0.00641477+0.00175721j 0.001118-0.00268185j 0.000289865+0.00043284j 0.000979199+0.00899863j -0.00786706-0.00434406j 0.000385812-0.00705678j -0.00177793-0.00443824j 0.00242754+0.00121705j 0.003117+0.0031425j -0.00644168-0.00278049j 0.0016873-0.00030894j -0.00360495+0.00678188j 0.000455518+0.00110058j -0.00566702+0.00829539j 0.00811957-0.00155986j -0.000309456-0.00551254j -0.00326409-0.00168419j -0.000596432+0.00491238j -0.000320221-0.00473472j -0.0023604-0.00269155j 0.00714694-0.00732243j 0.00374111+0.00202029j 4.18718e-06+0.00731064j 0.000574033-0.00174296j 0.0075699+0.000881005j 0.00150741+0.00886852j -0.00242683+0.00344856j -0.00411547-0.00500602j -0.00644956-0.00497313j 0.00417917-0.00120841j 0.00778292+0.00233853j -0.00228644+0.00761697j 0.00445864-0.00343433j -0.00385202-0.00163558j -0.00214364-0.0116015j -0.00330065+0.00871466j 0.00358399-0.00421048j -0.00123668-0.00246893j 0.000880022+0.00340606j 0.000481532+0.000706063j -0.0038473-0.00360134j -0.00490315+0.00266715j -0.00446231-0.00408564j -0.00114742+0.00826634j -0.00679388+0.00163868j 0.000197366-2.03039e-05j -0.000533877+0.000135392j 0.00317351-0.000248674j -0.00127067-0.00153093j 0.000472727-0.00017603j -0.000332561+0.000377439j 
-0.00128552+0.000842953j 0.000814501-0.000932899j -0.00242698+0.00282357j -0.000799837-0.00444196j -0.00522408-0.0093941j -0.00529601+0.0063723j -0.010833-0.00323471j -0.00242123-0.00381579j -0.00895181+0.000207442j 0.00586849+0.00418777j 0.00139021-0.0100916j -0.00660261-0.00332692j -0.000641225-0.00104592j 0.00430931+0.00139322j 0.00103138+0.00128962j -0.00192909-0.000253805j 0.000521631+6.87433e-05j 0.000937076+0.0048769j 0.00242419+0.00133211j 0.0081078+0.00681471j 0.00503612-0.000268174j -0.00298036+0.0104729j 0.00358308-0.00533461j 0.00326677+0.00016562j -0.00213305-0.00320505j -0.00271254-0.000601107j -0.000552444-0.00273656j 0.0028692-0.00279303j -0.00245528-0.00336066j 0.00417707-0.00193189j -0.00577019-0.0092912j -0.00284768-0.00366278j -0.0112689+0.0087279j -0.00131003+0.00741769j 0.00142101-0.000941641j -0.000500931+0.000134634j 0.0012749-0.000543668j -0.00170299+0.000967687j 0.0012864+0.00132106j 0.000307906+0.000404753j -0.00172635-0.0018237j 0.00173424+0.00442632j 0.00271766-0.0020401j 0.000109583-0.000423158j 0.0101682-0.000895841j -0.00380752-0.00708544j 0.00374955+0.00755665j -0.00263153+0.00331872j -0.00644905+0.00819703j 0.00619299-0.00616804j -0.00843926-0.0124512j 0.00772431-0.00461975j 0.000370686+0.00588024j -0.00755518-0.0112991j -0.00904423-0.00136032j 0.000150068-0.00342907j 0.0044292-0.0022024j -0.00380823-0.000171765j -0.00259983+0.0039625j 0.00411609-0.0034199j -0.00191513-0.00375846j -0.00020285-0.000198305j -0.00415005-0.00325548j -0.00221587+0.000473668j 0.00182438+0.000477896j 0.0102862-0.002975j -0.00814596-0.00216354j -0.00421117-0.00201469j -0.00468314+0.00155518j -0.000116677-0.00492502j -0.00232873-0.00153511j -0.00309444+0.00511546j -0.00400289-0.00235684j -0.00094777-0.00595315j 0.00533994-0.00442914j -0.00199428+0.00109787j -0.000814418+7.50449e-05j -0.00796421-0.000797513j 0.00471855-0.0140158j -0.00539157-0.00766006j 0.00428307+0.000233971j 0.00949738-0.00661579j 0.00936633+0.00117422j 0.0028962+0.00681186j -0.0047254+0.000552966j -0.00248312+0.0126551j -0.00172234+0.00509459j 0.00258534+0.00613478j -0.00830628-0.00663485j -0.0013374-7.57889e-05j 8.39663e-05+0.00101343j 0.00296543+0.00202478j 0.00434982-0.00217191j 0.00252684-0.00116032j 0.00130095+0.00201344j 
0.000223525+0.000939333j 0.000768166-0.00129832j 0.000831639+0.000496052j -0.00273896+0.00112129j -0.00404538-0.00177361j -0.0116996+0.00307329j -0.000935052+0.00479618j 0.00139784+0.00756498j -1.56824e-05+0.0128779j -0.01211+0.00606388j 0.00401974-0.00901478j 0.0080771+0.00306921j -0.0002003-0.0107093j 0.00157302-6.95323e-05j -0.0048568+0.00371088j -0.00159241+0.00202791j -0.00148284-0.00082522j 0.00081374-0.00235982j -0.00189773-0.00060215j -3.93464e-05-0.00295239j -0.00367497+0.00163353j -0.00370055-0.00297506j -0.00358317+0.00493262j 0.00377257+0.00576737j -0.00285497+0.011851j -0.0107319-0.000820801j 0.00861208-0.00147093j -0.007735+0.00412983j 0.0124094+0.00995144j 0.00858088-0.00299951j 0.00891061+0.00494276j 0.00179336+0.00889266j 0.00523593+0.00201582j -0.000959071+0.000130119j -0.00632035+0.00226842j -0.00361478-0.00349927j 0.00360121-0.00303003j -0.000398147+0.00118746j 0.000878634+0.000191049j 0.000901064-0.00157817j 0.000989665-0.000411922j 0.00121397+0.00120472j -0.000426143-0.000784875j -0.000825846-0.00510608j -0.00330866-0.000295708j -5.12613e-05-0.000684198j -0.00178809-0.000120087j 0.00251152-0.00443978j -0.00174306-0.000767329j 0.00302434+0.00416714j 0.00130096+0.000230955j 0.00412782-0.00375786j 0.00528876+0.00327193j -0.00275806+0.00142464j -0.00194558+0.00142518j 0.00710707+0.015106j -0.0122125+0.00488312j -0.0026465+0.00199014j -0.0030483-0.00285024j -0.00533708-0.000571912j -3.46506e-05-0.00199154j -0.00276906+0.0104981j 0.00502916-0.0107377j -0.00744415-0.000439511j 0.00152301-0.00501458j 0.00306853-0.00205032j 5.03669e-05-0.00313951j -0.00128727-0.0116246j 0.0106253-0.00326386j 0.00917162+0.0102745j -0.003997+0.00478913j 0.00280359-0.00245186j -0.00308587+0.00210332j -0.00630149-0.00475935j 0.0020458-0.00614462j -0.00109372+0.00438704j 0.00215216-0.00536229j 0.00092657-0.00455442j 0.00586412-0.00067825j -0.000180518+0.00391182j -0.00377917+0.00435948j -0.00285367+0.00246643j -0.00612107+0.00602053j -0.00295455+0.002731j -0.00534813+0.00147599j 0.00487049+0.000863461j 0.00400348+0.000911809j 0.00118848-0.003543j -0.00310387-0.00297977j 0.00157944+0.00339592j 0.00579648-0.00246645j -0.00251072-0.00349897j -0.00194711+0.00193914j 0.00141149+0.00087019j -0.000869055+0.00123769j 
