-0.0353308-0j -0.0356969-0j -0.00413769-0j -0.00512013-0j -0.00298674-0j -0.00251794-0j -0.000363433-0j -0.00293759-0j -0.0017989-0j -0.000424005-0j -0.00257039-0j -0.000259649-0j -0.000371004-0j -0.00106023-0j -0.000153032-0j -0.00182732-0j -0.000323028-0j -2.6919e-05-0j -0.00206418-0j -0.0016854-0j -0.000364899-0j -0.00170286-0j -3.04083e-05-0j -0.000297939-0j -0.00147472-0j -2.48282e-05-0j -0.000301027-0j -0.00121658-0j -0.000260697-0j -2.50855e-05-0j -0.000388705-0j -2.17247e-05-0j -0.000215064-0j -6.87139e-05-0j -1.7922e-05-0j -5.72616e-06-0j -0.00143558-0j -0.000239263-0j -0.000146518-0j -0.00158889-0j -2.99079e-05-0j -1.76234e-06-0j -0.00125613-0j -0.000264816-0j -0.000837421-0j -0.00126915-0j -0.000162166-0j -3.3102e-05-0j -0.00146549-0j -0.000209355-0j -1.95055e-06-0j -0.00013957-0j -0.000128203-0j -0.000518128-0j -0.000854867-0j -0.000211525-0j -8.54689e-05-0j -0.000129532-0j -2.61694e-05-0j -0.000906723-0j -1.74463e-05-0j -0.000244248-0j -1.54205e-06-0j -2.64406e-05-0j -0.000528922-0j -8.63546e-05-0j -0.000149571-0j -0.000142478-0j -1.02803e-06-0j -1.55803e-06-0j -0.000137982-0j -5.28812e-05-0j -0.000151121-0j -3.0531e-05-0j -8.72495e-05-0j -1.07943e-05-0j -9.2542e-05-0j -1.78097e-05-0j -1.79905e-06-0j -8.81536e-05-0j -1.88901e-05-0j -6.36062e-07-0j -5.39829e-05-0j -1.04945e-06-0j -2.2997e-05-0j -1.40828e-05-0j -1.10192e-05-0j -1.11311e-06-0j -6.49313e-07-0j -2.87463e-06-0j -1.69389e-07-0j 
7.51236e-05-0j 7.59021e-05-0j -0.000841128-0j -0.00104084-0j -0.000607158-0j -0.000515117-0j 0.0034574-0j -0.00060097-0j -0.000368018-0j 0.00403363-0j -0.000525849-0j 0.00247008-0j 0.00352943-0j -0.000216902-0j 0.00145581-0j 3.88543e-06-0j 0.00631805-0j 0.000784729-0j 4.38906e-06-0j 3.58365e-06-0j 0.00713699-0j 3.62079e-06-0j 0.000886446-0j 0.00582733-0j 3.13569e-06-0j 0.00072378-0j 0.00588772-0j 2.58681e-06-0j 0.00509891-0j 0.000731281-0j 8.265e-07-0j 0.000633308-0j 0.00420639-0j 0.00134396-0j 0.000522452-0j 0.000166926-0j -0.000597936-0j -4.86384e-05-0j -6.02606e-05-0j -0.000661794-0j -0.0273747-0j 0.00010347-0j -0.000523194-0j -5.38329e-05-0j -0.000348796-0j -0.000528616-0j -6.66963e-05-0j -0.0302982-0j -0.000610393-0j -4.25586e-05-0j 0.00011452-0j -2.83724e-05-0j -5.2728e-05-0j -0.000215807-0j -0.000356063-0j -4.29997e-05-0j -3.5152e-05-0j -5.32745e-05-0j -0.0239528-0j -0.000377661-0j -0.0159686-0j -4.96517e-05-0j 9.05361e-05-0j -0.0242011-0j -0.000220303-0j -1.75545e-05-0j -6.1516e-05-0j -2.89635e-05-0j 6.03574e-05-0j 9.14743e-05-0j -5.74713e-05-0j -2.17492e-05-0j -3.07205e-05-0j -0.027945-0j -3.58844e-05-0j -0.00988004-0j -3.80611e-05-0j -0.0163012-0j 0.000105625-0j -1.79203e-05-0j -0.0172901-0j 3.73442e-05-0j -2.22023e-05-0j 6.16148e-05-0j -4.67494e-06-0j -5.79202e-06-0j -0.0100859-0j 6.53524e-05-0j 3.81222e-05-0j -0.00263115-0j 9.94512e-06-0j 
5.00824e-05-0j 5.06014e-05-0j -0.000560752-0j -0.000693895-0j -0.000404772-0j 3.56925e-06-0j 0.00230493-0j 4.16412e-06-0j 2.54999e-06-0j 0.00268909-0j 3.64361e-06-0j 0.00164672-0j 0.00235295-0j 1.50291e-06-0j 0.000970543-0j -0.000757607-0j -4.37777e-05-0j 0.000523153-0j -0.000855808-0j -0.000698764-0j -4.94522e-05-0j -0.000706005-0j 0.000590964-0j -4.03776e-05-0j -0.000611419-0j 0.00048252-0j -4.0796e-05-0j -0.000504395-0j -3.53304e-05-0j 0.00048752-0j -0.000161157-0j 0.000422205-0j -2.91461e-05-0j -9.31231e-06-0j 0.000348301-0j 0.000111284-0j 2.03497e-06-0j 0.00948385-0j 2.07694e-07-0j 2.2523e-06-0j 0.000189679-0j 6.89799e-05-0j 1.7806e-06-0j 0.0104967-0j 1.18707e-06-0j 1.79905e-06-0j 2.29875e-07-0j 0.000209936-0j 2.07737e-06-0j 0.00829837-0j 7.63467e-05-0j 0.00553225-0j 1.81732e-07-0j 7.34461e-07-0j 1.2118e-06-0j 0.00838437-0j 1.21155e-07-0j 1.83615e-07-0j 0.000165969-0j 1.28531e-06-0j 0.000110646-0j 0.00968143-0j 6.03574e-05-0j 0.000167689-0j 7.49762e-07-0j 0.0034229-0j 2.12021e-07-0j 0.0056475-0j 4.02383e-05-0j 6.09829e-05-0j 1.95594e-07-0j 7.49606e-08-0j 0.00599008-0j 0.000193631-0j 1.23679e-07-0j 6.84588e-05-0j 1.31181e-07-0j 0.000112951-0j 7.04169e-05-0j 0.00349421-0j 0.000119803-0j 2.48961e-05-0j 7.65223e-08-0j 4.10765e-05-0j 0.000911552-0j 1.99627e-08-0j 6.9885e-05-0j 4.35683e-05-0j 2.54148e-05-0j 1.82312e-05-0j 6.63008e-06-0j 
-4.4267e-06-0j -4.47257e-06-0j 9.96463e-05-0j 0.000123306-0j 7.19285e-05-0j -3.1548e-07-0j -0.00125734-0j -3.6806e-07-0j -2.2539e-07-0j -0.0014669-0j -3.22052e-07-0j -0.000898286-0j -0.00128353-0j -1.3284e-07-0j -0.000529431-0j -2.28951e-07-0j 7.77936e-06-0j 0.00884103-0j -2.58628e-07-0j -2.11169e-07-0j 8.78772e-06-0j -2.13357e-07-0j 0.009987-0j 7.17514e-06-0j -1.84772e-07-0j 0.00815435-0j 7.2495e-06-0j -1.5243e-07-0j 6.27825e-06-0j 0.00823886-0j -4.8702e-08-0j 0.00713506-0j 5.17929e-06-0j 1.65481e-06-0j 0.00588612-0j 0.00188064-0j 3.52337e-05-0j 5.76207e-06-0j -1.83577e-08-0j 3.89966e-05-0j -0.00010347-0j -0.0264955-0j 3.08295e-05-0j 6.37745e-06-0j 2.0553e-05-0j 3.1149e-05-0j -2.03182e-08-0j -0.00011452-0j 3.59678e-05-0j 5.04181e-06-0j -0.0293251-0j 3.36121e-06-0j -1.6063e-08-0j 1.27165e-05-0j 2.09812e-05-0j 5.09406e-06-0j -1.07087e-08-0j -1.62294e-08-0j -9.05361e-05-0j 2.22539e-05-0j -6.03574e-05-0j 5.88212e-06-0j -0.0231835-0j -9.14743e-05-0j 1.29814e-05-0j 2.07964e-06-0j -1.87401e-08-0j 3.43123e-06-0j -0.0154557-0j -0.0234238-0j 3.38653e-06-0j -6.62564e-09-0j 3.63937e-06-0j -0.000105625-0j -1.09318e-08-0j -3.73442e-05-0j -1.15949e-08-0j -6.16148e-05-0j -0.0270475-0j 2.12297e-06-0j -6.53524e-05-0j -0.00956272-0j -6.76368e-09-0j -0.0157777-0j 5.53828e-07-0j -1.76447e-09-0j -3.81222e-05-0j -0.0167348-0j -0.00976195-0j -9.94512e-06-0j -0.00254664-0j 
6.13381e-05-0j 6.19738e-05-0j -0.000339797-0j -0.000420478-0j -0.000245279-0j -0.000845555-0j -6.0323e-05-0j -0.00098648-0j -0.000604093-0j -7.03768e-05-0j -0.00086317-0j -4.30968e-05-0j -6.15797e-05-0j -0.00035604-0j -2.54003e-05-0j -0.000462351-0j 0.00513123-0j -6.72544e-06-0j -0.000522281-0j -0.000426441-0j 0.00579635-0j -0.00043086-0j -7.59719e-06-0j 0.0047327-0j -0.000373136-0j -6.20308e-06-0j 0.00478174-0j -0.000307821-0j 0.00414111-0j -6.26736e-06-0j -9.83504e-05-0j -5.4277e-06-0j 0.00341624-0j 0.00109151-0j -4.47762e-06-0j -1.43062e-06-0j 2.49232e-06-0j 0.00286363-0j 0.00470925-0j 2.7585e-06-0j 0.000960204-0j -5.88089e-07-0j 2.18078e-06-0j 0.00316946-0j 1.45386e-06-0j 2.20338e-06-0j 0.00521218-0j 0.00106275-0j 2.54425e-06-0j 0.00250567-0j -6.50895e-07-0j 0.00167045-0j 0.00412059-0j 8.99527e-07-0j 1.48414e-06-0j 0.00253164-0j 0.00274706-0j 0.00416329-0j 0.000840178-0j 1.57417e-06-0j 0.000560119-0j 0.00292329-0j -5.14578e-07-0j 0.000848885-0j 9.18267e-07-0j 0.00103354-0j 0.00480736-0j 0.00170525-0j -3.43052e-07-0j -5.19911e-07-0j 2.39553e-07-0j 0.00169966-0j 0.00180869-0j 0.000980208-0j 0.00280429-0j 0.000346556-0j 0.0029744-0j 0.000571788-0j -6.00341e-07-0j 0.00105507-0j 0.000606473-0j -2.12253e-07-0j 0.00173507-0j -3.50199e-07-0j 0.000275241-0j 0.000452635-0j 0.000353776-0j -3.71442e-07-0j -2.16675e-07-0j 9.22911e-05-0j -5.65249e-08-0j 
1.53345e-05-0j 1.54934e-05-0j 1.79587e-06-0j 2.22228e-06-0j 1.29633e-06-0j -0.00042387-0j 1.5774e-07-0j -0.000494515-0j -0.000302828-0j 1.8403e-07-0j -0.000432701-0j 1.12695e-07-0j 1.61026e-07-0j -0.00017848-0j 6.64199e-08-0j 7.93109e-07-0j -5.43787e-05-0j 1.16836e-08-0j 8.95912e-07-0j 7.31509e-07-0j -6.14272e-05-0j 7.3909e-07-0j 1.3198e-08-0j -5.01551e-05-0j 6.40071e-07-0j 1.07761e-08-0j -5.06749e-05-0j 5.28031e-07-0j -4.38857e-05-0j 1.08878e-08-0j 1.68709e-07-0j 9.42913e-09-0j -3.62039e-05-0j -1.15673e-05-0j 7.77864e-09-0j 2.48531e-09-0j 6.23081e-07-0j 1.03847e-07-0j 0.00716247-0j 6.89624e-07-0j -5.0347e-06-0j 7.64904e-10-0j 5.45196e-07-0j 1.14937e-07-0j 3.63464e-07-0j 5.50845e-07-0j 0.0079274-0j -5.57239e-06-0j 6.36062e-07-0j 9.08659e-08-0j 8.46593e-10-0j 6.05773e-08-0j 0.00626716-0j 2.24882e-07-0j 3.71036e-07-0j 9.18076e-08-0j 0.00417811-0j 0.00633211-0j -4.40536e-06-0j 3.93543e-07-0j -2.93691e-06-0j 1.0601e-07-0j 6.69291e-10-0j -4.45101e-06-0j 2.29567e-07-0j 3.74803e-08-0j 0.00731169-0j 6.18393e-08-0j 4.46194e-10-0j 6.76227e-10-0j 5.98881e-08-0j 0.00258507-0j 6.55905e-08-0j -5.13959e-06-0j 0.00426515-0j -1.81712e-06-0j 0.00452388-0j -2.99809e-06-0j 7.80839e-10-0j 3.82611e-08-0j -3.17996e-06-0j 2.76068e-10-0j 0.00263893-0j 4.5549e-10-0j 9.98136e-09-0j 0.000688429-0j -1.85498e-06-0j 4.8312e-10-0j 2.8182e-10-0j -4.83916e-07-0j 7.35196e-11-0j 
-7.22877e-06-0j -7.30368e-06-0j 0.00012183-0j 0.000150757-0j 8.79413e-05-0j 4.95672e-05-0j -0.00101947-0j 5.78284e-05-0j 3.54125e-05-0j -0.00118938-0j 5.05999e-05-0j -0.000728342-0j -0.00104071-0j 2.08714e-05-0j -0.000429269-0j 5.44886e-05-0j -0.000915111-0j 0.00349527-0j 6.15514e-05-0j 5.02565e-05-0j -0.00103373-0j 5.07773e-05-0j 0.00394833-0j -0.000844035-0j 4.39745e-05-0j 0.0032238-0j -0.000852782-0j 3.62771e-05-0j -0.000738531-0j 0.00325721-0j 1.15907e-05-0j 0.00282083-0j -0.000609257-0j -0.000194661-0j 0.00232706-0j 0.000743508-0j -2.93723e-07-0j -0.00102671-0j 5.79858e-06-0j -3.25092e-07-0j 0.00807184-0j 0.000945186-0j -2.57008e-07-0j -0.00113636-0j -1.71338e-07-0j -2.59671e-07-0j 6.41785e-06-0j 0.00893389-0j -2.99842e-07-0j -0.000898375-0j 0.00104613-0j -0.000598917-0j 5.07376e-06-0j -1.0601e-07-0j -1.74908e-07-0j -0.000907685-0j 3.38251e-06-0j 5.12634e-06-0j 0.00706286-0j -1.85518e-07-0j 0.00470857-0j -0.0010481-0j 0.000827037-0j 0.00713605-0j -1.08219e-07-0j -0.000370561-0j 5.91938e-06-0j -0.000611394-0j 0.000551358-0j 0.000835608-0j -2.82315e-08-0j 2.09282e-06-0j -0.000648481-0j 0.00824-0j 3.45297e-06-0j 0.00291328-0j 3.66243e-06-0j 0.00480667-0j 0.000964877-0j -0.000378281-0j 0.00509824-0j 0.000341136-0j 2.13642e-06-0j 0.000562845-0j -9.86839e-05-0j 5.57337e-07-0j 0.00297397-0j 0.000596987-0j 0.000348243-0j 0.000775834-0j 9.08476e-05-0j 
-4.4267e-06-0j -4.47257e-06-0j 4.9564e-05-0j 6.13323e-05-0j 3.57772e-05-0j 9.16917e-05-0j -0.000203729-0j 0.000106974-0j 6.55077e-05-0j -0.000237684-0j 9.3602e-05-0j -0.000145551-0j -0.000207973-0j 3.86088e-05-0j -8.57847e-05-0j -2.28951e-07-0j -0.00112462-0j -4.62406e-05-0j -2.58628e-07-0j -2.11169e-07-0j -0.0012704-0j -2.13357e-07-0j -5.22343e-05-0j -0.00103727-0j -1.84772e-07-0j -4.26492e-05-0j -0.00104802-0j -1.5243e-07-0j -0.000907615-0j -4.30911e-05-0j -4.8702e-08-0j -3.7318e-05-0j -0.000748744-0j -0.000239227-0j -3.07858e-05-0j -9.83621e-06-0j -1.79868e-07-0j 2.86605e-06-0j -0.00103025-0j -1.99077e-07-0j 0.00487273-0j -6.09702e-06-0j -1.57384e-07-0j 3.17213e-06-0j -1.04923e-07-0j -1.59015e-07-0j -0.00114028-0j 0.00539313-0j -1.83615e-07-0j 2.50779e-06-0j -6.74816e-06-0j 1.67186e-06-0j -0.000901472-0j -6.49178e-08-0j -1.07109e-07-0j 2.53378e-06-0j -0.000600981-0j -0.000910814-0j 0.00426364-0j -1.13606e-07-0j 0.00284243-0j 2.92576e-06-0j -5.33489e-06-0j 0.00430783-0j -6.62702e-08-0j 1.03441e-06-0j -0.00105172-0j 1.70669e-06-0j -3.55659e-06-0j -5.39017e-06-0j -1.72882e-08-0j -0.000371838-0j 1.81022e-06-0j 0.00497425-0j -0.000613502-0j 0.00175866-0j -0.000650717-0j 0.00290165-0j -6.22404e-06-0j 1.05596e-06-0j 0.00307766-0j -2.20053e-06-0j -0.000379585-0j -3.63069e-06-0j 2.75474e-07-0j -9.9024e-05-0j 0.0017953-0j -3.85093e-06-0j -2.24637e-06-0j 0.000468349-0j -5.86022e-07-0j 
3.29947e-07-0j 3.33366e-07-0j -9.29366e-06-0j -1.15003e-05-0j -6.70852e-06-0j 2.35145e-08-0j 0.000156738-0j 2.74336e-08-0j 1.67996e-08-0j 0.000182861-0j 2.40044e-08-0j 0.000111979-0j 0.000160004-0j 9.9013e-09-0j 6.59982e-05-0j -2.48705e-06-0j -7.25553e-07-0j -0.00166484-0j -2.80943e-06-0j -2.29389e-06-0j -8.19599e-07-0j -2.31766e-06-0j -0.00188064-0j -6.692e-07-0j -2.00715e-06-0j -0.00153554-0j -6.76135e-07-0j -1.65582e-06-0j -5.8555e-07-0j -0.00155145-0j -5.29041e-07-0j -0.00134359-0j -4.83054e-07-0j -1.54338e-07-0j -0.00110841-0j -0.000354142-0j 1.34066e-08-0j 7.83219e-05-0j 1.3683e-09-0j 1.48383e-08-0j 1.28984e-05-0j 0.0103103-0j 1.17307e-08-0j 8.66865e-05-0j 7.82049e-09-0j 1.18523e-08-0j 1.51443e-09-0j 1.42759e-05-0j 1.36859e-08-0j 6.85317e-05-0j 0.0114114-0j 4.56878e-05-0j 1.19726e-09-0j 4.83868e-09-0j 7.98342e-09-0j 6.92419e-05-0j 7.98176e-10-0j 1.20967e-09-0j 1.12861e-05-0j 8.4677e-09-0j 7.52408e-06-0j 7.99536e-05-0j 0.00902147-0j 1.14031e-05-0j 4.93949e-09-0j 2.82679e-05-0j 1.39681e-09-0j 4.66396e-05-0j 0.00601432-0j 0.00911496-0j 1.28859e-09-0j 4.93846e-10-0j 4.94688e-05-0j 1.31671e-05-0j 8.14805e-10-0j 4.65529e-06-0j 8.64231e-10-0j 7.68083e-06-0j 0.0105251-0j 2.88568e-05-0j 8.14675e-06-0j 0.00372117-0j 5.04135e-10-0j 0.00613961-0j 7.528e-06-0j 1.31516e-10-0j 4.75227e-06-0j 0.00651204-0j 0.00379869-0j 1.23975e-06-0j 0.000990982-0j 
4.51798e-07-0j 4.5648e-07-0j -1.01701e-05-0j -1.25849e-05-0j -7.34117e-06-0j -6.2281e-06-0j 0.000128327-0j -7.26612e-06-0j -4.44957e-06-0j 0.000149714-0j -6.35785e-06-0j 9.1681e-05-0j 0.000131-0j -2.62248e-06-0j 5.40348e-05-0j 2.33672e-08-0j 0.000153577-0j -0.000902334-0j 2.63961e-08-0j 2.15523e-08-0j 0.000173484-0j 2.17756e-08-0j -0.00101929-0j 0.000141649-0j 1.88583e-08-0j -0.00083225-0j 0.000143117-0j 1.55573e-08-0j 0.000123943-0j -0.000840875-0j 4.97062e-09-0j -0.000728219-0j 0.000102248-0j 3.26687e-05-0j -0.00060075-0j -0.000191943-0j 1.83577e-08-0j -5.88089e-07-0j 3.46869e-05-0j 2.03182e-08-0j -0.00204267-0j 0.00270418-0j 1.6063e-08-0j -6.50895e-07-0j 1.07087e-08-0j 1.62294e-08-0j 3.83914e-05-0j -0.00226082-0j 1.87401e-08-0j -5.14578e-07-0j 0.00299298-0j -3.43052e-07-0j 3.0351e-05-0j 6.62564e-09-0j 1.09318e-08-0j -5.19911e-07-0j 2.0234e-05-0j 3.06656e-05-0j -0.00178733-0j 1.15949e-08-0j -0.00119155-0j -6.00341e-07-0j 0.00236616-0j -0.00180585-0j 6.76368e-09-0j -2.12253e-07-0j 3.54095e-05-0j -3.50199e-07-0j 0.00157744-0j 0.00239068-0j 1.76447e-09-0j 1.25192e-05-0j -3.71442e-07-0j -0.00208522-0j 2.06556e-05-0j -0.000737237-0j 2.19085e-05-0j -0.00121638-0j 0.00276052-0j -2.16675e-07-0j -0.00129016-0j 0.000975991-0j 1.278e-05-0j 0.0016103-0j -5.65249e-08-0j 3.33397e-06-0j -0.000752596-0j 0.00170798-0j 0.000996324-0j -0.000196333-0j 0.000259916-0j 
-2.38118e-08-0j -2.40586e-08-0j 8.05412e-07-0j 9.96647e-07-0j 5.81377e-07-0j 1.63276e-07-0j -1.70028e-05-0j 1.90489e-07-0j 1.1665e-07-0j -1.98366e-05-0j 1.66678e-07-0j -1.21474e-05-0j -1.7357e-05-0j 6.87511e-08-0j -7.15941e-06-0j -1.23156e-09-0j -6.04977e-06-0j 0.000241559-0j -1.39119e-09-0j -1.13591e-09-0j -6.83394e-06-0j -1.14768e-09-0j 0.00027287-0j -5.57989e-06-0j -9.93918e-10-0j 0.000222797-0j -5.63772e-06-0j -8.1994e-10-0j -4.8824e-06-0j 0.000225106-0j -2.61975e-10-0j 0.000194947-0j -4.02778e-06-0j -1.28689e-06-0j 0.000160823-0j 5.13839e-05-0j -9.67535e-10-0j 4.65732e-08-0j 1.91008e-08-0j -1.07087e-09-0j 0.000134623-0j -0.00226386-0j -8.46593e-10-0j 5.1547e-08-0j -5.64396e-10-0j -8.55367e-10-0j 2.11407e-08-0j 0.000149001-0j -9.87692e-10-0j 4.07515e-08-0j -0.00250564-0j 2.71677e-08-0j 1.67132e-08-0j -3.49202e-10-0j -5.76154e-10-0j 4.11738e-08-0j 1.11421e-08-0j 1.68864e-08-0j 0.000117795-0j -6.11103e-10-0j 7.85302e-05-0j 4.75434e-08-0j -0.00198088-0j 0.000119016-0j -3.56477e-10-0j 1.68091e-08-0j 1.94987e-08-0j 2.77337e-08-0j -0.00132059-0j -0.00200141-0j -9.29958e-11-0j 6.89383e-09-0j 2.9416e-08-0j 0.000137428-0j 1.13742e-08-0j 4.85881e-05-0j 1.20642e-08-0j 8.01662e-05-0j -0.00231103-0j 1.71593e-08-0j 8.50291e-05-0j -0.000817072-0j 7.03745e-09-0j -0.0013481-0j 4.47643e-09-0j 1.83589e-09-0j 4.96003e-05-0j -0.00142988-0j -0.000834094-0j 1.29395e-05-0j -0.000217594-0j 
6.49521e-10-0j 6.56252e-10-0j -2.93179e-08-0j -3.62791e-08-0j -2.11628e-08-0j 4.62898e-11-0j 8.678e-07-0j 5.40048e-11-0j 3.3071e-11-0j 1.01243e-06-0j 4.72542e-11-0j 6.19986e-07-0j 8.85879e-07-0j 1.94914e-11-0j 3.65406e-07-0j 3.35936e-11-0j -2.28884e-09-0j -1.85457e-05-0j 3.7948e-11-0j 3.09844e-11-0j -2.58552e-09-0j 3.13055e-11-0j -2.09496e-05-0j -2.11107e-09-0j 2.71113e-11-0j -1.71053e-05-0j -2.13295e-09-0j 2.23657e-11-0j -1.84719e-09-0j -1.72825e-05-0j 7.14595e-12-0j -1.49671e-05-0j -1.52385e-09-0j -4.86877e-10-0j -1.23472e-05-0j -3.945e-06-0j 2.63917e-11-0j -1.69532e-09-0j 2.69359e-12-0j 2.92102e-11-0j 7.14136e-08-0j 0.000291409-0j 2.30927e-11-0j -1.87637e-09-0j 1.53952e-11-0j 2.3332e-11-0j 2.98126e-12-0j 7.90403e-08-0j 2.69415e-11-0j -1.4834e-09-0j 0.000322531-0j -9.88934e-10-0j 2.35689e-12-0j 9.52526e-12-0j 1.57159e-11-0j -1.49877e-09-0j 1.57126e-12-0j 2.38132e-12-0j 6.24869e-08-0j 1.66692e-11-0j 4.16579e-08-0j -1.73063e-09-0j 0.000254983-0j 6.31344e-08-0j 9.72371e-12-0j -6.11872e-10-0j 2.74971e-12-0j -1.00954e-09-0j 0.000169989-0j 0.000257626-0j 2.53667e-12-0j 9.72168e-13-0j -1.07078e-09-0j 7.29014e-08-0j 1.604e-12-0j 2.57745e-08-0j 1.70129e-12-0j 4.25258e-08-0j 0.00029748-0j -6.24619e-10-0j 4.51054e-08-0j 0.000105175-0j 9.92422e-13-0j 0.00017353-0j -1.62947e-10-0j 2.58898e-13-0j 2.63115e-08-0j 0.000184057-0j 0.000107366-0j 6.864e-09-0j 2.80092e-05-0j 
0.0334446-0j -0.0328292-0j 0.00391679-0j 6.89883e-05-0j -0.00553385-0j 0.00238351-0j 0.00034403-0j 3.95809e-05-0j 0.00170286-0j 5.71301e-06-0j -0.0023639-0j 0.000245787-0j -0.0003412-0j -0.00295375-0j -0.000426337-0j 0.00172977-0j 0.000305783-0j 2.54819e-05-0j 2.78126e-05-0j 0.00159542-0j 4.91663e-06-0j -0.00156606-0j 4.09719e-07-0j 0.000282033-0j 1.98703e-05-0j 2.35027e-05-0j -0.000276844-0j -0.00225409-0j 3.51261e-06-0j -2.30703e-05-0j -0.00144562-0j 2.92717e-07-0j -0.000398471-0j -0.000255553-0j -3.32059e-05-0j -2.12961e-05-0j 0.00135894-0j 0.000226489-0j 0.000138696-0j 2.14086e-05-0j 2.83112e-05-0j 1.66825e-06-0j 0.00118907-0j 3.56811e-06-0j 0.000792713-0j -0.00116719-0j 2.18501e-06-0j 4.46013e-07-0j 1.97458e-05-0j 0.000198178-0j 2.62816e-08-0j 0.000132119-0j 0.000121359-0j 0.000490466-0j -0.0015839-0j -0.000194532-0j 8.09059e-05-0j -0.000119126-0j 2.47723e-05-0j -0.000833882-0j 1.65149e-05-0j 3.29097e-06-0j 1.45972e-06-0j -2.43165e-05-0j -0.00147355-0j 8.17444e-05-0j 2.0153e-06-0j -0.000263983-0j 9.73147e-07-0j -1.43286e-06-0j -0.000641924-0j 5.0058e-05-0j -0.00013898-0j 4.11372e-07-0j -0.000161656-0j 1.0218e-05-0j -8.51077e-05-0j -3.29979e-05-0j 2.42403e-08-0j -0.000245591-0j -1.73725e-05-0j 6.02104e-07-0j -0.000150393-0j -1.94442e-06-0j -0.000106987-0j -6.55161e-05-0j -3.06989e-05-0j -1.02369e-06-0j -1.80895e-06-0j -1.33734e-05-0j -7.88036e-07-0j 
-0.00512013-0j 0.00502592-0j 0.0283642-0j 0.000499592-0j -0.0400744-0j -0.000364899-0j 0.00503539-0j -6.05957e-06-0j -0.000260697-0j 8.36184e-05-0j 0.000361897-0j 0.00359746-0j -0.00499396-0j 0.000452199-0j -0.00624007-0j -0.000264816-0j 0.00221438-0j 0.000561398-0j -4.25792e-06-0j -0.000244248-0j 3.56047e-05-0j 0.000239754-0j 9.02662e-06-0j 0.0020424-0j -3.04201e-06-0j 0.000517795-0j -0.00200482-0j 0.000345086-0j 2.54372e-05-0j -0.000508268-0j 0.000221315-0j 6.44893e-06-0j -0.0028856-0j -0.00185063-0j -0.000731568-0j -0.000469179-0j -0.000208044-0j 0.00164017-0j -2.12334e-05-0j -3.27751e-06-0j 0.000414376-0j 4.90901e-05-0j -0.000182038-0j 2.58391e-05-0j -0.000121359-0j 0.000178689-0j -3.3451e-07-0j 6.52806e-06-0j -3.02295e-06-0j 0.00143515-0j 7.73363e-07-0j 0.000956764-0j -1.85792e-05-0j -7.5087e-05-0j 0.000242484-0j -0.00140874-0j -1.23861e-05-0j 1.82374e-05-0j 0.000362579-0j 0.000127662-0j 0.000241719-0j 2.38322e-05-0j 4.29538e-05-0j -0.000355908-0j 0.00022559-0j 0.000591968-0j -3.08529e-07-0j -0.00191169-0j 2.86359e-05-0j -4.21635e-05-0j 9.82741e-05-0j -7.66353e-06-0j -0.00100645-0j 6.02104e-06-0j 2.47484e-05-0j 0.000149556-0j 1.30294e-05-0j -0.000482973-0j 7.13297e-07-0j -0.00177849-0j -0.000254273-0j 1.77175e-05-0j 2.30242e-05-0j -5.72167e-05-0j -0.000774769-0j 1.00301e-05-0j -0.000449323-0j -3.0123e-05-0j -5.32302e-05-0j -0.00019574-0j -2.31888e-05-0j 
-0.00387046-0j 0.00379924-0j -0.000453281-0j -7.98384e-06-0j 0.000640419-0j 0.0265395-0j -3.98138e-05-0j 0.000440718-0j 0.0189607-0j -6.61153e-07-0j -0.0263211-0j -2.84443e-05-0j 3.94862e-05-0j -0.0328888-0j 4.93389e-05-0j -0.000200182-0j 0.00340477-0j -2.94896e-06-0j -3.21869e-06-0j -0.000184634-0j 5.47447e-05-0j 0.000181237-0j -4.74157e-08-0j 0.00314032-0j -2.29954e-06-0j -2.71991e-06-0j -0.00308254-0j 0.00026086-0j 3.91115e-05-0j 2.66987e-06-0j 0.000167298-0j -3.38754e-08-0j -0.00443682-0j -0.00284548-0j 3.84284e-06-0j 2.46454e-06-0j -0.000157266-0j -2.62111e-05-0j 0.0031047-0j -2.47757e-06-0j 0.000315234-0j -1.93063e-07-0j -0.000137608-0j -4.12928e-07-0j -9.17387e-05-0j 0.000135076-0j 4.89113e-05-0j 4.96618e-06-0j -2.28514e-06-0j -2.29347e-05-0j -3.0415e-09-0j -1.52898e-05-0j 0.00271661-0j -5.67604e-05-0j 0.000183301-0j 2.25127e-05-0j 0.00181107-0j -0.00266663-0j 0.00027583-0j 9.6503e-05-0j 0.000183886-0j -3.80856e-07-0j -1.6893e-07-0j -0.000270754-0j 0.00017053-0j -9.46007e-06-0j 4.51124e-05-0j 3.05501e-05-0j -1.1262e-07-0j 1.65822e-07-0j 7.42883e-05-0j 0.00112055-0j 1.60838e-05-0j 4.58046e-06-0j -0.00361866-0j 0.000113774-0j -0.00190513-0j -0.000367419-0j -2.80527e-09-0j 2.84216e-05-0j -0.000193436-0j -6.968e-08-0j -0.00336654-0j 2.25023e-07-0j 1.23814e-05-0j -0.00146657-0j -0.00034182-0j 1.18469e-07-0j 2.09345e-07-0j -0.000148908-0j 9.11975e-08-0j 
