-0.0911194-0.0199559j -0.0904135-0.0159009j 0.0140451+0.0101549j 0.235515+0.0895213j -0.0482727+0.0024654j -0.0489472+0.000891143j -0.0868106-0.00493351j -0.0303841+0.0231851j 0.13419+0.0239101j 0.0366067+0.01475j -0.133369-0.0103458j 0.200149-0.0145664j -0.0124926+0.0202338j -0.167123+0.00106153j 0.0702724+0.00188631j 0.00333136-0.020081j -0.0310797-0.012373j -0.011609+0.00203065j -0.00853812+0.000203299j 0.00784069+0.00742698j -0.0725841+0.0157592j -0.0249875-0.0128613j -0.015511+0.00606012j 0.014294-8.26888e-06j -0.0627989-0.0111008j -0.00461005-0.00690914j 0.0450005-0.000540922j -0.0562967-0.010085j 0.0164776+0.00371581j 0.0182811-0.0103974j 0.0278269-0.000819633j -0.0128809+0.0360331j -0.046128+0.0576167j -0.122934+0.0123513j 
0.0305315-0.0158354j -0.0304969+0.00914994j -0.124405+0.0181877j -0.0413739-0.0269903j -0.0729846+0.16241j 0.0482771-0.361306j 0.0821933+0.153823j -0.0846041+0.199633j 0.0108353-0.0765787j 0.0140881-0.150117j -0.0280369+0.0223214j 0.0399902+0.0551469j 0.0739551-0.0306376j -0.0389766+0.00459385j 0.03704-0.0266632j -0.0112291-0.0256016j -0.0178494-0.0137404j 0.0236606+0.0380693j 0.013905-0.0102704j 0.0134288+0.0119625j 0.0520921+0.00697574j 0.0307094-0.0148378j -0.00376959-0.015718j 0.0149527-0.0200577j -0.00782925-0.0139046j -0.0281066+0.0210932j 0.000350471+0.00723079j 0.00191026+0.0166697j 0.0125086-0.0316134j -0.0133756+0.0067597j -0.00209517-0.0168255j -0.00772681-0.00203624j -0.0146872-0.00919005j -0.0304503+0.0285866j 
-0.0278971-0.0549106j 0.0930007+0.0886147j 0.147534+0.117941j 0.0366172+0.0247585j 0.0563786+0.0153095j -0.162968-0.502024j -0.0552614-0.0456351j 0.0832347+0.00440635j -0.109798-0.000933878j -0.0115701-0.010267j 0.00677307-0.145677j -0.047542-0.0783024j -0.0683409-0.0339082j 0.0271197-0.0457842j -0.0320399-0.0387286j 0.0429753+0.0489176j -0.00487664+0.00237652j 0.00469957-0.0402511j 0.0587691+0.000905238j -0.0457757-0.0109302j -0.0161962+0.0286063j -0.038425+0.00867641j -0.0125234+0.0390537j -0.0145369-0.0095558j 0.00192289-0.0224607j 0.0129272+0.0161942j 0.00680413+0.0428274j 0.00378109+0.0130787j 0.0285604-0.00878406j -0.00358109+0.0107611j -0.000754301+0.0167027j -7.51728e-05-0.010504j 0.0138626+0.0253342j 0.0250922-0.0357803j 
-0.0874274+0.0213743j -0.00572072-0.0283433j 0.0728338-0.0393034j -0.0840364+0.000294906j 0.0233458+0.0373796j -0.489104+0.0943936j 0.122543+0.0405942j 0.320211+0.007116j -0.144027-0.0229649j -0.103204-0.0163034j -0.0296502+0.0451194j 0.0694439+0.0308674j -0.0469149+0.0166658j -0.0933606+0.00447398j -0.0252497+0.00756223j -0.0213358-0.0166506j -0.0164109+0.00341029j 0.0029117+0.0240077j -0.00320908+0.0402945j -0.07983+0.00175799j 0.0410897+0.015527j 0.0139626-0.0358076j -0.00281294-0.0167892j -0.0378302-0.00244677j 0.00943567+0.00121669j 0.00777729-0.0122629j -0.0186839+0.00130497j -0.00984701+0.00898122j -0.000994127+0.012404j 0.00716564-0.010017j -0.0101754-0.0088341j -0.00215259+0.000136736j -0.00338507-0.016791j -0.0324254+0.0109112j 
-0.0794149-0.0225795j -0.0601601-0.0666011j 0.0198364+0.0167396j 0.0277751-0.0206988j 0.157919+0.167682j 0.0506777-0.0493957j -0.0173685+0.25359j -0.0309965+0.0597915j 0.0589964-0.188228j -0.00787592-0.172448j 0.0312301+0.130222j 0.0250203+0.137768j -0.0456013-0.0338932j -0.0222918+0.0763537j -0.018768+0.013676j -0.0399872-0.0368103j 0.0864335-0.0199444j -0.0490052+0.0095043j -0.041548+0.0241444j 0.00971293-0.0201057j 0.0257976+0.00398616j -0.013216+0.0258484j 0.0108788-0.066917j -0.00204175+0.0117501j 0.00464661-0.00419539j -0.012618-0.00605804j 0.00480721-0.00983329j 0.0103942+0.0254881j 0.00207675-0.021076j -0.0126652-0.00272173j -0.00320586-0.0183582j -0.0194964+0.028571j -0.0145121-0.0326216j 0.00500716+0.0546613j 
0.013979+0.0103099j -0.107276+0.0433488j -0.0907999-0.00156594j -0.151329+0.0175015j 0.0291388-0.0533667j 0.244582-0.084648j -0.199388-0.0490512j 0.43556-0.0264632j -0.0599851+0.0249497j -0.0656588+0.0226421j 0.0625277-0.0336711j 0.0481126-0.025103j 0.0585345+0.00650668j 0.00223751-0.0169067j 0.274329-0.00673579j 0.0919205+0.0126858j 0.0420408+0.00455003j -0.0657505-0.0362368j -0.014848-0.0126719j 0.0230108+0.00140419j 0.0812974-0.00411051j -0.0203366-0.0209104j -0.0128961+0.0396284j -0.0422748-0.00599287j 0.0143789+0.00297205j 0.00360144+0.0232194j 0.0184582-0.00341078j 0.049748-0.0222258j -0.0244056-0.0377023j 0.0503087-0.0156681j 0.0130226+0.00780341j 0.0682704-0.0181388j 0.00133179+0.0250688j -0.0763429-0.0355432j 
0.0437313+0.0107603j -0.0257432+0.0425174j 0.0105178-0.00364051j -0.0155066-0.0375845j 0.0271502-0.0384847j -0.0337962-0.0608943j -0.0266201-0.0552458j -0.0188752-0.0671502j 0.0527946-0.0017053j 0.266255+0.0175269j -0.184969-0.0359986j 0.387117-0.0128753j -0.0108194+0.00546373j -0.076268-0.0265082j -0.160234-0.00232736j -0.0857292+0.0158693j 0.035907-0.000503337j 0.000380683-0.0160617j -0.0706947-0.00151282j 0.0154026-0.00255j -0.0236611-0.00746724j -0.0174777-0.00590383j 0.0217952+0.00124294j 0.0784823-0.0130688j -0.02832+0.028587j -0.00019506-0.0268435j 0.0183041-0.0259238j -0.00215108+0.0482643j 0.030701-0.0296124j 0.00478828-0.0191183j -0.0280351-0.0199039j -0.00499065-0.0215502j -0.0941506+0.00777256j 0.0069623-0.00292341j 
-0.118279-0.00558999j 0.0235726-0.072413j -0.0576143+0.0335782j -0.0259338+0.0168956j -0.0949897+0.0775367j 0.143054+0.0722716j -0.114992+0.0769322j 0.129269-0.00768748j -0.222408-0.0676108j 0.01288-0.0219803j 0.108813+0.0293013j 0.2491+0.0222481j -0.000955174+0.00669148j -0.131886+0.01373j 0.0956832+0.0112121j -0.045093-0.0153077j -0.0519974-0.0148386j 0.0173376+0.027831j 0.0850247+0.00646972j -0.0343048-0.0115379j -0.0585475-0.02711j 0.00915965+0.0265446j -0.100652-0.0391588j -0.0199352-0.0183383j -0.0462757-0.00572907j 0.0132618-0.0310644j 0.0233918-0.00301666j -0.0339808+0.0225017j -0.0146673+0.00650574j -0.020204+0.0409794j -0.00144715+0.00300982j -0.00602846+0.0408179j 0.00417563-0.041032j -0.0784153+0.0121286j 
-0.0996178+0.0430875j -0.150982+0.0429033j -0.124432-0.00898001j -0.034832-0.00222389j -0.0107246-0.0622122j -0.0561137-0.0286876j -0.187283-0.073417j 0.0802875+0.0099418j -0.0787215+0.059292j -0.101711+0.0340781j -0.0540718-0.00685842j 0.0285363-0.0222568j 0.0505477-0.0100196j -0.196482-0.0435824j 0.186619-0.0195442j 0.0641998+0.0461927j 0.0424404-0.00654745j -0.121132-0.000604458j -0.0179872-0.0141145j -0.0347388+0.0219221j 0.0205358+0.024623j 0.0294552+0.00404444j 0.0194919-0.0110495j -0.00558429+0.0360303j 0.00479809+0.0226767j -0.0276093+0.0123027j 0.00843651-0.0191036j 0.00499796+0.00929577j 0.0151754+0.00356697j 0.056748-0.0047326j 0.0279681-0.0215267j 0.0625948-0.0272599j -0.0305345+0.0150843j -0.0462717-0.0325754j 
-0.0717224+0.0227798j 0.00932256+0.0111095j -0.155113+0.0347086j -0.0796944+0.0354054j 0.196664-0.0322014j -0.013028-0.0290224j 0.301261-0.043764j -0.147209-0.0294839j 0.154304+0.017882j -0.076453+0.0347525j 0.220557-0.0133068j -0.022553-0.0251309j -0.0167337+0.0184451j 0.00339703-0.0320449j -0.0701324-0.00198158j -0.145773+0.0187614j 0.0240091+0.0276121j 0.0513095-0.000189226j -0.0219186-0.0231485j -0.0203565+0.00644945j 0.00852668+0.0168914j 0.0398019+0.013122j 0.0260716+0.0134514j 0.0158304-0.00714709j -0.00178822-0.00300168j -0.00906889-0.0122418j -0.0193491+0.00702427j 0.0338514-0.0203165j 0.0227739-0.0116998j 0.0331648-0.049693j -0.0269129+0.00297807j -0.0634544-0.0257199j 0.0332405+0.0226695j -0.0194503-0.0244867j 
0.137249-0.0366415j 0.0574529-0.0203299j 0.0540356+0.00309329j 0.0537117+0.00196196j -0.117708+0.0187168j 0.0717058+0.0574206j 0.0648542+0.0211236j 0.25056+0.000843748j -0.388963-0.0166039j 0.122212-0.0103569j -0.112466+0.00208335j 0.0759325+0.0177627j 2.6213e-06-0.0186428j 0.161586+0.0257572j 0.0684971+0.0196938j 0.0199536-0.0340342j -0.00987005+0.0277935j 0.0478856+0.0274756j 0.0407173-0.00650791j -0.0215392+0.00444334j -0.00775102+0.0354273j -0.00147735+0.038577j 0.00016775-0.0172664j 0.0450334-0.029522j 0.0288382-0.00809441j 0.0283765-0.0194767j -0.0139796+0.00108048j 0.000698993-0.0210996j -0.0176563-0.0131636j -0.0520457-0.0214005j -0.0312643+0.00777007j -0.00874031+0.0160308j 0.0154571-0.00818616j -0.00274774+0.0196821j 
0.0860954-0.0307649j -0.151367+0.00762252j -0.0287098+0.0138082j -0.00111125-0.00918253j 0.168093+0.000772366j -0.0466618+0.0205959j 0.0477888-0.017329j -0.0903251+0.0152364j 0.183858+0.0206005j -0.293527-0.00242969j 0.0524229-0.0178105j 0.181238+0.00567366j 0.00454282+0.00626852j 0.0389023+0.0122492j 0.148751+0.00747773j 0.0665161-0.0377561j -0.0140555-0.0463473j -0.0127377+0.00226969j -0.01102+0.00791582j -0.0259683-0.00511631j -0.0459725+0.0370695j 0.0323202+0.0441751j -0.0283572-0.0099866j 0.0224956+0.00272451j -0.037824+0.00416037j -0.0459075-0.010361j 0.00540576-0.0121938j -0.0131614+0.000108249j 0.0197227+0.000139639j -0.000569822+0.00955924j -0.00273135-0.000638644j 0.00788026-0.00293706j -0.000448497-0.00283331j -0.0731877-0.0103487j 
0.0480022-0.0212364j -0.189096+0.00923604j 0.0443081-0.00714065j -0.0632353-0.00208054j -0.164823+0.00182062j 0.00305549-0.0167888j 0.37206+0.0133261j -0.0365539-0.0189055j 0.105234-0.0099662j -0.322883-0.00794077j -0.0664006-0.0275127j 0.10841-0.00741374j 0.0765568-0.0413385j -0.0568127+0.00307154j 0.155872+0.00732288j 0.00800574-0.00701001j -0.0324879+0.0174856j 0.094087-0.0250945j 0.00857024+0.00861121j 0.0342588-0.0100195j -0.0260876-0.028662j -0.0159408-0.00737123j -0.0293228-0.0133859j 0.0296597-0.0045215j -0.0264389-0.00815672j -0.0273996-0.00490881j 0.0113045+0.00703338j 0.00646696+0.00870701j 0.0348846-0.00146117j -0.0132004-0.00479814j -0.0119114-0.0073317j -0.000112425-0.00866888j 0.0102402+0.00128882j -0.0723263-0.0136078j 
-0.0467437+0.00645251j -0.00718306+0.00824478j -0.0223732-0.000585677j -0.141649+0.023132j -0.482592-0.00482862j -0.0640165+0.0237804j 0.389183+0.012679j 0.0386897-0.0186233j -0.0372863-0.0121357j 0.197315-0.00539075j -0.233542+0.00932606j -0.174287+0.0100409j 0.111135+0.0203256j -0.15535+0.00444863j 0.104701-0.00817794j 0.0311083+0.0194413j 0.0102489-0.0161288j -0.0457876-0.0153116j -0.0196589-0.00643609j 0.0374537-0.00468595j 0.0644701+0.00631054j 0.010934+0.025822j 0.0289266+0.00706418j 0.0233875+0.0129813j -0.00409395+0.00396524j -0.00776119-0.00660187j 0.00777018-0.00372211j 0.0209452-0.00502355j 0.029288-0.000773868j -0.0260385+0.00538419j -0.00202585+0.005566j 0.0484071+0.009321j -0.0409408-0.00177463j 0.0183643-0.00150747j 
-0.00391464+0.00880111j 0.0312258-0.0221324j -0.136978+0.0218317j -0.0485232-0.037381j -0.224815-0.00804434j 0.0797689-0.0991242j 0.228199-0.0168893j 0.00819117+0.0187842j 0.0257905+0.0119776j 0.0630042+0.0106977j -0.0432621+0.00794082j 0.0529991-0.01171j 0.0168407-0.00687226j -0.0843662-0.00401679j 0.217517+0.0083596j 0.0558701-0.0167914j -0.0844668-0.000704638j 0.0310664+0.00760835j 0.0458336+0.013546j 0.0231942-0.00988023j -0.0126707-0.00119411j 0.0109913+0.0073851j 0.0149622+0.0117372j 0.00971794+0.0107174j -0.0277335-0.00144983j -0.0251107+0.016734j 0.0203453-0.00907196j 0.00508284+0.00499814j 0.0146752-0.00871748j -0.017632+0.00152133j 0.00234206-0.00320632j 0.0165857-0.00745887j 0.00327814-0.000262688j -0.0446922+0.00167394j 
0.228559+0.0284878j -0.149517+0.0105238j 0.0284796+0.060227j -0.0362708+0.0480121j -0.0563835+0.013177j -0.0231143-0.00857999j -0.133656+0.00141401j -0.00303342-9.64195e-05j 0.0209279-0.0101077j -0.0509487-0.00576095j -0.27578+0.0104944j -0.117341-0.0117212j 0.0242587-0.00548858j 0.134641-0.0294137j -0.0716936+0.027631j -0.0513183-0.0664425j 0.0728477+0.00250326j -0.0752513-0.00265876j -0.0659962-0.0132549j 0.0383025-0.00746615j 0.0914017+0.0166123j -0.0386585+0.00455508j 0.0212182-0.00465032j 0.0321368-0.00215983j 0.0341239-0.0139771j 0.0134096-0.00365261j -0.010191+0.0076317j 0.00982237-0.00871667j -0.0080029+0.000586353j -0.0241229-0.00629375j -0.0108203-0.000668302j 0.0185808+0.00943507j -0.0403731-0.00314932j 0.0668468+0.00783142j 
