-0.0266865-0.0244487j 0.2568+0.0164192j 0.00207821-0.0245766j 0.0969742+0.0278804j 0.0778085+0.019342j -0.0481603+0.0176486j -0.086537+0.00882514j 0.0330812-0.00199725j -0.0771767+0.0636288j -0.0175968-0.0116919j -0.0550574+0.0325177j 0.0509294-0.0467745j -0.0335276+0.0307423j -0.0758542+0.034363j 0.00964015-0.00121759j 0.016839-0.00847858j -0.0463082+0.0271934j -0.000925909-0.0124279j -0.0174795-0.0334875j 0.0134376-0.00570524j -0.0351236+0.016723j 0.0241016-0.0190123j -0.0027939-0.000191681j -0.00142474+0.0242687j -0.01806+0.017932j 0.013504-0.0245204j 0.00738979+0.0180716j 0.0273443-0.00131057j -0.0170515-0.0107431j -0.0145914+0.0209688j -0.054238+0.012935j 0.018935-0.0097001j -0.0348116+0.00762458j -0.00686589+0.012464j -0.000722621-0.0654318j -0.0553433-0.00685015j 
-0.159982-0.0495741j -0.275711+0.0723272j -0.180618-0.0103398j -0.139276+0.0474084j -0.388287+0.0161327j 0.0289121+0.0197115j -0.0271001-0.000455526j 0.0589355-0.0237019j -0.126604+0.110289j 0.0390293+0.0149138j -0.0641379+0.0347842j 0.0230154-0.0551935j 0.040753+0.0352865j -0.130294-0.00126907j 0.0276717-0.0102313j -0.00551474+0.0165648j 0.0352869+0.0218109j -0.0607074+0.0233376j -0.0794333-0.0254041j 0.0368428-0.0196336j 0.0113319+0.0151471j -0.0212253+0.0108431j 0.0532187+0.0317151j -0.024723-0.0162344j -0.00174174+0.0193192j 0.005625+0.000312143j 0.0274447-0.0200326j 0.0554617+0.0310446j -0.0456015-0.0407097j 0.0127687+0.0219406j -0.0839867+0.00197637j -0.00801278-0.00124903j -0.000277526-0.0241888j 0.0187362+0.0507959j -0.0100726-0.0600204j -0.0844373+0.0169433j 
0.0392569+0.0176486j 0.129107+0.0218339j -0.0466172+0.0336844j -0.209849+0.0645837j -0.0190231+0.016144j -0.00886665-0.00470596j -0.128963-0.0028855j 0.107069+0.0226604j 0.143468-0.147316j 0.0507082-0.0495941j -0.035887-0.0498094j -0.120679+0.113542j 0.0348361-0.0180055j -0.0598535-0.0659243j -0.0437769+0.0353368j -0.000317064+0.0185482j 0.0596441-0.0577235j -0.00957927+0.0585738j -0.0954556+0.0238263j 0.0215087-0.0339278j 0.0242172-0.0355313j -0.0157269+0.00802604j 0.0543242-0.0372839j -0.00232487-0.0115161j 0.10074-0.0385232j 0.0639013+0.0276966j 0.0488016+0.0212176j 0.0434402-0.00442081j -0.0544675-0.0236906j 0.0435481-0.0218943j 0.0518976-0.0342833j -0.00890846+0.0197471j -0.00530837-0.0683249j 0.00645375+0.0285306j -0.0230643+0.0491507j -0.076416-0.0173164j 
-0.159666+0.0436317j -0.169048+0.0939658j -0.054269+0.00850126j 0.102261-0.0772987j -0.0678063-0.0466309j -0.0812837+0.0206506j 0.00560527+0.0957814j -0.165834+0.0154043j -0.0858355-0.012338j -0.0800301-0.143739j 0.0572182-0.026439j 0.0747502-0.0454314j -0.0347272+0.0607711j 0.0563677-0.121624j 0.0098548-0.0259378j -0.0283547-0.000252079j -0.0260319-0.0167315j -0.00962915-0.0293419j 0.0454149-0.0372947j -0.02533-0.0622332j 0.0539004+0.0256276j -0.0191189+0.00474673j -0.0454482-0.00899262j -0.0597211+0.0140877j -0.0157247-0.00281703j 0.0242227-0.00934199j -0.00679781-0.0104994j 0.00382356+0.00279231j 0.0259925-0.0368036j -0.0100948+0.00674345j 0.0251666-0.0678374j 0.00364572+0.0100905j 0.0640169-0.0224341j -0.0151573+0.0186916j 0.0319001-0.0359661j 0.0319219-0.0623989j 
0.246506-0.0247732j -0.00942166+0.0292695j 0.0165007+0.0115251j -0.0763231-0.0456657j 0.135186-0.00591834j 0.246623-0.00761644j 0.119098+0.045748j -0.081463+0.0286011j 0.0220909+0.0569579j -0.0406748+0.0502345j -0.0188349+0.0241843j -0.0365682+0.00231623j -0.0377308+0.0131517j 0.086372-0.0670509j -0.0612417-0.0108168j -0.0413716+0.0447334j 0.0395344+0.0527989j -0.0543359+0.0809209j -0.0158161-0.0321676j 0.0142166-0.0230705j -0.0178263-0.00643153j -0.0461524+0.00118829j 0.00479341-0.00553794j -0.0122954+0.0156988j -0.00792091+0.0638096j -0.00148466+0.00675423j -0.0407468+0.0288582j -0.0394615+0.00457811j 0.0128476-0.0275842j -0.00343955+0.0301005j 0.0252662+0.0214798j 0.00443286-0.00679494j 0.0526205+0.0082278j -0.0499601+0.0252469j -0.0296473-0.0164097j 0.0458335-0.0120199j 
-0.16231+0.0964048j -0.0247744+0.0395765j -0.00597793+0.0130907j -0.0764649+0.0395966j 0.0823665-0.0572502j -0.372193-0.0453369j -0.336505+0.0665158j 0.0897763+0.154867j -0.0398756+0.0732889j 0.123922+0.171965j -0.00485321-0.0319277j 0.150201-0.0843955j -0.0851631+0.0893316j -0.00708372+0.0209853j 0.0479953+0.0217053j 0.0343921+0.0572282j -0.0687042+0.026j 0.126633+0.0644701j 0.0988431+0.0171765j 0.0392786+0.0207534j 0.0317206-0.046808j -0.0326358+0.00810029j -0.00140219-0.00534233j -0.0438208-0.0207188j 0.0444228-0.0128699j -0.0270118+0.000377971j -0.0476585+0.0107787j 0.0432067-0.00640611j 0.00848958-0.0282898j -0.0686338-0.00287314j -0.0358988+0.0298494j 0.0265482-0.00500656j -0.0159761-0.0165553j 0.0298583-0.0169077j 0.0214521+0.0481198j -0.00864214-0.0205466j 
0.0921803+0.00389179j 0.0879678+0.0122872j -0.0245705+0.00164974j -0.111563+0.00282143j -0.0650189+0.00551374j 0.528192-0.0152873j -0.10659+0.0172967j 0.121776+0.0580156j -0.0350104+0.0391657j 0.097898+0.0877577j -0.0579267-0.0125322j 0.0202476-0.0232956j -0.106977+0.0105249j 0.0120553-0.0114122j -0.0344238+0.00121548j -0.00261751+0.0105485j 0.0288425-0.000768133j -0.0141633+0.0314518j -0.0374901+0.012206j 0.00599966-0.00923211j 0.000104615-0.00732408j -0.0326486-0.023305j -0.00239927+0.0126833j -0.0142242+0.0335017j -0.0152396-0.00568911j -0.00639079+0.0412235j -0.0381462-0.0154736j -0.00620181+0.0178986j -0.00425865-0.00587839j 0.00793704+0.00484652j -0.0109153+0.016634j -0.00522898-0.0161116j 0.00249981-0.00594764j -0.0161562-0.00032286j -0.0158551+0.0056427j -0.000462466-0.0110182j 
0.0608514+0.0125227j 0.00818178-0.188867j 0.0187666+0.0167545j 0.0596262+0.185712j -0.0457922+0.105533j -0.071929-0.367376j 0.116437+0.285676j 0.0234774-0.149789j -0.014051-0.00891068j -0.0147108+0.0929162j -0.00977136+0.0493738j -0.0281008+0.055864j 0.0515803+0.0330113j -0.00524376-0.034369j 0.0234884+0.0509181j 0.00937385+0.0714125j 0.0371234+0.0220222j -0.0186766+0.0861919j -0.0624835+0.139414j 0.0363445+0.0591067j -0.0494015+0.00305211j 0.00481686-0.00173601j 0.0209633+0.0615109j 0.0354491-0.0122335j -0.0203191-0.00302463j -0.0289696-0.0117609j -0.0210602+0.0220414j -0.010974+0.00936623j -0.0177655-0.00867806j 0.0101918-0.0223248j -0.0478689+0.0190334j -0.00893953-0.00417923j 0.00663419-0.00671059j -0.00835642+0.0116674j -0.0149033+0.0231648j -0.0166265+0.0404567j 
0.11714+0.000328259j 0.0224042+0.0459091j 0.0824605-0.0126078j -0.0235461+0.116766j 0.227035-0.132478j -0.120193+0.0412926j 0.109171+0.028931j -0.248595+0.154392j 0.189114-0.0962145j -0.21153+0.0338616j 0.0927848-0.0413467j -0.062468-0.0321174j -0.00539587+0.0532958j 0.0580449+0.0346233j -0.110007+0.0610532j -0.0799255+0.0221092j 0.0132065+0.0437937j -0.0687034-0.0193856j -0.0753011-0.000544535j -0.0670181+0.0554884j 0.106623-0.0701676j -0.0233024+0.0022015j 0.00432494-0.0232854j -0.00828201+0.0277601j 0.103349-0.0490805j 0.0367005-0.0418937j 0.0212894-0.0544252j 0.0127786-0.0781606j 0.00975387+0.0304976j 0.0214926-0.000642271j 0.0383392+0.0136047j 0.0228584-0.00796517j -0.0381359-0.0135664j 0.0479013-0.0639728j -0.105302-0.00382026j 0.0142643+0.0558123j 
0.0152427+0.00611343j -0.129855+0.0111956j -0.0328805+0.00589904j 0.305316+0.0622751j -0.0499662+0.00501406j 0.409391+0.00785153j 0.179668+0.0836709j -0.140101+0.0666759j -0.0691395-0.0571687j 0.283125-0.0271038j -0.0959462+0.0588086j 0.208485-0.0104173j -0.120852+0.00341597j -0.107544+0.0741047j -0.0423915+0.0160671j 0.0477045+0.0114962j -0.0394545-0.000887097j 0.113526-0.0179919j 0.18931-0.00833413j -0.0615307-0.000615716j 0.0413158-0.02535j -0.0366639+0.0164103j 0.00744041-0.0571237j -0.0331893+0.0115275j 0.0605245-0.0482549j 0.041046+0.000931361j 0.0264557-0.0161821j 0.0539808-0.02112j -0.0337228+0.00245157j -0.0311441-0.000643957j 0.000151365+0.0119495j 0.0143673-0.00479495j -0.0829183-0.00525723j 0.0778894-0.0189765j 0.0662574+0.0324653j 0.00113295+0.0398219j 
-0.026099-0.00567302j -0.0692937+0.00204266j 0.0677818+0.0523903j 0.0312903+0.0878533j -0.0925673+0.0396243j -0.065274-0.0472398j 0.0487954-0.112769j 0.0333734+0.0623225j -0.0237745+0.171383j 0.0748778+0.413817j -0.0189184-0.043096j -0.0375183-0.00706996j 0.0861295+0.0271246j -0.082453+0.156777j -0.0599559+0.0776273j 0.0605419+0.0703524j -0.140279+0.0754367j -0.0647801+0.15139j 0.236742-0.0908725j -0.066611+0.088165j -0.100737+0.0201291j -0.0121036-0.0105547j -0.0372204+0.0533159j 0.0301219-0.0325363j 0.00308056-0.000607802j 0.0229649+0.0205703j 0.0379989+0.0114557j -0.010457+0.00557988j -0.0204721+0.000476934j -0.101714+0.00794743j -0.0633495+0.0155851j 0.0305303-0.01315j -0.0245978-0.00580407j 0.0157406-0.0100241j 0.0368112+0.015887j -0.000350794-0.0182852j 
-0.121602+0.0108981j 0.00549464-0.0458657j 0.0501365+0.0428496j -0.0481508-0.0595353j -0.0920603-0.0372938j 0.0306927+0.0109024j -0.0600874+0.0815888j -0.00332603-0.0562833j 0.0417157-0.21709j -0.144315-0.325075j 0.053594+0.0183459j -0.107398+0.146734j 0.0603191-0.0534298j -0.0106123-0.142404j -0.0922848+0.0354125j -0.0198566-0.0493362j -0.102927+0.0722685j -0.123322-0.0516315j 0.163788-0.167401j -0.0828715-0.018552j -0.0522507+0.0772038j 0.000375074+0.0217746j -0.04517-0.0227012j 0.0423844+0.0232343j 0.0454234+0.0083369j 0.0374624-0.00330686j 0.0261864-0.0208561j -0.0382502-0.0259908j 0.00248148+0.0230973j -0.0438885+0.0551162j 0.00587657-0.0126655j 0.0145359-0.00446989j 0.0393286-0.00847608j 0.00953502-0.0275793j -0.00480438-0.0454331j 0.0231787-0.0205162j 
0.0796758+0.0566498j 0.0220582-0.00987656j -0.00827836-0.00804159j -0.0783132+0.0158517j -0.0339691-0.0315091j 0.15396-0.0193763j -0.088241-0.135159j 0.0432021-0.0860676j -0.0176583+0.0595219j 0.0202829+0.0632202j -0.0460899-0.110861j 0.0217019-0.0749834j -0.0757985+0.0367174j -0.0740031+0.0742443j 0.0801919-0.0482695j -0.0397844-0.0611988j -0.050264-0.0131916j -0.0205273-0.0532255j 0.000170765-0.0407621j 0.0555675+0.0354877j 0.0245178-0.0230375j 0.0273929-0.0507972j -0.0111297-0.0257127j 0.0186239-0.0344492j -0.0104544+0.0270578j -0.0079654+0.0241495j 0.0134624-0.0333004j 0.0287085+0.00969022j 0.00271313-0.00809076j -0.0193992-0.0369956j -0.0200092+0.0255002j 0.00372968+0.010747j -0.0618352+0.0495147j -0.00412149-0.0513446j 0.0139457+0.0133031j 0.0189924-0.00336788j 
0.0631956+0.0507335j 0.00897931+0.0399672j 0.0345808-0.0117685j -0.00353062-0.00878938j -0.0766186-0.0668045j -0.0562223-0.0100622j -0.0753931-0.135681j -0.103436-0.13729j -0.0412498+0.145635j -0.023078+0.0427438j -0.165831-0.125203j 0.00341926-0.0204835j 0.113275+0.0726788j -0.0656762+0.132375j -0.062916+0.103694j -0.0388118-0.140167j -0.0243939-0.128522j -0.178511-0.230774j -0.099694-0.0245868j 0.00703182+0.0239188j -0.0398637+0.0249497j -0.0368715-0.00994197j 0.0307251+0.0563084j 0.00676241-0.0185097j -0.0256382+0.0127905j -0.00796503+0.0661053j 0.0296103+0.0306062j 0.0157665-0.0102283j -0.0372344+0.0236772j -0.0192466-0.0307954j -0.00555488+0.019891j 0.00284311+0.0166469j -0.053456+0.0190523j -0.0105746-0.0266184j 0.00532092-0.0121415j -0.0317066-0.0192495j 
-0.0900117-0.104997j 0.00548834-0.0123063j 0.0133155-0.0670708j 0.0132805+0.00942154j 0.0669372+0.117545j -0.0161207+0.0248476j 0.0735383+0.222589j 0.085067+0.241511j -0.034244+0.0687826j -0.018034+0.150118j 0.128971+0.301518j 0.091362-0.0811412j -0.065561+0.0237352j 0.00871273-0.0410821j 0.0470516-0.162017j -0.0316023+0.191236j -0.0559269-0.00563373j -0.0929639-0.0431524j -0.0188091-0.115504j -0.0442031-0.130315j 0.0768859+0.00809128j 0.0268332+0.0237629j -0.00949201-0.0284839j -0.0416819+0.0437878j -0.0349172+0.0157244j -0.0101314+0.0105929j -0.0517017+0.0335416j 0.0065809-0.0356535j 0.0230267+0.000463769j -0.00479788+0.0339769j 0.0082492-0.00551684j 0.00126571-0.00231295j 0.0362119-0.0105228j -0.0103278+0.0134567j 0.0063627-0.0441522j 0.0119772-0.00394808j 
-0.0582612-0.0549932j -0.0456209+0.0411639j -0.0259704+0.0411511j 0.0247782-0.0206157j 0.102856-0.0475535j 0.0437359+0.0192257j -0.0640361+0.211349j -0.0254046+0.131511j -0.1946+0.221456j -0.113234+0.022842j -0.00172316+0.186048j 0.049671-0.170503j -0.0831393-0.0325274j -0.0341977+0.0265802j -0.193678+0.0960197j 0.0382181-0.0656927j 0.0305489+0.0677606j 0.0469899+0.136501j 0.00433236-0.00482617j -0.0384105+0.0110398j -0.0914192+0.0709114j -0.0650524+0.0430376j -0.0346541-0.0224299j 0.00898084+0.000728872j -0.0149821+0.0123581j -0.0185472-0.00183801j 0.000572235+0.00594618j -0.0328263+0.0210264j 0.0117469+0.0121661j -0.0112323+0.0589036j -0.00415232+0.0261241j 0.00583347-0.0284753j 0.0102037+0.0219057j -0.000990056+0.0251138j 0.0161883-0.0389056j 0.0141533+0.0245368j 
-0.0671769-0.0255638j -0.0382306+0.0137826j 0.00464541+0.0190404j 0.0108682-0.0222414j 0.109263+0.0134157j -0.0108866-0.0172332j -0.0615778+0.152129j 0.0685907+0.155324j 0.0136067-0.0980484j 0.151507+0.0545075j 0.072942+0.108142j -0.0710674+0.15532j 0.0181952-0.111528j 0.0827227-0.12626j -0.211837+0.126335j 0.09286-0.0100583j 0.070008-0.17156j -0.0340616-0.0816643j -0.159278+0.0721237j -0.0106973-0.0317193j -0.046316+0.0593225j -0.0695475+0.0119878j 0.0103958-0.0134442j -0.0111555+0.000718622j -0.0223698-0.0137873j -0.0356852-0.00099354j -0.00368109+0.00588046j -0.0214371-0.00998659j -0.00177948+0.0222276j 0.0173313-0.034508j 0.0332448-0.0456774j -0.0110848+0.0146436j -0.00248003-0.0171355j -0.0130225-0.00347968j -0.0203552+0.0289192j 0.0210228-0.00379413j 
-0.116213+0.0165169j 0.0331348+0.0513j -0.0337564-0.0101101j -0.167689-0.0270217j -0.0228687-0.0470365j 0.0237455-0.00556287j -0.298801+0.077211j 0.175162-0.0139398j -0.0656258-0.00843958j -0.146064-0.00367497j 0.123341+0.0633258j 0.0461928-0.0375736j -0.0199994+0.0425112j 0.219807-0.0354693j 0.0721324+0.023483j 0.0685354+0.148749j -0.0092218+0.0256385j 0.079772-0.00890373j 0.129319+0.0350185j -0.0619464+0.0255026j -0.0175038+0.0206331j 0.0573438+0.0123336j -0.0887499-0.0378213j 0.0291003+0.0613986j -0.0629381-0.0361048j -0.0362768-0.0392155j -0.0555812+0.0204857j -0.0547395-0.0172203j 0.0525316+0.00917107j 0.00014654+0.00338786j 0.00382172-0.0284994j 0.000570489-0.0173512j 0.00706706+0.0234476j 0.00373137-0.0507408j 0.00424397+0.00817808j 0.09302+0.0371563j 
0.0136371+0.0890112j -0.0276376-0.0834469j -0.0139808+0.0253762j 0.0189239+0.106957j -0.0156867-0.0395552j -0.0520532-0.155162j -0.0774389+0.0635847j -0.0931918+0.00634509j -0.00516075-0.00349515j 0.0489954+0.081576j -0.019359-0.161317j 0.0417377+0.0497584j -7.77586e-05+0.0747812j 0.114092-0.0768457j 0.0275659+0.02387j -0.00302899-0.0990692j 0.00924302-0.0206312j -0.155955-0.0472242j -0.0135333-0.338162j 0.109993-0.0183581j 0.0288117+0.0356403j -0.0624505+0.026613j 0.0317023+0.00446146j -0.0361671+0.0349209j -0.0032102-0.00533654j 0.0288019-0.0468065j 0.00543144-0.0170883j 0.00393417-0.0156249j 0.0215304+0.00308464j -0.0275575+0.0353915j 0.0201986+0.0122127j 0.012043-0.0175393j -0.0305356-0.0396346j 0.00237032-0.0884544j -0.00783487-0.00581142j 0.0213657-0.0293454j 
