-0.050357+0.301269j 0.0708927+0.152402j 0.0565231+0.0797837j 0.0905215+0.0635251j 0.0778686-0.0914968j 0.0440766-0.0486765j -0.0518059+0.108548j 0.0109267+0.0387655j 0.116094-0.0652004j -0.00963153+0.0122059j 0.024325-0.11892j -0.0371195-0.0167458j -0.0322802+0.0130932j -0.0784758-0.0783087j 0.0421696-0.0701355j -0.00188925+0.0378734j 0.00719482-0.0184051j -0.0368733+0.0594615j 0.00103597-0.00364712j 0.01142+0.0287818j -0.0316007-0.0298052j -0.0275468+0.0380729j 0.0169851-0.0131191j -0.0197071-0.00748992j 0.0143527+0.0256765j 0.0362332+0.0109776j -0.0139902+0.0168035j -0.0334383+0.0332382j -0.00982808+0.0400325j -0.00414718+0.00542619j 0.0136199-0.0208683j -0.00498175+0.0376887j 0.0444082-0.0580461j -0.0164735-0.0144158j -0.00905915+0.00766319j -0.0236918-0.00111737j 0.00685003-0.0275652j -0.0210323-0.00778187j 0.082057+0.0162113j 0.0500653-0.0375884j 
0.0467764+0.0570445j 0.0226365-0.0163814j -0.0610203-0.190704j -0.134884+0.0513572j 0.0622725-0.0788388j -0.0365549+0.0272581j -0.307273-0.271891j 0.0111657+0.324662j -0.0898485-0.173454j 0.0893947-0.138077j 0.125995-0.118285j -0.0104278-0.0460937j 0.0591513-0.0155258j -0.0540364+0.0276644j 0.0727078+0.0107648j -0.0650494+0.0297086j 0.0361796-0.0264524j -0.0458772-0.0392014j 0.124357-0.0348223j 0.0288147+0.0132824j 0.0155989-0.0327047j -0.0486391-0.0226405j 0.0586965-0.0122217j 0.019406-0.0151947j 0.00173154+0.0300115j -0.0105911+0.0276593j 0.00654566-0.0119249j 0.0408263-0.00379378j -0.0140211-0.0362252j -0.0104955+0.0219842j 0.00718377-0.00829j -0.0247078+0.0200665j 0.0183641-0.0512202j -0.0194194-0.020585j 0.00160117+0.00143626j -0.00548652+0.0139858j 0.0342396-0.021574j 0.00590409+0.0278381j 0.0129918+0.00661116j -0.0239021-0.0490802j 
-0.0304083+0.0562766j -0.0276565+0.0121763j 0.0172588-0.198019j -0.0531167+0.0838813j 0.140081-0.0729098j -0.148839-0.145261j -0.125939+0.00754264j 0.0475448+0.0308854j -0.088877-0.116599j -0.119478+0.0945144j -0.111621-0.0212038j 0.266211-0.159951j 0.0242759+0.0186032j 0.00214455+0.00613326j -0.0986601+0.0430798j 0.0913449-0.040567j -0.05292+0.0537825j 0.0286215-0.0304283j -0.0392255-0.00499884j -0.0395242+0.0318229j 0.00328377-0.000436628j 0.0439091-0.0138616j 0.0294494+0.0199098j -0.0210893+0.00690107j 0.00207713+0.00016418j 0.00160136-0.0290264j 0.03066+0.0228664j 0.0821459+0.00547001j 0.0402264-0.00600643j 0.000507302-0.0383844j 0.0273202+0.0221782j 0.0313748-0.0256291j -0.0193651+0.0378126j -0.000747779+0.00801879j 0.00140299+0.00315649j 0.00106415-0.0199394j -0.0304907+0.0374054j 0.00174494+0.0810054j -0.0519804-0.0277366j -0.0604065-0.0369311j 
-0.00298908+0.0187453j -0.0143868+0.0157156j 0.0363529-0.0609284j 0.0666501+0.115919j -0.00267859-0.0670337j -0.0507554-0.174067j 0.00235508-0.314872j 0.157993-0.176672j -0.0962272-0.181195j 0.0362557-0.0272161j 0.0940838+0.0214658j -0.00583036+0.0249191j -0.036985+0.0275062j 0.0714989-0.062348j -0.147459-0.0639822j -0.0232215+0.0317591j -0.00895803+0.0116593j -0.0785378+0.0222479j -0.0693273-0.0416272j 0.0148934-0.00705819j -0.0261212-0.0467401j 0.00672961-0.00938981j -0.0510271+0.0483329j 0.00754046-0.0141757j 0.0087686-0.00171676j -0.0252687+0.00109798j 0.00030749+0.0064448j 0.0272239+0.0705351j -0.00657016+0.000238632j -0.00921609+0.00747624j 0.0226942+0.0183894j 0.00159091+0.0218579j 0.00939605-0.00901935j -0.0157438-0.00718938j 0.00167195+0.0138332j -0.0173587+0.00619342j -0.00834411+0.0219192j -0.0513035+0.00422059j 0.0335844+0.0398535j 0.00494672-0.0342349j 
-0.0734682-0.106716j 0.0326805+0.00447665j 0.038697+0.0285774j 0.175836+0.112217j -0.113933-0.160186j 0.187115+0.0058333j 0.267002+0.106272j 0.184895-0.0213935j 0.215773+0.0286218j 0.151177-0.0283539j 0.146947+0.0269609j 0.034738-0.0328717j 0.145339-0.023964j -0.054598+0.0459027j 0.0378666+0.0570228j 0.0465738-0.0178046j 0.0643634-0.000989074j 0.0815078+0.0746033j 0.00991048-0.0263674j -0.149148+0.0354032j -0.0468126-0.0136646j 0.0434083+0.0273906j 0.051441+0.03525j 0.0202515-0.0266154j 0.00473854-0.0046101j 0.0084997+0.0101902j -0.0213162-0.00381924j 0.0625301-0.0587431j 0.00915383+0.05278j 0.0342468-0.0181203j 0.0105771-0.0508356j 0.00423007-0.0362833j -0.0527046+0.00383766j -0.0420109-0.00634447j 0.00333471-0.00567207j -0.00127182+0.0472801j 0.0211506+0.00853672j 0.0176506+0.0590403j -0.0209706-0.0587088j -0.0436711-0.00290086j 
0.0167963+0.0552917j 0.0188052-0.0344147j 0.0251898-0.0488333j -0.175053-0.0923259j -0.211481-0.101062j 0.419331+0.168929j 0.0861236+0.0676644j -0.241594+0.0741772j -0.123204-0.043641j -0.0613712+0.0992441j -0.0334454+0.0578041j -0.0248416-0.107876j -0.0416407+0.0284819j 0.0160237-0.0601767j -0.0722444+0.0173875j 0.0412029-0.0135697j -0.0405722+0.0375042j -0.0092131-0.0354157j -0.0118919+0.0552858j 0.0172236-0.0123339j 0.0340573-0.00634258j 0.0444259-0.0101234j -0.0266771+0.0138503j 0.000596038-0.0065345j -0.000979812-0.029387j -0.000593053+0.00669532j 0.0199821-0.0188047j -0.00808988+0.000894346j 0.020504-0.0107j 0.0397166+0.00342324j -0.013407+0.02478j -0.0235137-0.0110649j -0.0018072+0.00331326j 0.0395091-0.0138359j 0.0121848-0.0138826j 0.0189583+0.0251702j 0.0626606+0.00166641j -0.0180888+0.00322903j -0.0172789+0.0151306j 0.0168774-0.0111196j 
0.0646769+0.0979578j -0.0125448+0.0221302j -0.0565129-0.0116747j 0.0839575+0.0157814j 0.00429223+0.0794514j 0.327607-0.17588j -0.0601439-0.139222j -0.0246143-0.0781112j -0.152306+0.0109936j 0.124357+0.18277j 0.0558749+0.109034j -0.0814032-0.0574824j 0.0779898+0.0332932j 0.0106627-0.0504636j 0.0114156+0.0541761j -0.000890794-0.0747875j 0.0353469+0.0756408j -0.0328957+0.0508028j 0.0084124+0.05022j 0.0465784+0.00437598j -0.0344921-0.0204099j -0.0425339-0.0581161j 0.0139611+0.0466419j 0.0134199-0.00206266j 0.00145569-0.00579727j -0.0189292-0.0244131j -0.0111456-0.0132858j -0.0110493+0.000445767j -0.0154631+0.0194134j -0.0247052-0.026508j 0.00024891-0.0100296j -0.0118895-0.0158132j 0.0128161+0.0273046j -0.0243154+0.0183022j -0.000758152+0.00220059j 0.00276734-0.0190819j -0.00756549+0.0113621j 0.0064393+0.00756222j 0.025651-0.00897739j 0.016086-0.00419738j 
-0.0591362-0.0524221j 0.0291245+0.0292103j 0.0511278+0.0218284j 0.0162398-0.131817j -0.013829-0.130975j 0.31612-0.240927j -0.150216+0.226681j -0.093437-0.118298j -0.0016739+0.106615j -0.0190487-0.146803j 0.0518845-0.0971425j 0.115219-0.0549562j -0.00398437-0.0710084j 0.0142738+0.029557j 0.00126144-0.0572215j -0.0201327+0.0676291j 0.0119068-0.0516844j 0.0688306-0.0630725j -0.0128005-0.00408163j -0.00991967-0.0425725j -0.0100421+0.00869938j 0.00726357+0.0199494j 0.0114723-0.0239463j -0.0107928-0.00901199j 0.00122969+0.0228445j -0.00887229-0.00307242j -0.00302328-0.0123485j 0.0150456-0.0186474j 0.0226549-0.0222225j -0.00102342-0.0152798j -0.0231824+0.00922219j 0.0207003+0.0278043j 0.0308611-0.0238643j -0.0104965-0.00789834j -0.000250388+0.0143948j 0.00904053-0.042287j 0.0137407-0.0294029j 0.00651521-0.0171155j -0.0162699-0.0044563j 0.00651587+0.00630224j 
0.063106-0.0765345j -0.013642+0.00796234j -0.0392018+0.0243108j 0.153509-0.13749j -0.296454+0.0207191j -0.101571-0.0142878j 0.0567716-0.114439j -0.139163-0.257579j -0.0671669-0.0228008j 0.000363892-0.150959j 0.0291373-0.0612904j -0.120165+0.07539j -0.0126798-0.0141496j 0.0117764+0.00443159j -0.100618-0.00422849j 0.0211722+0.0537012j -0.00991992-0.0539098j 0.0269057+0.0528038j -0.0659933+0.0195671j -0.0581148+0.03097j -0.00341676+0.0229452j 0.00953196+0.00189034j -0.0744476-0.0159034j 0.00552023+0.00675316j -0.0114832+0.00872716j -0.0141622+0.0184864j 0.000770113-0.00118132j 0.021615-0.0141897j 0.0141585+0.0192234j 0.0113258-0.00301081j -0.00658156+0.00303282j 0.0175432-0.00147362j -0.0137899-0.00402509j 0.00329239-0.0134021j 0.00044508+0.00122148j 0.00222314-0.00954972j -0.000869916-0.00263774j 0.0172933+0.0140795j -0.0233216-0.00514431j -0.0379028+0.0165054j 
-0.0373117-0.022814j -0.00775909+0.0115436j 0.0336989-0.0468781j 0.000339514+0.16713j -0.131105+0.268814j 0.256849+0.0579672j -0.0187019-0.0581573j 0.225989+0.0329586j -0.00479143-0.0655052j -0.293664-0.00496241j -0.108431-0.152317j 0.128498+0.132496j -0.0622868+0.0173743j -0.0123287+0.0208467j -0.00485569+0.00264191j 0.0439835+0.0377381j -0.0850184-0.0544548j -0.0348915+0.0311273j -0.0838507-0.0716966j -0.0104048+0.0376113j -0.0434948-0.0369103j 0.0227183-0.0765539j -0.0118591-0.0365531j -0.00116595-0.0215135j 0.0388114-0.0157642j -0.00280496-0.0225559j 0.029171-0.0135271j 0.0285975+0.0152517j 0.00532965+0.0541543j 0.00618661-0.00595534j -0.0139677+0.0311841j -0.0119401+0.0141595j -0.0270154-0.0252747j -0.0186069+0.0264425j 0.00863995+0.00365144j 0.00198702+0.0161729j -0.000515008-0.019572j -0.0100389+0.00655383j -0.0276247+0.00194403j -0.0195663-0.0119608j 
0.0787809+0.00551172j 0.00283786-0.00719018j -0.142212-0.0248594j -0.187469+0.0718651j 0.136397-0.0789212j 0.0342811-0.0224355j -0.164584-0.100389j 0.0201158+0.213782j -0.0354866-0.246155j 0.0934829+0.00323744j 0.0267932-0.00802586j 0.0584776-0.0535943j 0.104005-0.0936121j -0.0618558+0.0529602j -0.0012649-0.0672464j 0.0119986-0.0569367j 0.0381356-0.0643622j 0.077973+0.142321j -0.0216587-0.00511993j -0.0643803+0.138405j 0.00291532-0.0112246j -0.0254524-0.0103368j -0.0242021-0.0803989j 0.00956209-0.0130859j 0.0134779+0.0265574j -0.00838837+0.011347j -0.0052589-0.00786822j 0.0284457-0.116946j -0.0246138+0.0567942j 0.00961883-0.0137646j 0.0309743+0.0198988j 0.0099775-0.018774j -0.0141648+0.000144754j 0.0171508-0.0128371j -0.00710927+0.00172869j 0.00468942-0.00639363j 0.00212085-0.00452234j 0.0732901+0.0271913j -0.0752427-0.0118386j -0.0151259+0.0238763j 
-0.018226-0.0643726j -0.0204012-0.0529953j 0.0479074-0.0367075j -0.075924-0.0556681j -0.0414255-0.128245j -0.0203962-0.00065778j 0.101252+0.0127314j -0.0227333-0.0749805j -0.0611941+0.0131827j -0.150068+0.157484j 0.121034-0.0532084j 0.0452751-0.0154634j 0.0697623-0.0725755j -0.00740232-0.0276307j 0.0952888+0.098843j -0.0923163+0.0728587j -0.00655997-0.161696j -0.0957528+0.137106j -0.107507-0.0197173j 0.1096-0.00153398j -0.00456017+0.0159481j -0.00174401-0.0140099j 0.08292+0.0134529j -0.0240641-0.0230247j -0.025602-0.00812664j 0.00561933-0.041989j 0.038478+0.0720505j -0.000692899-0.0327283j -0.0264907+0.0326884j -0.015731+0.00499038j -0.0147452+0.0116327j -0.021739-0.00738491j 0.00660005-0.0211979j 0.0116676-0.000279591j 0.00660532+0.0130152j -0.00366048-0.00117646j 0.0168595-0.0168533j 0.0240452+0.0118033j 0.0302199+0.00531663j 0.00689607+0.000956472j 
-0.0262512-0.00566809j -0.00102994+0.00256561j 0.00600762-0.0557759j -0.0718004+0.0206494j -0.00573213-0.146745j -0.0303237-0.0757197j -0.0867534+0.119979j -0.107647-0.0233525j 0.016772-0.0904402j -0.130587-0.064099j 0.0214263+0.0277505j 0.0797705-0.13922j 0.0433085-0.0016991j 0.0911761-0.0618457j -0.212528+0.0724768j 0.137056-0.132854j -0.00820391+0.0557112j -0.10922-0.0777922j -0.0137393-0.00476808j -0.155843+0.143384j 0.0108154-0.0112378j 0.0575641-0.0191515j -0.0191861+0.00451109j -0.0150845+0.00705251j 0.0238135-0.0214535j 0.041319+0.016166j -0.0257166-0.00584386j 0.0234605-0.0180494j -0.00914055+0.0231392j 0.0265971-0.0338476j 0.0244808+0.00593995j 0.0299181-0.0412012j 0.000253936+0.016869j -0.0153698-0.00568645j -0.00283367-0.00607663j -0.00407175-0.00902437j -0.00112614+0.0143567j -0.00333265+0.055258j -0.0372178+0.0286085j 0.0223804-0.00983167j 
-0.00180109-0.0244724j -0.042959+0.0103956j -0.0137087+0.085923j 0.0758969-0.0683375j 0.0335692+0.0245172j 0.071358+0.0138192j 0.0799188-0.0638809j 0.161204+0.0451395j 0.0116108+0.0108066j 0.0304562-0.1077j 0.00426293-0.0416039j -0.0333576+0.159513j -0.0314133+0.0374344j 0.0685855+0.154456j -0.038607-0.0472498j 0.0240606-0.0265071j -0.210349+0.0827486j -0.0286385-0.225563j 0.107965-0.0570684j -0.0408878+0.0190366j 0.040358+0.000952056j -0.0362228+0.0192616j -0.0309906+0.0116501j 0.0012923+0.00723193j 0.0335015-0.00810977j 0.0150586+0.012762j -0.00893708-0.0287845j -0.00554235+0.0407435j -0.00263074-0.0690787j 0.00458293+0.0126589j -0.0310844+0.00370119j -0.00260133+0.0127877j 0.00203049-0.00879856j 0.00101372+0.0214764j 0.00207761-0.00304003j 0.0144077-0.00544769j 0.000399933-0.00136733j -0.0411101-0.025893j -0.0362961+0.0217607j -0.0151078+0.0167706j 
-0.0459967+0.0254917j 0.033321-0.00393714j 0.0920314-0.095275j -0.00186432-0.0167395j -0.0471735-0.141326j -0.0211734-0.026648j 0.134513-0.154949j 0.18051-0.0958955j -0.00205125-0.026942j -0.0179439-0.0471499j 0.000503604-0.00465329j 0.0706713-0.134265j -0.00858057-0.0305514j 0.139006+0.113415j 0.0655074-0.0387575j -0.0415363+0.0758138j -0.013814-0.0295972j 0.026826-0.177732j 0.00443643-0.0306899j 0.109495-0.0558057j 0.0303917+0.0132675j 0.0203021-0.00271445j 0.0253339-0.0884592j -0.009113+0.031387j 0.00815901+0.00496635j -0.0228918-0.0107888j 0.0267204-0.00499216j -0.0356468-0.0072243j -0.00115976-0.0500804j -0.0224681+0.0233354j -0.0355545+0.0110777j -0.0276839+0.0172997j -0.00976481+0.00243667j 0.021588+0.0278292j 0.00952475-0.00482517j 0.0124213-0.00598429j -0.00371491-0.00579515j -0.00595126-0.0305318j -0.031705+0.0329433j 0.00342542+0.0454074j 
0.0209883-0.00718601j 0.00770488+0.00699334j -0.0317544-0.0561882j 0.0337536-0.0475775j -0.057346-0.101573j 0.00814517-0.00921758j -0.0475241-0.000963507j -0.0563676-0.0367896j 0.062186-0.0266989j 0.121899+0.258616j 0.0323173-0.225776j -0.0746218-0.0517915j -0.02155-0.0940323j 0.033112-0.0876461j 0.108664-0.0143238j 0.166602-0.0483802j -0.369637+0.161043j -0.105286+0.0164907j 0.0247365+0.00591428j -0.0927603+0.0372857j -0.00594544-0.0346728j -0.0442122+0.0497919j 0.00300312+0.00331323j -0.000600453+0.0271252j 0.01518+0.0113987j 0.00616137+0.00368606j 0.0471211-0.0613003j -0.0316055-0.00544502j -0.0112862-0.00777508j 0.00892333+0.000335903j 0.000805693+0.00689659j 0.00338453+0.00352279j -0.000590327+0.00378886j -0.00473504+0.0133514j 0.00566833-0.0123771j 0.00663575+0.00437278j -0.0037915+0.000642167j 0.0286391+0.01118j 0.0104071+0.00299219j 0.0109152-0.00719934j 
