-5.87442e-05+0.00019836j 0.000743666-0.000773937j -0.00151734+0.00104234j 0.00145695-0.000574528j 0.000177435-0.00136821j -0.00151625-0.00135037j 0.00187432-0.00136837j 0.00104402-0.00181992j -0.00168051-0.000979362j 0.000789809+0.000951289j -0.000598699-0.00189505j -0.00151858+0.00131961j 0.000621648+0.00182695j 0.00276207+0.00121671j 0.00109692-0.00219658j 0.00120386-0.000678164j -0.00120208-0.00222816j -0.00207068+0.00104689j -3.35814e-05-0.000126079j 0.000119249+0.000251581j 0.00257841+0.00197418j -0.00113162-0.00137022j -0.000984807+0.00203406j 4.3552e-05-7.62513e-05j -4.47708e-05+9.73435e-05j -0.000515158-0.000368507j 0.00162577+0.000633451j -0.00210533+0.00114112j 0.00114746+0.00355074j 0.00161445-2.75023e-05j -0.000166322-0.000431989j 9.34023e-05-0.000360308j 0.00309866+0.00209483j 0.00463636-0.00090934j 0.00250469-0.00218674j -0.000309978+0.000597944j 0.00155632-0.00124117j -0.0015378+0.00553642j 0.00159678+0.0041335j 0.00437661+0.000358j 
-9.33723e-05-0.000165726j 0.000234729+0.00234265j 0.0124327-0.00401615j 0.00323081-0.0179839j 0.0114772+0.00441857j -0.0105856-0.005985j -0.00741231-0.00677002j -0.00761406+0.00742531j -0.00756157+0.00850468j 0.00238639+0.00286234j 0.00164275+0.0106561j 0.00835042+0.000430071j 0.00114538-0.00402494j -0.00908319-0.0100928j -0.00859444+0.00380932j 0.00394325-0.00538403j -0.00640745-0.00446096j -0.00585128+0.00685713j -0.00057636-0.000572152j -0.000257605+4.56376e-05j 0.010499-0.0101496j -0.00532417-0.00150846j -0.0263124-0.00970738j 0.000570595+0.000652252j -0.00122095-0.00103324j 0.000521344-0.00888136j 0.00304011+0.0356307j 0.0173266-0.000595423j 0.00355099+0.0102754j -0.0170059+0.0109018j 0.000184533+0.000533745j -0.00192879-0.00166052j -0.0194309+0.00606353j 0.0100286-0.00654795j 0.00836824+0.00916286j -0.000983704-0.00519992j 0.00399618+0.00457204j -0.00728745-0.00261725j -0.00495712+0.00653783j 0.000976317+0.00482818j 
-0.00930599+0.00116149j -0.00101212-0.018197j -0.00456641+0.000669333j 0.00131365-0.000831566j 0.000912219-0.00484532j -0.0037473-0.00320858j -0.000431274+0.00221513j 0.00568602+0.00325822j -0.00148824-0.00010955j -0.00172579+0.0112322j -0.00490955-0.00714684j 0.0150072-0.00977959j -0.0156846-0.00801807j -0.00333522-0.0152782j -0.00964007+0.00714399j 0.00110921+0.0024295j 0.00377892+0.00230905j -0.000169324-0.00603254j 0.00328905+0.00362339j -0.000717757-1.79303e-05j -0.0106502+0.00543485j 0.00356424-0.00300511j 0.00845655+0.00303362j 0.00430908-0.00449918j -0.00180354+0.00237824j 0.000210227+0.00295174j -0.00220936-0.0146393j -0.00520754-0.0053225j -0.00833875+0.00165441j 0.00613571-0.00146092j 0.00435069+0.00158379j -0.00362146-0.00237386j 0.0087805-0.00014191j 0.000828389+0.00922957j 0.0041284+0.00251267j -0.00089063+0.000480556j 3.35546e-05+0.00576185j -0.00299989+0.00222876j -0.00654391+0.00288991j -0.000357253+0.00445039j 
0.027494-0.00500108j 0.00386572+0.0118125j -0.0154555+0.0127944j 0.00216864+0.0162996j -0.0163836-0.00958719j 0.00513503+0.00244976j 8.51789e-05+0.00246067j -0.00177515+0.000438634j 0.00477887-0.00261136j -0.00244637-0.00244461j -0.00121474+0.000125624j 0.00338999-0.00272914j -0.00260609-0.00398177j -0.00279664-0.0052019j -0.00421954+0.00239713j 0.000763947-0.0067043j -0.0105801-0.000328095j -0.00638772-0.00260022j -0.00534791-0.0046742j -0.000280623+0.000561562j -0.00266448-0.00701181j 0.0014308-0.0124305j -0.00284975+0.000448616j -0.00595013+0.00910313j 0.00298244-0.00401885j -1.66991e-05-0.00148454j 0.000498892+0.00447696j 0.0100386+0.000848017j -0.00486461+0.00345464j 0.00202101+0.00119526j -0.00656788-0.00349165j 0.00698782+0.00363858j -0.00294411+0.00260903j 0.00548628+0.00170148j -3.24857e-05+0.00825492j 0.000150088-0.00175182j 0.00335803-0.00336154j -0.00434419+0.00103287j -0.0028714+0.0019656j 0.000880607+0.00262749j 
-0.0210408+0.00499387j -0.00198231-0.01371j -0.00835808+0.00777441j 0.0054502-2.85657e-05j -0.00325601-0.00851825j -0.00674255-0.00518942j -0.00236576+0.000105593j -0.0153496-0.0017738j 0.00702004-0.000948195j -0.00232769-0.0169297j -0.00153494+0.0176421j -0.00664893+0.00523943j 0.0151688-4.92942e-05j -0.00858511-0.000623228j -0.00351183-0.000449751j 0.000325027-0.0058747j -0.00598288+0.00227276j -0.00557715-0.00275788j -0.00785194-0.00711374j 0.000559166+0.000487262j -0.00446945+0.000535417j 0.00154097-0.00872923j 0.00753631+0.00308219j -0.00937856+0.0130771j 0.00513576-0.00528686j 3.37838e-05+0.00231132j -0.00237523-0.00990774j -0.000840884+0.00187842j -0.00310011-0.00268621j 0.00875798-0.00442724j -0.0103411-0.00558612j 0.0117834+0.00680545j 0.0053065-0.00265746j -0.00132795+0.00259803j -0.00423932+0.00103555j 3.4283e-06+0.00168394j 0.00268558-0.0108125j 0.00378433+0.00193193j 0.00287045-0.000309465j 0.000450326-0.00330484j 
0.000125022+2.02399e-05j -0.00122022-0.00572719j 4.89381e-05-0.00344635j -0.00139762+0.000999509j 0.00182122+0.00167168j 0.00234849+0.000650012j 0.0134995+0.00815832j 0.0018291-0.0109941j 0.0111368-0.0188738j -0.0110426-0.00430154j -0.0108152-0.00486091j -0.00524522-0.005075j -0.00633781-0.00269787j 0.00170148-0.00163754j -0.000654638+0.00245066j -0.00584605+0.00958364j 0.0135074-0.00445527j 0.016424+0.0136498j -0.00175247-0.00457918j 0.00221362-0.00050277j 0.018992-0.00398035j -0.00377153+0.0294124j -0.0142864-0.000368476j -0.0051946+0.00351123j 0.00109963-0.00204148j -0.00118524-0.00312807j 0.0121762+0.0144081j 0.000662178+0.00858977j 0.00329301+0.000532789j -0.0193223+0.00644106j -0.00295683-0.00238029j 0.00359722+0.000647938j 0.000294874+0.00642533j 0.000190956-0.00331217j -0.00126636+0.00510278j -0.000120821-0.001596j 0.000553193-0.000669206j -0.00103133+0.00221025j -0.00132176-0.000374992j 0.000796199+0.000409561j 
-0.00086089+0.000287651j -0.00449223-0.0118378j 0.00624719-0.00598858j -0.0033021+0.00932112j 0.000197064+0.0125576j 0.0150841+0.00481545j -0.000558611-0.00139461j 0.00819434+0.00056204j -0.00457923+0.00391938j 0.00398022+0.00559322j 0.00322634-0.00906742j -0.00125727+0.00215357j -0.00186029+0.00391213j 0.00796406+0.00476086j 0.00474023-0.00362039j 0.00122292+0.00267075j 0.00401842-0.00124722j -0.000128925-0.00172818j -0.00901784-0.00824867j 0.00130127+0.000627846j 0.000566705+0.00426255j 0.00147172+0.0021743j -0.00114052-0.000429761j -0.0104717+0.015585j 0.00459758-0.00765682j 0.000231073-0.000160266j 0.000130453+0.00123912j -0.000906378+0.00142438j -0.00155007+0.000406367j -0.000953824+0.00234887j -0.012205-0.00555632j 0.0149288+0.00633488j -0.000492182+0.00124921j 0.000988008+0.00233004j 0.000940898+0.0056896j -0.00107413+0.000367407j 0.00424407-0.010428j -0.00202433+4.19277e-05j -0.00135733+0.00203968j 0.00121094+0.00151965j 
0.00138786-0.00159864j 0.00345911+0.00614109j -0.00576564+0.00780676j 0.00447944+0.00134769j -0.00567349-0.00648173j -0.00436044-0.00261273j -0.00631842+0.00240555j -0.000507905+0.00591232j -0.000935941+0.00894627j 0.00312726+4.02311e-05j 0.0056174+0.00246663j 0.00435547+0.00290096j 0.00374574-0.00172402j -0.00123152-0.000270986j -0.00148664+7.66658e-05j 0.00193633+0.00809276j 0.0176902-0.000490646j 0.00328803-0.00130659j -0.00432423-0.00156418j 0.00112982-0.000215877j -0.00302079+0.0148034j 0.00173534+0.0121109j -0.000216409-0.00265611j -0.00177768+0.00766118j 0.000195571-0.00310394j 0.000718256+0.000610449j -0.0036326-0.00276424j -0.011581-0.00729104j 0.00255128-0.00180959j -0.00177607+0.00465495j -0.00566093-0.000562298j 0.00803704+0.000919742j -0.00183997-0.00410228j -0.00531113+0.00294524j 0.00862125-0.00173443j -0.00330771+0.00192253j 0.00230051-0.00615243j 0.00273154-0.00561228j -0.00135841+0.00462252j -0.00193756+0.000782547j 
0.000256084+0.0040656j -0.00823224-0.0090656j 0.00780406-0.0135714j -0.00752-0.00377662j 0.0105357+0.00733151j 0.00404658+0.00312557j 0.0108433+0.00328213j -0.00232089-0.00616592j 0.00784333-0.0178918j -0.0130477-0.00631464j -0.00678376+0.00149567j -0.0060165-0.000981719j -0.00128292-0.00374265j -0.000252516-0.00178234j -0.00234831+0.000914111j -0.00269925-0.00297359j -0.00472314+0.00610163j -0.0106906-0.00623915j -0.00147052+0.00032451j -0.000863774+0.00109871j -0.0161142+0.0056039j -0.00285883-0.0191261j 0.00480448-0.00159818j 0.000234532+0.00238915j 0.00026303-0.000989279j 0.00128858+0.000431949j -0.00851172-0.00362571j 0.00155306-0.0129789j -0.00374553+0.00291644j 0.0115723-0.00361511j -0.00126531-0.000488159j 0.00171944+0.00201861j -0.00605619-0.00238542j 0.00257621+0.0028355j 0.00646047+0.00291792j -0.00128566-0.000488158j 0.00396913-0.000875071j -0.003358-0.00446187j -0.00333219+0.0043146j -0.000849887+0.00400967j 
0.000316178-7.56774e-05j 0.000836948+0.000254027j -0.000911809+0.00292189j -2.95913e-05-9.80735e-06j -0.00318146-0.00210926j -0.00211278+0.00090745j -0.00419658+0.00125705j -0.00255478+0.0058293j -0.000405035+0.00563826j 0.00139342-0.000876332j 0.00485186+0.00656189j 0.00251373+0.000185247j 0.00233562-0.00190991j -0.0061102-0.00153034j -0.00288433+0.00252362j 0.00444891+0.00295086j 0.00950199-0.00258072j -0.00413653-0.00433883j 0.0028279+1.82232e-05j -0.000472545+0.000325939j -0.00613307+0.0131876j 0.0023244-0.000501914j -0.00287356-0.00189166j -0.000570533-0.00357558j 1.47441e-05+0.00213098j 0.000729451-0.000541429j -0.00437599+4.49718e-06j -0.00958139-0.00907363j -0.00164514+0.0040046j 0.00284459+0.00473604j 0.00287-0.00176816j -0.00186033+0.00193034j -0.00244763+0.000504294j 0.00229262+0.00648969j 0.0108747-0.00193856j -0.00315059+0.000909759j 0.00656357+0.00204712j -0.00501883-0.00169067j -0.00483816+0.00951077j 0.00135906+0.0060135j 
0.00123641-0.000352877j -0.00132961+0.00285719j -0.00289591-0.00261506j -0.000964601+0.00215945j 0.00252337-0.00118607j 0.00211534-0.000830685j 0.00497362-0.0046834j -0.000209912-0.00357618j -0.00437555-0.0095654j -0.00468515+0.00364967j -0.00351593-0.00293997j -0.00340796+0.000460111j -0.00372866+0.0017252j 0.0032168+0.00150048j 0.00221141-0.00107965j -0.00777196-0.00783263j -0.0159128+0.0116699j -0.00710311+0.00669232j -0.000220858+0.000301627j -0.00024756+0.00113787j -0.0036381-0.0084756j -0.0152162-0.0132842j 0.00229322+0.00163877j 0.000230683-0.000286136j 0.000530858-0.000530499j -0.00110443-0.000455612j 0.00349935+0.00349937j 0.00966777-0.000705367j 0.000355314+0.00164473j 0.00185459-0.0101723j -0.00014514+0.000182201j -0.000932265+0.00063813j 0.000182255+0.00541184j 0.0023587-0.00709409j -0.00629242+0.00260292j 0.00191192-0.00200805j -0.00216071-0.000241735j -0.0010385+0.00512663j 0.00306269-0.00507642j 0.00175192-0.00248294j 
5.8857e-05+0.000197851j -0.000624655-0.00061142j 0.000986968-0.00140187j -0.000790812-0.000150604j 0.000697099+0.0011783j 0.000683544+0.000667268j 0.00244936+0.00163714j 0.00127897-0.000754094j 0.00257675-0.00201216j -0.00121589-0.00101314j 0.0002453-0.0011104j -0.000554781-0.000839284j -0.000634271-0.000713882j -1.7582e-05+0.00071197j 0.000351508+0.000416748j 0.00365709-0.000411658j -0.000202166-0.00690016j -0.00146016-0.00308018j -1.51282e-05-0.000103849j -0.000238613-0.000144604j 0.00312899+0.00196335j 0.00561345-0.00259883j -0.00121643+0.000323446j 9.71765e-05+9.93458e-05j 5.24614e-06+0.000260347j 0.000322975-0.000426745j -0.00180632+0.00107421j -0.002581+0.00221934j -0.000365181+0.00056223j 0.00308884+0.0019797j -4.19254e-05-0.000151119j 0.000103511-0.000374131j -0.0019501-0.00012542j 0.0024669+0.00189685j 0.00142359-0.00278304j 3.48211e-05+0.00101398j 0.000987982-0.000896357j -0.00232243-0.000694773j 0.00102828+0.00287864j 0.00120658+0.00152514j 
