0.0202443-0.0741386j 0.212759+0.0473559j -0.0442397+0.149133j -0.000936618-0.345818j 0.0402235+0.192364j 0.135216+0.0144506j -0.0469029+0.0089381j 0.319889-0.106812j -0.301053+0.205046j -0.0136171+0.15845j 0.00342214-0.00895452j -0.00382621-0.0118273j -0.0224135-0.15905j 0.313386+0.203054j 0.312881+0.0968844j -0.0472629-0.00875771j -0.134125+0.0149259j 0.039338-0.194249j 0.000590995+0.345154j -0.0445232-0.148423j 0.212572-0.0476606j 0.0202982+0.0740786j 
-0.00293829-0.0134051j 0.0107531-0.00111633j -0.000894198-0.00159965j 0.00155419+0.000748398j 9.82497e-06-0.00154046j 0.00366566+0.000605203j -0.00225512-0.00200981j -0.000577264-0.00506948j 0.00872615-0.00493125j 0.00244159-0.00055699j 0.0072575+9.70683e-05j 0.00354024+0.000272538j -0.0037806-0.00974575j -0.000827495-0.0021158j -0.00339511+0.000357427j -0.0036704+0.000911397j -0.00338856-0.00286301j 0.00130511+0.000164871j -0.00223331-0.00650441j 0.00958315-0.00757503j 0.00412661-0.000105709j 0.00411333+0.00596774j 
4.13417e-05-0.000307805j 0.00065672+0.000999909j 0.00181817-0.00028217j 0.000677407+0.000237568j 0.000240333+0.000529496j 0.00102714-0.000967247j -0.00160279+0.000248526j -0.000852552-0.00103813j -0.000948398-0.000376259j 0.00130285+0.00327622j 0.00235174-0.00105224j 0.000718254-0.00133828j -0.000263892-0.000396891j -0.00279132-0.00174354j 0.000392614+0.00109877j -0.001635+0.00109037j -0.000821518-0.00122387j -0.00210144+0.000330117j 0.0010978-0.00151847j 0.000836435+0.000544747j 0.00223083+0.000838562j -0.00339797+0.00398583j 
0.00201971-0.00372676j -0.000828596-0.00278591j 0.00463373+0.00384372j -0.000724479+0.00357747j 4.62281e-06-0.00206872j -0.000750652+0.00207479j 0.00228359-0.00360619j 0.0017817+0.00232469j 0.00196015-0.0023727j -0.00588281+0.00177513j 0.000223167+0.00238148j 0.0010414+0.00129422j 0.00167698+0.00118722j 0.00291492-0.000628736j 0.000212151-0.0006432j 0.00232362-0.00314517j 0.00317089+0.00220003j 0.0035869-0.00364977j -0.000451605+0.00440684j 7.62834e-05-0.000839846j -0.000941868-0.000494521j 0.00589129-0.00841928j 
-0.00169247+0.00408589j 0.000595865+0.00358474j -0.00635768-0.00610418j -0.00170378-0.00658252j -0.00116993-0.000309681j 0.00126438-0.00328598j -0.00491003+0.00226736j -0.00142905-0.0013241j -0.00391161+0.00490629j 0.0116872-0.00246347j -0.00208624-0.00485504j -0.00712282+0.00123545j 0.000224845+0.00194803j -0.00722402+0.00192766j -0.00214167-0.00241525j -0.00150771+0.00546685j -0.00739003-0.00553585j -0.00719422+0.00914424j -0.000166596-0.00352451j -0.0042416-0.00359356j 0.00428127+0.00132465j -0.0107813+0.0112947j 
0.000744177-0.00185655j 0.000358475-0.00064812j 0.0029801+0.00142598j 0.000511768+0.00193808j 0.000432152-0.000253984j 2.82991e-05+0.000244365j 2.2274e-05-0.000828265j -9.40009e-05+0.000633184j 0.000342708-0.000934273j -0.00136177+0.00196708j 0.00156211+0.000178671j 0.00115993-0.000300912j 0.00069421-2.09728e-05j -3.03368e-05-0.000662548j 0.000224366+0.000774975j 0.000140087-0.000176422j 0.000988514+0.00098109j 0.000790944-0.00161956j 0.000210354+0.000461532j 0.00047201+0.000474245j 0.000835939-0.00044228j 0.00171794-0.000471963j 
-0.000100342-0.00110576j 3.36766e-05-0.000305436j 0.00133635+0.00114023j 0.00188043+0.00154457j 0.00279171+0.000242701j -6.93406e-05+0.000771064j -0.00217962+0.000273078j -0.000966633+0.00250215j -0.00051515+0.00249008j -6.74936e-06-0.00144379j 0.000674561-0.000359249j -0.000746721+0.00139833j 0.00219352+0.000314481j 0.00307925-0.000525448j -0.00295184+0.00117311j -0.000658658+0.00178924j 0.000732414+3.01965e-05j -0.000817659-0.0035944j -0.00129501-0.00140768j -0.00127895-0.000985512j 0.000188944-7.11009e-05j 0.00042647-0.000918885j 
0.00292694-0.013028j -0.00114179-0.00511561j 0.0155549+0.0016305j -0.00248075+0.00772074j -0.00696348-0.00338677j -0.000988872+0.00542102j -0.00301665-0.00728163j 0.00577678+0.00186855j 0.000544565-0.0051809j -0.00325262+0.00263102j 0.000196663+0.00261337j 0.00483356+0.00881478j 0.00883608+0.000159422j 0.00266191-0.00205944j -0.00575717-0.000920622j 0.00486059-0.00765729j 0.0025876+0.00345083j 0.00350651-0.00212903j 0.00285009+0.00938021j -0.00375222-0.00748828j 0.0033121-0.00215898j 0.00479356-0.0153994j 
0.000188276-0.000835496j -4.68013e-07+0.0013586j -0.00268266-0.00191988j -5.38204e-05+0.000109857j 0.00457603+0.000916837j 0.00539273-0.00594211j 0.00349539-0.000882477j -0.000843349+0.00104894j 0.00148087+0.00466088j -0.00628972-0.00179857j 0.00251917+0.0016442j -0.00762599-0.00759084j -0.00500838-0.00162339j -0.00212845+0.00175626j 0.00281843+0.00146556j -0.00202589+0.00301182j 0.00386096-0.00629663j 0.00229533-0.0017833j -0.00226504-0.00276737j -0.00230325+0.00446464j -0.00142417-0.000502893j 0.000107352+0.00181819j 
0.00112907+0.00165283j -0.00131534-0.00288315j 0.00517284+0.0116325j 0.00883166+0.00613893j 0.0100682-0.000904008j 0.000769643-0.000131843j 0.0138802-0.00491749j -0.00302572+0.00257442j 0.00431839-0.00975151j -0.0185931+0.0170927j 0.00890903+0.00513021j 0.00408949-0.0189015j -0.00992658+0.00103969j 0.00612308-0.00433222j 0.0149469+0.000776626j -0.00480383-0.0035974j 0.0162622+0.00305636j 0.00633937-0.0211746j -0.000610813-0.000103913j 0.0168938+0.0122166j -0.00954382+0.00147299j 0.0149231-0.0127533j 
-0.000319944+0.000670513j -2.93788e-05+0.000342405j 0.00255379+0.00187091j 0.00624841-0.000984329j 0.00792459-0.00344483j 0.00106635+0.000846253j -0.00298103+0.00557257j 0.000802725+0.00698133j 0.0026088+0.00601496j -0.00163451-0.00233853j -0.000185162-0.00256003j -0.000378334+0.00206786j 0.002331-0.00209189j 0.00394536-0.00485139j -0.00249636+0.00536753j 0.000976194+0.00565149j 0.000968494-0.000202048j -0.00602806-0.00524212j -0.00531772-0.00249975j -0.00330826+0.000306931j -0.000485432+0.000441059j 3.18299e-05-7.06619e-05j 
-0.00109645-0.000966682j -0.000114451-0.000443103j 0.00638066+0.00240268j 0.0123732-0.00140954j 0.015944-0.00792178j 0.00220742+0.00300799j -0.00569857+0.0100495j 0.00303422+0.0138246j 0.00597794+0.0122916j -0.00390416-0.00562658j 0.000815665-0.00391709j 3.09352e-05+0.00550085j 0.0059742-0.00501215j 0.00899576-0.0104339j -0.00701391+0.0122553j 0.00225511+0.0110759j 0.00268901-0.00156534j -0.0131728-0.0118723j -0.0110966-0.00489328j -0.00602466-0.000241654j 0.000485792-0.000281652j 0.00154599-0.000572882j 
0.000514683+0.00067124j 0.000315728-0.000715224j 0.00259074+0.00216362j 0.00079468-0.000469917j -0.00253936-0.000324978j -0.000878041+0.00523063j -0.000665554+0.00182674j -0.000587135-0.000237935j -0.00169414-0.00254932j 0.00406563-0.00035447j -0.00201077+3.22319e-05j 0.0070203+0.000391885j 0.00381602-0.000121061j 0.00169802-0.00239398j -0.00107746+0.000188571j -0.000211298-0.00209721j 0.000843225+0.00536025j -0.00178554+0.000713233j 0.00108429+0.000950564j 0.00172488-0.00272366j 0.000314381+0.000585165j 0.000376428-0.00162419j 
-0.000590642-0.00597991j -0.00206378+0.00201858j -0.0055274-0.0108602j -0.00377247+0.00434825j 0.00938403+0.00347181j 0.00279605-0.0231633j 0.0020376-0.0105148j 0.00524512+0.00101172j 0.00741484+0.00911804j -0.0203438+0.00238898j 0.0107979+0.000311528j -0.0310308+0.000634457j -0.0175575-0.00225967j -0.00685739+0.00948678j 0.0039042-0.00192946j 0.00269389+0.00805366j -0.00203697-0.0238663j 0.0107941-0.00422068j -0.00302664-0.0026658j -0.00736939+0.00961693j -0.00197417-0.00235098j -0.000804622+0.00161977j 
-0.00111392-0.0204605j 1.81802e-05-0.00315121j 0.0112143-0.00610573j -0.00255235+0.00893697j -0.00609572-0.0044391j 0.00459059+0.00350171j -0.00498232-0.00544787j 0.00571674-0.000273359j 0.00281853+0.00133187j -0.00384327-0.0024987j -0.000831758+0.00338886j 0.00440739+0.00827572j 0.0101726-0.0015246j 0.00122382+0.000499199j -0.00849137+0.00394945j 0.00324664-0.00849032j 0.00131483-0.000733258j 0.00319904-0.000484094j 0.00126182+0.00790517j -0.0125472-0.00520616j 0.00481384-0.00497864j 0.000323237-0.0128722j 
0.000727944+0.000461893j -0.00133548+0.000219186j -0.000312597-0.00670799j -0.00350073-0.00054824j 0.000358253+0.00419026j -0.00119465-0.00319908j -0.00482979+0.00390292j 0.00463414+0.00065191j 0.00120181+0.00633157j -0.00215614-0.00939521j -0.00100526-0.00134056j -0.00329839+0.0100872j -0.00154712-0.00608333j -0.00219894+0.000417267j -0.00558226+0.00342348j 0.00510137+0.00379737j -0.0056956-0.00316668j 0.00216941+0.00681602j -0.000695238-0.000997659j -0.00960053-0.00208834j 0.00236432-0.00156499j -0.00376907+0.00527344j 
-0.00597297-0.00433932j 0.00766005+0.00654226j -0.0202954+0.00543952j 0.00163039-0.00376454j 0.002646-0.012622j 0.00879315-0.00299842j 0.00518005+0.000294853j -0.0107784-0.00220214j 0.00565049+0.00551327j 0.00611141+0.000953605j -0.00496535+0.00128117j -0.00425648-0.0123657j 0.00428916+0.0129033j 0.00065714+0.00774346j 0.00473118-0.00021627j -0.00858734-0.000447056j -0.00233476-0.00199155j -0.00641355-0.000537154j -0.00731453-0.00179657j -0.00082102+0.0102593j -0.00111912+0.000440617j -0.0022329+0.00809939j 
-0.000538779-0.00115254j -0.000333472-0.000184258j 0.00690231+3.42657e-05j 0.00950377-0.00327568j 0.0108047-0.00948066j 0.00211094+0.000791609j -0.00224003+0.00889782j 0.00591833+0.0100989j 0.00752311+0.00808034j -0.00541985-0.00267527j 0.000440306-0.00368233j 0.000713547+0.00454164j 0.00258247-0.00525718j 0.0043326-0.0101152j -0.00225212+0.0113428j 0.00502481+0.00837904j 0.00205313-0.00206185j -0.0122728-0.00688899j -0.00979622-0.00100815j -0.00536402+0.00186762j 8.84884e-05-0.00021449j 0.00106615-0.00149328j 
-0.000699725+0.00337744j -0.000801933-0.000148119j 0.00330112+0.000963235j 0.00852628-0.00501891j 0.0106919-0.00789148j 0.00115525+0.00134844j -0.00123572+0.00946243j 0.00495695+0.00926802j 0.00634471+0.0070523j -0.00362629-0.00292534j -0.000582204-0.0032613j 0.00057068+0.00335939j 0.00101151-0.00516838j 0.00363411-0.00920926j -0.00139115+0.00909867j 0.00365327+0.00829328j 0.00102888-0.00151556j -0.0115435-0.0052384j -0.00859287-0.00237532j -0.0025667+0.00133936j -0.000363462+0.00029595j 0.00104238+0.00125018j 
-0.00763278-0.00287006j 0.00781322+0.00119769j -0.0089369+0.0117182j 0.0030555-0.00460134j -0.00452768-0.0130794j 0.0117749+0.00344037j 0.00516897+0.00181465j -0.0113668+0.00196629j 0.00203682+0.000986148j 0.0112783-0.00250116j -0.00636347+0.00423226j 0.00396422-0.0172518j 0.0145866+0.00752998j 0.00399541+0.000782336j 0.00321603+0.00158043j -0.0112663-0.00121716j 0.00469897+0.00501256j -0.0108558+0.000992137j -0.00574226+0.00136289j 0.00308843+0.00462651j 0.000225014+0.000796036j -0.000433271+0.0032162j 
0.0124959+0.018667j -0.00762045+0.000175768j 0.00892643-0.00397431j 0.00111832-0.00477708j 0.00634857+0.014845j -0.0106752+0.00642596j 0.000843012+0.00695698j 0.00513376-0.00043444j -0.00979033-0.00402543j -5.37663e-05+0.00103972j 0.00275743-0.00500551j 0.00689258+0.00239945j -0.0140309-0.00818162j -0.00366186-0.00876886j 0.00196749-0.00237981j 0.00598162+0.00426215j 0.00282082+0.00457215j 0.00198454+0.000686631j 0.00534122-0.0072359j 0.0094035-0.00842487j -0.00210467+0.00420668j 0.0014742+0.00296908j 
-0.00556364-0.0138407j -0.000602442-0.00229298j 0.00380494-0.00547811j -0.000140096+0.00678196j -0.00306102-0.00360596j 0.00331099-0.00165496j -0.00327713-0.00527941j 0.0036194-0.000644645j 0.00380879+0.000527481j -0.00569607+0.00146755j 0.00116428+0.00216236j -0.000723487+0.00460759j 0.00427531-0.000374225j 0.000941427+0.00221986j -0.00346321+0.00279404j 0.000717114-0.00553728j -9.72794e-05-0.00384051j 0.00272903-0.00306616j 0.000930079+0.00547733j -0.008702+0.000687351j 0.00141103-0.00437944j -0.000764349-0.00948801j 
0.00426675+0.00804436j -0.00173918+0.000707587j 0.00200521-0.000251681j 0.00144733-0.00500522j 0.00309427+0.000777536j -0.0029735+0.00185476j 0.00227954+0.0050395j 0.00280119+0.000971052j -0.000575341-0.000588264j -0.000180334+2.14113e-05j -0.00014124-0.00244935j 0.00273611+0.00016758j -0.00479653-0.00274177j -0.00156189-0.00509j 0.00265784+0.00144182j 0.00362609+0.00334719j 0.000766493+0.00151414j -0.00368785+0.00131226j -0.00133722-0.00181038j 0.0037198-0.000666633j -0.000968382+0.00206884j 0.000845209+0.00283916j 
-0.0026825-0.00845688j 0.000683209-0.000833531j 0.00200553-0.00327042j 0.000329857+0.00351122j -0.00157102-0.00198121j 0.00199461-0.000373818j -0.00162256-0.00304032j 0.00193641-0.000865438j 0.00280879-3.47741e-05j -0.00244975+0.000891717j 0.00149653+0.00133334j 0.000270994+0.00215582j 0.00224199-0.00127817j 0.000468107+0.000696403j -0.0018952+0.00144969j -4.07743e-05-0.00277969j 2.03829e-05-0.00213994j 0.0012723-0.00159705j 0.00057488+0.00215425j -0.00323812-6.53927e-05j 0.00107067-0.0022452j -0.000108068-0.00432868j 
0.00710248+0.00595218j -0.00248969+0.00187241j 0.00122952-0.00341858j 0.000725347-0.00224069j 0.00546803+0.00569254j -0.00452369+0.0047167j 0.000566348+0.00322648j 0.00214452-0.00199575j -0.00363095-0.000923172j 0.00053156+0.00138059j 0.000819281-0.00306723j 0.00452036+0.00125658j -0.008064-0.00199463j -0.00231097-0.00306676j 0.000516136-0.00163537j 0.00299641+0.000611652j 0.000689855+0.00207332j 0.00148395-0.000657543j 0.00171591-0.00472405j 0.00353718-0.00406465j -0.000980139+0.00258707j 9.7521e-05+0.00157374j 
-0.00828703-0.00593956j 0.000239752-0.00178387j -0.00114743-0.000237794j 0.00101315+0.00322905j -0.00405856-0.0037784j 0.00316419-0.00272927j -0.0022829-0.00271335j -0.000229222+0.000438743j 0.00279813-0.0001057j -0.00148245+0.000743217j -0.000236955+0.00216978j -0.00138266+0.000766711j 0.00566322+0.000715335j 0.00233896+0.00231772j -0.00113482+0.00196008j -0.00264308-0.00252627j -0.000856383-0.00164037j -0.000318127-0.00167886j 0.000421273+0.00404756j -0.00496769+0.00354156j -0.000225895-0.002923j -0.00206355-0.00455189j 
0.00226037-0.000929733j 0.000908885+0.000388047j 0.000102824-0.000188754j -0.000481648-0.000483981j 0.00150223-0.000215158j 0.000254084+0.00107829j 0.000753579+0.000224214j -0.000164752-0.000534094j 4.13337e-05+0.000194691j 0.000460935-0.000298128j 0.000167589-0.000461318j 0.000536111-0.000609475j -0.00149221+0.000190378j -0.000906131-0.000260726j -0.000259634-0.000344252j 0.000450661+0.000178984j 0.000185419-1.72222e-05j 0.000143012+0.000185444j -0.00100583-0.00129699j 0.001077-0.0019014j 0.000790854+0.000528107j 0.00130571+0.00113441j 
