0.0344366+0.0181263j 0.0376841-0.0317632j 0.025128+0.0307908j 0.0182615+0.0188747j 0.00473373+0.0324469j 0.0671849+0.00935475j -0.0020367+0.00816595j -0.000487265-0.0750842j 0.0551792+0.0485185j 0.0046338+0.0412266j 0.0385306+0.021274j 0.0103716-0.00547508j 0.0226396+0.022561j 0.0267945-0.0185654j 0.0141839-0.0160611j 0.0186346+0.0163239j -0.0173675+0.0176753j -0.0434946-0.00947539j 0.00173381+0.00499924j 0.039754+0.0124909j 0.0188517+0.00898992j 0.00710313+0.0073593j 0.00782438-0.0214725j -0.0385774+0.0346206j 0.00414269+0.0259641j -0.0389716-0.0309123j 0.066458+0.00647368j -0.0748843+0.061473j -0.0441967+0.0482013j 0.0533975-0.0384506j -0.0180578-0.0663841j -0.00175311-0.0174229j 0.024955-0.00247498j -0.0702389-0.0153507j 0.0181013-0.0555361j -0.0489618-0.0209732j -0.00570961+0.0289924j 0.0198151-0.0172811j -0.0341817+0.0154272j -0.0137393-0.0173422j -0.00624648-0.0487526j -0.00556297+2.9558e-05j -0.011626-0.00578759j -0.032842+0.0187149j 0.0225679-0.0198689j -0.0104765-0.0349048j 0.0149234+0.00262211j 0.0181525-0.0453496j 0.0256034+0.000406297j 0.0100937-0.0419832j -0.0477363-0.00950813j -0.0182729+0.0282989j -0.00407384-0.0347382j -0.0132672+0.0386597j -0.00119428+0.029484j -0.00862312-0.00538205j -0.0281466-0.0294811j -0.000864884-0.00776349j -0.020633+0.000907501j 0.0696737+0.0823735j -0.00476558-0.0110746j 0.0595871+0.00513375j 0.0368842-0.0470621j 0.06144+0.0349133j 0.040234+0.000324631j 0.0225201-0.00621055j 0.0145145-0.0280371j -0.0584718-0.0166812j -0.00672666-0.00245095j -0.0433347-0.0210572j -0.0192773-0.0174135j -0.00632591-0.0272713j 0.018959-0.0128996j 0.00294861-0.00178584j -0.02962+0.00911766j 0.0421173-0.00842521j -0.0489862-0.0252934j -0.0485906+0.0135004j 0.00584746+0.0224096j -0.0441055-0.0185242j -0.0346145+0.0302662j 0.036824+0.0153955j 0.0538049-0.0161407j -0.0303968-0.00479324j 0.0186648+0.00312861j 0.0343224-0.0106706j -0.15454+0.0543426j 0.0286363-0.0584675j -0.0121927+0.0192703j -0.0735867-0.0303088j 0.057778+0.0377768j -0.0192817+0.0449988j 
-0.0015438+0.000199203j 0.000143598-0.000327783j -0.00250024-0.0022878j -0.00216704+0.000728334j -0.00256236+0.00645472j 0.00669743+0.00231042j -0.00320558+0.00311944j -0.0136284+0.00252662j 0.000119246+0.00800283j 0.0039863-0.0044651j 0.00476655-0.00475361j -0.0030493-0.00299236j -0.00727257-0.00630429j -0.013017+0.0168244j -0.00889084-0.00513385j 0.0019171-0.0174659j -0.00767197+0.000883491j -0.0217821+0.0089813j 0.0110188-0.00253433j -0.0211762+0.00229861j 0.00220429+0.00763412j -0.00600608+0.0114864j 0.00849003-0.000852766j 0.00332772-0.00222727j 0.0128345+0.00283528j 0.000127744+0.000489508j -0.00256434-0.0105334j 0.00578458-0.0136106j -0.000830185-0.00415641j 0.00190544+0.0115245j 0.00450803-0.00264758j -0.00654586-0.00860008j 0.0106255-0.000824614j -0.00222362-0.000899192j -0.00533196-0.0174326j 0.00853114-0.00303359j 0.00828785+0.0028752j -0.00707827-0.0138007j -0.0015135+0.000152561j 0.0253644-0.008183j 0.00195318+0.00572983j 0.00855963-0.0120978j 0.0111524-0.00710042j 0.0142684+0.0040445j -0.00138702+0.0147797j 0.00857859+0.00256477j 0.00317979+0.0127023j 0.00765267+0.000969825j -0.00090883+0.00749467j -0.0251249+0.000783028j -0.00832463-0.000330015j -0.0007988+0.000878034j 0.00816719-0.00100315j -0.000188845+0.00297001j -0.00119933+0.00223397j 0.000106477+0.00341218j -0.00626879-0.00388732j 0.00720355+0.00126082j -0.00997222+0.000501282j 0.00567483-0.00553126j -0.0290245-0.00527818j -0.012339+0.00591293j -0.00366067-0.000930321j 0.000622111-0.00391817j -0.000637976-0.00156155j 0.000492615-0.000754825j 0.00131824+0.00678617j 0.00262344+0.00903294j -0.00731465+0.0114317j 0.00840684+0.00494352j -0.00158949-0.0115888j 0.00964824-0.00323293j 0.00255778+0.00278895j -0.00400045+0.00350357j 0.00179051-0.00056009j 0.0049657+0.00355319j 0.00540508-0.00129824j -0.00704805-0.00281667j 0.00199952+0.00348008j -0.0015801-0.00262157j -0.00133161+0.000390778j -0.000465438-0.00771358j -0.00590169-0.00283505j 0.000508408+0.00438348j 0.00473256-0.000396247j -0.00517984-0.00117806j 0.00760639-0.00489288j 0.0010037-0.00127938j -0.000148901-0.00372575j 0.00156943+0.00117817j -0.00153246-0.00258635j 0.0010664+0.00104695j 
-0.00409013-0.000995366j -0.00536518+0.00423867j 0.00235809+0.00530843j -0.00526612+0.00466303j -0.0108674-0.00617814j -0.000962788-0.00828382j -0.00507184-0.00597354j 0.0102732+0.00108285j -0.00609773-0.0133468j 0.000249873+0.00621405j 0.00905872-0.0113311j 0.00752589+0.00877448j -0.00789029-0.0122389j -0.000181916+0.00676955j 0.00211695-0.0201509j 0.00543479-0.0068383j 0.00688975+0.000390795j -0.00189834+0.00567083j 0.00766305+0.00804135j -0.00736436+0.00408509j -0.00887312-0.00503791j -0.0143069+0.00696002j -0.000492762-0.022441j -0.0148235+0.00680352j -0.00760151+0.0143014j -0.00889245-0.037526j -0.0177919-0.00633665j 0.00572099-0.0169316j 0.0163861+0.0223892j 0.00192304-0.0196148j -0.0123947-0.0100642j -0.00524605-0.00446777j -0.00875193+0.00896471j -0.0177964+0.0023902j -0.0170765-0.00621403j -0.00470062-0.000793972j 0.00918447-0.0109815j -0.00424071-0.0107154j 0.016952+0.00774866j -0.0109667-0.0090396j 0.018818-0.00294337j 0.0560508-0.00677398j 0.00011275+0.00116362j -0.0138652+0.0127828j 0.00610148+0.00140745j -0.0131459-0.00981515j 0.00781286+0.00169909j -0.00914548-0.00480343j -0.0201835-0.00242878j 0.0103849+0.00537911j 0.0176518+0.00563214j -0.00133239-0.00152681j 0.00749587-0.0211388j -0.0144085-0.013845j -0.0092827+0.000204061j 0.00862857-0.00354169j -0.00539935-0.0101801j -0.0103787-0.0228335j 0.0115307-0.0084388j -0.00533546-0.00635704j 0.0133614+0.0146662j 0.00372463-0.00459971j -0.00421552-5.91605e-05j -0.00295321-0.000740541j -0.0099432-0.0154961j 0.00536453-0.00709943j -0.0140286-0.0213265j -0.000217086-0.0077181j -0.00657992-0.0331961j -0.00686648-0.0198504j 0.0223007-0.0233827j 0.0046908+0.000651156j 0.00238438-0.0175332j 0.00623537-0.00602158j -0.00973536-0.0200044j 0.00763648-0.0103071j -0.0226714+0.00685213j 0.0129699-0.00772078j -0.00474147+0.0126292j 0.00414906-0.0068488j -0.00110155-0.0179711j 0.00159636+0.0156237j 0.0281533+0.00384166j 0.00630094+0.00494213j 0.00237635-0.00628343j -0.00323216+0.00402023j -0.00935983+0.0014726j -0.00530575+0.00385832j -0.00394556+0.0019604j 0.000490993-0.00671066j -0.000784829+0.00223933j -0.000843621-0.000672274j 
0.00616635+0.000267919j 0.00202915-0.00101317j -0.0022546-0.0001992j 0.00872473+0.00741123j -0.00695913+0.00272897j -0.00508387-0.00177284j 0.00129691+0.0138065j 0.00414027-0.00399435j 0.00810658+0.00971613j 0.00671378-0.00451328j -0.000566179-0.00401094j 0.00562471+7.63839e-05j 0.0131473+0.0082255j -0.00733873+0.0237582j -0.00264938+0.00015887j 0.00446102-0.00778482j -0.016123+0.0147849j -0.00725648-0.000578271j 0.00733457+0.0052508j -0.0109458+0.00661244j -0.00175659-0.000702657j 0.0081262-0.00800915j 0.0006825+0.016854j 0.0021206-0.0012383j 0.00412477-0.00361498j -0.007259+0.0177242j 0.00984833+0.0110412j -0.0139625+0.0221976j -0.0158498-0.0111465j -0.00635858+0.00371249j 0.0125315+0.00712004j -0.01852-0.00153828j -0.00149038-0.00919022j -0.00851906-0.00727893j 0.0223236+0.0131832j -0.00301504+0.00776296j 0.0085643+0.0193907j 0.00155718-0.00612255j -0.0135021-0.00269828j 0.00560411-0.000480549j 0.00153214+0.000409164j -0.0126919+0.00940817j 0.00754569-0.00303815j 0.0135722+0.012321j -0.0018332+0.00272574j 0.0178583+0.00262568j -0.0236576-0.000313131j 1.34922e-05+0.00314083j -0.00544148-0.00858418j -0.0135362+0.00129965j -0.00274819+0.00503367j 0.00310164+0.000319156j -0.00198275+0.0254765j 0.0108505+0.000949356j -0.00841875-0.00249793j -0.0019398+0.00797893j 0.00750616+0.017674j 0.00453006+0.0129918j 0.00554164+0.0127914j 0.00831696+0.00587498j 0.00158599-0.000166245j 0.0119216-0.00834242j -0.00374606+0.00364345j 0.0214291-0.00575928j -0.00821198+0.0106486j 0.013732+0.0076382j 0.00844682+0.00452017j -0.00456927-0.0026238j 0.0109841+0.00148116j -0.0136385+0.00212687j -0.024957+0.0355563j 0.00173177+0.000623588j -0.00433896+0.012502j -0.00981312+0.0141563j -0.00351619+0.0222332j -0.0109735+0.00608485j 0.00559191-0.00723697j -0.00442225+0.000587481j 0.00953263-0.010469j 0.00960488-0.00773829j 0.0014615+0.00116375j 0.000442394+0.00229442j -0.0105713+0.00345201j -0.00622557-0.00534191j -0.0112339+0.00416361j 0.0105146-0.00173083j -0.00438952+0.00111287j 0.000734082-0.00288519j 0.000278801+0.00859889j 0.000495315+0.000426206j 0.00612926+0.000557046j -0.0017947+0.000489635j 
0.0053161-0.00452346j -0.00481482+0.00226547j 0.00293427-0.00185785j 0.00546299+0.00486405j -0.0033482+0.00162162j -0.00130056-0.00270224j -0.00343793+0.00884746j 0.00399585-0.0141594j -0.00205769+0.00868802j 0.00195236+0.00654858j -0.0114381+0.00417385j 0.00251724-0.000412688j -0.00927802+0.00187213j 0.00412453-0.00357003j -0.00572233+0.00396638j -0.00618689+0.00129666j -0.0043992-0.00204128j 0.00122074+0.00451432j -0.00183358-0.0033689j 0.00770443-0.00639524j -0.00354414-0.00113612j -0.000570674+0.00710567j 0.0022749+0.00411071j 0.0179595-0.00103419j 0.00887669-0.00214915j -0.00234999-0.00145128j 0.000417589+0.016785j 0.00888377+0.00821355j 0.00556034-0.00725515j 0.0011932-0.00192763j -0.0107343-0.0039472j 0.00823615+0.00132136j 0.000254494+0.00725453j -0.000892835-0.00126499j 0.0101181+0.00866313j -0.0039485+0.00914732j 0.00358209+0.0111488j -0.00841514+0.00183499j 0.00429751-0.00019808j 0.00496092-0.00188173j 0.0047698+0.000512706j 0.0152073-0.00320959j -0.00163447+0.00637041j -0.000906077+0.0102533j -0.000151437+0.00760069j -0.00143385-0.000388105j 0.00766409+0.000783478j 0.00321575-0.0105745j -0.00431621-0.00980333j 0.00843402+0.00832235j 0.00124489+0.0119512j 0.00465999+0.00559043j -0.00681616-0.0154247j 0.00479777-0.0173141j 0.000550381+0.00108109j 0.00829488-0.00192113j -0.0214013-0.00145807j 0.00455342-0.0137416j 0.00679381-0.00297623j 0.00577167-0.00916899j -0.00744214+0.00957359j -0.0131627+0.00358376j -0.00252455-0.00145419j 0.00553903+0.000606195j -0.0186065+0.00434051j 0.0142769+0.00903046j -0.00658439+0.0152454j -0.0119445-0.00184275j -0.000960788-0.0111012j 0.00615005+0.00953188j 0.00724527-0.0135408j -0.0125737-0.0129998j 0.00471803+0.00103562j 0.00980118+0.00727724j 0.0031232-0.000524165j -0.00493862+0.00475924j 0.00789735-0.0139881j -0.00022169-0.000791421j -0.00734088+0.000361374j 0.00558235-0.00714966j -0.0173918-0.0150541j -0.00271863+0.00231767j -0.00583784-0.000916402j -0.00503384-0.0104904j 0.00701439+0.0221092j -0.00833546+0.00601857j 0.0094467+0.00987557j -0.0050677+0.00208954j 0.00342451-0.00372492j -0.00755188-0.00382225j 0.00190559+0.0015908j 0.0215595+0.0103501j 
-0.0120299+0.0051124j 0.00577909+0.00356196j -0.00355527-0.00101582j -0.0152476-0.00821644j 0.00863976-0.00656703j -0.00292653+0.00498538j 0.00270942-0.000398849j -0.0112267+0.00416909j 0.00461081-0.00774674j -0.00811596+0.00698538j 0.00165783+0.00418747j -0.0194924-0.00352803j -0.00320191-0.00633097j -0.00912773+0.00874572j -0.00360959-0.00124846j -0.000311545-0.00174932j -0.00646588+0.00654315j 0.00701664+0.00587464j -0.00170082-0.00470728j -0.00266804-0.00708192j -0.00178913+0.0118929j 0.00814416+0.00663448j -0.00385671-0.0106785j -0.00107505-0.00531059j 0.00541291+0.00105401j -0.0028293-0.0184054j -0.0140339-0.000315704j -0.0065894-0.00256915j -0.00561957+0.0098218j -0.00714866-0.00849272j 0.00667426-0.00557385j 0.0171638+0.0172104j 0.00395207+0.0107594j 0.00351511+0.00978829j -0.0174746+0.00517802j -0.00656847+0.0117774j 0.00524922-0.0102256j 0.00206341-0.00978381j 0.00589269-0.0070574j -0.0128455+0.00989459j 0.000552474+0.00242932j 0.00718377-0.00114956j 0.00457251-0.00235145j -0.00327515-0.00535421j -0.000944149-0.00772741j -0.0112936-0.00137901j 0.00645529-0.0148337j -0.00989196-0.00688632j -0.00963593-0.00790851j 0.000301713-0.000629659j -0.00754441-0.00803387j -0.00857278+0.0144067j -0.00700791+0.0105902j -0.00592372+0.0109985j -0.00571649-0.00978508j -0.00698963+0.00537194j 0.0175953+0.00461938j 0.00348486-0.0050038j -0.0133329-0.00148091j -0.0323947+0.0194364j -0.00416821+0.00207878j -0.00601793-0.00335809j 0.00922789+0.00306268j -0.00117542-0.0134805j -0.0174114+0.000167236j 0.0100138-0.00101657j -0.0200208+0.000693134j -0.00579909+0.00521335j 0.00368209+0.00926796j 0.00722725-0.0122359j -0.00353861-0.0057502j 0.00439314+0.00470154j 0.00593841-0.00158378j -0.00233846-0.00205638j 0.00173658-0.00635888j -0.00285763-0.00675504j 0.00302389+0.0070483j -0.00426488-0.00819891j -0.00870501+0.00754786j -0.00348054+0.00664659j 0.000597729-0.00432328j 0.00511318-0.0164092j -0.00138547+0.0129739j 0.00420831+0.0140872j 0.0140755-0.0134668j 0.0049439+0.00467339j -0.00387014-0.00610676j 0.00982547+0.00501533j 0.0088894-0.000920163j 0.00771018+0.000718427j -0.0143283-0.00214691j -0.0136341-0.00590342j 
-0.00286485-0.000857139j -0.000865888+0.00236981j -0.00221365-0.00811459j -0.00548018+0.000229746j 4.71159e-05+0.00821443j -0.00726807+0.0104619j -0.0183749-0.0038632j 0.00365352+0.00651274j -0.0028138+0.00167506j -0.00119205-0.000697427j -0.00530188+0.000150934j 0.00795028-0.00690877j -0.00821719-0.00153509j 0.00598352+0.00155382j -0.000762748-0.000110704j 0.00310225-0.0104366j 0.00169246-0.000155988j -0.00198692+0.00373708j 0.00188172-0.00499061j -0.00606318-0.00246836j -0.0128552+0.0024228j -0.00539733+0.00352853j 0.00326597-0.00723855j 0.00143452-0.00158045j 0.0049737+0.00856104j -0.00621714+0.00426897j -0.000344457-0.000444211j -0.01486-0.00232296j 0.000481822-0.00758385j 0.0104616-0.00509819j 0.000438188-0.00175668j 0.00357917+0.00231511j -0.00626758-0.000474765j -0.00758994-0.00206894j -0.000319697+0.00475505j -0.00489564+0.0118664j -0.000578285+0.00444975j 0.00637663-0.00252954j 0.00081844-0.000167123j 0.00910481-0.00331528j 0.000161273+0.00659897j -0.00479748+0.00502359j 0.00650215+0.00210886j -0.0028406-0.00965641j 0.00697159+0.0045164j 0.0169066+0.00863082j 0.00312612+0.00347171j -0.0045823-0.000331499j -0.0050152+0.00409205j 0.000243912-0.00359697j -0.00228018-0.0047487j -0.00335332+0.00205657j -0.0132607+0.0124086j 0.000626563+0.0039951j -0.00430647+0.00323369j -0.00496336-0.0012129j 0.0059662+0.00943148j -0.00421598+0.00929661j -0.00407213-0.00799832j -0.00560973+0.00364048j 0.00597597+0.0154557j -0.00569538-0.00175196j 0.00313843+0.00175177j -0.00245354+0.0198481j 0.0143504-0.0097104j -0.00692882-0.00771274j 0.0133992-0.00564849j 0.00878073+0.00486124j -0.00451041-0.00311018j 0.00882133-0.00457954j 0.009796+0.00808j -0.00239186+0.00590598j -0.00991105+0.00766543j -0.00474972+0.00349548j -0.00833217-0.00618813j -0.00474095-0.000781871j 0.000339852+0.00375973j 0.0107784+0.0167156j -0.0102664-0.0261592j 0.00973375+0.00160161j -0.0075987-0.00554857j -0.00164529-0.00413886j -0.00609549+0.00294686j -0.00857179-0.00103871j 0.00690802-0.00233235j 0.00238794+0.00428089j 0.00352593+0.0114862j 0.00398446+0.0126784j 0.0048567+0.000787525j -0.00485408+0.000911438j -0.0123489+0.001119j 0.00366341+0.00136977j 
0.0015683-0.0013414j -0.0022131-0.000844255j 0.00443553+0.00738586j 0.00558348+0.000411962j -0.00956276-0.00355551j -0.00981503-0.00464102j 0.00903153-0.0107934j 0.00608109-0.00299099j -0.0122118-0.000836309j -0.00360643+0.00378612j 0.00197642-0.00501602j 0.00322876+0.00251938j -0.00400781+0.00038488j 0.00347263-0.00685804j 0.000598899+0.00174888j 0.00223751+0.00440348j 0.00790313-0.00116399j 0.00563083-0.00188565j -0.00116322+0.00383037j -0.00395339-0.00738066j 0.00572756-0.00514715j -0.00311714+0.00572912j -1.88203e-05-0.00923304j -0.00693756-0.000221914j -0.00178081+0.00114545j 0.0051838-0.00660808j -0.010865-0.0064637j 0.00205704-0.0127734j 0.00811176-0.00189315j -0.000468084-0.00129022j -0.00336725+0.00407385j 0.00252379-0.00706035j -0.00733288+0.00646056j 0.00103511+0.0107397j -0.00530506+0.00307474j -0.000269835-0.00648831j 0.00861706-0.0155007j -0.00171553+0.00512836j 0.0026155-0.00293699j -0.00866289-0.00148171j 0.00298228-0.00401975j 0.0133238-0.00675404j -0.00460664+0.000464433j 0.00155633+0.00779255j -0.00217648-0.00304359j -0.0139086-0.00230445j 0.00344844-0.00490764j -0.000808734+0.0027247j -0.00407187+0.00236872j 0.00392844+0.00529483j -0.000866249+0.00462684j 0.00338935-0.00466683j 0.000165501-0.00991258j 0.000870787-0.00502091j 0.000323108-0.00679932j 0.0054121-0.00486845j -0.0124364-0.0137771j -0.00653648-0.00253225j 0.00913197-0.0046736j 0.00522445-0.00316851j -0.00921275+0.00616206j -0.0122596+0.00430904j -0.00252924-0.00443834j 0.00403158+0.00653131j -0.00610666-0.0105015j -0.00630777-0.00998751j -0.00561812-0.00389266j -0.0108023+0.00607709j -0.00906694-0.00699092j -0.00302026-0.00722236j -0.00248155-0.00746232j 0.0165661-0.000828111j 0.0136685-0.00409003j -0.00347793-0.00311261j 0.00876543-0.00258387j -0.00792172-0.0133888j -0.00972021+0.00414892j 0.00764788+0.0024472j -0.00898849+0.00599561j 0.00573006+0.000786276j -0.00245698-0.0117915j 0.00251756+0.0109255j 0.0035665-0.0122381j -0.0133722+0.008985j 0.00737827+0.00313136j 0.0034212-0.00861361j 0.0120424+0.00294614j 0.00731998+0.00394864j -0.00627803+0.00757747j 0.00641859+0.00621332j 0.00429831-0.0043711j -0.00226837-0.00546337j 
-0.00682914+0.0013419j 0.000827742+0.00710167j -0.00545138+0.00531193j -0.00342697-0.0027356j 0.0037054-0.00995489j -0.000883321-0.00432192j -0.000892146-0.00205057j -0.00513625+0.00923267j -0.00498536-0.00565195j 0.00279661-0.00366997j 0.00295507+0.00121261j -0.00325122+0.00606514j -0.00279422-0.00282844j -0.000786539+0.00591512j 0.00277459-0.00665023j 0.0013155+0.00283486j 0.00716815-0.0061379j 0.00192412+0.0057338j -0.00076147+0.00168051j -0.00776431+0.00193443j -0.00695412-0.00142349j 0.00136836+0.00273418j -0.00222449+0.00168859j -0.0062247-0.00733745j 0.00321384-0.00322902j -0.00449085-0.00763734j -0.00231574+0.00379804j 0.00511032+0.00203966j 0.00138442-0.00143397j -0.000178103+0.000907324j 3.72611e-05-0.000364837j 0.00554207+0.00895485j 0.0058275-0.000214384j 0.00353997-0.0112245j -0.00085275+0.0143456j 0.0029417+0.00106784j -0.00561205-0.00265684j -0.000266825+0.00202821j 0.00448197-0.00109513j 0.000163413-0.00164437j 0.00510178-0.00453063j -0.00410163+0.0035891j 0.000742123+0.00170165j -0.00250247+0.00713861j 0.00292295+0.00337689j -0.00118011+0.00439709j -0.000253969+0.00156606j -0.00524876-0.00362097j -0.00342421-0.00685266j 0.00243671+0.000336023j 0.00319664-0.00269782j -0.00079244-0.00452773j 0.0125502-0.00663955j -0.00364015-0.015849j -0.00676869-0.00454275j -0.00228825-0.000895415j 0.00178642+0.0124435j -0.00710552-0.0149417j -0.00227374-0.000812753j -0.00870324-0.00389171j 0.00525504+0.00413028j -0.00887314-0.0135152j -0.00172147+0.0107179j -0.0015919-0.00138925j -0.00768489+0.000732463j -0.00922994-0.00542612j -0.00900385+0.00628j -0.000357746-0.011384j -0.000919805-0.00878693j 0.00158162+0.00142523j 0.00784267+0.00184633j 0.00547361+0.00207687j -0.00896403+0.00471862j 0.00184643+0.00245098j 0.000652422-0.00518635j -0.00769569+0.00370124j -0.00443069-0.00858838j 0.0114159-0.00842528j 0.0107408-0.00104948j -0.00353003+0.00923277j -0.0105209-0.00860029j -0.00202964+0.00774183j -0.00392931+0.00492026j -0.00651284-0.00956878j -0.00134375-0.00353915j 0.00229792-0.00244621j 0.0102295+0.0195614j 0.0020017+0.0100215j 0.00362476-0.00300794j -0.000235934+0.0284989j -0.00591167+0.00119213j -0.00464179-0.0124865j 
0.0039769-0.00394988j -0.00336522-0.00269268j 0.0066715-0.0064122j 0.00919187+0.00344066j -0.0052212+0.00437604j -0.00293161-0.000704788j 0.002771+0.00608982j 0.00961682-0.00645778j 0.00598003-0.00179668j -0.00141102+0.00263819j 0.00117444-0.00123325j 0.00984103-0.00260116j 0.00478727-0.0034176j -0.000349532-0.00709603j -0.00767007+0.000893359j 0.00219355+0.000888664j -0.00402866+0.000474648j 0.00173575-0.00182502j 0.00326591-0.00029569j 0.00900734-0.00395946j -0.00256071+0.00376359j -0.00738455-0.000243913j 0.00244188-0.00289697j 0.00510458+0.00439455j -0.00807021+0.00102809j -0.00915504-0.00427359j 0.00763154+0.00131752j 0.0125225-0.0169224j 0.00175246+0.00514866j -0.000246402-0.00235408j -0.00398367+0.00273429j -0.0152573-0.00835907j 0.000720127+0.00949854j 0.000356584+0.00854106j -0.00995212-0.00477749j -0.0109571+0.00376716j 0.000444318+0.00484206j -0.0014475+0.00231269j 0.00227896-0.005643j 0.00351947-0.00568528j -0.00369636-0.000300439j -0.00636409+0.00161802j 0.00414238+0.00186685j 0.00826383+0.0016219j -0.00224324+9.75148e-05j -0.00929177-0.00549839j 0.00345132+0.000471005j -0.00552491+0.00603075j -0.00472875+0.00662762j -0.00463836+0.00243801j -0.000926715+0.0146143j 0.00852605+0.0130757j -0.0121835-0.00136549j 0.00386778+0.00508897j 0.00369149+0.00049051j 0.00859734+0.00242695j 0.0108185-0.0055349j 0.00868039+0.00231056j 0.000292006+0.00240394j -0.00433213-0.00521089j -0.0017935-0.0078002j 0.00504183+0.00784197j 0.00165886-0.00500318j 0.00122658-0.00578096j -0.00719546+0.00192452j -0.00331693-0.0110811j -0.0215671-0.0011472j -0.00112324+0.00430612j 0.00619132-4.01976e-05j 0.00592729+0.00257475j -0.000761627+0.00532159j -2.92488e-05+0.00314188j 0.00256798+0.0049797j -0.000234946+0.00357377j 0.000941687+0.00019561j 0.0067246-0.00442747j 0.000448746+0.000411626j 0.00371664+0.0122235j 0.0080742-0.00240707j 0.0145127-0.00842697j 0.00245169-0.00524802j 0.0107477-0.00410962j 0.00842222+0.00765227j 0.000843287+0.0198565j -0.00993341-0.0119811j -0.0115118+0.0169961j -0.00618771-0.0128229j -0.00141825-0.0131373j -0.0122903-0.00186946j -0.00396175-0.0383228j 0.00738365-0.00453923j 0.0114199+0.0165377j 
0.00674437+0.000111602j 2.27969e-05-0.00279129j 0.00695602+0.00178164j -0.00740838+0.00478995j -0.0156114+0.00938529j 0.00192469+0.00591559j 0.000785598+0.00517057j 0.00781894-0.0238112j -0.00399536+0.0075116j -0.00128878+0.00957884j -0.00579765-0.00271246j -0.0045252-0.00110485j 0.00439595+0.00246246j 0.00614253-0.0092197j -0.000388098-0.00112769j 0.00171821-0.00179307j -0.00265594-0.00988007j -0.00877674-0.0133634j 0.001436+0.0066643j 0.00185983+0.0140728j 0.00283346+0.00389471j 0.0111022-0.00377956j -0.00501433+0.000358385j 0.00294549+0.0190115j -0.0051869+0.00831519j 0.00374606-0.0149972j -0.0084904+0.00391982j -0.00730606+0.00372013j -0.0131312+0.00498096j 0.00484335+0.000465058j -0.00675866+0.000112931j 0.0115555-0.00714587j -0.00449679-0.00367279j -0.00784132+0.00923608j 0.00567936-0.00559896j -0.00451455-0.00532699j -0.00337362-0.00616657j 0.00164482+2.09595e-05j 0.00134355+0.0075413j -0.00247445+0.0050462j -0.0019668-0.00243152j 0.0168119-0.0141535j -0.00788564+0.00116389j -0.000674695+0.00445279j -0.00108583-0.00216315j 0.0155979+0.00357691j -0.00854431-0.00619545j 0.00857093-0.00324934j 0.00791105-0.0021878j -0.00244459+0.000620686j 0.0105323-0.00830126j 0.00265027+0.00336905j -0.00436267-0.0075621j -0.00441503-0.00155602j 0.0123636+0.00372193j -0.00284973-0.000481572j 0.00068293-0.00176175j -0.00165337-0.00268384j -0.0031139-0.00753939j 0.0166073+0.0030795j 0.004621+0.00488766j -0.00810872+0.00661949j -0.00582403+0.000873312j 0.0186235+0.00653546j -0.0101813+2.87149e-07j 0.00309804-0.00278327j 0.0293657-0.00687515j -0.02947+0.00640037j -0.00730775+0.00813486j -0.00610569-0.00569645j -0.00118779+0.00425441j -0.00663926-0.0127914j -0.00365642+0.000994909j -0.00207291+0.00350266j 0.00609216+0.0027248j -0.000799618+0.00213896j -0.0045796-0.00122537j 0.0121545+0.00221009j 0.01112+0.0027563j 0.00293687-0.000266339j 0.00261064-0.00903026j -8.3424e-05+0.00938393j 0.00688097-0.00583619j 0.00976678+0.000662027j -0.0101807+0.00575263j 0.00949991-0.00909643j -0.00916499-0.00275565j -0.0128398+0.00180276j -0.00652574+0.000276753j -0.0147344-0.000508234j 0.0113195+0.00676328j -0.00071218-0.0022542j 
