-0.0544315-0j -0.00553797-0j -0.00559536-0j -0.00318732-0j -0.00046005-0j -0.0039441-0j -0.00230073-0j -0.000569282-0j -0.000332081-0j -0.0022467-0j -0.000397165-0j -0.00262115-0j -3.30971e-05-0j -0.00160512-0j -0.00229351-0j -0.000463359-0j -0.000283748-0j -0.000946025-0j -3.86133e-05-0j -0.000405439-0j -2.36457e-05-0j -0.000167235-0j -3.37866e-05-0j -1.39363e-05-0j -0.00173483-0j -0.000289138-0j -0.0019597-0j -0.00017706-0j -3.61423e-05-0j -0.00160009-0j -2.12971e-06-0j -0.00161667-0j -0.000326617-0j -0.00140008-0j -0.000200011-0j -0.000266681-0j -0.001155-0j -4.08271e-05-0j -0.000163308-0j -0.000269445-0j -2.40576e-06-0j -0.00036903-0j -3.33352e-05-0j -0.000165001-0j -0.000233346-0j -0.000142895-0j -1.96429e-06-0j -0.000192501-0j -3.36806e-05-0j -2.91683e-05-0j -0.000117882-0j -1.98465e-06-0j -6.15049e-05-0j -2.40626e-05-0j -3.76639e-05-0j -1.71876e-06-0j -7.68812e-06-0j -1.4179e-06-0j -4.53027e-07-0j 
-7.36632e-06-0j 0.0001436-0j 0.000145088-0j -4.31346e-07-0j -0.00170828-0j -5.33763e-07-0j -3.11362e-07-0j -0.00211388-0j -0.0012331-0j 4.38939e-05-0j 1.02986e-05-0j 5.12095e-05-0j 0.0116297-0j 3.13593e-05-0j 4.48083e-05-0j 1.2015e-05-0j 7.35764e-06-0j 1.84825e-05-0j 0.013568-0j 1.05131e-05-0j 0.00830869-0j 4.33643e-06-0j 0.011872-0j 0.00489696-0j -2.34778e-07-0j -0.00108235-0j -2.6521e-07-0j -2.39619e-08-0j -0.000134205-0j -2.16543e-07-0j -0.0341428-0j -2.18787e-07-0j -0.00122265-0j -1.89475e-07-0j -2.70679e-08-0j -0.000998287-0j -1.56309e-07-0j -0.000151601-0j -2.21008e-08-0j -0.00100863-0j -0.0385683-0j -4.99415e-08-0j -0.000123782-0j -2.23299e-08-0j -0.000873501-0j -1.93382e-08-0j -0.0314909-0j -0.000720602-0j -0.000125064-0j -0.000108309-0j -1.59532e-08-0j -0.0318173-0j -0.000230236-0j -8.93503e-05-0j -5.09713e-09-0j -0.0275546-0j -2.85479e-05-0j -0.0227313-0j -0.00726278-0j 
-9.02186e-06-0j 0.000131676-0j 0.00013304-0j 0.000101542-0j -0.0010388-0j 0.000125652-0j 7.32972e-05-0j -0.00128545-0j -0.000749843-0j -3.72385e-07-0j -0.00181511-0j -4.34449e-07-0j 0.00344798-0j -2.66044e-07-0j -3.80143e-07-0j -0.00211763-0j -0.00129678-0j -1.56801e-07-0j 0.00402264-0j -0.00185293-0j 0.00246336-0j -0.000764293-0j 0.00351981-0j 0.00145185-0j -2.87543e-07-0j 6.87483e-06-0j -3.24815e-07-0j -0.000536458-0j 0.0156862-0j -2.6521e-07-0j 0.000916528-0j -2.67958e-07-0j 7.76594e-06-0j -2.32059e-07-0j -0.000605994-0j 6.34087e-06-0j -1.91439e-07-0j 0.0177195-0j -0.000494792-0j 6.40658e-06-0j 0.00103533-0j -6.11656e-08-0j 0.0144679-0j -0.000499919-0j 5.54826e-06-0j -0.000432943-0j 0.000845342-0j 4.57708e-06-0j 0.0146178-0j 0.0126594-0j -0.00035716-0j 0.000854103-0j 1.4624e-06-0j 0.0104435-0j -0.000114114-0j 0.000739675-0j 0.00333674-0j 0.0006102-0j 0.000194962-0j 
5.82359e-07-0j -1.42056e-05-0j -1.43528e-05-0j -3.26022e-06-0j 0.000225872-0j -4.03431e-06-0j -2.35335e-06-0j 0.000279502-0j 0.000163043-0j 2.40373e-08-0j 9.74003e-05-0j 2.80436e-08-0j -0.0023229-0j 1.71731e-08-0j 2.45381e-08-0j 0.000113634-0j 6.95861e-05-0j 1.01215e-08-0j -0.00271006-0j 9.94294e-05-0j -0.00165956-0j 4.10126e-05-0j -0.0023713-0j -0.000978111-0j 1.85608e-08-0j -7.41676e-07-0j 2.09667e-08-0j -3.64115e-07-0j -0.0016965-0j 1.71192e-08-0j 0.014094-0j 1.72966e-08-0j -8.37812e-07-0j 1.49793e-08-0j -4.11311e-07-0j -6.84071e-07-0j 1.23573e-08-0j -0.0019164-0j -3.35834e-07-0j -6.9116e-07-0j 0.0159209-0j 3.94822e-09-0j -0.00156474-0j -3.39315e-07-0j -5.98562e-07-0j -2.93855e-07-0j 0.0129993-0j -4.93788e-07-0j -0.00158095-0j -0.00136915-0j -2.42418e-07-0j 0.013134-0j -1.57768e-07-0j -0.00112949-0j -7.74537e-08-0j 0.0113744-0j -0.000360877-0j 0.00938341-0j 0.00299805-0j 
-1.83426e-08-0j 6.27153e-07-0j 6.33652e-07-0j -1.07408e-09-0j -1.49921e-05-0j -1.3291e-09-0j -7.7531e-10-0j -1.85518e-05-0j -1.08219e-05-0j -7.57105e-10-0j 4.49774e-08-0j -8.83289e-10-0j 0.000258231-0j -5.40902e-10-0j -7.72878e-10-0j 5.24736e-08-0j 3.21334e-08-0j -3.18796e-10-0j 0.00030127-0j 4.59144e-08-0j 0.000184489-0j 1.89387e-08-0j 0.000263611-0j 0.000108734-0j -5.84611e-10-0j 3.27438e-08-0j -6.60389e-10-0j -5.96666e-11-0j -1.17781e-06-0j -5.39205e-10-0j -0.00317376-0j -5.44793e-10-0j 3.69881e-08-0j -4.71804e-10-0j -6.74006e-11-0j 3.02006e-08-0j -3.89219e-10-0j -1.33047e-06-0j -5.50324e-11-0j 3.05136e-08-0j -0.00358515-0j -1.24357e-10-0j -1.08633e-06-0j -5.56027e-11-0j 2.64256e-08-0j -4.81533e-11-0j -0.00292726-0j 2.18e-08-0j -1.09759e-06-0j -9.50537e-07-0j -3.97245e-11-0j -0.00295759-0j 6.96519e-09-0j -7.84153e-07-0j -1.26922e-11-0j -0.00256135-0j -2.50541e-07-0j -0.00211301-0j -0.000675116-0j 
0.000888509-0j 0.00521756-0j -0.00508896-0j 0.00300291-0j 0.000433433-0j 6.43813e-05-0j -0.00422256-0j 9.29264e-06-0j -0.000609474-0j 0.00211672-0j 0.000374186-0j 4.27862e-05-0j 3.11822e-05-0j 0.00151226-0j -0.00208594-0j 7.56361e-06-0j 0.000267332-0j -0.0026121-0j 6.30301e-07-0j -0.000368746-0j 2.22776e-05-0j -0.000461759-0j -3.07288e-05-0j -3.84799e-05-0j 0.00163446-0j 0.00027241-0j 3.1989e-05-0j 0.000166816-0j 3.40512e-05-0j 0.00150751-0j 2.00649e-06-0j -0.00147036-0j 5.33151e-06-0j 2.28541e-05-0j 3.26487e-06-0j 0.000251252-0j -0.0021198-0j 6.66438e-07-0j 0.00015386-0j -0.000245059-0j 3.92702e-08-0j -0.0013606-0j 3.14065e-05-0j -0.000150068-0j 3.80901e-06-0j 2.33253e-06-0j 1.85065e-06-0j -0.0003533-0j -3.06324e-05-0j 4.76126e-07-0j -0.000216351-0j -1.80503e-06-0j -0.000226766-0j -4.41625e-05-0j -0.000138865-0j 2.8056e-08-0j -2.83458e-05-0j -2.6023e-06-0j -1.67029e-06-0j 
-0.0001371-0j 0.0379607-0j -0.037025-0j -0.000463359-0j 0.00637381-0j -9.93425e-06-0j 0.000651556-0j 0.000136652-0j -0.00896258-0j -0.000326617-0j 0.00272242-0j -6.60206e-06-0j 0.000690227-0j -0.000233346-0j 0.000321868-0j 5.50295e-05-0j 0.00194499-0j 0.000403056-0j 1.39519e-05-0j -0.00268283-0j 0.000493122-0j -0.00335956-0j -0.000680191-0j -0.000851765-0j -0.000252203-0j 0.00198194-0j -4.93601e-06-0j -2.57403e-05-0j 0.000500738-0j -0.000232614-0j 5.93222e-05-0j 0.000226881-0j 3.87897e-05-0j -3.52646e-06-0j -5.0378e-07-0j 0.001828-0j 0.000327092-0j 9.80026e-06-0j -2.37411e-05-0j -0.00178294-0j 1.16103e-06-0j 0.000209945-0j 0.000461846-0j 2.31559e-05-0j 2.77127e-05-0j -3.59918e-07-0j 5.47147e-05-0j -0.00257046-0j -0.000450463-0j 7.00164e-06-0j 3.33837e-05-0j -5.33661e-05-0j -0.00164985-0j -0.000649428-0j 2.14274e-05-0j 8.29481e-07-0j -0.000416836-0j -7.69374e-05-0j -4.93824e-05-0j 
-0.000104712-0j -0.000614895-0j 0.000599739-0j 0.0338343-0j -5.10805e-05-0j 0.000725395-0j -0.0475763-0j -1.09515e-06-0j 7.18273e-05-0j -0.000249458-0j 0.00421602-0j -5.04241e-06-0j -3.67486e-06-0j -0.000178221-0j 0.00024583-0j 8.52205e-05-0j 0.00301207-0j 0.000307839-0j -7.42817e-08-0j -0.00415472-0j -2.62544e-06-0j -0.00520272-0j 3.62142e-06-0j 4.5349e-06-0j -0.000192623-0j -3.21038e-05-0j -3.76994e-06-0j 0.00377875-0j 0.000383661-0j -0.000177662-0j -2.36467e-07-0j 0.000173283-0j -6.28324e-07-0j -2.69338e-06-0j 7.39564e-05-0j -2.96103e-05-0j 0.000249821-0j 7.50887e-06-0j 0.00348526-0j 2.88805e-05-0j -4.62804e-09-0j 0.000160348-0j 0.000353862-0j -0.00339936-0j -4.48896e-07-0j 5.2837e-05-0j -2.18101e-07-0j 4.16368e-05-0j -0.000345141-0j 5.3646e-06-0j -0.00490083-0j 2.12725e-07-0j 2.67246e-05-0j -0.000497586-0j -0.0031456-0j -3.30643e-09-0j -0.000319376-0j 3.06684e-07-0j 1.96846e-07-0j 
1.51138e-05-0j -0.00845829-0j 0.00824982-0j 5.10805e-05-0j 0.0327755-0j 1.09515e-06-0j -7.18273e-05-0j 0.000702695-0j -0.0460875-0j 3.60061e-05-0j -0.000606601-0j 7.27809e-07-0j 0.00722603-0j 2.5724e-05-0j -3.54826e-05-0j -1.22615e-05-0j -0.000433377-0j -4.44328e-05-0j 0.000146063-0j 0.000597781-0j 0.00516253-0j 0.000748567-0j -0.00712096-0j -0.00891718-0j 2.78027e-05-0j -0.00044161-0j 5.44144e-07-0j 2.8376e-06-0j 0.0025749-0j 2.56433e-05-0j 0.00093649-0j -2.50113e-05-0j -8.64302e-06-0j 3.88756e-07-0j 5.55365e-08-0j -0.00040731-0j -3.60585e-05-0j 5.0395e-05-0j 2.61721e-06-0j 0.000397271-0j 1.83286e-05-0j -2.31442e-05-0j 0.00237491-0j -2.5527e-06-0j -6.17487e-06-0j 3.96772e-08-0j 0.000863754-0j 0.000572742-0j -0.00231638-0j 3.6004e-05-0j -3.68021e-06-0j -0.000842464-0j 0.000367615-0j -0.0033395-0j -2.36215e-06-0j 1.30946e-05-0j -0.00214346-0j -0.00121457-0j -0.000779576-0j 
-9.36571e-05-0j -0.000549979-0j 0.000536423-0j -0.000316535-0j -4.56878e-05-0j -6.78639e-06-0j 0.000445097-0j -9.79531e-07-0j 6.42443e-05-0j 0.0322106-0j -3.94427e-05-0j 0.000651089-0j -3.28689e-06-0j 0.0230124-0j -0.0317423-0j -7.97275e-07-0j -2.81792e-05-0j -0.0397491-0j -6.64396e-08-0j 3.88692e-05-0j -2.34827e-06-0j 4.86737e-05-0j 3.2391e-06-0j 4.05614e-06-0j -0.000172287-0j 0.00414533-0j -3.37194e-06-0j -1.7584e-05-0j -3.58932e-06-0j -0.000158906-0j -2.11502e-07-0j 0.000154989-0j 8.11309e-05-0j -2.40903e-06-0j -3.44147e-07-0j 0.00382337-0j 0.000223447-0j -7.02488e-08-0j -1.62183e-05-0j -0.00372913-0j -4.13945e-09-0j 0.000143419-0j -3.31054e-06-0j 1.58185e-05-0j 5.79627e-05-0j -2.45871e-07-0j -1.95075e-07-0j -0.00537626-0j 3.22894e-06-0j -5.01881e-08-0j 2.28054e-05-0j 1.90267e-07-0j -0.00345076-0j 4.65514e-06-0j 1.46377e-05-0j -2.95736e-09-0j 2.98791e-06-0j 2.74306e-07-0j 1.76064e-07-0j 
-6.41226e-05-0j -0.000376545-0j 0.000367264-0j -0.000216716-0j -3.12803e-05-0j -4.64632e-06-0j 0.000304737-0j -6.70639e-07-0j 4.3985e-05-0j -0.000152761-0j -2.70046e-05-0j -3.08783e-06-0j -2.25038e-06-0j -0.000109138-0j 0.00015054-0j -5.45857e-07-0j -1.9293e-05-0j 0.000188512-0j -4.54881e-08-0j 2.66119e-05-0j -1.60775e-06-0j 3.33246e-05-0j 2.21766e-06-0j 2.77705e-06-0j 0.0457503-0j -1.96595e-05-0j 0.000895408-0j -1.20389e-05-0j -2.45744e-06-0j 0.0421969-0j -1.44806e-07-0j -0.0411569-0j -3.84768e-07-0j 0.00063971-0j -2.35621e-07-0j -1.81326e-05-0j -0.0593355-0j -4.8096e-08-0j -1.11039e-05-0j 1.76856e-05-0j -2.83409e-09-0j -0.0380846-0j -2.26657e-06-0j 1.08302e-05-0j -2.74892e-07-0j -1.68336e-07-0j -1.33559e-07-0j 2.54972e-05-0j 2.2107e-06-0j -3.43615e-08-0j 1.56138e-05-0j 1.30267e-07-0j 1.63654e-05-0j 3.18715e-06-0j 1.00217e-05-0j -2.02477e-09-0j 2.04568e-06-0j 1.87805e-07-0j 1.20543e-07-0j 
1.65564e-05-0j -0.00458419-0j 0.0044712-0j -0.00534967-0j -0.000769711-0j -0.000114695-0j 0.00752248-0j -1.65023e-05-0j 0.00108233-0j 3.94427e-05-0j 0.0314314-0j 7.97275e-07-0j -8.33528e-05-0j 2.81792e-05-0j -3.88692e-05-0j 0.000635339-0j 0.0224557-0j -4.86737e-05-0j -1.68485e-06-0j -0.0309744-0j -5.95502e-05-0j -0.0387875-0j 8.21409e-05-0j 0.00010286-0j 3.04564e-05-0j -0.000239341-0j 5.9608e-07-0j -0.000597474-0j 0.00578123-0j 2.80908e-05-0j -7.16383e-06-0j -2.73985e-05-0j -4.6843e-06-0j 4.2586e-07-0j -1.16935e-05-0j -0.000220752-0j -3.95001e-05-0j 0.000113148-0j -0.000551068-0j 0.000215311-0j -1.40208e-07-0j -2.53532e-05-0j 0.00533221-0j 0.000537486-0j -3.34663e-06-0j -8.35426e-06-0j -6.60742e-06-0j 0.000310412-0j -0.00520078-0j 8.08368e-05-0j 0.000774889-0j 6.44457e-06-0j 0.000199238-0j -0.00749792-0j 0.000497363-0j -1.00169e-07-0j -0.00481255-0j 9.29108e-06-0j 5.96349e-06-0j 
