-0.215466+0.11175j 0.11221+0.209542j 0.255889+0.000126971j -0.131054-0.322598j -0.142522+0.0386555j 0.072584-0.187279j 0.175845+0.102169j -0.0406989-0.291028j 0.201517-0.168719j 0.136381-0.0634314j -0.0692625+0.0105316j -0.286351+0.228627j -0.242836-0.230676j 0.267215-0.0164853j 0.0591757+0.217594j 0.082999+0.0706146j -0.102102+0.113246j -0.0109222-0.0588552j 0.0585584-0.0662316j -0.0235401+0.0242507j -0.0278057-0.0580575j 0.0545536-0.00651245j 0.0545909-0.0240746j 0.0427614+0.0249185j -0.0827412+0.0398268j 0.0425449+0.0841612j 
0.00619661+0.00261982j 0.000115461-0.00529188j -0.00877702+0.012688j -0.00189822-0.00410525j -0.0228761+0.00116411j 0.047989-0.0153875j -0.00809145+0.0170976j -0.0222994-0.00618191j 0.0318685+0.0275753j -0.0227655-0.00928173j 0.00695394+0.0058717j 0.00858271+0.0203896j -0.0161701+0.00961774j -0.00712518+0.00378549j -0.00234974-0.0119869j -0.0139687-0.00511207j 0.00999916-0.00356458j 0.0145466+0.0203706j -0.0318334+0.00914513j -0.0061348+0.0192819j -0.0202206-0.0156463j 0.0121898-0.00243681j 0.0053811-0.0118856j -0.0107778-0.00512225j -0.00536583-0.00133541j -0.00171105+0.00547524j 
0.00978009-0.00594387j -0.00286422-0.00741475j 0.0184596-0.0138263j 0.00954077+0.00191134j -0.0253725+0.000201908j 0.00875505+0.0170266j -0.0147389+0.00143595j -0.00796992-0.00116318j 0.00372629-0.0179239j 0.00682519+0.0110698j -0.0118997-0.00754007j 0.0244253-0.000494638j -0.0231089-0.0156576j -0.00598612+0.00121372j -0.0233595-0.00342291j 0.00237791+0.00964971j 0.00473112+0.000111953j 0.0227379-0.00525776j 0.00143419-0.00238881j -0.000341239-0.00185113j -0.00171121+0.00571261j -0.0166568-0.00744754j -0.00894863+0.00392535j -0.000621636-0.019795j -0.00660428+0.00507087j 0.00100615+0.00201351j 
-0.0017247-0.00568419j -0.0037027+0.00260123j 0.00974998+0.0376724j -0.00425299+0.0205155j 0.0193475+0.00740427j 0.0275951-0.0146642j 0.0026242+0.00652337j -0.0077173-0.0133083j -0.0045572+0.00275473j -0.00286995-0.0194097j 0.0146191+0.0187296j 0.0127552-0.00354696j 0.023279+0.0121928j 0.00500788-0.0106236j 0.0216643-0.00226216j -0.00200499-0.0160902j -0.0114197-0.00802571j -0.0228337-0.0186139j 0.0228249-0.00664973j -0.00581097-0.00244514j 0.0044027+0.0268699j -0.00191631+0.0159772j 0.00121211-0.00664995j 0.00400006+0.0194111j 0.00812608-0.00787621j -0.00445605-0.00770812j 
0.00409729-0.0143381j -0.0172484+0.0027802j 0.0308444-0.00494001j 0.00473855+0.00567749j -0.00926737+0.0108277j 0.025543+8.04774e-05j -0.0214471+0.00509685j -0.0115489+0.00873211j -0.0191731-0.010429j 0.00608088-0.00704909j 0.0109219+0.0153872j 0.0310543-0.00816997j -0.0103157-0.00740839j 0.0048682-0.00107775j -0.0023293-0.0174559j -0.00404679+0.000156274j -0.0146369-0.0112533j -0.0135631-0.019138j -0.0036953-0.0316204j 0.00707005-0.00467844j 0.0380499+0.00740092j -0.0187314+0.00432479j 0.00646837+0.0146705j 0.00185513-0.00120626j 0.00554292-0.00804895j -0.00777981-0.00759712j 
0.00233451+0.0076825j 0.00255187+0.0044183j -0.00100286+0.0101365j 0.00442941+0.0059539j -0.00633547-0.00723511j 0.00863459+0.0041696j 0.00541043-0.0117923j 0.0180899-0.00529312j -0.00294698-0.00666303j -0.00902346-0.00174107j 0.0120933-0.00498131j 0.0180519-0.00508725j -0.0101597+0.00337533j 0.00138294+0.0041544j -0.00161243+0.014943j 0.0246459-0.0140921j -0.0206248+0.0111371j 0.000131658+0.00838913j -0.0069006+0.00385907j -0.0134615-0.0215538j 0.00224636+0.000213686j 0.0148571-0.00352063j 0.00142543-0.00694721j -0.001491+0.0120442j 0.0103085-0.00695218j 0.00382346-0.00642124j 
-0.00125455+0.0129286j 0.0138881+0.00892692j -0.00598794+0.0122721j 0.00488269+0.00215049j -0.00836514-0.00594592j 0.00480821+0.00538829j 0.00157969-0.0101065j 0.0144686-0.00348867j -0.00367209-0.0087346j -0.00837179+0.00646728j 0.00763957-0.0144106j 0.00957127-0.00136022j -0.0131668+0.00887094j -0.00132597-0.00510721j -0.00545781+0.0228561j 0.0137249-0.000932534j -0.0244709-0.00109942j 0.00703301+0.0117929j -0.00464569+0.0184116j -0.000383915-0.00637261j 0.000406499+0.0110812j 0.01458+0.00484765j -0.00236764-0.00808792j -0.00344641+0.0149027j -0.00570874+0.00511301j 0.0146225+0.00560871j 
0.0116189-0.0317412j -0.0248946-0.0126825j 0.00477375-0.0106909j -0.00330656-0.00734171j 0.00966696-0.00186435j -0.00200569-0.00666912j -0.0135145-0.0127066j -0.0298344+0.0135845j 0.000471333+0.0141197j -0.00543038+0.00166427j -0.0089473-0.0110229j -0.0121559+0.0195279j 0.00913823-0.00447171j -0.00488675+0.00209084j 0.00434635-0.00210281j 0.013267+0.013922j -0.0205362+0.00864669j -0.00389403-0.002711j -0.00505227+0.0180817j 0.019636-0.0281399j 0.0322896+0.00496169j -0.0141705-0.00126835j -0.00802848-0.0270039j 0.00692742+0.00980057j 0.023632-0.00857371j -0.00857183-0.040917j 
0.0105725+0.000780117j -0.00807396-0.0145926j 0.000451616-0.015402j -0.0128627+0.00449542j -0.00446477+0.00407794j 0.00684795+0.0055305j 0.00923443+0.0146673j 0.0133823-0.012967j 0.00171086+0.00674421j 0.0113327-0.0190432j 0.00678012+0.0150675j 0.00580541-0.00175678j -0.00198499-0.00880869j 0.00196753+0.0234064j -0.0084674-0.0115095j -0.000934712-0.00837796j 0.0078835+0.00481706j -0.00312886-0.00997128j -0.00503498+0.0039589j 0.0077576-0.00160412j 0.0137399+0.00412584j 0.00309487-0.0170783j -0.0198034-0.00502529j 0.0106816-0.00905028j -0.00599555+0.0077444j 0.0064704+0.0112401j 
-0.000141354+0.0010749j 0.00272907+0.00437714j 0.0107794-0.0147969j 5.95358e-05-0.00957238j -0.00128222-0.0111452j 0.00109377+0.0109311j -0.0132392+0.00621305j -0.00324776-0.00830113j -0.00577803-0.0224379j 0.0266554+0.00343783j 0.00662384+0.00702359j -0.0018683-0.00164168j -0.0072584+0.00615899j 0.0125251+0.0085536j 0.00944307+0.00902173j -0.00206456+0.0222808j -0.00307955+0.00367485j 0.0172724+0.00637096j -0.000414471-0.00230676j -0.0125914+0.00696236j -0.00344297+0.00201501j -0.000843367+0.0132134j 0.0121054-0.0136244j -0.0105098+6.89903e-05j -0.0024106-0.00658223j 0.00478042-0.000207531j 
0.00275233+0.0192855j 0.0204194+0.00417618j -0.0036864+0.0118839j 0.00593102-0.0062017j -0.0134291-0.00623397j 0.013552+0.00224555j 0.00163635-0.005546j 0.0142497-0.00170216j -0.00728091-0.00660026j -0.000786355+0.0153423j -0.0027386-0.0189236j 0.00833998-0.00503174j -0.00196895+0.00851376j 0.00413793-0.00647534j 0.00921434+0.00655664j -0.000542478-0.00412604j -0.00272647+0.00477157j 0.00501146+0.013773j 0.00292839+0.00765514j -0.00515448-0.00103186j 0.00195393+0.00868503j 0.00628052-0.00249588j -0.0208507-0.00216105j 0.00219548-0.00230842j -0.024761+0.000598499j 0.0055906+0.0192148j 
0.0057361-0.00152404j -0.00233062+0.00344596j -0.00207561+0.00177435j -0.00293101+0.00247384j 0.00687484-0.0064913j 0.0111346-0.0146056j 0.00391384-0.0132257j 0.00647404-0.00870453j -0.0109474+0.0154487j 0.00269467-0.00684468j 0.0118358-0.00539249j -0.000545637-0.00356994j -0.00481016+0.00222144j 0.00404601-0.00545728j -0.00874804-0.0104864j 0.012753+0.0251251j -0.00208944+0.012744j 0.006489-0.00495084j -0.00126248-0.00420003j -0.000310627+0.0118663j -0.0101733+0.0156981j 0.00703973+0.0164914j 0.00334248-2.88304e-06j 0.00261925-0.0145838j 0.00512701-0.00633548j 0.00622141+2.4125e-05j 
0.00234693-0.00822215j -0.0181096-0.00835931j -0.00402001-0.0018447j -0.00397044-0.0064946j 0.0121626+0.00517358j 0.0161129-0.0135942j 0.013305-0.0141632j -0.00327317+0.0179493j 0.00264854+0.026486j -0.023011+0.00302305j -0.00735931+0.0117629j 0.00365093+0.00687102j 0.00432021-0.00855239j 0.00567265-0.00547067j 0.0117342-0.0117343j -0.00322645+0.0139444j 0.00874821+0.00983146j 0.014564+0.0150374j -0.0154525+0.00597668j -0.0144608-0.0100448j 0.018169+0.00333498j -0.0181082-0.00253048j -0.0126162-0.00965427j -0.00654928+0.0143989j 0.00533295-0.00582409j -0.0128059-0.010373j 
-0.00129583+0.00670587j -0.00662135-0.00561501j -0.000533997+0.00059984j 0.000595443+0.00332945j -0.00418714-0.0191278j -0.00475622-0.00948937j 0.00527371-0.00665813j 0.00481287+6.72992e-05j 0.000687041+0.0073101j 0.0126021-0.00280042j 0.00663614-0.00212801j 0.00317962+0.00127333j -0.00234455-0.00249416j -0.00535819+0.00489897j 0.00621124-0.00362562j 0.00327912+0.00525786j -0.00102366+0.012017j 0.00243716-0.0128112j -0.00392395+0.00367165j 0.00385385+0.0135435j 0.00578677-0.00106651j 0.00656552+0.00547631j -0.00420656-0.00598008j -0.0117976-0.00330498j 0.000528626-0.000316786j 0.00263961-0.00315777j 
0.000759017-0.00175075j 0.000948891-0.00322048j -0.0116334-0.00412244j -0.00885613-0.00977494j 0.00537581-0.0135813j 0.0140824-0.0107289j 0.00580555-0.00109187j -0.0030246+0.0113801j 0.00100067-0.00380436j 0.0181564+0.0113702j -0.0110724+0.00210955j -0.0014542+0.00865416j 0.00430168-0.00285575j 0.00686595-0.00157986j -0.0056448-0.00633601j -0.00506487+0.00694992j 0.0127814-0.000931267j -0.00886208+0.00780143j 0.00295034+0.000490523j 0.00184938-0.00367505j -0.00639453-0.00380651j 0.00493964+0.00406748j -0.00855122+0.000449012j 0.00735743+0.00969613j 0.00147106+0.00496315j -0.00556793-0.00104467j 
0.00369843+0.000520804j 0.00125417+0.00955698j 0.0130428+0.00338794j -0.0144302+0.0138519j 0.0227622+0.0199827j 0.00911078-0.00159572j -0.0108201-0.00538848j 0.0078013-0.0139647j 0.00208977+0.014915j -0.0128585+0.0160632j -0.013205+0.0055698j -0.00762927+0.000340103j -0.00669614-0.00766876j -0.00198723-0.0132493j -0.0109799+0.00721768j -0.00399517+0.00483293j 0.00564703+0.00433091j -0.00590217+0.00192431j -0.000572521-0.000650589j 0.00809448+0.00757794j -0.00824262+0.00276944j 0.00254957+0.0125822j 0.0163303+0.000663651j 0.00518108-0.0111214j 0.0018901+0.000583622j 6.7051e-05+0.00224368j 
0.00480601-0.00938294j 0.000413024+0.0073717j -0.00409683+0.00213088j -0.00118134+0.0101787j 0.01415+0.00171191j 0.0187363+0.00339164j -0.01019+0.0084074j -0.0130549-0.0244632j -0.00691341-0.00456066j 0.0146537-0.0172916j 0.0138909+0.00996345j -0.00518785-0.00932862j 0.00143271+0.0148642j 0.0175264-0.00836896j -0.00281116+0.00228788j 0.00680286+0.00392943j 0.0258522-0.0080272j 0.00315289+0.021321j 0.00953463+0.0106931j -0.00924693-0.0210252j 0.0170802-0.0143601j -0.00203945-0.00590917j -0.00825646+0.00422726j 0.00816138+0.0094758j -0.00704831+0.000733342j 0.00333109+0.00140286j 
-0.0001479-0.00206709j 0.00360884-0.0028319j -0.00483917+0.00407782j -0.0024936+0.00319703j -0.00311893-0.00305107j -0.00316067-0.00272681j -0.00268775-0.000340786j 0.000425281-0.00289259j 0.00196831-0.00950269j 0.0032074+0.00354563j -0.00159082-0.010827j 0.00206203+0.000673175j -0.00200454-0.00236464j 0.000817881+0.00635352j -0.0117158+0.00547022j -0.000470729-0.030881j -0.00525738-0.00517461j -0.0089405-0.00466989j -0.010395+0.00141806j 0.00690224-0.00892235j 0.00331849-0.00752165j 0.00208469-0.0282498j 0.00560273+0.00896727j -0.00218264-0.00554896j -0.00120503-0.0011959j 0.00289543-0.00181282j 
0.0107747-0.000268818j -0.00234065+0.00613351j 0.00417611-0.00553937j -0.00357798+0.00110267j -0.00757649-0.0109936j 0.0129509-0.0170771j -0.00887168-0.00373831j 0.00876039+0.00954589j -0.0218015+0.00890072j 0.02107+0.00895438j -0.00942587-0.0148025j 0.00437715+0.00778797j -0.00306238+0.000834388j 0.00692394+0.00214712j 0.00319076+0.00321492j 0.000166326-0.00564456j -0.00436974-0.00282299j -0.00226422-0.00826302j -0.00160387+0.000918238j 0.00419496+0.0031652j -0.00601589+0.0014099j 0.00436843-0.000503307j -0.00247152-0.00519741j -0.0103391+0.00177348j -0.00275695-0.000593265j 0.000923382-0.00607618j 
0.00128578-0.0138865j 0.0079883-0.00925008j -0.00460514-0.00765645j -0.00102206-0.017661j -0.0120383+0.000195984j -0.0130295+0.0139504j -0.0126659+0.00732296j -0.00682273+0.00805189j 0.00205043-0.0105299j 0.012778+0.012379j -0.0139578-0.00764917j 0.00575516+0.00483273j 0.00880605+0.00332429j 0.00545853-0.00593809j -0.00919976-0.0100019j 0.00261962+0.0122664j -0.00188287+0.00542789j 0.00730064+0.00710525j -0.00383978-0.00323034j -0.000665527-0.00100053j 0.00346874+0.00280783j -0.00423433+0.0045999j -0.000604183-0.00195739j 0.00226505-0.00506845j -0.00399451-0.00253015j -0.0042874-0.00723531j 
-0.00425017+0.0030659j -0.0013732+0.00127396j -0.00206978+0.00268141j -0.00938089+0.000681846j 0.0146946-0.0144967j 0.0173909-0.0191173j 0.00355128-0.0119717j 0.00635158-0.00285201j -0.00469799+0.00379425j 0.00957401+0.00875289j 0.00565963+0.00734009j 0.00206231+0.000768094j -0.00752008-0.00276329j 0.00734521-0.00319514j 0.00192845+0.00495272j -8.60344e-05-0.000121825j 0.00113274+0.00460842j 0.00971933+0.00219208j -0.00674888+0.000966686j -0.00921-0.00110649j 0.010847-0.00307869j -0.0021233-0.00815636j 0.00273045+0.00801956j -0.000942649-0.00269211j -0.000876593-0.00245408j 0.00295048+0.00320542j 
0.00175387-0.00102574j -0.0144593-0.0145118j -0.00436409+0.0211451j -0.0164251-0.00928062j -0.0153146-0.00375697j -0.000932809-0.0106821j -0.0046122-0.0200773j -0.00446892+0.0221589j -0.00609464-0.00868404j 0.00876607+0.00436457j -0.000571638-0.00420556j 0.00379617-0.00738351j 0.0153595+0.00335231j -0.00822977-0.0136951j -0.0218861+0.0061329j 0.00347279-0.000932j 0.0203619-0.0120314j -0.0120242+0.0213054j -0.00956347+0.00230355j 0.00378429-0.015312j -0.000965489-0.0086531j -0.00502494-0.00465441j 0.0126878+0.00490467j 0.0152549-0.00428402j 0.00876908-0.00776534j -0.0124843-0.00440366j 
0.00451491-0.00179218j 0.00181689+0.00645166j 0.00592028-0.00319847j -0.000789054+0.00134727j 0.0121698+0.00865599j 0.0113763+0.00249756j -0.00745279+0.00432465j -0.00943928-0.000618745j -0.00166919-0.00251123j -0.0123724+0.0113249j -0.00223597-0.0119737j -0.00956766-0.000552651j 0.00575584+0.00366007j 0.00107995-0.00377606j 0.000456002+0.000484106j 0.0216991-0.00973267j 0.0116847-0.00648575j 0.0132254-0.011053j 0.0070043+0.000803599j -0.00366922+0.00867995j 0.00600716-0.0142426j 0.0124401+0.00624037j -0.00783911+0.00135008j -0.00337154+0.000919402j -0.00502814+0.00309808j 0.00182211-0.00560191j 
0.00139815+0.00861906j -0.00600119+0.0034645j 0.00375199-0.00482537j 0.00451203+0.000920509j 0.00319977-0.00460277j 0.000935064+0.00341196j 0.00559285+0.000429828j -0.0039958+0.0106972j 0.00727262-0.00589092j -0.00687099+0.00123614j 0.00656827+0.000870007j -0.00700662+0.00605829j 0.00242451-0.00330923j -0.00974444+0.0121453j 0.00810193-0.000831274j 0.0181039+0.00199755j 0.0132751-0.00782878j 0.00722366-9.89756e-05j 0.00845728+0.000162214j 0.0043989-0.00471j 0.000286423-0.00530671j 0.016374-0.00113403j -0.0127699-0.00565754j -0.00373322+0.00570386j 0.00101029+0.00119851j -0.00146967+0.00257053j 
-0.00713406+0.000952118j 0.0016991-0.00804706j -0.00587802+0.00666977j 0.0063199-0.010952j -0.00783206+0.00691976j -0.0110981+0.0130998j 0.00822343-0.00375022j 0.00408511+0.00973704j 0.0016758+0.00126711j -0.0161075+0.00134796j 0.00709476+0.00425193j 0.00975462-0.00697658j 0.00700599+0.0047909j -0.00771971-0.0091993j 0.00234499-0.012851j 0.0110802+0.0162005j -0.00483981+0.00866562j 0.0142525-0.00355872j 0.003932-0.00572939j -0.00799006+0.00979639j 0.00972416+0.0101115j -0.00283358+0.0160877j -0.00864139+0.00835025j 0.00630445-0.00273694j -0.00102085+0.000159096j -0.00114228+0.00426364j 
0.000599252+0.00842699j -0.0132085-0.0066885j -0.00101461-0.00455704j 0.00203886+0.00638603j -0.00642037-0.014856j -0.00410395-0.0147681j 0.0152317-0.00715389j 0.00402077+0.00182386j 0.00657667+0.00922285j -0.0074345-0.00184134j 0.00904962-0.00421668j 0.00289365+0.00234277j -0.00768301-0.00497782j 0.000827849+0.0171535j 0.00477655+0.00651711j -0.0135577-0.011197j -0.00366846+0.00958957j -0.00704047-0.0102797j -0.00646715+0.0107632j -0.00141559+0.000697101j 0.00882657-0.00451931j -0.0131431-0.009578j -0.00641224-0.00681128j -0.0116883-0.00423862j 0.000873085+0.00353852j 0.00687536-0.00169213j 
0.0101721-0.00103129j -0.0265803+5.79934e-06j 0.0224987+0.00728085j -0.00483602+0.00440608j -0.00283441+0.00559098j 0.000129578-0.00620895j -0.0138207-0.0136529j -0.0101059+0.0127833j -0.01246+0.00283718j -0.00328752-0.00532476j 0.00956959-0.00109441j -0.00809927-0.00307776j 0.0116238+0.00238354j -0.00845804-0.0015077j 0.0112387+0.00898113j 0.0136861+0.00360002j 0.0129703-0.0154779j 0.000394365+0.00311686j 0.0011707+0.00173244j 0.00671875-0.0133472j 0.0135619-0.0109096j -0.00727795+0.000849552j 0.00569436-0.0110539j -0.00134584-0.00375127j 0.00867262-0.0129454j -0.00985257-0.0114663j 
-0.00314967-0.0183381j -0.0200169-0.0259505j 0.000157386+0.00711228j -0.00543623-0.000930165j 0.0105801-0.0027289j -0.0169496-0.00514898j -0.000843209-0.0110325j -0.0162221+0.00432507j 0.0147481-0.00771344j 0.00238672-0.000747694j 0.00294201+0.0101831j 0.000314431-0.00425151j 0.00810534-0.00331016j -0.0155591+0.000259668j -0.00411909+0.00773094j 0.0130371-0.0107581j -0.00335815+0.000853798j 0.0133536-0.00349386j -0.0212332+0.00977913j -0.0163472-0.0106403j 0.0227174-0.00645005j -0.0167256-0.0062784j 0.0143194-0.0174739j -0.00143063+0.003571j 0.0238393-0.01167j -0.00978575-0.0284136j 
-0.014754+0.000551382j 0.01345-0.00473439j -0.00460194+0.0137999j 0.00563106-0.00316398j 0.0104504-0.00178433j -0.00836989+0.00624612j -0.0011976-0.00230005j 0.00276655-0.0085041j 0.00341213-0.00960511j -0.000532247+0.00653288j 0.0035464+0.00444849j 0.00627341-0.0103653j -0.000807969+0.00595092j -0.0049483-0.0104921j 0.00825089+0.000809178j 0.00396621-0.0106288j -0.0177109+0.0143581j 0.0142953-0.00423551j -0.00994392-0.00042486j -0.0168928+0.00436681j 0.0120398-0.0052766j -0.00262833-0.00342716j 0.0129523+0.00684682j -0.00300263+0.00468269j 0.000374333-0.0067951j -0.00100898-0.00341961j 
-0.00804522+0.0244293j 0.0284538+0.00385415j -0.0148311+0.0168002j 0.00643896-0.000216345j -0.00469841-0.00647826j 0.00850197+0.00256855j 0.0141728-0.00145485j 0.0204329-0.0178763j -0.00109168-0.00273802j -0.00450774+0.00796628j 0.0020454-0.0125625j 0.00698882-0.0129035j -0.00785446+0.0099767j 0.00398492-0.00798688j 0.00136356+0.00230224j -0.0107757-0.0100186j -0.00713471+0.0165058j -0.00488643-0.00528127j 0.00635052+0.00654208j -0.00347185+0.0162053j -0.00914839+0.00715592j 0.00541004+0.00189205j -0.0120627+0.0134234j 0.00242352-0.0068279j -0.0243473+0.00885458j 0.0131684+0.0265283j 
