0.00630025+0.005868j 0.00504882-0.0204147j 0.0032189-0.0015172j 0.000123339+0.0053083j 0.0143887-0.0063844j 0.0176805-0.00631862j 0.00260728+0.0151311j -0.0048908-0.00857856j 0.000428835+0.00274874j -0.00300663-0.0056444j 0.00175209+0.00505583j -0.00372685-0.00142121j 0.00543209+0.00759987j 0.0051775-0.00901594j 0.0165932+0.00640545j -0.0126549-0.00781498j -0.0036265+0.00243991j -0.00656106-0.00378332j -0.000247143-0.0112122j -0.00206843+0.00282723j 0.00927171+0.00661369j -0.0130457-0.0018443j 0.0043142+0.00070731j 0.0104953+0.0118156j -0.00706863-0.00211647j 0.000358619+0.00112815j 0.00448365-0.000479951j 0.00289404-0.00718779j -0.000579845-0.0190484j 0.00181342-0.0162905j 0.00477035-0.00181328j 0.00433195-0.00273786j -0.00694694-0.0065994j 0.00914395+0.00490819j 0.00976467-0.000228273j 0.00428689-0.00419714j -0.00529809+0.0156396j 0.0381812-0.012316j -0.0290016-0.0321832j -0.0211032+0.0246732j 
-0.0345772+0.0183639j -0.00909793+0.0016541j 0.00233643+0.0163585j 0.0100381-0.0116456j 0.0095931-0.00555513j -0.00232105-0.0296839j -0.0149405-0.0190646j 0.00346488+0.00537704j -0.0154099-0.000700256j 0.0284789-0.00193408j -0.00573094-0.00851405j 0.00599806-0.0147606j 0.0147297-0.0120881j 0.0107832-0.0147452j 0.00762836+0.012749j -0.0208238-0.00827899j 0.0190297+5.67954e-05j 0.0049094-0.00342053j -0.00209621+0.0149619j -0.0201996-0.0103684j -0.00275868+0.0236759j 0.00570296-0.00454905j 0.00195578+0.0222221j 0.011824-0.0050019j -0.00620199-0.0282825j -0.0278103+0.00605768j -0.0143207+0.0158195j 0.00130418+0.000942266j 0.0119392+0.0019659j -0.000881081-0.0161361j 0.00121141-0.0125004j 0.00729237+0.0036776j -0.00199314-0.0210944j 0.00662412+0.00168812j -0.00768679+0.00228913j 0.0100567-0.00265299j -0.0041534-0.000964463j 0.0125504-0.00854904j -0.00971657-0.00827313j -0.00698151+0.00394552j 
0.00663548-0.0228475j 0.0226147+0.0164529j 0.000654-0.0273223j 0.0164598+0.0220136j -0.0214524-0.0198953j 0.00425579+0.00968668j 0.0199964-0.00231422j 0.0326504+0.0124838j -0.0168669+0.01145j -0.0240446+0.0078279j 0.0203219+0.0196808j -0.00634103+0.0250749j 0.00472468-0.000774372j 0.00482719-0.00738555j 0.000863887-0.00309937j -0.00775544-0.0232798j -0.00122612-0.00500773j -0.0023948+0.0156391j -0.00344656-0.0237661j 0.00961369+0.017483j -0.00768493-0.00143067j -0.0131382-0.00462124j -0.0194388-0.0123534j -0.000859795+0.0106314j -0.00219272-0.0062945j 0.0168262-0.0153813j 0.0195412-0.0235886j -0.000401076+0.00169461j 0.0106137+0.00044427j 0.0018691-0.00728711j -0.000511159-0.00259279j 0.00870949-0.00198801j 0.00262522-0.0136622j -0.00466674-0.0027892j 0.00152296+0.00194239j 0.00710179-0.00986854j -0.00366002+0.00115007j 0.00661241+0.00281882j -0.00746292-0.00791459j -0.00421573+0.00155822j 
-0.00833894-0.00943054j 0.00697374-0.027228j 0.00978097-0.026844j 0.0367289+0.00527336j 0.00105661-0.00328941j -0.0149168-0.0168574j 0.0298582+0.00090503j -0.0041566+0.000954781j -0.0268148-0.0199973j 0.0135233+0.00959255j 0.00863969-0.00993469j -0.00881089-0.000369616j 0.00314089-0.0228172j 0.00640202-0.0171025j -0.0127496+0.00583879j 0.00198221-0.00361035j 0.00275235-0.00396473j -0.00175157+0.00420184j -0.0110626-0.00325557j 0.00491591+0.00270966j -0.0164511-0.0110314j -0.00519995+0.0177713j 0.0125205+0.000330483j -0.0170254-0.000910005j 0.00271976+0.00258124j 0.00554745+0.00106919j -0.00963264-0.00272842j 0.00108663-0.016681j 0.00693721+0.0117803j -0.00414945-0.0274502j -0.00142005+0.013848j 0.0168867-0.00412813j 0.00423191-0.00272788j -0.00235693-0.0152653j -8.27975e-05-0.00298192j 0.00863521-0.0166656j -0.0119463-0.00850362j -0.0211718+0.0106405j 0.0139575+0.0149753j 0.00511874-0.00625783j 
-0.00499322+0.00949258j 0.0201814+0.01306j 0.0146689-0.00321778j -0.0107192+0.0107349j -0.00285784-0.0153584j 0.0164586-0.002062j -0.00664845+0.00964603j 0.00169988-0.0165104j 0.00161157+0.0094574j -0.0109499-0.000793009j 0.0143244+0.00560067j 0.00332834+0.00867235j -0.00173306-0.0098583j 0.00109451-0.00644845j 0.00896326-1.83753e-05j -0.0125351-0.00201007j 0.0341589-0.0049421j 0.00239996+0.0156778j 0.00716307+0.000613046j 0.0127986+0.0134122j -0.00443592+0.0120664j 0.00173105-0.00444304j -0.0217184-0.00951067j 0.00160477-0.0174268j -0.00549074-0.0107726j 0.0180679-0.000719764j -0.011153-0.00931791j 0.00064323+0.0135629j -0.00700794+0.00313066j -0.00256397+0.00874491j -0.00777625+0.000940738j 0.00646678-0.00866766j -0.00156714+0.00886923j 0.00848013+2.59993e-05j 0.00818916-0.00608188j 0.00794177+0.026722j 0.0107956-0.00636945j -0.00607727-0.0151065j 0.00481353+0.0152154j -0.00220249+0.000430577j 
0.000513558-0.0112165j 0.000870087-0.00720717j 0.000212643+0.00434318j 0.0197756-0.00603661j -0.00059092-0.0151038j 0.00905944-0.00582338j -0.00354326+0.0130061j 0.00187134+0.0105934j 0.0134483-0.00168469j 0.013578+0.0100946j -0.00746472-0.000639912j -0.00866159-0.0114884j -0.000277305-0.000783381j 0.00594331-0.00637291j 0.00388446+0.00419092j -0.0215228+0.000893416j -0.00955322-0.0084935j -0.00431667-0.00242888j -0.0139529+0.00118132j -0.0266891-0.00294796j -0.0118045-0.0046573j 0.0128317-0.0245907j -0.0196191+0.00808731j 0.0244322+0.00260883j -0.0089782-0.0190579j 0.00341398-0.00986204j -0.00437157+0.0165102j -0.00816889+0.0291637j 0.00367128+0.010394j 0.000661499-0.00133165j -0.00167083+0.00116196j -0.0145034-0.0056651j -0.0123057+0.00999149j -0.0214423-0.00918905j 0.000112074+0.00933066j 0.00556679+0.010259j -0.0221727-0.00517679j -0.0138702+0.0155526j 0.00371834+0.0224636j 0.0129853+0.0100807j 
0.00414425-0.00660676j -0.0137098+0.0029467j -0.0130789-0.00060158j 0.00296738-0.01922j 0.01161+0.00595569j 0.00460754+0.00482138j 0.00632001+0.00205986j 0.010212-0.0115468j 0.0224522-0.00145927j 0.0151197-0.000863853j -0.00922952+0.0018824j -0.0234409-0.0112446j -0.0190693-0.00290002j 0.00353463+0.00160676j -0.00573207+0.00657128j -0.0171839-0.00895934j -0.00154077-0.00486519j 0.00569239-0.00120417j 0.00559986+0.01212j -0.00798344+0.00278382j -0.0127995+0.00413163j 0.00731698+0.00794092j 0.00357528-0.00595442j 0.00763057-0.00496176j 0.00891183+0.00349351j 0.0253417+0.00425925j -0.00959245+0.0144955j -0.002704+0.00164695j -0.00431665+0.0016863j 0.00832474+0.0109754j -0.000527276+0.00918903j -0.0119164-0.00293107j -0.0148268+0.00587589j 0.00646422+0.0092503j -0.00785922-0.00327426j -0.01597+0.0244191j -0.00914793-0.0205474j -0.00971442+0.021445j 0.0206251+0.0157394j -0.0065651-0.00887596j 
-0.0011987+0.00525765j 0.00215391+0.00995788j 0.000339886+0.0108124j -0.00126775+0.0193865j 0.00460011+0.0219889j -0.0196667+0.0135469j -0.00234856-0.00926087j 0.00970503+0.00386493j 0.00713153+0.00321107j -0.0100826-0.00435082j -0.00439942+0.0226798j 0.0115306+0.000190254j 0.00812722+0.00505371j -0.0061527-0.00242294j 0.0365229-0.00521486j -0.0124178+0.000423632j -0.00811897-0.00241461j -0.0034548-0.00191168j 0.0183106+0.00157371j 0.0242333-0.00476641j -0.00981129+0.00439075j 0.00250901+0.00605436j 0.000462593-0.00205304j -0.018462-0.00985495j 0.00730364-0.00808736j -0.00184636-0.0115717j -0.0109534+0.00108801j -0.00544106-0.0133575j -0.00198804+0.00471748j 0.00641504-0.00642835j -0.00177727-0.0053175j 0.013286+0.00338075j 0.00332015-0.00172097j 0.00699783-0.00868746j -0.00952385-0.00860117j 0.0139054+0.0118547j -0.00823557+0.0102143j 0.000836848-0.0009864j -0.0132692+0.0117216j 0.00622945+0.0119525j 
0.00359707-0.0291372j -0.0102028+0.00769555j -0.0061932+0.0217859j 0.00119015-0.0154708j -0.00165007+0.00176568j -0.0102661-0.00642739j -0.00117232-0.0227445j 0.00999597-0.00430784j 0.00986709-0.010158j 0.0169996+0.0115869j -0.00681757-0.00270978j 0.00935726+0.00569243j 0.00278237+0.00142593j -0.00765911+0.0111838j -0.00576338-0.00335533j 0.0050145-0.0113013j 0.0233414-0.0141109j 0.0203005+0.0101769j 0.00669635-0.0010894j -0.0108005+0.00590327j 0.0130328-0.00189446j 0.00321248+0.0195104j 0.0081415+0.00215327j -0.00147961-0.001781j 0.00465944+0.00156297j -0.0166064+0.0175505j 0.0310763-0.00953492j 0.00145243-0.0078409j -0.00492348-0.00168011j -0.000311745+0.00714393j 0.00191857-0.0135823j 0.0081108+0.0227247j 0.00564915-0.00655418j 0.0184462-0.00527085j -0.00241375+0.0158862j -0.00109138-0.0162403j 0.0128613-0.0021385j -0.000124121-0.0258493j -0.0114238-0.0221065j -0.0206118-0.00742551j 
-0.00051081+0.00145609j -0.00145373+0.00216142j -0.00280098+0.0060299j 0.0160834-0.00123184j -0.021578-0.00983085j 0.0146132-0.006626j -0.0047918+0.0136021j 0.013304+0.0197215j 0.0119947-0.000512997j 0.00285845+0.00326925j -0.0100933+0.0129093j -0.0124828-0.00358859j 0.0114015+0.0015179j 0.011955-0.00128908j 0.00516628+0.000993323j -0.0212109+0.00657423j -0.0233845-0.000105997j -0.0101331+0.000106157j 0.00883783+0.00725676j 0.00972689-0.00584027j 0.00744021+0.007733j -0.00952058+0.0186662j 0.0155568-0.00977808j -0.00737493+0.000158994j 0.00052899+0.0077043j 0.000831879-0.00907138j -0.00894341+0.00267478j 0.00504318-0.0174687j -0.000950948-0.0044592j -0.000458329-0.00545227j 0.00679068+0.00574504j -0.00320724+0.000163528j -0.0130639-0.00493245j 0.0167267+0.0104795j -0.0125793-0.00706671j -0.0106933-0.00705654j -0.000335707-0.0064778j 0.00149379+0.010668j 0.00518046-0.00225563j -0.00956413-0.0101855j 
-0.000593413-0.0132581j -0.0011125-0.0118813j -0.00474233-0.00717396j -0.0133541+0.0154466j -0.00133533+0.00967687j -0.0056824+0.00265514j -0.00611846+0.0140006j -0.00312937-0.000759133j -0.0192729+0.0166863j -0.0147433-0.0010848j -0.00862898+0.0116444j 0.0246391+0.000666801j 0.0300076-0.011801j 0.00100594-0.00547752j 0.0239602+0.00259502j 0.00155054+0.0229721j -0.000893612+0.0133711j -0.0240841+0.00875567j 0.000392799+0.0136495j 0.00842767-0.00652611j 0.00153489+0.00407739j 0.00248904-0.00612625j -0.00429193-0.00140357j -0.0130315-0.0100333j -0.00386271-0.0191822j -0.0313247-0.00461116j -0.0163148+0.000874653j 0.000780007+0.00956006j 0.00635437+0.00482636j -0.0126335-0.0116204j 0.00487803+0.00289222j 0.00306932+0.0096325j 0.0111105+0.00735173j -0.00659136-0.00807037j 0.00942571+0.0089011j 0.0127889-0.00640105j -0.00291066-0.0048519j -0.0234198-0.00393741j 0.000174787+0.000805435j -0.00674474+0.000915697j 
0.00111989+0.0111484j -0.00334668-0.00229929j -0.00412617+0.000484782j -0.00737831-0.00118697j -0.0087715-0.0114575j 0.0136626-0.0144409j 0.0106833+0.0028586j -0.00302127-0.0113923j 0.00168177+0.00579985j 0.0015854+0.00392419j 0.00367566-0.0113095j -0.00915428+0.00768039j -0.00771423-0.000434606j 0.00317738-0.00725927j -0.0109628+0.00453215j 0.0115001-0.0164602j 0.0118279-0.00969561j 0.0120655+0.0027489j 0.0149718-0.0145719j 0.00974994-0.00209702j 0.0113533-0.00370557j 0.00626754+0.0253964j 0.00762477-0.0180826j -0.0236618+0.00724128j 0.00590792+0.00962782j 0.0127143+0.00566266j 0.0112738-0.00133272j -0.010677-0.0288406j -0.00226299+0.00112603j 0.000181294-0.00184759j -0.000863432-0.00478061j 0.0189377+0.00129538j -0.00693682-0.00917318j 0.0228506-0.0158724j -0.0134687-0.000682196j -0.0061868-0.00184366j -0.00429459-0.00220552j 0.00239522-0.00224394j 0.003808-0.0048459j -0.00118765-0.000488563j 
-0.00301017-0.0279156j 0.0032599+0.0011581j 0.0136551+0.0031297j -0.00912604-0.0209856j -0.0155502-0.00408524j 0.0117886-0.00625964j 0.0015106+0.00874142j -0.018646+0.00696426j 0.00562893+0.00102053j 0.0180686-0.00576659j -0.00233798+0.00775946j 0.0213203-0.00731518j -0.00782976-0.00825282j -0.012683+0.00852136j 0.0180707-0.00190119j 0.00767208-0.00623898j 0.0090312+0.00310062j 0.0120823-0.00883426j 0.0163509+0.00143523j 0.0163752-0.0140793j -0.0184145+0.00805372j 0.007023-0.00139311j -0.0016709+0.00560678j -0.0115324-0.00641312j 0.00487043+0.00798151j -0.0074217-0.00412938j -0.00500657+0.00151296j -0.00385701-0.0106982j -0.000125846+0.00344172j 0.00351852+0.0149483j -0.0059346-0.0188905j 0.0020498-0.00160273j 0.0109597-0.00359088j -0.00458636-0.00528499j -0.0095636-0.0114132j -0.00201142+0.00313887j 0.0051154+0.0127827j 0.00757062-0.00318759j -0.0121537+0.0111241j 0.00955402+0.01472j 
0.00536916+0.00893184j -0.00831404+0.00835486j -0.00156327+0.0203159j 0.0156403-0.00315642j 0.0160822-0.00827801j -0.011788-0.000932161j 0.00874469-0.0179087j -0.00697212-0.0219563j 0.021822-0.0198453j 0.0171477+0.00308028j 0.00228468+0.0084634j -0.00587451+0.00327013j -0.00678232-0.000569613j -0.00691789+0.00104538j 0.0041478-0.00518755j -0.0232394-0.00583489j -0.00515109-0.0159911j 0.0199508-0.00611725j -0.00345509-0.00574177j -0.0031787+0.0139816j -0.00465364-0.0078713j 0.00191573+0.0076385j 0.00514955+0.00941157j 0.00831949-0.000704116j -0.00236654+0.00274116j 0.0114551+0.00250434j 0.0173343-0.00922058j 0.00473091-1.59125e-05j -0.00668005+0.000620316j 0.00672788-0.00146331j 0.000258318-0.000601413j 0.00642109+0.00136919j -0.000624209+0.0010935j 0.00399547-0.00410506j 0.00415626+0.00131148j 0.00725894-0.00678948j -2.1624e-05+0.00212336j -0.000590413-0.00647977j -0.0073317-0.00279773j -0.00870163+0.00236813j 
-0.000177417-0.0163007j -0.0177158+0.011425j -0.0231257+0.0239767j -0.0320568-0.00129264j 0.00225675-0.00513344j 0.0104292-0.00722276j -0.0136215-0.0067359j 0.00310184-0.0300235j 0.000614905+0.0159353j 0.0030493-0.00667305j -0.00148116+0.00473579j 0.000632109-0.000198614j 0.0123216-0.00540506j 0.0121986-0.00206925j -0.00937269+0.00152018j -0.0104302-0.000777207j -0.0151728-0.00947504j 0.0139937-0.00770447j 0.00897052+8.06512e-06j 0.00472471+0.000794136j 0.0156047+0.0094633j 0.0121134-0.00330762j -0.00458629+0.00676605j -0.0147813+0.00125097j -0.00726634-0.00999969j 0.00044078-0.00175729j -0.000920834+0.00110349j 0.00111615+0.00492901j 0.0067695-0.00066059j -0.00112991+0.0030195j -0.00162672+0.00131962j 0.00912738-0.00130181j 0.00382356-0.00610509j -0.0027971-0.00379779j 0.00297864-0.000645553j 0.0110319-0.00223664j -0.00201555-0.00487039j -0.0139919+0.00911017j 0.00940593+0.0037636j 0.0108783-0.00432428j 
