-0.01787+0.0375118j 0.0362537+0.020902j 0.0215107-0.0321028j -0.0305102-0.0143558j -0.0034603+0.00247533j -0.00598334-0.00323766j 0.00184531-0.00323835j -0.0127596-0.0118219j 0.0021335-0.00569163j 0.000101313-0.00809281j 0.00113257-0.00579359j 0.0110751-0.00642286j -0.00993361+0.00660943j -0.00472299+0.000126357j -0.00549501-0.00235813j 0.00511263+0.00726475j 0.0114254-0.000221668j -0.00668588+0.004823j -0.0057648-0.00194865j -0.00254829-0.0145864j -0.00608344-0.000298455j 0.00697782+0.00520973j 0.00756164-0.00158795j 0.00109378+0.00251649j -0.00622865-0.00408743j -0.0029223+0.00230621j 0.00906377-0.0027569j -0.000789827+0.00930228j -0.00765999+0.00285378j 0.00544524-0.0112004j -0.00856345+0.00104058j -0.00475078-0.00231978j -0.00421186-0.00285918j 0.00807619-0.00528588j 0.00352375+0.00508889j 0.00377886-0.00223708j -0.00489343+0.00263984j 0.00488264+0.00283461j 0.00675934+0.00231301j 0.00065101+0.00546514j -0.00721667-0.00382326j -0.00482994-0.000236612j -0.00164928+0.00370766j 0.00579287+0.00521381j -0.00140468-0.00132241j -0.00242453-0.00224396j 0.0102202+0.00457482j 0.00276465-0.00026356j -0.000654604-0.00217729j -0.00115038+0.00403408j -0.00146041-0.00179103j 0.00111635+0.0038029j 0.010425+0.00302622j -0.00101426-0.00160606j 0.00467205+0.00413531j 0.00385422+8.95512e-05j 0.00268071-0.00148753j -0.00283224+0.00554891j -0.00351613-0.0038494j 0.00976822+0.00165859j 0.00414243-0.00781221j -0.00473382-0.00689932j -0.00323612+0.0037429j 0.00836293-0.0006256j 0.00442389+0.00174234j 0.0157658+0.00147657j -0.00275805-0.00215564j -0.00477121-0.00481996j -0.0016576-0.00523953j -0.001048+0.00686203j 0.00138538-0.00493726j -0.00135305+0.00747736j 0.00654159+0.00321804j -0.00119019+0.00460296j 0.00861517-0.00522121j 0.000852684-0.0146464j 0.00948516+0.00232152j -0.000680164-0.0109022j 0.00818821-0.00642126j 0.00510164-0.00484497j 0.014978+0.00493721j -0.0152873+0.00152645j -0.00070235+0.00820836j -0.0057898-0.017761j -0.0025606+0.0215601j 0.00239852-0.000412371j 0.0014157+0.0109652j -0.00935662+0.00408888j -0.0190169+0.0240915j -0.0240888-0.0229935j -0.0401864+0.000676311j 0.000972234-0.0407251j 
-0.00145074+0.0103079j 0.0105987+0.00118361j -0.00902585-0.0019733j 0.00113216+0.00952631j 0.0120863-0.00801915j 0.00994983+0.00587j -0.00175876+0.0128912j 0.00750033-0.00117968j 0.0073181+0.0013187j -0.00177154+0.00844895j 0.00316071+0.00639697j 0.00164832-0.0127503j -0.00690233-0.00501069j -0.00322656+0.0172008j -0.021247-0.00160291j -0.000853445+0.00400404j 0.00468684-0.00723823j 0.00170988+0.00335088j -0.0100058-0.00430611j 0.00783967-0.0116889j 0.00214007-0.015983j 0.0102321+0.0144249j -0.00271859+0.00113482j 0.00155541+0.00910048j 0.00329119-0.00936113j -0.00065914+0.00234771j 0.00461052+0.00351188j -0.00201926+0.00458011j 7.09916e-05-0.00612186j 0.00794156+0.00194417j 0.0102393+0.00148917j 0.0065631-0.00327634j 0.00308991+0.00261216j -0.000863207-0.0137894j -0.00415904-0.00262916j 0.00540698+0.000322603j -0.00655142+0.00695415j -0.00220285+0.00429898j -0.00674378-0.00817794j 0.00236908+0.010078j 0.000999349-0.00216221j 0.00272288+0.00825585j 0.00943663-0.00793794j -0.00121806+0.00242497j 0.00301733-0.00765572j 0.00834967-0.00634153j 0.0104452-0.00448907j 0.0118298+0.000852885j 0.000672263+0.00806984j 0.00657358+0.0061997j 0.00234845+0.00934793j -0.00181763-0.00369678j 0.00115157-0.00171296j 0.00133302-0.00906366j 0.00579956+0.0140614j 0.0071185+0.00162332j -0.00471905-0.004685j -0.00292805-0.00430219j -0.014122-5.63235e-05j 0.0144087+0.00256103j -0.00274181+0.000139764j 0.000884455-0.00719632j 0.00152378+0.000755551j 0.0115817-0.000380479j -0.00760787+0.00852272j -0.0111144+0.00259656j 0.00133459-0.00921813j -0.00403083-0.00216586j 0.00631941+0.0084934j -0.00399736+0.00485023j 0.0105289-0.0005526j 0.010231+0.0160346j 0.00959281-0.00456801j 0.012965+0.00317958j -0.0109541+0.0100442j -0.00193995-0.00574453j -0.0110845-0.00814198j 0.00340709-0.000745147j 0.0120763+0.00788848j 0.0011926+0.000215985j 0.00613141+0.0119146j -0.00354802-0.0124262j -0.0153005-0.00497158j -0.00195642+0.0106191j -0.00314407+0.00550468j -0.00507151+0.0123313j -0.0136966+0.00223996j -0.00723292-0.00279062j 0.00326014-0.00287613j 0.00748797+0.0121947j -0.0113646-0.00202019j 0.00163042-0.00837269j 
-0.00322602-0.0214587j -0.0199785+0.00145335j -0.00790409-0.000677646j -0.00160667+0.00796128j -0.0150811+0.0150778j -0.0111876-0.0079411j -0.011031-0.0123061j 0.00503214+0.0110483j -0.0234546+0.00759458j 0.00214174-0.0132304j 0.00637834-0.00201548j -0.0143307-0.00491369j -0.0148373-0.010186j -0.00253334+0.020244j 0.00675038+0.00245944j 0.00362577-0.00613663j -0.0132048+0.00761973j 0.00361487-0.0191502j 0.00994186+0.00269335j 0.00922332+0.0083307j -0.00320454-0.01246j 0.00660119-0.00213292j -0.0015652-0.00415156j 0.0113091+0.00313626j 0.000116225+0.0119374j 0.00722024-0.00258961j -0.00239805-0.0169294j -0.00340598-0.0119219j -0.00525068+0.000422331j -0.011437+0.000640931j -0.00325582-0.0063716j 0.00074085-0.0018118j 0.00420761+0.00559079j -0.00952618-0.00222906j -0.00894697+0.0150274j -0.017882+0.00247497j -0.00417954-0.0158929j -0.0102094+0.00539638j -0.00950635-0.00452447j -0.00129607-0.00351953j -0.00306277-0.0019551j -0.00107727-0.000813071j -0.000721158-0.00237906j 0.00543566-0.00137677j 0.0124459-0.00393793j 0.0127894+0.00175859j 0.0020954+0.00843107j 0.0104951-0.00831593j -0.0128513+0.0130561j -0.00996054-0.00260034j 0.0133205+0.00423759j 0.00776194+0.000928088j 0.00183778-0.0100603j 0.00214852-0.0164618j 0.000905522+0.0108042j -0.0104113-0.0110804j -0.00246772+0.00283389j -6.96373e-05-0.00055348j 0.0037122-0.00136943j 0.01162-0.0133064j -0.00321429+0.00643349j -0.00279417+0.00834914j 0.00374018-0.0119505j -0.00991266-0.000440806j -0.00339218-0.00204853j 0.00845354-0.0121625j -0.00479998+0.00157329j 0.0118922-0.00940152j -0.0105796+0.00671062j 0.003448+0.000358668j -0.0144125-0.00521461j 0.0142171-0.0130323j 0.0306218+0.0161052j -0.0057792+0.00751148j -0.0038326-0.00209932j -0.00653779+0.00421584j -0.0103045+0.0238668j -0.00181184-0.000311368j 0.0155359-0.00249467j 0.00152185-0.0177149j -0.0142785+0.0101424j 0.00209176+0.0124198j -0.00991132+0.0137846j 0.0245295+0.0133834j 0.0108655-0.0184895j 0.00192192-0.00905841j 0.0122655-0.00262975j 0.00317228+0.00027348j 0.0193635+0.00667523j -0.000520811+0.0101696j 0.0172192-0.00968541j 0.0114727+0.0157858j 
-0.00833586+0.00265241j -0.00251674+0.0103938j 0.0156234+0.00252684j -0.00431811-0.0111623j -0.0130303+0.0119558j -0.019681-0.0101854j -0.012508-0.00269259j 0.00898042-0.003467j -0.0104545+0.0119893j -0.00446025-0.00889942j 0.00740912-0.00154775j -0.00311199-0.00114536j -0.0148165-0.00147561j 0.000523102+0.0110388j -0.00412783+0.0053898j 0.0159566+0.00491327j -6.80846e-05+0.00215698j 0.00153936+0.000780062j -0.00327324+0.014435j -0.0118303-0.0089326j -0.00258828+0.00372587j -0.00305236+0.00405163j -0.000595868+0.00726766j -0.0167445-0.011878j -0.00668917+0.0132047j 0.00200676-0.00775723j -0.00769265+0.0105154j 0.00181243+0.00692287j -0.00370104+0.00403988j 0.0062323-0.00781018j -0.00327657-0.000999503j -0.00562332+0.000424666j -0.011534+0.00690149j 0.00541541-0.000785983j 0.00348881-0.00804766j 0.00455772-0.00694857j -0.015367-0.000217137j -0.000370648-0.00119863j 0.0061665+0.0044659j -0.00665887+0.000158383j 0.00308342+0.00121488j -0.0160685-0.00892046j 0.0025171+0.00450854j 0.00465142+0.0131014j 0.00405787-0.00924633j -0.015687-0.0103676j 0.0038735+0.0006546j -0.00133816+0.000531798j -0.00292359+0.00663929j 0.00168978+0.00585456j 0.00390835-0.00145354j 0.00295568+0.000289903j 0.00546617+0.0162497j -0.00347187-0.00179674j -0.000222996+0.0041967j 0.00957094+0.00155681j 0.0141634-0.0058851j -0.00435339-0.00781858j 0.0111993-0.00465226j 0.0111532-0.0043219j 0.00336882-0.0038428j 0.000573683+0.00125302j -0.00462245+0.00205742j 0.00789225-0.000143426j 0.00597731-0.0045006j 0.00957798-0.0119557j 0.015853-0.010411j -0.00739925+0.0132088j -0.00842799-0.000231466j -0.0135732-0.012981j -0.00543546-0.00180022j 0.0148612-0.000764034j 0.00751749+0.0113703j 0.000989672+0.0105702j 0.00631064-0.00734139j -0.00136791-0.000332488j -0.0187129+0.00742376j -0.00770573+0.00684585j 0.00642641-0.0106104j 0.0012884-0.018688j 0.00383718+0.0107531j 0.00369591+0.0144642j -0.0114418+0.0203203j 0.00939002+0.0077548j 0.0101084-0.00764215j 0.00630328-0.00835519j 0.00792333-0.011835j 0.0123894+0.00372604j -0.00374949+0.00681228j -0.0120963+0.00137651j 0.00268511+0.00819518j -0.00599325-0.00516436j 
-0.00893597+0.0118677j 0.00491464+0.0113392j -0.00107995+0.00255247j -0.00400849+0.00380948j -0.0094323-0.017738j 0.0100446-0.0194214j 0.0148648+0.00791724j 0.00396372-0.0113766j 0.0137045-0.00307935j -0.00377578+0.0055124j -0.00162194-0.00209385j 0.0136874+0.00228123j 0.00413403+0.0130063j 0.00176935-0.0134229j 0.00196981-0.000393757j 0.00615866+0.0121515j 0.00207405-0.000473257j -0.00905295+0.00554606j 0.000705063+0.00323555j -0.00218526+0.00224209j 0.00438212+0.00330409j 0.00254048-0.00332982j 0.000145853+0.0114703j 0.0143339-0.00135195j -0.000896552-0.0182732j -0.0133872+0.0101919j 0.00918077-0.00622214j 0.00390735+0.00224769j -0.00030286+0.00236737j 0.0133755-0.00290516j -0.00407093+0.0070957j 0.00963505+0.0125544j -0.00216571-0.00440682j 0.00602392-0.00222577j 0.0109083+0.0104469j 0.00246059-0.000199506j 0.00629838+0.00668292j 0.0107048-0.00129832j 0.00561984+0.000950127j -0.00304745+0.00777771j -4.49668e-05-0.00309821j -0.00556351+0.00419514j -0.00215295+0.0129078j 0.00583144+0.00188426j -0.0133726+0.00196357j 0.00424036+0.00336475j -0.00402486+0.00594685j 0.00386016+0.00173214j 0.00471966-0.00586838j -9.25711e-06-0.00602066j -0.00701281-0.0118034j -0.00686232-0.00382981j 0.0129024+0.00750178j 0.00561029-0.0003889j 0.000289912-0.00204205j -0.00182547-0.0157338j 0.00949141+0.000525052j -0.00968028+0.00451863j -0.00241988-0.00989501j 0.000205325-0.00189391j 0.00756375+0.00403847j 0.0100729+0.00166306j 0.00639798-8.66486e-05j -0.00165956+0.0044922j -0.00281193+0.0116765j 0.0155861+0.00262524j 0.00677722+0.0011568j -0.00573971-0.00698291j -2.28386e-05-0.0085018j 0.0094851+0.00510236j -0.00104957-0.00251392j 0.00305763+0.0103995j -0.00672726-0.00274479j -0.000620951-0.00816874j 0.00854638-0.00667887j -0.00677562-0.00855428j 0.0162066-0.0017911j 0.00835957+0.000774508j -0.0199513-0.000103338j 0.00134104+0.0154166j 0.0158374-0.00545946j -0.0170642-0.00436437j 0.00830811-0.0156137j -0.0161394-0.0119315j 0.00517018+0.00825445j -0.00667828+0.00925393j -0.0146915-0.00397285j 0.00331874-0.015094j 0.0040932+0.00275052j -0.00431292+0.0138387j -0.00809812+0.00436829j -0.00276829-0.0143971j 
-0.00325216-0.00478636j -0.00114593+0.000470158j -0.0126153-0.00228829j 0.0032778+0.00604892j 0.0036369-0.00615565j -0.00524547+0.00647843j 0.0035672-0.0161176j -0.0156763-0.00644155j -0.00308588+0.00738665j -0.0116991-0.00146849j -0.000179475+0.0194308j 0.0132463-0.00431271j 0.00284183+0.0108554j 0.0152405+0.00255281j -0.0107927+0.00194183j -0.00307098+0.0015977j -0.00201901+0.0021243j 0.00582878-0.00289226j -0.0010741+0.00531843j 0.0138568+0.00157004j 0.00362259-0.026311j 0.0082341+0.00501812j -0.00392918-0.0102902j 0.0081425+0.00599826j -0.00516625-0.00687588j -0.0113605-0.00599152j 0.00820858-0.00182389j -0.00662712-0.00500738j -0.00641995+0.00779183j -0.00253067+0.0044353j -0.00298365-0.00844718j -0.00126672-0.0100523j -0.00660773-0.00552445j -0.00471411-0.000735996j -0.0161344-0.00242436j -0.005146+0.00395513j -0.00374554-0.00291771j -0.000566409-0.00610949j 0.0128197-0.000610767j 0.00260284-0.00224968j -0.00607716+0.00372718j -0.00609831+0.00297904j 0.00262091-0.00450316j -0.00049653+0.00222095j -0.00640619+0.00806096j 0.00146772+0.00752543j 0.0119191-0.00435241j -0.011689-0.00442281j 0.00783871+0.00738761j 0.00336651-0.00526226j -0.00372349+0.00167575j -0.00213967+0.00541027j -0.000425576+0.00386983j 0.00494342-0.00377602j -0.0156844+0.00962959j -0.00183044-0.00301878j 0.00207718+0.00286548j 0.000520809-0.00875786j 0.003506+0.00470296j -0.00125137+0.0074741j -0.00432345+0.00310219j -0.00300814+0.00455134j 0.000916603+0.00503506j -0.0055776-0.00361242j -0.0127792+0.0121751j -0.0084083+0.00667907j 0.0018611-0.00217454j 0.000633673-0.00936382j 1.45334e-05+0.00520207j 0.00583389-0.00751713j 0.00930638+0.0125476j 0.0105892+0.00254582j -0.00234391-0.000296668j -0.00449199-0.00819257j -0.00268503-0.00449038j 0.00433303+3.93981e-05j -0.000144051-0.00906565j 0.00766082+0.0069925j 0.0033405+0.00650678j -0.00331093+0.00608212j 0.0173854+0.000410747j -0.00669298-0.00953911j -0.0135259+0.00985546j 0.00379732+0.00690487j -0.0011202-0.00512716j 0.0115007+0.000789381j -0.0043741+0.0184298j -0.00404443+0.00117859j 0.0235663-0.00114622j -0.000102767+0.0205343j -0.000848812-0.0091617j 0.0108841+0.00267239j 
-0.0163594+0.0201901j 0.0185227+0.0157125j 0.00591546-0.0215759j -0.0208143-0.000440363j -0.00522402-0.00393044j -0.000603266-0.00845865j 0.00927958-0.00282044j -0.00702793-0.0149711j 0.00089807-0.00400072j 0.00460173-0.00322708j 0.00948659+0.00031519j 0.00860356-0.014338j -0.0127084-0.00854103j -0.00565864+0.00665476j -0.0176876+0.000320539j 0.0122715+0.0124695j 0.00776972-0.00171485j 0.00325767-0.00567028j 0.000350398+0.00653089j -0.00456722-0.00652884j 0.000640179-0.00188494j 0.0181574+0.0145015j 0.00713175-3.27789e-05j 0.0038969-0.00505607j 0.000566583-0.00966489j 0.00293978-0.00732208j 0.00680526-0.0141094j -0.00081618+0.0137724j -0.00815567+0.00225313j 0.0042503-0.0142451j -0.0118511-0.000699068j -0.00568321-0.0109924j -0.0118065+0.0024156j 0.0166306+0.00433431j -0.00115373+0.00950198j 0.00610576-0.00409938j -0.00931226-0.0055876j -0.000243204+0.00767207j 0.00089608+0.00733219j -0.0101262+0.00227434j -0.00566515-0.00153356j 0.000651524+0.00128353j -0.00154164+0.00323456j 0.00508617+0.0165009j 0.0115221+0.00173296j 0.00418772+0.00808307j 0.00633181-0.00101126j 0.0106674-0.0103336j -0.000136495+0.00816185j 0.00371518-0.000179306j -0.00130722-0.00549111j 0.00321878+0.00131494j 0.000176608+0.00870614j -0.000459553-0.00510736j -0.00874257+0.0154696j -0.00907227+0.000692778j 0.0016208+0.000625464j -0.0100113+0.00250401j 0.00307678-0.00639449j 0.00558856-0.0071401j -0.000174079-0.00694711j 0.00886091-0.0024297j -0.00949505-0.00196925j -0.00277388+0.0028635j -0.00494515-0.000238442j 0.00612585-0.00397945j -0.005379-0.0071773j -0.0049721-0.0239563j 0.00879471-0.00398944j 0.00157541-0.00431454j 0.00306003-0.00462654j 0.00669984+0.00227615j 0.00602778-0.00613559j 0.00558141-0.0109687j 0.010038+0.011432j 0.00255359-0.00939966j 0.00464362+0.00183286j 0.013056-0.00253677j -0.00340287+0.00279967j -0.00130731+0.00514857j 0.011925+0.00178363j -0.00108518+0.00606124j 0.000967145+0.0087433j -0.00643478-0.00452086j -0.00996216+0.00589872j 0.00609844+0.00707346j -0.00406565+0.0148976j 0.000472935-0.0121175j -0.00159021+0.0230371j -0.0139158+0.00592316j -0.0255227+0.00329322j 0.00310852-0.0261627j 
0.0047927-0.0155912j -0.0109144-0.00651387j -0.023981-0.000919812j 0.00771023+0.0171757j 0.000660376-0.00199393j 0.00380995+0.00548649j 0.00403753-0.00526274j -0.0133227+0.00422927j 0.00420824-0.00664047j -0.000139904+0.0113616j 0.000742536+0.0136936j 0.00297624-0.00673492j 0.000578142+0.0127963j 0.0188296+0.0138259j -0.00172228+0.00307997j 0.00200202-0.000867943j -0.00631912+0.00804036j 0.00398024-0.0026353j 0.000432517-0.00309803j 0.0110448+0.000308653j 6.9513e-05-0.0129838j 0.0022432-0.00248682j -0.00253196+0.000141942j -0.00226126-0.00300804j -0.00291856+0.00027026j 0.00141177-0.00698243j 0.00196796-0.00478754j 0.00241079-0.00542445j 0.00527911+0.0077193j -0.000279207+0.00406602j 0.00571709-0.00572383j 0.0121434+0.00419532j -0.0168467+0.00786631j -0.00725322+0.0164025j 0.00120832-0.00274233j 0.000449773-0.00196185j 0.00176743+0.000562757j -0.00970823-0.00458114j -0.00221586+0.00742509j -0.00880036-0.0078422j 0.00232965+0.00613931j -0.00481415+0.00219797j -0.0038447-0.0124533j -0.00589091-0.000860825j 0.00191429+0.00525156j -0.00183951+0.00790507j -0.00323238+0.00207367j -0.00333358+0.002425j -0.00274438+0.012505j -0.000976624-0.00107832j 0.00281323-0.00681635j -0.00140788-0.00798568j 0.00168806+0.00686066j 0.0048996+0.00389465j -0.00647754-0.00455803j 0.00671346-0.00893366j 0.00644208+0.00234119j 0.00529475-0.00536457j 0.00354948-0.00114893j 0.00232614+0.00445673j -0.00207489+0.00904727j -0.0035585-0.00233421j -0.00409392-0.0071783j -0.018308-0.000278812j 0.00410213+0.00220377j -0.010964-0.00553123j -0.0128623-0.00863279j -0.00281162+0.00194496j 0.00481964+0.0146333j 0.00454258-0.0100389j -0.0137047+0.000723831j -0.0060428+0.00988805j -0.000938064+0.00579086j 0.00104691+0.00386793j -0.00765149+0.00602808j -0.00279784-0.0017205j -0.023649-0.00909336j -0.0124853+0.0167552j -0.00161577-0.0107979j -0.0137039+0.00595965j -0.0080932-0.0100345j -0.0104881-0.0109255j -0.00164681-0.0209564j -0.00584725+0.00389744j -0.0154178+0.00318193j -0.00157488-0.00564021j -0.00359061+0.0146964j -0.0187012-0.00498295j 0.0239001-0.00379231j 0.00878283+0.00188572j 0.00573361-0.018292j 0.0132306+0.00809492j 
0.0197022-0.0305871j -0.0257375-0.0225244j -0.0258685+0.025312j 0.033127+0.0133612j 0.00866344-0.0083205j 0.00295478+0.013319j 0.00337077-0.010904j -0.00712116+0.00771574j 0.0047605-0.0026547j 0.00256709+0.0183486j -0.00581432+0.0144285j -0.00522892+0.00689038j 0.0113808-0.00728757j 0.00669096+0.00272796j 0.00525459+0.000279142j -0.0101473-0.0105212j -0.0146518-0.00536014j 0.00575869+0.0028599j 0.0106873-0.00481417j 0.00943462+0.0172026j 0.0099684-0.00718361j -0.00178233-0.00699806j -0.00197256+0.0135963j 1.80288e-05+6.89334e-05j 0.00964317-0.0053055j -0.00354924-0.000854496j -0.00842193-0.00144039j 0.00821976-0.00924862j 0.00792443-4.59865e-05j 0.00023103+0.0181744j 0.0169416-0.00109614j 0.00622226+0.000634581j 0.00680065+0.00333851j -0.00637537+0.00443828j -0.00197632-0.00525886j -0.00552637+0.00182522j 0.00506947+0.00320534j -0.00937119+0.00166514j -0.0127657-0.00577067j -0.00705539-0.00844654j 0.00230697+0.0097576j -0.00170475+0.00743423j 0.00256435-0.0113792j -0.00775335-0.00104605j -0.002064-0.0041744j 0.00949281+0.00679621j -0.00789967+0.000307584j 0.00216145-0.00258526j 0.00767325-0.00074933j 0.0134022-0.00548507j -0.00121221+0.0044648j -0.000987816-0.00699141j -0.00578808+0.00590591j 0.000287775-0.00593679j -0.0107527-0.00449722j 0.00408981-0.0119j -0.00488268-0.000538144j 0.00059248-0.00368849j 0.00521837+0.00357582j -0.0149552-0.00683745j -0.00834246+0.00909992j 0.0045512+0.0140973j 0.00701138+0.00429518j -0.0104605+0.000447342j -0.00467362-0.00343695j -0.0120235-0.00308694j 0.000865324+0.00782715j -0.00205773+0.00497746j 0.0100914+0.00725995j 0.0043913-0.00937912j 0.00338884+0.0140815j -0.00724958-0.00743406j -0.0109754-0.0159534j 0.00350089-0.000862873j -0.00999273+0.00196035j 0.00097605+0.0100884j -0.0174141-0.0160109j -0.0037795+0.017327j -0.0127042+0.00359733j -0.00204731+0.0097126j -0.00434241-0.00108461j 0.00531512-0.00934402j 0.00209363-0.019797j -0.0101522+0.00263864j -0.00814905-0.0151057j 0.00411646-7.36439e-06j -0.00550271-0.00730223j 0.0135276+0.00207417j 0.0278562-0.0306506j 0.0321651+0.0116151j 0.0378067-0.00803399j 0.00429563+0.040995j 
0.00926264-0.0112026j -0.00623957-0.00940864j 0.00482981+0.00578862j 0.0070302-0.00382661j 0.00732332+0.0134058j -0.00778006+0.00641944j -0.00342549+0.000452352j 0.00203197-0.00326734j -0.0142651+0.00694768j -0.00245003-0.0111248j 0.00629815+0.00788155j 0.00178319-7.13633e-05j -0.0020257-0.00162349j 0.00296593+0.00631515j -0.00207081+0.000895389j 0.00610834-0.00186022j -0.0147215+0.000216761j 0.00742511-0.00341212j 0.00257201+0.00930441j 0.00400335+0.0026702j 0.00348656-0.00541231j 0.00648825+0.00157103j 0.000402437+0.00854502j -0.00338705-0.00229557j 0.00814508-0.00175505j 0.00496085-0.00229267j -0.00438898-0.0090147j 0.00356828-0.00506906j -0.00183909-0.00278473j 0.00899306+0.00674947j 0.00339929-0.00753511j 0.0048408+0.0108509j -0.00589275+0.00792628j -0.00785564-0.000833646j -0.00399199-0.00847298j -0.00430605-0.00769303j 0.00204563-0.0107251j -0.00557608+0.00312581j -0.0075337+0.00561333j -0.00320463-0.00843592j -0.00149123+0.00183908j -0.00577726-0.00102281j -0.00564679-0.0101799j 0.00395516-0.00134301j 0.00761418+0.000963424j -0.0026579+0.00381888j -0.00201471-0.00382562j 0.00113474-0.00916498j -0.000210301+0.0150861j -0.00442606-0.00315713j 0.00634696-0.000793245j -0.00962479+0.00104629j -0.00556351+0.00359222j -0.00523558-0.0027925j -0.0062362-0.00131418j -0.000643841-0.00561152j 0.00915784-0.00200232j 0.00798233-0.00223873j 0.00861514-0.00550469j 0.000823614+0.00106062j -0.00484378+0.00353308j -0.00219049+0.00885663j 0.0108169-0.00512278j -0.005005+0.00440032j 0.00619287-0.00101456j -0.00277127+0.000680482j -0.00547616-0.00234395j -0.00743677+0.00259968j 0.0014101-0.00620122j 0.000971916-0.00493431j 0.00219625-0.00807925j 0.00226138-0.000960921j 0.00751495-0.00259479j 0.000399976+0.0100573j -0.00136263-0.00299637j -0.000907727-0.00046627j -0.00626663-0.000156311j -0.000591579+0.00372454j -0.00581935-0.00347127j -0.00543745-0.000678879j -0.00242699-0.0039201j 0.00596738+0.000621145j -0.000489428-0.00230412j 0.0023607+0.00593075j -0.00958198-0.0134408j 0.00641988-0.0200186j 0.0155297+0.00771059j -0.00105485+0.0131242j 0.000688277-0.00150043j 0.000803317-0.0028167j 0.00194567+0.000295052j -0.00101846+0.00628886j 
0.0161144+0.0163041j 0.0142612-0.0133805j 0.00818419+0.0213819j 0.0199978-0.00825992j 0.0186172-0.0116425j 0.0164354+0.0159261j 0.00239755+0.0277554j 0.0125984-0.0118951j 0.0172682+9.28188e-05j 0.00246209-0.00115131j 0.00798974-0.00389231j 0.0134702+0.00176438j 0.00240921-0.00688414j -0.0115367-0.0117993j 0.00224437-0.00631309j -0.00857442+0.00165839j 0.0102216-0.00433051j -0.00377545+0.0136319j -0.00342626-0.00641696j -0.0132954-0.00327543j 0.00264089+0.00902669j -0.00677226+0.00228862j -0.00742277+0.00843429j 0.0062239-0.000858176j 0.00937904+0.00238977j -0.00681189-0.00166081j 0.00347886+0.00594163j 0.0058605+4.40308e-05j -9.96448e-06+0.00578179j 0.010587-0.00636787j 0.0175856+0.0129895j 0.00520262+0.000482865j 0.0079126+0.0141214j 0.0087461-0.00657328j -0.000336616-0.00339346j 0.0123076-0.00254513j -0.00308057+0.0131908j -0.0108552+0.000247531j -0.00264584-0.00228832j 0.00619266+0.0100489j 0.00298434+0.00109417j 0.000719063-0.000889007j 0.00610746+0.011389j 0.00799227+0.00288483j 0.00335186-0.00779141j 0.00540856+0.000189166j -0.00219877-0.00439038j -0.00641727-0.00518033j 0.000642937-0.000755344j -0.00186185+0.00459033j 0.000625445+0.00911797j 0.0015771-0.00507134j -0.00670361+0.00354975j 0.000433154+0.0128902j 0.00522217+0.0031636j 0.00375038-0.00208276j -0.0161234+0.0109398j -0.00170211+0.00974223j -0.00201853+0.00830375j 0.00382051-0.00366716j 0.00441637+0.00103111j 0.0111835+0.00450865j 0.000609168-0.00922579j 0.00945556-0.00851325j -0.00259822-0.000319605j 0.012524+0.00155016j 0.00409647+0.00872803j 0.00945714+0.00546914j 0.00482679+0.00882752j 0.0043374+0.000606009j 0.0135772-0.0113951j -0.00486622+0.00473623j -0.0154178+0.00295206j -0.000939251+0.00276437j -0.0166921-0.00214714j 0.00402108+0.00431211j 0.0163074-0.0111155j -0.00643459-0.00153104j -0.00672483+0.011906j 0.00797817+0.00638538j 0.011953+0.00174096j -8.15021e-05-0.0157848j -0.0100159-0.014507j -0.0158471+0.00257295j -0.0107274-0.000364858j -0.00517198-0.00490136j -0.0114015-0.00904332j -0.00180673-0.00407857j -0.0194627-0.0252932j 0.00468312-0.0156937j -0.0151183+0.0215238j -0.0280183-0.0144918j 
