-0.0839282-0.0897145j 0.0918786-0.0853445j 0.0152098+0.0635794j 0.087173-0.0253418j -0.051908-0.0302878j -0.0159839-0.0479382j -0.0171818+0.00226813j -0.000669792-0.031762j 0.0246679+0.0485948j -0.00213199+0.0191537j 0.0384564+0.00123623j -0.00881161+0.00120872j 0.010087+0.0236088j 0.0243799-0.0455979j -0.00255872-0.0279386j -0.0147755+0.00193477j -0.00609392+0.0552385j -0.0475699+0.0262228j -0.0805088-0.0167197j 0.0153661-0.0640287j 0.0904989+0.096331j 0.0956171-0.0902824j 
4.46027e-05+0.00682206j -0.00552864-0.00225829j 0.00218678+0.0116525j 0.0128463-0.000758642j 0.00280823-0.00151858j 0.0155458+0.00264146j -0.0105412-0.000578277j 0.0065158+0.00283827j 0.0025898+0.00184858j 0.00688032-0.014745j -0.00456812+0.0022549j 0.00284142+0.00559225j 0.0130574-0.0036966j 0.00572278+0.00962276j -0.00662068+0.00206737j -0.00157896-0.00255705j 0.0134769+0.0113555j 0.0053487-0.00892202j -0.012418-0.00138553j 0.0113125-0.0197136j -0.00839772-0.00508458j -0.00658099+0.00615298j 
-0.00165858+0.00998623j -0.0112477-0.00362227j 0.0109666+0.0111179j 0.00622962-0.0122744j 0.00415915+0.00254455j 0.0100123-0.00150889j -0.0114023+0.011335j -0.00753568+0.00619306j 0.00754083-0.00255832j -0.00410198-0.00628989j 0.00086839+0.00432595j 0.00372403+0.010608j 0.00884115+0.00506577j 0.0157089-0.0106504j 0.00187555-0.00469143j -0.00409761-0.0094043j -0.00289595-0.0126604j 0.00167884-0.0211961j -0.00454085-0.00625555j 0.00496252-0.0144676j -0.0105928-0.000388832j -0.00297204+0.0105078j 
-0.00882778+0.00305961j -0.00161848-0.00796359j -0.00961184-0.00971646j -0.00285761+0.00476196j -0.00799697-0.0072781j -0.00501176+0.000289072j 0.000184402-0.00316877j -0.00217695+0.000666026j -0.00348754+0.00844892j 6.19643e-05-0.00140773j -0.00325162+0.00355044j 0.00255093-0.000212855j 0.00438918+0.00284476j -0.000790207-0.00562372j 0.00184761-0.000201244j 0.002072-0.00366772j -0.00811727+0.00333581j -0.00330743-0.00219109j 0.00321404+0.00173027j 0.00100299+0.00274408j -0.00337827-0.0019168j -0.000890834+0.00294266j 
-0.00803298-0.00539246j 0.00556351-0.00631379j 0.00790053-0.013837j -0.00685787-0.00787994j 0.00383589-0.00600552j -0.0100878+0.00294978j -0.000253617+0.00512984j -0.00839946-9.30926e-05j -0.00164164+0.00895236j 0.0028466+0.00900815j 0.000501963+0.00451068j -0.00265852+0.00608911j 0.00352986+0.015293j 0.0037449-0.00879926j 0.0115624-0.00276094j 0.00712787-0.000742309j -0.0191867-0.00946466j -0.00485685-0.00587949j 0.00399841-0.00482097j 0.000860175+0.00447935j 0.00342286+0.000321759j 0.00176206-0.00295658j 
-0.0125581-0.00431988j 0.00326897-0.0117109j 0.00677659-0.00070655j -0.000110688-0.00111037j 0.00242853-0.009394j 0.0108464-0.00544505j -0.0018979-0.00141037j -0.00536785+0.006042j -0.00210165-0.00167799j 0.00240067-0.00291265j -0.00210821+0.00154465j -0.000281649+0.0120829j 0.00328952+0.00774679j 0.0079276-0.0114152j 0.00213921-0.00895258j 0.0047388-0.00284009j -0.0158038-0.00765908j -0.00316493-0.00712893j -0.00316995-0.00555982j 0.00201931+0.00197801j 0.00458645-0.00110394j -0.0012586-0.00345404j 
0.0109626+0.00100859j -0.00104323+0.0107912j 0.000619887+0.000357385j 0.00119282+0.00200472j -0.00343886-0.00497834j 0.00924717+1.9255e-05j 0.00655372-0.010644j 0.00312749-0.00310083j -0.00356306-0.00622842j 0.00457415-0.0085338j -0.00873643-0.00376293j 0.00166615-0.00186154j -0.00478945-0.0108153j 0.000429136+0.0035577j -0.00550778+0.000264391j 3.34705e-05+0.00249333j 0.0108078+0.00146622j 0.00694325+0.0017204j -0.00255662+0.00726481j -0.000532099+5.42696e-05j -0.000642132-0.00661181j -0.00693671+0.000593619j 
0.00293347+0.00325959j -0.00232349+0.00291448j 0.00254358-0.000458995j 0.00372573-0.00233123j 0.00049804+0.00363213j -0.00393157-0.000826546j -0.00868065+0.00038912j 0.00358864+0.00031111j 0.000269076+0.00689186j 0.00280699+0.00305034j -0.00287283+0.00890085j -0.00334025+0.00210219j 0.000740611+0.00284448j -0.0070389+0.00246516j 0.00368567+0.00302308j 0.000347671+0.00771672j 0.000317324+0.00219986j -0.00394318-0.00254944j 0.00220006+0.00500969j -0.00243108-0.0031436j -0.000743558+0.00304332j 0.00389765+0.000369764j 
0.00379745+0.000237166j 0.000286924+0.00523302j -0.00971929-0.0137415j -0.0114056+0.011354j 0.00699147+0.0049441j -0.0117828+0.00290773j -0.000313372+0.00459422j -0.00191497-0.00114454j -0.0051325-0.00986116j 0.00943668-0.0039932j -0.00945173-0.00433835j 0.0121743+0.00367232j -0.0106084+0.00328374j -0.002751-0.000933324j -0.00829168-0.00935779j 0.00249798+0.00628673j 0.0024322-0.0090125j 0.00386076-0.00693137j 0.00861451+0.00719836j 0.0015666+0.00710304j -0.00379212-0.00738343j -0.0067128+0.00410975j 
0.00813849+0.000884076j -0.00221076+0.00741483j 0.00497259+0.0125105j 0.00295928-0.00221071j 0.00619203+0.0104338j 0.000282364+0.0020407j 0.0020976+0.00239448j 0.0040645-0.00291792j 0.00665517-0.00675561j 0.000359509+0.0107583j 0.00900562-0.00347122j -0.00588445-0.00262204j -0.00819909-0.00227068j -0.003372+0.00761098j 0.0019997-0.00231805j -0.00331744+0.00338146j 0.00319929-0.00107665j 0.00142772+0.00823815j -0.00276797-0.00472844j -0.00281398+0.000210115j 0.00152709+0.0029051j 0.00229069-0.000953002j 
-0.00400154-0.00020495j -0.000825439-0.00405624j 0.00371762+0.00551516j 0.00523605+0.00751566j 0.0118419+0.00513819j 0.0070676-0.00862721j -0.00951752+0.00968491j -0.00079633+0.00704932j 0.0028844-0.000532267j -0.00382099-0.0113631j -0.00783331+0.00220298j 0.0042652+0.00794809j 0.000420146-0.000454573j 2.30596e-05-0.00448143j -0.00333324-0.00436849j 0.00557572+0.00963599j 0.00324453-0.00322232j -0.00998604+0.00340296j -0.000301058-0.00411109j 0.00256573+0.00355209j -0.00131344-0.00334975j -0.00373283+0.00227796j 
0.00348172+0.00639969j -0.00684882+0.00387341j -0.00694356-0.000624965j -0.00463408+0.00309407j -0.00599739-0.00228504j 5.10694e-05-0.0017278j 0.00566269-0.0041189j 0.000324118+0.000224296j -0.00674042-0.017655j 0.0067142-0.00759154j -0.00102023-0.00370954j 0.0112811+0.00496181j -0.0112063-0.00104665j -0.000666318-0.00384517j -0.0145513-0.0120238j 0.0029293-0.000349364j -0.00052775-0.00948222j 0.00457632-0.00733598j 0.00644634+0.00336079j 0.000848517+0.00475329j -0.00507685-0.00415666j -0.00474883+0.00572788j 
0.0133264+0.00650797j -0.00579375+0.013099j -0.00552696-0.00249583j -0.00391817-0.00264923j 7.04482e-05+0.00471231j -0.0122695+0.00795754j 0.00115253+0.00450936j 0.00102128-0.00568925j -0.00176646-0.00844099j 0.0114455-7.36638e-05j 0.0045005+0.00256085j 0.00685759+0.00195315j -0.00931842+0.00509303j -0.0052858+0.00576629j -0.0064316-0.0080183j 0.00569555+0.00565077j 0.00104954-0.00804612j 7.66266e-05-0.00593418j 0.0103794+0.00287744j -0.00168075+0.000491173j -0.006251-0.00700855j -0.00690279+0.0056989j 
0.0013404+0.00183741j -0.00221934+0.000485507j -0.00270063+0.00802007j 0.00430139+0.0079471j 0.0126397+0.0132263j -0.000297912+8.44139e-05j -0.0101752+0.0133656j -0.000319657+0.00467295j 0.00878606+0.000746813j -0.00360565-0.00246703j -0.00215107+0.00298462j 0.00206756+0.00229245j 0.000510732+9.52444e-05j -0.00303576+0.00127871j 0.000317528-0.00213988j -0.000239587+0.00630336j 0.00521626-0.00107605j -0.00568532+0.00328185j 0.00214987-0.00229893j -0.000201269+0.00111832j -0.00124211-0.000597523j -0.00105704+0.00137795j 
0.00441842+3.35742e-05j -0.0006271+0.00452437j -0.00811723-0.00208882j 0.00074457-0.000509458j 0.00347158-0.0109847j 0.00335914-0.0102238j -0.00568097-0.000285694j -0.01139+0.0106546j 0.00236538-0.00261549j -0.0117025+0.0081283j 0.0191231+0.000187409j -0.0325641+0.00036076j 0.0116339+0.00861642j 0.00305242+0.00220988j 0.0110191+0.00991638j -0.00551322+0.000143749j 0.00254039+0.00990196j 0.00335156+0.0102983j -0.00078554-0.00061727j -0.0082012+0.00215617j -0.000572648-0.00483526j -0.0047477+2.7775e-05j 
-0.00296965+0.000298681j -0.000713415-0.00325039j 0.0101064+1.70681e-06j -0.00245785+0.00200112j 0.00245907+0.0043728j 0.0102136+0.00134559j 0.000198319-0.00574682j 0.0166186-0.0125349j 0.00771027+0.0135702j 0.00603311+0.0136633j 0.000561735+0.0022006j -8.74576e-05-0.000173427j -0.00312874-0.0148012j 0.00221097+0.0154416j 0.0208763+7.85302e-05j -0.0034627-0.00454568j -0.00732757+0.00721542j 0.00083027+0.00499365j -0.00314223-0.000113478j -0.00810927+0.0060805j -0.00133155-0.0030431j -0.00256126+0.00146886j 
0.00134388+0.00189424j -0.00161677+0.000863367j 0.0010329+0.00402895j 0.000726964-0.00243832j -0.00243352+0.00516604j -0.00336799+0.0054763j 0.00114726+0.000809306j 0.00389795-0.00497604j 0.000175674-0.000457691j 0.00563903+0.000424798j 0.000395838+0.00142222j 0.00794887-0.000362835j -0.00473666+0.000150037j -0.00230045+0.00228956j -0.00339901-0.0040161j 0.00187418+1.03152e-05j -0.00216811-0.00334149j -0.00168979-0.00360617j 0.00232143-0.000619824j 0.000291773-0.00181435j -0.000587536+0.0017316j 0.00157141+0.000501495j 
0.00405342-0.00302127j 0.0027678+0.00550549j 0.0112018-0.00383013j -0.00247993-0.00206809j 0.000843058+0.0124132j -0.00613596-0.0122894j -0.01446-0.00353548j 0.000998536+0.00234879j -0.00848027+0.00442988j -0.000344468+0.00666855j -0.00736582+0.00156364j -0.00466466-0.000423058j -0.00586625+0.00445125j -0.00817359-0.00575393j 0.00194885+0.00605702j -0.0131414+0.0135006j -0.000808105+0.0024169j -0.00710545-0.0114172j 0.00194396+0.00463611j 2.6926e-06-0.000184316j 0.00115992-0.000527988j 0.000614658+3.08571e-05j 
-6.38283e-05-0.00232855j 0.00237449+0.00102451j 0.0066337-0.0106075j 0.0020332+0.0023517j 0.00447648-0.0119877j 0.00978099-0.00843974j -0.000651278-0.00169018j -0.00464952+0.00858291j -0.000692283+0.00440225j -0.00730418-0.0104952j -0.0172717+0.00197021j -0.00172108+0.00323359j 0.0104417-0.00658497j 0.00364414-0.00792847j 0.00322999+0.00693645j 0.00111238+0.000750534j 0.00609451+0.00432518j 0.00566951+0.00224732j -0.00197006+0.00774021j 0.00327595+0.00642548j 0.00214907-0.00142677j -0.000558846-0.00203893j 
-0.00231761-0.000702676j 0.00112567-0.00270597j 0.00409752+0.00212781j -0.00126293-0.0110274j -0.0169308-0.00445428j 0.00131044+0.00498346j 0.00702882-0.0143503j 0.00390436-0.011171j -0.00503652+0.00253461j 0.00792255+0.0062958j 0.0072298-0.00134598j 0.000742499-0.00440098j -0.0033094+1.13744e-05j 0.00341117+0.0023007j 0.000778628-0.000133572j -0.00391145-0.00932653j -0.00881629+0.00187163j 0.00302853-0.00774356j -0.00234714+0.000470982j -0.00260797-0.00564597j 0.00249309+0.00537049j 0.00517839-0.00282112j 
-0.0109483-0.00567252j 0.00570513-0.0119995j 0.0105525+0.00682398j 0.0062674-0.00151799j 0.00855886+0.00878194j 0.00121601+0.00495565j -0.00456957+0.00913307j 0.00987955-0.0127432j 0.0103522+0.0138203j 0.00719873+0.00368259j 0.00166127+0.00689446j 0.00952775-0.000897819j -0.00225506-0.000320025j 0.00176341+0.0075258j 0.00723855-0.0058169j 0.00481373+0.00197374j -0.00725124+0.00165524j -0.0138818+0.00298073j -0.00726792-0.00697513j -0.00130314-0.0078672j 0.00468497+0.00738101j 0.00726482-0.00467024j 
-0.00252162+0.000810389j -3.24536e-05-0.0037161j -0.0121764-0.00487248j -0.00582553+0.00317049j -0.0109958+0.00601357j 0.00183153+0.000114588j -0.00896255-0.00308521j -0.00491981-0.00144369j 0.00508521+0.0072521j -6.53107e-05-0.00544718j 0.000677886+0.0063272j -0.000963918-0.00157414j 0.000161279-0.00450219j 0.00150214-0.00437504j 0.00603169-0.0023026j -0.00644697+0.00128846j 0.00291943+0.00219731j -0.00881738-0.00955479j 0.0092759+0.00163711j -0.00310713+1.26387e-05j 0.000412048-0.000646852j -0.00139865-0.00131118j 
0.000972169-0.00183778j 0.0030538+0.000502665j -0.0058844-0.00616915j -0.00357447-0.00343547j 0.000879962-0.00362682j -0.00958754+0.00861964j 0.00156654+0.0056984j -0.00100856-0.00299903j -0.000323835+0.00207045j 0.00669871+0.000596157j 0.00721632-0.00114187j -0.00291071+0.000339666j 0.00559701+0.00544901j 0.000474888+0.00606351j 0.00061066+0.00103902j 0.00425879+0.00347078j 0.00424193+0.00159298j -0.00325553-0.000420177j 5.64951e-05+0.000464934j -0.00224763-0.00785085j -0.00264893+0.0011108j 0.00105026+0.00130786j 
-0.00806291-0.00391467j 0.00350153-0.00852945j 0.0101114+0.00597289j 0.00145112-0.00508928j -0.010002+0.00338495j 0.00724616+0.000466519j 0.00332537-0.010957j 0.00696472-0.0125873j 0.000820321+0.00923497j 0.00423892+0.00431431j 0.00029141-0.00124987j 0.00490967-0.00592068j -0.00637457-0.00642944j 0.00400356+0.000295086j 0.00451462-0.00224367j -0.00474027-0.0050152j -0.00784998+0.00336333j -0.00623683-0.00199835j -0.00847238-0.00570707j 0.000653402-0.00547699j 0.00448359+0.0049959j 0.00456423-0.00394142j 
0.00828831+0.00335326j -0.00244942+0.00719287j -0.00743582+0.00269417j -0.00188938-0.00995058j -0.00919514+0.000262474j -0.00949817+0.00742939j -0.00226306-0.000470761j -0.00508329-0.00330879j -0.00144489-0.0039747j 0.00813739+0.00439192j 0.0180469-0.000721455j -0.00876223+0.000776945j 0.00272358+0.0118453j -0.000359588+0.00437835j -0.00288834-0.000770154j -0.00163904-0.000639188j -0.000420216+0.00199295j -0.000150657-0.00592297j 0.00348115+0.00129668j -0.00612296-0.00829621j -0.00124293+0.00466923j 0.00414729-6.07393e-05j 
0.0142758+0.0069674j -0.00755657+0.0138681j -0.00842469+0.0100666j -0.00151667+0.00179336j -0.00181914+0.0069345j -0.00432886+0.00449235j 0.00134178+0.000846604j -0.00459056+0.00626819j -0.0030259-0.0117704j -0.00159697+0.00184392j 0.00601448-0.00670364j -0.00440712+0.00151454j -0.00265479+0.00348854j -0.00458865-2.59786e-05j -0.0066138-0.000292008j -0.00202086+0.000587389j 0.00227794-0.00579019j 0.00495876+0.000747406j 0.00683556+9.31165e-05j -0.00413646+0.00484237j -0.0045219-0.00614597j -0.00679097+0.00488506j 
-0.00862684+0.000170477j -0.00246096-0.00887866j 0.00813797+0.0212031j 0.0101299+0.00290682j 0.000791497+0.00945622j 0.0116144-0.0103009j -0.0016272-0.00277687j 0.00449538+0.00121768j 0.00452439-0.00504212j -0.00826783+0.00596065j 0.00365169-0.000958409j 0.00131231-0.00203222j -0.0093244-0.00294546j -0.000819372-0.00441132j -0.00294062-0.00492836j -0.00666421-0.00445196j -0.00859214-0.000303457j -0.00194735+0.00596134j -0.00623606-0.00826917j 0.000798392+0.00405516j 0.00572894+0.00755586j 0.00683213-0.00366613j 
-0.00666769-0.00473934j 0.0059845-0.00626977j -0.00283135-0.0149444j -0.00448257+0.00313855j 0.00179932-0.00732591j -0.00156151+0.00332874j 0.00209064+0.00136644j 0.000821877-0.00242571j 0.000329046+0.00876677j 0.00191228-0.00515932j -0.00937427+0.00370734j 0.00454804-0.000768725j 0.00444984-0.00437145j 0.00252739+0.000805112j 0.00535382+0.00212496j 0.00486468+0.00120006j 0.00334662+0.000630967j -0.00135697-0.00139975j 0.00144631+0.00404302j 0.00164816-0.000411365j 1.32895e-05-0.00194809j -0.00132394-0.000885813j 
0.0118047+0.00262964j -0.00197984+0.0116242j -5.77095e-06-0.00220883j -0.0012959-0.0033842j 0.000295826-0.000216694j -0.0045473+0.00550279j 0.000106484+0.00177925j -0.00157983-1.75648e-05j -0.00210103+0.000138858j 0.00402995-0.00207491j -0.00135383-0.00104862j -0.000614083+0.00153252j 0.00334326+0.00138535j -0.00126665+0.00271232j -0.00053325+0.00254443j 0.00181946+0.0027211j 0.00437918-0.000424509j 0.00215157-0.00227869j 0.00280791+0.0034027j -0.0010029-0.00119854j -0.00366083-0.00583483j -0.0056799+0.00300221j 
