-0.00674733-0.00642097j -0.00531058+0.00254789j -0.0100266-0.00181773j -0.00476187+0.00583653j -0.00764838-0.00465122j 0.00498646+0.00749432j -0.0117041+0.00161821j -0.00619364-0.00709279j -0.00511151+0.0109487j -0.00797182+0.00780351j 0.00258146-0.00321206j -0.000412822-0.0021867j -0.00801356+0.00165637j 0.00442733-0.00133984j -0.0064207+0.000224701j 0.00269927+0.00475729j -0.00142007+0.00364573j 0.011966+0.000527012j -0.00368638+0.00208747j -0.00237309+0.00271599j 0.00499817+0.00358234j -0.00216199-0.00321176j -0.00776234-0.00121254j 0.00378693-0.00424459j 0.00179934-0.00203649j -0.00221947-0.00402788j -0.00275171-0.00315315j 0.00170481-0.00307119j 0.00225925-0.000644736j -0.000717838+0.0108413j 0.00114858-0.0020162j -0.000998322+0.00604277j -0.0019321-0.00111372j -0.00445316+0.00269732j -0.00121516+0.0035993j -0.0100245+0.00741817j 0.0108525+0.00165335j -0.00619416-0.00600482j 0.0106407-0.00794229j 0.00928988+0.00970025j 
0.000304633-4.14261e-05j 0.000819239-0.000513597j -0.00453755-0.00352389j 0.000326631+0.00190338j 0.00575091+0.000813742j 0.00335362+0.0140704j 0.000822347-0.0112944j -0.00947735+0.0104167j 0.0071231+0.00743362j 0.00433893-0.0062874j -0.0100844+0.00834736j 0.00276139-0.00054752j -0.00334419+0.00920215j 0.00934627+0.00367715j -0.00744201+0.00274917j 0.00293503+0.006271j -0.011125+0.00456964j 0.00119442-0.010767j -0.00982434-0.0058549j 0.00783652+0.00310925j -0.0107599+0.0120921j 0.00197319+0.00190898j 0.00958118-0.00563687j 0.0114847+0.0210943j -0.00325068-0.00345474j -0.000102863-0.00701578j -0.0103933+0.00340462j -0.000247734+0.0096061j 0.00418749+0.00229497j 0.00595797-0.0245795j -0.00521374+0.00821802j -0.0139283-0.000617501j -0.00135664-0.00259345j 0.0098964-0.00206018j -0.00936733-0.00118756j 0.00719375+0.0031419j -0.00423268+0.00371967j -0.00165937+0.00217734j -0.00157856+0.000266321j -0.000959468-0.002144j 
0.00146502+0.00129789j 0.00255867-0.000458738j -0.00428056+0.00273548j -0.00462152+0.0039548j 0.000671349-0.00778615j 0.00416077+0.00216066j 0.00832878-0.00166264j 0.00368862+0.00823274j 0.00437025-0.00284375j 0.0170727-0.00115403j -0.014068-0.00757604j 0.0089096+0.00137691j -0.00489258+0.00795509j -0.0074985+0.0103042j 0.00193097+0.0028039j -0.00550354+0.00356626j -0.00338673+0.00596619j 0.00697425+0.000618236j -0.00168128+0.00471088j -0.00037705-0.0101829j 0.00744632-0.00330699j -0.00634722-0.00162707j -0.0115246-0.00543849j -0.00287983-0.0103152j 0.00934661+0.00440828j 0.00142941+0.00660847j 0.0172549-0.00589494j -5.5799e-05-0.00528866j 0.00333244-0.000853163j -0.00708961+0.0181541j 0.00274346-0.0117877j 0.0075372-0.00244362j 0.00514702+0.00587472j -0.00275776+0.000734966j 0.00764863-0.00370468j -0.0107073-0.00874324j -0.000471145+3.4041e-05j 0.00344289+0.00130297j -0.00234155+0.00204542j -0.00319081-0.00109007j 
0.00292166-0.000873824j -0.0204232+0.00240931j -0.00441842-0.00837544j 0.0057452+0.0102336j -0.000524608-0.00371428j -0.00653395+0.00142234j 0.00844154-0.000983313j 0.00458067+0.00431426j 0.00735174-0.00342318j 0.00284768-0.000977761j 0.00350854+0.00229922j -0.00589321+0.00157084j 0.00283379-0.00285943j 0.00131207-0.00627184j -0.000315744-0.00400415j 0.00224169-0.000600779j 0.00600036-0.00256969j -1.5933e-05-0.00147065j -0.00118344+0.000669415j 0.00482726+0.00630077j -0.00148438+0.00328706j -0.00495415-0.00481112j 0.00266835+0.0103408j -0.0033778+0.00553423j 0.00222886+9.51524e-05j -0.0018043-0.00456891j -0.017914+0.00593389j -0.00150008+0.00167809j 0.00112535-0.00129903j 0.00160157-0.00139221j 0.000364442-0.000340305j -0.0023285+0.0116105j -0.000988128-0.000682794j 0.00367401+0.00652926j -0.000314096+0.006661j -9.81016e-05+0.0124561j 0.0115483+0.000675161j -0.00774389+0.00354826j 0.00352442-0.00773063j 0.00421659+0.00418501j 
0.00119201+0.000989936j 0.012542-0.000965959j -0.00179609-0.000668368j 0.000773173+0.00408422j 0.00579326+0.00121287j 7.09552e-05+0.00832662j -0.002645+8.19117e-05j -0.00184814-0.00403845j -0.00708864-0.00168329j -0.00403717+0.00705842j 0.00778384-0.00178813j -5.57923e-05-0.0106124j 0.00743299-0.0102755j 0.00626829-4.91387e-05j 0.00449043-0.0103282j 0.00304771+0.00215341j 0.0131224-0.00533639j 0.0102024+0.000537266j -0.00427186+0.00992493j 0.0156275+0.00490586j 0.000762346+0.0141562j -0.000706389-0.0123757j 0.00924899+0.013286j 0.0115999+0.0102603j 0.000842634-0.000240963j 0.0129272-0.00560915j -0.00490299+0.0117909j -0.00278081+0.00420222j -0.00423567-0.000200134j -0.00218067-0.00758264j 0.000168415-0.000920075j 0.00171601-0.00599997j 0.00531293+0.00123108j 0.000451487-0.000738201j 0.00139923-0.0040526j -0.00115736-0.00477839j -0.00945131+0.00157764j -0.000503675-0.000397245j -0.00433932+0.00304134j -0.0016166-0.0058945j 
-0.00237236+0.000730733j 0.00038297-0.000164577j -0.0076124-0.0020481j 0.00289964+0.0123161j 0.0050512+0.00140958j 0.00400909+0.0165292j -0.00639263-0.0126912j -0.00598764+0.010202j 0.0117259+0.00275937j -0.00685939-0.00768376j -0.00727164+0.0090082j 0.00431701+0.00620746j -0.00603783+0.000907238j -0.0045685+0.0106844j 0.00100101-0.00092492j -0.00378989-0.00403339j 0.00178042-0.00364545j 0.00451458+0.0018751j 0.0075101-0.000601099j -0.00791281+0.00516165j 0.00819799+0.00120804j 0.0114935+0.00280547j 0.00411396+2.74819e-05j -0.00414702-0.0123164j -0.0105617-0.00417812j 0.000518585+0.00104179j -0.000888499-0.00176491j 0.00360328-0.00280314j -0.0193003+0.00367801j -0.00691012+0.00339535j -0.00293191+0.0124728j 0.00908535-0.000739672j -0.00200463-0.0121699j -0.0072791-0.00259566j -0.00854004-0.0016936j 0.00192811+0.000469351j -0.00137556+0.00236707j -0.00307522+0.00485338j -0.00397406+4.11169e-05j -0.00103559-0.00529089j 
0.00385148+0.000973133j 0.00936007-0.000887515j -0.0067007+0.00378694j -0.00492393+0.0119464j -0.00454209-0.0118629j 0.00688557+0.00091502j 0.00477029-0.00284091j 0.00671619+0.00679219j 0.00528473-0.0024289j 0.0129138-0.00271879j 0.0022275-0.005677j -0.00685944-0.00686538j -0.000627412+0.00435838j 0.00144724-0.0128503j 0.00266778+0.00154218j 0.00185528-0.00309388j 0.00276963+0.00140882j -0.00469218+0.00237537j 0.00225645-0.003022j -0.00947208+0.00161368j -0.00384564-0.00283547j 0.00657128+0.0012323j -0.000994426-0.00626883j -0.00748133-0.0066756j -0.0031215-0.00269785j -0.00184221+0.00558934j 0.00874087-0.00728282j 0.00140871-0.00390811j -0.00703482+0.00574987j -0.00176524+0.00727779j 0.00215243+0.00197551j 0.00538833-0.00539394j 0.00241728-0.00480482j -0.00356763+0.00152379j -0.00067045-0.00111039j -0.00538623-0.00392497j -0.00384736+0.00305884j 0.00241206+0.00129645j -0.00230477+0.0062432j -0.00692935-0.00330751j 
-2.98991e-05+0.00199906j -0.0162616+0.00253575j -0.00129254-0.00285618j 0.00645029+0.00432326j 0.0029111-0.00370441j -0.0028206+0.00312864j 0.0046886-2.6035e-05j 0.00567941-0.00199246j -0.00276142-0.00803615j 0.00516486+0.00396802j -0.00732196+0.00240842j 0.0128496+0.000407611j -0.00200708+0.00458868j 0.00202822+0.0144248j -0.000707655+0.00601158j -0.00168774+0.00550642j -0.00201266+0.00230186j 0.0124931-0.00706926j -0.00121093+0.000967027j 0.00890637+0.00280124j 0.00884455+0.0108617j 0.00494554-0.00353646j 0.00458754+0.000711001j 0.00924834+0.00629862j -0.00689609-0.00434309j 0.00426233-0.00512725j -0.0065806+0.00680563j 0.00153094+0.00292853j -0.00428345+0.00309339j 0.000302585-0.00551332j -0.00105002+0.0112693j 0.00071903-0.00235591j -0.00688068-0.00525337j -0.00065012-0.00283095j -0.00892764+0.000406673j 0.00745047-3.93972e-05j 0.00104719-0.00302849j 0.00306034+0.00189989j -0.00136855-0.00215917j 0.00208396-0.000246718j 
-0.00101354+0.0043075j 0.0132751-0.00881122j 0.00538246+0.00572574j -0.00453227-0.0169337j 0.0183107+0.00244484j 0.00992432+0.00847815j -0.00360074-0.0138928j -0.00242702+0.0127442j -0.000868494-0.00226581j 0.00698909-0.00560014j -0.000673843-0.0124932j -0.00223038-0.00892117j 0.00355748-0.0106235j -0.00556908-0.000810606j 0.00746672+0.000954035j 0.00299943-0.0013552j 0.00788997-0.00362598j 0.00161132+0.00343891j 0.00252949-0.00383222j -0.000668083+0.00226911j 0.00386382-0.00312482j 0.00577946+0.00391714j -0.00895641-0.000384391j -0.00648136-0.00372234j -0.00461486-0.00111729j -0.00582269+0.00351991j 0.00149557-0.00580434j 9.27684e-05-0.00261291j 0.00249055-0.00299278j 0.00458694+0.00642792j -0.00285954+0.00286572j 0.00173614+0.00189685j -0.00925975-0.00157536j -0.00342497-0.00362896j -0.00124464-0.00178042j 0.00282771+0.0032139j 0.00491513-0.00567489j 0.00572269-0.00617517j 0.0110434-0.00428486j 0.00301836+0.0105961j 
-0.0041496+0.00169896j -0.00648948-0.0027593j 0.00385768+0.00411966j -0.00752273-0.00895166j 0.000343318-0.00513262j 0.0112985-0.00433817j -0.0045722+0.00183764j -0.0039368+0.0040238j -0.00376143+0.00935523j 0.0091129-0.00206696j -0.011065-0.00557445j -0.00028061-0.00820646j -0.00368282+0.0043491j 0.0031232+0.00223814j 8.5608e-05+0.00168478j 0.00133641+0.00578554j -0.00318296+0.00745725j 0.00417871+0.00154167j -0.00589705-0.0022558j -0.00431587-0.00126022j -0.00725126+0.00318254j 0.00502887-0.000143641j -0.00852331-0.00535727j 0.000956188+0.00385651j 0.00209547-0.00167619j -0.00478917+0.0060442j -0.000638564-0.00711834j 0.00210336+2.46933e-05j 0.00160876-0.00127962j -0.00137205-0.00439431j 0.00044134+0.0032155j -0.00369115+0.00440771j 0.000123526+0.00266836j 0.00103073-8.16666e-05j -0.0034036+0.00356456j 0.00191086-0.000994608j 0.00102113+0.00083666j -0.00321011-0.000160236j -0.00202348-0.00325278j 0.0034627-0.000313817j 
-0.00451812-0.0200306j 0.00732601+0.00223801j -0.0180637+0.00465978j -0.00580325-0.011822j -0.0123089-0.00386643j 0.00791329-0.00310887j 0.00167492+0.00173181j -0.001661+0.00849242j 0.00909506+0.00753895j 0.00969721-0.00113102j -0.00198544-0.00364504j -0.00213741-0.00183208j -0.00631545+0.0126998j 0.00464848-0.00787372j -0.00572817+0.00110915j 0.00200661+0.00364333j -0.00188378+0.00430498j 0.00583521-0.000897344j -0.00286204+0.000510428j -0.00366115+0.00389033j -0.00461357+0.000151627j -0.002661-0.00165134j -9.37307e-05-0.00094053j -0.0051206+0.00234217j 0.0033998-0.00379179j -0.00360793+0.000549829j -0.000470673-0.00202383j -0.000761283-0.00208358j -0.00366214+0.00499253j 0.00370731+0.00794816j 0.000379004-0.00317644j 0.00378825-0.000381797j 0.00482481-0.00237391j 0.00213963+0.00862471j 0.00115724+0.00235213j -0.00655906+0.00880003j 0.0049911+0.00344012j -0.00949735+0.00352369j -0.00484102-0.00489773j 0.00395542-0.00191391j 
-0.0185717+0.00687017j -0.00203822-0.00409139j 0.0101555+0.015409j -0.00315878-0.00782957j 0.000751052+0.0126338j 0.00903277-0.00108294j -0.0119204+0.000816876j -0.0110143-0.00476755j -0.00866842+0.00895737j -0.00581129-0.0030616j -0.00812567-0.000651462j 0.00306873-0.00767129j 0.00546502-0.00241762j -0.00100997+0.00868664j 0.00234156-0.00564441j -0.00180407+0.00483169j 0.00247753+0.00229769j 0.00425829+0.00418151j -0.000154491+0.00314917j -0.00156162-0.00274369j -0.00528565+0.00227426j 0.0018467-0.00173999j -0.00355329-0.00253597j 0.00158423+0.000687468j 0.00318602+0.000860353j -0.00206473+0.00412775j 0.000381546-0.00412767j 0.00122989+0.0010618j -0.000707494+0.0018559j -0.0042042-0.00734178j -0.000964253+0.0012252j -0.00497415+0.00158542j 0.00280824+0.000291373j 0.00382051-0.000887195j -0.0018633+0.0026335j 0.0051092-0.000298656j -0.000889212+0.00367828j -0.00459879+0.00736505j -0.00837739+0.00366837j -0.00123402-0.00691721j 
