0.000923617-0.115354j -0.11448-0.311328j 0.0003975-0.0463572j -0.00392289+0.0142035j 0.00435712+0.0134615j -0.0167814+0.0105111j 0.00551255-0.0116379j 0.0126231+0.00630401j -0.00290621-0.0119668j 0.00175946-0.0112669j -0.00244135+0.0245929j -0.000885093+0.00352379j 0.000577816+0.0066509j 0.00190885-0.00574092j 0.00146274+0.0146181j 0.0052235-0.00386262j -0.0101083+0.004137j -0.00355408-0.0022792j 0.00209414-0.00490451j -5.56388e-05+0.00194408j -0.000732061-0.0040021j -0.00143067+0.000516428j -0.00269396-0.00358835j 0.0014371-0.00696933j 0.000568906-0.00746181j 0.00120422+0.00193836j 0.00254073-0.0100153j -0.00104166+0.0074869j -0.0064714-0.00552722j -2.56185e-05+0.000302266j 0.00612331-0.00157947j 0.00253049-0.00502754j -0.00223385+0.00843128j -0.00209424-0.00618608j 0.00169878-0.0096247j -0.00213483+0.00216665j -0.00512512+0.0153743j -0.00190621-0.00268075j 0.000101373+0.00590816j -0.00162239+0.00674329j 
-0.00643168+0.00051984j -0.0368776-0.0435016j 0.000349746+0.00318856j -0.00375873-0.00400557j 0.00127151+0.0006401j -0.00663853-0.0101203j -0.00178677-0.00446926j 0.00352746+0.00260335j 0.000312462+0.00303562j -0.010572+0.0209411j 0.00579356-0.0151234j -0.00280634+0.00353067j 0.00588467-0.00555129j -0.00652867+0.00137047j -0.00456225-0.000999916j -0.00782513+0.00214988j 0.0192012+0.0118326j 0.0056796-0.00122458j -0.00487317-0.00241369j 0.00162015+0.00213323j -0.00549791+0.00263825j -0.00642568-0.00229749j -0.00194744-0.00975469j 0.00551571-0.00933824j -0.0055412-0.00717314j 0.00973447+0.0026032j 0.00493778-0.00110069j 0.00272738+0.00947342j -0.00939458-0.000681864j 0.0010104-0.0088594j 0.00719766-0.00198489j -0.00436895+0.00133676j 0.00440083+0.00410146j -0.00283978-0.00350615j 0.0113829-0.0115976j -0.00548212+0.000639125j -0.00486698+0.00333186j 0.00312888+0.00182411j 0.00492677+0.00353802j -0.0019505-0.000558449j 
0.00492423+0.0013087j 0.0194557+0.00029218j 0.000693724+0.00458539j 0.00488209-0.000624287j 0.000864639-0.0140968j 0.00274129+0.0260065j 0.000854098+0.000812326j 5.51733e-05-0.00526923j -0.000447051-0.00199318j -0.0081119+0.00118848j 0.0128876+0.0118681j -0.00402034+0.00237624j 0.00602774-0.00371548j -0.0027079-5.77979e-05j -0.00750076+0.0134304j -0.00526419+0.0099912j 0.00388376-0.024138j -0.00517814-0.00219815j -0.00170525-0.000130081j -0.00260551+0.0030144j -0.00535152+0.00732718j -0.0109763+0.00512883j 0.00477795+0.00282714j 0.0130787-0.00325054j 0.000104162+0.00444137j 0.0161013-0.00178332j 0.0179064-0.000704199j -0.00369604-0.0014445j 0.00254468-0.00319521j -0.00831576-0.00688574j -0.00126518-1.83056e-05j 0.00458308+0.00492667j -0.00103706+0.000331567j 0.010325+0.00819382j -0.00252004-0.00397872j -0.0111399+0.00560083j -0.00370163-0.00944438j 0.000846445+0.000789579j -0.00108609-0.00119221j 6.53961e-07-0.000919361j 
-0.0094848-0.0103803j 0.128416+0.0611682j -0.00739121-0.00859339j -0.00545304+0.012269j -0.00297851+0.00622221j -0.0156438-0.00263847j 0.00687936-0.0148353j 0.00488504+0.0156222j 0.00679709+0.00218073j -0.00120654+0.00734898j 0.00150026-0.00940858j -0.00674744-0.00139774j -0.00215533-0.00597511j 0.000535246+0.00514233j -0.00345001-0.0106304j 0.00692363+0.00910516j -0.0158091-0.00785094j 0.0188546-0.00602749j 0.000904684+0.00402618j -0.00335755-0.0071422j 0.000235285-0.004956j -0.0026192-0.00731389j 0.000913994-0.0053574j 0.000293749+0.00478358j 0.00137426-0.00202519j -0.000722522+0.00736734j 0.00163719+0.00797966j -0.000905072+0.000575046j -0.000299009+0.000247428j -0.000834196-0.00447983j 0.00364677+0.00233588j 0.000245868+0.00280198j -0.00091371+0.00117555j 0.00326109+0.001301j 0.00322257-0.00141934j -0.00366202-0.00247808j -0.00287163-0.00453929j 0.00133496+0.0023462j 0.000937322+0.0019613j -0.00188263-0.00215682j 
-0.00292538-0.0147753j -0.0077779-0.000938978j -0.00877643-0.0089539j 0.00471101+0.00161279j 0.0174033+0.00884162j -0.0204718-0.02564j -0.00472836+0.00653638j -0.00179479-0.00126436j 0.000261373-5.90041e-05j -0.00815895-0.00824076j 0.00094407+0.0111048j -0.00158576+0.0001867j 0.00228773+0.0017515j 0.000309131-0.000634089j -0.0103508+0.00374291j -0.00635363+0.00301966j 0.0167485-0.00205878j -0.00197518-0.00213155j 0.00346606+0.00245503j -0.00714259-0.000898826j -0.00475819+0.00637611j -0.000606252+0.00428388j 0.0022952-0.00141112j 0.0155626-0.000769053j -0.00147009+0.000886437j 0.00292895-0.00557071j 0.00820457-0.00762493j -0.00997964-0.00318844j 0.0076779-0.0082169j 0.00695501+0.0111877j -0.00189826+0.00181123j 0.000391888-0.0029773j -0.00600127-0.000637964j -0.00921859-0.00584149j -0.00191379+0.00894526j 0.010629-0.00807685j 0.00368807+0.00599762j -0.00472884-0.00744073j -0.00721332-0.0028059j 0.00377575+0.00418618j 
0.0644085+0.0351449j 0.333779+0.133125j 0.020411+0.0078934j -0.00848277+0.00567643j -0.0111624-0.00552236j -0.00191732+0.00814924j 0.0134813-0.00454126j 0.00190128+0.00855201j 0.0035626-0.00430754j -0.0150709-0.0107159j -0.00515734+0.00394478j -0.00225393+0.000656275j 0.000123717+0.00560677j 0.000771097-0.00624361j -0.0068157+0.00216919j -0.00248705-0.0120171j 0.00278889+0.0223286j -0.011553+0.000342489j -0.00118504-0.00334737j 0.00317556+0.00348382j -0.000322611-0.000980697j -0.00300884+0.00393731j 0.00437854+0.00230245j 0.00244318-0.00291108j 0.00199107-0.000734235j 0.0053509-0.00377122j 0.0086295-0.00523255j -0.000416742+0.000383101j -0.000774764+0.00137121j -0.0112791+0.00486186j 0.00181846+0.00124942j 0.00477103-0.00476582j -0.00282995+0.00440687j 0.00553697-0.00822359j -0.00261642+0.0090216j 0.00123747+0.00695559j -0.0124797-0.00256459j 0.00568432+0.000792686j 0.00238749-0.000575523j -0.00550525+0.00123924j 
-0.0283019+1.34441e-06j -0.0858964-0.0541426j -0.012743-0.00102394j 0.0124961+0.0113284j 0.0036835+0.00939624j 0.0100934+0.00642829j -0.00646245-0.00878114j 0.00478412+0.00261363j 0.000864231-0.00402216j 0.00421756-0.00481119j 0.00369284+0.00936215j -0.00522669-0.00260284j -0.00772473-0.000300684j 0.00535773+0.00416392j -0.00850155-0.000678863j 0.00498873+0.00627294j 0.00567495-0.00567223j 0.00791141-0.00690072j 0.00262623+0.00464887j -0.00103303-0.00210117j 0.00259335+0.00474135j 0.00907195+0.00624648j 0.00179103-0.00412783j 0.00861418-0.00516631j 0.00211515+0.0026145j -0.00198334-0.008667j -0.00818696-0.0160864j -9.27468e-07+0.00316696j -0.00149349+0.000551985j 0.00504381+0.0112205j -0.00150292+0.00842042j -0.00327387-0.00810897j -0.00400768+0.00764988j 0.00984695-0.0025015j 0.00118066+0.0236819j 0.00354398-0.00514058j 0.00471984-0.00647536j 0.004884+0.0057831j 0.00389446+0.00126442j -0.00407954-0.00339432j 
0.0232869+0.0359248j 0.112915+0.0193634j 0.00161744+0.0152766j 0.0113185+0.00720838j 0.0115766-0.00130743j -0.011214+0.00923091j -0.00298976-0.0027341j 0.00666397+0.00110468j 0.00140995-0.0049319j -0.00810204-0.00982731j 0.00213671+0.009027j -0.00603327+0.00031269j -0.00299403+0.00424838j 0.00601137-0.00285799j -0.0107815+0.00618273j 0.00293589-0.00231082j 0.000318758-0.00459512j -0.00798125-0.00788218j 0.00154377-0.000470158j 0.0012359+0.00329899j 0.00304948+0.00378853j 0.00137121+0.00159455j 0.0033138+0.00539987j 0.00226224-0.00613535j -0.000657177+0.00772557j -0.00673317-0.0050716j 0.00218958-0.00217084j -0.000628973-0.00217948j -0.00276991+0.00827749j 0.00470505-0.006347j -0.00128795+0.00695984j -0.00426893+0.00681708j -0.00966005-0.00907536j -0.00316793+0.00323528j -0.000980955-0.0184267j 0.000778316-0.0171764j 0.00867621+0.0105367j 0.00852976+0.00182436j 0.00829943-0.00179409j -0.0066418+0.000277536j 
-0.00857654+0.00905088j -0.0972322-0.014144j -0.00628559+0.00374391j 0.0124464-0.00249937j 0.0110418+0.0122584j 0.00990878-0.0274376j -0.00823445-0.000244605j -0.000802295-0.000200403j -0.00383484+0.00043982j -0.0158371-0.0112846j 0.0195428+0.00775222j -0.0080301-0.0019994j 0.00349723+0.00452126j 0.00143135-0.00167772j -0.00652232+0.00159297j 0.000972085+0.000496452j 0.00146515-0.00551842j 0.00300474-0.00510556j 0.00206144-0.000878775j -0.00130658+0.000245983j 0.00211574-0.00350324j 0.00228825-0.00105012j 0.0046337-0.00213158j -0.00210676-0.00154641j 0.00694986-0.00422467j 1.76363e-05-0.00229345j -0.00373863+0.000964809j 0.000629319+0.000500042j -0.00261982-0.000646412j -0.0129207-0.00178476j 0.00210396+0.00256881j 0.00684762+0.000350047j 0.00101269-0.00455363j 0.0146296-0.012222j -0.00784973-0.0121394j 0.00222809+0.0127198j -0.0112076+0.00490794j 0.00465401+0.000797074j 0.00241978+0.00186577j -0.00387109-0.00032207j 
-0.0233175+0.0452782j -0.156286+0.270276j -0.00169501+0.020027j -0.00377717-0.0151642j 0.0157324-0.0200533j -0.0267285-0.00105619j 0.00367455+0.0182009j -0.00951401+0.00110733j 0.00434361+0.00525692j -0.000262412+0.00164683j 0.00466246-0.0137573j -0.00319702+0.00301686j -0.00286028-0.00467959j 0.00501238+0.000839218j -0.00191211+0.000444155j 0.00715808-0.00224571j -0.0159839-0.00178597j -0.00797803-0.00879971j -0.00171823-0.000691345j 0.00340502+0.00269242j -7.05839e-05+0.00305344j -0.00111254+0.000842398j 0.000504156+0.00611273j 0.00448044+0.00319174j -0.00266257+0.00350654j 0.00311306-0.00135545j -0.00118171+0.00668313j 0.00601654-0.00489019j -0.00163175+0.010074j 8.80061e-05-0.00130571j -0.00353051+0.00671028j -0.00625642+0.00040772j -0.00039715-0.00302498j 0.00925331+0.000220879j 0.00600779+0.0100296j 0.000536601-0.00342014j 0.000619831-0.0124049j 0.0109573+0.00647424j 0.0092715-0.00264354j -0.00780491-0.00440142j 
0.0992717-0.0636113j 0.298683-0.0577567j 0.0305515-0.0153543j 0.0229172-0.0102688j -0.000394712-0.00586867j 0.0153131+0.0112813j -0.0183112+0.00462035j 0.000668086-0.0118346j 0.0041633+0.00293783j -0.00510071+0.00957663j -0.00822507+0.000325268j -0.00494044+0.00432438j -0.00153646-0.004019j 0.000805116+0.0039357j -0.01413-0.00218446j 0.0019002-0.0017965j 0.00469091+0.00754071j 0.00349275-0.00851026j 0.00345345+0.00150891j -0.00357271-0.00170352j 2.95109e-05+0.000914214j -0.000890543+0.00277444j 0.00046333-2.61418e-05j -0.00221844+0.00278995j 0.00485221-0.00194032j -0.00357363-0.000826316j 0.00275442-0.00321347j -0.00230029-0.000474853j 0.000818008-0.000717069j -0.00151643+0.00171193j -0.00328747-0.000520584j 0.00361575-0.00157291j -0.00285418+9.3213e-05j 0.00100178+0.00162864j 0.000179379-0.00241457j 0.0027234-0.000782953j -0.00550969+0.00518388j 0.00182022-0.00121084j -0.000770609+8.89936e-05j -0.00302681+0.0020303j 
0.053686+0.0884907j 0.014121+0.289472j 0.0131697+0.0281615j 0.00698507+0.0194701j 0.00543652-0.00311245j -0.0150279+0.015482j -0.00383269-0.0152696j 0.00856666-0.00169848j -0.00378257+0.00782706j -0.0070635+0.000576554j -0.00166073-0.0120345j -0.000823164-0.0065344j 0.00686583-0.00394174j -0.00758302+0.00174915j 0.00848495-0.0179218j -0.00186777+0.0037127j -0.00627255+0.00327063j 0.0120854+0.0104816j -0.00298705+0.00288127j 0.00225827-0.00429638j -0.00260876-0.00148393j -0.00329745-0.00346584j 9.1594e-05+0.000221192j -0.00395789+0.00201548j 0.00161623+0.00301888j 0.000819767+0.000336931j 0.00191856+0.00768242j -0.000300901-0.00215115j 0.000853902-0.00236121j 0.00125058-0.00195584j -0.00067829-0.0053134j 0.000573859+0.00299403j 0.00326897-0.00303092j -0.004214+0.0042625j 0.00663429+0.00271617j 0.00101707+0.00380241j -0.00549116-0.00758746j -0.00329506+0.00263602j -0.00312102+0.00113017j 0.00167122-0.00456924j 
