0.0338001-0.0362864j -0.25783-0.0427655j -0.175863-0.0282422j 0.198215+0.195586j -0.277924+0.11863j -0.105968+0.319842j 0.128145-0.290291j -0.232852-0.185278j 0.191541-0.123675j -0.218303+0.103497j -0.00692669+0.0772259j -0.0454232+0.0150697j -0.0810448-0.0280784j 0.100085+0.0209715j -0.195009-0.0189679j -0.0992617+0.0290303j 0.00600055+0.0236565j -0.047208-0.0154366j 0.0114554+0.0232061j -0.0821774+0.0128081j 0.124083-0.0359658j -0.0659261+0.0176185j -0.0651266-0.0161207j 0.0312401-0.0529061j 0.037993-0.0430408j 0.0174564-0.00642757j 0.0244264-0.0137524j 0.0431101-0.012923j -0.0716388+0.0256528j 0.0426258-0.00428143j 0.0540691+0.0214239j -0.0344463+0.00693135j -0.0544381+0.0286621j -0.0858767-0.00829129j 0.0524929+0.0828277j 0.0171428+0.0313619j -0.00517725-0.0625024j -0.0624859+0.010084j -0.00751788+0.130858j 0.240333+0.0526056j 
-0.0327215-0.00691086j 0.00809929-0.0188921j -0.0453191-0.0192878j 0.105695+0.000794765j 0.012149-0.0627179j 0.0523683+0.0201583j 0.114171-0.0189051j 0.0793357-0.00092137j 0.00478217-0.0445763j 0.0224776+0.0196297j -0.0307621-0.0349023j 0.000305077-0.043773j 0.0543105+0.036336j -0.0767817-0.00454775j 0.0433359+0.0576871j 0.102587-0.022465j -0.00826753+0.0123814j -0.0488525+0.0559063j 0.00144086-0.082656j -0.0372065+0.0306036j -0.0676662+0.0940295j 0.0596898+0.221022j -0.192597+0.0262011j -0.234733-0.237187j 0.183538+0.3477j -0.119155+0.0454514j -0.0514681-0.0109915j 0.0497202-0.200506j -0.06163-0.174196j -0.162735+0.0250924j -0.250382+0.202004j 0.120423+0.0965416j 0.027144-0.0551791j -0.190557+0.170435j -0.0475134-0.188937j -0.0926803+0.076632j -0.0158074-0.00470313j -0.0360964+0.0284281j -0.0288756-0.000450649j -0.0313218+0.0144193j 
-0.0171662+0.0124868j -0.0945264+0.0296918j -0.0858178-0.0124768j 0.0613139-0.0646167j -0.0375493+0.0171149j -0.0318011+0.0806108j 0.0801009-0.00590546j 0.0600045-0.0397823j -0.0862298-0.0588137j 0.00464442-0.00420109j -0.0169099+0.0223448j 0.0196469+0.0216631j -0.0207756-0.0300733j 0.058495-0.0407076j -0.0259778+0.0597174j -0.0440757+0.0154342j 0.06276-0.0475614j -0.0163253+0.00302886j -0.215726+0.0243136j 0.220232-0.159993j -0.095716+0.0251241j 0.121696-0.17869j 0.129548-0.0577465j -0.280933+0.00727191j -0.164004+0.297389j -0.0905955+0.113438j -0.0344506-0.0149065j -0.0476211+0.394995j 0.179599-0.197961j 0.138452-0.165053j 0.147196-0.0768631j 0.00710144-0.108938j 0.0646054+0.150529j 0.124841+0.151317j 0.0262534+0.00748178j -0.0686376+0.00949219j -0.0476631-0.00673173j 0.0400312+0.0102044j -0.0819634-0.00263335j -0.0385374+0.0274354j 
0.0507988+0.00265029j -0.037802+0.00812455j -0.0579459-0.0670839j 0.0575397-0.00913329j 0.018042+0.118863j -0.0436721-0.0154625j 0.0881176-0.0488746j -0.0284571+0.0490179j 0.0223287+0.0146932j 0.144583-0.0303563j -0.0961051+0.0600498j 0.0186796+0.0733917j -0.0108199+0.05244j -0.0246113-0.0556834j -0.0698529+0.0207715j 0.0749207-0.130685j -0.0257025+0.0532572j 0.169934-0.0326825j 0.122417-0.222335j -0.133098-0.403377j -0.0554353-0.0356761j 0.422599+0.103737j -0.0838781-0.260455j 0.168835+0.0551335j -0.00855451-0.170771j 0.251349+0.0065866j -0.209168+0.0837894j 0.0167684+0.0220745j 0.0835468+0.0451189j 0.0526925-0.0122406j -0.0455722-0.0754754j 0.0887706+0.00420047j -0.0100816-0.0158724j 0.0171581+0.0337682j -0.0205856-0.0303851j -0.0236303-0.0165679j -0.0244251+0.0424861j -0.0143101-0.0125239j 0.0136414-0.00660303j -0.0802007-0.00835292j 
-0.00633363-0.0258717j -0.00209113+0.00466056j -0.0712461+0.0463736j 0.00444246-0.0278567j -0.0405519-0.0251247j -0.00386009-0.0042408j -0.0105084-0.0109233j 0.0988537-0.0295832j -0.00429788-0.0486372j -0.0660884-0.0281498j -0.0395022+0.0603914j -0.0740353-0.0331804j 0.0466043+0.0237731j 0.0190686+0.0153881j -0.100812-0.012853j -0.114611-0.0205954j 0.137248-0.0472501j 0.000819793-0.0430138j -0.00843707+0.0501621j 0.0451425+0.0269145j 0.0463451+0.0379083j -0.0846611+0.0912714j 0.0552779+0.0301011j -0.0875945-0.0096964j -0.00286811+0.0798566j 0.0162842-0.187466j 0.0752043-0.135762j 0.0144965-0.0105937j 0.0107834+0.015661j 0.0392419-0.105311j 0.046024-0.0532852j 0.200947-0.00776609j -0.00689046-0.151713j 0.129524-0.149121j -0.149967+0.0586552j 0.0517311+0.00776586j 0.0450261+0.166265j -0.232592+0.0551177j 0.214782+0.010768j -0.166642-0.083217j 
0.00958723-0.0456168j -0.0740562+0.0822087j -0.0587304+0.0343464j -0.160806+0.0396881j 0.0876274+0.0084764j 0.0913966+0.00945726j -0.0991524-0.147877j 0.23615-0.0176023j 0.173608-0.0577458j -0.00543322-0.120619j 0.0602803-0.0442526j -0.0452525+0.0315198j 0.0370106+0.0793669j -0.0142679-0.0262514j 0.124231+0.0238327j -0.0982512-0.0696632j 0.265945-0.0644074j 0.11064-0.19166j 0.148743-0.14381j 0.0383871-0.0643332j 0.19251-0.046983j -0.0422738+0.230007j 0.249264-0.195212j -0.0671935-0.0188418j 0.0423984+0.0380265j -0.0280269-0.193177j 0.0832443+0.203434j 0.00654935-0.0414922j -0.159732+0.0497996j 0.0507981-0.0838982j 0.0645332-0.0168922j -0.0124517-0.0363999j -0.0154583+0.107477j 0.0273877+0.0736441j 0.0664882-0.0169079j -0.0473492-0.0212351j 0.0688825-0.0412339j -0.0279185+0.0165839j -0.0733084+0.0580133j 0.153578+0.0566668j 
-0.0109239+0.0110937j 0.0193993-0.0084107j 0.0371417-0.00861295j -0.0414452-0.00202615j -0.00192219-0.00854233j -0.0491863-0.0329172j -0.0190785+0.00410415j -0.0338979-0.00697496j -0.00606816+0.0317291j 0.0291858-0.0069179j 0.000808505-0.00619407j 0.0203658+0.00294559j -0.0263413+0.00584156j -0.02452+0.0368381j 0.07234+0.0120048j 0.0480943-0.000746223j -0.0207313+0.00454859j 0.00186757+0.0149929j -0.0175534+0.0371449j -0.0183645-0.0294205j -0.0635442-0.0176027j 0.0328995-0.0387656j 0.0252233+0.0281983j 0.110548+0.0307484j -0.00402491-0.0913172j -0.080195-0.075924j -0.142473-0.0420429j -0.00449202+0.0375594j -0.0242247-0.0177004j 0.00779728+0.0192618j 0.0164604+0.100007j 0.0523743+0.100092j 0.187057+0.0297416j 0.131454+0.0204337j 0.0247217-0.223814j 0.030578-0.162749j 0.107448+0.0149093j -0.0136022+0.0196025j 0.102324+0.0290184j -0.0907732-0.0609045j 
0.00781854-0.00854736j -0.0293457+0.0385891j -0.00485495+0.00203997j -0.136501+0.0378913j 0.019981-0.0213348j 0.0568904+0.0113865j -0.114482+0.000536295j 0.0193104+0.0636433j 0.133633-0.00621147j -0.0263453-0.106484j -0.000873441-0.0813536j 0.0057605-0.0505636j -0.0850577-0.0472069j -0.0555356-0.00883915j 0.0134976+0.0630834j -0.114147+0.0432009j -0.00253998-0.0205227j 0.0645288-0.0922961j -0.00238218+0.0464864j 0.0342261+0.027163j 0.0977616+0.0516635j -0.00946983+0.150871j 0.0375899+0.0837253j -0.0300998+0.0609383j 0.0497332-0.0104549j -0.0243287-0.0489844j 0.0457363+0.0710847j -0.0521482-0.00104174j 0.145384+0.0121417j -0.198661-0.0395804j -0.143078-0.0411355j 0.038106+0.00239088j 0.0174679+0.01583j 0.0442873+0.0216557j -0.0397899-0.13203j 0.0150084-0.000336171j -0.171078-0.0248287j 0.0489123-0.107961j -0.118545-0.109753j -0.223385-0.0733692j 
0.0148025+0.00948354j -0.0950642+0.0450636j -0.115871+0.038522j -0.0839826-0.0229913j -0.0507708+0.00987458j -0.0185982-0.0110269j -0.0287367-0.0895685j 0.0515796-0.0319822j -0.0838481-0.0265631j 0.0684379-0.0362362j 0.0060239-0.0721455j 0.0322456-0.000501398j -0.0202384-0.0748048j 0.0273513+0.0197754j -0.0328437-0.0570038j -0.0663688-0.0473599j 0.0399785-0.0533505j 0.0240986-0.011492j -0.0349038-0.100827j 0.0362235-0.0516727j -0.0340233-0.0724465j -0.070991+0.140148j 0.00144835-0.000439429j 0.16476+0.0281036j 0.00340153-0.0481521j 0.0148544-0.0397922j 0.0100418+0.0375197j 0.0360793+0.1379j 0.0226518-0.161861j 0.0489177+0.0252075j -0.0711288+0.252353j 0.00218754-0.0694778j 0.157955+0.0203594j -0.120458-0.121913j -0.0646583+0.0789424j 0.04513+0.142329j -0.0172107+0.0714213j 0.119939-0.0279892j 0.114372-0.0117653j -0.0276036+0.0301955j 
-0.000802401+0.0187346j -0.0438177+0.0133366j -0.0332967-0.0286629j 0.0596625+0.0427772j 0.0282543+0.0543284j -0.0370631+0.00601108j 0.0265212+0.00798653j -0.0328206+0.0369902j 0.052932+0.000628703j 0.00724795-0.0221617j -0.0107735-0.0537599j 0.0653032+0.0136837j -0.086506-0.0125088j 0.0222132-0.0400772j 0.00836664+0.0211155j -0.00547746+0.00401414j -0.0758424+0.0300625j 0.0487711+1.06019e-05j -0.0375891-0.0459484j 0.0277611-0.110217j 0.0415754+0.0450189j 0.0812773+0.0223024j -0.0839222-0.0969041j -0.154496+0.0215131j -0.0734764+0.0556357j 0.0454002+0.000812129j -0.0290989-0.0365435j -0.0249087-0.142807j -0.0306053-0.0659188j 0.00880098-0.00749747j -0.00690096+0.0715799j 0.0903796+0.0101008j -0.017126+0.00199306j 0.0433952-0.0603854j 0.0309015+0.0801696j -0.0966989+0.0518307j -0.0235698+0.00810303j -0.0574782-0.0244743j 0.0290875-0.0510756j -0.0618464-0.019634j 
-0.0226589-0.00871974j -0.0100473+0.010792j -0.00545411-0.0112589j 0.027663-0.00233324j -0.0440683-0.0276706j -0.0249422+0.0344607j 0.0257187-0.0211003j 0.00949046-0.035792j -0.0189603-0.010626j -0.00763368+0.0254173j -0.0263808-0.00127339j 0.00631618-0.026475j 0.0263757+0.0100203j -0.016908-0.011976j -0.0193172-0.0366683j 0.0188781-0.0023101j 0.0375731+0.00267453j -0.0419888+0.00967669j 0.0139631-0.0010456j -0.0144401+0.0177015j -0.00300055-0.0131076j -0.0173999-0.0215443j 0.00924162+0.0189035j 0.0487704-0.0290849j 0.0308609+0.0151752j 0.00854569-0.0323359j 0.013981-0.0496885j 0.0309309+0.0636989j -0.036043+0.00486807j 0.0445677+0.0127967j 0.0439239-0.0202158j 0.0625677+0.026676j 0.030751-0.0542522j 0.0229167+0.00610136j -0.0263715-0.0206115j 0.042499+0.0140376j 0.0338198-0.00950433j -0.00753638+0.00567043j 0.0483211+0.0340408j 0.0299576-0.00193653j 
0.00689812-0.025959j 0.00857135+0.0263783j 0.0578653+0.000971371j -0.100398-0.000356149j -0.0103298+0.00230404j -0.0204463+0.0126429j -0.122229-0.0202078j -0.043033+0.017793j 0.042993+0.0297522j 0.0141123-0.0218497j 0.0325554-0.0165032j -0.0233918-0.0115755j 0.0227532-0.0235282j 0.00872215+0.0476807j 0.00339932-0.0436588j -0.0433162+0.00631157j -0.0227736+9.16248e-05j 0.0428714-0.023099j -0.0556044+0.0586746j 0.0402162+0.0235426j -0.032711-0.0436657j -0.0569847-0.0343652j 0.0254715+0.0499289j 0.0194585+0.102073j -0.0208631-0.127748j 0.00608624-0.0333151j 0.0219012+0.00191942j -0.0815459+0.0287876j 0.0538749+0.0660685j -0.0384792+0.000124159j -0.00837042+0.00264793j -0.00338416+0.020496j 0.0807547+0.070207j 0.0685941-0.123005j 0.00578383+0.00290097j 0.00370359-0.0314686j -0.0297792+0.00238905j 0.0100996-0.0785256j -0.0681443-0.0159921j -0.087237+0.0233657j 
0.019413-0.00149521j 0.0247198-0.024144j 0.0256677-0.0323524j 0.0240029+0.0238751j 0.00747751+0.0174802j 0.0111955+0.017673j 0.0422595+0.0286905j -0.038129-0.0047406j 0.0287801+0.0110011j 0.0330549-0.0174181j -0.0536749+0.00940312j 0.0112932+0.0178039j 0.0206663+0.00339013j -0.018134-0.0316587j -0.0307362+0.00307681j 0.0240197-0.00681663j 0.0164842+0.01568j -0.00853799+0.0272852j -0.00159585-0.0477412j -0.00024068-0.00461175j 0.015965+0.0224661j 0.0467289+0.0162126j -0.0393001-0.0117696j -0.0154872-0.0509298j 0.0289153+0.0806243j 0.0253926+0.000201053j -0.011879-0.0337243j 0.0132978+0.0339698j 0.00959796-0.0170076j -0.0104766-0.0771029j 0.00573661-0.0640723j 0.0813186+0.0513493j -0.00897149-0.0424925j 0.0251568+0.0182217j -0.0384436-0.0184029j 0.00509676-0.00348888j 0.0152218-0.0517179j -0.0182267-0.00269289j 0.00531505+0.0296161j 0.0289267-0.00701849j 
-0.0172341+0.00927676j 0.0683068-0.00175028j 0.105047-0.0166022j 0.0424953+0.0279408j 0.014461-0.0032645j -0.0265725+0.0444669j -0.046466+0.0302711j -0.0766301+0.0410019j 0.0284311+0.0543711j 0.0447931-0.00284559j -0.0416589+0.0204537j 0.0353123+0.00427661j 0.0104704+0.041194j -0.00753996-0.0279799j -0.0366261-0.0249163j -0.067264-0.0103793j -0.0355324+0.0355729j 0.0566638+0.0228882j -0.0186831-0.0343352j 0.0450397-0.00218806j 0.027789+0.00315644j 0.0453086-0.0677466j -0.0310906-0.0327988j -0.0452027+0.0187156j 0.0262593+0.0118549j -0.00112212+0.0318444j -0.0277955-0.000339106j -0.101418+0.0994314j -0.0300534-0.0461344j -0.0103858-0.0308536j 0.00555744-0.00224437j -0.00932832-2.08404e-05j 0.0248624+0.125118j -0.0503321-0.0864121j 0.0489512+0.0286359j -0.0681112-0.0470247j -0.0663763+0.0101961j -0.0141479-0.0484041j -0.037288-0.0274624j -0.00644059+0.00813113j 
-0.000444575+0.00475862j 0.0316551+0.0139732j 0.0480103-0.0306574j 0.0159351+0.00774424j 0.00295474-0.00362611j -0.0374533-0.0210834j 0.0243884+0.00304205j -0.0652354+0.00724677j -0.0255294-0.00425301j 0.0237443-0.00586169j -0.0431357+0.0553451j 0.052454+0.0372541j 0.00105172-0.0054718j -0.0257061+0.00847644j 0.0189485+0.00185535j -0.0380867-0.00158509j 0.00123116+0.0230816j -0.00919243+0.0229683j 0.00702911+0.0123557j -0.0223529-0.00241664j -0.014151-0.00968794j 0.0176469-0.0327899j 0.00271035+0.0241483j 0.0255886+0.0262097j 0.0412333-0.0281055j 0.0251588+0.00237752j -0.00175456-0.00672343j -0.0424451+0.0348398j -0.0107281+0.0696829j -0.0357781+0.0482007j 0.0244196-0.0701255j 0.0233833+0.0171168j 0.0208672+0.0462239j -0.0251872-0.0433251j 0.0293135+6.79535e-05j -0.0400262-0.0277603j -0.0234128-0.000207163j -0.025937-0.0184837j -0.0322311-0.00244659j -0.00772986+0.00251558j 
-0.0275746+0.00161393j 0.0472956-0.00935875j 0.0686669-0.0330262j 0.00239986+0.0112621j 0.00997377+0.0311159j 0.00761369+0.0242485j -0.00415443+0.00121657j -0.0828057+0.0239272j 0.0233706+0.0506854j 0.0204916+0.00295611j 0.0208718+0.0482076j 0.0178209+0.0207513j 0.0219409+0.00846066j -0.0171414-0.00286056j 0.00363767+0.0410143j -0.0194544+0.0217695j -0.0279325-0.00864409j 0.0062789+0.0195049j 0.0431815-0.0198574j -0.05166+0.0240108j 0.00924622-0.00580172j -0.0223479-0.0121216j -0.0744652-0.0177882j 0.0392229+0.0262019j 0.0703892+0.0407488j 0.00447704+0.00118177j -0.00833346-0.0179616j 0.0419784+0.0246325j -0.0594606+0.0321687j -0.0426048+0.0208261j -0.00428709+0.050968j 0.0472634+0.0237267j -0.0016896+0.0844603j -0.0432207-0.0419238j -0.0176235+0.0459851j -0.0133614-0.0384314j -0.00603529+0.0070067j -0.00942945-0.0495697j -0.0190132+0.0142189j 0.0357125+0.0204267j 
