0.208559-0.554601j 0.624183+0.231899j -0.188316+0.329476j -0.173843-0.203079j -0.0160017+0.1061j 0.0959642-0.00382172j 0.00273477-0.0270305j 0.0122577+0.0534733j 0.058065-0.0761464j -0.0583568-0.0612747j -0.00343782+0.0131703j 0.00239543+0.0668033j -0.0101511-0.00739509j 0.0412951-0.0331664j 0.00104132-0.00878382j -0.0279373+0.00136714j -0.0173762-0.0301567j -0.00355263-0.00325779j -0.00485172-0.00138502j 0.00824107+0.0339286j -0.05619+0.0193338j 0.0134485-0.00889577j -0.0157226-0.0460641j -0.0142877-0.039582j 0.00133635-0.00172636j 0.000774505+0.0361333j -0.023378-0.00509965j -0.0243304+0.0306032j 0.029152-0.0196254j -0.00510314-0.0123676j -0.0198953+0.00991941j -0.00178795-0.00587293j 0.00121596-0.0154948j -0.0271446-0.00256023j 0.0256743+0.029734j -0.00571275+0.0266207j 
0.00551483-0.028439j 0.0146323+0.011705j -0.0118417+0.0131828j -0.0403112-0.0241872j 0.011539-0.037965j 0.0240603-0.00227415j 0.00176392-0.0120122j 0.0567591-0.0200172j 0.0467303+0.016471j -0.0409053+0.0175248j 0.0337209+0.0495494j 0.0129489-0.0224831j 0.0468083+0.0248948j 0.027857-0.00511804j 0.0128687+0.043597j 0.0680305-0.028025j 0.0684604+0.0414435j -0.0141124-0.0284147j -0.0426052+0.0311925j 0.046073+0.123911j -0.0299+0.122284j 0.0250437-0.153124j -0.0302887+0.129314j -0.126237-0.211436j 0.325313+0.0214305j -0.127682-0.193544j 0.354213-0.166579j 0.0496039+0.0569464j 0.00473075+0.322294j 0.026398+0.0810106j 0.0574087-0.065816j -0.0991628+0.0656096j 0.0843115+0.0203192j -0.0390732-0.00903387j 0.0299279-0.00529796j -0.0164985+0.0079932j 
-0.102199-0.0307546j 0.0407457+0.0480411j -0.12949+0.0458866j 0.0671035+0.12923j 0.00930795+0.0344445j -0.0176506+0.0854915j -0.0473007-0.0459091j 0.0116387-0.12277j 0.0560477+0.0216551j -0.0366771+0.00429705j -0.00937612+0.037369j -0.0844184-0.00131445j 0.0170882-0.0577723j -0.021984-0.014518j -0.0606167+0.0931634j 0.0723147-0.00915248j 0.11279+0.0275703j -0.0295149+0.0278079j 0.0556393+0.206779j -0.0644393+0.0185067j -0.103455+0.0710627j -0.119871+0.106077j 0.117465-0.0314928j 0.226491+0.125395j 0.00831352-0.0794146j -0.0813197+0.20043j -0.109824+0.210759j 0.234086-0.0814815j 0.0314633+0.123958j -0.125173-0.0608523j -0.173499-0.108701j -0.0113441+0.092759j 0.0677673-0.0270461j 0.116855+0.000493358j 0.0123442+0.0958455j -0.0212135+0.000356936j 
-0.00497759+0.00449669j 0.0200812+0.0339178j -0.0529802-0.00915867j -0.0223225+0.00897795j 0.031344-0.00224603j -0.0626655-0.0769243j 0.0311193-0.0580332j -0.121996-0.0392218j 0.021061-0.143746j 0.100498-0.0120312j 0.0429788+0.0189695j 0.00296381+0.0490365j 0.0182231+0.0181746j -0.0453776-0.0467598j -0.0397543-0.0830432j -0.0496261-0.00974125j 0.0536862-0.204719j 0.118225+0.0240576j 0.14009+0.0327476j 0.00757468+0.0591361j 0.0366656+0.0883001j 0.166327-0.0108093j 0.0594721-0.0185545j -0.206731-0.0209972j 0.0785879-0.212303j -0.0114176-0.134398j -0.0780719-0.0874562j 0.00755345-0.130301j 0.212828-0.101296j -0.145103-0.158167j 0.0459351-0.0957181j 0.125612-0.019976j -0.0844686-0.0353627j -0.0471663+0.0218964j -0.0453636-0.00716468j -0.000834591-0.00700997j 
0.0330452+0.0879553j -0.00392626-0.0156537j 0.00599277+0.101246j 0.095056-0.0202817j 0.0627647-0.0552847j 0.0539572+0.164002j -0.0860675+0.0517543j -0.0917604+0.13692j -0.134967-0.065789j -0.0339709-0.0574899j 0.0638001+0.092508j 0.0142867-0.0779455j -0.0505791-0.0115712j 0.0667553-0.0237588j 0.00689013+0.0936942j 0.0369473-0.0396749j -0.160045-0.0978699j -0.100938-0.119161j 0.050516-0.093882j 0.259741+0.0386118j 0.00785917-0.0333232j -0.134956-0.221696j 0.0639489+0.126534j -0.0965027-0.135253j 0.245305-0.209842j -0.0631862+0.05567j 0.0333486+0.00111387j -0.231237+0.0724919j -0.0875387+0.0246304j -0.0152301+0.105885j -0.164593+0.115516j -0.0258571+0.0189498j 0.000989479+0.00552341j 0.0522255+0.0546793j 0.0192776+0.0154351j 0.0171559+0.0303035j 
0.0241005-0.00718695j 0.00712459-0.00781012j 0.0663595-0.0161507j -0.041758-0.0506062j 0.0159072-0.0299536j -0.0392766-0.00423325j 0.0592958-0.00653833j -0.0689648+0.00575833j -0.0254724+0.000754725j -0.0876106-0.00126158j 0.0310431+0.061178j -0.0597894-0.0294333j -0.0504679-0.129372j -0.0360353+0.0340198j -0.0618163-0.0613747j 0.0660565-0.009139j -0.0776844-0.00635762j -0.0750441-0.0371449j -0.0135473-0.080734j -0.046196+0.0567991j -0.0795338-0.00336879j 0.0984915-0.0289064j 0.055736+0.177068j 0.0441869+0.0570075j 0.0777781+0.0334752j -0.0435478+0.0595302j -0.168747+0.0772544j -0.0335854+0.0937419j -0.0983441-0.0843781j 0.00920664-0.128493j -0.0658686-0.123269j 0.01191-0.0622235j 0.141163-0.0059626j -0.033763-0.105152j -0.124277+0.136111j -0.100792-0.0161376j 
0.00255097-0.0429802j -0.00870052+0.00309017j -0.00615374-0.0596518j -0.0183366+0.03292j -0.0152548+0.0322665j 0.000554772-0.0711117j 0.0923953+0.00763157j -0.0491485-0.0119675j 0.0354553-0.0258928j -0.037604-0.00364797j -0.00272718+0.00308191j -0.0884715+0.0125414j -0.0390936+0.015323j 0.00386467+0.00468265j 0.0525317-0.0397727j 0.0142068+0.0769754j 0.0873201-0.00987432j -0.0235593-0.13285j 0.0397785+0.0861108j -0.0574017-0.0514461j 0.0615271-0.0280456j -0.130049-0.0865336j -0.139686-0.0606058j 0.0195505+0.0134626j 0.025286+0.0345197j -0.155951+0.0198336j 0.0523199+0.0528497j 0.0606978-0.00963202j -0.0944005+0.137567j -0.10731+0.132453j -0.0451563-0.076831j -0.206457-0.0123353j -0.0646388-0.0606048j 0.0173803+0.177462j -0.142765-0.0956787j 0.170317-0.184098j 
-0.00173726+0.0449695j 0.0129311-0.0183476j 0.0224371+0.0602582j 0.0532084-0.0256401j -0.0256224+0.0226101j 0.0262156+0.0199774j -0.0418674+0.00902059j -0.00832835+0.0183032j -0.0251083-0.00186893j 0.0501278-0.00398595j -0.0240525+0.00703544j 0.0207393+0.00285579j -0.0444692-0.0641585j -0.027792-0.0117814j -0.0476559+0.00999961j 0.024581-0.0716126j -0.0656476-0.0426091j -0.00110718+0.0437545j 0.0425924-0.0211268j -0.0402103-0.0124301j -0.101972-0.00892108j -0.0236912+0.059229j -0.00834834+0.0208527j -0.0856149+0.0434396j -0.0435254-0.0420282j 0.0672249-0.135705j 0.0988616+0.116391j -0.0126515+0.019481j -0.0154717-0.0143815j -0.0941298-0.0134949j 0.0811512+0.0331895j 0.00350325-0.0390774j -0.060156+0.101536j 0.0725843-0.0391527j -0.030177-0.00834984j 0.00474965-0.0490767j 
-0.0447785-0.0208551j -0.00731394+0.00714539j -0.059859+0.0273931j -0.0110609+0.0979142j -0.00658281+0.0425423j 0.00296331+0.0204504j -0.0210334-0.0221795j 0.0500241-0.0778688j 0.0396005+0.05251j -0.0654647+0.0184023j 0.000725835+0.0108996j -0.0591705+0.0245484j -0.0167991-0.0125704j -0.0498746+0.0270785j 0.0390485+0.00623289j -0.00843138-0.0112728j 0.0552554+0.00717079j -0.00321206+0.0478592j -0.000528543+0.0156687j 0.0417868-0.0400957j 0.0146003-0.0437218j -0.0169818+0.00514484j -0.0172505-0.0188087j 0.046993-0.023608j 0.0375105+0.00588415j 0.0333788+0.0664544j -0.0183487-0.0215615j 0.0353904-0.046547j -0.0265911+0.0271409j -0.0076048-0.0204403j -0.0359457+0.00499009j 0.0252199+0.0859865j -0.0344853+0.0525142j 0.0429219+0.0390281j 0.0787833-0.0544987j 0.0403166+0.0364244j 
0.0214933+0.00086211j 0.0335991-0.0160841j 0.0062967+0.0475895j 0.0121855-0.00636735j 0.011472+0.0135166j -0.00573236+0.0212451j -0.0178534-0.00243644j 0.0167557+0.029237j -0.0221013+0.0508697j 0.00275293+0.00600668j -0.02018+0.0237275j -0.0582935-0.0380478j -0.0599379-0.00401798j 0.0713619-0.0958297j -0.00466835-0.00547181j 0.00128+0.0154256j 0.00263982+0.0048131j -0.0208533+0.0216658j -0.0177458-0.0154882j 0.0139119+0.0354569j 0.0127986-0.0496435j -0.0177836-0.00253188j 0.00140518+0.00722081j -0.00369687+0.0162676j -0.00636693+0.0085897j 0.0359124+0.0331137j 0.00206187-0.0246274j 0.00808928+0.0151428j -0.0337329+0.00758675j 0.000144189+0.00880457j -0.0303747+0.00993114j -0.016824-0.00494793j 0.00814877-0.018589j -0.0332504-0.0115622j 0.0268745+0.0135386j -0.00150767+0.0224182j 
0.00778139-0.0768259j -0.0354133-0.00300847j -0.0784953-0.123534j -0.0985797+0.0732438j -0.0387569+0.000522183j -0.136269-0.0262288j 0.0167119-0.150821j 0.0120301+0.035602j -0.0147226-0.0139339j 0.0457649-0.0618334j 0.018228-0.0109687j 0.0310298-0.0273144j -0.0257966-0.0036774j -0.00465873+0.00672792j -0.0979152-0.00333761j -0.0331282-0.0216911j 0.0135607-0.0170675j 0.0361378+0.110871j -0.0246277-0.0548773j -0.0308718+0.0454108j 0.0268844-0.0165864j 0.0433866-0.00420533j -0.0646704-0.0194235j -0.0249633+0.0295881j 0.000998146+0.0502354j -0.0139687-0.129116j 0.0490161-0.0426808j 0.00788204-0.0208067j 0.0612354-0.038208j 0.0446717-0.0189808j 0.0530766-0.0249592j -0.0298049+0.0399906j -0.101088+0.0891215j 0.0513967+0.111783j 0.0982995+0.0357638j -0.0796234+0.121103j 
-0.0215413+0.0182532j 0.00233006+0.0151284j -0.00324473-0.00559501j -0.00193587+0.0467729j 0.00597077-0.0174431j 0.0230169-0.00680459j -0.00615929-0.00503078j -0.0201239+0.00417975j -0.00533523+0.00317905j 0.0173505-0.0043261j 0.0126175+0.00733218j -0.0331532+0.00648941j 0.0166725-0.0112653j -0.0131975-0.0678311j 0.00644446+0.00971787j 0.025047+0.029315j -0.000662804-0.0265838j -0.00775596+0.0107184j 0.0185232+0.0147578j 0.025864-0.0148832j -0.0586211+0.00359862j -0.00026208+0.000733146j 0.0206652+0.0325975j 0.00102563-0.0327401j 0.0724371-0.0429432j 0.0439048-0.0304291j 0.00700224+0.0245038j -0.0362498+0.0097902j -0.0316152+0.0351616j -0.0297333-0.0100134j -0.0366472+0.0126108j 0.0020949-0.00318174j 0.0174053-0.00128212j -0.00377584-0.00640414j -0.0338394-0.00567684j 0.00440716-0.0146712j 
0.0137436+0.0409911j -0.00160273-0.0256112j 0.0170426+0.0318403j 0.0368892-0.0308189j 0.0124368-0.0147912j 0.0222943+0.0164321j 0.00782855-0.0121093j 0.00334784-0.0163952j 0.0120996+0.020298j -0.0325871+0.0156509j -0.00511173-0.00534531j -0.021543-0.0304856j 0.0217589+0.00749215j 0.0367449-0.0292909j 0.0159237-0.00866802j 0.0136648+0.0614251j 0.00884959+0.0216982j -0.00798184+0.00112586j -0.0233493+0.0247391j 0.0318568+0.0244951j -0.0252247+0.0419145j 0.0314284+0.002117j 0.0125612+0.0324005j 0.00211839-0.0527428j 0.0712272+0.0356654j -0.022887+0.0208214j 0.0259291-0.00280427j -0.0500946-0.0290887j 0.00358754+0.0195964j 0.0392365+0.0286284j -0.0173412-0.0157807j -0.000337435+0.00322343j 0.0677105-0.0369401j -0.0110343-0.047418j -0.0072459-0.0240356j 0.00982885+0.00908727j 
0.0226231+0.0107207j 0.012128+0.0135418j -0.00166719+0.00207492j -0.0242348-0.0196304j -0.00933789-0.003808j -0.00823703-0.0188773j 0.011367+0.0222753j -0.0281326+0.0258368j -0.0245073+0.0290274j 0.006951-0.000304589j 0.0139031-0.0146355j 0.044193+0.000690165j 0.00289201-0.012545j 0.0109694-0.0196373j -0.0367885-0.0289898j -0.0232326+0.0226936j 0.00507751-0.00960852j 0.0236168-0.00998218j -0.0433983+0.0328549j -0.0225025-0.0140386j -0.013671-0.00311357j 0.0174735-0.0156319j 0.0148847+0.0206337j -0.0603651+0.00511258j 0.0200636-0.012582j -0.0247066+0.00426739j -0.0302979+0.0123798j -0.0210644+0.0475162j -0.0418704+0.00696074j -0.0184401-0.010123j 0.0909243-0.0461538j 0.0315218-0.0157461j 0.00207126+0.0265906j 0.00651079+0.0264939j 0.0449372-0.0218426j 0.0175347+0.0174224j 
0.00747786-0.0116936j 0.0170365-0.0310888j 0.0047271+0.00617485j 0.0158281-0.0220553j 0.0018768-0.00354681j 0.0442926-0.00181008j 0.0128605+0.0296728j 0.00931166-0.0683789j 0.00650535+0.0421408j 0.00781796+0.0289407j -0.0475563+0.00190262j 0.000828583+0.0429649j 0.015297-0.00902136j 0.0267789-0.00314285j 0.0288815+0.0253234j 0.00434637+0.0212996j 0.0379172+0.0244447j 0.00442249-0.0535339j -0.00353475+0.019992j -0.00498256-0.00830491j -0.0188928+0.0551744j -0.00221733+0.0106411j 0.0245399+0.00343381j 0.0308555-0.0109363j -0.00339289+0.0229399j -0.0326327+0.0333608j 0.00571989+0.0352225j 0.0200005-0.0130254j 0.018217+0.0202241j 0.00840606+0.00196617j 0.00553549-0.00371302j -0.0141189-0.00012146j 0.0394063-0.0611383j -0.010025-0.0248542j -0.0356233-0.0106065j 0.0183633-0.0360531j 
-0.00689687+0.0130982j -0.0193644-0.00989581j 0.012862-0.0178315j 0.0139139+0.0203974j 0.0047467-0.0160486j -0.0156976+0.00472539j -0.00253993+0.0121383j -0.000104654+0.0135365j -0.000276372+0.0310824j 0.0142134-0.00149432j 0.0174067+0.00599607j -0.00201538+0.00483712j -0.017165+0.000509365j 0.0107733-0.0397097j -0.00399419-0.00477411j 0.00135442-0.00946657j 0.0012408-0.00622399j -0.00131312-0.00814947j 0.00334565-0.0159507j -0.00875829+0.0210726j 0.0204009-0.00358072j 0.00486233-0.0106858j 0.0323438-0.029863j 0.0195211+0.000245575j -0.0266735-0.0171226j 0.013718-0.00570493j -0.0307972-0.00639331j 0.0451927+0.0243475j -0.00626329+0.00631859j -0.0126908-0.0135778j -0.00198336+0.00248409j 0.0125395+0.0030439j -0.00480708-0.00491563j -0.00465228+0.0193533j 0.0023755+0.00228562j 0.00401862+0.00780679j 
0.0195147-0.0018958j 0.00245907+0.0105594j -0.00674803-0.000303151j -0.00164588-0.0157804j -0.000889818-0.000833868j -0.00698673-0.0107564j -0.00386288+0.0081491j 0.0030757+0.00905946j -0.0306858-0.0096456j 0.0240889-0.0150553j -0.00889809-0.00920804j -0.0295299+0.00296812j 0.0144821-0.00618501j 0.00891314-0.0418846j 0.00924943+0.019479j -0.00791941+0.00348827j 0.0115738+0.0121633j -0.00329396-0.0133466j -0.000129031-0.00284927j -0.0138082+0.00144183j -0.00419593-0.0248785j -0.0157036+0.0229929j -0.017531+0.0241748j -0.00132049+0.0380902j -0.0318425-0.0146693j -0.0146045+0.00747088j -0.00912594-0.0346102j 0.0383381+0.00248971j 0.029436+0.00388796j -0.00697936-0.0109182j 0.00856407-0.0167113j -0.0173317+0.00712026j -0.000550981-0.000972746j -0.00109216+0.000174288j 0.00637621+0.00580466j 0.00383585+0.00165871j 
-0.00127818-0.0150176j -0.0082283+0.00324185j -0.00633539-0.0261682j -0.0243824+0.0139215j -0.0133087-0.0226056j 0.0122369-0.01066j 0.00285804+0.00822814j 0.0389502-0.0140269j 0.0242377+0.0343452j -0.00339993+0.0202097j -0.0409831-0.00583773j -0.00335388-0.0273259j 0.00715955+0.00587119j 0.00694141-0.014876j -0.0281842+0.00517173j 0.00798636-0.00105759j -0.02565-0.0104242j 0.00833363-0.00765266j 0.0310158-0.0327287j 0.0101496+0.023163j 0.00413877+0.000585036j 0.0224241-0.00116033j -0.0188386-0.00932733j -0.0101772-0.00298967j 0.00606803+0.00016259j 0.00175938-0.0354475j 0.0104349-0.0101043j -0.00121603+0.00917517j 0.0118888+0.011108j 0.0190841+0.00151148j 0.0133587+0.0077463j -0.00434818+0.00162903j -0.0144747+0.00391293j -0.00337429+0.0182769j 0.00937278-0.00237931j -0.00387744+0.0153303j 
-0.0452128+0.00995047j 0.0395542+0.0292778j -0.0057609-0.00575705j 0.0190486+0.0496642j -0.0112584+0.0212067j 0.00693073+0.0502366j 0.00706756-0.0409946j 0.00984454-0.0441472j -0.0118334+0.00799702j 0.00248457-0.00907066j 0.0184402+0.0170275j -0.0327424+0.017802j -0.0115451-0.0140329j 0.0182738+0.0118802j 0.00830269+0.0427859j -0.00114751-0.00448216j 0.0236862-0.0148309j -0.0265363+0.0175024j 0.0365689-0.00187845j -0.00936963+0.034805j 0.00804628+0.0441579j -0.0296057-0.00458689j 0.0562324-0.0309667j 0.0475097+0.0141009j -0.0104264+0.0235495j 0.030822+0.0184261j 0.0396857+0.0631526j 0.0345906-0.0262394j 0.035207-0.0233996j 0.0141763+0.00130481j -0.0866989-0.0117119j -0.020896-0.00427726j 0.0140678-0.0263594j 0.0347889-0.0373675j -0.0498447-0.0178863j -0.0113268-0.00976078j 
