0.0155086-0.0120888j -0.0144733+0.0960594j -0.0609097+0.045545j 0.0426365-0.0175778j -0.00889936+0.0179075j -0.00217634+0.00121173j -0.0370165+0.0235192j 0.0163594+0.0135075j -0.0748574-0.0450949j -0.0183273-0.0019871j 0.00794246-0.0167374j 0.00813034-0.0071871j 0.00845596-0.000608558j -0.0284035-0.0170485j 0.0215945+0.0498324j 0.017055-0.00866704j -0.0169899-0.046203j 0.047092-0.00390179j 0.0430945+0.0162143j -0.0246018+0.000912232j 0.0114102+0.0152287j -0.00395263-0.00139824j -0.00262558+0.0204827j 0.0129264-0.00814288j -0.0162159+0.0151954j -0.00763689+0.00241481j 0.0146061+0.0114575j 0.00169869-0.014538j 0.00995881-0.0102938j 0.00716109+0.000572398j 0.0171549+0.00618758j -0.000209119-0.0126213j 0.00249646+0.00626946j -0.00515353+0.00627067j 0.0139324+0.0216055j -0.00763875-0.00458198j -0.0151285+0.0061938j -0.0125858-0.0200986j 0.0200607-0.0111186j -0.0240659-0.0112457j 0.00345432-0.0192464j 0.00514583+0.0145482j -0.0230319-0.00794901j -0.0126307-0.00605895j -0.0124436-0.0150812j -0.00239199-0.00932609j -0.000329326-0.0150831j 0.00793823-0.00591347j -0.0110402-0.0148755j -0.0123293+0.0188598j 0.0128088-0.005221j 0.0149902+0.000461975j 0.000840266-0.000647584j 0.0114645-0.00808422j 0.00429771+0.00733877j -0.00183795+0.0300406j 0.0173294-0.00173706j 0.0186156+0.0111267j 0.00371246+0.0120746j 0.000999204-0.00230502j 0.00921966+0.0165885j -0.00860443-0.00660356j -0.0104259+0.0122369j 0.00369397+0.0160883j -0.0222916-0.0126602j -0.000693497+0.0122063j -0.00263309+0.0104016j -0.00946343-0.000153211j -0.0380219-0.039481j -0.0196521+0.0332439j 0.0182136-0.00486197j 0.0313572-0.0229702j 0.0147581+0.051791j -0.0724373-0.0414371j 0.00405623-0.00874659j -0.00588859+0.0278418j -0.00869276+0.0306396j -0.0102444-0.054962j 0.0404734+0.0931175j -0.0778091-0.00482577j 0.0375603+0.100255j 0.0468328+0.00636862j 0.065202-0.017044j 0.125661+0.00750189j -0.00276852-0.00405009j -0.0876049-0.0190374j 0.0159821+0.0744048j -0.0929801-0.0878621j 0.00927391-0.0547075j 0.00383576-0.0404852j -0.0236715+0.00638799j 0.0435254+0.0372694j -0.073663-0.108032j -0.177083+0.243974j 0.195583-0.0650348j 
0.0168865+0.00644424j -0.0177697+0.0092644j -0.0259249+0.0149964j -0.0294567-0.0106724j -0.014059-0.0455363j 0.0123585-0.00973451j -0.0261862+0.00528078j -0.0239866-0.0117215j 0.0134487-0.00158716j 0.00318873-0.0218913j -0.0326193-0.00504683j 0.0340854-0.0258394j -0.0277746+0.00260061j -0.0435524-0.0411017j -0.0053439+0.0307294j 0.00502783-0.0159004j -0.0240517-0.0131765j -0.0326223-0.0163531j -0.010921+0.00868791j 0.00801652-0.0144696j 0.0234892+0.00925181j 0.051352+8.5432e-05j 0.00127253+6.04564e-05j -0.046031-0.00263373j -0.0424587-0.0358959j -0.0125254+0.0085797j -0.0156353-0.00837097j 0.00216048-0.0448522j 0.0333207+0.0184282j 0.0102869+0.00618506j 0.0332409-0.0477397j -0.00150622+0.0243574j -0.0318406+0.0525346j -0.0114293-0.0312575j 0.0127066-0.00418422j -0.0101658-0.070229j 0.0184709-0.00894395j -0.00205274+0.0127509j -0.0125739+0.0162457j -0.00641496+0.0155108j -0.0209411-0.0231709j 0.0361811+0.0205954j -0.00507305+0.00354253j -0.00921932-0.00521941j -0.0090698+0.010517j -0.044121-0.00474649j 0.00602192+0.022308j -0.0543487-0.0110753j -0.0317552-0.00666222j -0.00325054+0.0294096j 0.0525328-0.00715586j -0.0251283+0.0736929j 0.0121065+0.0790507j -0.0388396+0.0132278j -0.0403358-0.0497059j -0.033664+0.0228465j 0.00767631+0.0286435j -0.0103459-0.0151789j 0.055083+0.0173347j 0.0432802-0.0198562j -0.0244767-0.0303135j 0.047228+0.0675934j 0.0353284-0.0398535j -0.00555794+0.0228175j -0.0276945+0.0192058j 0.00460339-0.00983697j -0.015655-0.00611214j 0.0748827+0.0490485j 0.00744107+0.0783488j -0.00436+0.0988408j 0.0420076-0.00871526j 0.0105767-0.00650242j 0.00331787-0.0153911j 0.00512619-0.157179j 0.0106576-0.0685679j 0.0536493+0.0836278j -0.0692378+0.0490791j -0.0571277+0.051041j -0.0325805-0.0190504j -0.0513962-0.0554983j -0.0644021+0.127618j 0.0498745+0.0387695j -0.0294307+0.0361968j 0.0470928+0.0572162j -0.0182825+0.030546j -0.0425721+0.0136459j -0.0263529-0.0151585j 0.0224302-0.00313943j 0.0418213-0.0620583j -0.0772714+0.0707625j -0.0208879-0.0586312j -0.00180765+0.0462064j -0.00821823+0.000842975j 0.0988759+0.00446198j 0.0974516-0.089819j 
0.00374868+0.0270734j -0.0266567-0.0232166j 0.0176391-0.00646457j 0.0118871+0.00205899j -0.0450954-0.0066843j 0.036935+0.0142946j -0.00131407-0.00420692j 0.0202945-0.0280881j -0.0232275-0.0128776j -0.0233522+0.0309523j 0.0165876-0.0198277j 0.0435203-0.0720279j 0.0410767-0.0351387j 0.000991107-0.0548338j -0.0146942+0.00900604j 0.0221782-0.0148196j 0.0342471+0.0626018j 0.0167565+0.0411529j 0.0871827-0.0151499j -0.0151961-0.00374483j 0.00558184-0.000389675j -0.0748651+0.00574834j -0.0353753-0.00456234j -0.0233722+0.0281984j 0.0834775+0.00871412j 0.00804149-0.00716058j -0.0210105-0.000384656j 0.0205879-0.0685661j -0.0123005+0.0366551j 0.0543414+0.0031423j 0.0349528+0.0420833j -0.0359631-0.0165671j -0.0125915+0.020347j -0.0324725-0.0212714j 0.0136684+0.0143429j 0.00502449+0.0138026j 0.0316758-0.0044821j -0.039343-0.0850337j -0.0226433-0.000811037j 0.0369417+0.0208469j 0.026031-0.0204993j 0.0357839+0.0544211j -0.0099906-0.00785124j -0.0121197-0.0512714j -0.000647961-0.0157426j 0.0106453+0.0824001j 0.0241072+0.0726201j 0.0161134-0.0222667j -0.00197537-0.00486379j -0.0218311+0.01852j -0.000367195+0.00963595j 0.00992199-0.0287078j 0.00658112+0.0122497j -0.0192456+0.0245552j 0.0167882-0.0837902j -0.0327119-0.00728182j 0.0232638-0.0389223j 0.0102311-0.0666366j 0.0457333+0.00276833j -0.0240302-0.0370596j -0.013663-0.012196j 0.0372357-0.0135102j 0.00199215+0.000873975j -0.0363829-0.031409j -0.0272271+0.0339349j 0.0347136-0.015759j 0.0405561-0.0394307j 0.0125621-0.0180737j 0.117944+0.0222183j -0.0040013-0.0219273j 0.0962019-0.0518483j -0.00369403-0.0384606j -0.0586631-0.0813709j 0.000235669+0.00650599j -0.0225417+0.0317947j 0.029934+0.00857812j -0.0296534-0.0152542j -0.0386187-0.0902675j -0.0604817-0.027926j 0.0232477+0.149428j -0.0201398+0.0233668j 0.0608163+0.0559215j 0.0727571-0.0995094j 0.124091-0.0757494j 0.00161389-0.0661339j -0.065114+0.0146057j 0.0190643-0.0401787j -0.115332+0.0989905j 0.0102881+0.0786554j 0.0591867-0.0355215j 0.107419-0.0236718j 0.0316269-0.0650766j -0.0128798-0.0295213j -0.0635846+0.0243258j 0.0112491+0.0365744j 
-0.0214065-0.0122652j 0.00728777+0.0328855j -0.0317505-0.00276688j 0.0475074-0.0157442j 0.0279994+0.00563649j -0.0139935-0.0323553j -0.0364912+0.00376057j -0.0135329-0.0146078j -0.0547493+0.017894j 0.0281548-0.0194143j -0.0012308+0.0265218j -0.0258889-0.00439077j 0.0127858-0.0157226j -0.00630296+0.0116103j -0.0203352+0.00441821j -0.0227451+0.0484453j 0.00640855+0.0212455j 0.023687-0.0444487j -0.0369444-0.031373j -0.0434864+0.0139335j 0.0398977-0.0248888j 0.0573212+0.0276823j 0.00290572-0.0279927j 0.0287479-0.0593668j -0.0598829+0.00813665j -0.00498848-0.00890872j -0.0264976+0.0427518j -0.00421454+0.0124594j 0.0222143-0.0469125j -0.0372256+0.0306593j 0.029541+0.0149777j 0.0227196+0.000963722j -0.00500094-0.0359319j -0.0514286-0.0235224j -0.0376523-0.0350066j 0.032639+0.0444691j -0.0820048-0.0243164j 0.0184115+0.0216175j 0.024688+0.012382j -0.0154999-0.00514452j -0.0077873+0.0616379j -0.052838+0.0142347j -0.0226442+0.0260421j -0.0208457-0.0828888j -0.00888936+0.028421j 0.0393885+0.00537602j -0.0214806-0.0312729j -0.0186761-0.0350694j 0.0164952-0.0341925j -0.052236-0.0152593j -0.0275788-0.0795602j 0.0281444-0.0348986j -0.0108433-0.0167587j -0.0250394-0.0514252j -0.021618+0.00860201j -0.00880005-0.0624555j -0.0554837+0.0349813j -0.00581475-0.0166508j -0.0423476-0.0369774j 0.0245093-0.0115153j 0.011627-0.0479689j -0.0351939+0.0305862j -0.0150849-0.0264515j -0.043838-0.0335299j -0.0256527+0.0151883j 0.0431296+0.0420612j -0.0507128+0.0251682j -0.0214647-0.0173492j -0.0841316+0.0400362j 0.0709703+0.0545614j -0.00205423+0.0273331j 0.0272507+0.0223149j 0.0393297+0.0498008j -0.0112421-0.0533415j -0.0188832+0.0399772j 0.0111123+0.0375077j 0.0627343+0.0869002j 0.00887838-0.00547465j 0.0614956+0.0904716j 0.00216723+0.0123955j 0.0507815+0.0822672j -0.013854-0.0457693j 0.0679622+0.0351059j 0.0195691+0.0210481j 0.00725392+0.0558312j -0.00597317-0.0634996j -0.0142257+0.0350894j 0.048205+0.00419712j 0.0502745-0.0430567j -0.122384+0.0338027j -0.0140105-0.0593635j -0.0294233+0.027283j -0.00146644-0.0390759j -0.0629701+0.0960364j 0.0827459-0.0268574j 
-0.0042817-0.00842163j -0.0319682+0.00237884j -0.0297944+0.0402989j 0.0171213-0.0192709j 0.00353376-0.00776455j 0.0452287+0.0823639j -0.0418937+0.0195429j 0.0192928+0.0377704j 0.0347046-0.0205139j -0.0360236+0.0239629j -0.062789+0.0162208j -0.0471472+0.030997j -0.0179224+0.0252558j 0.0224709-0.0541277j 0.029001-0.00201042j 0.0128202-0.000557181j -0.0730703+0.0131778j 0.0404158+0.0120355j 0.0123062-0.0401069j 0.0233498+0.0149013j -0.051597+0.00765645j -0.00489828-0.0283913j -0.0133655+0.0163235j 0.0111251-0.044783j -0.0207167-0.00374441j -0.00218476-0.0617712j 0.00972043+0.0069698j 0.0457997+0.0370304j 0.010593-0.0247267j 0.0272161-0.0150018j 0.130157-0.00486697j 0.0432315-0.0356519j 0.0266987-0.00489989j -0.00691774+0.0444422j -0.0175763+0.0226j 0.00825789+0.0348053j 0.00718941+0.0592721j 0.0289441-0.0683819j 0.0188076+0.041739j -0.00374054-0.029994j -0.0038318-0.00820893j 0.00149983+0.0225184j -0.0406066-0.0504083j -0.00591737+0.0605131j -0.0350418+0.00428604j -0.00101904-0.0378198j 0.00336973-0.0190035j -0.0102113+0.0138388j 0.0239353-0.0493836j -0.0350699-0.0521744j 0.0123313-0.0611179j -0.0233368+0.020446j -0.049609+0.0161286j 0.0103313+0.0440906j 0.0727577+0.0480347j 0.00236548-0.021447j -0.073502-0.0246909j 0.0441524+0.0928255j 0.0415989+0.0277003j -0.0109223+0.0412244j -0.00600169+0.0595878j -0.019137+0.0111293j 0.0579615+0.0478016j 0.0398454+0.0483715j 0.124535+0.0438368j 0.023727-0.0352947j -0.115338+0.0460857j -0.0389643-0.0610563j -0.093027+0.00956623j 0.0574569+0.0136662j 0.0423726+0.0147167j 0.0728624+0.0667256j -0.0271525+0.0223212j 0.0480899-0.0506463j 0.00303485+0.113605j 0.0394336-0.0726933j -0.105863+0.0765263j 0.0254199-0.0557406j -0.0497226+0.0398676j 0.0958808-0.00260882j 0.0282059+0.0274466j -0.00884613-0.0528479j 0.000391348+0.0988165j -0.0543179+0.0499983j 0.0305757-0.0192743j -0.0330183-0.0391749j 0.0366473-0.0388128j 0.0018338-0.0707462j 0.0376973-0.0172074j -0.0492301+0.118713j -0.13479+0.0510352j -0.0307976+0.0214614j -0.0349133+0.0320215j 0.016754+0.0131789j 0.0540832-0.0540984j 
0.006926+0.0188018j -0.0219509-0.00404805j -0.00753383+0.0294303j 0.0299254-0.0109137j 0.0125001-0.0332846j -0.0123479-0.00728167j -0.00281696-0.0122796j 0.0199781+0.0161597j -0.00571542+0.0020307j -0.0297418+0.00596888j -0.0188113+0.00397563j 0.000378721-0.0164297j 0.0155966+0.0556965j -0.0203151-0.0371109j 0.0745776+0.019283j 0.0352954+0.00151312j -0.0473842+0.0390223j 0.0380697+0.0138075j 0.054823-0.0142074j 0.00511459-0.00370247j -0.0372981+0.0365794j -0.0520699-0.0143429j -0.0383721+0.00764899j -0.00521462+0.00879618j -0.00659027-0.0309425j -0.0249835+0.0210761j -0.00352596-0.0488317j 0.0232366-0.00259335j -0.014157-0.0135729j -0.00573032-0.00758596j 0.0785679+0.00492596j 0.0156421-0.00636782j -0.0388282+0.0207501j -0.0315696+0.00450464j -0.0194725+0.0410475j 0.0284865+0.0302952j -0.0302855+0.0299495j 0.0435863-0.00804238j 0.00939063+0.001799j -0.0638297+0.0317833j -0.0268426-0.0345483j 0.0216742+0.0150901j 0.0226477+0.0141816j -0.00621978-0.0147784j 0.00296091+0.0142014j -0.00322597-0.0742217j -0.0214369+0.0690257j -0.00119487-0.003402j 0.0101608-0.0120671j -0.0351085-0.015259j 0.0572322-0.0393203j 0.0508032+0.0430896j 0.0781148+0.0186241j 0.0705401+0.0308877j 0.0409007-0.0163498j 0.0388443-0.00774713j -0.050798+0.0956781j 0.0435742+0.019871j -0.0477486+0.0391985j -0.0855233-0.00885576j -0.00615758+0.024355j 0.00552942+0.0356059j -0.0242632-0.0270819j -0.0147141+0.00722347j -0.00719024+0.0350401j -0.0273287+0.0324296j 0.0325899+0.0243853j -0.0151312-0.0686468j -0.0255167+0.177026j -0.0679203+0.0282206j 0.00255964+0.0632421j -0.00729758-0.0145358j -0.0203149-0.0433087j 0.0256891-0.01112j 0.0236116+0.0110853j 0.00444114-0.0435988j -0.079202+0.100717j 0.0647111-0.0866954j -0.0219252-0.00618395j 0.0561136+0.0822123j 0.000589789-0.00315015j -0.0107883-0.0350626j 0.0205782-0.0198148j -0.0116972+0.0386864j 0.0530695-0.0361875j -0.0596927-0.00493498j 0.0116291-0.0277399j -0.0274369+0.01651j 0.0088681+0.0186108j -0.0344194+0.0928726j -0.0689538+0.00275083j 0.00388355-0.0077863j 0.00878817-0.0181031j -0.0354904+0.0186436j 0.0187689+0.0150357j 
0.041599+0.0258207j 4.86513e-05-0.00194331j 0.0157938+0.010749j 0.0269018+0.00391992j 0.0100642-0.00728146j -0.02211+0.0109695j 0.00227293-0.00058254j 0.0339694-0.00433836j -0.00706544-0.0129349j -0.0502703+0.0226311j -0.0209539+0.0102997j -0.00546228-0.0125482j 0.0210629+0.0222508j -0.0150702-0.0206876j 0.0202558+0.0129562j -0.022884+0.0133622j -0.0140385+0.00720781j -0.00597622+0.0281138j 0.0157444+0.0267517j 0.0167222-0.0065518j -0.044989+0.0431788j -0.0138446-0.00325329j -0.027567+0.0201606j 0.0209619+0.0415604j -0.0366516-0.00966176j -0.0058694-0.00432046j 0.00998131-0.0173789j 0.00144931+0.0313659j -0.0286954+0.000716965j 0.0180724-0.0483725j 0.0351235+0.00165354j -0.0269414-0.0202845j 0.00149116-0.00264586j -0.0131072+0.00450467j 0.0550556-0.00691729j -0.0105031-0.0166772j -0.00905671+0.0201199j -0.0203594+0.0411613j -0.00520523-0.0309217j -0.0406848+0.0299565j -0.0117336+0.0447223j 0.013437+0.0299956j 0.0101801-0.0277201j 0.0194021+0.0442147j -0.0377539+0.0328263j 0.0153781-0.03176j 0.0533878-0.000725648j 0.00536216-0.00123816j 0.0114498-0.0149554j -0.0134213+0.078367j -0.016903-0.0638327j 0.0493889-0.007741j -0.00887215-0.0630751j 0.00811834-0.0425745j -0.0314459+0.0289527j 0.0252096-0.00326031j -0.0178949+0.0501612j -0.000883315+0.00912557j -0.0923884-0.0356141j -0.0239978-0.00941083j 0.038172+0.0454113j -0.00501099+0.0109945j -0.00103296-0.00421069j 0.0452267+0.0232042j -0.0442199+0.120226j -0.0668839-0.0725866j -0.0150759+0.00706467j 0.0590437+0.00869324j 0.00893731-0.0041701j -0.0307618+0.0939562j -0.0472204+0.0255333j -0.0353615-0.00802723j 0.0413295-0.0129823j 0.055506+0.011792j 0.0812877-0.0424668j -0.00448205+0.0139385j -0.0948631+0.0295188j 0.0289338-0.0578504j 0.00694934-0.0601714j -0.0283733+0.00829727j -0.0144979+0.0451868j -0.0396538+0.0468398j -0.0784584-0.0310757j -0.0157952+0.0501135j 0.00817347-0.0260706j -0.0552844+0.0358473j -0.0514442+0.00316404j 0.0257879+0.0531546j -0.00177036+0.00880719j 0.0582697+0.0427819j -0.1035+0.0829832j 0.0341823-0.0253251j -0.0390322-0.00827692j 0.0136801-0.0216145j -0.0119542+0.00800586j 
0.000188561+0.00776839j -0.00772608-0.013111j 0.0260095+0.00691984j 0.0280086-0.0472508j -0.0306307+0.00773138j -0.00933539-0.0111588j -0.0260314+0.0333624j 0.000473457+0.0119281j 0.0320806+0.0192101j 0.00836551+0.00235813j 0.0283784-0.0578012j -0.0003874-0.0105365j -0.00256085-0.0253939j 0.0391302+0.012221j -0.0620804-0.0342237j -0.00664136-0.00277934j 0.0327679-0.0135961j -0.00950237+0.0438391j -0.00499162-0.0117105j -0.0231384+0.0371041j -0.0245312+0.0713797j 0.0159923-0.02615j -0.0310347+0.00619876j 0.026551-0.0340169j 0.0461219-0.00245258j 0.0150378-0.0377873j 0.074185-0.0291151j -0.0242501+0.0181783j -0.00800851+0.0453931j -0.0274524+0.00328424j -0.0034217-0.0578257j 0.0282632-0.0315641j 0.0869775-0.0426891j -0.0201712-0.0102212j 0.0474964+0.0554558j 0.0574067-0.00745654j -0.0138083-0.0242545j -0.0555358+0.0235473j -0.0834845-0.021669j 0.00131593+0.0195436j 0.0531519+0.0175449j -0.0756364+0.00663763j 0.0233771-0.00611783j -0.0141188+0.0159775j 0.00016395-0.0021108j -0.0194927-0.102936j -0.0236507-0.0189395j 0.019787+0.0137495j 0.0103234-0.0420439j 0.0350434+0.00881392j 0.0547692+0.00133509j 0.0709089-0.0233717j -0.085232+0.0541258j -0.00326169+0.0418967j 0.0696637+0.050325j -0.0178994+0.0914687j 0.023941-0.0621162j -0.130172-0.0269016j -0.00837861-0.116285j 0.0132038+0.0391948j 0.000587467+0.0595246j 0.0272332-0.0919509j -0.015432-0.0708136j 0.063177+0.0764669j 0.0515052-0.0247412j -0.0153006+0.00604117j 0.0152074+0.0263226j 0.0110523-0.0368261j 0.0541735-0.017829j 0.0311401+0.103056j -0.0094827+0.0112293j -0.0666117-0.0981116j 0.0394726+0.0163923j 0.0758613+0.0729416j 0.00995664-0.029727j -0.02817+0.0560344j -0.0597332-0.0885538j 0.0361958+0.0209685j 0.0740058-0.0463109j -0.0518949-0.0279968j 0.0294572+0.0264974j -0.0802462+0.0366646j -0.0997035+0.0393501j 9.75633e-05+0.06026j -0.0158006+0.0322118j 0.0535273+0.0278841j 0.0171453+0.000335531j 0.0123136-0.042594j -0.0288319+0.0583744j 0.0534523-0.0592862j 0.066855-0.0228174j -0.0109108-0.0116863j -0.0185108+0.00214006j -0.023178-0.00671557j -0.0386997+0.01779j 
0.0420968+0.0353339j 0.0118163+0.0309057j 0.0091411+0.00591076j 0.0330316-0.012614j 0.0125764+0.00915992j 0.0022647+0.0429755j -0.0121708+0.0339781j 0.0682015-0.0251403j -0.0456739-0.0633195j -0.0303378+0.0242162j -0.0312623+0.0137116j 0.0153949-0.0119517j 0.0184005+0.0323471j -0.0197914-0.0322371j -0.00420568+0.067139j -0.0422566+0.0226459j -0.00686708-0.0033783j 0.00368482-0.0161322j -0.0256926-0.0131308j 0.00483271-0.0186594j 0.0570449+0.0268295j 0.0067314-0.0216985j -0.0907991+0.070816j 0.00638496-0.00794173j -0.0666406+0.00377973j 0.0165409-0.00334485j -0.00880356+0.00178957j -0.0506625+0.083567j 0.0173468-0.00791392j 0.00539788+0.0314445j -0.0198774+0.0272689j 0.00190978-0.00448437j 0.03961+0.0211986j -0.0475604-0.0106782j 0.00554309-0.0676258j 0.0586677+0.0418704j 0.00621852-0.0187204j -0.0240844+0.0193269j -0.00995382-0.0157563j 0.0264508+0.0113727j -0.0458942+0.0269365j 0.0219186-0.0368273j 0.0242006+0.0037239j 0.0313882-0.0213163j 0.0385086-0.0367561j -0.0248689+0.0259875j -0.0259306-0.0597914j 0.033358-0.0543069j 0.0020593-0.0746007j -0.0204115-0.0278249j -0.0796157-0.034915j 0.0118939+0.0110693j -0.0229077-0.00743473j -0.0569278-0.0156367j 0.00137518+0.0187413j 0.0438083-0.0192522j -0.0287731-0.00614197j 0.00756125-0.0053401j -0.0184992+0.0575214j 0.0267928+0.028532j 0.0526887-0.0542658j -0.000619433+0.00645131j 0.000438077+0.0715398j -0.0105204+0.0156895j -0.0241475+0.0412317j 0.0347619-0.0288287j -0.0738078+0.0136374j 0.0207457+0.0163686j -0.0607359-0.0691048j 0.0407018-0.01799j 0.0282122+0.0496637j 0.0392836+0.0409498j 0.0475756+0.0140499j 0.022265-0.00508844j -0.0266968+0.0460723j 0.00175432-0.0032136j 0.0386661+0.0694363j 0.0127788-0.0323471j 0.0210896+0.00331635j 0.0500822-0.021422j -0.0517997+0.0200191j -0.00790779+0.00267375j -0.0620153+0.00340668j 0.00181963-0.0204977j -0.000466362+0.00177856j 0.00841425-0.00123599j 0.00325637-0.0196417j -0.0113057-0.0646555j -0.0260463+0.0247223j -0.086703+0.0578688j -0.0491625+0.0205432j 0.0306739-0.0134328j -0.048534-0.0251725j -0.0218302+0.0054146j -0.00955809+0.0226575j 
0.044843+0.00495559j 0.0611931+0.0227931j 0.00988898-0.0247474j -0.0248614+0.0418854j -0.00673679-0.021477j 0.0284555+0.0482381j 0.0352545-0.0426389j -0.0450886-0.027083j 0.0107657+0.0199667j -0.0134462+0.0108514j 0.0066072+0.0265884j -0.0176474+0.0128621j -0.00382267+0.0317785j -0.0422985+0.0708823j -0.0315917+0.0791697j 0.0309157-0.0432155j 0.0183704-0.0177486j -0.0308584+0.0520357j 0.0399144+0.0182481j 0.0198479+0.0420581j 0.0120411+0.0132339j 0.0517886+0.106279j 0.0924202+0.0197379j -0.0319211+0.0446535j -0.0584487+0.00384419j 0.000124718+0.0084272j -0.0417153-0.0315838j -0.00423561+0.0332843j 0.0217597+0.0434872j -0.0344492-0.00206335j 0.0582692+0.0280822j -0.00935641-0.0344848j 0.0383528-0.0352102j 0.0468293+0.075619j 0.00349732-0.000486081j -0.0122898+0.0177886j 0.0349841-0.0672431j -0.0386813-0.0377038j -0.00861704+0.00163211j -0.00604006-0.0075052j -0.00944989-0.0415073j 0.0244657+0.0269368j -0.00628053-0.0201042j -0.0773417-0.0633007j -0.0174717+0.03233j -0.0116006-0.0205092j -0.0100076+0.0230572j 0.0131396-0.0336561j -0.0231147-0.0414029j 0.018865-0.0113493j -0.037052+0.032009j 0.0646068+0.0342921j 0.0049021+0.0185194j -0.00986229+0.0256117j 0.0624061-0.040854j 0.0776171+0.00907117j -0.00426425+0.0417932j 0.0259726+0.0458942j 0.0180521+0.00155999j -0.107108-0.00633155j 0.055804+0.0397342j -0.00302535-0.000151988j -0.0293712+0.0710221j -0.00347922+0.0245456j 0.0271847+0.0539054j 0.0472878+0.0829281j 0.0103005+0.0524669j -0.00432187-0.0241462j -0.0230883-0.0258672j -0.0270411-0.0517526j -0.0138587-0.0982843j -0.0274364-0.00644554j 0.00876723-0.144932j -0.0425999-0.0124116j -0.0555221-0.00707888j 0.0343874-0.10955j -0.113563+0.086698j 0.0362931-0.0949777j 0.00906645-0.0116497j 0.0534049-0.00610038j 0.0248945+0.0580947j 0.0323672+0.0196514j -0.0629904+0.101338j -0.0414941-0.00836997j -0.011844-0.0472094j -0.0545293+0.0113335j -0.13945+0.00822753j 0.0597932+0.126198j 0.0475282-0.0444794j 0.0495206+0.00736574j 0.0177199+0.0453512j 0.0250831-0.0285056j -0.00980137+0.00139818j 0.0626147-0.0324089j -0.0050697-0.000228691j 
0.00319083+0.0384732j 0.0281848+0.0029017j -0.00334473-0.0350115j 0.0288137+0.02603j 0.00781741+0.0188447j 0.0267141-0.0275147j 0.0139014-0.0470489j 0.0185129-0.00683836j -0.0308371+0.00702838j 0.00757079-0.02069j -0.00870618-0.00351405j 0.00345042-0.00384452j -0.0359535-0.00894172j -0.0438358+0.0360681j 0.0454444+0.0585546j 6.89767e-06-0.0699775j 0.0037689+0.069954j 0.00731218+0.00397221j 0.0404112-0.0048773j -0.00551595+0.101514j 0.0452974+0.0228408j -0.000882137+0.0809944j 0.00567089-0.0353155j -0.013052-0.023205j -0.0402455-0.0216553j -0.0727453-0.000647749j -0.0165671+0.0757636j 0.00671023-0.0101512j 0.00898414+0.0111073j -0.0143485-0.00345221j 0.0470332-0.0309164j 0.00306918-0.0148859j 0.078556-0.00607117j 0.0277689+0.05452j 0.000604932+0.0209561j 0.0465664+0.0220819j 0.0475326+0.0163218j -0.0196021-0.0339483j -0.0683991-0.0116877j -0.0378821+0.023493j -0.083663-0.0109411j 0.0253244-0.0146919j 0.0644386-0.0332415j 0.030035-0.0816705j -0.0377106-0.0346462j -0.0905963+0.0401518j -0.090969-0.0319413j -0.00343807-0.0905706j 0.00246955-0.078277j -0.0575168+0.00301576j -0.0223507-0.0162587j -0.00199247-0.0914997j 0.0884231-0.0385514j 0.0129292-0.0183632j 0.076727-0.00426892j -0.0183329+0.00293268j -0.0410996+0.0264283j 0.0486785+0.0234796j -0.0511393+0.0910226j 0.002125+0.00706562j 0.0528543-0.0311068j 0.153454+0.0142816j 0.0577853-0.0278003j 0.0186846+0.0921077j 0.0472962-0.0556268j 0.0691875-0.030638j 0.0323758+0.0508687j -0.0356016+0.0953354j -0.0595174+0.0253357j -0.005022-0.0739289j 0.111668-0.0471913j 0.00290443-0.0042479j 0.0889822-0.0637834j -0.0852122+0.0360101j 0.0404357-0.099581j 0.0312553-0.063242j -0.0589112+0.0142398j 0.0752531-0.0141782j 0.0918552-0.122097j -0.0828893-0.0153051j -0.00753784+0.11678j 0.123332-0.0128592j -0.0539815-0.00250432j -0.0456733+0.00606589j -0.0126993+0.0143692j -0.039043+0.0391984j -0.0729682+0.0865745j 0.0396331+0.0380151j 0.0100198-0.0446735j -0.0334308+0.0050538j 0.0150997-0.0282292j 0.0474064-0.0347475j 0.0349298-0.0348651j -0.0538333+0.0152864j -0.0155773+0.0649076j 
