-0.108578-0.181961j -0.0414649+0.0356999j 0.0796046+0.155922j -0.00136827+0.0559345j -0.0489291-0.0541935j 0.0165814-0.0457056j 0.0634251-0.00337652j 0.0162116+0.0494243j 0.0407876+0.179352j 0.0480256+0.125246j -0.00871263-0.0995701j 0.0596275+0.0637448j -0.00105594+0.0993779j -0.0363663-0.0342588j 6.95118e-06+0.0134809j -0.00555843-0.0125013j 0.00928865+0.0119147j 0.00249019-0.00965632j -0.00330464-0.00966538j 0.0160174+0.00701021j -0.0504175+0.0131695j 0.0243964+0.0240917j 0.0224253+0.0227739j -0.00455853+0.1861j 
-0.0972323-0.0280474j 0.0501629+0.0418756j 0.359361-0.0124109j -0.112621-0.0732167j -0.313816-0.0467653j -0.0116822-0.0565352j 0.108999-0.0563589j 0.115962-0.135519j -0.0767751-0.145766j -0.0564486-0.134987j 0.0316007+0.0312925j 0.0394709-0.111997j 0.0143694-0.0257542j -0.0358768+0.0307557j -0.0181776+0.00451077j -0.0324003+0.0287104j 0.000280142+0.00330467j -0.0103798-0.00586002j -0.00638096+0.010917j 0.0277083+0.0150842j 0.0357053+0.0287667j 0.0113569-0.0274892j -0.00975255+0.0572685j 0.0293521-0.0740628j 
0.0450111+0.0743687j -0.00793098+0.00832982j 0.132422-0.114517j -0.100524+0.14643j -0.0796337+0.0787299j 0.064252+0.0460133j -0.0453655-0.0082468j 0.0350891-0.0890617j 0.110482+0.0765752j 0.0567886+0.0874223j -0.00733292+0.0115523j -0.0135409-0.00210521j 0.0352392-0.00486607j -0.0374906-0.023896j 0.00388753-0.00700563j -0.0164965-0.00773371j -0.0393805+0.0257675j -0.0146211+0.0123092j -0.0289772-0.00235975j -0.00522888-0.0388314j -0.020665-0.0110452j 0.0111926+0.0256241j -0.0237421-0.0167857j 0.0193054+0.00386945j 
-0.106152+0.0272688j 0.133573-0.133448j -0.076099+0.0202574j 0.23351-0.221703j 0.0709102+0.0490154j 0.023018+0.0231671j 0.0391524-0.0884572j -0.0122953+0.0096191j 0.0150666+0.108835j 0.082449+0.0286891j -0.126075+0.0656981j 0.064258-0.0351016j 0.0341842-0.0204965j 0.000557632-0.0345024j -0.00791294-0.00347778j -0.0129123-0.0014509j 0.00118339+0.0110525j -0.00411764+0.0020498j -0.00288908+0.00355342j -0.00722271-0.00513884j 0.0503459-0.0479197j 0.0179438+0.000526496j -0.0164975+0.0109165j 0.00608217+0.0285797j 
0.00371473-0.0334059j -0.0492408+0.096043j 0.0513978+0.306039j -0.0812383-0.111604j -0.0156847-0.316427j 0.00421206+0.0155369j 0.0568787+0.0467087j 0.0463395-0.0828231j -0.042387-0.123526j -0.0486311-0.0737004j 0.023851+0.000411962j -0.00491-0.0364209j -0.00692218+0.0291812j -0.0103396-0.049333j -0.00197195-0.00817653j 0.0227621+0.0256133j 0.00066502+0.00222819j -0.0119818-0.0309273j 0.00913067+0.0159098j 0.0191447-0.0130323j 0.0197198-0.0206582j -0.026411+0.0295287j -0.0389559+0.045056j -0.037837-0.0809729j 
0.0677934-0.0377524j -0.109414-0.0398071j 0.0328052+0.104556j -0.210329+0.0304637j 0.242794-0.00285254j 0.18439-0.0110447j -0.0305348-0.0712281j 0.159069-0.0211213j -0.178088-0.0945254j -0.0628669+0.101824j -0.118684+0.0356526j 0.116309-0.016975j -0.0141587+0.0103241j -0.00444797-0.0215565j -0.00976046+0.0302978j -0.0055538+0.0115194j -0.0247725-0.00197616j 0.00226588+0.0217875j 0.00313416+0.01049j 0.0232678-0.00394599j 0.0449867-0.00723099j -0.0301466-0.00251305j -0.0581595+0.0449606j -0.0551889+0.0531044j 
-0.0298411+0.0487006j 0.00470951+0.116235j -0.113176+0.0169851j 0.107717+0.00721865j 0.128372-0.216152j -0.120743+0.0599195j 0.177256+0.0908798j 0.215407-0.0785872j -0.0318966+0.128985j -0.018591-0.0530472j 0.0427365+0.038035j 0.156639-0.0876938j -0.0107594-0.0610637j 0.00237701-0.00800839j -0.010843-0.0325618j -0.0532878+0.0307366j -0.018998+0.00769928j -0.00807798-0.0109901j -0.0113222+0.0074576j 0.00565611-0.0111271j 0.0506857-0.0457017j -0.0376953+0.0465143j -0.0464986+0.000616739j -0.0458337+0.0102985j 
0.0806833-0.029421j 0.0224965-0.0232235j 0.0363768-0.129863j -0.121769-0.0706446j 0.0213602+0.111997j 0.0253651-0.0819341j 0.0832818+0.0687166j -0.278634+0.13172j 0.121139+0.130401j -0.0834005-0.0534399j -0.0274253+0.0118617j 0.0294918+0.0538617j -0.0169476-0.0118752j -0.0191146-0.00669631j 0.00516905-0.0390542j 0.0594559-0.0343022j -0.0208372-0.0300577j -0.0127118-0.0437948j 0.0243393-0.0196235j 0.00792165+0.00285578j -0.0180653+0.00271407j 0.0296225-0.0311546j 0.0185303+0.000164696j 0.0106413+0.0344322j 
-0.0946822-0.0696978j 0.0891999+0.0434434j 0.007592-0.1021j -0.0573696+0.0673126j -0.00902831-0.128218j 0.164302-0.150349j 0.0168109+0.152656j 0.0216422+0.049855j 0.0341029+0.102699j -0.131255+0.000480667j -0.12518+0.0576954j -0.0216507-0.026266j -0.0177221-0.00644973j -0.0205849+0.0108009j -0.019957-0.0201959j 0.0102246+0.000257598j -0.0386773+0.0197081j 0.00985638-0.0430522j 0.00782962-0.0200076j -0.00417086-0.0176321j 0.0438206-0.0407912j 0.0342219-0.0048008j -0.00904179-0.0238657j 0.000916054+0.00450867j 
-0.0259295-0.0446142j 0.0446908+0.0252583j 0.175509-0.111818j 0.00826473+0.158436j -0.00552113-0.0741794j -0.0848558+0.0638432j 0.112281+0.00981323j 0.0385335+0.186444j -0.0742309+0.240797j 0.0100813+0.119809j 0.00185869-0.00918433j 0.11962-0.0486307j 0.0360449+0.0134752j 0.0190534-0.00864274j 0.00211561+0.00750846j -0.0217214+0.0183132j -0.0216394+0.0199348j -3.53037e-05+0.00819396j -0.0137224+0.000994029j 0.0215185-0.0330071j 0.0844466-0.055165j 0.015868-0.00524099j -0.0490395-0.0622298j 0.00728086+0.102496j 
-0.0250486+0.0602474j -0.041937-0.0702499j -0.0498213+0.021174j 0.00513823-0.195697j -0.21378+0.205775j 0.0254495-0.0268887j -0.101785+0.0617784j 0.393176-0.115538j 0.0160183+0.134013j 0.011798-0.0378259j 0.0717883-0.0556257j -0.0935259+0.123302j -0.0372559+0.0126633j 0.00547322-0.0171402j -0.00248072-0.0117018j -0.0659337+0.0458684j 0.00862806-0.0303065j 0.0050652-0.0243526j -0.0339454+0.0278569j 0.0312128+0.00538035j -0.0624007+0.0365553j -0.0903213+0.00959208j 0.00716567-0.0232337j -0.000311432+0.065747j 
0.0788954-0.00412686j -0.00949737+0.0344099j -0.0248113+0.0227406j -0.0355211+0.0366275j 0.106298-0.0572399j 0.0396771+0.00677221j 0.0134485+0.0177699j -0.142388-0.136916j 0.370869+0.264723j 0.103877+0.0980732j -0.0768243-0.0479853j 0.0527761-0.0123927j 0.0428183+0.0358673j -0.0210036-0.0309916j -0.00456522+0.0121743j -0.04028+0.020754j 0.0130837+0.0161027j 0.00179005-0.00639991j -0.0523372-0.00891323j 0.0374256+0.0152761j -0.0316867-0.0234525j 0.0526482+0.0197344j -0.0471989-0.0265348j 0.072334+0.0328609j 
0.0404894-0.0349966j -0.0796187+0.0763885j 0.131836+0.0508353j 0.102555-0.156126j 0.011063+0.158466j -0.16514+0.123209j 0.303916-0.0589333j -0.144872+0.0218483j -0.0416797-0.00361097j 0.12061-0.0963693j 0.142785-0.154518j 0.113696-0.0167819j -0.0153168+0.0250222j -0.014769-0.0481338j -0.0327028-0.00334077j 0.0161791+0.0196918j -0.00205231-0.00260282j -0.0733262-0.012381j -0.0144101-0.0030894j 0.0386267+0.0272332j 0.0156581+0.0297064j 0.0216429-0.0328425j -0.0458477+0.0644506j -0.0201398+0.0517384j 
-0.0850606+0.0401454j 0.118273-0.0211552j -0.0508158+0.0955665j -0.0282409+0.0945953j -0.0084619+0.093322j 0.0969145-0.19532j 0.307726+0.114578j -0.0420937-0.135595j 0.0907274-0.0572756j -0.131322+0.039168j -0.0633837+0.11058j 0.0390982+0.0697236j -0.113265+0.0603573j -0.11119+0.000459264j -0.0235023+0.040253j 0.0181925+0.0166742j -0.0273812+0.00729278j 0.0114871-0.00123962j -0.00114633-0.000320637j 0.00424861+0.0310538j 0.0294086+0.0104719j 0.041643-0.0251091j -0.0373558+0.0483319j -0.029623+0.024245j 
-0.0115507+0.0154586j 0.0325087-0.033859j 0.0422413+0.032146j -0.0305488+0.0594423j -0.0477798+0.026108j -0.0291132-0.0404688j -0.0375461-0.0416858j 0.0906819+0.189502j -0.270419-0.0918113j -0.107705+0.0444668j 0.0200083+0.0349075j -0.0154178+0.0414849j -0.0171877+0.0358603j 0.0288119+0.0117414j 0.0107955+0.0204149j -0.00373913-0.0129156j 0.00495067+0.010757j 0.0166802+0.0219276j 0.0100899+0.0165311j -0.0175129-0.00200427j 0.0556745+0.0299914j -0.0369204-0.0510561j 0.0187967-0.023248j -0.014795+0.03904j 
-0.0240199-0.0398231j 0.0607625+0.134283j 0.0545208-0.107613j 0.029077-0.108612j 0.0273293+0.0116231j 0.244892+0.080324j 0.0911621+0.14193j -0.166481+0.207151j -0.0668786+0.159411j 0.0397665-0.102652j -0.0395182-0.0518535j -0.015505+0.0393706j -0.0732672-0.0546978j -0.0564442-0.00541743j -0.00296028-0.0693436j 0.048877+0.00154978j -0.0163912-0.00526148j 0.00110715-0.0736163j 0.017105-0.00151068j 0.00810579+0.0225301j 0.0203188-0.0202361j 0.0156736-0.0489454j -0.0299442-0.0213074j -0.0205752+0.0152544j 
-0.0756835-0.044567j 0.0320147+0.0883504j 0.00222325+0.0196521j 0.0566874-0.0464407j 0.084832+0.0182709j 0.38131+0.0485034j -0.123752-0.0215515j 0.234922-0.181753j -0.12857-0.111089j 0.108468-0.0628864j -0.106177-0.0330572j -0.0208361-0.0682642j -0.0494833-0.0122302j -0.0300796+0.0431941j -0.0207807-0.0139555j -0.0440846+0.0186273j -0.0220459+0.0170359j 0.0341121-0.0416383j -0.010998-0.0146673j -0.00583317+0.0251336j -0.00632668+0.0169434j 0.0254893-0.00992837j -0.0235481+0.0489293j -0.013883-0.025936j 
0.0965552+0.0461969j -0.0745062-0.0241549j -0.0397839-0.256853j -0.0157252-0.0310424j 0.00975415-0.0929667j -0.0308939+0.158421j 0.321138+0.286531j 0.00997159+0.0095041j -0.0611362+0.0753725j -0.0479089-0.0903038j 0.106197+0.0430228j 0.041067+0.024021j -0.101609-0.225376j -0.0573325-0.0619347j -0.0397928-0.0560469j 0.0303029-0.00166003j -0.000891516-0.0233073j -0.0586988-0.0196523j -0.00962415-0.00621111j 0.0258729-0.00917223j -0.025498-0.0473706j -0.0318243-0.00238006j -0.0410508-0.0943751j -0.0635407-0.0803066j 
-0.0836822+0.0345558j -0.029121-0.158249j 0.082204+0.0687249j 0.0606119+0.132175j 0.0589237+0.0694233j 0.338385+0.184834j -0.0885041-0.0184901j -0.10084+0.0547749j -0.0504301-0.0488517j 0.188898+0.242293j -0.0841529-0.00806102j -0.083449+0.0628663j -0.0331164-0.00560523j -0.0400602-0.0320695j -0.00232732+0.0167729j 0.0454421+0.00736941j 0.00254072+0.00042115j 0.0088665+0.0163108j 0.0109103+0.00648701j 0.0135363+0.00603587j -0.00356148-0.0363831j 0.0380029+0.0195597j -0.0399316-0.0632884j -0.0101326+0.00280276j 
0.0567437-0.0726286j -0.0526739+0.0563326j 0.0662947-0.196276j -0.0614521-0.036768j 0.0349218-0.181546j -0.181298+0.145722j -0.040844-0.0432133j 0.00584907+0.00349895j -0.00242114+0.071938j 0.037335-0.126818j 0.0564395+0.0181257j 0.0605515-0.113406j 0.0901216-0.0992629j 0.0414239+0.034008j 0.0457828-0.0118372j -0.0101807-0.0265993j 0.0294016+0.0015215j 0.0255246+0.00244451j -0.00770491-0.0169529j -0.0158444-0.0310031j -0.0321657-0.0650306j 0.00570785+0.000711968j -0.000488604-0.00136192j 0.0057802-0.0601339j 
-0.0418016-0.0990182j -0.00678288+0.270578j -0.0649356-0.0883035j -0.0144315-0.139703j -0.0930428+0.0227357j -0.100082-0.117504j -0.17562+0.056362j 0.00590145+0.110002j 0.062871+0.107121j -0.0299365-0.202116j 0.00940046-0.105919j -0.148741+0.00948473j 0.0430869+0.0476551j 0.0268353+0.0426464j 0.0134665-0.00546924j 0.00859604+0.000919219j 0.0116072+0.0193846j 0.0186913-0.0185806j 0.00643565-0.0129241j -0.0248378-0.0105868j -0.00806355-0.000248736j -0.00192405-0.0173482j 0.0331024+0.0427897j 0.0160664+0.0238021j 
0.0753251+0.00333822j -0.0697943+0.0493339j -0.0553617+0.130317j -0.0210172+0.0312681j -0.0173503+0.160608j -0.0808354+0.052155j -0.0101479+0.0603742j 0.0387386-0.0208542j 0.0312959-0.0376945j 0.0332547-0.00991194j 0.166763-0.0730734j -0.0824349+0.0892779j -0.052999+0.08651j -0.00463638-0.00661101j -0.00349671+0.0198657j 0.00526515+0.0126873j -0.00254514+0.00715842j 0.00652755+0.00929446j 0.00311528-0.000458116j -0.00533624+0.00484728j -0.0105161+0.0398879j -0.0137316+0.0193162j -0.0170235-0.00420205j -0.0189997+0.0375812j 
-0.0550296+0.189205j 0.0343914-0.286819j -0.0255088+0.00164767j 0.0147607+0.0997118j -0.0361311-0.0467883j 0.0123611-0.0192748j -0.0244836+0.00990704j 0.0233254+0.00175661j 0.0264607-0.0274298j -0.105376+0.164906j -0.00282518+0.136674j -0.0605872+0.0495558j 0.0434267-0.0159926j 0.0335335-0.0037537j 0.0151489+0.00683034j -0.000564108-0.022831j 0.0228972+0.0157075j 0.00796002+0.00854167j -0.00707578-0.00328344j -0.0185147+0.00369097j -0.00693361-0.0608236j 0.00296077-0.00234802j 0.0108103-0.0678213j 0.000514446-0.0305065j 
