-0.175276+0.132617j -0.0829669+0.233268j -0.0194529+0.00544696j -0.176855+0.108653j -0.0998467-0.0107571j -0.0331776+0.0418976j -0.0585384-0.060449j 0.0704026-0.0340805j -0.107193+0.0193086j -0.162039+0.0487306j 0.0210043+0.0426758j 0.00191821-0.0202519j 0.00843525-0.0293555j 0.0481613-0.00587724j -0.00806042-0.0263107j 0.0104597-0.0142755j -0.0199454+0.00324394j 0.0508428-0.0192237j -0.0113479+0.00893583j -0.0248017-0.0128432j 0.00510325+0.00395912j -0.0119738+0.0029259j -0.028308-0.0189948j 0.0938429-0.0100696j -0.0022597-0.0149705j 0.000265597-9.91798e-05j 0.00972644-0.00291808j 0.0234741-0.00356812j -0.00643183-0.000377245j 0.0303801+0.00920342j -0.0137016+0.0105552j -0.00185704-0.00695499j 0.0266311-0.00666889j -0.0186743-0.0143555j -0.000770269+0.0109053j -0.0239882+0.0109804j 0.020789-0.0284975j -0.0319143+0.0204948j 0.00765001+0.0326123j 0.0797698-0.00129286j 
0.101009-0.0166193j 0.0834949-0.0196201j -0.0716157+0.0072177j 0.142573-0.017254j -0.0981535+0.068815j 0.13378+0.0859702j -0.0800342-0.0843485j 0.118364+0.0576668j -0.0714615+0.0811975j 0.00725365-0.0355898j -0.00558714+0.0261874j 0.0149672-0.0132736j -0.0110407-0.0116406j 0.0135351+0.00979306j -0.0320883-0.0129638j -0.0127112+0.00220026j -0.00795298-0.0150563j 0.020145-0.0128329j -0.0246727-0.0234284j 0.0232584+0.0294037j -0.0154228+0.0148834j 0.0186289+0.0260257j -0.0280653+0.0109536j 0.0283617+0.0189716j 0.0361919+0.0208885j 0.0181512+0.00658032j 0.00760684-0.00871057j 0.00218714-0.0242932j 0.00934285-0.00546622j 0.00823046+0.0106067j 0.0122416-0.0109537j 0.00395525-0.00902851j 0.0260645-0.0189054j -0.0100031-0.00730631j 0.0188452+0.00893072j -0.0107216+0.0265711j 0.00381704-0.0176652j 0.00559712+0.00932203j 0.00929671+0.000243237j 0.0106401-0.0117124j 
-0.0109568+0.0512036j 0.0173603-0.0303668j 0.0490764+0.148138j -0.307721-0.0746845j 0.188526+0.0350433j -0.061462+0.130108j -0.251882+0.209866j 0.213508+0.319294j 0.113027+0.041333j 0.0387012-0.0112824j 0.0456543+0.00546744j 0.0278793+0.0237072j 0.00146805+0.0445295j -0.00405763+0.0190455j -0.0717338+0.0413032j -0.0371536-0.0629326j -0.0246705-0.0457743j -0.00811595+0.00946265j 0.0150092+0.0762995j 0.0431206+0.0232991j 0.0567028+0.0378933j -0.00990613-0.00799982j 0.0384684-0.0037084j -0.0291638+0.0277341j 0.0243552+0.043702j 0.0173722+0.00193356j 6.39263e-05+0.000536889j 0.00818466-0.00178829j 0.0160299-0.0227886j -0.0131176+0.00814654j -0.0130486-0.0131102j -0.0207915+0.00493291j 0.0155828-0.00141916j -0.0288976-0.020029j -0.00188646-0.0169879j 0.0364993+0.0426875j 0.0107952+0.0216546j 0.0229647+0.0250798j -0.0338631-0.0354704j -0.0521918+0.00890597j 
0.0848021+0.148298j -0.045124-0.0177179j -0.0371421-0.0298123j -0.108636+0.01225j -0.104542-0.133144j -0.307233-0.304736j 0.0505438-0.0779293j 0.12449+0.0601735j -0.234365-0.203216j 0.156589+0.175561j 0.00277568+0.00844949j 0.0391951-0.000965881j -0.0205402+0.050699j -0.0032649+0.0469769j 0.0285189+0.0135443j -0.0204961-0.0488296j -0.00671185+0.018962j 0.00365346-0.0318201j -0.035451-0.014893j -0.0878331-0.0720086j -0.00188035+0.00640565j 0.00615681+0.0335759j 0.0273089+0.0125778j -0.00382711-0.0101093j 0.00146129+0.00931016j -0.0213088-0.00685995j -0.0142335-0.0167112j 0.00933853+0.013022j -0.0092766+0.00112533j 0.00481495+0.0144928j 0.0178826+0.00797215j -0.00193739+0.0084162j -0.0165422+0.0015346j 0.012684-0.00258788j -0.027085-0.0140488j -0.0332787-0.0230647j 0.0275223-0.00417656j 0.0499742+0.0448972j 0.0246011-0.00367519j -0.0256813-0.0188616j 
0.0290706-0.0419524j -0.00703573-0.0379975j 0.102428-0.0437043j -0.0710544-0.0630755j 0.12501+0.0470081j -0.00721423-0.270476j 0.126271+0.11239j 0.0115862-0.278186j 0.102102+0.0495554j 0.0762467+0.130146j 0.0354472-0.0479832j 0.00427188-0.00127068j -0.0178566-0.0064253j -0.0323353-0.00490468j 0.0118202-0.000897087j 0.0258763+0.00937257j 0.0149521+0.0354407j -0.0325883-0.00460143j 0.0887789+0.0109518j 0.0634253-0.0195764j -0.0142186-0.0330597j -0.0244962-0.0128386j 0.0426692+0.0126621j -0.0973618-0.034933j -0.0114094-0.041409j 0.00618012+0.00980628j -0.00367614-0.00368829j -0.0210517+0.00641948j -0.0212754-0.0176378j -0.00310201-0.00352203j 0.0249611+0.0100341j 0.0204599-0.00532706j 0.000769323-0.0148981j 0.00724442-0.00146377j -0.0112723+0.0574761j -0.00132114-0.0418422j -0.00331898-0.0345538j 0.013904-0.0277859j -0.00494204+0.00753825j -0.0433044-0.0213439j 
0.0357959+0.0228712j -0.0334786-0.00325574j -0.0621564-0.0469026j -0.0226099+0.0141567j -0.191434+0.224354j 0.0657084-0.0794542j 0.0278029-0.144837j 0.335914-0.179057j -0.213217+0.246148j -0.0952017+0.143286j -0.0494274-0.0120988j 0.0246387+0.0057782j -0.0503606+0.0065069j -0.00307482-0.017373j -0.0260753-0.0206581j 0.0053125-0.0492236j -0.0495632+0.00774484j -0.0118959-0.0160561j -0.025435-0.0502508j -0.0150425+0.00973548j -0.021888+0.0271995j 0.00474893-0.00845835j 0.0311394+0.00360328j 0.0527033-0.0622152j 0.050658-0.0273567j 0.0196385-0.010227j -0.00319376+0.0196053j 0.0372128-0.0358777j 0.0267605+0.0237413j 0.0124249-0.00801649j -0.0133926+0.00522599j -0.0106109-0.00517726j 0.0153156-0.00380304j -0.0112712+0.011437j -0.0127501+0.0391003j -0.0182525-0.0205201j 0.0328017-0.046087j 0.00693477+0.0124458j 0.0299971+0.00547778j 0.0166298-0.0584364j 
-0.113897+0.07684j 0.0297145-0.00889673j -0.0696515+0.0970352j -0.00656555+0.0518634j -0.0623271-0.132816j 0.104224-0.277468j -0.247946-0.00787894j 0.0105892-0.187886j -0.0308618-0.130497j -0.176578+0.109046j 0.0407905+0.00366145j -0.0464636-0.00475715j 0.0336322+0.0216986j 0.0702649+0.0141939j -0.0340286-0.00946833j -0.0249971+0.00713256j 0.0401575-0.0257589j 0.0206084-0.0114111j -0.0144698+0.0562475j -0.00575659-0.0799346j 0.0144059+0.024396j 0.0046001-0.0255927j -0.0569511-0.00212252j 0.054903-0.0266075j -0.00752781-0.0547952j 0.00796544-0.000928874j 0.000495418+0.014331j 0.0178043+0.0238102j 0.0200147-0.0296585j -0.00634075+0.0139027j 0.00648133+0.0453422j -0.00304994-0.00047482j -0.0153624+0.000675291j -0.00712629-0.0284994j -0.00509954+0.0336405j -0.0151576+0.0500123j 0.0021787-0.0189979j -0.027113+0.0246129j -0.0109581-0.0275131j 0.0436614-0.00201676j 
0.0813779-0.0163793j -0.0429387+0.0608814j -0.0635003+0.0809141j -0.0109431-0.0189667j 0.12206-0.0887416j 0.0750971-0.159005j -0.196881-0.0988058j 0.139202-0.248316j 0.0928181-0.0785776j 0.0598231+0.0518597j -0.00510177+0.053076j 0.00956407+0.00214303j 0.0192162-0.0123602j -0.00252479-0.00583504j -0.00640349-0.0424701j -0.0282286+0.0605407j -0.0192449-0.010086j -0.0286826+0.0361819j -0.00171842+0.0313449j 0.0756624-0.0638719j 0.00217187+0.00808487j 0.0227569-0.042j 0.0265768-0.0111545j -0.0435212+0.0161643j 0.053967-0.0540871j 0.0217879-0.00481707j -0.00479534+0.00827794j -0.00524091+0.0210163j -0.0161353+0.00919167j -0.0143492+0.0073027j -0.0139393+0.0146592j 0.00531315-0.00681707j -0.0162402-0.0122435j -0.0102353-0.00462604j -8.64108e-05+0.0248448j -0.00285104+0.0370132j -7.75998e-05-0.00782836j 0.0249068-0.02005j -0.0024893-0.03415j -0.0414536+0.0220001j 
0.115611-0.00882854j 0.00309451+0.0191572j -0.176382+0.00684395j 0.0663158+0.0315177j -0.0946655-0.191006j -0.11631-0.097723j -0.0965471-0.332433j 0.0540492-0.0433395j -0.0894682-0.251257j 0.0652982-0.0679658j -0.0800173+0.0621992j -0.00424845+0.0112303j 0.00765598-0.0247707j 0.00198412-0.0176647j 0.0266043-0.0583655j -0.0242927+0.0375396j -0.0140583-0.00674213j -0.0304207+0.0234464j -0.103826-0.0119961j -0.0528931-0.0289685j -0.0181171+0.0480652j 0.020472+0.0107041j -0.0105937-0.00430377j -0.00237521+0.040534j -0.00926805+0.0183289j -0.0135006+0.00784145j 0.0176175-0.0194905j 0.000371831-0.000287518j -0.0115765+0.00433042j 0.00976935+0.00404385j 0.0244596+0.0223225j 0.00746123-0.00469696j 0.0109516+0.000367543j 0.021199-0.00571307j 0.00208009+0.000324919j -0.0527545+0.0344606j 0.00331282+0.0102477j 0.028755+0.00143886j 0.043508-0.0172065j 0.00416153+0.0290462j 
0.166344-0.0609667j -0.0785393-0.0288896j -0.0652098+0.0876023j 0.00510391-0.0682229j 0.119889-0.0611063j 0.034624+0.0930592j -0.213189-0.0708467j 0.185697+0.131877j 0.113403-0.0322098j 0.191699-0.120956j 0.011198+0.0553418j 0.0228523-0.00287946j 0.00998142-0.0280821j -0.00658056-0.00768951j -0.0283883-0.0503099j -0.0149689+0.0282029j -0.036575-0.0180626j -0.0420998+0.003666j -0.050397+0.0204132j 0.0285179+0.00225935j -0.013342+0.0285563j 0.0044569-0.0277256j 0.0367609-0.00938174j -0.0516825+0.0364559j 0.026605-0.00928998j -0.00115098-0.000666288j 0.00856992+0.0125923j 0.00217039-0.00462679j 0.0194042+0.0175684j -0.00276709+0.00559484j -0.0227373+0.0248057j 0.00225775-8.12535e-05j 0.0208655+0.0164879j 0.000552936+0.00394931j -0.0197234-0.0107789j -0.00464534+0.0287393j 0.00658877+0.0161039j 0.0439587-0.0124749j 0.00184535-0.0211903j -0.0569964+0.0315911j 
0.11602-0.0187666j -0.00474207+0.00921733j -0.0658917-0.0478643j 0.0271567-0.00993506j -0.0173906+0.0365813j -0.0301216+0.0438846j 0.177534-0.128704j 0.0300608-0.0488044j -0.0784942+0.0811592j 0.0643272-0.0296163j -0.0361688-0.0114319j 0.012692-0.0218148j 0.0132087+0.00197214j 0.00312182+0.00668977j 0.053279+0.0026711j 0.0129961+0.0301364j -0.0438085-0.000852344j -0.000336241+0.00896516j -0.0306186-0.022972j -0.0337139+0.0183142j -2.84536e-05-0.00328923j -0.00673097+0.00474671j 0.0359983-0.0109379j -0.0299659+0.0205211j 0.0185915-0.00175081j -0.00543179+0.0104833j -0.00263057-0.00254311j -0.00373004-0.0112992j -0.00244814+0.00472995j 0.00339129-0.00987236j 0.0045539+0.00145258j 0.0024888-0.00439309j 0.0128286+0.000226807j 0.00900638+0.0228116j -0.00473934+0.00443241j -0.0292489-0.00119234j 0.0056845-5.2548e-05j 0.0265581-0.00727304j 0.0202441-0.00682363j -0.0240944-0.00149324j 
0.213843+0.0715932j -0.0630897+0.00823982j 0.0543854+0.0546646j 0.0191517+0.0671395j -0.0298354-0.0411657j -0.123175-0.0937485j -0.0160842+0.0383834j 0.205618+0.101249j -0.0557329-0.0194531j 0.218552+0.114838j 0.0114548-0.0204288j 0.0250068+0.0128428j -0.0107105-0.0116235j -0.0127662-0.0152949j -0.00720791-0.0166072j -0.00299085-0.0543784j -0.0414292+0.0333344j -0.0479942-0.0399336j 0.0325759+0.0175982j -0.0241611-0.00218065j 0.0132781-0.0301253j -0.0178844+0.0247619j 0.0349958-0.0145536j -0.0304999-0.00814033j 0.0189087+0.00479993j 0.00342238-0.00940223j 0.000573386+0.0045011j 0.00832239+0.00425728j -0.00502776+0.00393828j -0.0136931+0.00666374j 0.0152224-0.00152184j 0.0040758+0.00466844j 0.00381836-0.00570974j 0.00185289+0.00276818j -0.0216138-0.00576064j 0.0119046+0.00575497j 0.0102258-0.00364664j 0.0626608+0.0100072j -0.016166-0.00217678j -0.0674329-0.0101755j 
