-0.00429453-0.0163855j 0.0129642-0.0129027j 0.0603407-0.0059433j 0.0208505+0.000280586j 0.0325398+0.00191922j 0.0428719+0.0383799j 0.00677242+0.0224299j 0.0336366+0.025653j 0.0199358+0.030618j -0.0051045-0.0181035j 0.000922936+0.0354562j 0.00232816+0.0360474j -0.0199684+0.0177361j -0.011177+0.0234883j -0.0164307+0.00827057j 0.0108242+0.0186565j 0.00117461-0.00118189j 0.000883899+0.0172604j 0.0080433+0.0162795j 0.0143159+0.00459226j 0.000131474-0.00811887j -0.006171+0.023176j -0.00715918-0.000562864j -0.000161161+0.00976801j -0.00465933-0.0166901j 0.0123824+0.00581905j -0.000443577-0.0145957j -0.00859389+0.0204593j -0.0200996-0.000410545j -0.00576693+0.0211363j 0.0114505+0.00298955j -0.0168079-0.00148571j 0.00169008-0.00360627j 0.00939953-0.00373747j 
0.043536-0.0364719j 0.0119404+0.0341523j 0.0274411-0.00218399j 0.0141227+0.0562761j 0.0352269-0.0489815j -0.0475445-0.0365843j -0.0739287+7.86306e-05j 0.00458519+0.00841808j 0.0171869+0.00626666j 0.0398784+0.00664279j -0.0341153+0.0111938j 0.0274853-0.0233146j -0.0114959-0.0102377j 0.0260756+0.0173618j 0.0149631-0.00951824j 0.0286226-0.00280867j 0.00194943+0.00153804j -0.00214948-7.40756e-05j -0.0112746-0.0100867j -0.00395495+0.0162433j 0.0104786-0.00209278j 0.00141967-0.0176034j -0.0159037+0.0246562j 0.0363199-0.00157182j -0.00905896-0.00769146j -0.00790925-0.0334431j -0.0161455+0.0179272j 0.0131131+0.0124983j 0.00976984+0.00814305j 0.00881808+0.00798031j 0.0110027-0.0164793j 0.0137542+0.0130585j 0.00569141+0.000679454j -0.0075057+0.010004j 
0.0876872+0.0634916j 0.019491+0.0245505j -0.0895913-0.0112674j -0.0544982+0.0108426j -0.0259352+0.0405115j 0.00656163+0.0312074j -0.121038-0.0561767j -0.0732191-0.0239064j 0.0387796+0.0042599j 0.0283005-0.00584106j -0.0160631+0.00642545j 0.0205856+0.0173537j -0.0147476+0.00483576j 0.00489941+0.00119778j -0.0190099+0.0014423j 0.0335273+0.0147896j 0.0070469+0.0049717j 0.00132174+0.00697884j 0.0100567+0.00100533j -0.000558961-0.0139375j -0.01338-0.013334j -0.0061299+0.0121494j 0.0127102-0.0164094j -0.00737082-0.00347197j 0.0232029+0.0107411j -0.0132616+0.0104175j -0.00196148+0.00375566j 0.00850128-0.000263471j 0.023337-0.0160724j -0.0122434+0.00385485j 0.00679722+0.0149975j 0.0125836-0.00131672j 0.0133356+0.00184277j -7.23885e-05-0.0199836j 
-0.0349602-0.0481831j 0.0435439-0.0232665j -0.0195112-0.0400693j 0.0591466+0.00117937j -0.108139-0.0452412j -0.0291881-0.0466264j 0.00772344+0.0221071j -0.0451471-0.00793038j -0.0071101-0.0189683j 0.00106709-0.00907981j 0.0263448-0.00402669j -0.000202403-0.00460335j -0.0131459-0.0216006j -0.0148981-0.00536248j 0.00394119+0.0163677j -0.0111597-0.00899931j -0.00334488+0.0200502j -0.019364-0.00297424j 0.00404733-0.0298606j -0.00581922+0.0128787j 0.0148823+0.0281288j 0.00418878+0.0154353j -0.038318-0.00564753j 0.00113936+0.0207712j 0.0067219-0.0107335j 0.0103994-0.0161753j -0.0197679-0.00253019j -0.00514313-0.00644888j -0.00145181+0.00964759j -0.0100477+0.005494j -0.000599326+0.014189j -0.000371965-0.00869606j -0.00358576-0.00470082j 0.000995129-0.0121011j 
-0.0519452+0.0538208j 0.00065407-0.00950521j -0.00840613-0.0345209j -0.0549363-0.0172881j -0.0212472+0.0238311j -0.0300277+0.00483729j 0.0622719-0.0492838j -0.0415578-0.00625916j 0.0478184+0.0154553j 0.0245235-0.00682881j -0.0267891-0.0104863j 0.00743065+0.0118464j 0.00309514+0.00730388j 0.023043-0.0184403j 0.00270373-0.00115025j 0.00360795+0.0164828j 0.0242614-0.0180285j 0.00659757-0.00420794j 0.000135485+0.0027271j -0.0411163-0.00552856j -0.00250995+0.0119708j 0.00623407-0.000690732j 0.00598668-0.0234412j -0.00710423+0.0109429j -0.00555071-0.00514119j 0.00475348+0.00834652j 0.0149166-0.00862933j 0.00159909+0.00738121j -0.00297955+0.00582564j -0.00245696-0.0125856j -0.00497958-0.00239117j -0.0173417+0.00518675j -0.00114274+0.0112611j 0.00489692-0.0041255j 
0.0111458-0.0298647j 0.0360527-0.0454437j 0.0130463+0.0637301j 0.0325608-0.0600149j -0.0209967+0.015285j 0.010199-0.149693j 0.038263+0.00057975j 0.0529376+0.0752196j -0.0544282-0.0132761j 0.059274-0.00535044j 0.00498155-0.00825571j -0.00676325+0.0346155j -0.0219793-0.0344628j 0.0408656-0.0343262j 0.0557563+0.00272392j 0.0138756+0.0278776j -0.043374-0.0201649j -0.0155438+0.0217465j 0.0287495-0.0045068j 0.0288302-0.00780891j 0.00332189-0.00179432j -0.00286305+0.00750269j 0.0129624-0.0153737j -0.0133308-0.0161549j -0.0097574+0.0318577j 0.00297665-0.00257852j -0.0041657-0.0134987j 0.00378427+0.0103809j -0.00868204+0.00150441j 0.00465675+0.00440956j 0.0086764-0.00232109j 0.00470194+0.00177853j 0.0284727+0.0284124j 0.000822494-0.0293692j 
0.00491598+0.00419523j -0.00652916+0.0341727j -0.00716782-0.0452401j -0.00799883-0.0132788j -0.0286394-0.0840823j -0.0311264+0.0678912j -0.0969676+0.00190123j -0.0423605-0.0756141j -0.0488293-0.000608514j 0.0043214-0.0145879j 0.0188393+0.0251919j 0.0546355+0.018843j 0.0201555-0.0320554j -0.00680686-0.0253074j -0.0248879-0.00977623j -0.0129484+0.00539198j 0.0467252+0.0100357j -0.0125731+0.00885284j -0.00292894-0.00681701j 0.0489721-0.00449255j 0.00493919-0.00472985j -0.00569371+0.00589251j -0.0027766-0.00694626j -0.0120251-0.0106958j 0.00202215+0.00933972j 0.00194937-0.0144267j 0.00295877-0.00613694j 0.0154173-0.00839348j 0.0226744-0.00218717j -0.011418-0.0127504j 0.0203294-0.0014139j -0.0321698-0.0404594j 4.25587e-05+0.0179505j -0.0240043-0.0502849j 
0.0378105-0.0544133j 0.0385285-0.0466253j -0.0412954-0.0288768j -0.0187976-0.0550552j -0.0609914+0.0725491j -0.0126445+0.214956j -0.011355+0.268839j -0.00933676+0.00510925j -0.014456-0.00119331j -0.00150626+0.000906109j 0.0198609-0.0228322j 0.035195-0.00517531j -0.0629239-0.00137031j -0.046395+0.0157718j -0.00179674+0.0276304j 0.024509-0.0171436j -0.0496084-0.00136048j 0.0125943-0.0318897j -0.00577069+0.0088171j -0.00863842+0.0203499j 0.0044427+0.0188219j -0.00720594+0.00427861j -0.00822452+0.0227503j 0.000968956-0.000763924j -0.00770537-0.0120607j 0.00654768+0.0240623j 0.0181923+0.0111053j 0.0128804+0.00816399j 0.0135495+0.00774819j -0.00870003+0.0143867j 0.0207269-0.00466886j 0.0291552-0.0145128j 0.0151472+0.0127356j -0.0148372+0.0349518j 
0.0578636-0.0972006j -0.0514481-0.00322704j 0.00747926-0.0766031j 0.0746465-0.137889j 0.148364-0.124232j 0.237309+0.0469285j 0.158608+0.19697j -0.0249455-0.0466511j -0.00483257-0.0287482j -0.0244694-0.0224086j -0.00340519+0.0145605j 0.00836007+0.00423451j -0.0094963-0.048801j 0.0206676-0.0092869j 0.0414902+0.0119212j 0.0118861-0.0158392j 0.0141125-0.00351331j -2.85697e-05-0.00794072j 0.00920049-0.00566116j 0.0172679+0.0125223j 0.0127794+0.0190951j -0.0179302-0.0127077j 0.00627593-0.0120301j -0.0153488-0.0128122j -0.0206632+0.0333869j 0.030869-0.0217178j -0.0221333-0.0257822j 0.00657677-0.0180135j -0.0164577-0.00574966j 0.0298602+0.0235477j 0.00096975-0.0381816j -0.00347052-0.002214j -0.0230009-0.0134411j 0.0105157+0.0072321j 
0.036023-0.0516579j 0.0348339+0.0357337j -0.0635977-0.0544337j 0.0390272-0.199881j -0.0744484-0.204801j -0.197022-0.13975j -0.18043-0.0633916j 0.0122581-0.00072754j -0.0389436-0.0425209j -0.00643081+0.020822j 0.00790594+0.00178948j -0.00487202-0.0289961j -0.00795999+0.0141343j 0.00651719+0.033865j 0.000546304-0.00162781j 0.00683965-0.0285388j -0.0262601-0.0164421j 0.0108647-0.0184033j -0.0104433-0.00502185j 0.0106889+0.000356938j 0.0115982+0.0191786j -0.0118093-0.00653959j -0.00744752+0.0143937j -0.0393375+0.0333015j 0.00283786-0.00244183j -0.00212776+0.0454682j -0.0371902+0.00386993j 0.00891086-0.0349901j 0.00481974+0.0283987j -0.00964028-0.0188785j -8.62186e-05+0.0253473j 0.0152187+0.013301j 0.0204716+0.0167743j -0.0128284+0.0089847j 
-0.06989+0.0540488j 0.0429477+0.0741531j -0.127097-0.0189684j -0.0708855-0.0574335j -0.177966-0.0958237j 0.112833+0.0702574j 0.0613479-0.0338114j -0.119951-0.00156032j -0.0533142+0.0060365j 0.00490316+0.0290817j 0.0187385-0.0133427j 0.0250045+0.00423648j -0.0141367+0.00849869j 0.00266223+0.00881912j -0.00726565-0.0309205j 0.00147353-0.0047114j 0.00587801-0.0349432j -0.00933641+0.0039275j -0.0212466+0.000364533j -0.00220055-0.0131167j 0.0102785+0.00294504j -0.00528575-0.0051658j 0.000358575+3.89954e-05j -0.00974207-0.000537053j -0.0113647+0.00293178j -0.0101722+0.00194203j 0.0269184+0.00691813j 0.00866488+0.000910546j 0.00315388-0.000356225j -0.0196239-0.010193j -0.0231686+0.0026194j -0.0187667+0.0241046j 0.026663+0.0350607j 0.0511182+0.0304876j 
-0.0912029-0.0499849j -0.0140299+0.0357577j -0.0620234-0.104846j 0.123533+0.126225j -0.00683133-0.0462379j -0.00814329-0.132284j 0.170153-0.0963239j -0.0175987-0.0247903j 0.0368933-0.00356813j 0.0084124+0.0222976j 0.00387416-0.00351596j -0.045033+0.013781j -0.0255238+0.0178945j 0.0279683-0.00949799j 0.0381164-0.0361169j -0.0186132-0.0174408j 0.0175624-0.0130076j -0.0351275-0.0115371j 0.00966643-0.00776417j -0.0186502-0.00522141j -0.0110002+0.0224788j -0.0225626+0.00372683j 0.0179099+0.000354101j 0.0239885-0.00570825j -0.0299916-0.0134818j 0.0344615+0.00151299j 0.0365452-0.00189921j 0.0447173-0.0601398j 0.00840712+0.0199406j -0.00637823-0.00240405j 0.00313535+0.039562j -0.0268646+0.0224942j 0.0170081-0.00106952j 0.00635865-0.0103969j 
0.00563709+0.0887091j -0.0344133-0.0510271j 0.0997671+0.149053j 0.0772556-0.146126j 0.214752+0.129135j 0.226339+0.133798j 0.13108-0.0279705j 0.0350699+0.0412728j 0.00044194-0.0170478j 0.0134804-0.00480786j -0.0265626-0.00668297j 0.0456018+0.0242008j 0.0365282+0.02606j 0.0134159+0.00283801j -0.00339165+0.0107163j -0.0116139+0.00659205j 0.0130381+0.00344803j -0.006107+0.0179751j 0.00775485-0.00565304j 0.0330301+0.0112879j 0.0304652+0.00822188j 0.0246618+0.0169295j 0.00261929+0.0125509j 0.000788835+0.0368464j -0.00262484-0.022629j -0.00809919+0.0398739j -0.0338952-0.00364119j 0.0180556-0.016088j -0.0111018-0.00591341j 0.00997356+0.00585987j -0.033012+0.0214564j -0.0307444-0.00954941j 0.00498457-0.0090059j 0.0105516-0.0170372j 
0.0363775-0.0369392j 0.0448376-0.0485484j -0.0849096+0.10233j 0.292253-0.117629j 0.0499272-0.00924107j 0.0754086-0.116659j 0.00635951+0.0342476j -0.0701387+0.0635129j -0.0206747-0.0284429j -0.027124-0.027672j 0.0178874-0.00689832j 0.0190661+0.0282617j -0.0122837-0.0146324j -0.00234037-0.0185651j 0.0183885+0.00913313j 0.0186139+0.00144252j 0.0239802+0.0320751j 0.00861467+0.00652067j 0.00951148+0.0366129j 0.0528216-0.0109214j -0.0200018+0.00218583j 0.0184704+0.0234357j -0.0342985+0.00189645j 0.0144944+0.00484523j 0.0166464+0.0125296j 0.0107022-0.0060762j -0.00312381+0.0361024j -0.0136064+0.0246688j -0.00365821-0.0204226j -0.020947-0.0273988j -0.0161552+0.00592314j 0.0122858+0.00391922j -0.0068493-0.0142531j -0.00312833-0.021957j 
-0.0339619-0.0207306j -0.0315175-0.0498823j 0.0456647+0.0982108j -0.306887-0.144452j -0.103471-0.00705121j -0.0200754-0.0105277j 0.0308711+0.0156162j 0.03926-0.0180811j -0.0434251-0.00169728j -0.00870783-0.058323j -0.00549401+0.021324j -0.010746-0.0145591j 0.00710269+0.0005816j -0.00271198-0.0191233j 0.00747057+0.0220147j -0.0212482+0.00787426j 0.015043+0.0552618j -0.0061131+0.0345648j 0.0248872+0.0142965j -0.0372983+0.0392668j 0.00505937-0.00415716j 0.0043184+0.0370172j -0.0105221-0.0180377j -0.00836399+0.0495222j -0.0206061+0.0380843j -0.0200872+0.00212106j 0.0531187+0.0306066j 0.0125472+0.00581609j 0.00056783+0.00422038j 0.00719056-0.0378952j 0.0059652-0.00775502j -0.0316727-0.0174865j -0.0115737-0.0267708j 0.0109447-0.00962946j 
0.0145599-0.0475676j 0.0473539+0.140921j 0.196945+0.113542j 0.0625933+0.0168397j -0.00843998-0.214588j 0.117751-0.179599j 0.0317493-0.14954j 0.0294005+9.88149e-05j 0.0200193-0.0128066j 0.042141+0.026131j 0.0606965+0.0429796j 0.0106069-0.0310397j -0.0418214+0.0147191j -0.032681+0.0188489j -0.0269116-0.0244561j 0.0187609-0.00872894j -0.0133718-0.0231795j 0.0278397+0.0110563j 0.0132768-0.00973714j -0.011246+0.00898226j 0.017552+0.00165442j -0.00314226+0.00142969j -0.00451224-0.00647386j 0.0128705-0.00708925j 0.00330368+0.00615776j 0.0148139-0.0109187j 0.0102508+0.023871j -0.00293263+0.0121958j 0.0124278+0.0136488j -0.00563478-0.0280697j 0.015682+0.0282998j 0.0113461-0.00597707j 0.0017028+0.0254769j -0.0117253-0.00212456j 
0.0221123+0.0361621j -0.0926062-0.0926385j -0.218969-0.229197j -0.0727585-0.0800201j 0.0957873-0.0652117j -0.058795-0.257187j -0.00772695-0.184963j -0.00590273-0.0011475j 0.00600495-0.0241808j -0.0402715+0.00595597j -0.0706171-0.0153024j 0.0433104-0.0350301j -0.00102966+0.0126204j -0.0441204+0.0140948j -0.00376696+0.0135415j -0.000817051-7.26745e-05j -0.0109885+0.0165853j -0.0134841+0.00150103j -0.00924293-4.86542e-05j -0.0133057-0.0194892j -0.0209207+0.0106544j 0.0188013-0.0119833j 0.00211914+0.00423072j 0.0133548-0.0173076j 0.00047066+0.0132403j 0.00393476-0.0132792j 0.0158074+0.0148667j -0.00154923+0.0170244j 0.0209025+0.0012086j -0.0143529-0.0162611j 0.0249236+0.0230083j 0.00143238-0.0207634j 0.0122604+0.0150684j -0.0110031-0.000260376j 
-0.0434896-0.00340591j -0.00642763+0.0174349j -0.0842437-0.0204897j -0.000630969+0.0903693j -0.0668069+0.0240994j -0.0200565-0.00959035j 0.0504386-0.0025179j -0.0317551+0.032037j -0.00717526-0.0582886j -0.00361307+0.0217706j 0.00610295+0.00284782j -0.000506988+0.0387151j -0.0105696-0.00996999j -0.00395663+0.0102768j -0.0066908-0.00645282j -0.0119669+0.00429931j 0.00815017-0.0507206j -0.0247866-0.0291279j 0.000555076-0.0279419j -0.00299148+0.0427701j -0.0058898-0.0960778j -0.00153737-0.0227126j 0.0175301+0.0181592j -0.0092131+0.084499j 0.00547264+0.0215281j -0.0111264+0.0136314j 0.0106198+0.045261j 0.00586976-0.00268658j -0.0197057+0.00151249j -0.0103199+0.015343j -0.00928894+0.000197829j -0.000855107-0.0025678j 0.00426129+0.00363198j 4.63555e-05-0.00697485j 
-0.0965924+0.00838924j -0.063681+0.0292672j -0.00961087-0.0049241j 0.277806-0.214204j 0.0967674-0.0702248j -0.196736+0.08484j 0.0721252-0.0298191j 0.0348117-0.0172862j 0.0332498-0.0156882j 0.0151165+0.00419296j -0.0104807+0.00956907j 0.0127437-0.0142438j -0.00884025+0.013651j 0.00298211+0.00317433j 0.0106198-0.0229926j -0.000527081+0.0123362j -0.0132795-0.00567619j 0.0217441-0.00678716j -0.0172367+0.0349116j -0.00512491-0.0153728j -0.00856935+0.0278838j 0.0410652-0.0107364j 0.00180352-0.00957691j -0.0148618+0.0161137j 0.00683113+0.0226296j -0.0220138-0.00792418j 0.0347135+0.0151145j -0.0136037-0.00759227j -0.0284267+0.0093275j 0.012012-0.0129739j 0.0198122-0.020344j -0.0204977+0.0104027j -0.0265179+0.0189683j 0.00925109+0.0196751j 
-0.181142-0.0388418j -0.0479224-0.0229075j -0.316946+0.0981457j -0.0595099+0.062566j -0.227171+0.0719913j -0.0915731-0.0589967j 0.21727-0.0231998j -0.0903464+0.011072j -0.0204115+0.00269735j 0.0100625-0.0115691j 0.00236045+0.0211388j -0.0131594+0.000939181j -0.0366453+0.00730788j -0.00732435-0.00398482j -0.00457293+0.00382455j -0.0634279+0.00343748j -0.00556606+0.0192961j -0.00673476+0.0163732j -0.0494377+0.0111495j 0.0076288-0.00457711j 0.0415301+0.0284583j -0.0207348+0.0115117j 0.0247371-0.000248084j 0.026265-0.033104j 0.0120257-0.0103521j 0.00395566-0.0101984j -0.0114082-0.0161217j -0.0441839-0.0111186j -0.0078168-0.00244548j -0.017065+0.00482398j -0.0353221+0.0104624j -0.0149101-0.0255075j 0.00937435-0.021172j 0.0140447-0.0275876j 
