0.00580052-0.0073513j 0.0072736+0.00345287j 0.00457145+0.00416172j 0.00633293-0.00497562j 0.00285327-0.000444561j 0.00392386+0.000494536j 0.00537206-0.00670894j -0.00545024-0.00484474j -0.00487297-0.00298374j 0.000299239-0.00213939j -0.00269048-0.0013059j -0.000258843-0.00933109j -0.00486666-0.00267965j -0.00267499-0.000883176j 0.000871757-0.0012031j -0.000710997+0.00105534j 0.000612611+0.00402483j 0.000409133+0.00590086j 0.00370476+0.00251018j 0.00355951+0.00310857j 0.00377604-0.00154702j -0.00283021-0.00148228j 0.00276265+0.00208824j 0.000248585-0.00174424j -0.00099784+0.000371356j -0.000428755-0.000255346j 0.000136851-0.00103705j -0.000373166-0.000921815j 0.00481794-0.000332185j -0.00121647-0.00348455j 0.00125998-0.00404957j 0.00304903-0.00475905j 0.00498729-0.00563971j -0.00121743+0.00419355j 0.00159735+0.0042884j 0.00391336+0.00434261j 0.00125473+0.00148846j 0.00570973-0.00347672j -0.00533406+0.00491869j 0.0014448-0.000565514j -0.00905162-0.0108168j 0.001827+0.00569046j 0.00610044-0.0024592j -0.00416983-0.01772j -0.000998756+0.00271301j -0.0234982+0.00635009j 0.00773664-0.00249037j -0.0264064-0.00203797j -0.0428263+0.00487437j -0.0122088+0.00153989j -0.0623033+0.0128522j -0.0131345-0.0498237j 
0.00133638+0.00142726j -0.00106083+0.000535049j -0.00285702-0.00436014j -0.00312111+0.00134151j -0.0014844+0.000226645j -0.0024019+0.00146074j -0.00192754+0.00491281j 0.00788132+0.00220279j -0.00358723+0.00452791j -0.00278072+0.00396825j -0.00180136+0.00121472j -0.00606249+0.00217914j 0.00293222+0.00476418j 0.00237646-0.00168874j 0.00162393+0.00408416j 0.00168305-0.0109897j -0.00318425-0.000193653j -0.00468198+0.00339848j -0.000498056-0.0138925j -0.00058848-0.00128994j 0.00427745-0.00563849j -0.0018456+0.00610024j 0.0077474-0.000497667j 0.00299055+0.00360036j 0.00159824-0.00596934j -0.0100063+0.00759623j -0.00553416-0.000783962j 0.00216026-0.0018925j -0.0127634-0.005546j 0.00940379-0.0103777j 0.00371607-0.0136767j 0.00357049-0.000580332j 0.0077799-0.0107254j 0.0143539+0.000129605j 0.00855072+0.00142129j 0.00382267-0.0016065j -0.0168892+0.00533867j -0.00662075-0.0123332j -0.0353188-0.00558454j 0.000504544-0.00234037j 0.00144389+0.00240232j -0.0140739-0.0163369j -0.0300335-0.0168806j -0.0407369+0.02268j 0.020545-0.0237659j 0.00844692+0.00900905j 0.0103005+0.00560109j -0.0089056-0.0110467j -0.0131814+0.000202491j -0.000461522-0.0221224j 0.00293235+0.00384392j -0.00189022+0.00712044j 
-0.000362837+0.00140116j -8.85394e-05+0.0010887j -0.00254538+0.00371561j 0.00132188+0.00878176j -0.000497702-0.00455056j 0.00102577+0.00470258j 0.00517848-0.00301907j 0.00602933-0.00386001j -0.000302391+0.00978833j 0.00830837-0.00100928j 0.0016163+0.00632467j 0.000282936+0.00115118j 0.00539579-0.00902372j -0.000130131+0.00295816j -0.00734757-0.00039859j -0.00188329+0.00437115j 0.00238514-0.00404163j 0.00347054+0.00449535j -0.00448712+0.00721406j 0.00441944+0.000674296j -0.00183965+0.00047476j -0.000174312-0.010614j -0.00416159-0.00418374j 0.00189582-0.00599624j -0.0171936-0.00708075j 0.000615732-0.00490858j 0.00655598+0.00644655j -0.00383824+0.0161581j -0.0118994-0.00242021j 0.00403227-0.00718447j 0.00317788-0.00358923j -0.0108547+9.23737e-05j -0.00136471+0.000963052j 0.00667029-0.016536j 0.0121205+0.00332687j 0.00773308+0.00564861j -0.00317796+0.00895499j 0.0212784+0.0052587j -0.0161574+0.0174651j 0.00296304+0.00121854j 0.0309898-0.0132664j 0.0157512+0.00954944j -0.0294458+0.0195436j 0.00691762+0.0205561j -0.0105729+0.005824j -0.00602566+0.00872146j 0.00108078-0.0430997j 0.00514416-0.0128572j 0.00866132-0.000567366j -0.00289158+0.0202684j 0.00821032+0.00147761j 0.00120129+0.000301538j 
-0.00138188-0.00585102j 0.00170844+0.000733211j -0.000765274+0.0028407j 0.000604366+0.00693445j -0.00300852+0.00200741j 4.97142e-05-0.00552064j -0.00237512+0.00626511j 0.00217626+0.00191051j -0.00100737-0.0032299j -0.00269559+0.0111849j -0.00771805+0.0091874j -0.000731753+0.000533841j 0.00136594-0.00160011j -0.0004818+0.005359j -0.00190513-0.00545585j -0.000256544-0.00250473j 0.00350901+0.000308852j -0.00415605-0.00502139j -0.00382509+0.010598j -0.00217552+0.0108798j 0.00739097-0.00867465j 0.00113019-0.00271756j 0.00383362+0.00295765j 0.00336974-0.00344719j 0.00628449-0.00131596j -0.0104426+0.00652297j 0.00813745-0.0110516j -0.00279145+0.000337805j -0.0014317+0.000990384j -0.00830455+0.0028059j -0.0197711+0.00445056j -0.00185337-0.00725643j 0.00947909+0.0073346j -0.00644372+0.00233084j 0.0141171+0.0186288j -0.00437357+0.000443524j -0.0195869-0.00152595j 0.0179289+0.0142132j 0.0128243+0.0060674j 0.0362649-0.00230401j -0.0356267-0.00473525j -0.00846212-0.00178826j -0.0296627-0.0148235j -0.00272626+0.00981558j -0.0106546-0.0218929j -0.00406271+0.0219562j -0.00937358+0.00628906j 0.0111365-0.005224j 0.0015694+0.00267602j -0.0142187+0.0131977j -0.00303738-0.00106977j -0.000131711-0.00603333j 
-0.00202938+0.00254779j -0.00192069-0.00370124j -0.000255181-0.00465544j -0.00502963+0.00320503j 0.00276068-0.00340858j 0.00130367+0.00620305j -0.000278404-7.13628e-05j 0.00195803+0.00357509j 0.00154581+0.00481312j 0.00159444+0.00857831j -0.00547961+0.00354907j -0.000368926-0.00264167j 0.00944546-0.001375j -0.0032588+0.000810583j -0.0108372+0.000442443j 0.000911829-0.00754457j 0.00420109-0.00289249j -0.00334303+0.00647637j -0.00239412-0.00481322j 0.00467032+0.00892433j -0.00341196-0.0050485j 0.00416105-0.00606198j 0.0193482-0.00109068j 0.00274749+0.00241313j -0.00284894-0.00123136j -0.0020418+0.00375439j 0.00312605+0.00730179j -0.0214119+0.00183414j -0.00650129+0.00546311j -0.00956166+0.00280933j 0.00853388-0.00966428j 0.0154323-0.0105591j 0.00274022+0.00154361j -0.0210482+0.00926202j -0.0115534-0.00839508j -0.0193117-0.00250119j 0.0159319+0.00128015j -0.0179235+0.0163638j 0.0222933-0.000290457j -0.0179467-0.000895533j -0.00397297+0.00282196j 0.0465962-0.0235149j 0.020334-0.0119528j -0.014561+0.0156367j -0.00296818+0.0154123j -0.000791213+0.0314304j 0.00501328-0.0170036j 0.00354691+0.0277642j -0.000289131+0.00706876j -0.00510147+0.000813944j 0.000272547+0.00628627j -0.0090398-0.00114659j 
-0.000278042-0.00125094j 0.000593451-0.00230667j 0.00215735-0.00399921j -0.000248775-0.000894845j 0.000900219-0.000811804j -0.0019974-0.00494409j 0.0031528+0.00153494j -0.00258126-0.00265364j -0.00263987-0.00880699j -0.00504242+0.00407806j 0.00160553+0.00405497j -0.00152142-0.00218126j -0.00960997+0.00667399j 0.00254137-0.00297048j 0.000473074+0.00418752j -0.000156808+0.00110518j 0.000616919-0.00269517j -0.00575646-0.00179346j 0.00740827-0.00427109j -0.00435183+0.00483052j 0.0112703-0.00734474j -0.00401896+0.00682316j 0.0122839+0.000466454j -0.00231981+0.00310718j 0.0155275-0.00424766j 0.00868012+0.00703191j -0.00687629-0.0144534j 0.0160499-0.0214433j 0.00169108-0.00313141j 0.0183785+0.00138258j 0.0104128+0.000840154j 0.0082228-0.00809699j 0.00110583-0.0042996j -0.005196+0.000718309j -0.00811303+0.00605787j -0.00348026+0.00486232j 0.00397026+0.0315143j -0.0253269+0.0154511j 0.00542004+0.00475215j -0.00564994-0.0045622j -0.00764887+0.0158185j 0.0040293+0.0610686j 0.00830259+0.0261961j -0.0212112+0.0111406j -0.0140431-0.0033298j -0.00256731-0.00978358j -0.00783806-0.0181643j 0.000702678-0.0146544j -0.00415624+0.000108819j 0.000412407+0.00745935j -0.00564119-0.00129425j 0.00157562+0.00360576j 
-0.000681628-0.00485877j 0.000339148+0.00134763j 0.000166574-0.000223648j -0.00181915-0.00359889j -0.00251585+0.00165292j -0.0026794+0.00223994j 0.00282425-0.00301624j 0.00199155-0.000555715j 0.00535421-0.00494085j -0.00105685-0.00374957j 0.0086308-0.00514412j 0.00555993-0.00247509j -0.000166162+0.00169301j -0.00134943+0.00344708j 0.00852381+0.00154436j -0.000784275+0.00580713j -6.86013e-05+0.00866056j 0.00528111+0.00500574j 0.00353874+0.00631108j -0.00110214-0.00803983j 0.00162402-0.00610799j 0.00703506-0.000705004j -0.0108341-0.00401592j -0.000600786-0.00814655j -0.00133405-0.00231345j 0.0137176-0.00375101j -0.0102535+0.00731747j 0.0151953-0.0108011j 0.0110088-0.0060483j 0.0146452-0.0151293j 0.00522221+0.00527501j -0.0243581-0.00967859j -0.0139188+0.00334319j 0.00536374-0.024748j 0.00590462-0.00263999j 0.0189644-0.00253771j 0.00306413-0.00126489j 0.0162686-0.00490202j -0.0155933+0.00369566j 0.00440814-0.00325945j -0.01385-0.0439899j -0.00804952+0.00113755j 0.0109677+0.00452447j 0.0064306+0.0310697j -0.00630735+0.0107846j 0.00340877+0.0324476j -0.00133057+0.00236173j 0.00372898+0.0227081j -0.000786167+0.00456252j -0.000271966-0.00178884j -0.000579379+0.00646905j 0.00389567-0.00265303j 
-0.000860385-0.00130317j -0.000123102-0.00377404j 0.00105076-0.00282974j -0.00270224-0.000315924j 0.0067663-0.00256207j 0.00480549+0.00276445j 0.00290667-0.00578702j -0.00541938+0.00446176j -0.000472232+0.00766668j -0.000336143+0.000618776j -0.00921057+0.00328901j -0.00261271+0.00211869j -0.00550504+0.00599623j -0.0015198-0.00329764j -0.00770851-0.00368832j -0.0109189+0.00114534j 0.00199675-0.00147957j -0.00508017-0.0029921j -0.0118962+0.00459518j -0.00649943+0.0114519j 0.0148056-0.00223842j 0.0068739+0.00448096j 0.00397248+0.00297325j 0.00307378+0.0079572j -0.0111623-0.00964064j 0.00496118+0.00182469j -0.00216995-0.00419264j -0.0123447+0.000251375j -0.0166592+0.00665238j 0.0106967-0.0122216j -0.00143307-0.00233424j -0.0104122+0.00600391j -0.0123426-0.00464232j -0.0071957-0.00538936j -0.015203-0.0202064j 0.010549-0.00249227j -0.00991499-0.013171j 0.0152941+0.00207725j -0.0250781+0.0198456j -0.00794825-0.0103506j 0.00563508+0.024865j 0.0186323-0.00387789j -0.00439225+0.00906166j 0.00589715+0.0212133j -0.00777502-0.0062493j -0.00776458-0.00970712j 0.00445517+0.0363354j -0.00665783+0.0116247j -0.00317396+0.000140985j 0.00140271-0.00312536j -0.011922-0.00501029j 0.00063916+0.00113762j 
-0.00187456+0.00106125j 0.000627044+0.000417831j 0.00322529+0.00167606j -0.00117886-0.00307339j -0.000949331+0.000157331j -0.000389083+0.00095885j 0.00015446+0.00124298j -0.00525593-0.00271588j 0.000580719-0.00586339j 0.00371572-0.000326556j 0.00996675-0.00405226j -0.00391452-0.00240449j -0.00461537+0.00208484j 0.00245223-0.00226238j -0.000352165+0.00501331j -0.000116861+0.00149987j -0.00386973-0.00096581j -0.0011464-0.003391j 0.00630994-0.005409j 0.00796018-0.00044601j -0.00308128+0.00703076j -0.00396669-0.00371309j 0.00588415+0.00548058j -0.00392045+0.000725297j -0.00407511+0.00158625j -0.0121431+0.00774253j -0.00830202+0.00359076j -0.000212454+0.0091765j -0.00425791+0.00379893j 0.0011232-0.00687799j 0.0194043-0.0047313j -0.000563101-0.00212589j -0.0086354+0.0222741j 0.00470576-0.00421052j -0.00170046-0.00741423j 0.00373623+0.0186171j 0.002724+0.00652621j 0.000624835+0.00889688j -0.0177165-0.00145152j -0.0314027+0.0584562j -0.00316553-0.00250271j -0.0228339-0.00454144j -0.00998603-0.0357387j -0.00485371-0.00848677j -0.0144368-0.0170924j -0.00217181+0.0124347j -0.00350832+0.00408391j 0.00123265+0.000243276j 0.000607551-0.00300102j 0.00196899+0.00474865j 0.000672164-0.0013103j 0.000174875-0.00576785j 
0.00230654-0.000270576j -0.00203977-0.00169814j 0.000379917-0.00221431j -0.00459418+0.000142265j 0.000695652+0.00303972j 0.00332239+0.000397447j -0.000713081+0.00240228j -0.00696014+0.0034423j -0.00469076-0.00119981j 0.00381392-0.0017j 0.00409387-0.0068606j -0.00200848+0.00487545j -0.00706777+0.00542635j 0.000741011-0.00432679j 0.0056196-0.00436374j -0.00703776+0.00147893j 0.00367401+0.00795443j -0.00127146+0.00208898j 0.00335287-0.00622918j 0.00242058-0.00251889j -0.000856347+0.00294808j -0.00334388+0.00302447j -0.00611746+0.00266155j -0.0074401+0.00159381j -0.00392885-0.00138739j 0.00983661-0.00333932j 0.000688156+0.000315121j 0.000987849-0.00507909j 0.0116053+0.00322843j -0.00555081-0.00503499j 0.0095872+0.000427366j -0.00217766+0.00871446j -0.000959918+0.00594235j 0.00235719-0.00431286j 0.00885084+0.000685868j 0.000201304+0.00264476j 0.00614619-0.00433795j -0.00550578-0.0261646j -0.00935982+0.00545108j 0.011596+0.0239562j -0.0052744+0.00806404j -0.00897547+0.0344582j -0.0127253+0.0474731j 0.00371254+0.0141799j 0.00262829-0.0125427j 0.00595927+0.00973927j -0.00103709+0.00093771j -0.00943047+0.00687889j 0.00875172+0.00850841j -2.21749e-05-0.00185325j -0.00482356-0.00384384j -0.00660107-0.00216912j 
-0.00286524-0.0022246j -0.000271774-0.00349292j 0.000261073-0.000277579j 0.00240825-0.00424949j -0.00236189+0.00258269j 0.00187844-0.00598497j -0.00295345+0.00136024j 0.000191821-0.000476494j -0.000289059-0.00714878j -0.00477579+0.00625551j -0.00342955+0.00897038j 0.0034486-0.00683186j -0.00820433+0.00945826j 0.00189245+0.00673065j 0.00585869+0.00433929j -0.00375566-0.00136904j 1.09421e-05-0.00229513j -0.00257581-0.00500798j -3.32404e-05+0.00153305j -0.00499683+0.00532491j -0.00562698-0.00244431j 0.00461687+0.00743357j -0.0111897+0.0106231j 0.000921727-0.00304514j 0.00827581-0.0117732j -0.00464707-0.0156915j -0.00475181-0.0128826j 0.0129702-0.00462501j -0.0244069-0.00368072j -0.00432893+0.00196159j -0.00590004+0.0111719j -0.00764964+0.00200333j 0.00323865-0.00286893j 0.0301397-0.00432861j -0.00258703-0.00506677j -0.0021505+0.0130727j -0.00930065+0.0103736j 0.0256731+0.000797125j -0.0174714-0.0257061j -0.0233069-0.045958j -0.00449648-0.000207586j -0.00893837+0.00560117j 0.00959596-0.00101426j -0.00737522-0.00984033j -0.000991599+0.00933376j 0.0011241+0.0114431j 0.00701509-0.0010787j -0.00142714+0.00255186j 0.00434773+0.00390534j -0.00108299+0.0012161j -0.00476315+0.00400023j 0.00142764-0.000208875j 
-0.00140604+0.00216117j -0.00204264-0.00127002j 0.00098932-0.00215594j -0.000222246-0.00156494j 0.00348176-0.004741j 0.000776312-0.00222817j -0.00317563-0.000500717j -0.00382112+0.004965j 0.00366898-0.00179013j -0.00109253-0.00450803j -0.00187063-0.00312497j 0.000883655+0.00230795j 0.00728167-0.000404293j -0.00640089+0.00274657j 0.00257517-0.000167181j -0.00371327+0.00873929j 0.00157535+0.00504252j 0.00141743+0.000715859j 0.00117352+0.00307555j 0.00455904-0.0060342j -0.0055935+0.0104105j 0.0202402-0.00920798j -0.00415348-0.00221099j 0.0101709-0.000711369j 0.00375702+0.00744855j -0.00839942-0.00768231j 0.00255683+0.00738975j 0.00324325+0.0208213j 0.0113696-0.00425779j -0.00841735+0.00444327j -0.00653236-0.00155424j 0.00965372+0.0138347j 0.000993843+0.0012699j 0.0247678-0.000242413j 0.0148705-0.010793j -0.00325609-0.0152348j 0.0106124+0.02299j 0.0108243-0.0170375j 0.0201599+0.0176565j 0.00509575-0.00960397j 0.0304548+0.00130333j -0.000586532-0.00963188j 0.0039645+0.0161685j -0.00301767+0.00180058j -0.00210935-0.000104361j 0.00389805+0.00166184j 0.00286127-0.00337133j 0.00449585+0.0214035j -0.00459665-0.00345048j -0.00346715-0.00419727j -0.00577012-0.00185574j -0.00454863+0.000452333j 
0.00134737+0.0019797j -0.00186403-0.000312571j -0.000439991-0.00139101j -0.0053234-0.00265654j 0.00134607-0.000452588j 0.00124505+0.00129866j 0.000713219-0.00487789j -0.00672854+0.00360972j -0.00340857+0.00484385j -0.000394882-0.00100307j 0.00343585-0.00940075j 0.00186903+0.000561959j -0.00504747+0.00966345j 0.000582896-0.00258306j -0.00289925+0.00223759j 0.0109374-0.00824749j 0.00371712+0.00754739j 0.00354137+0.0089539j 0.00213284-0.0128924j 0.00300693+0.00468741j -0.00513322+0.0120063j -0.00959371+0.0119158j -0.00715788+0.00717829j -0.00923433+0.00720215j 0.0126414-0.00630908j -0.0006262-0.00335019j 0.00196006+0.00915117j -0.00432425+0.00449448j -0.00941714+0.00560752j -0.0070669+0.00417127j -0.0111615-0.0141258j 0.000668115+0.00155149j 0.0240159+0.00678582j 0.0123568-0.00740254j -0.00176787-0.0111082j -0.0353601-0.000207272j -0.0082861+0.0293721j 0.0322271+0.00362141j 0.0256935+0.0224233j 0.0270619+0.0187679j -0.00702679-0.000261502j 0.000583302+0.0200338j 0.00237692-0.00497909j 0.00371864+0.0187868j -0.00173965-0.000851658j 0.00726812-0.00321392j 0.000403528+0.00349271j 0.00163542+0.00227211j 0.00666991+0.00366585j 0.0101066-0.00162744j -0.00194609+0.000289194j 0.0016835+0.00241776j 
-0.000881005-0.000632363j 0.00162856+0.00315532j -0.00128998+0.00135506j 0.000590281-0.00517137j -0.000127668-0.00126295j -0.00315302+0.00633373j 0.000504103-0.000460011j 0.00331342+0.00401606j -8.46274e-05+0.000751081j 0.00434849-0.00263954j 0.000362429+0.00126576j 0.00581475-0.00348307j 0.00338099-0.00602465j -0.0100867+0.00331691j -0.00362245+0.00738762j 0.00776661-0.00741376j -0.00573708-0.00702084j 0.00693956-0.00241227j 0.00355533-0.00585009j -0.00392357-0.00668697j -0.0136877+0.00246374j -0.00525548+2.15842e-05j 0.00568781-0.00321542j 0.00974517+4.35301e-05j -0.0166147+0.00767126j -0.00633467+0.000414398j -0.00277305+0.00461904j -0.00257111+0.00517901j 0.00197723-0.016496j -0.0176072+0.0109848j 0.00965994-0.00657851j 0.0141133-0.0181914j -0.0116036-0.00527027j -0.0114625+0.00915962j 0.00224065+0.000929303j -0.0140034+0.0208574j 0.0209931-0.00563228j -0.0143205-0.0141326j 0.0100974-0.0495623j 0.00299468-0.0106173j 0.00341923-0.00508405j -0.00182362+0.00656921j -0.000149796+0.000181301j 0.00139352+0.0329838j -0.00410229+0.00129587j 0.00345754-0.00289103j -0.000266327+0.0192283j 0.00182351-0.00975342j -0.00286547+0.00359171j 0.00442841-0.000641642j -0.00147777-0.00100756j 0.00736758+0.00234532j 
-0.00108397-0.00298058j -0.000310741-0.00223611j 0.00261298+0.00164353j -0.00160309+0.00164476j -0.000119763+0.00732408j -0.00131027+0.00349855j 0.00383838+0.00806716j -0.00555294+0.00147116j 0.00063528+0.00706813j 0.00342496+0.00830211j -0.00289184+0.00455863j 0.00374293+0.00380223j -0.00233704+0.00345502j -0.00652308+0.00264091j -0.00400425-0.00258513j -0.0020432-0.00385276j 0.00313106-0.00163466j 0.00291473-0.00119674j 0.00487154-0.00760123j -0.00478575-0.00189472j -0.0100962-0.00514958j -1.51127e-05-0.00251539j 0.00859818+0.0002642j 0.00131053-0.00623937j -0.00290137-0.0160675j 0.0103562+0.00446766j 0.0030172+0.00372706j -0.00564409+0.00983362j 0.00103519-0.00447564j -0.0135349+0.000271282j 0.0169198+0.0124954j 0.0167403-0.00281961j -0.00953066-0.00625652j -0.0084317-0.0154134j 0.0240049-0.00571395j -0.00532076+0.0153224j 0.0140531-0.0184423j -0.00714655-0.00118146j 0.00134883-0.000396342j -0.0221204-0.00324473j -0.00568678+0.0285879j 0.0109839+0.0124985j -0.00745985+0.0157667j 0.00408296-0.00528762j 0.00386441-0.0151968j -0.00131525-0.00539669j -0.00779545+0.0138735j -0.000466545+0.00373549j 0.00524133+0.00129749j 0.00271868+0.012297j -0.0040715-0.00282719j -0.001322-0.00194616j 
-0.00187791-0.0031838j -0.00132136+0.00118404j -0.001057+0.000637099j -0.00212855-0.00154985j -0.00242655+0.00543317j -0.00157023-0.00245933j -0.00154795-0.00291295j 0.000750939-0.00173203j 0.000484693+0.00260957j -0.00731008+0.00208729j 0.000512924-0.00695071j -0.000628318-0.000420567j -0.000906123+0.00225757j 0.00334684-0.000177158j 0.00470711-0.00921132j -0.000507453+0.00108246j -0.00263074+0.000107513j 0.00110016+0.000193557j -0.00804428-0.00459891j -0.00343711+0.00750706j 0.00308073-0.00268488j 0.000100103+0.0129404j -0.0111267+0.00862988j -0.0152204+0.00300435j -0.0149746+0.00802819j -0.0108265+0.0251043j -0.0138437+0.00778529j -0.0259657+0.00409582j 0.0162153-0.0147571j -0.0249437+0.00971261j 0.00464152+0.00286361j 0.00886332+0.0100374j -0.0323977+0.00471966j -0.0225272-0.00242458j -0.00191162+0.0195209j 0.00790022-0.0157829j 0.0255411+0.00658785j 0.0184832+0.0211064j -0.0212261+0.0242978j -0.0123105-0.0166943j -0.00261479+0.00561595j -0.00163017+0.0131493j -0.00100894-0.0034647j -0.00762092-0.00683666j 0.0036633+0.00709401j 0.0092895-0.00201118j 0.000146456-0.00249723j -0.00196105+0.00476657j 0.00647497-0.000964766j -0.000424271-0.00744704j 0.00125915+0.00588854j 0.00506059-0.000710839j 
-0.000415684+0.00132144j 0.00493835+0.00198795j 0.00217872+0.0043221j 0.00308416+0.0022812j -1.084e-05+0.00467249j 0.0025531-0.000932742j -0.00409345+0.00170109j 0.00283653-0.00899511j -0.00111802+0.000464732j -0.00139545-0.00372999j -0.00584513+0.00174745j -0.00742139-0.0017481j 0.00106836-0.00668835j 0.00316643+0.00244803j 0.00222098+0.00341846j -0.00755046+0.00283541j -0.00354222-0.0041948j -0.000196804-0.00849518j -0.00386351+0.00258588j -0.00623785-0.00543976j 2.14613e-05+0.00663465j -0.00369606+0.00564155j 0.0164471+0.0145961j -0.00129606+0.000468821j 0.0104276-0.000946602j -0.0118566+0.00441044j -0.00312957-0.0026352j -0.0196569+0.00442322j -0.00394618+0.00739624j -0.00346434+0.000801944j -0.00030452+0.000539129j 0.0230793+0.00679432j -0.00315226+0.00262318j -0.00915379-0.0342219j 0.00763539-0.0128931j -0.0265326+0.00798473j 0.00166602+0.000733253j -0.00255783-0.0469896j 0.00289673+0.00953455j -0.00766859-0.015774j -0.000879176-0.0340702j -0.000122201+0.0109703j 0.000589976+0.0191008j 0.00277925+0.00577678j 0.00031829+0.00098714j 0.00111726+0.00832734j -0.000233749-0.00266977j -0.0170505+0.000286323j 0.00235891-0.00942037j -0.00748444-0.00895088j 0.00901221-0.00343083j -0.000648006-0.00685998j 
-0.00118754+0.00201884j -0.000908233+0.00326727j 0.000893614+0.00139229j -0.00730809+0.0027089j 0.00288495+0.000607556j 0.00171902+0.0070719j -0.00417467-0.00566275j -0.00241232-0.00299027j -0.00192376+0.0131653j 0.00156255-0.0115879j -0.00643826-0.0073342j -0.0121654-0.00160189j -0.00194318-0.000957709j 0.00237571-0.00861948j -0.0119407-0.000167134j -0.0016381-0.00747719j 0.00579707-0.00369843j 0.00878421+0.00588745j -0.00996106-0.00427224j 0.000597576-0.00629508j -0.000250949+0.0145512j -0.000527933+0.00987471j 0.0192839+0.00397154j 0.0190485+0.00250683j -0.00802409-0.0108247j 0.00693966-0.023662j 0.00325379-0.00751656j 0.0121892-0.0183234j -0.0130982+0.0024184j 0.0160908+0.00471211j -0.00648496+0.0109908j 0.00145116+0.0142182j 0.0155094-0.0181436j 0.0106579-0.0119742j -0.00230636+0.0164611j 0.00490875+0.0104451j 0.00537971-0.00438385j -0.00339437+0.00494006j -0.00612245-0.0149771j 0.00508503-0.00273529j 0.00883306+0.0143461j 0.000369499+0.0083616j 0.00148999+0.0024059j 0.00935368+0.000690601j -0.00394446+0.00110726j 0.00246812+0.00358434j -0.00105309-0.0111087j -0.017285+0.0197218j 0.00997653-0.00643348j -0.00142725-0.0172141j 0.00628192+0.00139702j 0.00185464-0.00703536j 
0.00500271+0.00266459j 0.000654002-0.0046792j 0.000995665-0.00550462j 0.0019394+0.0052224j 0.00583945-0.00295803j 0.00206018-0.00821274j 0.00284004+0.0028111j -0.0041902-0.00026497j -0.00480765+0.00185095j -0.0031248-0.00129788j -0.0097049+0.00661601j -0.00336188+0.00402393j -0.00699061-0.00122537j 6.33869e-05+0.00236326j 0.00790974+0.00656643j -0.00293106+0.000321378j -0.00403024-0.00128385j -0.0032151+0.00791133j -0.000956995-0.0103334j -0.0136592-0.00379924j 0.00984659+0.00543361j -0.0076173+0.00876643j -0.00727804-0.0115989j 0.00102182-0.00375474j 0.0125509+0.00236453j -0.0109063+0.00304114j -0.0130327-0.000544082j 0.0125133+0.0248594j 0.00528905+0.000431652j 0.00878715+0.0139047j 0.00289706-0.0203705j -0.006799-0.0232604j 0.0036812+0.00740299j -0.011922+0.000837031j -0.0124458-0.00948363j 0.000597576+0.0159872j -0.0113408-0.0320141j 0.00271432+0.0311727j -0.019534-0.00643626j -0.00253792+0.00126944j 0.00904669-0.0217353j 0.0127773-0.0115324j -0.0130914-0.005174j 0.00205262+0.0237707j -0.00529633+0.00696376j 0.0147353+0.00017778j 0.0013526+0.0100771j -0.0111023+0.0132815j -0.00376128-0.00949905j -0.0114403+0.00024359j -0.00373783-0.00882496j -0.0123011+0.00450046j 
0.00159987+0.00327392j 0.00222384+0.000385053j -0.00114943+0.00113355j 0.00416521+0.0036883j -0.00201676-0.0033301j 0.00302389+0.000444398j 0.00149837+0.00313864j 0.0002734-0.00366017j -0.00171416-0.00104949j -0.000508351+0.000140375j 0.0021627+0.00362529j 0.00343696+0.00725489j -0.000970186-0.0040105j 0.00733893-0.00342526j -0.00407794+0.0021952j 0.00541558-0.00816094j 0.00257089-0.00392438j -0.00373128+0.0045656j -0.00340737-0.00353188j 0.00829418-0.00700246j -0.000525893-2.78734e-05j -0.00409124-0.00336575j -0.00281322-0.00191678j 0.00846999-0.00729503j -0.00583713-0.000768862j -0.0170274-0.011619j -0.000201755-0.000768086j 0.00917495-0.013032j -0.00169421+0.0268951j -0.0036321-0.0164336j 0.00120711+0.0114637j -0.0112206+0.0210498j -0.00396188-0.0361024j -0.01839-0.0337997j -0.00126446-0.0177976j 0.00120761-0.0210575j -0.00400824+0.062752j -0.000248197+0.00173344j -0.0069827+0.0132155j -0.0053992-0.0207964j -0.000593367+0.000956108j 0.00532731-0.00420665j -0.0182205-0.00709198j 0.00752771+0.0198194j 0.00228799+0.00425311j 0.00575777-0.000414146j -0.000355608+0.0132873j 0.00136443+0.00364805j -0.00651183-0.00279651j -0.0034344+0.00854232j 0.00314581-0.00527131j -0.00570034+0.000930888j 
