-0.585687-0j -0.0595889-0j -0.0602064-0j 0.0674462-0j 0.00973502-0j -0.0424388-0j -0.024756-0j -0.00612552-0j -0.00357322-0j -0.0241747-0j -0.00427352-0j 0.0554657-0j -0.000356127-0j -0.0172712-0j -0.0246783-0j 0.00980505-0j -0.00305315-0j -0.0101793-0j 0.000817087-0j -0.00436256-0j -0.000254429-0j -0.00179946-0j -0.000363546-0j -0.000149955-0j -0.0186669-0j -0.00311115-0j -0.0210865-0j -0.00190518-0j -0.000388894-0j 0.0338591-0j -2.29158e-05-0j 0.03421-0j -0.00351442-0j -0.0150649-0j -0.00215213-0j 0.00564319-0j -0.0124279-0j -0.000439302-0j 0.00345573-0j 0.00570167-0j -2.58861e-05-0j -0.00397079-0j 0.000705399-0j 0.00349155-0j -0.00251082-0j -0.00153756-0j 4.1566e-05-0j -0.00207132-0j 0.000712709-0j -0.000313853-0j -0.00126842-0j 4.19968e-05-0j -0.000661798-0j -0.000258915-0j -0.000405267-0j -1.8494e-05-0j -8.27247e-05-0j -1.52567e-05-0j -4.8746e-06-0j 
0.000129982-0j -0.0727429-0j 0.07095-0j 0.000439302-0j 0.281876-0j 9.41848e-06-0j -0.000617728-0j 0.00604331-0j -0.396362-0j -0.000919043-0j 0.0154833-0j 6.25929e-06-0j -0.184442-0j 0.000221231-0j -0.000305157-0j -0.000105451-0j -0.00372712-0j -0.00038213-0j 0.00125617-0j 0.00514103-0j 0.0443987-0j 0.00643782-0j -0.0612416-0j -0.0766894-0j 0.000239109-0j -0.00379793-0j -1.38891e-05-0j 2.44039e-05-0j 0.0221447-0j 0.000220537-0j 0.00805399-0j -0.000215102-0j 0.00022061-0j 3.34337e-06-0j -1.41755e-06-0j -0.00350294-0j -0.00031011-0j -0.00128632-0j 2.25085e-05-0j 0.0034166-0j -0.000467832-0j -0.000199045-0j 0.0204247-0j -2.19537e-05-0j -5.3105e-05-0j 3.41231e-07-0j 0.00742845-0j 0.00492569-0j -0.0199213-0j 0.000309641-0j -3.16505e-05-0j -0.00724535-0j 0.00316156-0j -0.0287203-0j -2.03149e-05-0j 0.000112616-0j -0.0184342-0j -0.0104456-0j -0.0067045-0j 
-0.0424388-0j 0.00419489-0j -0.00436256-0j -0.467236-0j 0.000705399-0j -0.285627-0j 0.171498-0j 0.000431219-0j -0.000258915-0j -0.0017517-0j 0.029605-0j 0.00401904-0j -2.58049e-05-0j 0.00368317-0j 0.00173729-0j -0.0679249-0j -0.0622483-0j -0.000737591-0j 5.92061e-05-0j -0.0293614-0j 5.42582e-05-0j 0.0124658-0j 2.55926e-05-0j -1.08657e-05-0j -0.0013526-0j -0.000225434-0j -0.00152793-0j 0.0265345-0j 0.00269408-0j -0.00238359-0j -1.66048e-06-0j 0.00247886-0j -0.000254655-0j 0.00321266-0j 0.0299739-0j -0.000397265-0j 0.000874892-0j 0.00304328-0j 0.0467597-0j 0.000413143-0j -1.87571e-06-0j -0.000287723-0j 0.00474757-0j -0.0486287-0j 0.000535444-0j -0.063024-0j -2.92613e-06-0j 0.000145815-0j -0.00493732-0j -0.00639889-0j -0.0171631-0j 3.04308e-06-0j -4.79538e-05-0j -0.00174259-0j 0.00564437-0j 3.94392e-06-0j 0.000573079-0j 1.07403e-06-0j -3.53213e-07-0j 
-0.0413928-0j 0.00436256-0j -0.00440512-0j 0.472078-0j -0.000712709-0j 0.28675-0j -0.155575-0j -0.000432915-0j 0.000234875-0j 0.00176985-0j -0.0299118-0j 0.00391998-0j 2.60724e-05-0j 0.00126444-0j -0.00180564-0j -0.0662507-0j -0.02137-0j 0.00352227-0j 5.77468e-05-0j 0.0305166-0j 1.8627e-05-0j -0.059529-0j -2.65996e-05-0j 5.18879e-05-0j 0.00136662-0j 0.00022777-0j -0.00149027-0j -0.0268095-0j -0.002722-0j -0.00247886-0j 1.67768e-06-0j 0.00250304-0j -0.000248378-0j -0.0010647-0j 0.0292351-0j -0.000413143-0j 0.000816914-0j 0.00296827-0j 0.0486287-0j 0.000417174-0j -1.82948e-06-0j 0.00304839-0j 0.00493732-0j -0.0491031-0j -0.00017745-0j 0.0208866-0j -3.04308e-06-0j 0.000136152-0j -0.00498549-0j 0.00212064-0j -0.0160257-0j 3.07277e-06-0j 0.000508066-0j -0.00162711-0j -0.0598015-0j -1.30704e-06-0j -0.00607171-0j 1.00286e-06-0j 3.74226e-06-0j 
0.00612552-0j 0.0577035-0j -0.0600099-0j -0.000705399-0j -0.452615-0j -0.000431219-0j 0.000258915-0j -0.276689-0j 0.166131-0j 0.000252836-0j -0.00425957-0j -0.000580099-0j 0.0507414-0j -0.000531619-0j -0.000250756-0j 0.00977304-0j 0.00895629-0j 0.000106462-0j -0.11642-0j 0.00422453-0j -0.10669-0j -0.00179359-0j -0.0503239-0j 0.0213658-0j 0.000195231-0j -0.00310099-0j 0.000220537-0j 1.99257e-05-0j 0.018081-0j 0.000344041-0j 0.00657606-0j -0.000357792-0j -0.00350294-0j -0.000463708-0j 2.25085e-05-0j -0.00546464-0j -0.00012628-0j 0.0204247-0j 3.51136e-05-0j 0.00568306-0j 0.00742845-0j 4.15292e-05-0j 0.0318628-0j -3.6517e-05-0j 0.00736539-0j -4.7327e-05-0j 0.0115885-0j 0.00200579-0j -0.0331363-0j -0.0429455-0j -1.28884e-05-0j -0.0120517-0j -0.000659637-0j -0.0116952-0j 4.23856e-06-0j -0.0156193-0j 0.00384616-0j -0.00425353-0j 0.00139885-0j 
0.000643378-0j -0.0111191-0j -0.00368496-0j -0.207887-0j 0.000313853-0j 0.0131173-0j 0.292322-0j -1.98036e-05-0j -0.000441326-0j 0.00153274-0j -0.0259044-0j 3.09819e-05-0j 2.25793e-05-0j 0.000972121-0j 0.00444535-0j -0.000523618-0j -0.0164296-0j -0.00189145-0j 4.56407e-07-0j -0.0751297-0j 1.43207e-05-0j 0.0319669-0j 6.54862e-05-0j -2.78637e-05-0j 0.00118353-0j 0.000197255-0j 2.31636e-05-0j -0.0232177-0j -0.00235732-0j -0.00321266-0j 1.45292e-06-0j -0.0010647-0j 3.86059e-06-0j 1.46912e-05-0j -0.000454408-0j -0.000535444-0j 0.00451751-0j -4.61365e-05-0j 0.063024-0j -0.00017745-0j 2.8436e-08-0j -0.000985221-0j 0.00639889-0j 0.0208866-0j 2.44854e-06-0j -0.000288204-0j -3.94392e-06-0j 0.000752918-0j 0.00212064-0j -2.92616e-05-0j -0.0886216-0j -1.30704e-06-0j -0.000164203-0j -0.00899785-0j 0.0193274-0j 1.80352e-08-0j 0.00196234-0j 5.54576e-06-0j -1.20947e-06-0j 
0.00597454-0j 0.0600099-0j -0.0605953-0j 0.000712709-0j 0.457305-0j 0.000432915-0j -0.000234875-0j 0.277777-0j -0.150706-0j -0.000255456-0j 0.00430371-0j -0.000565801-0j -0.0512672-0j -0.000182507-0j 0.000260621-0j 0.00953215-0j 0.00307472-0j -0.000508396-0j -0.11355-0j -0.00439074-0j -0.0366271-0j 0.00856504-0j 0.0523039-0j -0.102029-0j -0.000197255-0j 0.00313313-0j 0.000215102-0j -2.01322e-05-0j -0.0182684-0j 0.000357792-0j -0.00664421-0j -0.000361283-0j -0.0034166-0j 0.000153676-0j 2.19537e-05-0j -0.00568306-0j -0.000117911-0j 0.0199213-0j 3.6517e-05-0j 0.0057385-0j 0.00724535-0j -0.000439998-0j 0.0331363-0j -3.68733e-05-0j -0.00244094-0j 1.56845e-05-0j 0.0120517-0j 0.00187287-0j -0.0334596-0j 0.0142324-0j -1.20343e-05-0j -0.0121692-0j 0.00698878-0j -0.0109202-0j -4.49071e-05-0j 0.00517633-0j -0.0407497-0j -0.00397166-0j -0.0148206-0j 
-9.28636e-05-0j -0.152951-0j -0.0506891-0j -0.000313853-0j -0.201382-0j 1.98036e-05-0j 0.000441326-0j 0.0127068-0j 0.283174-0j -0.000221231-0j 0.00372712-0j -4.47186e-06-0j -0.0443987-0j -0.000140314-0j -0.000641631-0j 7.53382e-05-0j 0.00236389-0j 0.000273007-0j -0.000897453-0j 0.0108097-0j -0.0281594-0j -0.0045994-0j -0.128768-0j 0.0547896-0j -0.000170828-0j 0.00271337-0j -3.34337e-06-0j -1.7435e-05-0j -0.0158209-0j 0.000463708-0j -0.00575405-0j 0.000153676-0j 5.3105e-05-0j -2.1205e-06-0j -3.41231e-07-0j -0.00736539-0j -0.000652046-0j -0.000309641-0j 4.7327e-05-0j -0.00244094-0j -0.000112616-0j 0.000142204-0j 0.0429455-0j 1.56845e-05-0j 3.36813e-05-0j -2.16422e-07-0j 0.0156193-0j 0.0103569-0j 0.0142324-0j -0.000196386-0j -6.65492e-05-0j 0.00517633-0j -0.00225873-0j -0.0603882-0j 1.45137e-05-0j -7.14256e-05-0j 0.01317-0j -0.0219631-0j 0.00478993-0j 
0.0596757-0j 0.00302803-0j -0.00282737-0j 0.171498-0j -0.000258915-0j 0.401637-0j 0.475876-0j -0.000606362-0j -0.000718443-0j -0.00126444-0j 0.02137-0j 0.00287369-0j -1.8627e-05-0j 0.00265865-0j 0.00112593-0j -0.0485675-0j -0.0449332-0j -0.00063743-0j 4.23334e-05-0j -0.0190291-0j 3.91656e-05-0j 0.010773-0j 1.65866e-05-0j -9.39023e-06-0j -0.000976361-0j -0.000162727-0j 0.00214851-0j 0.0191536-0j 0.00194469-0j 0.000874892-0j -1.1986e-06-0j -0.000816914-0j 0.000358084-0j -0.00451751-0j -0.042148-0j 0.000145815-0j 0.00242766-0j -0.00427934-0j -0.0171631-0j -0.000136152-0j 2.63754e-06-0j 0.00264519-0j -0.00174259-0j 0.0160257-0j -0.000752918-0j 0.0886216-0j 1.07403e-06-0j 0.000404611-0j 0.00162711-0j 0.00899785-0j -0.0476244-0j -1.00286e-06-0j 0.000440865-0j -0.00483536-0j -0.0518916-0j -5.54576e-06-0j -0.00526861-0j 2.98024e-06-0j 3.24728e-06-0j 
-0.00861344-0j 0.0416526-0j -0.0388924-0j 0.000258915-0j 0.166131-0j 0.000606362-0j 0.000718443-0j 0.389069-0j 0.460984-0j 0.000182507-0j -0.00307472-0j -0.000414781-0j 0.0366271-0j -0.000383743-0j -0.000162515-0j 0.0069879-0j 0.00646499-0j 9.20051e-05-0j -0.0832421-0j 0.00273791-0j -0.0770131-0j -0.00155003-0j -0.0326149-0j 0.0184644-0j 0.000140926-0j -0.00223842-0j -0.00031011-0j 1.43831e-05-0j 0.0130516-0j -0.00012628-0j 0.00474685-0j 0.000117911-0j 0.00492569-0j 0.000652046-0j -3.16505e-05-0j 0.00200579-0j -0.000350403-0j -0.0287203-0j -1.28884e-05-0j -0.00187287-0j -0.0104456-0j -0.0003818-0j -0.0116952-0j 1.20343e-05-0j -0.0103569-0j 6.65492e-05-0j -0.00425353-0j 0.00556569-0j 0.0109202-0j 0.0603882-0j -3.57629e-05-0j 0.00397166-0j 0.00606439-0j -0.032452-0j -3.89673e-05-0j 0.0219631-0j -0.0353598-0j -0.0118028-0j -0.0128603-0j 
-0.0383029-0j 0.00099582-0j 0.0105506-0j -0.0547945-0j 8.27247e-05-0j 0.265345-0j 0.503754-0j -0.000400598-0j -0.000760532-0j 0.000403995-0j -0.00682783-0j -0.00184448-0j 5.95141e-06-0j 0.000288628-0j 0.00432465-0j 0.0311731-0j -0.00487803-0j -0.00316725-0j -2.71718e-05-0j -0.0730898-0j 4.2519e-06-0j 0.0535289-0j 6.37081e-05-0j -4.6658e-05-0j 0.000311952-0j 5.1992e-05-0j -0.00137902-0j -0.00611968-0j -0.000621337-0j 0.000287723-0j 3.82957e-07-0j 0.00304839-0j -0.000229837-0j -0.000985221-0j 0.0270528-0j 4.79538e-05-0j -0.00264519-0j 0.0027467-0j -0.00564437-0j 0.000508066-0j -1.69291e-06-0j 0.00330062-0j -0.000573079-0j -0.0598015-0j -0.000164203-0j 0.0193274-0j 3.53213e-07-0j -0.000440865-0j -0.00607171-0j 0.00196234-0j 0.0518916-0j 3.74226e-06-0j 0.000550104-0j 0.00526861-0j -0.0647496-0j -1.20947e-06-0j -0.00657409-0j -3.24728e-06-0j 4.0519e-06-0j 
0.00552855-0j 0.0136982-0j 0.145131-0j -8.27247e-05-0j -0.0530798-0j 0.000400598-0j 0.000760532-0j 0.257042-0j 0.487991-0j -5.83117e-05-0j 0.000982388-0j 0.000266228-0j -0.0117025-0j -4.16599e-05-0j -0.000624209-0j -0.00448519-0j 0.000701852-0j 0.000457153-0j 0.053429-0j 0.0105162-0j -0.00836069-0j -0.00770174-0j -0.125272-0j 0.0917456-0j -4.50264e-05-0j 0.000715185-0j 0.000199045-0j -4.59549e-06-0j -0.00417004-0j -4.15292e-05-0j -0.00151664-0j -0.000439998-0j -0.00316156-0j 0.000142204-0j 2.03149e-05-0j 0.000659637-0j 0.0003818-0j 0.0184342-0j -4.23856e-06-0j 0.00698878-0j 0.0067045-0j -0.000476404-0j -0.00384616-0j -4.49071e-05-0j -0.00225873-0j 1.45137e-05-0j -0.00139885-0j -0.00606439-0j -0.0407497-0j 0.01317-0j 3.89673e-05-0j -0.0148206-0j 0.00756705-0j 0.0353598-0j -4.86228e-05-0j 0.00478993-0j -0.0441214-0j 0.0128603-0j -0.0160469-0j 
0.0341882-0j 0.00347837-0j 0.00351442-0j 0.00200194-0j 0.000288955-0j 0.00247727-0j 0.00144508-0j 0.000357564-0j 0.000208579-0j -0.203718-0j 0.000249458-0j -0.237671-0j 2.07881e-05-0j -0.145543-0j -0.207962-0j 0.000291034-0j 0.000178221-0j -0.08578-0j 2.42528e-05-0j 0.000254655-0j 1.48518e-05-0j 0.00010504-0j 2.12212e-05-0j 8.75331e-06-0j 0.00108964-0j -0.0262174-0j 0.00123088-0j 0.000111211-0j 2.27008e-05-0j 0.00100501-0j 1.33766e-06-0j 0.00101542-0j -0.0296157-0j 0.000879383-0j 0.000125626-0j -0.0241811-0j 0.000725454-0j 2.56433e-05-0j 0.000102573-0j -0.0244317-0j 1.51105e-06-0j 0.000231786-0j 2.09377e-05-0j 0.000103636-0j -0.0211585-0j 8.97516e-05-0j 1.23376e-06-0j -0.0174548-0j 2.11547e-05-0j 1.83205e-05-0j 7.40413e-05-0j 1.24655e-06-0j -0.00557691-0j 1.51136e-05-0j 2.36566e-05-0j 1.07954e-06-0j 4.82887e-06-0j 8.90578e-07-0j 2.84544e-07-0j 
-0.00604367-0j 0.0289929-0j 0.0292934-0j 0.0338343-0j 0.00486808-0j 0.0418678-0j 0.0244229-0j 0.00602394-0j 0.00351397-0j -0.000249458-0j -0.19879-0j -0.000291034-0j 0.00052717-0j -0.000178221-0j -0.000254655-0j -0.231921-0j -0.142022-0j -0.00010504-0j 0.000615031-0j -0.202931-0j 0.000376628-0j -0.0837048-0j 0.000538152-0j 0.000221977-0j -0.000192623-0j 0.00151373-0j -0.000217591-0j 0.00377875-0j -0.0365637-0j -0.000177662-0j 4.53081e-05-0j -0.000179503-0j 0.00170994-0j -0.000155454-0j 0.00426856-0j 0.00139616-0j -0.000128243-0j -0.0413031-0j 0.00348526-0j 0.00141063-0j 5.11809e-05-0j -4.09743e-05-0j -0.0337238-0j 0.00352138-0j 0.00122164-0j 0.0030496-0j 4.1789e-05-0j 0.0010078-0j -0.0340733-0j -0.0295083-0j 0.0025158-0j 4.22221e-05-0j 0.000321997-0j -0.0243431-0j 0.000803809-0j 3.65654e-05-0j -0.00777775-0j 3.01649e-05-0j 9.63783e-06-0j 
