0.00478819-0.00936796j -0.00829859-0.00325358j 0.00871443+0.00127094j -0.00232979+0.00825718j -0.00621288+0.000954368j 0.00589591+0.00292359j -0.00134009+0.0112768j 0.00839436+0.00287888j -0.00477838-0.00483798j -0.00428107-0.00065707j 0.00359107+0.0134611j -0.0015264+0.00404725j 0.00397346-0.000385475j 0.000856082+0.00687512j -0.00949655-0.0042271j -0.00296257+0.000129053j 0.00145539-0.00135836j 0.00136494-0.00116288j 0.000832334+0.00522212j -0.00170925-0.00492024j -0.003001-0.00824182j 0.00295052-0.000221983j -0.00754727-0.00826589j -0.00540761+0.000426502j -0.00417004+0.00402737j -0.0075215-0.00271503j -0.0046061-0.00456687j -0.000640864+0.00313661j 0.00409736-0.00131887j -0.000787509-0.000911624j -0.00345114-0.0043538j 0.00133531-0.00147191j -0.00153161+0.000486785j 0.00115236-0.000129628j -0.0021276-0.000118394j 0.00290683+0.00434606j -0.00156881-0.000433944j 0.000619871+0.00070835j -0.00532277-0.000757184j 0.00150306-0.00148123j -0.00190547-0.00141455j 0.00273389-0.00269363j -0.00408644-0.0030597j -0.00196581+0.00401336j -0.00384765+0.00110977j 0.00341525-0.00260661j 0.00125549+0.00135521j -5.16024e-05+0.00109559j -0.000709705+0.00292468j 0.00736731+0.00209317j -0.000515552+0.000213404j 0.00170712+0.00420174j -0.00168758-0.00167569j 0.00241291+0.00217939j -0.00687951-0.00530161j -0.00277686+0.00743943j 0.0039674-0.00119336j -0.00189369-0.00755016j -0.00833423-0.00141934j -0.000241386+0.00677567j -0.0070667+0.0141992j 0.000954232+0.00287161j 0.00534936+0.0017772j -0.00081781+0.0120379j 0.00643608-0.00381146j -0.0046288+0.00406102j 0.00184505-0.0162404j 0.000913553+0.00531543j -0.000865418-0.00518854j -0.0157019-0.00653482j 0.0128122+0.0143379j 0.0045297-0.00745185j -0.0130292+0.0216062j 0.00375898+0.00199249j 0.0069782+0.00747121j 0.00277716+0.00370352j -0.00112918-0.0245563j -0.0113552-0.0180892j 0.0533585+0.00838655j -0.000327996-0.0654774j 0.00792538-0.0219982j 0.0244633+0.0257255j 0.0102172-0.0125008j 0.00287671-0.0156564j -0.0108055-0.00337809j 0.0176928+0.00104557j -0.00499158+0.0125489j -0.0283704-0.0134032j 0.0438009+0.000369696j 0.00807993+0.020841j 0.0825412-0.0149216j 0.0239076+0.0783999j 
0.00149348-0.000738051j -0.00335478+0.000250611j 0.00318616+0.00091822j -0.00397267+0.00527646j -0.00274136-0.00165545j 0.00581949-0.00504437j -0.00566746+0.00413598j 0.00364309-0.000875347j -0.00746544+0.00583462j 0.0020549-0.0059663j -0.000606243+0.000320563j -0.00397182-0.00115148j 0.0050451+0.0036941j -0.00317509+0.00182184j -0.00486244-0.00344632j -0.000370102+0.00109768j -0.000106508-0.00138248j -0.0035615+0.00534298j 0.000219706-0.00200663j 0.00520168-0.00423934j 0.000632014+0.00724774j -0.00137779-0.0037409j -0.00251877+0.00231632j -0.00425234-0.00231717j 0.0025452-0.00272287j -0.00135234+0.00122762j 0.00143925-0.0044419j 0.00617693-0.00686607j 0.0107045-0.00398075j -0.00540156-0.000316473j 0.00117526-0.00359645j 0.0024933-0.000657088j 0.0144219-0.0105394j -0.00540893+0.00946691j 0.00522183-0.00770051j 0.00706638-0.00427711j -0.00210689-0.00699966j 0.00246341-0.00272118j 0.00085866-0.00634287j 0.0052766+0.00118413j 0.00272413-0.001589j -0.00785968+0.000700852j -0.00663997-0.00147178j -0.00169533-0.00412147j -0.0128838-0.00565792j -0.017274-0.00531821j -0.0112626-0.00861178j 0.00458973+0.000801951j -0.000285369+0.00374629j 0.00309186+0.000254692j -0.00162932+0.00419377j -0.0196295-0.0116704j 0.0161667-0.00474847j 0.0109334-0.0113599j -0.00936775-0.0122282j -0.00290728+0.00113443j 0.00525154+0.0114964j -0.000773564+0.00397087j 0.0181856+0.00172395j 0.000993764-0.00249864j -0.0133085+0.00551319j 0.0197986+0.00153957j 0.0142072+0.00940356j -0.0122568-0.01676j 0.00962261+0.00905831j -0.0315147+0.00951577j 0.0403968-0.0173017j 0.00525392+0.0198317j -0.0193286+0.0140008j 0.00508287+0.009537j -0.0284178+0.0084782j -0.00121196+0.0232891j 0.0160236+0.0362589j 0.00782693+0.00216268j 0.0111703+0.00700331j -0.011678-0.0091199j -0.0189792+0.000350047j 0.00311025+0.00167193j 0.0219829-0.0145625j 0.0109203-0.00237319j -0.0161049+0.000323191j -0.00662834+0.0100826j 0.0218287-0.00157301j -0.00354523+0.0101345j 0.00496929+0.000474632j -0.0248465+0.0128373j -0.0120407+0.00563058j 0.018617+0.00566704j -0.00298084+0.00428395j 0.00214305+0.0072123j 0.0179126-0.00779271j -0.00301606+0.00393889j 
0.00142476+0.000353506j 0.00216391+0.00183356j -0.00621758-0.00311944j -0.00299576+0.00713185j 0.0080924+0.00611045j -0.00177411+0.00435242j 0.000600294+0.00342802j -0.0135789-0.00337579j -1.8067e-05-0.0039967j 0.00185974-0.00802584j -0.000635971+0.00212535j -0.00376865-0.00328085j -0.00074682+0.00987947j 0.00414939+0.00651975j 0.0152982+0.00887362j 0.00620569-0.00789383j -0.00651714+0.00950747j 0.00244547-0.00176824j -0.00669317-0.00278616j -0.0036754+0.0051232j -0.00276871-0.00631817j 0.00324119+0.00441654j 0.00473268-0.00346634j 0.00815384-0.00793653j -0.00137253+0.00961951j 0.0092526-0.0108694j -0.0102215+0.00914889j 0.0036368+0.00101639j 0.00861782-0.0116076j 0.0141595+0.00240838j -0.00536619+0.000328602j 0.00427075+0.00410824j -0.0206706-0.00812557j -0.00722089+0.0130278j -0.0108014-0.00265734j -0.00478354-0.00180735j -0.00679891-0.0199811j -0.00232356+0.00313437j -0.00795667-0.0030446j -0.010359-0.000265489j -0.028506-0.00388715j 0.0149321-0.00546486j -0.0127085-0.000275434j -0.00828122-0.000507588j 0.0173087-0.00824027j 0.0333673+0.00142653j 0.00629034+0.0299137j -0.00463507+0.000608683j -0.032182-0.0134696j -0.0170809+0.00298784j 0.00974312-0.0151678j -0.0154285-0.00999118j 0.0227802-0.0112832j 0.000945807-0.000785629j 0.00184907+0.00186876j 0.0310671-0.0112467j 0.00939422+0.00277121j 0.0104434-0.00158106j -0.00427363+0.0156123j 0.00463798-0.0103511j 0.0320816+0.00754227j 0.0154008+0.00540884j 0.00400971-0.00399115j -0.0290482-0.0105976j -0.0464123-0.000907985j -0.0170716-0.00611388j 0.0241553-0.00531018j 0.0245088-0.00469623j -0.014831-0.00898347j -0.003899+0.0017268j 0.000840397-0.00568507j -0.0102529-0.00357889j -0.00161223-0.00239745j -0.0410601-0.012407j -0.00389676-0.020397j 0.00180903-0.0190147j -0.00933444+0.0189861j -0.00911401+0.014391j -0.000992898+0.01047j -0.0029815-0.0027421j 0.0214001+0.0142351j -0.00432049+0.00128496j -0.00574583-0.0159409j -0.00064924+0.0189326j 0.00142189+0.00206438j -0.00699465-0.00156416j 0.00578487-0.00708992j 0.0144929-0.000659646j -0.0080796-0.00213107j -0.00892484-0.00674615j 0.00172973+0.00269275j -0.00115079-0.00291649j 
0.00449542+0.00121377j 0.000353727+0.00215061j 7.39953e-06-0.00388396j -0.00899498-0.00465072j 0.000879336+0.00642966j -0.00584392-5.88519e-05j -0.0117562+0.0029163j -0.00136545-0.00766319j -0.00255993-0.00483941j 0.00491424+0.0112645j -0.00738778+0.00393032j -0.00250491+0.00742149j -0.00324717+0.000447916j -0.0072195+0.00833449j 0.000657406+0.0122793j -0.00125666+0.00239617j -0.00509105-0.000238457j 0.000984328+0.00551126j -0.00152081-0.00233499j -0.00312732+0.00239249j 0.00668789-0.00256549j 0.00255788-0.00366321j 0.00756958-0.00676953j -0.00745419+0.00616516j -0.0072663+0.0115991j 0.00626118+0.00223904j 0.00132508-0.00101044j -0.0043888+0.0052559j 0.00921208-0.00149755j -0.00209542+0.00619806j 0.00179047-0.00307419j -0.00831185+0.00738962j 0.0100769-0.00706495j -0.0043653+0.00172721j 0.00724974-0.000454584j 0.00296027+0.00874595j 0.0064447-0.00590792j 0.00564078+0.00465675j -0.00302807+0.00902487j 0.00182045-0.0026442j 0.0202327-0.0114387j 0.00145105-2.25166e-05j 0.0100799+0.00136475j -0.000314523+0.00038671j -0.00928362-0.00987742j -0.00972252-0.00148826j -0.0205007+0.00408202j 0.00246228+0.00331178j -0.00388835-0.0152694j -0.00202237-0.00696755j 0.00771602+0.0140862j 0.0195551-0.0190117j 0.00285523+0.00886713j -0.00185184+0.0109236j 0.023545+0.0339914j -0.0136246+0.0190833j 0.0110731-0.028192j 0.010464-0.00876822j 0.043494-0.0146266j -0.00190459-0.00100267j 0.0248972+0.00415962j -0.0121523+0.0113051j -0.0156132-0.00752042j 0.00406102+0.0121568j 0.00902981+0.00427921j 0.00665534+0.00826506j 0.00946342+0.00744281j -0.0199479-0.040005j -0.0409449-0.0608597j -0.00467986-0.0247299j -0.00908963-0.00457421j 0.00755871-0.00253116j 0.000297525+0.01539j 0.0190403-0.0272286j 0.00674172+0.0056672j -0.0167538+0.0147079j 0.00449208+0.0149023j 0.0210032+0.00368868j -0.00621456-0.0040029j -0.0057588-0.0233425j 0.019664+0.0162772j -0.0127974+0.0163906j -0.000269812-0.00240032j -0.00533183+0.0036092j 0.00960445-0.00700552j 0.00387925-0.0112634j 0.020048-0.0109173j 0.00957622+0.0167267j -0.00842519-0.0166566j 0.00834951-0.00955135j 0.000114178-0.00489532j -0.0171477+0.00357143j 
0.00274786+0.00339989j -0.00666855-0.00561205j -0.00187058-0.00104716j -0.00770683+0.00672978j -0.00104075-0.000761624j 0.00194911-0.00775309j -0.0096917+0.00256493j -0.0080969+0.00416843j -0.00644619-0.00224554j 0.00309693-0.0137925j -0.00334699-0.000703161j -0.00733086-0.00840772j 0.00853524+0.000741507j -0.00654423-0.00745162j 0.011162-0.00608227j 0.00224322-0.00404805j -0.0071609-0.00346525j -0.00764512+0.00969973j -0.00286022-0.00323228j 0.00864361+0.0011029j -0.00108895+0.0075788j 0.0082391+0.00122979j 0.0071377+0.00976829j 0.0026873-0.00645927j -0.00238562+0.000117577j 0.00298012+0.00469784j 0.00629255-0.00221934j 0.000452834-0.010719j 0.0168689-0.00219619j -0.00171984+0.00554367j 0.0045577+0.00077244j -0.0119324+0.0126951j 0.0222974-0.022681j -0.000804174+0.0113467j 0.0100787-0.0236001j -0.0118464-0.0214742j 0.00442152-0.00304892j -0.0239454+0.00401219j -0.00132944+0.00324254j 0.0114962-0.00427471j 0.00935654-0.00369131j -0.0199385+0.00890421j -0.00681838+0.0145061j 0.0139037+0.00192087j 0.0157195-0.0103243j 0.0324091+0.0070647j 0.0192238+0.00056605j -0.00898279+0.000120927j 0.00112159+0.00893056j -0.00841305+0.00633796j -0.00652037-0.00120085j 0.00633558-0.0194267j -0.00743545+0.00758371j -0.0140906-0.015332j -0.011419+0.0147766j 0.00843105-0.0122527j -0.014039+0.0157162j -0.016001+0.0152332j -0.0120919+0.037596j -0.00680432-0.00089049j -0.0217481-0.000454103j -0.0059406-0.0069496j -0.0199285-0.00807005j -0.0150643+0.0234947j -0.0114661+0.0253728j 0.0556895+0.0409951j -0.00498828+0.00482627j -0.0116902+0.0136135j 0.0140722-0.00309841j -0.0070962-0.00728758j 0.0063874+0.0127914j -0.0222501+0.0144884j -0.00219588+0.00135942j 0.00182232+0.000208527j 0.00939987-0.00533571j 0.0102702-0.014523j -0.00762639-0.000109816j 0.0115795+0.0186301j 0.0134289-0.00183805j 0.00786201+0.00196944j 0.00419564+0.00284673j -0.0103265+0.0013692j 0.00688001-0.0103891j 0.00641836-0.00401622j -0.00287144-0.00212167j -0.0018678-0.0132399j 0.00217972+0.0134769j 0.002491-0.00942819j -0.00347194-0.00147279j -0.00844334+0.00153526j 0.0142674-0.00121889j -0.00955789-0.00554787j 
-0.00199265-0.00066573j -0.000130763+9.72785e-05j 0.00383375+0.000274141j 0.000827663-0.002786j -0.000890932-0.000508383j 0.00347864-0.00202282j -0.00257226-0.00186642j 0.000239821-0.00496283j -0.00305069-0.00184999j 0.00224559-0.0067277j -0.000288456-8.91888e-05j -0.00087424-0.00381278j 0.00219618-0.000800298j 0.00408797-0.00376305j 0.00298532+0.0093289j 0.00180835+0.00381448j -0.00282265-0.0100403j 0.00613535+0.00586006j -0.00323822-0.000479225j 7.99195e-05-0.0066839j 0.0018546+0.00156317j 0.000394188+0.00402933j -0.00563145+0.0105665j -0.000301528-0.0161615j -0.00237002-0.00854109j -0.0138436+0.00707251j 0.0111711-0.0062817j -0.00359933+0.00576926j -0.00162165-0.00375173j -0.00268995-0.00125941j 0.00272156+0.00035658j -0.00340393-0.000884792j 0.0100497-0.00320234j 0.00373539+0.00621152j -0.000359411+0.00160344j -0.00473133+0.0145072j -0.00678804+0.000801617j -0.00179878+0.00591053j -0.00040887+0.000118998j 0.00772456+0.00845188j -0.00820515-0.00520152j -0.000338303+0.00468141j 0.00741671-0.0186058j -0.00968702-0.00881644j 0.00948728+0.00385427j -0.00350752+0.00593919j -0.00722395-0.00593334j 0.000814916-0.00508705j -0.000718831-0.00556387j -0.00278043-0.0137718j 0.00873344-0.00774268j -0.00754405+0.0104888j 0.00548098-0.00351419j -0.00417661+0.00113473j 0.0156317-0.00401761j 0.00969805-0.0218126j 0.00462032+0.015512j -0.000908712+0.0189984j -0.0436326+0.0233077j -0.0272255+0.0321043j 0.0201053+0.00801325j 0.0186503+0.000902177j -0.019171+0.00185279j -0.02279-0.0206621j -0.00442021-0.00378678j -0.00108717+0.00556822j -0.019307-0.0282275j -0.000830079+0.00571748j -0.014183-0.00997424j 0.0135511-0.014605j 0.0219682+0.000970706j -0.0173913+0.0142868j -0.0102328+0.00692277j -0.0127712-0.0151194j 0.00798294+0.00792148j -0.0017318-0.0115675j -0.0110411+0.00934685j 0.0224244+0.00651927j 0.00829242-0.00849792j 0.00311672+0.0063034j -0.00471999-0.00492376j -0.00466682-0.00241354j 0.00380383-0.0267546j 0.00392141+0.00070708j 0.0187287-0.00741892j 0.0102783+0.00711314j 0.00201996+0.00617644j 0.00780827+0.015024j -0.000845945-0.00342005j 0.00152446-0.00368845j 0.0042816-0.00154669j 0.000476652-0.00128693j 
-0.00173538-0.000448031j -0.00035689-0.00411702j -0.000939899+0.00359168j -0.00519711+0.00116608j 0.00885708+0.00179682j 0.000726881+0.0113735j 0.00446357-0.00435541j -0.00298501-0.00603794j -0.00670311+0.00157076j 0.00339844-0.00671204j 0.0104348-0.00232151j 0.00634868-0.0126105j 0.00203166+0.00315037j 0.00651351+0.00254044j -0.00101102-0.00117732j 0.00935384+0.00254747j -0.00281835+0.00671547j 0.00263119+0.00708188j 0.0124948-0.00905452j -0.00158809-0.00200064j -0.00365416-0.00407248j -0.000428081-0.00628004j -0.00546797+0.00426762j -0.00622178-0.0068704j 0.000313353-0.000795521j 0.000998735+0.00261142j -0.00777486-0.00967557j 0.00520548-0.0118375j 0.00453712+0.00462677j -0.0052001-0.00900917j -0.00309537+0.00446506j 0.00731042-0.00792614j 0.00701868-0.00606555j 0.00166121+0.0130942j 0.00227909-0.00242818j 0.0158986-0.00871538j 0.00595755-0.0113825j 0.0005195-0.00722661j 0.00943406-0.00538042j 0.00982684+0.00315117j 0.00438017-0.0116387j -0.00649048+0.00339746j -0.00760894-0.00720819j -0.01009+0.00615109j -0.00567852-0.00239179j -0.00329385+0.00295573j -0.000940814-0.00380943j 0.00354321+0.00463533j 0.00747663-0.0117156j -0.00932363-0.00178864j -0.0188313+0.0189223j -0.0254588-0.0119006j -0.00698978+0.0139292j -0.00207681+0.0147943j -0.0111767-0.00345344j 0.00860913-0.0166177j -0.00012884-0.0101231j 0.00265671+0.00436637j -0.00217398+0.014906j -0.0219397-0.0053609j -0.00241482-0.0190564j -0.00651897-0.00100695j -0.00473313+0.0143959j -0.0134997-0.00660676j -0.00664673-0.010853j -0.00875851-0.0144585j 0.0112484+0.00095138j -0.00117133-0.0218454j -0.0248255-0.00749362j -0.0247906-0.000442545j 0.0020683-0.0129154j 0.0276638-0.0238845j -0.0136463-0.00606966j -0.00266545+0.0205177j -0.00426967-0.0329524j -0.0203046+0.00873755j -0.0141799+0.00644812j 0.00446956+0.0239259j 0.00710305+0.0092514j -0.00887066+0.00590073j -0.0188819-0.00914739j 0.00103603+0.0158882j 0.016984-0.000510589j 0.0079124-0.0136241j 0.00426616-0.0013428j -0.00301788-0.00584226j 0.0204145-0.00826895j 0.0108525+0.0144876j -0.0208348+0.000335496j 0.00873331-0.0226809j -0.00571073-0.00159263j 0.00178294-0.00363127j 
0.00166319+0.00251125j 0.00210593-0.000296333j -0.00422762+0.000158212j -0.00190279+0.000208808j 0.00428513+7.71317e-05j -0.000807777+0.00646397j -0.00487618+0.000562929j -0.00872205-0.00290701j 0.00474975+0.00376897j 0.0053611+0.00291377j -0.00353242-0.00379218j 0.00110315-0.00340978j -0.0108477+0.00130017j -0.00798425+0.0072562j 0.010542+0.00123967j 0.00306663-0.00350162j 0.00341926+0.000746584j -0.0144566+0.000763523j -0.00676857-0.00846031j -0.00213475+0.00103657j -0.00287855+0.00353326j 0.000806183-0.00170591j 0.00628089-0.0027041j 0.0139543+0.00264411j 0.011195-0.00456155j 0.00512235-0.00789273j -0.00239347+0.00174084j 0.00156124+0.00302439j 0.0122871-0.00165774j 0.00816812-0.00212934j -0.010009+0.00270544j -0.00495966+0.000263626j -0.00402123+0.00525274j -0.00523413-0.00734047j 0.00939928-0.0053772j 0.0102416-0.0024409j -0.0152834+0.00822263j 0.00291874-0.00292981j -0.0181392-0.00129205j -0.0043347+0.00868795j -0.00791858-0.00501055j 0.0190882-0.00337718j -0.00725758+0.00509781j -0.00270072+0.0176249j -0.0280058-0.0193885j -0.0205222+0.0092035j -0.00721265-0.00845263j 0.016652-0.00509507j -0.0219988-0.000228018j -0.00242491+0.00921858j 0.022136+0.00757035j 0.0192346-0.00161784j 0.00706266+0.00860224j -0.00427338-0.000559639j 0.00202343-0.00342428j 0.00646774+0.0118285j -0.00347504-0.0254109j -0.0168637-0.0117119j -0.00145242-0.0155829j -0.0234209+0.0169876j 0.0244215-0.00525199j 0.0129238-0.00864547j -0.0104432+0.0116721j -0.00613178-0.0104341j -0.0243938+0.00201909j -0.00539098+0.0119384j -0.00336082-0.00843531j 0.00425863-0.0106373j 0.00514732+0.0178766j 0.0210021-0.00804229j -0.00689013-0.0121211j -0.000392712+0.0111073j 0.00273656+0.0101979j 0.00032459+0.0124804j -0.00496363-0.0046276j 0.011994+0.00113549j -0.00220088-0.0093897j -0.00962375-0.00251278j -0.00607559-0.00306917j 0.00126125+0.0017113j 0.0079989-0.00130227j -0.00752064+0.0130551j 0.0057568+0.00721274j -0.00950353-0.00802534j -0.00643926-0.00152921j 0.00389627-0.000493341j -0.00664203+0.00181659j -0.0074681-0.00398507j -0.00195856-0.00320738j -0.00209253-0.00131438j -0.0104403-0.00236178j -0.00531881+0.00583445j 
-0.00405426-0.0019616j 0.00175734-0.00431138j -0.00152867-0.0026528j -0.000750518+0.00288214j -0.00071323-0.00342033j -0.00505008-0.00305186j 0.000738324-0.00108622j 0.00439225+0.00231583j -0.00569994-0.000774405j 0.00255258-0.00238204j -0.00401651-0.000916924j 0.0122179-0.00507386j 0.00588331-0.00209181j 0.00829816-0.00845698j 0.00226833-0.00681113j 0.00709295+0.00167126j 0.0085765+0.00586197j 0.00522441+0.00449846j 0.00671761-0.0101967j 0.0104105+0.000207687j 0.000810591-0.00221684j 2.04108e-05+0.00724292j 0.00137985-0.007023j -0.00692029-0.0017246j -0.000290116-0.00145681j -0.0103706+0.0118904j -0.00137466+0.00292621j 0.00411203-0.00945684j 0.00270988+0.00260878j -0.00523982-0.00553209j 0.00490292+0.00514054j 0.00803188+0.0012802j 0.00725625+0.00116265j -0.00629374+0.00669398j 0.00125507-0.0029959j 0.0065589-0.015019j 0.0211596+0.000272842j 0.00382605-0.00368331j 0.0243876-0.000854522j -0.0111931+0.00560104j 0.00475825+0.00457568j 0.0108255-0.0157828j 0.0115616-0.00281798j -0.0051443+0.0155026j 0.00726778+0.0164226j -0.0128339-0.00511462j 0.0265932-0.00666586j 0.00202817+0.0121642j -0.00295511+0.0165659j -0.015043-0.013771j -0.0296143+0.0177874j -0.03043+0.032141j -0.00563277+0.0132486j -0.00186916+0.00174072j 0.0150197-0.00774839j 0.00571026-0.0104552j -0.00640002-0.00850452j 0.00277299-0.00495699j -0.0114073+0.0104853j 0.0152692+0.010317j -0.00926876-0.000319217j 0.00906757+0.00480592j 0.0133059-0.0134406j 0.0144256+0.0195724j -0.00151553-0.00154241j -0.00267636+0.0224908j 0.00986345+0.0244136j 0.00278208-0.000511733j -0.0123516-0.00437567j 0.023808-0.00758458j 0.0160128+0.00373532j 0.0127094-0.0149168j 0.0038791+0.0106437j -0.00748581+0.0217502j -0.0107326+0.0188016j -0.00178998+0.0229492j 0.0169332+0.00745866j -0.0161747+0.000248381j 0.00739224+0.00441349j -0.0163186-0.00439211j 0.0185525-0.0110185j -0.0224973-0.0124346j -0.00384291-0.0105252j -0.00783734-0.00471328j -0.00947727-0.00897829j -0.00302495-0.000977295j 0.00388794+0.00141574j 0.00152339-0.00736891j 0.00532172-0.000369143j 0.00435531+0.00181455j -0.00273458-0.00743901j -0.00469842+0.000803846j 
-0.00032924-0.00142202j 4.64712e-06-0.00232493j 0.00105272-0.0011571j -0.000174301-0.000433792j -0.00411105+0.000547531j -0.00483421-0.00313401j -0.00303207-0.00469206j 0.00405106+0.000441289j -0.00161343-0.00031064j 6.25413e-05-8.8907e-05j 0.000970048-0.0107429j 0.000425507+0.00192489j 0.000416298-0.000338017j 0.00425733-0.000305469j -0.0085321-0.0034615j -0.00432876+0.00114675j -0.00234319-0.00436024j -0.00194019+0.006715j -0.000663502-0.00885137j 0.00195192+0.0018259j 0.00965333+0.0174315j -0.00546265-0.00561853j -0.00344664+0.00216056j -0.000920336+0.00575765j 0.00471382+0.00759728j -0.00479796+0.00764442j 0.00361526+0.000534972j -0.00297571-0.00559556j -0.00421332+0.00677806j -0.00778156-0.00902781j -0.00299132-0.00164528j 0.00978469+0.00691646j -0.000221031+0.00420214j -0.00058904-0.00569j -0.00502956+0.000663404j -0.00039052-0.00360541j -0.0081046+0.0025839j 0.0061571-0.00302404j -0.0170492+0.00720201j -0.00297858+0.00189843j -0.0105591+0.00922468j -0.00545-0.00387694j 0.0114923+0.000705178j -0.00407952+0.00611642j -0.00594071-0.00150133j -0.0114618-0.0136336j -0.0135618-0.00574007j 0.00989779-0.000618752j 0.000442755-0.0214939j 0.0127437-0.00489188j -0.00211814+0.0124492j -0.0189427+0.0121444j 0.00659276+0.00978293j -0.00299305-0.0074241j 0.00321616+0.0115632j 0.0166812+0.00783352j 0.0316055-0.00160821j 0.0161923+0.00216333j 0.0087967-0.011139j -0.0217457-0.00691998j 0.0151164+0.0080643j -0.00404672+0.00850832j 0.0106879-0.014981j -0.0418366-0.00222368j 0.0384481+0.0300442j 0.0131013+0.0488234j 0.0183924-0.00582142j 0.04293+0.00720055j 0.00490721+0.0152524j -0.00107725+0.0198834j -0.0116431-0.00424238j -0.0120607+0.00421158j 0.00681295-0.0014988j -0.0115495-0.0116067j 0.0104232+0.0140063j -0.0081013+0.0131202j 0.00462353-0.00240867j 0.0208826-0.00114725j -0.00694598-0.00681484j -0.00354001-0.00283828j -0.00597653+0.0142616j 0.0246331-0.00662223j 0.0103242+3.11854e-05j 0.022577+0.00378664j 0.00616146+0.00664113j 0.0176788-0.00477465j 0.0176124+0.0231274j -0.0247379-0.00338158j 0.00632607+0.00168588j -0.00103136-0.00269575j 0.00355809-0.00654235j -0.000586978-0.0105337j 
0.000715503-0.00296168j 0.000694677-0.000560837j -0.0013911-0.00162372j 0.000281135+0.00985901j -0.00356878-0.0019399j -0.00113384-0.00500615j -0.00515456+0.012213j 0.00263928+0.00890652j 0.00607523+0.00390409j 0.00452113-0.00626855j -0.00325079-0.00120815j 0.0024815+0.0048786j 0.000711839+0.00330996j -0.00558259+0.00418081j -0.00272309-0.0109932j 0.00223377+0.00144579j 0.00470498+0.0068562j -0.00981573-0.00139834j 0.000712928+0.00613202j 0.00614248-0.00774665j -0.00476605+0.00654371j -0.00258721+0.00199727j -0.00401766-0.000929282j 0.00317162-0.00410392j 0.00494052+0.00466602j -0.00401765+0.0062587j -0.000855785-0.00248598j 0.000567114-0.00243766j 0.0095133-0.017696j -0.00572742+0.00141787j 0.00133487-0.00559317j -0.0110285+0.0146014j 0.00902805-0.000542862j -0.000433206-0.00428825j 0.00273119+0.00141244j -0.00942479+0.00598564j -0.00466979+0.00130737j -0.0070085-0.00309495j -0.00935507+0.00390701j 0.00100365+0.00201327j -0.00229648+0.0136707j 0.0148176+0.00161754j 0.00675767+0.00836838j 0.00494916-0.00210034j -0.000214389-0.00364356j 0.00342466-0.0249845j -0.0249059-0.00366477j 0.0051816+0.000707424j -0.00726475+0.000161882j -0.0131272+0.00386961j 0.0147777-0.000687119j 0.0341333-0.00295845j 0.00582499-0.00514569j 0.000294163-0.021886j 0.0134696-0.0174396j -0.00306667+0.00557213j -0.017348+0.0112123j 0.0248631+0.00488452j -0.00993668+0.0207563j -0.0281203-0.0228515j 0.0193834+0.00876702j -0.0175262+0.00570087j 0.00888974+0.00278713j 0.0126707+0.0355137j 0.00824085+0.0133187j -0.0149696-0.0450367j 0.0191463+0.00692516j 0.0103056+0.00813595j 0.0106125-0.00979536j 0.00441826+0.0249148j -0.000294319-0.00343798j -0.00746083-0.0018434j 0.00310351+0.00451732j 0.0148869+0.00913874j 0.00818267+0.0154145j 0.0256426+0.0160316j 0.0108737+0.00274595j -0.0244676-0.0015109j -0.00640652+0.00789582j 0.00775009-0.0136547j -0.00502351-0.0242707j 0.0080857-0.00345454j 0.00770857-0.00182937j 0.00534508+0.00381097j -0.0127671+0.0115052j -0.015391-0.00604836j -0.00270901+0.004603j -0.00948569-0.00206596j 0.00652949+0.00483483j 0.0115465+0.0167203j 0.00222934-0.012723j -0.00795724+0.00460974j 
