-0.000531215+0.0312301j -0.0307154-0.000770861j -0.0174597+0.0220678j 0.0225987+0.0175288j -0.000334441+0.00578856j 0.0077098-0.00184945j -0.0028385+0.00774327j -0.00653905-0.00474699j 0.00245237-0.00740673j 0.00567492-0.00288058j -0.0020373+0.00487498j -0.0042392+0.00862843j -0.00960024+0.00640997j 0.0144371+0.00604081j -0.0018487-0.00166853j 0.00120069-0.0125309j 0.00206534-0.00275378j -0.00380483+0.000876885j 0.00645453-0.00213405j 0.000592686-0.00178859j 0.00156586-0.00962883j -0.00267632-0.00168375j 0.00133779-0.00592841j 0.00341076+0.00615567j -0.0034076-0.00216723j 0.000461908+0.00258994j 0.00045727+0.00282282j -0.00371819+0.000105599j 0.00870312+0.00524354j 0.00470467-0.00466431j 0.000565655-0.00518154j 0.00702073+0.00771816j -0.00420085-0.002107j -0.00115019-0.00188593j 0.00161821+0.00636087j 0.0120118-0.000394015j -0.00853429-0.00156803j 0.000273983-0.00177415j -0.000874785+0.00586361j -0.00219491-0.000915115j -0.00356501+0.000139041j 0.00398535-0.00406131j 2.02973e-05-0.00646376j -0.000889431-0.00259809j 0.00755391-0.000731094j 0.0126418-0.00312686j -0.000372911-0.00151835j -0.0023148-0.00415504j -0.000781142+0.00039731j 0.00629651-0.00582384j -0.00128465-0.0077016j 0.00890399+0.00092836j 0.000810187-0.00547421j -0.00338995-0.00966044j 0.00324672+0.00216166j 0.0031062-0.00791557j -0.00417513-0.0092781j -0.00609495+0.00140617j -0.00886883+0.00147921j 0.000431433-0.00215804j 0.00494753+0.00291941j -0.000485243+0.00755099j 0.00335543-0.00252767j 0.00580197-0.00189433j 0.000771949+0.0100915j -0.00945977+0.00582747j -0.00548762+0.00183426j 0.00135277-0.00216118j 0.00321442-0.0127967j 0.0108336+0.00607593j -0.000179935-0.00378772j 0.0134163+0.00693648j 0.00386734-0.0105551j -0.0263355+0.000117581j -0.000920659-0.0259356j 0.020761-0.0212165j -0.0216584-0.0205178j 
0.00446502-0.00803648j 0.00754102+0.0049851j -0.00203294+0.00262781j 0.0020021+0.0018525j -0.00345691+0.00755356j 0.00943863+0.00545531j -8.02289e-05+0.00292036j 0.00214433+0.00130577j 0.00431843+0.00436116j -0.00351495+0.00493931j 0.00260453-0.00459082j 0.00191399-0.00225961j 0.00285504-0.000877185j -0.00506914+0.00175031j -0.00104963-0.00405969j 0.005608+0.00323962j -0.00329692+0.00965547j -0.00780977+0.00260461j -0.00616805-0.00261499j 0.00882787+0.0107209j 0.00444558-0.00616514j -0.000204448-0.00602422j -0.00040254-0.00425459j 0.00629987+0.00268881j -0.00317862-0.000513499j -0.000239135-0.00350413j 0.00405355-0.00183575j 0.000760124+0.00616435j -0.00018262+0.00162809j -0.00249976-0.00355235j -0.00103643-0.00291484j -0.00197855-0.00770774j -0.00211911+0.00551289j 0.00830245+0.00610935j 0.00327771-0.00544747j 0.0136334-0.00284789j 0.00060966+0.000510023j 0.00435865-0.00216614j 0.00459135-0.00687486j -0.0027327+0.000884642j -0.003129-0.00220477j -0.00185155+0.000922766j 0.0044782+0.00243865j -0.00527677-0.00530575j -0.00285314+0.0122523j -0.00379496-0.000998082j 0.000821055+0.000596386j 0.00269909-0.0025455j 9.67683e-05-0.0034264j -0.00966391-0.00220908j -0.00693027+0.00241943j -0.0120694+0.00241988j -0.00446005-0.00356937j -0.0068094+0.00342091j -0.00322674-0.00217162j 0.00287402-0.0124347j 0.00466428+0.00906458j 0.00796255-0.00757168j -0.00179257-0.00281053j 0.00215698-0.002374j -0.0023779-0.0104946j -0.00444774-0.00617131j 0.0055922-0.00583581j -0.0112261+0.00758252j 0.00236038-0.00118086j 0.00183273-0.00935724j -0.00137693+0.00248596j -0.0025638-0.00187583j 0.0047845+0.00576545j -0.00190277-0.0021532j 0.00454579+0.00322444j -0.00596639-0.0013163j -0.0047772+0.0024789j -0.00244958-0.00535182j 0.00429379-0.00223414j -0.00735164+0.00329796j 0.0035655+0.00675204j 
-0.00250294+0.00277501j -0.00289848-0.00274223j 0.000287852+0.0123177j 0.0119834-0.000169918j -0.00162557+0.00241265j -0.000923768+0.00220956j -0.00175788-0.00140592j -0.000923394-0.00193168j -0.00167445+0.000830333j -0.000529916-3.23987e-05j 0.00229399+0.00326186j 0.000770459-0.0052388j 0.00952307+0.00290038j -0.00410456-0.00499201j -0.0052399-0.000726745j -0.00151317+0.000488855j 0.00220591+0.0051735j -3.72457e-05-0.00173478j -0.00628775+0.00254428j -0.00723108-0.0082174j 0.000897412-0.00197745j -0.00998728-0.00650686j -0.000241767+0.00044829j -0.0082119+0.000570536j -0.00332024+0.00143237j -0.00414407-0.00204045j -0.00216291+0.00410954j 0.000641183+0.00116944j 0.00233498+0.00138685j 0.00386248-0.00516305j -0.00310911+0.00368706j -0.00101147-0.0055579j -0.00226752+0.00449528j -0.00226366-0.00551757j -0.00185401+0.00633145j 0.00118435-4.27973e-05j -0.00219099+0.000785115j -0.00766934+0.0007595j -0.0031074-0.00655874j 0.00327461-0.00435448j -0.00204937+0.000812155j 0.00176933+0.00310228j -0.000468489-0.0082409j -0.000469967-0.00100483j 0.0036678-0.0031674j 0.00492165+0.00169939j -0.000858258-0.00064425j -0.00190911-0.0041769j -0.00337458+0.00315846j -0.000403895-0.00135682j 0.00072755+0.00225254j 0.00250289+0.00582285j -0.00128606-0.00147839j 0.000243293-0.00409934j -0.00157875+0.000614441j 0.00930477-0.00121164j 0.000270146-0.00703736j -0.00676618+0.000103132j 0.000811782-0.00092321j 0.00448833+0.00162157j 0.00283525+0.00275504j -0.00085069-0.00263921j -0.00105516-0.00294426j 0.00294304+0.000390681j -0.0012291+0.00245869j 0.000480163+0.00129815j -0.006088+0.00303429j -0.00127494-0.00253618j 0.00601018+0.00479894j -0.00365867-2.98598e-05j 0.00426594+0.00109642j -0.00698548+0.003417j 8.4297e-05+0.00723844j -0.00897821+0.00813367j -0.00949529-0.00832113j 0.00177693+0.00369876j 0.00362193-0.00186543j 
-0.0049451-0.00951397j 0.00926044-0.00411026j 0.00423232+0.00445962j 0.00400116-0.0029787j -0.0113695-0.000607634j 0.000606419+0.0147279j -0.00687025-6.47465e-05j -0.00108197-0.00287983j 0.00946455-0.00291579j -0.00348012+0.0102001j 0.00606536-0.00400447j 0.00463326+0.00991243j -0.00574139+0.00114851j 0.00446032-0.00205932j -0.0017848-0.00717621j -0.00601071+0.00448453j 0.00308266-0.00595038j 0.00251868+0.00678379j 0.00441159+0.0064565j 0.00275885+0.00295377j -0.00321808+0.00857969j 0.00805848+0.000406265j 0.00208794+0.00124733j 0.00260899-0.00347072j 0.00630437+0.00815133j -0.0159044-0.000587595j -0.00158166-0.00733304j 0.00641558+0.00655285j -0.00148541+0.00219402j 0.00580572-0.0055864j -0.00511956+0.00711221j -0.00149289-0.00118721j 0.00344725-0.00536022j 0.00472027-0.00116262j -0.00587297-0.00695864j 0.00223556-0.000677576j 0.000655986-0.00623384j -0.0042239+0.00490942j -0.000847241+0.00176723j 0.0045938-0.0058243j 0.00852172+0.00462267j -0.00327034+0.00364408j -0.000718606+0.0076886j -0.00459055+0.000363477j -0.00942684-0.0055024j -0.00977068-0.00224345j 0.00252017+0.00308686j -0.000608601-0.00053898j -0.0029008-0.00460568j 0.00239271+0.00338153j -0.0049187+0.00859469j -0.00363092+0.0024895j -0.00314643-0.000708953j 0.00534418-0.0053649j -0.0065801-0.00440359j -0.00158032-0.00666255j -0.00599268+0.00496141j 0.00725689-0.0058851j -0.00455196+0.00410268j -0.00338745-0.00742992j 0.0121499+0.00116634j 0.00100687-0.00947022j -0.0027834+0.00193131j -0.00610685+0.00436696j 0.00634861-0.00447363j -0.000323901+0.00130034j -0.00312565-0.00275808j -0.000669824-0.00865558j -0.00701827+0.00279683j -0.00687093-0.00421752j 0.00626287+0.00251969j -0.0111224+0.00669042j 0.00934887+0.0085204j 0.00399784+0.00366221j -0.0016885+0.00385773j -0.00543986+0.00367801j 0.00375084+0.00466068j 
-0.00934336-0.0162706j 0.0168189-0.00983473j 0.0132151-0.00803771j -0.00622475-0.012176j -0.00991657-0.0011391j -0.00526924+0.00492784j 0.00715159-0.00716837j 0.00590373+0.0122358j -0.000769225-0.00804263j 0.00493646+0.005953j 0.00109358+0.0010917j 0.00097958-0.0108026j 0.00456812-0.00949306j -0.00285601-0.00869177j 0.00225727+0.00231254j 0.00913808+0.0037006j -0.00988886+0.00343644j -0.00182809-0.00603808j -0.00133961+0.0010429j 0.000387829+0.0035863j -0.00204339-0.00303509j 0.0163089-0.00815868j 0.00248763-0.00442653j 0.0109386+0.00410526j -0.00136781+0.000680374j -0.00284417+0.00151939j -0.000793664-0.00427838j 0.00505817+0.0099514j 0.00437222+0.00360943j 0.0092338+0.00255103j -0.00379022+0.0102396j 0.00397916+0.00131674j 0.00287988+0.00435145j 0.00476225-0.00282562j -0.000582796-0.0105226j 0.00088479-0.000407939j 0.00742121-0.000490119j -0.0119586+0.00717493j -0.00225529+0.000796519j 0.00398703+0.00443549j 0.00138286+0.00254208j 0.000456266+0.00080073j 0.00224911+0.00492977j -0.00568654-0.00970272j -0.0139802+0.000380293j -0.00191761-0.00238875j -0.0067079-0.00570426j 0.00308725-0.000458202j -0.00329367+0.00212257j -0.0136994+0.00280023j 0.00138881+0.0063253j -0.0111732-0.00412735j -0.000462883+0.0110347j 0.00313964+0.0115975j -0.00830245+0.003219j 0.00761733+0.004394j 0.00185041+0.0022701j -0.00358144-0.00011333j 0.00821651-0.00360751j -0.00220221-0.00624638j -0.000506719-0.00148989j 0.00648954-0.00843433j -0.00491522-0.00289319j -0.0100973-0.00681894j 0.00545915-0.000939133j 0.0110396+0.00563078j -0.0011476-0.00163293j -0.00266412+0.00107765j -0.00704225+0.00866491j 0.00367342-0.00311105j 0.00381539+0.00908354j -0.00864201+0.000184773j -0.00612182-0.00241947j -0.00314668+0.00792794j -0.0103205-0.00518367j 0.0052417+0.013265j 0.0127321-0.00473076j 
-0.000974954+0.00629065j -0.00624548-0.00020976j -0.00727796-0.00487901j -0.00535345+0.00871816j -0.00120624+0.00339867j 0.00448362-0.00112462j 0.00264143-0.000964424j 0.00133528-1.94897e-05j 0.00503379-0.00239019j 0.00156731-0.00499163j -0.0143672-0.00245864j -0.00204323-0.00237154j -0.00103128+0.00256554j 0.00820316+0.0104094j 0.00341234-0.0048101j 0.000819825-0.00379782j -0.0066005-0.00515864j 0.000391247-0.0115964j -0.00483577-0.0062986j -0.00719742+0.00491451j 0.00374285-0.00932786j -0.00302861+0.00346092j -0.00219378-0.00486855j 0.0022877+0.000593499j -0.0169652-0.00446672j -0.00312131+0.00187075j 0.00368265-0.00124688j 0.000761082-0.00101739j 0.00664339-0.00730438j -0.0012086-0.00471281j 0.0154806+0.00995153j -0.00181433+0.000677163j -0.00517583-0.00295005j 0.00166585+0.0121131j 0.00494083-0.0100078j 0.00355629-0.00704031j 0.00110509+0.00225109j 0.00442232-0.00842394j 0.00123873-0.00254995j -0.00945958+0.00137836j 0.000781885-0.00751309j 0.00044918-0.00173093j 0.00333041+0.000251557j 0.00442208-0.00351833j -0.00616411-0.000853214j -0.000926739+0.00147724j 0.00417471+0.0103478j -0.00644883+0.00949228j -0.000471279+0.00126476j 0.00429112-0.000707027j -0.00616201-0.000606536j -0.00150231+0.0015392j -0.00072429-0.00112471j 0.00127413-0.00425262j 0.00264359-0.00811802j -0.011209-0.00047104j -0.00584696+0.00550974j 0.00240659-0.00751405j -0.000883138-0.00157846j -0.00350985-0.000771949j -0.00432598+0.0112887j 0.00558775+0.00985361j 0.0080267+0.00332589j 0.0143526+0.00526215j 0.00734275-8.50108e-05j -0.00216764+0.00750777j 0.00478657+0.00960472j -0.00346127+0.00427948j 0.000975945-0.0109889j -0.00801697+0.000680648j -0.00548338-0.012559j 0.00693475-0.00504176j 0.00438316+0.000600629j 0.00684813-0.000390652j 0.00338886+0.00725338j -0.00155257-0.00696121j -0.00707488+0.000904226j 
-0.00013358+0.00187641j -0.00137418-0.000160545j -0.000768854-0.0130332j -0.0122192+0.00115307j 0.00457819+0.000474688j -0.000612982-0.00897813j 0.00512153-0.00457526j 0.00466632+0.00116135j 0.00132533-0.0010204j -0.000449698+0.000963531j -0.00339739+0.00571484j -0.0045845+0.00292699j -0.00322407-0.00112517j 0.00947982+0.00401486j 0.00248354+0.0028678j -0.00376079-0.00410988j 0.000651391-0.00997499j 0.00416138+0.00379434j 0.00385288-0.00257124j 0.00342109+0.000374812j 0.00632772+0.0061704j 0.00866389+0.000702419j -0.00323814+0.000321667j 0.00528091-0.00343537j 0.00619291-0.000741282j 0.0027002+3.59137e-05j -0.00311247-0.00534861j -0.00263922-0.0108164j 0.000301668-0.00086337j -0.00283779+0.00802493j 0.00523898+0.00190744j 0.00363197+0.00628897j 0.00518871-0.00208438j -0.00419996-0.00385027j -0.000734554-0.00332194j -0.0138847+0.00413074j 0.00122419-9.91181e-07j -0.00186368-0.00246915j 0.00340825+0.0108607j 0.00115701+0.0031672j 0.0023484-0.00260849j 0.00207307-0.00287091j -0.000231143+0.00326509j -0.000484406+0.00466406j -0.0018855+4.49745e-05j 0.00188411-0.00282439j -0.00230514+0.00172453j 2.56291e-05+0.00482515j -0.00283611-0.00162903j 0.00492258+0.000177093j 0.00387311-0.00273547j 0.00806247-0.00545863j 0.00521448+0.000109097j 0.00333007-0.00145477j 0.000309333+0.000824914j -0.00537341+0.0117497j -0.00187968-0.00730151j 0.00227578+0.000875849j -0.0025978+0.00677438j -0.00369951-0.000634619j 0.00215495+0.00652384j -0.0025405+0.00877591j -0.00136438+0.00659486j 0.00435715-0.00619183j -0.00242493-0.00463178j -0.00488234+0.00793078j 0.00635008-0.00742189j 0.001214+0.00600252j -0.00150421-0.00245933j -0.00233142+0.000323383j -0.00661174-0.00478848j 0.0047532-0.00740109j -0.00188494-0.00144355j 0.0115346+0.00106812j 0.000463874+0.010872j 1.16954e-05-0.00502287j -0.00529507+0.000246041j 
-0.00377077+0.00465248j -0.0045326-0.00348099j -0.00326887+0.00397392j 0.00450578+0.00394766j -0.00304589-0.00835688j -0.00996291+0.00193838j 0.00404287-0.00584391j 0.00154213+0.00557525j 0.00360203+0.00446179j -0.00730272+0.00623453j 0.00199602+0.00316973j 0.00783281+0.00552298j -0.00177682+0.0116903j 0.00650315+0.00179289j -0.00937462-0.00336985j -0.00441132-0.000639839j -0.00179608+0.00430834j -0.0056708+0.00257159j 0.00121196-0.00535502j 0.00783593+0.0121088j 0.0115958-0.0101803j -0.00679618+0.00346857j -0.00478698+0.00525398j 0.00443471+0.00363873j 0.00029518-0.00390801j 0.00573487+0.00653025j -0.005287+0.00247195j -0.00563191-0.00671711j 0.000649626+0.00432586j -0.0122354+0.00330185j 0.00602753-0.00541258j -0.00766561+0.00544741j 0.0036906-0.000565658j -0.00225789-0.000295293j 0.00380205+4.02246e-05j 0.00508659+0.005608j -0.00514087+0.00372888j 0.003166-0.00576077j 0.000915488-0.000677798j -0.00281307-0.000153262j -0.00819338-0.00436611j 0.0122666-0.00414719j -0.00377709+0.00437289j -0.000815317+0.00716131j 0.00482738+0.00632871j -0.00447134-0.0127794j 0.00825126-0.000178884j -0.00798457+0.00320336j 0.00512817+0.00403196j 0.00169077+0.00232772j 0.000148724-0.00463513j 0.000357706-0.00283557j 0.000633855-0.00118794j -0.00404059-0.00596303j 0.00759746-0.00606713j 0.0039378+0.000909953j 0.00244691-0.00560267j 0.00216937-0.00282429j -0.00303228-0.00251201j 0.0020382-0.00188309j -0.00651169-0.00806138j -0.0087276+0.00270862j 0.00698149-0.00396756j 0.00599196-0.00291432j -0.00106761-0.00178475j -0.00527012-0.00192478j 0.00911624-0.00480087j 0.00013694+0.00685617j -0.00233535-0.00651277j 0.00450175-0.00117312j 0.00125632+0.0069126j 0.000471484+0.0029135j 0.00947197-0.00547951j -0.00659785+0.00272078j -0.000656196-0.0090699j 0.00770008-0.00651625j -0.00653432-0.00807753j 
-0.00531722+0.0146287j -0.0149862-0.00556758j -0.000373932+0.0118736j 0.0106103+0.000647542j -0.00485925-0.00455221j -0.00223045+0.00447384j 0.000171182+0.00728425j -0.00713065+0.0021919j -0.00325631+7.08176e-05j 0.00926088-0.0133721j -0.00709857-0.0134638j 0.00610708+0.00123933j -0.00230313+0.00719694j 0.002251+0.00700497j -0.00511063+0.00103522j 0.0106412+0.00312764j -0.00480367+0.0112525j -0.00594711+0.00173583j 0.00129935-0.00667389j 0.00296932+0.00715591j -0.0034531-0.0140909j -0.00634733-0.00268922j 0.00120921-0.00906006j -0.000402161+0.00876786j -0.00558703-0.000531022j -0.00194879+0.00591923j 0.00676539+0.00590335j 0.00333167+0.000578204j 0.0115127+0.000841989j 0.00207488+0.00054056j 0.0050439-0.00131833j 0.0030394+0.00325236j -0.0102146-0.00752878j -0.00476585+0.00137712j -0.00195063+0.00757773j 0.0136489-0.00750249j 0.00244887+0.0100941j -0.00670549-0.000857913j 0.00138934+0.00664992j -0.0019989-0.00450971j -0.00780623-0.00257836j -0.00453634-0.00584843j 0.000253577-0.00509632j 0.00400893-4.90233e-05j -0.00214526-0.000411462j -0.00709899+0.00287258j -0.0104731-0.000932662j 0.000417673+0.00112389j -0.00240689+0.00732606j 0.00456617-0.00736438j 0.00339164+0.00756796j -0.00335615+0.0084013j 0.00043325-0.00718397j -0.00490972+0.00059403j -0.00481998-0.00402194j 0.00609819-0.00477543j -0.00130743+0.00271071j -0.00350815+0.00237282j -0.0104665-0.0109338j 0.00727045+0.000462946j -3.83371e-05+0.0064696j 0.00816752-0.00906282j 0.0094943-0.0102555j -0.00222609+0.000601188j 0.0140113+0.00898992j -0.00272147+0.00831523j -0.00510118+0.00721108j -0.0101954-0.00524712j -0.000689926-0.00228412j 0.00303017+0.00111407j -0.00293969+0.0006613j 0.00810746+0.000307223j 0.00737384-0.00469682j -0.0115776-0.00169479j 0.00369139-0.0117135j 0.0102162-0.00476099j -0.00421308-0.0103892j 
0.00679056+0.000490091j -0.000452676+0.00667997j -0.00655768+0.000641741j 0.000996027+0.00546355j -0.000903985+0.00556624j 0.00706656-0.000450241j 1.49846e-05+0.00359928j 0.00055758-0.00187633j 0.00152656-0.00296427j -0.00212939+0.00421463j -4.60081e-05+0.0077925j -0.00683648-0.00510564j -0.001394-0.00397946j -0.00153727-0.000935412j 0.0156666-0.00344376j 0.00400489-0.00894886j 8.34339e-05-0.00873128j 0.00204777-0.0144244j 0.000248333+7.96773e-05j -0.00663082-0.0114794j -0.0128424+0.00121569j 0.00242116+0.00100747j 0.00885539-0.00183536j 0.00145228-0.00428798j -0.00551796-0.00575883j 0.00510915-0.00593603j 0.00236266-0.00330343j -0.00568913+0.00923579j 0.000630563-0.00990958j 0.0116114-0.00220126j 0.000539601+0.00372271j 0.00545761-0.00418353j -0.00091259+0.00136553j -0.000383512+0.00657694j 0.00112693+0.000570079j -0.000796441-0.00201529j -0.000770818-0.00185177j 0.0134978-0.00547224j 0.00449993-0.00695005j -0.00223279-0.000818474j 0.00678803+0.00607187j -0.00714729-0.00157833j 0.00138429-0.00294742j -0.000976835+3.95528e-05j 0.00311783-0.00207189j 0.00521068+0.004876j 0.00336455+0.0112357j -0.0068241+0.00036407j -0.00243951-0.0128619j -0.00580888+0.00457251j -0.0111207-0.00875867j -0.00289821-0.00290384j -0.0015082+0.00265191j 0.00624515+0.00150847j 0.0113633-0.0022237j -0.00861141-0.00274258j -0.0047578-0.000945607j -0.00101418+0.00100106j 0.00708384+0.00784805j -0.00684928-0.00329688j -0.00396487+0.00275811j 0.00406468+0.0105298j -0.00764243+0.00504729j 0.00728545+0.00972515j -0.00632682+0.00260803j -0.00183721-0.0016165j -0.00135764+0.00718866j -0.00985066+0.00095165j -0.00638816+0.00836965j -0.00468668-0.000559079j -0.00158229-0.0080578j 0.00721026+0.00246373j 0.00289516-0.000970139j -7.62897e-05-0.0054432j 0.00611895+0.000827392j -0.00132048+8.0318e-05j 0.000369944+0.00165678j 
0.00100917-0.0131478j 0.0134593+0.000904729j 0.00416417-0.0115744j -0.0113096-0.00407283j -0.00180134+0.00758384j 0.00982717+0.000274412j -0.000237372+0.00100999j 0.005764-0.000439639j 0.00682533+0.00478828j -0.00309897+0.00780152j -0.00165688+0.00604133j -0.0107619-0.0106372j 0.00332925-0.00583956j -0.000823617+0.00778702j -0.00824253+0.00366297j -0.00371147+0.00330602j -0.00445277+0.000182679j 0.00542558+0.00825686j -0.00307915-0.00997293j 0.00116278+0.00584091j 0.0206152+0.00399357j 0.0107413-0.0078974j -0.00527387+0.00548858j 0.00638554+0.00257381j -8.35025e-05+0.000692212j 0.00229992+0.00199723j 0.00251527-0.00287841j -0.0023869-0.0085164j -0.00257766-0.000484367j -0.012081+0.00710593j 0.00270986+0.0084339j -0.00195034-0.00233997j 0.0120175-0.00923188j 0.000824362+0.00642614j 0.00668801-0.016355j -0.00172234+0.000131322j 0.00542497-0.00180162j 0.00520309-0.00474981j 0.00142215+0.00101742j -0.00837231+0.000514966j -0.00517159-0.0101799j 0.00760474+0.00879995j 0.00701539+0.0115605j 0.00599998-0.003234j -0.00704957+0.0100858j -0.0104223-0.00268389j 0.00302788+0.000772068j 0.00242096-0.00430199j 0.00217859-0.00233836j -0.00123871-0.00169643j -0.00162205-0.00441967j 0.0027054-0.00632246j -0.000460949-0.00208657j 0.0046344+0.00254936j -0.00177465-0.00558085j -0.0085912+0.00109411j 0.00398148+0.00550755j 0.00265483-0.00171359j 0.00134087-0.00109541j 0.00604001+0.00817112j -0.00308859-0.00332645j -0.0016739+0.00918726j 0.00585043-0.012621j -0.00259485-0.00352296j 0.00582431-0.00976057j 0.00772164+0.0124273j 0.000675254-0.00516832j 0.00479769+0.0120964j 0.00040643+0.000907488j 0.00215769-0.0039462j 0.00673525+0.0083646j -0.0103467+0.00220843j -0.000512158-0.000338947j 0.00862168+0.00320825j -0.00459712+0.00624903j -0.00810919+0.00265376j 0.00232163+0.00821087j 
0.00607136-0.00290451j 0.00273993+0.0057659j -0.000486744-0.00169447j -0.00131812-0.000546327j 0.00510252+0.0010878j -0.00029174-0.0015856j -0.00487103+0.00130231j -0.00234078-0.00614368j -0.00547102+0.000960475j -0.00439408-0.00505047j -0.00400068+0.00736834j -0.000300451-0.00803194j 0.00640632+0.00318235j -0.00763908-0.00395307j 0.000667283-0.00149037j 0.00305996-0.00072987j -0.0112542+0.0110907j -0.000295246-0.0144841j -0.0096807-0.0118189j -0.00622563-0.00167542j 0.00842004-0.00201739j -0.00877361-0.00539269j -0.0033361+0.00068668j -0.00327602-0.000482481j -0.00897244-0.0133789j 0.0161864+0.00264115j 0.00288504+0.00369683j 0.0011198-0.0066977j -0.000923331-0.00258526j -0.00616185-0.00326839j 0.00454223+0.00133628j -0.00265569-0.00410102j -0.0066484+0.0101656j -0.00436428+0.00359397j 0.00401666+0.000744196j -0.00409479-0.00293346j -0.0082102+0.00166874j 0.000265977-0.000729619j 0.000472542-0.00462669j -0.00407377+0.002565j -0.00301567-0.00721353j 0.00655499-0.00220409j 0.00334683-0.00536958j -9.08503e-05-0.00593853j -0.00183296+0.00566512j 0.00762132+0.00131671j 0.00368096-0.00523207j -0.00357024+0.00396278j 0.004312+0.00230508j -0.00779799-0.00532199j 0.00476834-0.000782964j 6.8447e-05-0.00162742j 0.00234857+0.00249468j -0.0125992+0.00487388j -0.00273626+0.00343821j 0.000318723+0.00702386j 0.00958708+0.000524572j 0.00144493-0.00190531j 0.0090021-0.00632663j 0.000585059+0.00800464j -0.015964-0.011761j -0.0048845+0.00188283j 0.00543099+0.00749271j -0.000707676+0.00648917j 0.00166002+0.00549749j -0.0031874+0.00157873j -0.00293597+0.0056356j -0.00559719+0.00393308j 0.0156205+0.00295988j 0.00607595-0.00243243j 0.00847325-0.00171229j 0.0103607+0.00787074j -0.00103151-0.0044695j 0.00107082-0.00540815j 0.00484181+0.00250711j -0.00812778+0.00162286j 0.00188393+0.0084892j 
-0.00452235+0.000505072j -0.00073269-0.00485029j 0.00544329+0.000924311j 0.000916114-0.00614607j 0.00099415-0.010199j -0.0117056-0.000538784j 0.00112835-0.00228224j -0.00189684+0.00149417j -0.00587154+0.00210184j -0.0054324-0.00732461j 0.000158012+0.00496388j 0.00223682+0.00405452j 0.00279424+0.000182923j 0.00127962-0.0056349j 0.00429509+0.00352428j 0.00706105+0.00971788j -0.00729757+0.0127702j -0.000948666-0.0055443j -0.00651555-0.00737728j 0.0118402+0.0031466j 7.68389e-05-0.000314926j 0.0111937-0.00102137j 0.00899655-0.0087878j -0.00160149-0.00136484j -0.000797322-0.00240828j 0.00389114-0.000352916j -0.00478729+0.00382275j 0.00222698+0.00671244j 0.00505817+0.00582264j 0.00423266-0.00352136j 0.000966122+0.000387439j 0.00378123-0.00138662j -0.00751842+0.00100243j 0.00432684+0.0016129j 0.00517847+0.00634302j 0.0120826-0.00111533j 0.00194422+0.00720457j -0.000942697-0.00535263j 0.000680281-0.00413593j 0.00152888-0.00153159j -0.00644416-0.00423115j -0.0131863+1.09918e-05j 0.00301007+0.000521175j -0.00525907-0.00227266j -0.0036285+0.0115097j -0.00464781+0.00332445j 0.000987231+0.00266383j -0.00310168+5.73069e-05j -0.00190326+0.00150242j 0.000674071+0.000193557j -0.00505379+0.0046608j -0.014397+0.0109544j -9.72291e-05+0.0137368j 0.000718996-0.00354548j 0.000751267-0.00464004j 0.00366324-0.00522755j -0.00268512+0.00012203j -0.00309246-0.00634606j 0.00469953+0.00143668j -0.00217709-0.00240898j -0.0106255-0.00780527j -0.00970123+0.00222124j -0.00236088-0.00709153j 0.00382706+0.00689141j 0.00297278+0.00347013j -0.00139594+0.0018123j 0.00474667+0.000879166j -0.00243176+0.0123191j -0.00438182-0.000904984j 0.00174559-0.00394698j 0.000540779+0.00143403j 0.00334447-0.00158912j 0.00236403-0.00465819j 0.00263777+0.000657036j -0.000167896+0.00128215j 0.00717898+0.0011191j 0.00151174-0.00703435j 
