-0.0112386+0.00520903j -0.131552+0.0970549j -0.116186-0.0537303j -0.00421039+0.0308107j 0.0332466-0.0345558j -0.0545557-0.0178806j 6.06455e-05+0.00673715j -4.72099e-05-0.0151687j 0.00307162-0.0412177j 0.0304079-0.0193245j 0.0133003-0.0774443j 0.0165883+0.0151329j -0.00359684+0.0359874j -0.00453883-0.0113795j 0.0426472+0.00378471j -0.00905592+0.0199158j 0.0180462+0.0258852j -0.0367494-0.0142046j 0.0143483+0.00630815j -0.0116052-0.0851101j -0.00910845-0.0180236j 0.0553007-0.0126564j -0.00364903+0.00351841j 0.00957569+0.0281997j -0.0286711+0.00744433j 0.0455674-0.0367303j -0.0349521+0.0207709j -0.00214361-0.0637142j 0.0139581-0.0927934j -0.00620286-0.00949728j 0.0179986+0.030018j 0.0128494+0.0116437j -0.0180045-0.00922292j 0.0152403-0.0270595j -0.00853241-0.0314544j 0.00636139-0.0190037j -0.0217803-0.00375387j -0.00116895+0.0135244j -0.0331268+0.0105101j -0.0130874-0.00119903j -0.0227085-0.0594496j 0.00188687-0.0201139j 0.00795991+0.00307882j -0.00863181+0.00696225j -0.00725973-0.00241142j -0.0232268-0.0357325j 0.0287047+0.00082701j 0.00992224+0.0206584j 0.0374231+0.0124275j -0.0146822+0.00607465j -0.00135929+0.0396871j 0.0103782+0.0230277j -0.0514191+0.0424072j -0.00627156-0.00345092j -0.0396268+0.0082136j 0.00384573+0.00333081j -0.0143535+0.000502658j -0.0247733+0.0296338j 0.0924459-0.0304116j -0.10502-0.0481461j 5.54413e-05+0.073806j 0.0590697+0.0326389j 0.0508152+0.0149231j 0.0085324-0.0523861j 0.0562882-0.116149j 0.0470656-0.057732j 0.0125989+0.0623906j -0.0584756-0.0383761j -0.0604131+0.0378051j 0.102306-0.0524606j 0.00610193-0.0194154j 0.0134585+0.0188057j 0.0282629+0.0227991j -0.0103512-0.0201851j 0.0513007-0.0124424j 0.00983974+0.0362617j 0.0362359-0.00423349j 0.023505-0.0109448j -0.0206937+0.0377782j -0.0181863-0.00372662j 0.0138307+0.111948j -0.25874+0.038909j 0.0392438+0.102521j -0.0733546-0.141247j -0.108191+0.208736j -0.10433-0.0878027j -0.048096+0.082069j 0.0052703-0.0162108j 0.00470324-0.07251j -0.0289054-0.124469j 0.105195+0.0606071j -0.169401+0.126264j 
-0.0115684-0.0339197j -0.0199892-0.0198164j -0.0692433-0.029197j -0.001889-9.33767e-05j -0.0896145-0.03145j 0.003394-0.0402417j 0.0252296-0.012591j -0.0335066-0.0555301j 0.0310271+0.00582721j 0.0767729+0.112104j -0.0256846+0.126616j 0.0899848-0.0508468j 0.0916399-0.0214684j -0.000121474+0.0471978j -0.022348+0.0696252j -0.175434-0.0417463j -0.0127057-0.193703j -0.0368648-0.097581j 0.191429-0.0109852j -0.071801-0.0927867j 0.00337459+0.0524925j -0.0533717+0.00432762j 0.0222331-0.0603419j 0.0214369-0.128318j 0.060993-0.0140209j -0.129001-0.00809775j -0.0195609-0.0207633j -0.0357023+0.0314318j -0.0159375+0.0149474j 0.0570595-0.0368555j -0.0300438-0.0140696j -0.102718+0.0131653j -0.00770897-0.0746076j -0.0493906-0.0198715j -0.0113184+0.00942893j 0.0498513-0.0602505j 0.0667453+0.09934j -0.0823955-0.00555433j 0.109493-0.0256588j 0.115833+0.0502614j -0.0292001-0.0456261j 0.0705856+0.0174852j 0.0240333+0.118257j -0.0392267+0.00465646j -0.0546802+0.0190644j 0.142906-0.0626074j 0.0483499+0.0158865j -0.0145691-0.106005j 0.0126515+0.0527313j -0.0539037-0.0258985j 0.143182+0.0277203j -0.0493039+0.00476845j 0.102387+0.034144j -0.00753724+0.0899369j -0.038801+0.0538129j -0.0236129-0.124164j -0.00341115+0.0785984j -0.067756-0.0309899j -0.0651764-0.0250388j -0.00318847-0.00593804j -0.0110929+0.0743218j -0.059338+0.0218026j -0.0452272+0.0207648j 0.0532082-0.0391876j -0.0223438+0.0390956j 0.0117575+0.004651j -0.0466023-0.0453397j -0.0210705-0.0309696j 0.0509883+0.0708826j -0.0709937+0.00726361j 0.0342664+0.0491078j -0.00359524-0.0548005j -0.0253619+0.0448237j 0.0355889-0.116253j 0.0133539-0.0290804j 0.0387-0.0661168j -0.0406001+0.0398167j 0.054444-0.0133163j -0.00782025+0.016766j -0.0288561-0.000147159j 0.0470955+0.001277j -0.032554+0.00284672j 0.0356183+0.0119115j -0.0493433+0.0102649j -0.0341565+0.0288781j -0.0195029+0.0128932j -0.0238673-0.00187833j 0.00224739-0.00247465j 0.0101323+0.0561788j -0.0195207-0.0206227j 0.0659758-0.00435015j -0.0181215-0.0519136j 
0.0139135+0.00058593j 0.00731698-0.0529004j 0.00513466+0.0159708j -0.0180608+0.0311188j 0.0226942+0.0521888j 0.0797119-0.00919818j -0.0354503+0.0291914j -0.00517829+0.0227676j 0.0189875-0.0157996j 0.0695029-0.029131j -0.0758823-0.0106192j -0.0497184+0.074046j -0.0101192+0.00657047j -0.0792223+0.0515088j 0.0708044+0.00970276j -0.0019991-0.0399091j 0.00040083+0.000262591j 0.121605-0.0223998j 0.103443+0.150062j -0.087+0.023877j 0.0754+0.0185656j -0.151323-0.0338031j -0.0103549-0.0210873j 0.0959164-0.0177456j 0.0883519+0.0936827j -0.0845673-0.011304j 0.013098+0.0261714j 0.069844-0.00895426j -0.038702-0.0134129j 0.0713958-0.00349466j 0.079067-0.00845013j 0.00636712+0.00557804j -0.000159362+0.0441891j -0.0595005-0.0256614j 0.0736161-0.0114481j -0.0190738-0.104214j -0.042928+0.0556703j 0.0139388+0.0072142j 0.0134322+0.00385973j -0.0308753+0.0145545j -0.0363636-0.0995368j 0.0522579+0.0271552j 0.0967338-0.0998715j -0.0448558-0.0122775j 0.156398-0.00951995j -0.0698322+0.0685969j -0.0810846+0.103275j -0.109119-0.00315724j 0.0366523-0.00499856j -0.0274366-0.0119463j 0.0615747+0.0841516j 0.115159-0.0376638j -0.0834596+0.0321446j 0.0348792+0.0281934j 0.00872018+0.061944j -0.111138-0.0322314j -0.0452689+0.0687162j 0.0247044-0.0362832j 0.0503955+0.0231381j 0.0182896-0.00975179j -0.0125888-0.0357373j -0.0139095-0.0817153j -0.0278884+0.0258832j -0.0884433-0.0115995j -0.0370329-0.0469942j -0.0425199-0.0657476j 0.010076-0.0402059j -0.0290464+0.0365758j 0.0199624-0.0230384j 0.0777482+0.0824348j -0.10546-0.0325713j 0.00966004-0.00531608j -0.0142115+0.0270663j 0.130553-0.0658776j 0.0249834+0.00569679j -0.0119026-0.014402j 0.0878439-0.0893195j -0.0840923-0.107046j 0.0245654-0.0628073j 0.0384793-0.103296j -0.115281+0.0576566j -0.0242029+0.0463191j 0.0732528+0.00118108j 0.0835864-0.0718914j -0.0427514-0.0147993j 0.0235244+0.0376037j -0.0764625-0.0640674j 0.0687581+0.0365289j -0.0287856-0.0278875j 0.00184915-0.0867591j -0.0188219-0.185541j -0.230493+0.014305j 
0.0174744+0.0253558j -0.0520992+0.0139092j -0.0696592-0.000638787j -0.0450311+0.0625094j -0.0430313-0.0607125j 0.0656809-0.0254791j 0.00273987-0.0366937j -0.0937573-0.0129869j -0.0834589+0.0750047j -0.0256235+0.0242976j 0.0748345-0.0647659j 0.075259-0.016954j 0.0920723-0.126132j 0.0208579+0.0417413j 0.044481-0.0147858j -0.0189372-0.0484309j -0.0273655-0.0574193j -0.0125899-0.0130625j 0.0139195-0.0150591j -0.049737-0.0782309j 0.0741931+0.13522j 0.0942932-0.00552219j 0.00459363+0.0617208j -0.119546-0.075754j -0.0453158-0.0116117j 0.0409278-0.024484j -0.120909-0.00349661j 0.0165084+0.0181806j -0.0536237-0.000434825j -0.105249+0.0407632j -0.0508358-0.00621594j 0.0444688+0.0107658j -0.113302-0.0184914j 0.066856-0.0448665j 0.0488309+0.0329754j -0.127327+0.0674188j -0.0808161+0.00452263j -0.144149-0.126332j 0.0352246+0.0375681j -0.133545-0.0754187j 0.197599+0.0152593j -0.0766812-0.0691453j 0.100167-0.0188287j -0.0596296+0.0339385j -0.104272+0.00719708j -0.0335953+0.0473288j -0.00108018+0.0907464j -0.0116525-0.0652325j -0.0587759+0.0961628j 0.0257074+0.0403979j -0.0103054+0.00686276j 0.0928424+0.0657628j -0.129398+0.00381051j -0.081916+0.0135292j -0.0171597+0.0643897j -0.0812821-0.0150503j -0.0193026-0.0595261j 0.112872-0.00204004j -0.0164351-0.0254287j -0.0855553-0.0247191j 0.0580502+0.0827809j 0.0465298-0.0502594j 0.0979333+0.0347071j 0.0326178-0.0418323j 0.0786666-0.0708397j 0.0219938+0.0372106j -0.0247091-0.00445858j 0.0255575+0.0206658j -0.0254349-0.0809025j -0.0454957-0.00703059j -0.0429195+0.0388676j -0.00827067+0.00825195j -0.0745104+0.0131064j -0.00420338+0.0325856j -0.0545143-0.0148894j 0.0982633-0.0449414j 0.0245374-0.0190532j -0.0288929+0.00911202j 0.056751+0.0173229j 0.12327-0.0437571j 0.0377047-0.0706028j 0.00693047-0.00808928j 0.00382406-0.0314143j 0.0399735+0.0453732j 0.0293402+0.0957432j -0.0140408-0.0681845j 0.209257+0.0957604j -0.069416+0.0032278j 0.105688+0.017732j 0.11265-0.0897504j -0.182003-0.00235185j -0.0104505+0.13896j 
0.0474401-0.0248015j -0.0302193+0.0304016j 0.00420312+0.03834j -0.0669073+0.0712662j 0.0635939+0.106284j 0.0388293-0.125885j -0.0329599-0.033878j 0.000846033+0.0674293j -0.116559+0.116233j -0.142381-0.0274066j -0.0617813-0.0808468j 0.0500603-0.140544j 0.0836123-0.0872648j -0.226392+0.0705325j -0.0711148+0.021012j 0.088467+0.0294129j 0.0658768+0.0150922j 0.107286+0.0259331j -0.0136926-0.0530135j 0.161768-0.0380149j -0.0969372+0.0536608j -0.0293279-0.0308199j 0.139157-0.0158906j -0.118124-0.0329682j -0.0421665+0.0379937j 0.0262095+0.00965286j 0.04643-0.0507285j -0.0466446-0.044888j -0.0105332+0.0126652j -0.0335015-0.0492859j 0.017272+0.00895557j 0.193471-0.0374323j 0.0415851-0.0170768j 0.103305+0.0778029j 0.04428-0.0678619j -0.147973-0.0245896j 0.0358823-0.0452371j -0.0494964-0.0102614j -0.115108-0.0997911j -0.112473-0.170131j 0.0436965+0.0617275j -0.0675167-0.0857003j -0.0253046-0.134324j 0.04381+0.0149963j -0.161793+0.0028816j -0.0183474-0.0329094j -0.0495944-0.0118806j 0.0347632+0.0433809j -0.0222624-0.0405704j 0.000822149+0.0237622j 0.0308544-0.0194234j 0.0185134-0.0879314j 0.0314279-0.0323204j 0.0101468-0.00780079j 0.0604453+0.000688106j -0.0601651+0.087939j 0.0431584+0.114732j -0.0126621+0.0331683j 0.0315526+0.0845894j 0.0504637-0.00538539j -0.0362441-0.0311182j 0.0463804-0.00720143j -0.0153649+0.0304647j -0.013675+0.0161446j 0.0190916+0.0468624j -0.0464217+0.00429471j -0.00330089-0.0283648j 0.0268607+0.0304069j 0.029234+0.0243072j -0.0288985+0.0183947j 0.0481932-0.0613481j -0.0414654-0.0405733j 0.0720924+0.0374007j -0.0433282-0.0268204j -0.0267742-0.029487j -0.02558+0.00443705j 0.0822488-0.0274467j 0.00614902-0.0648728j 0.00373856+0.0113384j -0.0359533+0.0218977j 0.00852628+0.0602319j 0.0115414-0.0179614j 0.0115521+0.0434035j -0.0368793-0.00869359j 0.0302152-0.0155552j -0.0656819+0.0111497j -0.074927-0.00287264j 0.0199497-0.0232459j -0.0712368-0.0672221j -0.111212+0.0352715j 0.0440431+0.0134214j 0.00495942-0.0556896j 
0.011213+0.0241649j -0.0247514+0.0428408j -0.0544442+0.0258959j -0.0648461+0.0991583j -0.0266307+0.00450455j 0.059429-0.00963957j -0.0826818+0.00804057j -0.0165496+0.0377778j -0.166326+0.056787j -0.0792794-0.10241j -0.0298328-0.112398j 0.0779735-0.0106847j 0.0502173+0.0339346j -0.120235+0.0199655j -0.135473+0.0421543j -0.0100038-0.0205882j 0.0778711+0.0904961j 0.0259516+0.024324j 0.012672-0.0766662j 0.0537518-0.0725976j -0.118695+0.0621441j -0.049136-0.0401678j 0.032317+0.0341299j 0.00242594-0.028886j -0.0562796-0.0474056j -0.0271543-0.0462281j 0.0119218+0.0458803j 0.0602247+0.0107111j -0.00268027-0.0152508j -0.000969884-0.0273857j 0.113452+0.0223284j 0.0512215-0.041929j 0.0102032-0.0202514j -0.0600326+0.0417856j 0.0292067-0.0193942j -0.0145893-0.00481827j 0.045963-0.0174534j -0.00827883-0.123412j 0.0210924-0.00287526j -0.0167718+0.0307416j 0.11996-0.00957099j -0.00415849+0.12685j 0.0213308-0.0235964j -0.0773926-0.0420986j -0.00986981-0.0159007j -0.0752919+0.124935j 0.119104-0.0255181j 0.0219536-0.0203867j -0.0151027+0.112473j -0.0800628-0.0302613j -0.0564906-0.0343655j -0.0314924-0.0801388j -0.0415769+0.0341252j -0.0437029-0.069233j 0.00775665-0.0156961j 0.0571659+0.0363305j -0.0671663+0.0451374j -0.0770551+0.0454926j 0.00384289-0.028234j -0.0205755-0.00411513j 0.0833325-0.0433142j -0.0939481+0.0555541j 0.0172238-0.106262j 0.0351847+0.0229114j 0.0104063-0.020811j 0.0702759-0.0374922j 0.0159764+0.0321029j 0.00743478-0.0953523j -0.0234395-0.00437532j -0.0232769-0.0104536j 0.147726+0.0445773j -0.00180298-0.0682037j -0.00956307-0.025096j 0.0613435-0.0324934j 0.0507106-0.100362j -0.152324-0.0614934j -0.101572+0.116288j -0.0195325+0.042656j 0.0413742-0.0449778j -0.0444098-0.0606061j 0.037564-0.0468666j -0.0496969+0.0581592j 0.00299869-0.143815j -0.0246295+0.01382j -0.0807643-0.00993669j 0.0257391+0.00141758j 0.0558438-0.112904j 0.00538759+0.0753287j 0.0753202+0.173778j 0.154759-0.062385j 0.0656809-0.0852345j -0.0329986-0.00603848j 
0.0209892-0.0762298j -0.00287365+0.0472506j -0.0525766+0.0106316j 0.0616871-0.0240618j -0.00178139+0.0572334j 0.0336161-0.0085261j -0.087755-0.0348931j -0.0115781+0.0198854j 0.0152849+0.0244468j -0.0193625+0.0428257j -0.097512-0.0339684j -0.0309808-0.0629158j -0.0085046+0.0393339j -0.0852461+0.0283256j -0.0575614-0.0469417j 0.0962685+0.0293182j -0.0959657+0.00988427j 0.108913-0.0732352j 0.0134522+0.0481423j 0.038597+0.0582494j -0.051786+0.0833918j -0.00953157+0.0827221j -0.0163051-0.0482134j 0.0149211-0.0144605j 0.0175448-0.0293139j 0.0388726+0.0140989j 0.00515313-0.0589642j -0.00518769+0.0502789j 0.0376246+0.0423933j 0.0618249-0.00505413j 0.023618-0.102609j 0.0196355-0.033931j -0.0550036-0.0257911j 0.0819929+0.0819804j 0.0879682-0.0223104j 0.0570708-0.0198562j 0.0405027-0.0273406j 0.0334662-0.0745641j 0.0514401+0.0308645j -0.011655+0.128575j 0.01854-0.0140792j -0.0179739-0.0203887j 0.112344-0.117642j 0.0140627-0.0455518j 0.0555886-0.0156201j -0.0102319+0.00199626j 0.0272192+0.126036j -0.0289453-0.0409866j -0.0596386+0.0927483j -0.0596372+0.0504143j 0.0645277-0.0863443j -0.0203903+0.0337165j 0.0408741+0.0502584j 0.0162517-0.116869j -0.0384467+0.0659329j 0.00244959+0.00214842j -0.0205855+0.0161507j 0.0696781-0.153289j -0.019017+0.0703071j -0.0116981+0.0282363j 0.0363355+0.00715757j -0.143224-0.00412023j -0.0161649+0.0169648j 0.0195099-0.0595245j 0.0440224-0.0370907j 0.0288882+0.0885641j 0.0384714+0.0109355j -0.00855073+0.0812605j 0.0181316+0.101776j 0.0269696-0.0281344j 0.0425078+0.0623355j 0.12167+0.113502j 0.152647-0.0405044j 0.0465828+0.0548611j 0.0199322+0.0967222j 0.0754161-0.0830722j -0.164536-0.0996702j -0.0973796+0.0984362j -0.0430313+0.0349007j 0.0334692+0.11354j 0.0208769-0.0249901j 0.0136866-0.00776733j -0.0265298+0.0652476j -0.00536419-0.0958996j -0.015217-0.0280091j 0.0332523+0.0643897j -0.0383745+0.163246j -0.0879605+0.0783863j 0.0672741+0.0626513j -0.00879006-0.111057j 0.08412+0.0308247j -0.048483-0.0248967j 
-0.0036938-0.0715451j 0.020726-0.03251j -0.00283536+0.0353459j 0.0755961-0.00295019j -0.0526379+0.0723756j -0.0489956+0.0555899j -0.0120225-0.0174351j 0.0058298-0.00189334j -0.0631978-0.000321727j 0.0098867-0.0186816j -0.00845236+0.0261258j 0.00918023+0.0345443j -0.0531736-0.0720364j 0.0255597-0.0239155j 0.0377699+0.0111754j 0.00581522-0.0338157j -0.0123941+0.0371211j 0.0955761-0.0100784j -0.0620133+0.063512j -0.00495678-0.0760939j 0.029064-0.0251123j 0.0300116-0.055319j -0.0530935-0.0146484j -0.0553177+0.000768619j 0.143738+0.00919906j -0.00883203+0.0217464j 0.0546043-0.00711875j 0.0358158+0.0348934j -0.0384176+0.0105175j -0.0183114-0.0336044j 0.00560259+0.0121253j 0.00636275-0.00990917j 0.00429265-0.0274659j -0.0196271-0.0423616j 0.0281205-0.0408128j 0.00469308+0.0489148j 0.0826746-0.0286668j 0.0242981+0.0208478j 0.0298241-0.0637172j 0.00767941-0.114448j 0.0822805-0.0632479j 0.0128322-0.0299837j -0.104423-0.0221295j 0.00204689-0.0706225j -0.0419876+0.0147314j -0.0248474-0.127228j 0.0598145-0.0187611j 0.0450293+0.0443976j 0.0500283+0.0155749j -0.0416349+0.0216825j 0.0661566-0.0273965j -0.0440704-0.0130414j 0.0153697-0.0497659j 0.0514175+0.0506415j -0.121286-0.0161573j -0.114234+0.0421711j -0.0062574+0.0352152j -0.0397253+0.0775696j 0.069349-0.0468054j -0.0165516-0.0970472j -0.0477029-0.0133295j -0.0537231+0.0599007j -0.0755331+0.0763952j 0.0507724-0.00624698j -0.0172244-0.0119741j -0.0182059+0.0206386j -0.0312112+0.0404273j 0.0709452-0.0159407j 0.0246166+0.00321424j -0.064146+0.0151308j 0.124163-0.0922866j -0.00121823+0.00376697j -0.084259+0.0259344j 0.104369+0.0115853j -0.0739533+0.0233995j -0.0398433-0.121268j 0.0947325+0.0348716j 0.000309395-0.105157j 0.0826489+0.00136371j 0.0623222+0.0548559j 0.0920428+0.0463479j 0.0788466-0.0733258j -0.0246183+0.0354336j -0.0305383+0.0244914j -5.62512e-05+0.0434147j -0.0366322-0.0178747j -0.0463287+0.0249973j -0.0424118+0.0048778j 0.165435+0.0623018j 0.0773859-0.082713j 0.00631276+0.0119401j -0.0167994-0.0474914j 
0.0679148-0.0385657j -0.00265664-0.000729856j -0.055466+0.0681997j 0.0152227-0.0564722j 0.00288037+0.0495401j 0.00311535-0.0723411j 0.0207447-0.0864341j -0.0702077+0.00787675j -0.0322936-0.00858134j -0.0837701+0.00416099j -0.062744-0.0243616j -0.101477-0.0424713j 0.0153886+0.000700806j -0.0158409+0.0451533j 0.0302185+0.0533424j 0.0863129-0.0290896j -0.0106974-0.0401181j 0.0120557-0.0424657j 0.0933672+0.0205355j 0.0520417-0.0918069j -0.0300999-0.0872714j -0.00634229-0.11408j 0.0916738+0.0142354j 0.0340028+0.0191958j 0.0601461-0.0289812j -0.00501297-0.027161j 0.00190302-0.0570108j 0.054175+0.0818454j -0.128754+0.125177j 0.01961+0.017641j -0.00590145+0.0597489j 0.0253769+0.0495919j 0.0584787+0.0349546j 0.00982962+0.087811j 0.067876+0.0672432j -0.0182297+0.0357167j 0.00974829-0.0036724j 0.0209998-0.037498j -0.0246899-0.0827988j 0.0209647+0.0227605j -0.0207624+0.0502019j -0.0454082-0.0518982j 0.0356381-0.119789j 0.0888126-0.0846445j -0.0322831+0.0147927j 0.125617-0.0566599j 0.0222538+0.0309604j 0.0370851+0.00702458j -0.011669-0.0115264j 0.0469582-0.0329793j 0.00558399-0.0400055j -0.10236+0.00851497j -0.0384419-0.104477j -0.121309+0.0626151j -0.000656662+0.125017j -0.0933319+0.0254508j 0.0411681+0.0434812j 0.0378229-0.00983013j -0.0413434+0.0453992j -0.0865486-0.0156845j 0.066037+0.0543264j 0.0272782+0.00995492j -0.0356769+0.00621283j 0.038947-0.0771585j 0.00178288-0.0233989j 0.00187119-0.085116j -0.0600488+0.0657485j -0.0575418-0.0252394j 0.0645487-0.0601783j -0.108393+0.00914786j -0.0911324+0.00661263j -0.0695289-0.0638669j 0.0100427-0.0690969j -0.0945158-0.0125969j 0.0683379-0.0349378j -0.00562226-0.0355456j -0.120243-0.0203686j 0.091673+0.065041j -0.104189+0.0321136j -0.0193141-0.0908267j -0.078466-0.020847j -0.0051377-0.143414j 0.049212+0.0521621j -0.0155826+0.0246804j -0.0587026+0.0583131j -0.00873895-0.091409j 0.0358911+0.106458j 0.0816494-0.0239995j -0.078992-0.0772238j -0.164337+0.0149736j 0.000719751+0.0407015j -0.0533002-0.0244784j 
0.0361583+0.0206805j 0.00234352-0.0403927j 0.0184417+0.0375191j -0.0113863-0.0528766j -0.0159836-0.0322138j -0.0260554-0.029951j 0.0100654+0.0327009j 0.034967-0.0105419j -0.0415648+0.00245516j -0.00505084+0.0107251j -0.0779308-0.0450057j -0.0131661-0.0366543j -0.0453625+0.0232174j -0.0373173-0.085873j -0.0195612-0.032601j -0.0840365-0.0214915j 0.0254687+0.0375352j -0.0857491+0.0323489j -0.0760964-0.0234728j 0.0837868-0.0247826j -0.0582321-0.0414433j 0.0490772+0.0249445j 0.0166265+0.0650015j 0.0167295-0.0180032j 0.0678608+0.0749466j 0.0495267-0.0260547j -0.0369173-0.00791522j -0.0554727+0.0491555j 0.0330278-0.0356814j 0.0159442-0.0695944j 0.113702-0.0388349j -0.0187413-0.0240644j -0.07574-0.0460108j 0.109535+0.0200032j -0.0047681-0.0436507j 0.0220811-0.0557673j -0.058177-0.0458014j -0.0855311+0.0173387j -0.0555889-0.0107937j -0.0530494-0.0470645j 0.0367071+0.0841976j 0.072148+0.100082j -0.00771173-0.0417625j -0.110096-0.0183015j 0.106751-0.0507269j 0.0178865+0.0542184j -0.134516+0.0617099j -0.0488387-0.082988j -0.042237-0.0105523j 0.00364867+0.0336981j 0.00237738-0.0387608j 0.0921671+0.0178129j 0.0800756-0.038901j 0.113603-0.00532375j -0.0400415-0.0663614j 0.016015-0.0881707j -0.0558578-0.0325703j 0.0568926+0.0690518j 0.0653225+0.00782435j 0.0724587+0.0233658j 0.0428987+0.0333877j 0.0220593-0.043038j -0.0652658-0.000613932j 0.0754862-0.135886j -0.114777-0.064317j 0.0184771+0.0695038j -0.132049-0.048554j 0.0546488+0.0120677j 0.0918404+0.141349j 0.00606335-0.0657804j 0.0393205+0.0324619j -0.0702287+0.0864089j -0.130782-0.0140092j -0.0287929-0.0293467j -0.124996-0.0619635j -0.0702908-0.0529832j -0.156899-0.0476594j 0.0121891+0.00497762j -0.0634317+0.0797309j 0.0191395-0.0127972j 0.0142919+0.0651801j 0.0587279-0.0364464j 0.031605-0.000109774j 0.00503024+0.00271742j -0.025821-0.069779j -0.0624894-0.0688048j 0.0879689+0.0682039j 0.0632239+0.0510064j 0.0332131-0.0656264j -0.0811601-0.0367105j -0.0462449-0.015542j -0.03771+0.0125049j 
0.0150616-0.041889j 0.0136716-0.0268181j 0.0288042-0.0518127j -0.00841561-0.00133475j -0.00898736-0.000105217j 0.0435698-0.0385303j 0.0813581+0.0460734j -0.0310152+0.0269415j -0.0367531+0.0304683j -0.0307058+0.0464793j 0.0555986-0.0466412j -0.0100361-0.0841897j -0.0911562+0.0668492j 0.00457974+0.0433662j -0.020855-0.042184j 0.0435122+0.00664267j 0.00474803+0.0115399j 0.0484062-0.110158j 0.0421747+0.00795261j -0.0124652-0.0483937j -0.100245-0.022924j -0.0202425-0.0648676j 0.0842374-0.00963753j 0.0196037+0.0560606j -0.0306822+0.00113911j -0.0410721+0.0309494j 0.0410574+0.0666018j -0.101327+0.0536936j 0.010516-0.0976086j 0.00506356-0.0428113j 0.0347256+0.0165908j -0.0221018-0.0207099j -0.0677433+0.0615621j 0.0346138+0.0439591j -0.0632863+0.0761099j -0.089543+0.0192622j 0.0204148+0.0373085j -0.0118706-0.00188477j -0.00562444+0.0469911j -0.027678-0.00505648j -0.000230719+0.0675934j 0.0693195+0.00745433j 0.00513139-0.0622194j -0.0447659+0.141847j -0.0237171-0.00924369j -0.0285742+0.0188595j 0.0957233+0.0498474j -0.0382811-0.0439453j 0.00587091-0.0628449j 0.0906032-0.00677474j 0.0637812-0.0282118j 0.0598787-0.0312999j 0.0328136+0.127044j 0.0227973+0.0614861j -0.0634362+0.0597971j -0.00629875+0.0439703j -0.0431179+0.0199324j 0.0343128-0.00499168j -0.031799+0.0161899j -0.0396349-0.00307515j -0.0267115+0.0469235j 0.0304842+0.0147364j 0.0188773+0.0306251j 0.0692606+0.0783593j 0.0255596+0.0975181j -0.033835+0.0190575j 0.0113123-0.0233123j -0.11716-0.0413617j -0.00502716-0.0480665j 0.00710641-0.032881j -0.0509181+0.0147805j -0.0315215+0.0421412j 0.0119064-0.0349026j -0.0384201-0.0452669j 0.0838542-0.0340438j 0.0155723+0.0246153j -0.112705-0.0475114j -0.0895973+0.0649654j 0.0415026+0.00564781j -0.0310067-0.122651j 0.0253774-0.00154833j 0.0461743+0.125892j -0.0489761-0.0523544j 0.0291644+0.132406j -0.0359634-0.0416003j -0.00557507+0.0692433j 0.0441357-0.0340522j -0.0366523-0.04523j -0.071657+0.0543393j 0.0242101+0.0726982j 0.0455599+0.00794969j -0.0206484-0.0884785j 
