-0.0910004-0j 0.0205283-0j -0.0770899-0j 0.336501-0j -0.16293-0j 0.0542624-0j 0.0531748-0j -0.0262731-0j -0.0257466-0j 0.00832816-0j -0.0258058-0j 0.196559-0j 0.0072139-0j 0.00279335-0j -0.0148349-0j -0.609061-0j -0.00865553-0j -0.00610839-0j 0.17026-0j 0.00241961-0j 0.0459677-0j 0.0189276-0j -0.0128501-0j -0.00529113-0j 
0.0263126-0j -0.0627926-0j 0.0017635-0j 0.0118149-0j -0.00834016-0j -0.115929-0j 0.00187973-0j 0.0818345-0j -0.00132691-0j -0.0122605-0j 0.00204453-0j -0.00671533-0j -0.0105084-0j -0.515036-0j 0.0465923-0j 0.00111983-0j 0.0858862-0j -0.000534201-0j -0.00575568-0j -0.441435-0j -0.00776963-0j 8.90822e-05-0j 0.0399341-0j -0.000457861-0j 
0.0161131-0j -0.212322-0j 0.00596294-0j -0.0165386-0j 0.00800778-0j 0.162278-0j -0.00263127-0j -0.0785731-0j 0.00127403-0j 0.00509993-0j -0.0158028-0j 0.00279335-0j 0.00441759-0j 0.214237-0j -0.0193808-0j -0.00865553-0j -0.663841-0j 0.00022221-0j 0.00241961-0j 0.185574-0j 0.0600538-0j -0.000688543-0j -0.0167878-0j 0.000192479-0j 
0.142438-0j 0.0204934-0j -0.0769588-0j -0.148145-0j -0.238296-0j -0.0238891-0j -0.0234103-0j -0.0384263-0j -0.0376561-0j -0.0130356-0j -0.00724597-0j -0.307663-0j -0.00124393-0j -0.00437228-0j 0.0232203-0j -0.171017-0j -0.00243037-0j 0.00956115-0j -0.0293588-0j -0.000417226-0j 0.0129072-0j 0.00531465-0j 0.0022158-0j 0.000912375-0j 
0.139741-0j 0.0198143-0j -0.0271158-0j -0.00792564-0j 0.00559475-0j -0.28961-0j -0.117919-0j 0.204437-0j 0.0832394-0j 0.00822457-0j -0.00137151-0j -0.0356637-0j 0.00704923-0j -0.0465923-0j -0.336998-0j 0.0059472-0j 0.00776963-0j 0.0730552-0j -0.0305672-0j -0.0399341-0j 0.056197-0j -0.0121825-0j -0.288839-0j 0.0626152-0j 
-0.0252211-0j -0.211961-0j 0.0059528-0j 0.00728115-0j 0.0117119-0j -0.0714434-0j 0.00115842-0j -0.114919-0j 0.00186336-0j -0.00798266-0j -0.00443723-0j -0.00437228-0j -0.000761747-0j -0.335335-0j 0.0303358-0j -0.00243037-0j -0.186399-0j -0.000347813-0j -0.000417226-0j -0.0319994-0j 0.0168624-0j -0.000193335-0j 0.0028948-0j -3.31901e-05-0j 
0.0855735-0j 0.0669984-0j -0.0916872-0j 0.0110944-0j -0.00537178-0j 0.4054-0j 0.165064-0j -0.19629-0j -0.0799221-0j -0.00342114-0j 0.0106008-0j 0.0148349-0j -0.00296341-0j 0.0193808-0j 0.14018-0j -0.0459677-0j -0.0600538-0j -0.0303885-0j 0.0128501-0j 0.0167878-0j -0.434364-0j 0.0941623-0j 0.121424-0j -0.0263227-0j 
-0.0575395-0j 0.000482953-0j 0.0467021-0j 0.00153479-0j -0.00108342-0j -0.0150095-0j -0.35745-0j 0.0105953-0j 0.252326-0j -0.00159268-0j 0.000265592-0j 0.0146848-0j -0.00136508-0j -0.000534201-0j -0.0730552-0j -0.00244881-0j 8.90822e-05-0j -0.1621-0j 0.0125863-0j -0.000457861-0j 0.0121825-0j 0.0270314-0j -0.0626152-0j -0.138935-0j 
-0.0643604-0j -0.0330385-0j 0.124069-0j -0.104114-0j -0.28761-0j -0.0167888-0j -0.0164523-0j -0.0463785-0j -0.0454489-0j 0.00589012-0j -0.018169-0j 0.139017-0j 0.0108932-0j 0.00197561-0j -0.010492-0j -0.428818-0j -0.00609406-0j -0.00432019-0j 0.257098-0j 0.00365368-0j 0.0323643-0j 0.0133263-0j -0.019404-0j -0.00798975-0j 
-0.0352356-0j 0.00163302-0j 0.157914-0j -0.00214843-0j 0.00104024-0j 0.0210106-0j 0.500364-0j -0.010173-0j -0.24227-0j 0.000662501-0j -0.00205284-0j -0.00610839-0j 0.000573862-0j 0.00022221-0j 0.0303885-0j 0.0189276-0j -0.000688543-0j 0.0674279-0j -0.00529113-0j 0.000192479-0j -0.0941623-0j -0.208934-0j 0.0263227-0j 0.0584065-0j 
-0.133944-0j 0.0668845-0j -0.0915313-0j -0.00488434-0j -0.00785661-0j -0.178478-0j -0.0726699-0j -0.287087-0j -0.116892-0j 0.00535493-0j 0.00297658-0j -0.0232203-0j 0.000510995-0j -0.0303358-0j -0.219416-0j -0.0129072-0j -0.0168624-0j 0.0475655-0j -0.0022158-0j -0.0028948-0j -0.121964-0j 0.0264397-0j -0.0209378-0j 0.00453895-0j 
0.0113961-0j 0.341713-0j -0.00959683-0j 0.00511705-0j 0.0141357-0j -0.050209-0j 0.000814117-0j -0.138701-0j 0.00224897-0j 0.00360695-0j -0.0111262-0j 0.00197561-0j 0.00667069-0j 0.15152-0j -0.0137072-0j -0.00609406-0j -0.467387-0j 0.000157159-0j 0.00365368-0j 0.280221-0j 0.0422818-0j -0.000484779-0j -0.02535-0j 0.000290649-0j 
0.0605222-0j -0.107828-0j 0.147563-0j -0.00343262-0j -0.00948249-0j -0.125431-0j -0.051071-0j -0.346499-0j -0.141082-0j -0.00241961-0j 0.00746366-0j 0.010492-0j -0.00447483-0j 0.0137072-0j 0.0991426-0j -0.0323643-0j -0.0422818-0j -0.0214924-0j 0.019404-0j 0.02535-0j -0.30582-0j 0.0662964-0j 0.183354-0j -0.0397479-0j 
0.0551525-0j 0.00163024-0j 0.157646-0j 0.000945849-0j 0.00152143-0j -0.00924993-0j -0.220286-0j -0.0148788-0j -0.354337-0j -0.00103698-0j -0.000576413-0j 0.00956115-0j -9.89538e-05-0j -0.000347813-0j -0.0475655-0j 0.00531465-0j -0.000193335-0j -0.105541-0j 0.000912375-0j -3.31901e-05-0j -0.0264397-0j -0.0586661-0j -0.00453895-0j -0.0100713-0j 
-0.0249205-0j -0.0026282-0j -0.25415-0j 0.000664724-0j 0.00183628-0j -0.00650067-0j -0.154813-0j -0.0179579-0j -0.427665-0j 0.000468556-0j -0.00144533-0j -0.00432019-0j 0.000866547-0j 0.000157159-0j 0.0214924-0j 0.0133263-0j -0.000484779-0j 0.0476887-0j -0.00798975-0j 0.000290649-0j -0.0662964-0j -0.147103-0j 0.0397479-0j 0.0881954-0j 
