0.0339758+0.0246895j -0.0234129-0.01832j 0.023271-0.0218066j -0.0873245-0.0173075j 0.0110663+0.0319288j 0.00362774-0.000776126j -0.00300555+0.00305382j 0.00128639-0.00134658j 0.006733+0.00343063j -0.00684901-0.00212362j 0.0082996-0.00630033j -0.00867116-0.00648819j -0.00120614+0.00424509j 0.00567005-0.0014925j -0.00234714-0.00828108j 0.0136451-0.00332037j -0.00682254+0.00545797j -0.00855114+0.0113653j 0.00690048+0.0352535j -0.0247034+0.011049j 0.00637675+0.0224885j 0.0214786+0.00534061j 
-0.0288696-0.0349562j -0.0471497-0.0425856j -0.211201-0.137416j -0.0149717+0.0296367j 0.214142+0.0474943j -0.076866-0.00314287j 0.00605346+0.0372487j 0.0196632-0.051624j -0.0121805+0.00940283j -0.0265024-0.0158129j -0.00661665+0.0247388j 0.0294295-0.000251378j -0.00868273-0.0481753j 0.00608469+0.0375608j -0.0178891-0.0358627j -0.00785236+0.015168j -0.0155785-0.0187578j 0.0112615+0.00994664j -0.00786494-0.00641774j -0.000918966-0.0114606j -0.00850309-0.0111026j -0.00189279-0.0293942j 
-0.156857+0.135611j 0.0695272-0.137614j 0.00434926+0.0366296j -0.213218-0.153456j 0.0588915-0.00204946j 0.00959254+0.0152129j 0.0142112-0.0271653j 0.0208932-0.0136725j 0.0228263+0.0156393j 0.00179551+0.0126605j 0.0251805+0.00794973j 0.00984283+0.018565j 0.026323+0.0142877j -0.0288966-0.00455365j -0.0591488-0.0254039j 0.0277558-0.020006j 0.0293078+0.0121368j -0.00230262-0.00465763j 0.00153466+0.00478693j -0.00136357+0.00657216j -0.000988742+0.0224129j -0.000642018+0.00733561j 
-0.0507696+0.128205j 0.0309624-0.0484296j -0.0588733-0.0428302j 0.338208+0.192181j -0.0213283-0.0464186j -0.0525831-0.0585795j 0.0110731+0.0188631j -0.00627216+0.00737442j -0.0271187-0.0188658j 0.0184284-0.00589471j 0.00961792+0.0371823j 0.0234248-0.00488057j 0.0257363+0.00342785j 0.00835144-0.0302681j -0.0167492-0.0140547j 0.00358638-0.023121j 0.0108801+0.013376j -0.0115589-0.00331605j -0.0112966-0.0210829j -0.0155719+0.00357744j -0.0205051+0.0117562j 0.0135224-0.0040682j 
-0.0543875-0.182312j -0.0580987+0.067908j -0.0268044+0.0455218j -0.198169+0.0388167j -0.00456814-0.0936266j -0.0499282+0.0171085j -0.0563458-0.0258607j -0.00675016-0.00514462j 0.00537535-0.0231729j -0.0269934-0.00865731j -0.0106423+0.0228613j -0.02543-0.0128085j -0.00176815+0.00616286j -0.0135762-0.000197111j 0.0203935-0.0317128j -0.012581-0.0360196j -0.0155419+0.0104102j 0.00462746-0.00678511j 0.0132947-0.00742748j -0.00485927-0.0177042j -0.0223758+0.0255884j 0.0205168+0.0130754j 
0.0259773-0.156695j -0.0181174+0.0769909j -0.181268+0.237695j 0.305628-0.316302j 0.0718796-0.126357j -0.0769362+0.111735j 0.0458564-0.0266689j 0.00149462-0.00440288j -0.0305592+0.0357753j -0.00809079+0.00373792j 0.0335103+0.00333971j 0.0362875-0.0241658j -0.00471454+0.0192171j 0.0206997-0.0010345j 0.00204878+0.0142008j 0.00713224-0.00940286j -0.00361329+0.0185963j 0.000300179-0.00629589j -0.014112+0.0258068j -0.00626641+0.0135922j -0.0216092+0.0187522j -0.0211104+0.0275806j 
-0.195536-0.297512j 0.176672+0.142996j 0.123378-0.106172j 0.0830446-0.00135151j -0.108049+0.115288j 0.0390959-0.0238399j -0.0111233+0.0145649j -0.00508112+0.0136319j -0.00380551-0.00792894j 0.0267618-0.058806j -0.0155785+0.00290117j -0.0138563-0.00342209j 0.0190812-0.0220417j -0.00305358+0.0109452j -0.00137276-0.00876836j 0.0410712-0.0125542j 0.0357332-0.0135223j -0.0258363+0.0084436j 0.00181916-0.00589181j -0.004452-0.0148054j -0.0276525+0.00356841j 0.0280888-0.0134898j 
-0.226678+0.0776644j 0.046078+0.109847j -0.168021+0.159123j -0.075064+0.246372j 0.1168-0.165393j 0.00101464+0.0792273j 0.0178217+0.0435976j -0.000107763+0.0201596j -0.00948581-0.0157615j -0.0569125+0.0335843j 0.00375132-0.0198012j 0.0234357-0.0259422j -0.0413369-0.00507386j 0.019117-0.0153159j -0.0383531+0.0306588j 0.0275478-0.0314258j -6.81713e-05+0.0154451j -0.00856892-0.012988j 0.000889315-0.00769217j -0.0260829+0.0109502j -0.00937671-0.00375567j -0.0270226+0.0291799j 
0.00445906-0.014053j 0.0139642+0.0172651j 0.0122283-0.0565629j -0.0215061+0.0331943j -0.0395616+0.0869323j 0.0402022-0.0683842j 0.0154293-0.0332501j -0.0237812-0.00186008j 0.00232897-0.00823184j -0.0459271+0.00135235j 0.0289592-0.0073382j 0.0536457-0.00138895j -0.047559+0.00435372j 0.00925754+0.00406947j -0.00451823+0.00802578j -0.0130577-0.00070767j 0.0226567+0.000854428j -0.0025607-0.0359035j 0.0133363-0.011269j 0.00575405+0.0251417j -0.00485623+0.012477j 0.00180487+0.000738114j 
0.0575498-0.0389923j -0.0181205+0.013825j -0.0145409+0.00163726j 0.17969-0.349118j 0.00445899+0.0177863j 0.00454266+0.00603736j -0.000222592-0.0318093j -0.0120154+0.0165746j -0.0111655+0.0127665j -0.0108916-0.00496236j -0.0217575-0.0316412j -0.0135182-0.0106167j -0.0294632-0.0149573j -0.0292689-0.0056842j -0.0213871-0.0206597j -0.00390643-0.000387931j 0.000257307+4.31931e-05j -0.00559903-0.004511j -0.0178102+0.00877716j -0.00692871-0.00445582j -0.00104317+0.00926391j -0.000170267+0.00548966j 
0.0486883+0.0258764j -0.0392454-0.0141908j 0.00239694+0.0352435j 0.248954+0.244727j 0.0221499-0.0245946j -0.0256832+0.00015619j -0.00347437+0.000377868j -0.0129981-0.0255385j -0.00791766-0.00302719j -0.00625827+0.0228102j 0.00130158+0.016397j -0.0293565+0.00684999j -0.0145468+0.0113659j -0.0386098+0.0137293j 0.0121393+0.0196434j 0.0125924-0.00654164j 0.00770288+0.0101381j -0.00017467-0.0081821j -0.0237702-0.00922336j 0.00596314+0.00482897j -0.0138153+0.00327419j 0.00300688-0.000113734j 
-0.132934-0.0247404j 0.00428399+0.0631791j 0.0994782+0.189399j -0.216702-0.152144j 0.00249755-0.147126j 0.0336202+0.0550966j -0.0550027+0.00556675j -0.00508541-0.0080499j 0.0194663+0.0364232j -0.00902106+0.00359994j -0.0240091+0.034396j -0.0104566-0.0435286j 0.00728467+0.000282914j -0.00207573-0.0204821j 0.0064623+0.0290693j 0.00428342+0.0129824j 0.00767078+0.0246508j -0.000395437-0.00532564j 0.0136536+0.00700188j 0.00145289+0.0248844j 0.00878894+0.00967231j 0.0305002+0.00460908j 
0.00482864-0.0726761j -0.0446882-0.051008j 0.0916008-0.113655j 0.0223136-0.0403722j -0.154079+0.0519605j 0.127811+0.0221438j 0.0609693+0.0571593j -0.0117444+0.0120348j 0.0065005+0.00194665j -0.0254256-0.0227741j 0.0250941+0.0400457j 0.00996367+0.000713949j -0.0345822-0.00670936j 0.00246814+0.0116199j -0.00535989-0.0353573j -0.00509858-0.00728141j 0.00775052-0.0200514j -0.020087+0.0230428j 0.0129934-0.00306389j -0.00308405-0.00895705j -0.00163126-0.0146055j -0.00031838-0.00622735j 
0.117154+0.114304j 0.060303+0.0209813j 0.240787+0.170249j 0.0700059+0.0822384j -0.214849-0.204105j 0.0710139+0.132365j 0.00335759+0.0236207j 0.00303276-0.0373869j 0.0083037-0.00037013j 0.0456658+0.0434825j -0.0188851+0.00745369j -0.018163-0.0214719j 0.0178359-0.034167j -0.0146297+0.0304617j 0.0319217-0.00794013j -0.0122097+0.00259718j 0.0260207+0.00867824j -0.0152306-0.00448857j 0.0049434-0.00155941j 0.0266197+0.010384j -0.00676481+0.00905711j 0.0475803+0.0018025j 
