0.308899-0.0631973j 0.126897-0.10243j 0.0588524-0.0609154j -0.035037+0.0544302j -0.0931507-0.0577437j -0.0902596-0.0490725j 0.068834+0.055274j 0.0378151+0.0541172j -0.0532882-0.0524127j -0.0140277-0.004551j -0.0710856-0.00185143j -0.0541664-0.000195121j 0.00226761+0.01152j 0.00971982-0.00458595j -0.0446452-0.0373351j -0.00659286-0.00292785j -0.0061347+0.000977177j 0.00303011+0.000451592j 0.011322+0.000247739j 0.0157409-0.00695436j 0.00704652-0.0174112j 0.00468916+0.0123809j -0.0137052+0.00461467j 0.0015765+0.00459129j 0.0217177+0.00175494j 0.0129408+0.00884101j 0.00133511-0.00987754j 0.0113079+0.0268737j 0.0122522-0.00347972j -0.00116793-0.000325587j -0.001106+0.0117257j 0.0189335+0.00524281j -0.0475998-0.0057394j 0.0033703+0.0106049j -0.000977774+0.00344496j -0.00714464-0.010255j -0.025621-0.00989475j 0.013693-0.0265744j -0.000487673-0.0177893j -0.0379428-0.0251505j 
-0.248585-0.044247j 0.0815456-0.028254j -0.121455-0.115156j 0.0374408-0.0441741j 0.0262657-0.053323j 0.0129458-0.0101092j -0.0792533-0.0569314j -0.03498-0.0588097j -0.021411-0.0695321j -0.0097267-0.00671122j 0.0152665-0.0261939j 0.026271-0.0463503j -0.0306468+0.0175658j 0.00689225+0.00820084j -0.00260759-0.0133869j 0.00373661-0.00774749j -0.00154018-0.0112299j 0.00122919+0.019127j -0.00587152-0.0137278j -0.000475831+0.00276829j -0.005664+0.0216589j -0.00365976-0.00794606j -0.00869163+0.0228138j 0.0149852-0.00774507j -0.0189125-0.00209079j 0.00289436+0.000437906j -0.00992618+0.00235609j 0.00702054+0.0134475j -0.0018004+0.00283068j 0.00326807+0.00538335j 0.0106486+0.00312996j -0.00362863+0.0029361j 0.0177594+0.00701796j 0.00898779-0.00440479j -0.00232037+0.00175087j 0.00809638+0.00102642j 0.0138198+0.00796253j -0.00760054+0.00646248j -0.0030026-0.0118595j 0.00729426-0.0139911j 
0.0414502-0.0115887j 0.0239321-0.0939362j -0.0381152+0.00526596j 0.12609+0.0278034j -0.013137+0.0410039j 0.191238-0.200127j -0.15572+0.0639978j 0.0567388-0.12237j -0.0702407+0.0382389j 0.0408723+0.0109276j 0.0545056-0.0152844j 0.00351099-0.00484357j 0.0314272-0.00326886j 0.0139875-0.0197817j 0.0193366-0.00894242j -0.013941+0.00493814j 0.00970492+0.00506332j -0.00473357-0.00990302j -0.00779423+0.0103815j 0.00671425-0.0115684j -0.0133608+0.00360879j -0.00300691+0.013868j 0.004836-0.00227549j 0.0110545+0.015614j 0.0148534+0.0167665j -0.00890563-0.00523884j 0.011304+0.0100751j 0.0185606+0.00994964j -0.0159188+0.0108074j -0.00270979-0.0360632j -0.0006643-0.0185677j -0.00899246+0.0236482j -0.0024843-0.000119144j -0.0151998+0.00232934j 0.000392831+0.0271205j -0.00711305+0.00866815j 0.0180152+0.0069829j 0.00438149-0.0150125j 0.00471395-0.00278394j -0.00348577-0.0081438j 
-0.270503+0.0233313j 0.0577945+0.053998j -0.200404+0.0741204j -0.0610266+0.130191j -0.060065-0.0633208j -0.0890999+0.0343296j -0.00769311+0.10666j 0.0753725+0.0877615j -0.0308811+0.0485995j -0.0127699+0.0080445j 0.0111874+0.00971458j -0.0157268+0.0139276j 0.00865016-0.00223902j 0.0327372-0.0439188j 0.0513003-0.0131915j 0.0037517+0.0182698j 0.0146521+0.00388429j -0.00901754-0.0322493j 0.0121667+0.0121051j -0.00595431-0.035535j -0.00677573-0.0386485j 0.0191567+0.0207017j 0.00750516+0.00759389j -0.0011544-0.0205285j -0.00541745-0.00285307j -0.00111086-0.000158661j -0.000828815+0.0132756j 0.0183381+0.00902435j -0.0120743-0.0167866j 0.00633131+0.0162369j 0.00306172-0.00922177j 0.00682507+0.00169145j -0.0167639-0.0107438j 0.00259197+0.00319826j -0.0011104-0.00374268j -0.0010731-0.00014176j -0.00637568-0.00436344j 0.0016756-0.0173216j 0.00354077+0.0194293j -0.00961452-0.0284485j 
-0.0197109-0.350908j 0.0999977+0.0628863j -0.0625962-0.212646j 0.0626656+0.0189317j 0.019445-0.0302705j 0.032155+0.0321263j -0.0875276-0.0241444j 0.0246559-0.0429476j -0.0201219-0.0717639j -0.0164086-0.0038419j -0.0161425+0.0251395j -0.0113491-0.0130839j -0.00635513-0.0146802j -0.00343885-0.0102707j 0.0139335+0.0245255j -0.00969273+0.00623916j 0.00525671+0.00771048j 0.00138771+0.00470869j -9.3634e-05+0.0083377j -0.011316+0.000613027j -0.00747833-0.00355887j -0.00990161+0.00724843j 0.0113143+0.00265077j -0.00555819-0.00899073j 0.0128-0.0118311j -0.00478256-0.00148202j 0.00684107-0.00653019j 0.00280198-0.0112429j 0.00141061+0.00924871j 0.00536334+0.00552234j 0.00566017-0.0178661j -0.00352963-0.00191561j 0.0175886+0.0204593j -0.00398331-0.000884573j 0.0039022-0.00693888j 0.00301551+0.00705375j 0.0131834+0.00676713j 0.00409383+0.00318276j 0.00825022+0.00667009j 0.00314827+0.0134775j 
-0.0646195-0.179104j -0.0360705-0.0315544j 0.018837-0.0819408j -0.135976+0.0104421j -0.041292+0.147256j -0.0671418-0.196264j 0.103435+0.00702483j -0.0251771+0.0987767j 0.0416464+0.0106202j 0.00710132-0.00747562j 0.00845149-0.0304637j -0.00490841+0.0186827j 8.84273e-06-0.00844482j 0.0257188+0.0143006j -0.00175424-0.00241333j 0.00604919+0.01089j 0.00105612-4.56955e-05j -0.00247532-0.0158995j 0.000858408-0.00327255j -0.0041932+0.00747357j 0.0244244-0.0222112j 0.017696-0.0194554j 0.0136195-0.0064043j -0.00720502-0.00341777j -0.0215791+0.0093905j 0.00756768-0.00493458j -0.00741252-0.0138337j -0.00949414-0.00785629j -0.0209277-0.0202007j -0.0128857-0.0355593j -0.0131634+0.031479j 0.00421881-0.00554001j -0.00684158-0.0127176j -0.00628848-0.0106239j -0.00267666+0.0247776j -0.0250588-0.0331108j -0.0296699+0.00496039j 0.00364453-0.0289847j -0.0167143-0.00517019j -0.00336945+0.0135201j 
0.0351156+0.195122j 0.0130491+0.0139304j -0.0230712+0.0251494j 0.00405078+0.126692j 0.0527372+0.168457j 0.0352976-0.0856143j -0.132174-0.196096j 0.107935+0.000385331j -0.047797-0.0218664j 0.0228679-0.0129331j 0.0360779-0.0520132j 0.00885018+0.0222727j 0.0201247+0.0127439j 0.0303704-0.0168414j 0.00265711-0.000960967j -0.0109017+0.00894192j 0.006067+0.00231117j -0.014585+0.0035123j 0.001171-0.0119908j 0.000965955+0.00569503j 0.0212782-0.0315673j 0.00283961-0.0220453j 0.00296202+4.56974e-05j 0.0201142-0.0129794j 0.00826465-0.00947272j -0.00792507+0.0195635j 0.0160581+0.0041172j 0.00940567-0.00187479j -0.0121394-0.000429562j -0.020116-0.024026j -0.0089471-0.0187529j 0.0194282+0.0151943j 0.0360681-0.00665625j -0.0211896-0.00391262j -0.00302705+0.0124512j 0.000653579-0.0321106j -0.0095088-0.00977146j 0.0159588+0.00374653j 0.0110859+0.00572898j 0.00530367-0.00524093j 
0.0994998+0.0880475j 0.0120689-0.0609597j 0.0378764+0.237495j -0.0825977-0.000909181j -0.0475507+0.00410467j 0.196039+0.10903j -0.0674521+0.121623j -0.00942304+0.0389893j 0.0155349+0.144455j -0.0209717-8.60039e-05j 0.00679241+0.0477704j -0.0022591+0.0493684j 0.027811-0.0122636j 0.0557128+0.00586542j 0.0460773-0.0329102j -0.00470463+0.0065238j 0.0116229-0.00755578j -0.0348334-0.0334286j 0.00117788+0.00318885j -0.00487934-0.0293641j 0.0123567-0.0103727j 0.0165644+0.0264824j 0.0308086-0.0113849j -0.00912702-0.00538678j 0.00439953-0.00276429j 0.0202586+0.00370127j 0.00286128+0.00950819j -0.0080752-0.0088806j -0.012584-0.00780234j 0.0125168+0.0268493j 0.0149332+0.0123965j -0.0274494+0.00589988j -0.0130881+0.0197735j 0.00882317+0.00906441j 0.00137523-0.00875277j -7.73914e-05+0.0107285j 0.0202819+0.001136j 0.0118242-0.0250415j -0.0137272+0.0226176j 0.00997434+0.0227038j 
0.0119081+0.0074584j -0.0248715+0.00438444j 0.0901982+0.160161j 0.212331+0.0815567j 0.00309635+0.103507j -0.116765-0.0322659j 0.173865+0.083595j 0.187623-0.139089j 0.0969408+0.179915j 0.0106101+0.00538969j 0.000673798+0.0250418j 0.021956+0.0516706j -0.0147482+0.00182282j -0.00513879+0.0157072j -0.0190152+0.0379787j 0.00161937+0.00158624j -0.00732025+0.00990197j 0.0202661+0.0120247j -0.00881067-0.0254896j 0.00505895-0.0229018j -0.0464914+0.00485865j 0.0234902+0.00527969j -0.00809254+0.0325059j -0.011719+0.00169902j -0.00140551+0.000601961j 0.00410918+0.0138777j 0.0060085-0.0178714j -0.00292677-0.0279019j -0.0164849-0.00836689j -0.0161743-0.00593664j 0.0163932-0.0241121j 0.0140891+0.00973301j 0.00399109+0.00374218j -0.0310305-0.0115059j 0.00393318-0.00232238j -0.00180246+0.00871959j -0.00690699-0.0161461j 0.00579006-0.00340479j 0.0155929-0.00174232j 0.00834421+0.0318294j 
0.04184-0.000538227j -0.0356955-0.0157891j -0.0689329-0.0367511j -0.0729156+0.119261j 0.10606+0.130437j -0.178323-0.0276098j -0.155516-0.191513j 0.0977787+0.0774542j -0.0181679-0.0193477j -0.00634698+0.0115582j -0.0465543+0.0140539j -0.0374203+0.0338429j -0.000379536+0.0220349j 0.0198151-0.00263209j 0.0271185+0.0129751j 0.00096113+0.00759975j 0.00429097+0.00796684j -0.0179231+0.0107763j 0.00189784-0.00810704j -0.00628545-0.00654861j 0.00893145-0.0185439j -0.0287137-0.0150602j -0.0100495+0.0118335j -0.0155865+0.010088j -0.00711267+0.0165734j 0.0111496-0.0140773j -0.00832329+0.00926271j -0.00788454+0.00947773j -0.00194255-0.0114148j -0.0165994-0.0109493j 0.0204463+0.0160472j 0.037459+0.0036513j -0.0055725+0.0428433j -0.000393863-0.0381846j 0.0189465-0.0244367j 0.0338277-0.00744232j 0.0211975-0.0360121j 0.0132617+0.0153362j 0.0014896+0.0259702j -0.00606955+0.00164947j 
0.0140531-0.101234j 0.0197382+0.0245392j 0.0297967-0.0361921j -0.12823+0.0492821j -0.218786+0.0584904j 0.283433+0.0624257j 0.0205027-0.0424341j 0.0331123+0.105597j 0.00774647+0.0426195j -0.0150346-0.0233568j 0.0473509-1.08059e-06j -0.0823604+0.0394133j -0.0269914+0.0247648j 0.0131947+0.00985176j 0.00380517+0.0399639j -0.0147438+0.0266713j -0.00264045+0.0143629j 0.00424105+0.025609j -0.00324123-0.0166105j -0.00688951-0.0196703j 0.0313325+0.004941j 0.0262328+0.000772047j -0.0383224+0.0261221j -0.00784502+0.017864j -0.0141597+0.00556439j 0.0126767+0.00855256j 0.00395474-0.0059681j -0.00485497-0.00424427j -0.00811407-0.00591128j 0.0190776+0.00532588j 0.0292206+0.0411099j -0.00506767-0.00914673j -0.00668183+0.0057941j -0.00517155-0.0172974j -0.000424307-0.00319575j -0.0198097-0.0102243j 0.0114201+0.0100371j -0.00281533+0.00283276j -0.0178423+0.0216613j -0.00998605+0.00541334j 
-0.102316+0.0533112j 0.0118342-0.00893065j 0.134758-0.0537637j 0.0990698+0.101512j -0.118479+0.0112448j 0.173064+0.0225151j 0.105298-0.121982j 0.0949148+0.0272303j 0.0707601-0.103089j 0.0119785-0.0187861j 0.0766227-0.0201662j 0.093475-0.0147263j -0.012426-0.0224796j -0.0528415-0.0174365j -0.00407862-0.00937052j -0.00140089-0.0328168j -0.000571541-0.0144815j -0.00450188-0.0245741j 0.0123984-0.00220664j -0.00273249+0.0233757j -0.00644011-0.0183542j 0.0367396-0.00207958j 0.0272655-0.0319303j -0.0116018-0.000119467j -0.0521964+0.0148267j 0.0172365-0.00508296j -0.00403195+0.0252065j -0.0118289+0.0129071j -0.00417851-0.00722671j -0.00998034+2.07356e-05j 0.0156132-0.00447555j -0.0176408-0.00196518j -0.0100688+0.0139386j -0.00554323-0.00212028j 0.0127711-0.0103567j 0.016792+0.00310381j 0.0217308-0.0131304j -0.0249691+0.0164282j 0.0131659-0.00250277j 0.023351-0.00469345j 
-0.0418252+0.0237103j -0.0406147-0.018561j -0.0217976+0.0301693j -0.0135162+0.05208j 0.032378+0.0393334j 0.307169+0.00508222j -0.202246-0.0481178j 0.0277792-0.00171441j -0.016985+0.0508538j -0.00474273+0.00930214j 0.0555219+0.00352047j 0.0197482-0.0446283j 7.73052e-06-0.0249402j 0.0193584-0.0112429j 0.0367751+0.0340922j -0.0124907-0.0136651j 0.00689932+0.00534432j -0.00548929+0.00872243j -0.0032795-0.00393244j -0.00920019+0.00879252j 0.0119234-0.00731901j -0.0155251-0.0229308j -0.00458124-0.00641608j 0.00358307-0.000670524j -0.0116486-0.0196405j 0.00210104+0.0057457j 0.0044684-0.0116228j -0.00612818-0.0333067j 0.0112644+0.0123174j 0.0276689+0.0186839j 0.0178337+0.0035286j -0.0254859-0.0125411j 0.0310833+0.0198275j 0.0136449+0.00769457j -0.0129092-0.0128514j -0.0107073+0.00397792j 0.0282589+0.00860171j 0.00345011+0.0170429j 0.00119481+0.0166983j 0.0219086+0.0355783j 
-0.0152705+0.0353966j 0.0391672+0.00393915j -0.00459409+0.125744j -0.185717-0.0042091j 0.259141+0.0594456j -0.127009+0.201238j -0.122639-0.0054988j -0.00196537+0.138442j 0.0718623+0.0852951j -0.0207978-0.0162048j -0.0194009+0.027911j 0.0426979+0.00258918j 0.00369046-0.030021j 0.0346079+0.0266105j 0.0342445+0.00015791j 0.000158707-0.0020208j 0.0123562-0.00476703j -0.0281578+0.00331265j 0.0154248-0.0331596j -0.0118906+0.00295866j 0.0473613-0.0160922j -0.0484179-0.0329426j 0.00115023-0.0237704j 0.00634651+0.00786177j -0.00841663-0.0139566j -0.0116853-0.0138786j -0.00410506-0.0220228j -0.021072-0.0322783j 0.00779438-0.0097674j -0.00974168-0.0173357j -0.00356816+0.0171651j 0.0131254+0.00290812j 0.0396645+0.015359j 0.0215709-0.0122607j -0.00503873+0.00955259j 0.00280619-0.0102055j 0.00132891+0.0179775j 0.00880829-0.00733074j -0.0179691+0.00683963j 0.0314435+0.0496671j 
-0.0554392+0.0518779j 0.0270013-0.0335628j -0.0214489+0.0493378j -0.126329+0.0373935j -0.135571+0.0169404j -0.152524-0.0439206j 0.156032+0.0598309j -0.0518509+0.0980936j 0.00704632-0.00413344j -0.0195792+0.0463506j -0.0242224+0.0199666j -0.0402796-0.0518495j -0.0223865-0.0175206j 0.0180573+0.0128088j -0.0256612+0.0320067j 0.00853338-0.0506053j -0.0125573-0.000829164j 0.0395738+0.00596728j -0.00745407+0.0305016j 0.0028266+0.0562079j 0.0359596+0.0027532j 0.037664-0.00317447j -0.0153875-0.00132571j -0.00941743+0.00608261j -0.0152389-0.00450326j 0.0188555+0.00270946j -0.00462313+0.00613595j -0.00271528-0.0256058j 0.00631748-0.00555263j -0.0211484-0.00719695j 0.00816173+0.029437j 0.0229141-0.0152294j -0.0301801+0.00782005j -0.0176638-0.00755886j 0.0107308-0.0113736j 0.0075059-0.0254405j -0.0305924-0.0276215j -0.00711387+0.00161349j -0.0148463+0.00245017j -0.017691+0.0209456j 
0.0240515+0.0501472j -0.014496-0.0161654j -0.0651597+0.0200384j 0.175163+0.0938185j -0.0183668-0.0747648j -0.016898+0.0583909j -0.074663-0.0401572j 0.13232-0.126733j -0.0754541-0.0936231j 0.00320628-0.0358469j -0.0222108-0.0269319j -0.0376982-0.00549462j 0.0140818-0.0174733j -0.00886573+0.0261844j -0.00139754+0.0405153j -0.00146797-0.0384606j 0.000793203-0.00118994j 0.0698+0.0280649j -0.0150348+0.0208076j 0.00605261+0.0769222j -0.0433744-0.00368729j 0.000432688-0.0267399j -0.0139644+0.0139212j -0.00910753-0.00274953j 0.014838+0.00121108j 0.0212743+0.0015274j -0.000332778-0.00379693j 0.00238492-0.0140183j 0.00897579+0.0184087j 0.0288645+0.00912745j 0.0111147-0.0352693j 0.00670245+0.0059167j -0.0150773-0.0132783j 0.000649504+0.000838794j -0.00292784+0.00496611j -0.00430331+0.0243798j 0.00928436+0.00918877j 0.0136065+0.0165064j 0.0204201-0.00985014j -0.0165631+0.000389458j 
