-0.263844+0.288994j -0.261145-0.292062j 0.474227+0.0856953j -0.0028469+0.644418j 0.475119-0.0814518j -0.121188-0.255383j -0.204327+0.252016j 0.146032-0.133018j 0.259635+0.00891526j -0.0320591+0.0480767j -0.0441326-0.0482316j -0.258836+0.00778433j 0.147648+0.134432j -0.199251-0.250186j -0.120748+0.254083j 0.102835-0.0499811j 0.0579445+0.0751216j 0.0853052+0.125822j 0.0704308+0.0258488j 0.0955637-0.126035j -0.00988103+0.0506044j -0.0750602+0.077594j 0.000542485+0.0825941j 0.137524+0.0149446j 0.0268606+0.0273803j -3.94013e-05+0.0817363j 0.0265045-0.0264187j 0.137359-0.0135542j -0.00440812-0.0889255j 0.0740476+0.073289j -0.0101327-0.0529548j -0.0938919-0.126676j 0.0692009-0.0269751j 0.086387-0.123468j 0.0596445-0.0753612j 0.101983+0.0499749j 
0.0509409+0.0326854j -0.0467111+0.0470084j 0.0145262-0.088711j -0.0192163+0.00582343j 0.0549879+0.0731702j 0.0305299+0.0198428j -0.0534957-0.00149659j -0.0111165-0.0882428j 0.0347693-0.0258629j 0.0244706-0.0301691j 0.0920948-0.00666279j 0.0570161-0.0462226j 0.0506835-0.039836j -0.0458175+0.0153719j -0.0188875-0.0523229j -0.0048781-0.0103889j -0.0378674-0.024358j -0.0383282-0.00867838j -0.080639-0.0473619j 0.0150791+0.0148449j -0.11372+0.0208926j 0.0448124+0.0808493j -0.0929682-0.067034j -0.0325346-0.00434167j -0.00696374-0.00522931j -0.0162351+0.149987j 0.0372759-0.0408116j 0.0358288+0.00104665j -0.16385-0.0678962j -0.0702389+0.0123247j 0.0580779-0.0231601j -0.0845994-0.0074905j 0.013485+0.0685753j -0.0732699+0.0646779j -0.00356719+0.00743722j 0.107415+0.0024868j 
-0.0110401-0.0526901j 0.0267611-0.0511795j 0.0403451+0.0444067j -0.0217068+0.00254662j -0.0833834-0.0234511j 0.0450254+0.0744398j 0.0274411-0.00144594j -0.01892-0.115823j 0.0571087-0.0444857j -0.106318-0.102497j 0.00174736+0.0344318j -0.0964737-0.0944177j 0.112593+0.0266312j -0.0211405+0.0197481j -0.0275679-0.0857973j 0.142125-0.0142158j 0.0895871-0.10542j -0.0690716+0.0460493j -0.0294672-0.0686611j -0.037282-0.0699859j -0.0157972+0.0487912j -0.0276923-0.0760096j 0.00362262+0.0564857j -0.103288-0.0176481j -0.0195877+0.0385072j -1.77738e-05-0.0982071j -0.0247496-0.0570641j -0.0247298-0.0214972j 0.0888303+0.0260457j 0.109304-0.0323063j -0.0344488-0.0023536j 0.0461027+0.0197826j -0.0703785-0.0541275j 0.0228091-0.0124434j -0.183905+0.0843644j 0.0607674+0.17125j 
-0.0506765+0.00362444j -0.00269123-0.0691439j 0.0645464+0.00457805j 0.0240328-0.074192j 0.0797869+0.0458983j 0.0431336+0.0565897j -0.0140821-0.00634462j 0.0788393+0.0444754j -0.0329157-0.110553j -0.0351463+0.0996258j -0.0644294+0.193542j -0.100203+0.122701j -0.00171201+0.0799639j 0.005592-0.0406028j -0.0277774-0.0503863j 0.0385055-0.00623509j -0.00851542-0.0447715j -0.0602287+0.061328j -0.105712-0.0610175j 0.011526-0.0348491j -0.0343912+0.04444j 0.0809455+0.0206459j -0.0389062+0.00964232j 0.0408146+0.00214004j 0.00810712-0.0517129j 0.0468983+0.130391j -0.15528-0.0499465j 0.0594175-0.0245427j -0.126375+0.0824726j -0.0269219-0.075754j 0.024843+0.0451542j 0.0459845-0.0319597j 0.0170278+0.0448563j -0.0636246+0.0911669j -0.0363315+0.00530504j 0.0859454+0.0580613j 
-0.0138846+0.0742148j -0.0659643-0.0178928j 0.105361+0.0777035j 0.0174078-0.0135803j -0.0780307+0.0388865j -0.0280696-0.0245187j -0.047177-0.0144342j -0.0160788-0.00720013j 0.0673466-0.100779j 0.0448064+0.0533718j 0.0302266-0.0103353j 0.0569699-0.0583983j -0.0827795-0.0493092j -0.00596882+0.0250907j -0.0350012+0.0147185j -0.0269761+0.00970459j 0.0017628+0.0124018j 0.0258184-0.000912801j 0.0212676+0.00117342j -0.0109024-0.00461167j 0.0746025+0.0615561j -0.0112995-0.0156782j -0.0389437+0.0454121j 0.00321147+0.0440119j 0.00283335+0.0347838j 0.0309047+0.0565645j -0.133929-0.0254185j -0.0144447-0.00614596j -0.052062+0.0960974j 0.0776217-0.0599788j -0.069888-0.00436647j 0.0433325-0.000200923j 0.0140553+0.00230746j 0.0789632+0.0030828j 0.0538865-0.0143562j -0.0288978-0.0304488j 
0.0689484-0.0079851j -0.0114324+0.058671j -0.0168245-0.011732j -0.00821734-0.0133339j 0.0402658-0.0285683j -0.0416644+0.0193599j 0.0606878-0.00552038j -0.00862094+0.0573842j -0.0774136-0.0410604j -0.0220509+0.00043877j -0.0551083+0.103078j -0.0934363-0.0344244j 0.0233587+0.131518j -0.0179098-0.0961321j 0.0038068-0.0243895j 0.0423793-0.00252891j 0.0604796-0.00894162j 0.0814995+0.0198233j 0.0418593-0.00262702j -0.0696423-0.0744278j -0.0204509-0.0346486j -0.0660736-0.172444j 0.0527671-0.116142j -0.0336594-0.0176553j -0.19346-0.0441787j -0.0727377-0.0606816j -0.00870998+0.0254725j -0.00702497-0.0369045j 0.113382-0.0463165j 0.0316379-0.0370941j 0.0795861-0.0305077j 0.0491964-0.0388725j -0.0355146-0.0527367j 0.058617-0.0282044j -0.0666838+0.0395734j -0.0128569+0.0609032j 
-0.00954885+0.00738272j -0.00903263-0.0072361j -0.0238185-0.0687509j -4.61082e-05+0.0970467j -0.02519+0.0696984j 0.0617847-0.0118053j 0.160346+0.0222409j 0.0395911-0.0624206j 0.0607428+0.115069j -0.178811-0.0506248j -0.180336+0.0506913j -0.0497046+0.110531j 0.0392994+0.0576706j 0.161968-0.0210938j 0.0622504+0.0107178j -0.0613082+0.0819757j -0.00328381+0.0337902j 0.0944726-0.0451903j 0.0916429+0.0515287j 0.0548549+0.0172496j 0.00393802+0.0944847j 0.0307526+0.0130477j -0.0438082-0.0319859j -0.0500811+0.0197975j -0.0159644-0.00930064j -0.000197726+0.0582787j -0.0159628+0.0120036j -0.0518974-0.017624j -0.0394679+0.0320207j -0.0326825+0.0147536j -0.000453802-0.0945475j -0.0553059+0.0192507j 0.0896458-0.0514679j 0.0954254+0.0424904j -0.000891447-0.0336839j -0.0622964-0.0824098j 
0.0118327+0.0582385j -0.0687042-0.00797304j -0.0414944-0.0283326j -0.00787972+0.0154689j 0.015628-0.011161j -0.00181103-0.0224778j 0.0210985-0.0956222j -0.0204899+0.128315j -0.0935559+0.0337681j 0.0484474+0.102431j 0.0157965+0.00310123j -0.0785337+0.0456666j 0.0125371+0.0573643j -0.0580134-0.00514384j 0.0421827+0.0179781j 0.0132678+0.0607836j 0.065161+0.0393453j -0.0589891-0.027548j 0.034597-0.0513325j 0.0498029+0.0397137j -0.0807709-0.030014j 0.0243277+0.0345005j -0.112497-0.0490888j 0.00472989-0.0369738j 0.0117574+0.024588j -0.0745334+0.0566997j 0.193928-0.0446214j 0.0344584-0.0182585j -0.0481525-0.129615j -0.070356+0.163417j 0.0204223-0.0353105j -0.0703348+0.0749193j -0.0408694-0.00331974j -0.081364+0.0206116j -0.0620956-0.00863424j -0.0411284-0.00202516j 
0.0647979-0.020139j 0.015491+0.0736156j 0.0773419+0.0413395j 0.0184276+0.0141271j -0.107437+0.0778066j 0.0369351+0.0117401j 0.00493816+0.02518j 0.0812506-0.0501915j 0.0565567+0.056643j -0.0284926-0.00358374j -0.0395313+0.0582651j 0.0712761+0.102231j 0.0130048-0.0108532j 0.048032-0.0150927j 0.0251954-0.0217093j 0.0249974-0.0279263j -0.0514978-0.0142689j -0.0776913+0.00722874j -0.015914+0.00374571j 0.0435413+0.0013588j 0.0693597-0.0039442j 0.0827043+0.0708873j 0.0526182+0.0955555j 0.012272-0.0073321j 0.14126-0.0294955j 0.0340988-0.0593079j -0.00550395+0.0329749j -0.000530247+0.0447947j 0.039974+0.0460908j -0.00606701+0.0169934j -0.0723804+0.0647534j -0.00878386+0.00478251j -0.0168314+0.000188247j -0.0241193+0.00141121j -0.000914204+0.00990504j 0.0259002+0.00921934j 
0.00117966-0.0681629j 0.0497327+0.00154311j -0.0808239+0.0439525j 0.0247329+0.0742176j -0.06138+0.00459105j 0.0281303-0.0506596j -0.00328338-0.0398571j 0.000148799+0.0809338j -0.104678-0.130966j 0.0608664+0.188781j 0.0338535+0.105135j -0.0377016+0.106513j -0.0784505+0.0480982j 0.0140471-0.00762859j -0.0423052+0.0572566j -0.0851899+0.0601501j 0.0380326+0.00385292j 0.0679005+0.0907058j -0.0154197+0.0444585j 0.0494878+0.0307177j -0.0241873+0.046216j -0.0190506+0.0813801j 0.124862+0.073425j -0.061627-0.0227219j 0.150067-0.0521291j 0.0444754-0.124697j -0.0104184-0.053608j -0.0415733+0.00080543j 0.0292833+0.0126303j 0.083354-0.0209416j 0.0350877+0.0413008j 0.0118567+0.0345518j 0.106224-0.0609054j 0.0627282+0.0612839j 0.00821845-0.0440919j -0.0397818-0.00720302j 
0.0273709+0.0513893j -0.011145+0.0526952j -0.082453+0.0244196j 0.0225646+0.00267415j 0.0392444-0.0439853j -0.0266017+0.0865121j -0.0228547-0.0191063j 0.113961-0.0278385j 0.0977537-0.0904664j 0.0026405-0.0384933j -0.108298+0.101439j -0.051988-0.0469057j -0.018379+0.114954j 0.0296122+0.00218534j 0.0454939-0.0749007j 0.0577059-0.171989j -0.184206-0.0826127j 0.020515+0.01184j -0.0695345+0.0544577j -0.0455361+0.019543j -0.0337114+0.00312218j -0.10243-0.0326919j 0.0989891-0.0216605j -0.0252392+0.022497j -0.0233529+0.0552036j 0.000182419-0.0983091j -0.0203458-0.0395742j -0.102886+0.0182795j 0.00195423-0.0491971j 0.0276828-0.0818568j -0.0164581-0.0483465j 0.03789-0.0705171j -0.0291837+0.0691465j -0.0702207-0.0467608j 0.0907619+0.10416j 0.141933+0.0126267j 
0.0461928+0.0463057j -0.0502668+0.0320711j -0.0547301+0.0743154j -0.0186528-0.00637541j -0.0140478-0.0895235j 0.0202381-0.0536122j 0.0477797+0.0151258j -0.0549409-0.0408566j 0.0584779+0.0439071j -0.0926883-0.00459146j -0.0208816-0.0305611j 0.0334083+0.0244403j 0.009249-0.0878915j 0.0528743-0.00447623j -0.0304748+0.0214261j -0.104826+0.00421988j 0.00656323+0.00352112j 0.0783408+0.0647617j -0.0144411+0.0696529j -0.0784469+0.0068022j -0.0571036-0.0222936j -0.0577354-0.0147057j 0.169191-0.0645996j -0.0376706+0.00224247j -0.0386397-0.0451569j -0.0149222-0.148946j 0.00511251-0.00610645j 0.0310247-0.00591357j 0.0871819-0.0570102j 0.0524329-0.0860628j 0.115366+0.0200437j 0.015049-0.0155278j 0.080089-0.047468j 0.0405963-0.00803415j 0.0366969-0.0240126j 0.00358386-0.0096088j 
-0.0410792-0.005169j -0.0363055-0.0498536j -0.0841692-0.0426073j 0.0512985+0.0765992j 0.0137958+0.0572623j -0.0370081+0.0412298j -0.144024+0.028524j 0.143082+0.00523615j 0.0868957-0.014197j 0.116512-0.0481787j -0.0104422-0.0147987j 0.0654508+0.00782908j -0.0365709-0.0308294j -0.0134997+0.0813253j -0.0110612-0.0471537j -0.182923-0.10059j -0.145943+0.162052j -0.0716632-0.0213451j 0.13141+0.0309195j -0.0793389+0.0219653j -0.0449527+0.0289153j -0.0875858-0.0400417j 0.0810609-0.121779j -0.0492089+0.00247681j -0.0347473+0.127189j -0.035955-0.118146j 0.00846804-0.0162706j -0.00337719+0.0764448j 0.061144-0.0490978j 0.021357-0.0538077j -0.0855187-0.0246659j -0.083658-0.035552j 0.135639-0.0241053j -0.0440137+0.0229646j 0.0891053-0.0597127j 0.00342581-0.0520397j 
0.00583331-0.00802191j 0.0405211-0.00179267j 0.0688776-0.129225j -0.115542-0.0360952j 0.0182706-0.0227955j 0.0148132-0.0618724j -0.0320554-0.0301959j 0.063476+0.0206045j 0.0205881+0.0171721j 0.0311515+0.0681227j -0.00808241+0.0408486j 0.03166+0.139815j 0.00549135-0.0374133j 0.0569141+0.0331075j -0.030105+0.0137841j -0.142736+0.0760781j 0.121251+0.0962874j -0.0939954+0.10866j 0.0296014-0.0889394j -0.160174+0.0442349j -0.0198276-0.0067548j -0.0470457-0.0915532j -0.0546024-0.0847536j 0.00955146+0.0190682j -0.0669391+0.111857j -0.0399703+0.0128386j -0.00821408-0.00629258j 0.169729-0.0826807j 0.0382381-0.0618783j 0.034228-0.0368659j 0.0275625+0.0615277j -0.0186867+0.0524383j 0.0254516-0.0712407j 0.024061+0.0243552j -0.0221353-0.0305038j -0.0227081+0.00188254j 
