0.124008-0.263534j -0.192741-0.301462j 0.319714-0.161529j -0.00835062+0.0321433j -0.0783198+0.44696j -0.149749+0.11746j -0.604999-0.0845941j -0.0822944+0.204204j 0.0494235+0.400324j 0.0707612-0.0704786j -0.203029+0.0345499j 0.137467-4.89042e-05j -0.168203-0.22199j -0.0981941-0.153554j -0.0598587+0.0123153j -0.0308471+0.0630838j -0.0607877+0.017718j 0.0381819-0.214599j -0.0805452+0.0390362j 0.00420718-0.00194383j -0.0503148+0.260491j 0.151616-0.0324968j 0.258451-0.143187j -0.194188-0.156403j 
-0.0891139+0.0757684j 0.00432466-0.0650797j -0.057332+0.0149303j 0.0848589+0.0347189j -0.00852509+0.0514061j -0.0742487+0.124696j 0.0822236+0.00935158j -0.0326625-0.0831545j -0.0299162+0.0196824j 0.079885+0.0735175j -0.18295+0.0383023j -0.0243175-0.0390928j -0.0438794-0.113478j 0.0364618+0.221561j 0.000894982-0.0768536j 0.0865079+0.109856j 0.0920675+0.292778j -9.37894e-05+0.0445267j -0.0450023-0.114411j -0.0518226-0.0249389j -0.00801653+0.0190308j 0.0879347+0.0123482j -0.1337-0.0537935j 0.115383-0.0430244j 
-0.100445+0.01973j -0.0321957-0.0141227j 0.0203443+0.03379j -0.0327867-0.0847493j 0.0157773-0.0217742j 0.122014-0.00704508j 0.0141277-0.0846535j -0.028133+0.0611262j 0.0781285-0.00289382j 0.124727-0.162285j 0.060833+0.0643027j 0.129601-0.036913j 0.143082-0.0214584j -0.0919732-0.0593974j 0.0666786+0.0275858j -0.160497-0.05487j -0.0733514+0.250123j -0.0160848-0.0115542j 0.119635+0.0487618j -0.068135+0.014877j 0.0996212-0.0746346j -0.0316507-0.0508393j -0.00720215+0.103404j -0.0367951-0.0571217j 
0.0173165+0.115238j -0.0869666+0.0590221j 0.0946702+0.0705813j -0.0479413-0.0161581j -0.0341648+0.076925j 0.058229-0.0891929j 0.011282+0.0664498j 0.0176666+0.045934j -0.072923-0.0183782j -0.194664+0.121037j -0.0414197-0.14007j 0.0412409-0.0107822j -0.0383086+0.184848j -0.100663-0.249284j 0.0338126+0.10568j 0.0100114-0.0961978j -0.0210501-0.0711231j 0.0147012+0.016757j 0.108637-0.0119509j 0.117757-0.0108114j -0.127714+0.0325719j -0.0212874+0.072133j 0.0339889-0.120105j 0.0382656+0.0651515j 
-0.0730757-0.0088611j -0.0644391-0.116026j -0.0976651+0.0630387j -0.0188465+0.087288j 0.0237778+0.00945523j -0.0255086-0.107227j -0.00780787+0.00246024j 0.11471+0.0121296j -0.0433077+0.0161471j -0.0617492+0.216238j -0.191823+0.0933444j -0.0728089-0.0847501j 0.0497185+0.0846099j 0.0733441-0.129354j -0.0272823+0.021968j 0.20035-0.0944204j -0.0278736-0.0160048j -0.00773962-0.0114836j -0.0455049-0.145898j -0.0166462-0.0978105j 0.0162641+0.0768015j 0.034898+0.0326795j -0.0529192-0.0241092j 0.0194701-0.0101873j 
-0.0114514-0.0716711j 0.000465718+0.0576882j -0.0117021+0.0215654j -0.022979-0.00272444j -0.0366737+0.0236199j -0.00654115-0.0228703j 0.0471385+0.119658j 0.00177381+0.0425288j -0.118006+0.0739882j 0.0103034+0.00318918j -0.0242308+0.0162361j 0.00762671-0.0161335j 0.00919606+0.0333638j 0.0113912+0.0349048j -0.0110665+0.0448947j 0.0013479+0.00147656j -0.0120382-0.0108082j 0.143216+0.00856134j -0.0273011-0.00488416j 0.0540657-0.000600649j 0.00983013-0.0032454j -0.000707899-0.0235279j -0.0419223+0.00769095j -0.0715584+0.0113518j 
0.0738041+0.0517656j -0.0522772-0.0163073j -0.0109669-0.0455022j 0.00780727+0.0162792j 0.0402035+0.0184022j -0.00257492-0.0550651j -0.0689185+0.00956404j 0.0349513-0.0353383j -0.105596-0.0457689j 0.0143556-0.0262792j 0.0294053+0.044213j 0.00260648-0.0124788j 0.101686+0.0353503j 0.0495797+0.00558502j -0.0060003-0.0135388j -0.00566656-0.00436028j -0.0423438-0.0329535j 0.0526999+0.0842938j -0.00404258-0.017623j -0.00697845+0.0972734j -0.00762806+0.0830653j -0.0309888-0.0828842j 0.0213567-0.127798j -0.0221106-0.036873j 
-0.0137996-0.0323075j -0.0420914+0.03721j -0.0376566-0.0590723j 0.0356045+0.0127901j 0.085691+0.0039088j 0.00838286+0.0334296j -0.00434713-0.0367854j -0.0487075+0.00493878j -0.0565385+0.027787j -0.00485336+0.00658773j -0.0103005-0.0272428j -0.0343338+0.00204117j -0.0545286-0.0376508j 0.00220951-0.0127019j 0.078533-0.0373974j -0.00248322+0.0203653j 0.0409608+0.0517043j -0.0100882-0.00425968j -0.0154505-0.053112j 0.00553221+0.117826j -0.0403878-0.0369808j -0.0306178-0.048958j -0.0118986-0.0682907j 0.0530955-0.0157493j 
0.0718082+0.0280775j 0.0017702+0.034374j -0.0410272+0.0041022j -0.0476738-0.0207825j 0.0381099-0.0343353j -0.0757979-0.0837313j -0.0193935+0.0338994j 0.00623995-0.0749363j 0.0185419+0.0699592j 0.0553774-0.00856284j -0.0618654+0.0167114j 0.040622-0.0193084j -0.0027001-0.0373415j -0.034679-0.0127988j -0.0636733+0.0034155j -0.0140825+0.00115469j -0.0699225+0.114464j 0.016713+0.0256265j -0.0162726-0.0117423j 0.0545532-0.0059786j 0.0650984-0.190429j -0.025845+0.111959j -0.000629106+0.0883498j -0.0868525+0.045197j 
0.0226318-0.000971283j -0.00481616-0.00106379j 0.0253332-0.0109314j 0.0409502+0.0230633j -0.0233391+0.0578364j -0.0529915-0.0540317j 0.00724575+0.0176218j 0.107514-0.130307j -0.0339449+0.0234023j -0.0143736+0.0147823j 0.0124043-0.0302263j -0.0268324+0.0212144j -0.0113097-0.0527161j -0.00723786-0.0241722j -0.0157082+0.0296117j 0.0297507+0.0238141j -0.0179356+0.00858956j -0.118643+0.0230207j 0.0710742+0.00798482j -0.106317-0.00809529j 0.0317162+0.0009275j 0.0458504+0.0222856j 0.037149-0.00269666j 0.053059-0.0188915j 
0.0530428+0.0622496j 0.0557714+0.0446984j -0.0469807+0.044717j 0.0564463-0.000395724j 0.058197-0.0938601j 1.85674e-06-0.0301376j -0.0411383-0.0171024j 0.0576309-0.0281238j 0.0328517+0.0567641j -0.023417+0.0131886j 0.00169977-0.017929j -0.013+0.00464687j -0.033363+0.0187914j -0.0046414+0.0219044j 0.000606483+0.0338194j 0.010975-0.00508891j 0.0230677-0.0480526j 0.120056+0.0504486j -0.00166692-0.00331764j -0.00850819-0.0234175j 0.00793814+0.0217396j 0.0363186-0.0693571j 0.0200542-0.00176475j 0.0108497+0.0238081j 
-0.0472743-0.0247159j 0.0174845+0.0148048j 0.00972479+0.00687019j -0.0591791+0.0380795j 0.0140666-0.0189178j -0.051332-0.0653806j -0.0155853-0.0247811j 0.0614434-0.0235523j 0.0539128-0.00164449j -0.0356601-0.0148556j 0.0754475+0.0299977j 0.0519326-0.00352805j -0.00469439+0.0165499j -0.04596-0.0399616j 7.15181e-05+0.0121755j -0.0683718-0.128226j 0.0656357-0.0276334j -0.0924998+0.0902678j 0.0171794+0.0092961j -0.0731316+0.00780356j -0.08623+0.0754723j 0.0642775-0.017318j 0.0693793-0.0638058j 0.063355-0.0531768j 
-0.0717523-0.0102496j -0.0557572+0.0314824j -0.0522211-0.0426939j 0.108865-0.042331j -0.0323929-0.012692j 0.0981697+0.0134291j -0.00589649-0.0183752j 0.0887327+0.015274j 0.0124518+0.0365728j 0.0261249-0.0111871j -0.0112171+0.014955j 0.0938812-0.00676906j 0.0620332+0.0825054j -0.00980975+0.0700785j -0.0189118+0.0679506j -0.00224566-0.0476987j -0.0882727-0.0316978j 0.0565414+0.00570396j 0.0336948-0.00932339j -0.0753612-0.101841j 0.0349275-0.0382843j 0.0643412+0.00449224j 0.10275+0.0712377j -0.0486144+0.0618645j 
0.0950812+0.0122594j -0.0106641-0.0124444j 0.00242465-0.00240534j -0.0438401+0.110746j -0.0509035-0.0313723j -0.0149038-0.0160839j -0.00495522+0.0193011j 0.0652176+0.0470184j -0.0106763-0.0288413j -0.00697138-0.00802599j 0.00391747-0.0390657j 0.00523402-0.014713j -0.0860085-0.0462002j -0.0521099+0.021202j 0.0570444+0.0125688j -0.000287004+0.0128612j 0.0436459+0.00626846j -0.0197007-0.128888j -0.00080245-0.0192161j -0.0397604-0.0390475j 0.0117899-0.0511647j -0.0257742+0.0179177j -0.00885398+0.0685688j 0.0164243-0.0161755j 
-0.018507+0.0097877j -0.0196106-0.0637009j 0.0589774+0.0023794j -0.00214463+0.00197189j 0.061974-0.0152366j 0.0218157-0.012927j 0.0476001-0.0325291j 0.0314305+0.0631544j 0.0155637+0.131656j 0.0123431+0.0273734j 0.0170229-0.046413j 0.059436-0.0591881j 0.000707901-0.0106624j -0.0716856+0.00491378j 0.0632083-0.0228484j -0.182725-0.0206794j -0.0230257+0.0453331j 0.0157132+0.0274383j -0.0102066-0.0431991j 0.00672116+0.0855902j 0.0228334-0.0494941j -0.0287073-0.00940115j -0.0143705-0.0333646j -0.0168808-0.0179609j 
0.0356677+0.000575212j -0.0204037-0.0256736j 0.0206746-0.024949j 0.0158396+0.0460329j -0.00138727-0.0575218j -0.00275067+0.0379292j 0.00178674+0.0380955j -0.000962423+0.0579931j -0.0172315+0.043659j -0.0940121+0.0767058j -0.035182+0.0390548j -0.0757128-0.060374j -0.0510794-0.00985013j 0.107353-0.0731193j 0.0384348+0.10032j -0.0331678-0.148984j 0.0592231-0.00311476j 0.036299-0.152288j -0.0402072+0.10043j -0.105524-0.076636j -0.0491959+0.0114828j 0.0715634-0.0625585j 0.0326455+0.039415j 0.094398+0.0760201j 
0.0197357+0.00929725j 0.0586557-0.00205474j -0.019585+0.0635459j 0.01593-0.130204j -0.02993+0.0636804j 0.0485636+0.0318453j 0.0218069+0.0127416j -0.0614774-0.0143469j -0.00363625-0.0022561j -0.0172916+0.0191484j -0.0159253+0.0351756j -0.030058+0.0109207j -0.0229127-0.0479442j 0.00865353-0.0858879j -0.0120696+0.0472447j 0.0171984-0.0302858j 0.0208475+0.0438866j -0.18172+0.0180696j 0.0634869+0.0244564j -0.0756461-0.00775277j -0.0001646-0.0105267j 0.0601958+0.0582063j 0.0185566+0.0488041j 0.0129086-0.0255649j 
0.0949436-0.0139747j -0.00280035-0.000645402j 0.00920177-0.0125097j 0.0101048-0.0279842j 0.0656511-0.0476981j 0.00603777+0.0190591j 0.0144986-0.0174469j -0.0496166+0.0335138j 0.0439115+0.110195j -0.0182637-0.0166154j 0.00939289+0.0680587j 0.0257575+0.0157651j 0.0127128+0.05133j 0.0402795-0.0387157j -0.000728473-0.0193261j 0.0162809-0.129772j 0.0462985-0.00691749j -0.000156772+0.0143157j -0.0558073+0.0150456j 0.0529258+0.0196394j -0.0886979+0.047894j -0.00195979-0.0149304j -0.00376557-0.0398627j 0.00885375-0.00664254j 
0.0748231-0.0127104j -0.0511834+0.0421588j -0.053305-0.0325006j 0.0158201-0.0377837j -0.0930279+0.0143008j -0.00418253+0.0195443j 0.0934343-0.00844229j 0.0319865-0.0127011j 0.103876+0.038824j -0.0453715-0.0556359j 0.105855-0.0665147j 0.0712303-0.00623041j -0.0268569-0.0334268j -0.079644+0.0994976j 0.0375782+0.00777877j 0.0446139-0.0128694j 0.0822852-0.033165j -0.0090261+0.0567122j -0.0177517-0.0705034j -0.0159593-0.0639548j -0.0603339+0.0832599j 0.0980855+0.00563185j -0.00414192-0.0169446j 0.0246801+0.0115755j 
-0.0418116+0.024849j -0.0126645+0.0094751j -0.021139+0.0125361j -0.0531997-0.00432956j 0.0531755+0.0231508j 0.0133521-0.0244883j 0.0576857-0.0656485j 0.0176023+0.016559j 0.0685077+0.0406948j -0.06459-0.0579013j -0.0596768-0.0698627j -0.0584486-0.0170125j -0.0899602-0.0776389j 0.0629098+0.0164053j -0.0120794+0.00856039j 0.0964671+0.0892359j 0.0752673+0.0231172j 0.0657263-0.124094j -0.00187765+0.00441109j 0.0459695-0.0438639j -0.00937592-0.0102973j -0.045312-0.00257237j -0.0759528+0.0293227j 0.0357706-0.015389j 
-0.0501435+0.0619948j -0.0467239-0.044734j 0.0563712-0.0443236j 0.0349306-0.0577726j -0.0567344-0.0263599j -0.0403104+0.0186373j 0.00128819+0.0306414j -0.0592658-0.0942392j 0.0557549+0.00222209j 0.00906945-0.0249326j 0.0205546+0.000800848j 0.0388805+0.0693329j -0.0074326+0.023129j -0.00724664+0.0254798j -0.00125531+0.000239751j 0.122433-0.0524568j -0.0214979-0.0489743j 0.009018+0.00774192j -0.00293302-0.0344534j -0.00330626-0.0203316j 0.0310854+0.0206302j -0.0116527-0.00380914j 0.00141154+0.0161294j -0.0234161-0.0127322j 
-0.0230892+0.000341992j 0.0260086+0.00935745j -0.00292567+0.00128433j -0.032572-0.0225486j -0.109187-0.12989j 0.00711466-0.0165992j -0.0528281+0.0556448j 0.0233045+0.0573875j 0.0400934-0.0225086j 0.0537299+0.0201152j 0.0366512+0.00375894j 0.047895-0.0199052j -0.0305346+0.0038469j -0.105343+0.00874603j 0.0739533-0.00948213j -0.119085-0.0249505j 0.0160915+0.00606588j 0.0267854-0.0232803j -0.0165651-0.0286156j -0.00746881+0.0256219j 0.0101181-0.0520433j -0.0267324-0.0196627j 0.0143193+0.0301665j -0.0155532-0.0147614j 
-0.0721942+0.0283086j -0.0406395-0.00304813j 0.000976694-0.0342816j 0.0166453-0.0698436j -0.00807142-0.0757927j -0.0199582-0.0339058j -0.0746412+0.0855494j -0.0387103-0.0327376j -0.0471978+0.0214223j -0.0872401-0.042259j 0.000315722-0.0870343j -0.0274096-0.112398j -0.0665245-0.190275j 0.0524459+0.0016507j -0.0158522+0.0146666j 0.0137382-0.027275j 0.0707166+0.113529j -0.0158369-0.00349569j -0.0630024-0.00109492j -0.0333854+0.0124991j 0.00238789-0.0387519j 0.0410237+0.0197569j -0.0609425-0.0151679j 0.0550474+0.00922455j 
0.0122742-0.0314796j -0.0377209+0.0592905j -0.0420718-0.0372894j -0.0585547-0.0277164j 0.04689+0.003257j -0.00533235+0.0360127j 0.00831551-0.0319987j -0.0859811+0.00391124j 0.0366691-0.0131156j 0.0535659+0.0166033j -0.0102803+0.069769j -0.0316125+0.0532413j 0.0382929-0.0343449j 0.00511229-0.117929j -0.0153028+0.0564854j -0.00665052+0.00147062j -0.0406103+0.0478795j -0.000705301-0.0223639j 0.07814+0.0368407j 0.00228459+0.010721j 0.0533684-0.0373347j -0.036019-0.00215212j -0.00965926+0.0273427j -0.00499825-0.00621057j 
0.0732177-0.0527734j 0.0104623-0.0446881j 0.051746-0.0172669j 0.101206-0.0475936j 0.036023+0.0355935j 0.0683351+0.00620735j 0.00171868-0.0541838j 0.0396213-0.0184688j -0.00787913+0.0159562j 0.0189216-0.0334776j -0.0242142-0.127602j 0.0287132-0.0840105j -0.00888269-0.083895j 0.00752946+0.0926149j 0.00267603-0.01725j -0.0493021+0.0847156j -0.0429843+0.0350517j 0.0069378-0.00522342j 0.00437618-0.0143827j -0.048135+0.00603992j 0.101188-0.036787j -0.00286925-0.0119148j -0.0310491+0.0429669j -0.0137653-0.0255187j 
-0.010039+0.070547j 0.0113239+0.0203103j -0.000555031+0.0576607j 0.119809+0.0735467j 0.00238841-0.0411429j -0.0452895+0.12041j 0.00679821-0.0240909j -0.0361563-0.0229475j 0.0227863-0.0030731j 0.0716073+0.0118868j 0.040171+0.00744991j 0.00125828-0.0245951j 0.0121005+0.00294789j -0.052376-0.000880255j 0.0270409-0.00429828j -0.142655+0.00965088j -0.0150716+0.0115271j -0.00064544+0.00143931j 0.011645+0.0453474j -0.0131108+0.0328967j 0.0116495-0.0327861j -0.00802563-0.0166539j 0.0234551+0.0165727j -0.0103988+0.00245964j 
