-0.0121744-0.01672j 0.0148623-0.0121461j 0.04804+0.1631j 0.0044923+0.010014j -0.0291754+0.0127356j -0.0132676+0.0252546j 0.0276086-0.0688603j 0.193966-0.120512j -0.00297982+0.0100832j -0.015021+0.00910746j -0.0143689-0.00057981j -0.00717633-0.00128793j -0.00882353+0.0231465j -0.000778259+0.025025j -0.0141079+0.0067192j -0.00909473+0.0181478j 0.0255669+0.0560225j 0.0821501+0.0485687j -0.100563-0.0798097j 0.0773336-0.336882j 0.133202+0.00921489j 0.3315+0.0511791j 
-0.0771371+0.00991596j -0.0170713+0.0654316j 0.0074436-0.0157414j 0.00128483-0.00287431j 0.00178953+0.0138573j -0.0334569-0.0309879j 0.00446387-0.015004j 0.0156629-0.0079171j -0.00446721+0.00458482j -0.0147242-0.00128197j -0.00412893+0.0109973j -0.0018373+0.023013j 0.0159713+0.00571272j -0.0132752+0.067365j -0.00191332+0.099781j -0.0515729-0.0212849j -0.134932-0.0545261j 0.104749-0.0197129j -0.0478941-0.155512j -0.224229+0.0561827j -0.0286124+0.0227818j 0.0189825+0.138579j 
-0.0230745+0.153125j -0.0680694+0.0482301j -0.0235884+0.0158163j 0.008065+0.00128547j 0.016145-0.0193644j -0.0051728-0.0164397j 0.00596789-0.00309725j 0.0390549+0.0136624j -0.0123945+0.011136j 0.00652682-0.0452943j 0.018028-0.00241611j -0.0117662-0.060373j 0.0350766-0.081128j 0.104974+0.00302292j 0.0302324-0.0983933j 0.0424435+0.0923409j 0.0759015-0.00824848j 0.0712186+0.0123414j -0.0662741+0.108395j 0.0275701+0.061911j 0.0547641+0.0870964j 0.00985085-0.0045544j 
-0.00140304+0.0239499j -0.0111995-0.0290569j -0.0647455-0.133724j -6.02507e-05-0.0122524j -0.0341188-0.00533806j 0.0107318-0.0183442j 0.00430804-0.00202399j 0.0111965-0.0164662j 0.0126509-0.00310873j 0.00128168+0.00386217j -0.00370192-0.0165374j -0.0259023-0.0300864j -0.0643709-0.0750127j 0.191554+0.0123249j 0.0453082+0.16073j -0.155106+0.00382942j -0.0440401+0.141502j -0.122625-0.00757736j -0.00409101-0.0148927j -0.00537879-0.00656828j -0.0210842-0.0460827j 0.00877387+8.95206e-05j 
0.0681358+0.0420405j 0.0584444-0.0010553j 0.0655417-0.0451581j 0.0314069+0.0215543j -0.0104871-0.0127473j -0.00220384-0.000242255j 0.00894946-0.0124217j -0.0312366+0.0214301j -0.0395356+0.0137719j 0.0132506-0.0760997j 0.00597087+0.0226427j -0.100294-0.0220372j -0.0214194+0.0969008j -0.0274203-0.0886129j 0.0451279+0.000303733j 0.0467704-0.00111986j -0.0294185+0.0924196j -0.0201979-0.0975437j -0.102231+0.0160282j 0.0079077-0.0262335j 0.0096641+0.075724j -0.040475-0.0157631j 
0.0639718-0.134013j 0.00934229-0.027216j 0.000553264+0.0260958j 0.010784+0.0164263j 0.00365256+0.00274637j -0.0114911-0.0188781j -0.0336047+0.00577488j 0.000482255+0.0115564j -0.00815792-0.00190891j 0.0189122-0.0455034j 0.00143617-0.00810549j 0.000603579-0.011169j 0.125994-0.00991034j 0.0418127+0.142851j 0.154711+0.00266524j -0.0433088+0.160193j -0.190949+0.00888783j 0.0661598-0.0739672j 0.0267898-0.0323139j 0.000929101-0.0153056j -0.000571144+0.0037423j -0.0124624-0.00104478j 
0.024393+0.0164396j 0.068626+0.0506781j 0.0226534+0.152275j 0.0396107-0.0130223j 0.00550638+0.00269633j 0.00522355-0.0167854j 0.0155293+0.019459j 0.00736867-0.00181214j -0.0111193-0.00236018j -0.0528711+0.0848855j -0.0239043+0.063692j 0.0669895+0.105784j -0.0696826+0.018167j -0.0778272-0.00784795j -0.0407395+0.0947003j -0.0334888-0.0985341j -0.106464+0.00490091j -0.0383628-0.0787824j 0.0119313-0.0636346j -0.019997-0.00276938j -0.00728844-0.0469131j 0.0119623+0.0118927j 
-0.00666197-0.0145737j 0.0168126+0.0647546j 0.0775676+0.00864541j 0.015756+0.00705774j 0.00364765+0.0141573j 0.0333126-0.0304099j 0.00198686-0.0142541j 0.00117176+0.00331597j -0.0179455+0.139992j 0.0248666+0.0199948j 0.226021+0.0547637j 0.0450155-0.153383j -0.0996715-0.0235159j 0.137838-0.0543673j 0.0575683-0.0208999j -5.64864e-05+0.102885j 0.0110532+0.0690882j -0.0161162+0.00345276j 0.00202989+0.024995j 0.00408588+0.0112815j 0.0156096-0.00122525j 0.00458436+0.00461803j 
-0.0164008+0.0452904j -0.0922205-0.0369516j 0.091365+0.085098j -0.010488+0.0208026j -0.00608869+0.00594073j -0.0211581+0.005216j 0.018003-0.0192395j 0.00152964+0.00614972j -0.0173029+0.0746903j -0.116329-0.0436222j 0.0450122+0.0355221j -0.103069+0.114535j -0.0184076+0.0434872j -0.0331958-0.106364j 0.0898441+0.0393371j -0.0159033+0.0516487j -0.0403709+0.00850942j -0.01575-0.039735j 0.0323366+0.00918125j -0.00412594+0.00964171j 0.025949-0.0294269j 0.0108044+0.0132137j 
0.0548935-0.00980641j 0.0452546+0.10918j 0.0073714+0.00617042j 0.00132357-0.0208777j 0.0231481+0.00911688j -0.00391034+0.0131942j 0.00897794-0.0106706j -0.00343006+0.00562999j -0.114533-0.0350649j 0.128627-0.146688j -0.0281794+0.0798041j -0.037126-0.149861j 0.12683+0.0523142j 0.0019878+0.11448j 0.029522-0.0505619j -0.00195909+0.0469791j 0.00418171-0.0096059j 0.0114798+0.0191262j 0.0161247+0.0400427j -0.00166084+0.0104352j 0.0242551+0.000607965j 0.00282644+0.0112103j 
0.0217257-0.0622919j -0.120954-0.0247354j 0.0325284+0.0110433j -0.0121755-0.0163477j -0.00944031+0.0308946j -0.0011503+0.00645497j -0.00357895-0.00495284j 0.00240163-0.00325203j -0.109341+0.0250928j 0.0863359-0.0575496j 0.0540663+0.122459j 0.0168027-0.142618j -0.0365048+0.0396764j 0.00891985+0.00140098j -0.0343765-0.0186746j 0.0334132-0.00431647j -0.0156269-0.0107214j 0.0169556-0.00540737j 0.0147539-0.0281635j 0.00684009-0.00417951j -0.0133619-0.0144894j 0.00445776-0.00674075j 
-0.146954-0.0146574j 0.0307732+0.0126594j 0.0192063+0.0101664j -0.00912818+0.0326468j -0.00193634+0.00308768j -0.00298763+0.00337206j 0.00401465-0.00774586j 0.000828924+0.0014036j 0.106732+0.0232738j 0.0452754+0.0634341j 0.0849182-0.131363j 0.0351696-0.059101j 0.0148681+0.0214298j -0.00883278+0.03565j 0.00741968-0.0252301j 0.00446213+0.0244128j 0.00180207-0.00741508j 0.00192218+0.0123348j 0.0188289+0.014461j 0.00461837+0.00596714j 0.00974427-0.01035j 0.00533078+0.00307231j 
