0.151003+0.178964j 0.272977-0.0833091j -0.616416-0.505654j 0.382026-0.288822j -0.0992558-0.060788j 0.130269-0.258689j 0.203628+0.519631j -0.0361778+0.0427203j -0.0658019-0.0721249j -0.0844683+0.330136j -0.215585-0.13683j 0.0999093-0.0327358j -0.00444716-0.00926983j -0.186702-0.0696368j 0.0244096-0.0426271j 0.0487625+0.0762585j 0.0455061+0.156996j 0.241329-0.0176236j 
0.0709551-0.00263741j -0.0367475-0.0726138j -0.00960616-0.117346j 0.0514291+0.0481718j -0.00254224-0.00909155j -0.0312108+0.0388991j 0.0356933+0.0310835j 0.0299306-0.0387452j 0.0811699-0.0166925j 0.0688026+0.028627j 0.00571395-0.0136692j -0.0502829-0.0234727j -0.126885+0.0385345j 0.0464939-0.0433792j 0.0426588-0.0445611j 0.0393437+0.0225606j -0.0412597+0.0074729j -0.00870912-0.0341957j 
0.0310148+0.0252644j -0.0603746-0.00267553j -0.0473599-0.0475415j -0.00047471-0.0174624j 0.0445843-0.048543j 0.0597399-0.0040157j -0.0348244+0.0245798j 0.0143947-0.0397626j 0.0114374+0.0207564j -0.0205686+0.0163937j -0.0269726+0.0335233j -0.0447944+0.0149443j 0.00212076+0.0481516j -0.0460416-0.0117808j -0.0275454-0.0325886j 0.019796+0.014744j -0.0097479+0.0212017j -0.0149258-0.0390026j 
0.0340595-0.033321j -0.0342005-0.0372638j -0.0036446+0.00520767j 0.0509001-0.0496133j -0.0095409+0.114214j -0.0328055+0.0732288j 0.0724496-0.00087865j -0.00714789+0.0341571j -0.0427496-0.00499326j 0.036113-0.0227261j -0.045244-0.0451052j -0.0464413-0.0433158j -0.12495-0.0386672j 0.0485327-0.0238083j -0.00828774-0.0125097j 0.0672412-0.0282412j 0.0819955+0.0164176j 0.0318724+0.0385795j 
-0.0210819+0.0554772j -0.0345625-0.0166929j -0.034671+0.0087082j 0.0422497+0.00478138j -0.00526461+0.061834j -0.0289842+0.0618123j -0.0387255+0.038915j 0.0433532+0.0359627j 0.0344529-0.0114074j 0.0207073-0.0726861j 0.101985-0.0605126j 0.0589202+0.0613414j -0.0553847+0.00393521j 0.000625589+0.0255113j -0.0051315-0.0515699j 0.0158145-0.0102427j -0.0534374-0.00753606j 0.037029+0.00627689j 
0.0356826-0.048533j -0.090342+0.000329013j -0.11495-0.0840353j 0.0473348+0.00641185j -0.00369499-0.0618093j 0.0266291+0.0164574j 0.0154545-0.000861225j -0.0309819+0.0551978j -0.0185143-0.00742329j 0.00242808-0.0362844j 0.0839585-0.0111135j 0.0911813+0.0651349j 0.0840108-0.0430921j -0.00207672+0.0711224j -0.0195377+0.0497097j -0.0356232-0.036036j 0.0062157-0.0383376j 0.00480581+0.0479435j 
-0.00512102-0.0310753j 0.0105719-0.0400368j 0.000525761-0.0537742j 0.0283711+0.0466731j -0.00821712-0.0112754j -0.026983+0.018745j 0.00892139-0.0345179j 0.0440385-0.0178223j -0.0165644-0.00673128j -0.0555259-0.0629524j -0.0380239+0.00578657j -0.0345357+0.00769063j 0.00524596+0.0936914j -0.0659255-0.0750962j -0.0003549-0.075206j -0.010334+0.00205182j -0.0392542+0.0258609j 0.0222628-0.0312546j 
0.175486-0.0758468j 0.0502561-0.0362638j -0.0622346+0.0590059j 0.00082899+0.0446384j 0.0337182+0.0144909j 0.00794279-0.0726578j 0.000244715-0.0120873j 0.0294448-0.0751548j 0.0364618-0.0927343j -0.0156603+0.0612841j 0.0493821-0.0444426j 0.0536348-0.0409848j 0.00969349+0.0422799j 0.0146094+0.0306307j 0.0263328-0.0209462j -0.0308693+0.0393478j 0.00185072-0.00321082j 0.0136145-0.0118953j 
0.0848338+0.0511573j 0.0163781-0.0119003j 0.0146912+0.0374814j 0.00462733-0.00561982j 0.042036+0.0627763j 0.0105908+0.0227074j 0.00927771+0.0452943j -0.096874-0.02262j -0.0369694-0.113157j 0.102804-0.0206551j 0.00957683+0.0322314j -0.05959+0.0487551j 0.0244235+0.0963542j -0.0148095-0.0278899j -0.0167036-0.0149261j 0.0411252-0.0443373j 0.0850326-0.00914204j -0.0370731+0.0564249j 
-0.0184907+0.019958j 0.0558858-0.0119141j 0.09769+0.00326508j -0.0653601+0.00771988j 0.00213112+0.00304687j -0.0224155-0.0442619j -0.00558822-0.00507743j -0.0364165+0.0401594j -0.00747487-0.0325162j 0.077537-0.0994489j 0.0691793-0.0297283j 0.00990328+0.0930274j -0.0181131+0.0424207j -0.00329328+0.0031728j -0.0373926-0.0344192j 0.0533938-0.0534936j -0.0141087-0.00579676j -0.0062416+0.031139j 
-0.0341952+0.127416j -0.00300366+0.0530035j -0.0399517-0.0623566j -0.0183117-0.013995j -0.0405454+0.00443097j 0.0415981+0.0308279j 0.00336224-0.00651532j -0.0325039-0.041026j -0.057289-0.0451693j 0.0545325+0.0594256j 0.0318444+0.00127836j -0.0387428-0.0324826j 0.03931-0.00795959j -0.00851709+0.00201588j 0.0362118-0.0591975j -0.00114686+0.0787312j -0.0123017-0.0540164j 0.0235251-0.0140953j 
0.0366323-0.0675719j -0.0199512+0.00228716j -0.0334374+0.0521492j 0.0351652-0.020278j 0.0231639-0.00185945j 0.0174979+0.00108062j 0.0107957+0.00247002j 0.00297201+0.0870152j 0.0150634+0.135041j 0.0550875+0.0056795j 0.0391004+0.126359j -0.0870772+0.0679688j -0.054722-0.102732j -0.0362749-0.00732785j 0.0507597-0.00706292j 0.0190037+0.0304407j -0.0259134-0.0653412j 0.013406+0.00905691j 
0.0359023+0.033263j 0.0118092+0.00148491j -0.0257801-0.0121801j -0.00421335+0.013243j -0.00483151+0.0125966j 0.00904481-0.00217077j -0.00161728-0.000110164j -0.0980597+0.0211643j -0.165446+0.0356474j 0.0360195-0.0312722j -0.0923758-0.0508286j -0.0470919-0.0433788j 0.0900178-0.051871j 0.0178294-0.0169973j -0.0624504-0.00743889j 0.0439186+0.011623j -0.0150219-0.00505418j -0.00743785-0.0183088j 
