0.530936-0.403316j 0.13753+0.321308j -0.00139855+0.551498j 0.143436-0.319027j 0.528283+0.410396j 0.23122+0.144883j -0.104165+0.174679j -0.163306+0.152329j -0.00145512+0.120531j -0.161495-0.152778j 0.101021+0.175502j -0.231829+0.142326j -0.0456902+0.0611707j 0.0291052+0.0340681j 0.167612+0.0847913j -0.0316947+0.115623j 0.0598769-0.0713855j -0.00782839+0.0764825j -0.0755694-0.010445j -0.0572056+0.0599188j -0.0397309+0.093507j 0.0453808+0.0685937j 0.0894032-0.0317984j 0.0889369+0.0325791j -0.047132+0.0680862j -0.0399948-0.0953997j -0.0564036-0.0609107j 0.0741744-0.00995618j 0.00357629+0.0746243j -0.0576287-0.0761327j 0.0294806+0.113525j 0.168788-0.0820851j -0.029076+0.0340487j 0.0459394+0.0604057j 
-0.026738+0.0297556j -0.047125+0.0653967j -0.0235851+0.0550275j 0.0258059+0.0365221j 0.0582059+0.116454j -0.00920419+0.0521747j 0.0750729+0.0861621j 0.00544395+0.00231999j 0.0168011-0.0570496j 0.0555527-0.0215305j 0.0909253-0.0311815j -0.0247756-0.0205328j 0.0165101+0.028967j -0.0354792-0.00382913j 0.0298782+0.0331673j 0.0331797-0.0460094j -0.113007-0.0306139j 0.0384115+0.0174045j -0.0950168-0.0575873j 0.0460233-0.0734739j -0.0495358-0.0102832j -0.0553686-0.0996967j -0.00832098+0.0740637j -0.0162476+0.00914892j -0.109341+0.0108621j -0.0418523+0.170041j -0.171007-0.145306j -0.0465357+0.0218395j 0.0861158-0.0195238j -0.116978-0.0791707j 0.0333598+0.063431j -0.059063+0.0335469j 0.014796+0.063598j 0.0318144+0.072397j 
0.0172963-0.0208926j -0.00905942-0.0547911j 0.0835593-0.0916302j -0.0800809+0.0440233j 0.0573928+0.00685611j 0.00536946+0.026651j -0.0633242+0.0214751j -0.0111689+0.0163432j 0.113613-0.0157608j 0.0587265+0.0493617j -0.00925349+0.0193999j -0.0114359-0.0369986j 0.138035-0.0254118j -0.101663+0.0845331j -0.000599726-0.039105j -0.0177037+0.0213127j 0.0308649+0.0402676j 0.0495266+0.0429781j -0.116637-0.118947j -0.0266267-0.0892578j -0.0215204-0.0903421j -0.0869655-0.0292373j -0.0822597-0.0319779j 0.0162679-0.0856785j 0.118252+0.0923913j 0.0393849-0.0436926j -0.256515-0.20937j -0.0850929+0.0570483j -0.103095-0.0547714j 0.0309544-0.00997138j -0.0791072-0.0727541j 0.0011207-0.0541604j 0.153696-0.0479156j 0.124969+0.163264j 
-0.0292835-0.0475115j 0.0161049+0.0817944j 0.0109725+0.0618515j 0.0263927+0.0164225j 0.0831687-0.0550885j -0.0719799+0.00735502j 0.020629+0.0258685j -0.0238306+0.0565235j -0.0437533+0.00536778j -0.0764525+0.0607297j 0.0275359+0.125126j 0.0500308-0.0560532j 0.0224955+0.0124073j -0.0747481+0.0328659j -0.0566736+0.0497148j 0.0394202-0.0258961j 0.00786431+0.0294686j 0.0171304+0.0798738j -0.0762632-0.000915273j 0.0461952-0.0415763j -0.0623214+0.133328j 0.0593844-0.0459614j -0.0613739+0.0030348j 0.00689108+0.00330892j 0.15254+0.108526j 0.0893344-0.0321612j -0.0260058+0.186066j -0.00592088+0.106334j -0.0660303+0.0372072j 0.048882-0.0286615j -0.0322839-0.0269339j -0.0231383-0.0489861j 0.0805914+0.0246481j 0.0234068+0.081589j 
0.030816+0.0540708j 0.00507949+0.0675645j 0.035732+0.00762459j 0.03651+0.0272267j 0.178769+0.0402694j 0.0023334-0.00915545j -0.0509771-0.022415j 0.0235471+0.0432371j -0.0511538-0.0177945j 0.0115682+0.0711595j 0.0299807+0.10379j -0.0188023-0.0414161j -0.028393-0.00720626j 0.0237754-0.0165039j 0.00360047-0.00564534j 0.00778462+0.0180285j 0.0596939+0.00311657j -0.0115768+0.0028571j 0.103736+0.0296259j -0.0128353+0.0648145j 0.0132488-0.0294533j -0.0184056+0.0317728j -0.0152652-0.0660683j -0.00645426-0.0662261j 0.00619966-0.0821795j -0.0584847-0.138358j 0.12753-0.0104002j 0.0175577-0.0658276j -0.0715688+0.0238647j 0.0447252+0.0212001j -0.0310363-0.0325556j 0.0591214+0.0037267j -0.0145509-0.0316486j -0.0269751-0.0341908j 
-0.000534143+0.0538097j -0.0242022-0.0357129j -0.0567933-0.0339613j 0.0236982+0.0081683j -0.0503408+0.037532j 0.0672705+0.0422445j -0.0260127-0.0202802j 0.0318964+0.0715627j 0.127748-0.0710853j 0.064463-0.00360982j -0.0275733-0.029692j -0.0711331-0.0319472j 0.0620496-0.0041739j 0.00591292+0.039572j 0.0939015-0.0737715j -0.070269-0.0159598j 0.0406492+0.0194211j -0.00763606-0.046955j 0.0231605-0.0287902j 0.0613918+0.0472858j -0.13971-0.000230459j 0.236906-0.11376j 0.0127435+0.0108275j 0.0315283+0.0710397j 0.0182506-0.0591307j -0.0649029+0.0328576j 0.039311-0.029247j -0.14041+0.0283639j 0.0687462-0.0385049j 0.021696+0.00835565j -0.00677097-0.011422j 0.0687358+0.0483917j -0.0206574-0.0349893j 0.0312624+0.0419991j 
0.0483038-0.0186496j -0.0594504-0.0633236j -0.000707204-0.134798j -0.0573336+0.0655219j 0.050002+0.016918j -0.0130011-0.00429184j 0.0117752+0.0247664j -0.017179+0.0201615j 0.000508643-0.0242928j -0.0170728-0.0189417j -0.0120527+0.0256191j 0.0132015-0.00523672j 0.012236+0.0740884j -0.0565288+0.0626195j 0.00189823+0.0173406j -0.0194757-0.0396948j -0.0194376-0.0096821j -0.0367681+0.0357748j -0.0114376+0.125921j 0.166696-0.203009j -0.0187612+0.124177j 0.0709526-0.108885j 0.0351249-0.0384931j 0.0363611+0.0378651j -0.0663581-0.105206j -0.0176503-0.122606j 0.165747+0.201527j 0.0121372+0.129703j 0.0386437+0.0349357j 0.0198956-0.00949975j 0.0190456-0.0389952j 0.00160736-0.0179019j 0.0566728+0.0604094j -0.00977569+0.0756985j 
0.0471817+0.0382716j -0.0242912+0.00706551j -0.0569796+0.0335233j 0.0244621-0.0348264j -0.00260955+0.0547638j -0.0727278+0.0336837j -0.0230578+0.0296898j -0.0665661-0.0042915j 0.126944+0.0735103j -0.0341898+0.0706819j -0.0259369+0.0165255j 0.067933-0.0422739j 0.0299931-0.0429958j -0.019784+0.0326386j -0.0685998+0.0498985j -0.0058992+0.0116814j 0.0181671-0.0070377j 0.0675999+0.037937j -0.144367-0.0314579j -0.038665-0.0303961j 0.0662834+0.03394j 0.0144386+0.0610257j -0.0323997+0.0724798j -0.00954376+0.0111189j 0.235754+0.115453j 0.14317+0.00287818j -0.0681626+0.0442694j 0.0243801+0.0301846j -0.00519262+0.0469119j 0.0381636-0.0214551j -0.0681582+0.0168376j -0.0970778-0.0725541j 0.00432106-0.0385536j 0.0621214+0.00319957j 
-0.183328+0.0389662j -0.0325783+0.029144j 0.0390047-0.00921506j -0.00521526+0.0707562j -0.0291449+0.049493j -0.0180294+0.0405096j 0.0314018-0.107249j -0.00945474+0.0710569j -0.0550677+0.0202425j -0.0234317+0.0440135j -0.0493735+0.0214678j 0.00135358+0.00932313j -0.0253122+0.0307787j -0.0121291+0.0318083j -0.0605193+0.00292678j -0.0316694+0.0336348j 0.0408291-0.0181516j -0.0750551-0.0223221j 0.0156997+0.0645578j -0.123196-0.0100817j 0.056556-0.137774j 0.00610428+0.0795604j 0.00466096-0.0653915j 0.017434-0.0658478j -0.0200001-0.027148j -0.0100245-0.026511j 0.0100409+0.0647405j 0.101994-0.0271968j -0.0127953-0.00421413j 0.0579136-0.00311614j 0.0109768-0.0175012j -0.00358332-0.00487064j 0.0222051+0.0158259j -0.0271388+0.00704183j 
-0.0787469-0.0560442j -0.0232813+0.0192472j 0.0103741-0.0595293j -0.0139904+0.0781592j 0.0311146-0.0506768j 0.0506862+0.0528706j 0.0249937-0.123145j 0.0775751+0.0582406j -0.0426512-0.00380112j 0.0252314+0.0553798j 0.0211116-0.0249759j -0.0717129-0.00629732j 0.0223852-0.0818891j 0.0813881-0.0261789j 0.0230014-0.0497113j -0.0312996+0.0264586j 0.0495437+0.0287577j -0.065373-0.0359968j -0.00504533-0.105796j 0.025962+0.19352j -0.090406-0.0306461j 0.152533-0.109769j -0.00474774+0.00538193j 0.0612331+0.00524466j 0.0617293+0.0457163j 0.0616366+0.133688j -0.0447227-0.042141j -0.0781409-0.00273136j 0.0162119-0.078989j 0.00724452-0.0293966j 0.0390381+0.0252449j 0.0576492+0.0497702j -0.0758151-0.0331895j 0.0220325-0.0141979j 
0.0532751-0.00727899j -0.0812481-0.0419014j -0.0830111-0.0917045j -0.0071466+0.0564884j 0.0170465+0.0200534j 0.0128675-0.0373695j 0.00665635+0.0186297j 0.0592159-0.0501512j -0.113492-0.0161949j -0.0106756-0.0147203j 0.0651548+0.0213795j -0.00692712+0.0262722j -0.120568+0.164497j -0.158446-0.0439623j 0.000488546+0.054031j 0.0758453-0.0719519j -0.0319766-0.00873733j 0.105069-0.0541871j 0.0804627+0.0609359j -0.257843+0.207528j 0.0397323+0.0462542j -0.120371+0.0944159j 0.0159853+0.0838222j -0.0823713+0.034058j 0.0868633-0.0288356j -0.0187023+0.086895j -0.0303225+0.0897203j 0.115269-0.115658j -0.0518515+0.043977j -0.0308811+0.0420324j 0.0161074+0.0217915j -0.000155083+0.0383425j 0.106421+0.0851416j -0.136778-0.0230215j 
-0.0591983+0.117153j -0.0225767+0.0355218j -0.0217128-0.0552437j 0.048116+0.0647693j 0.0256589+0.0270273j -0.0229839+0.0210223j 0.0927546+0.0329842j -0.0552022-0.0221103j 0.0160146+0.0521774j -0.00601021-0.000698832j 0.0737663-0.0876488j -0.0113186-0.0498237j 0.0323135-0.0700726j 0.0143333-0.0645343j 0.064318+0.0299472j 0.0351376-0.0664677j -0.112542+0.0763851j 0.0895524+0.0150535j -0.042604-0.0270219j 0.173614-0.145134j 0.0390623+0.171399j -0.105903-0.0143909j 0.0172366+0.00908256j 0.00946922+0.0750509j -0.0577382+0.0954591j 0.0453245-0.0078008j -0.0451224-0.078126j -0.0989629+0.0571863j 0.0398064-0.020188j -0.114861+0.030391j 0.0312618+0.045374j -0.02481+0.0334326j -0.0351523+0.00405311j 0.0158148-0.0276018j 
0.0952969-0.0826554j -0.0637959-0.0222188j -0.0765426+0.00563362j -0.0176179-0.00529526j 0.0136927+0.0115486j -0.0250899+0.0955897j 0.0834445-0.133504j -0.0315371+0.0696012j -0.0210699+0.130128j -0.00835264+0.0874621j 0.0310853-0.058866j -0.010945-0.0505714j -0.083458-0.14499j 0.211161-0.146095j -0.0114395+0.0487561j 0.0860549+0.0379519j 0.049637+0.0129877j -0.146477+0.126923j -0.0573848-0.135558j 0.174271-0.0030706j 0.00198651-0.137395j 0.027403+0.00590165j -0.0424479-0.00788402j 0.0247761-0.118447j -0.0388732+0.11181j 0.0563415-0.00187131j 0.0188298-0.000868121j 0.0501472+0.0104106j -0.0318841+0.00331127j -0.0289014-0.0883527j 0.108132-0.026545j -0.0378695+0.0268667j -0.132798+0.0205146j 0.0238778-0.0458993j 
-0.00917054-0.0747688j -0.0298652+0.000195185j -0.00901627+0.0239904j -0.0255094+0.00447589j -0.00223498+0.00333705j 0.0648247+0.0254618j -0.166401-0.022864j 0.0856581-0.0163186j 0.0765805+0.102652j 0.0904618+0.0319529j 0.0451047+0.0293914j 0.00825523-0.012209j 0.154852-0.0813658j -0.0515064+0.152347j -0.0749104+0.0657084j -0.116154+0.0915466j -0.120584+0.0629234j 0.0136889-0.066754j 0.0247143+0.200718j -0.112773-0.132076j 0.0348704+0.065739j -0.0170797+0.00928832j -0.0562782-0.172542j 0.0591125+0.0324629j -0.0132593+0.0787021j 0.121757-0.0847918j -0.0639302+0.00690147j -0.0755508+0.0248592j 0.0481279-0.141499j 0.000631733+0.028314j -0.0372936+0.102857j -0.0145518-0.0101122j 0.0149268-0.0484744j 0.0311461-0.000709603j 
