-0.00766018-0.024959j -0.0287382+0.0108801j -0.00798507+0.00119468j -0.00383881+0.00895892j -0.010388-0.00670468j 0.00757368-0.001333j -0.00881279-0.00595365j 0.00886097+0.00444216j -0.00495047-0.00988888j -0.0370211-0.00608749j -0.00520523+0.028538j -0.00788549-0.0237326j -0.00355558+0.0449487j -0.0187846+0.0185895j -0.0012203-0.026153j 0.0475828-0.00505522j -0.021381+0.018759j 0.00410388+0.00113493j -0.00343183+0.0144786j -0.026892-0.0182073j 0.0184018+0.0136709j 0.00938234+0.00801987j 0.0336215+0.0216059j -0.0172874-0.0400944j -0.0132022-0.0172639j -0.0115282+0.00118125j 0.00742815+0.00139766j 0.00110682+0.0251908j 0.00347188-0.0282263j -0.014747-0.0127732j 0.0486661-0.0352944j 0.0114085+0.00158185j 1.5858e-05+0.0400451j -0.0444296+0.000189267j 
0.0096169+0.0107198j 0.0132755-0.00968963j -0.00549497+0.00846116j 0.00391919-0.00317478j 0.014844+0.00188851j 0.000839223+0.00529078j -0.012736-0.00246037j -2.86019e-05-9.87925e-05j -0.00835901+0.0134312j 0.0038789+0.00465604j 0.000512439+0.00411334j -0.00238742-0.00537746j 0.0133131-0.0104864j -0.00299757-0.00069924j 0.00761843+0.00560256j -0.00309196-0.00504019j 0.00101797+0.00358555j -0.00510178-0.00874668j 0.000320577+0.0115511j -0.00331918+0.00492877j -0.000678477-0.0127164j -0.00164123-0.00443905j -0.00728681+0.0136137j 0.00150259-0.00190342j 0.000172464-0.00913302j 0.00341217+0.000531966j 0.0142008+0.00133299j 0.0149904+0.00496593j -3.36237e-05+0.00161214j 0.00737227+0.000753056j 0.0134797+0.00387415j 0.00211635-0.00510148j 0.000479194+0.00884402j -0.00516232-0.000340167j 
0.000121687-0.00104264j -0.0015361-0.00028543j 0.00506365-0.00167794j 0.00153979-0.00330173j 0.00979108+0.0114304j 0.00402705+0.00258044j -0.0106124-0.00546701j 0.00580195-0.00468225j -0.00179305+0.00822281j -0.0016679+0.0015708j 0.0131041+0.00170855j 0.00262745-0.0133804j -0.0101969+0.00343376j 0.00963884+0.000355955j 0.00298776+0.0036377j 0.0110503+0.0012685j 0.00760196+0.000667921j -0.00681838+0.00859714j -0.0144864-0.0190601j -0.00194613-0.00315633j -0.00305231+0.0189394j -0.00186915-0.0015883j 0.00239915-0.011453j -0.00790637-0.00225401j 0.003823+0.00182353j -0.00517337+0.00116256j -0.0174338+0.00397868j -0.0058619-0.000232567j -0.00367173+0.00810559j 0.00388384+0.00371177j -0.00788695-0.00594932j 0.00508069+0.0115211j -0.00590827+0.00713856j -0.00772356-0.00186515j 
0.00555483-0.00346614j -0.00392138-0.00357834j 0.00719885-0.00411515j -0.00116672-0.0065826j -0.00933056-0.000735547j -0.0023896+0.00384943j 0.0192824+0.00283726j -0.00737494+0.00223066j 0.0093291-0.00923694j -0.0108683+0.0147286j 0.00214977+0.0025677j 2.31649e-05-0.00444577j 0.0131981-0.00747742j 0.00501963-0.012111j -0.0119798+0.00624392j -0.0151595-0.0034103j -0.00579774+0.00499196j -0.00740547-0.0129818j -0.00579527-0.000604662j 0.00420306+0.0102771j -0.00564395-0.00967124j 0.00144025-0.0161532j 0.0011329+0.016064j 0.012189-0.0117922j -0.0013574-0.00815419j -0.00034816+0.000617941j 0.0117946-0.0017815j 0.0161018+0.00869029j -0.00681137+0.00337777j 0.00352283-0.00284498j 0.0166865-0.00210695j -0.000396595+0.0104616j -0.000420185+0.00764039j -0.00988828+0.000337918j 
-0.00840435+0.00268615j -0.00104255+0.00886126j -0.0078508+0.00439838j -0.00478143+0.00269946j -0.0032293-0.00427076j -0.000233283+0.00895564j -0.00307738-0.00139321j 0.00148791+0.000341406j -0.0111333+0.00392067j 0.00572951-0.0120464j 0.000329971-0.00175086j 0.00637401+0.0146014j -0.000750116+0.00345395j 0.00759974-0.000738448j 0.0031492-0.0136786j -0.00666157+0.0083086j -0.0191571-0.00596307j -0.011031+0.00541787j -0.000500553+2.24328e-05j 0.015864+0.0126409j -0.000388303-0.0200757j 0.00128728-0.0132436j 0.00130403-0.000638696j 0.00556458-0.00901847j 0.00156959+0.00728557j 0.00123878-0.00618806j 0.00500136-0.0100138j -0.00280619+0.00613889j -0.0161545+0.00633982j -0.0104312-0.00528322j 0.00128149-2.97151e-05j 0.00101499+0.00534276j 0.00760028+0.000662807j -0.00357326+0.00421776j 
-0.00219846+0.00247964j -0.00288869-0.00590621j 0.0059369+0.00327558j -0.000801005+5.74066e-05j 0.00702839-0.00181655j 0.00871759-0.00626684j 0.00418706+0.000447626j 0.00929406-0.00790137j -0.00762363-0.00174702j -0.001762-0.000621732j 0.000369291+0.0140514j 0.00446275+0.00778705j -0.00132105+0.0207654j -0.00601925+0.00702846j -0.00514818-0.00863172j 0.0107905+0.0119365j -0.0133004+9.06433e-05j -0.0072101+0.00448322j -0.00221417+0.0100097j 0.00379869-0.00321618j 0.00515808-0.0028649j 0.0117456+0.00067892j -0.00433701-0.00251185j 0.00519915+0.0172265j 0.00109285+0.0083366j -0.0102925-0.00925409j -0.00302727+0.000867098j -0.00139969+0.000916463j 0.0110933+0.0056338j -0.00675523-0.000627768j -0.015811+0.00187533j -0.0176709+0.0125228j 0.00934269+0.00126418j -0.00548999+0.00476835j 
-0.00858997-0.00701681j -0.00374564+0.0129957j -0.00364509-0.00202716j -0.000594596+0.0103162j -0.0327217+0.00295884j -0.00921148-0.0033115j 0.00985613-0.00252226j -0.00590401+0.00901311j 0.00388127-0.0155279j 9.61899e-05-0.00399451j -0.00191648-0.00469554j 0.0059811+0.0114989j -0.00423148+0.0074787j 0.00480769-0.0115865j -0.0121509-0.00619836j -0.00173276-0.00352979j -0.00747766-0.00703012j 0.00228898+0.0127583j -0.0190102-0.0112203j 0.00639109+0.00537955j 0.0023862+0.00341445j -0.000538629-0.00852286j -6.42812e-05-0.0104386j 0.00107217-0.00776092j 0.00213207+0.000127034j 0.0026365+0.0022043j -0.00675095+0.0106301j -0.00935853+0.00468805j -0.0084727+0.00995105j 0.000257892-0.00300122j -0.00561659-6.06252e-05j 0.00683832+0.00647855j 0.000383466+0.00287645j -0.00782243-1.77954e-05j 
0.00648463+0.00557915j 0.00713492-0.0101147j -0.00181733+0.00467693j 0.00679732+0.00479703j -0.00241241-0.00444475j -0.00692304-0.0105324j -0.00226462+0.00425586j -0.000322399-0.000674736j -0.00204169-0.0018654j 0.00602557+0.000207789j -0.00164893+0.00529786j -0.00131588+0.00718478j 0.00291125-0.00408449j -0.00772567+0.00244838j 0.0014886-0.00383911j 0.000875442-0.000390992j 0.000598097-0.00214522j -0.00708224+0.00223108j 0.00502884+0.0047623j 0.000605438-0.000980677j -0.00297144-0.00766665j 0.00372294-8.11201e-06j -0.000541759-0.000992787j 0.00107448+0.00160719j -0.000882-0.000204623j -0.00205074-0.0037002j 0.00310666-0.00456975j 0.000743858-0.0011557j 0.000290468-0.000903156j -0.00245693+5.20326e-05j 0.00159939+0.000182646j -0.00606493+0.000264501j 0.00141424+2.37266e-05j -0.00174916-0.00223414j 
0.0128845-0.000904658j 0.00392437+0.00104985j -0.00960853+0.0235928j -0.0112753-0.00716084j -0.015647-0.0139679j 0.0123809+0.0233336j 0.000473266-0.0142451j -0.0139959+0.0147547j -0.00957797+0.0208103j 0.00185575+0.0101949j 0.00275088+0.00952994j 0.00302501+0.00641082j 0.00286536+0.00626546j -0.00495497-0.00084243j -0.00445814-0.00245757j 0.00593315-0.000881477j 0.00355061-0.00426209j -0.00170512+0.0074275j -0.00439358+0.00277594j -0.00383287+0.00257225j 0.00174503+0.00247603j 0.0034111+0.00326863j -0.000172764-0.00417078j 0.00285167+0.00558924j 0.000481182-0.00360034j -0.0024946-0.000706261j -0.00458305+0.00736352j -0.00068242-0.00539876j 0.00619335+0.00278189j 0.00118327-0.00124281j -0.0082489+9.62159e-05j -0.00476268+0.00450995j 0.00238618+0.00125746j -0.00222798-0.00131705j 
0.00439659-4.65529e-07j 0.0110063-0.00681692j -0.0107551+0.00601188j 0.0156105+0.0127093j -0.00323478+0.00628695j -0.0190787-0.0157665j -0.0170589+0.00747474j -0.00255452+0.00495021j 0.000537842-0.00186686j 0.00864981-0.0035188j -0.00367045+0.00430278j -0.00274598+0.00299695j -0.000295986-0.000542468j -0.00408759-0.00191607j 0.00342167-0.00323548j 0.00644273+0.00374175j -0.00669486-0.00317287j -0.0100367+0.000691427j -0.00301232-0.00117617j 0.00562962+0.00127578j -0.00235956-0.00622625j 0.00110112-0.00555139j -0.000991399-0.00148977j 0.00331471+0.00490773j 0.00150808+0.0022262j -0.00131059-0.00747088j 0.00238981-0.00349999j -0.00257269+0.00102184j -0.00137746+0.00470818j -0.00402572-0.00282329j -0.00153501+0.00216177j -0.00806232+0.00524714j 0.0113185-0.00646352j 0.00147921+0.00593725j 
-0.00124034-0.0249172j -0.00974353+0.00843413j -0.0115243-0.00256616j -0.00527656-0.00451118j 0.00628676+0.00712699j -0.000966992+0.0112111j -0.00393103+0.00449145j -0.010024+0.0133892j 0.00872574+0.00382311j 0.00178553+0.005285j -0.0142393-0.0135508j -0.0138216-0.00253407j 0.000340165+0.00944333j 0.00406536+0.0025696j -0.00632533+0.00470347j 0.00429665+0.00794352j -0.0101896+0.00556911j 0.00921772-0.0117355j 0.0100292-0.00376606j 0.005254+0.000194332j 0.00405018+0.00287145j 0.00107676+0.0058794j -0.00502225-0.00245161j -0.00945886-0.00207694j 0.00229789+0.0124311j 0.00143303+0.00411049j -0.00213573-0.00495876j -0.00752792+0.00666854j -0.00719499-0.00186084j -0.00582768+0.0130909j -0.00494665+0.00554609j 0.00654604-0.00772322j -0.00858596-0.000618672j 0.00375037-0.00349828j 
0.0172203-0.0121966j 0.00540944-0.0136077j -0.00708838+0.00764509j 0.0105722+8.26962e-05j 0.00132095+0.00737906j -0.011633-0.00410444j -0.00890149+0.00620674j -0.0109665+0.0122815j 0.00758098+0.00447901j 0.00433905+0.0148467j -0.00301685+0.000666488j -0.0110574-0.0070416j 0.00415513+0.0027846j -0.00761525+0.0008413j -0.00415017+0.00594548j 0.00826605+0.00497508j -0.00371928+0.00109525j -0.00664977-0.00594615j 0.00415655-0.000553509j 0.00247183+0.000914687j -0.0010415+0.000888889j 0.00441012+0.000891527j -0.0044574-0.00341404j -0.00291185-0.000510913j -0.000485207+0.0051457j -0.00337411-0.00236648j 0.00132155-0.00414763j -0.00317996+0.00161867j -0.00107385-0.00012372j -0.00460411+0.00791262j -0.00346337+0.0042178j -0.00181884+0.00366969j -0.000159279-0.00148612j -0.000476472+0.000768951j 
