-0.32785+0.169616j 0.184971+0.313295j -0.0189304-0.110877j -0.10523-0.104968j -0.0029623+0.20086j 0.0328758+0.054658j -0.0927202-0.0173027j 0.062056+0.0387799j 0.00457889+0.00200439j 0.0559523-0.165662j -0.0184596-0.137252j -0.0151218+0.114724j 0.0332189-0.0833562j -0.081945-0.0375757j -0.0370419-0.0498912j -0.0872221+0.00105243j -0.0458252+0.0312696j 0.0939244-0.0894905j -0.0759534+0.0505352j -0.148697+0.156284j -0.0613837+0.0529909j -0.099674+0.0162898j -0.356548-0.0499134j 0.0305481+0.157669j -0.305047+0.14239j 0.135517+0.356718j 
-0.0068751+0.00941866j 0.00884496+0.00675432j 0.00487989-0.014918j 0.010598+0.0128766j -0.0046955+0.00247447j -0.00961606+0.0141616j -0.00933177-0.0149651j -0.0121342+0.00262662j -0.00364531-0.00817276j -0.00619905-0.00675045j -0.00308268+0.0082286j -0.00672177-0.00170459j 0.00337674+0.0128235j -0.0135388+0.00232343j 0.00899626+0.0134491j -0.0131111+0.0054037j 0.00488784+0.00412033j -0.00609961+0.00202755j 0.00317936+0.00785637j -0.0116096-0.0136177j 0.000455497-0.00512959j -0.0176633+0.00197061j 0.0149723-0.0033855j 0.0108666+0.00206942j -0.00742378+0.00519645j 0.00728395+0.00613944j 
0.00987529-0.00297196j -0.00508613-0.0104741j 0.00206032+0.00219205j -0.000903322+0.0026149j 0.00815054+0.00370749j -0.00876188+0.00644173j 0.00531627-0.00989691j 0.0127608-0.00492678j -0.0155494-0.000465245j -0.00452657-0.00971253j -0.00348006+0.00417596j 0.0119868+0.00140843j 0.00525135+0.00801474j 0.0139844+0.0168861j -0.00933052-0.00124158j -0.00402812-0.00806596j 0.000814707-0.0114232j 0.00487228+0.00371905j -0.0106916+0.0128863j -0.00156699-0.00740801j 0.0100921+0.000776453j -0.00566721+0.00867847j 0.012228-0.00329543j -0.00535113-0.00930221j -0.000392392-0.0043942j -0.0034971-0.00590188j 
-0.0048928-0.00745058j -0.00249351+0.00273451j 0.00524069-0.00442638j 0.00421333-0.00734381j 0.0102699-0.000828893j -0.00450206+0.00548993j -0.0056756+0.000437597j 0.00671848+0.00311167j 0.012101-0.00469304j 0.00894984-0.00447148j 0.00366776-0.000241662j -0.0109119-0.00261661j -0.00300474+0.00869162j -0.00154437-0.00943773j 0.00865623+0.0141966j -0.00121774+0.00100054j 0.00428374-0.00667443j -0.0141431-0.00228877j 0.00815887-0.00116591j -0.00189371+0.0174362j -0.0192222+0.00787946j -0.000700554+0.000290906j -0.00699348+0.00365537j 0.00910121+0.000186432j -0.00888202+0.00521118j 0.00774103+0.0101321j 
0.00114944+0.000504911j -0.00319994-0.00105467j -0.00676769+0.0018785j -0.00341422+0.00674307j -0.00484595+0.00157733j -0.00416268+0.00059516j 0.00244189-0.00511659j -0.00816611+0.000546728j -0.00596779+0.000382735j -0.012126-0.00206283j -0.00589741+0.00570578j 0.00922994+0.00227702j 0.00256695-0.00207446j 0.00410458+0.0085542j -0.00697217-0.00550189j -0.00376133-0.00214994j -0.000972717+0.0100547j 0.0100915-0.00421621j -0.00164971+0.011111j -0.00397385-0.011216j 0.0150987-0.0020595j -0.00640059+5.35439e-05j 0.00526842-0.00735833j -0.00660996-0.00504086j -1.74907e-05+0.00304721j -0.000657374-0.0031442j 
-0.00114707-0.00898005j -0.00683253-0.00207751j -0.00155225-0.00799608j 0.014391-0.00651195j -0.00319562-0.0142791j -0.00606133+0.00705367j -0.00107157+0.00353978j -0.00851486+0.00744836j 0.00711938-0.012602j 0.00336852+0.00548622j 0.00683288+0.00865324j -0.0144642+0.00660366j 0.00154365+0.00878603j -0.0102919-0.00455821j 0.0167061+0.00830071j 0.00364668+0.00137761j 0.00566636+0.00723987j -0.0118055+0.0021067j 0.0105401-0.00488459j 0.0053178-0.00393632j -0.0107138+0.010314j -0.000906893-0.00199174j 0.0110769+0.00381809j 0.0171963-0.0084617j 0.0061252+0.00607532j 0.00980231-0.00720378j 
-0.00221597+0.000793638j -0.000953293+0.0059707j -0.00552144+0.00977067j -0.00804776+0.00610485j -0.0141814-0.000927659j 0.0099008-0.0192199j 0.00310366+0.00858482j -0.018351+0.00488763j 0.0125518+0.00227235j -0.00347596+0.0105883j -0.00054333-0.00296377j -0.000319939+0.0022649j -0.00746721-0.0131833j -0.0129212-0.00529143j -0.0024405-0.00975544j 0.0082977+0.00867477j 0.0012532+0.0176796j 0.00314519-0.00410686j 0.0038608-0.0137187j 0.00194847-0.00158121j 0.0048511-0.0041804j 0.00114935-0.0120515j -0.00552715+0.000438133j -0.00487709+0.00354349j 0.00924884+1.97537e-05j -0.00258629-0.00425455j 
-0.00936766+0.0228473j 0.0204922+0.00988675j -0.00402388-0.010172j 0.00876369+0.00926016j -0.00792258+0.00919796j 0.00154031+0.00989123j -0.00921447+0.00115131j -0.00870305+0.00820782j -0.00573613+0.00140409j -0.00669543+0.0103559j 0.00123137+0.00500421j 0.00530501+0.00430515j 0.00195611-0.0113511j -0.0105056-0.0026654j 0.000830591-0.003823j -0.00115089+0.00193905j -0.000557675+0.0122544j 0.0101602-0.00640938j -0.0023404+0.0116701j -0.0103883-0.0135963j 0.00211662-0.00425253j -0.0072197+0.00146368j -0.00209086-0.0120098j 0.00201551+0.00538j -0.0135363+0.00298839j -0.000672797+0.0134183j 
0.00440828+0.0014238j 0.000679313+0.00701761j 0.0146797+0.00599024j 0.0100386+0.00411965j -5.99278e-05-0.00434566j 0.0040566-0.00716829j -0.00116411-0.00852461j -0.00395506-0.00857647j -0.00121946+0.00447544j -0.00271792+0.0036802j 0.00538878-0.00135566j 0.00363092+0.00114449j 0.00721705+0.00509271j -0.00349385+0.0101511j -0.000493087-0.00188328j 0.000893663+0.0155522j -0.00184712-0.00368966j -0.00489406+0.00294326j -0.000394283-0.00842142j -0.00891276-0.00646709j -7.81518e-05-0.00619243j -0.00598782+0.0110591j 0.0128353-0.00132434j 0.00789719-0.00720852j -0.00267662+0.00145509j 0.0080427+0.00183757j 
-0.00852752+0.00584669j 0.00230826+0.00769102j -0.0212774-0.00229225j 0.00289391+0.000783275j 0.000121711-0.00893634j -0.00939998-0.00944925j -0.0025076-0.00641225j 0.00180106-0.000555378j -0.00531158+0.0114082j -0.00452559-0.0120892j 0.00342066-0.0168217j 0.00212134+0.00446599j -0.000417149-0.0030083j 0.00166449+0.0110737j 8.85615e-05+0.0212412j -0.000545298-0.0087481j 0.00295512-0.00629009j 0.0113389-0.0126835j 0.00365716-0.0165796j -0.00241001+0.000765108j -0.00134629+0.0026886j -0.000791065+0.00242726j -0.00505974-0.00234315j 0.000666876+0.00197163j -0.00708217+1.24558e-05j 0.00119267+0.00683441j 
0.00999507-0.00875025j -0.00522483-0.0089379j 0.0197195-0.00183572j -0.00203512-0.000281618j 0.00208934+0.00645631j 0.00856235+0.00678734j 0.00274999+0.0022625j -0.00140969-0.00205912j 0.000597422-0.0106217j 0.00430516+0.00908724j 0.00109623+0.016274j -0.00206416-0.00288931j 0.00299424+0.00224076j -0.00227908-0.006401j -0.00498722-0.0167559j 0.00300716+0.00867293j -0.00161099+0.00471914j -0.0103153+0.013962j -0.000956859+0.0136896j 0.0015161-0.00197476j 0.000814716-0.00317133j 0.00148755+0.000876082j 0.00870424+0.00293965j 0.00122511-0.0052817j 0.00668192+3.21116e-05j 0.00081085-0.00762416j 
-0.00815015+0.00823954j 0.00569892+0.00447973j -0.0157734-0.00522894j 0.00486345-0.000120311j -0.00437309-0.00278623j -0.00630355+0.00466707j -0.00352418-0.000457929j -0.00158751+0.00678179j -0.00356226+0.00299629j -0.00406613-0.000991031j 0.00206592-0.00192788j -4.81335e-05+0.00550059j 0.000439399-0.00424431j -0.000927879+0.000463729j 0.00495337+0.00961573j -0.00177785-0.00711935j 0.00310594+0.00250985j 0.00780199-0.00882295j 0.00178333-0.00113224j -0.00236064-0.00671827j -0.00108382+0.00262556j -0.00123371-0.00181217j -0.000385371-0.00487857j 0.00159143+0.00100624j -0.00264494+0.00327331j 0.00136332+0.00144938j 
0.000943595-0.010297j -0.0119783-0.00881733j -0.0100873+0.00332301j -0.0131845-0.00275412j 0.00170837+0.00378907j -0.00173698+0.00291348j 0.00665585+0.00334555j 0.00395033+0.00376032j 0.00153735-0.00531023j 0.00286813-0.00503974j -0.00298425+0.00416387j -0.000790992-0.00119066j -0.00498973-0.00250756j 0.0023973-0.00831404j -0.0010819+0.000147649j -0.00190457-0.00872754j 0.00210079+0.00246953j -0.00113801-0.00141089j 0.00302228+0.00769667j 0.00668505+0.000487775j 0.00264847+0.00480546j 0.00316813-0.00830297j -0.00413977+0.00707521j -0.00253615+0.00151845j 0.00469743-0.00139265j -0.00405672-0.0038558j 
-0.00740602+0.00570696j 0.00377579-0.00648251j -0.0190175-0.00971909j -0.00588299-0.0038071j 0.000229584+0.0092675j -0.00389254+0.0201748j -0.00158696+0.00899359j 0.00678941+0.012943j -0.00438634-0.00687148j 0.00268732+0.000733566j -0.00140923+0.00711942j -0.000495491+0.000872791j -0.00571547-0.00997124j -0.000966412-0.0148815j 0.00461367+0.00149051j -0.00358237-0.0181101j 0.00275922+0.00685891j 0.00463971-0.00642849j 0.00340836+0.0194159j 0.00391284-0.00181788j -0.000422692+0.00877274j 0.00427241-0.00817744j -0.0124966-0.00106426j -0.00183118+0.0056876j -0.00709601+0.000231605j -0.0072636+0.00701045j 
