0.183257-0.396005j 0.566076+0.103495j -0.139523-0.331389j 0.144348+0.378898j 0.0496406-0.0178278j -0.205848-0.00446098j -0.0489543-0.0184114j -0.158497+0.374996j -0.152767+0.326047j -0.569744+0.0782689j 0.164125+0.401751j 0.213616-0.00611985j -0.0501903-0.250058j -0.0887845+0.140827j 0.130161-0.0739977j 0.0497723-0.0771983j 0.0875488+0.0651416j -0.0489155+0.0149242j 0.15862+0.00155293j 0.0476643+0.0158277j -0.0892488+0.0627821j -0.0489534-0.0782557j -0.128295-0.0764047j -0.0837006-0.142611j -0.0567696+0.245507j -0.210702-0.012976j 
-0.0430318-0.0102363j -0.0250635+0.00822285j -0.0114472+0.0286443j -0.00217525+0.00366056j 0.0691706-0.0041492j 0.0111905-0.057304j -0.0433373-0.0066781j -0.0712635+0.0547195j 0.0353455+0.0142271j -0.0331554-0.0329485j 0.0222698-0.0342154j -0.030273+0.00971156j -0.00772622-0.0161306j -0.0524629-0.00729973j 0.0391661-0.0325577j -0.0305654+0.0217026j -0.00456538+0.00971868j 0.00698711+0.0536621j -0.0224014-0.0148633j -0.0347555-0.0653497j 0.0144451+0.0168765j -0.0291995-0.0216886j -0.0622464-0.0462939j -0.01384+0.0467972j 0.00195669-0.00516491j 0.0312148-0.0174637j 
-0.00308577+0.0225543j 0.0300328-0.0157007j -0.00012759+0.0148178j -0.0231628+0.023352j -0.0319276+0.0361994j -0.00446014+0.00449435j 0.00411166-0.0610657j -0.0026271-0.0234819j -0.00353556+0.0117364j 0.0215289+0.0181128j -0.00267753+0.0231455j -0.00977618+0.00916189j 0.0198034-0.012165j -0.0181586+0.000792043j -0.0333766-0.0145015j -0.02857-0.0124588j 0.039526-0.020231j -0.0506576+0.00289374j -0.000573035-0.00597462j 0.0413212-0.0269995j 0.00181363-0.0342762j 0.00498082-0.0313374j -0.0168037+0.0208383j 0.00497872+0.0416784j 0.0141108+0.018444j 0.0106759-0.0246447j 
0.016572-0.0215554j -0.00891638+0.00335496j -0.00158779-0.0138343j -0.00922576-0.0393184j 0.0414315-0.0273753j 0.0104819-0.0165633j 0.0505619+0.076695j 0.00681387+0.014203j 0.00900587-0.00148318j 0.00437561-0.0190666j 0.0187835+0.00212279j -0.0181194+0.00438781j 0.0144274-0.019509j -0.0176068-0.00209278j -0.0267225-0.0335061j -0.00153903+0.0314108j 0.0450444-0.013595j -0.0322611+0.0138335j -0.0131256+0.000797474j 0.0326142-0.0131112j -0.00869244-0.00979136j 0.0146544+0.0171924j -0.030475+0.00263197j 0.00709538+0.0372716j 0.0187892+0.0203846j 0.00966077-0.0308694j 
-0.00859023+0.0391271j 0.0319147+0.00998783j 0.0649123+0.0335608j -0.0272947+0.0721231j 0.045679+0.022913j -0.0510252+0.00127898j -0.0447573+0.0252332j 0.0301582+0.0704783j 0.0623154-0.0357363j -0.0313087+0.0116918j -0.0110494-0.0375753j 0.0228018+0.0127483j -0.000472539+0.016447j 0.012797+0.0278935j -0.0546683-0.000410553j -0.00523845+0.029692j -0.000833024+0.0592997j -0.0633759+0.0121294j 0.0470063-0.000106156j 0.063285+0.0132068j 0.000841153+0.0585225j 0.0060174+0.0301587j 0.0557241-0.00160498j 0.0120752-0.028388j -0.000908643-0.016299j -0.0223403+0.0131163j 
0.0143968+0.0170924j 0.0665546-0.00282445j 0.00799998+0.000559884j -0.0255859+0.0463991j 0.0383573+0.0461093j -0.00646307+0.052653j 0.049257-0.0333492j -0.0111625-0.0514445j -0.00610462-0.000785356j 0.0647029+0.0192969j -0.0157201+0.0136869j 0.0244654+0.022335j 0.00732753-0.00856448j -0.0395847+0.0513816j -0.037064-0.0152008j -0.0154641+0.0055613j 0.0629149+0.0506817j -0.0315232+0.0430463j 0.000983191-0.00762368j -0.0195579-0.0494394j 0.0730147-0.0331244j -0.0149132-0.00919311j -0.0393597+0.00689777j 0.0254724+0.0596102j -0.00404917-0.00975539j 0.0285802-0.0147053j 
0.0555974-0.0368551j -0.00657201-0.0216016j 0.0258152-0.0099711j -0.0662057-0.0296388j -0.0555381+0.0710377j 0.0148161-0.00092679j 0.0543934+0.0704342j 0.0665214-0.0287439j 0.0271643+0.0105598j 0.00227619-0.0231239j 0.0566644+0.0349405j -0.00885714-0.0029497j 0.00162287-0.0015641j -0.00922146-0.00311098j 0.00141823-0.0270699j -0.00423247+0.0302379j 0.00701879+0.0302015j -0.0241536+0.00787912j 0.0052797+0.000326458j 0.02397+0.00688927j -0.00718104+0.0300446j 0.00420501+0.0293933j -0.00228302-0.0269427j -0.00824099+0.0037955j 0.00139881+0.00134031j 0.0090193-0.00312179j 
0.00287887-0.0254461j -0.0446346+0.00774438j 0.00912403-0.0118199j 0.0307258+0.0255591j -0.0774466+0.034482j 0.000345227+0.0376146j -0.07949-0.0316829j 0.0282943-0.0267386j -0.0112141-0.0116697j -0.0444728-0.00514255j -0.00486412-0.0254888j -0.00614349+0.00829076j -0.00779066-0.0065683j -0.00966183+0.00457185j -0.00471417+0.000725626j -0.00636294+0.0103315j -0.0103973-0.0114547j -0.00251827+0.0247055j 6.87007e-05-0.000742741j -0.00414935-0.0238558j -0.00951754+0.0127473j -0.00697808-0.009538j -0.00471685-0.000815402j 0.0103539+0.00368216j 0.00725343-0.00718639j -0.00659196-0.00802942j 
0.0130799-0.00976916j -3.90948e-05-0.00435599j 0.00555186-0.00201589j -0.0212444-0.00842366j -0.0219924+0.0145756j 0.00225515-9.78344e-05j 0.0212326+0.0142467j 0.0212387-0.00847412j 0.00590445+0.00253244j -0.00101699-0.00468477j 0.0132925+0.00935147j 0.00705501+0.0139556j -0.00159193+0.014573j -0.00577333-0.000184898j -0.0236644+0.0366635j -0.0229266-0.108044j -0.021432-0.0242999j -0.038306-0.0276965j 0.0364645-0.00041041j 0.0375272-0.0277408j 0.0214723-0.0248128j 0.0227956-0.107751j 0.0236044+0.0374002j -0.0060405-0.000557655j -0.00206235-0.0143152j -0.00681489+0.0143704j 
0.0183038-0.00284348j -0.00562009-0.0185953j 0.00864573+0.00158482j -0.00599538+0.0144954j -0.0496331+0.078068j 0.0109537+0.0158287j -0.0424251-0.025907j 0.00857543-0.0382333j -0.000631784+0.0141864j 0.00771414+0.00261081j 0.0169728+0.0208403j -0.0106906-0.0301814j 0.0184615-0.020562j 0.00603175-0.0375576j 0.0297897+0.000429018j -0.0138771+0.0185521j 0.00806537-0.00974214j -0.0321374-0.0129914j -0.0141125-0.000149808j 0.0321844+0.0138699j -0.0450576-0.0122869j 0.00250029+0.0324322j 0.0248427-0.0340031j -0.0178989+0.00310961j 0.0146526+0.0197645j 0.0176688+0.00341148j 
-0.000132265+0.0229649j 0.0238753-0.0152075j 0.00231257+0.0121542j -0.00638431+0.022696j -0.00428259+0.0618169j 0.00450585+0.00491847j -0.0264972-0.0391346j -0.0192548-0.0258165j -0.00157054+0.0150362j 0.0276448+0.0193649j 0.000475414+0.0232893j 0.00777284+0.0252528j -0.0165858+0.0164055j -0.0105473+0.0412107j -0.0135791-0.0217344j 0.00175777+0.0325025j -0.00148607+0.0351638j 0.0374242+0.0331624j 0.00174809-0.00566443j -0.0496841-0.00939779j 0.0363557+0.0259715j -0.0302468+0.00960683j -0.0344447+0.00881399j 0.0182283+0.00271554j -0.0182092-0.0152655j -0.00797399-0.00987583j 
-0.0253384-0.0326234j -0.0325281+0.0348921j -0.0354018+0.0178883j -0.0725417-0.0538471j -0.0431271+0.00774332j -0.0129424-0.057555j 0.0655842+0.00307367j -0.0024961-0.00175737j 0.0124096+0.0285421j -0.0277062-0.00718824j 0.0416251-0.0116836j 0.0315897+0.0176469j -0.00129173-0.00527689j 0.0156921+0.0465988j -0.0625154+0.0478397j -0.0269045+0.0211906j 0.0150959-0.0166642j -0.0338818+0.0656095j 0.0231286-0.0154384j 0.00669868-0.0521057j -0.0044899-0.00883992j -0.0297449-0.0201531j 0.0408128+0.0329041j 0.0520366-0.00894536j 0.0073716-0.0161567j -0.0304895-0.00901971j 
-0.0231568+0.0169988j -0.0225956+0.0329056j -0.0243477+0.0109268j 0.0479458-0.0347989j -0.032143-0.00260113j 0.00570464+0.000478975j -0.0884924+0.00324141j -0.0275786+0.0129044j -0.0249346+0.020017j -0.0135341+0.0211173j -0.031289-0.00210185j 0.0125783-0.0188104j 0.00848695+0.00861947j 0.0098803+0.00766812j -0.00117116-0.0199164j 0.0439931+0.00839894j 0.0615057+0.0560684j 0.0034003-0.0129476j 0.00342506+0.000406296j 0.0106285+0.0360203j 0.050471-0.00296035j 0.0439094+0.0515357j -0.0182459-0.0294191j -0.0166603+0.00124116j -0.0183642+0.00461745j 0.0271059+0.0097422j 
0.0162068+0.0307106j 0.0416519-0.0327839j 0.0196512-0.00637251j 0.0193617+0.0300639j 0.0332858-0.0769034j -0.010049+0.0220951j 0.0313673-0.0193638j 0.0148083+0.0258406j -0.00483975-0.0254374j 0.0273591-0.00387369j -0.0274704+0.0114677j 0.010873-0.0316011j 0.0190305-0.0114953j 0.0125281-0.014771j 0.0270486+0.0461439j -0.0668285-0.0194714j 0.0162556-0.00943025j -0.0528655+0.0280429j 0.00915714-0.0289481j 0.0225967-0.0378618j -0.0236125-0.0431927j -0.0303697-0.0334267j 0.0461001-0.0354267j -0.00892204+0.00115071j -0.0036815+0.00433568j 0.0242815+0.0113422j 
-0.0319384+0.0197654j -0.0115778+0.0389503j -0.0358816+0.0164941j 0.0190933-0.0564313j -0.0504113-0.0844738j -0.0135099-0.0180112j -0.0129891-0.00673844j -0.00769813+0.0407506j -0.0264459+0.0148981j -0.0200166+0.0157814j -0.0372621-0.00410806j -0.0151174+0.0101011j 0.00285937+0.0092017j -0.0456175-0.0203355j 0.0494086-0.0306379j -0.0788103-0.0411422j -0.0626592+0.043658j -0.0402351-0.0391904j 0.0074232+0.001274j 0.00175941-0.00207002j -0.00767122+0.00842299j -0.0527707-0.0484541j 0.00422531-0.0175441j -0.0339864+0.0276125j -0.00510895-0.00357599j 0.0276781+0.0134888j 
0.0104796-0.0503244j -0.03606+0.0123771j 0.00900074-0.0300642j 0.00981647-0.00377516j -0.0439484+0.0225867j 0.0199677+0.0248937j -0.00120955+0.0372j 0.0442358-0.0309706j -0.00466387-0.0182665j -0.0445831-0.0115682j 0.00560866-0.019226j 0.00496187+0.0162309j -0.00984557+0.0129483j -0.0181611+0.0204376j 0.000294925-0.0081712j -0.0213006-0.0126322j -0.014862+0.0313877j -9.06806e-05+0.0124423j 0.0133636-0.00515423j -0.019024-0.0170379j 0.027144+0.0134926j -0.0217748-0.0263563j -0.0111794-0.000776685j 0.00083816+0.00725502j -0.0133038-0.0157908j 0.00438709+0.00291322j 
0.0372528-0.00999409j 0.000816135-0.0703734j 0.0182157-0.0343944j 0.0377889+0.0405479j 0.0554343-0.0229399j 0.0242649+0.0159579j 0.0144693-0.0234328j -0.00312422-0.0190234j -0.00563934-0.0233906j 0.030788-0.0323711j 0.0182378+0.0160617j -0.0348526+0.0470275j -0.0177809-0.0173102j -0.0744668-0.00672576j -0.0208679-0.0732378j 0.00152498+0.0143028j -0.0662932+0.0183597j -0.0488026-0.0288306j 0.000692933+0.0470634j 0.0338102+0.000633279j -0.030542+0.0704121j 0.00996075+0.00499062j -0.0219724+0.0191987j 0.00651551+0.0408301j 0.0431146-0.0121368j -0.0115198-0.018221j 
-0.005968-0.0351703j -0.00733497+0.014009j 0.00839948-0.0255498j 0.000800082+0.0151319j 0.00267655+0.0436535j 0.0198979+0.0164367j 0.0199923+0.0278681j 0.0209315-0.039547j -0.000867334-0.0196118j -0.027344+0.00870694j -0.00137675-0.0171977j 0.014839+0.0157784j 0.00394559+0.0387893j 0.0102897+0.00994036j 0.0147592-0.0106423j -0.0193714-0.0293124j -0.0372889+0.03403j 0.0459067-0.0597301j -9.61436e-06-0.00268856j -0.0445951+0.0476503j 0.0330883-0.0117408j -0.0466328-0.0158785j -0.00243629+0.0369917j -0.0167067-0.0108755j -0.0306298+0.00584741j -0.00616389+0.0177821j 
0.0123454+0.0243641j 0.0141398-0.00169469j 0.0107336+0.0218691j -0.0161928-0.0010668j -0.0151707-0.00623338j -0.0212207+0.00329011j -0.0168277-0.00191436j 0.00736155+0.0273194j 0.0122688+0.00913876j 0.0134712-0.00295591j -0.000261341+0.00892438j -0.0378491-0.0369386j -0.0115061-0.0309257j 0.0109479-0.0472922j 0.048028+0.0259497j 0.0255039+0.00206119j 0.00711629-0.0888108j 0.032791+0.0442241j -0.0250526-0.00800235j -0.00430984-0.0388092j -0.0497026-0.00616764j 0.0402359-0.0122854j -0.0206005-0.0480602j -0.011015-0.0119769j 0.0145799+0.00504836j 0.00722592-0.013517j 
