-0.0109024+0.101899j -0.10041-0.0211092j -0.0406594-0.108418j -0.133279+0.0788111j 0.0755618+0.087929j 0.0412207+0.0484849j -0.0437564-0.0811675j -0.083362-0.0149826j 0.0721324-0.135301j 0.030285-0.0586802j -0.00321986+0.0537717j -0.0134445+0.00808599j -0.156437-0.0291652j 0.075409-0.0242997j -0.0243808-0.112283j 0.0228115+0.0133448j -0.0242359-0.0164495j -0.0795459-0.00610534j -0.00176033-0.0630078j 0.0580973+0.038015j -0.16757+0.0501037j 0.00658411-0.0448104j 0.00203417+0.032632j -0.0942932-0.234793j -0.0038328+0.0117902j 0.0546894+0.0343807j -0.0721429-0.0261182j 0.0103762-0.0402674j 0.0826301-0.0647086j -0.101859+0.13522j -0.0871915+0.021273j -0.12283+0.140308j 0.0174818-0.0169116j 0.174249+0.118772j 0.126947-0.0337836j -0.0185734-0.11703j 
0.0546762-0.0394101j -0.0181817-0.0643837j 0.0229696-0.112426j 0.0122173-0.0340846j 0.0568472-0.0996025j -0.0408729-0.111395j -0.0443997-0.0270037j 0.0574257-0.0251198j 0.0405941+0.0226763j -0.0846707-0.0337675j 0.0276486+0.00955505j 0.0268466+0.0349313j -0.0653563+0.0209066j -0.0584558+0.0505719j 0.0551214-0.0427108j 0.0552614+0.0742164j 0.0825828+0.00336694j -0.036931+0.111869j -0.0785604-0.00567699j -0.0443702+0.0356238j -0.00101738-0.00767394j -0.0427981+0.0287981j -0.0478614+0.0142616j -0.00156775+0.0104343j 0.0419459+0.125511j -0.00922757+0.00528306j -0.0122093-0.0020323j -0.00968494-0.0697148j 0.0201459-0.00122967j 0.00839976-0.0161012j -0.113422-0.00486569j 0.0318286-0.00859285j 0.0017231+0.0286481j -0.0607688+0.0170654j 0.0236274-0.0068426j -0.0146479+0.0151077j 
0.0245055+0.0394084j 0.0404364-0.0292682j -0.046137-0.0270659j 0.0377397-0.0233427j -0.0168665+0.0433935j 0.0505278+0.00975092j -0.0449194+0.0144705j -0.0380488-0.0278528j 0.00949336+0.0709114j 0.00307556+0.0127557j -0.0150242+0.041313j 0.00291932-0.0191788j 0.0260816+0.048764j -0.00242819-0.0494098j 0.0617105-0.0613031j 0.0165321+0.00552597j -0.023872+0.00727716j -0.0340277+0.00565113j 0.0115912+0.00207566j 0.0169077-0.0228667j -0.055107+0.0165265j -0.00492777+0.0108211j 0.00156433-0.0190708j 0.0380073+0.0241655j 0.00489254+0.00413798j -0.00713551+0.00816739j 0.0228448-0.0879187j -0.00890653+0.011543j -0.02511-0.00457433j 0.0652832-0.0303076j 0.00959911+0.00785628j 0.0600274+0.0197612j 0.0660276-0.00793187j -0.000991894+0.0154126j 0.0696765-0.032257j 0.062099-0.021643j 
-0.0724276-0.00361103j 0.00175802+0.0757845j 0.0286778-0.0107242j -0.00601674+0.0170329j -0.0098643-0.0277119j 0.0312954+0.00551976j 0.0229894+0.00879204j 0.0113431-0.0427607j -0.0425354+0.00322956j 0.00400277-0.0265336j -0.0469062-0.0210752j 0.00325373-0.031082j -0.0308869+0.0290996j -0.00169854+0.0300252j 0.0295638-0.00159786j 0.0526745-0.0148412j 0.00460317+0.00929822j -0.0396918+0.00854154j 0.0156377+0.0256013j -0.0233675+0.0215332j -0.00811671-0.0183713j -0.0149728+0.0547177j 0.0492937-0.0823077j -0.0103682+0.00257482j 0.00596581+0.00099846j -0.0631991+0.00406428j 0.0475224-0.0108828j 0.0073068+0.0064377j -0.0562922-0.0307474j -0.00128734+0.0333632j -0.00198634+0.00959352j 0.0119964+0.000471573j -0.0109445+0.0398895j 0.0373912-0.014592j 0.0214012+0.0343452j 0.0826477-0.0185321j 
0.0323286-0.0224461j -0.0356838-0.0152584j 0.0320975-0.028337j 0.028927+0.0790885j -0.0447543+0.00297628j 0.0180446+0.0385994j -0.0223763-0.0373971j -0.00843762-0.0300774j 0.0200017-0.0061464j -0.00986573+0.00111425j 0.11689-0.0274733j -0.0492399+0.00760339j 0.00147021+0.0310532j 0.00231941-0.0065524j 0.0272776+0.0465773j 0.0146346+0.00695162j -0.0126642-0.0045396j -0.0363238-0.0188627j 0.00403192+0.000341121j 0.0143402+0.0326599j -0.0536435-0.0185548j 0.00983862+0.00564692j 0.00530392+0.0168042j 0.0210665-0.0485248j 0.00920012+0.00578822j -0.0206031-0.0175265j -0.0180218+0.05972j -0.00255734-0.0013422j 0.0275334+0.0469001j -0.0106012-0.059517j 0.0265377+0.029757j 0.0800507+0.0763681j 0.0178515+0.0318916j 0.0130387-0.0408381j -0.00547639+0.000787804j 0.00905581+0.0290539j 
0.0504843-0.041908j -0.0412669-0.0372856j 0.00510207-0.0175145j 0.0298838+0.0103859j -0.00893399+0.00772734j -0.0486464+0.0110626j -0.0582334-0.00894044j 0.0147038+0.0368569j -0.0214237-0.0040069j 0.0596953+0.0258507j -0.00726317-0.0186829j 0.0624292+0.0519031j 0.00495616-0.0324004j 0.0203963-0.0355877j 0.0144947+0.0163269j -0.0311785+0.00291587j 0.00370298+0.0128698j 0.0163473-0.00805689j -0.0325072+0.0616613j 0.00966155-0.00749286j -0.0149657+0.0337276j -0.0242377+0.00326682j 0.04809-0.000444495j 0.00772825+0.00546683j -0.0188531+0.0236727j 0.00197698-0.0795222j 0.024573-0.0531253j -0.0292528-0.0119166j 0.0649604-0.0202104j 0.0433682+0.0303616j 0.00866583-0.0285326j 0.00509941-0.0309776j -0.00343975-0.0673067j -0.009828+0.0246611j 0.0176655+0.0167216j 0.0384564+0.00161142j 
0.0102356+0.0416872j 0.0356594-0.0374545j 0.022081+0.0103336j -0.0362038+0.00857588j 0.000502461-0.0321625j -0.0254122+0.0580112j -0.0198475-0.0137949j 0.0415126+0.0336153j 0.0175977-0.017314j -0.0537795+0.0733749j 0.00386651+0.0367385j 0.0182322+0.0143782j -0.0275229-0.0385065j 0.00132742-0.05448j 0.00511767+0.050672j 0.0386855+0.0283003j -0.0188152-0.0260708j -0.0292073-0.0236077j -0.00429338-0.0168909j 0.00191771-0.00651171j 0.00966618-0.000294402j -0.00681755-0.0496702j 0.0295843+0.0651454j 0.0371584+0.0389024j -0.0109184-0.0121692j 0.0406886+0.0243132j -0.00709186-0.0225818j 0.0193784+0.00233769j -0.0572053-0.0312561j 0.00519663-0.0501088j -0.0127696-0.017807j 0.005197+0.0535172j 0.03419+0.0115626j 0.0120909+0.0356037j 0.00843383-0.0328384j 0.00753931+0.047938j 
-0.0252138+0.0403712j 0.0360926+0.0164178j -0.00848764-0.00415088j 0.0298501+0.00446672j 0.00124683+0.0234895j 0.0567194+0.000530167j 0.0247056-0.0128445j -0.00270168-0.00873356j 0.00397991-0.0407811j -0.0918033+0.084972j -0.0303036-0.0373677j -0.0495121+0.0213117j -0.0115511+0.0074231j -0.00974544+0.00899612j 0.0298805+0.0148381j -0.0140264+0.00821764j -0.0321271+0.0359892j 0.00518154+0.0232974j -0.0224926-0.0497988j -0.00331649-0.0532853j 0.0200907+0.000604755j -0.0380636+0.0037993j 0.0212279+0.0284745j 0.0157337+0.0396918j 0.0255886-0.0185835j 0.0755475+0.00693814j 0.0251129-0.0525386j 0.0221218+0.00231947j -0.0250173+0.00551116j 0.00141827+0.0413796j -0.0303017+0.00541903j -0.0110653-0.0423454j 0.0366918-0.039949j -0.0163142+0.0488072j 0.00514745-0.0201293j 0.0107933+0.00985937j 
0.046559+0.0115899j 0.00117762-0.0627519j -0.0262548-0.00708926j 0.0220831-0.0194867j 0.00125846+0.026341j 0.0587767-0.000274533j 0.0262552+0.0350175j 0.0137279-0.0272635j 0.00495509-0.0189148j 0.00378349+0.0182643j -0.0015974-0.00928666j -0.0132134-0.0331506j -0.0210973+0.0153174j -0.0507297+0.0186867j 0.0133547-0.0237039j 0.0311094-0.0343273j 0.0432068-0.0038343j -0.0178659+0.00121698j -0.0257891+0.0522003j -0.0206884+0.107442j 0.0472268+0.0175074j 0.0468214+0.0189978j 0.0660219+0.00814884j 0.000899695-0.0198002j -0.00744938-0.0167051j 0.0015313-0.0151288j -0.0317161+0.041133j 0.0476509-0.0314233j -0.0170495+0.00744558j -0.0452509-0.00289556j 0.0109085-0.050494j -0.0256423+0.00848617j -0.050391-0.00545211j 0.0480272-0.0362396j -0.0585741+0.0234898j 0.00435318-0.011805j 
-0.00110261+0.0133514j 0.00891017-0.0042318j 0.0123429-0.026852j 0.0324119+0.022246j -0.0201453+0.00312367j 0.0184665-0.00158778j -0.0122232+0.0410832j 0.00549856+0.0388038j 0.0610441-0.00425997j -0.00191114+0.0688412j 0.0182188+0.0517943j 0.0093095-0.00218214j 0.0168218-0.0302628j -0.0546426-0.0460618j -0.0196254-0.0431509j -0.00548834-0.0361514j 0.000113426+0.00168973j -0.0179635+0.0253718j 0.0411399-0.00223777j 0.0364542+0.0416924j 0.00944593-0.0469806j 0.0139359+0.041667j 0.00522343-0.0809945j -0.0480788-0.012899j 0.0308623-0.00282698j -0.0430865+0.0291928j 0.06134+0.0583975j 0.00895435-0.0129812j -0.014468+0.0197744j -0.0336802+0.0743219j -0.0211365+0.0156038j 0.00588429-0.000820958j -0.0184844+0.0719885j -0.00926549-0.0593398j 0.00447287+0.0700949j 0.0163126-0.0186567j 
0.0121629-0.0547434j -0.0450029+0.00488488j 0.00618155-0.0250297j 0.0337966+0.0276284j -0.0231453+0.0120984j 0.0179788+0.0301629j 0.0213687+0.015071j 0.0198307+0.000941991j 0.0165273-0.00944239j -0.0705466+0.0152029j -0.0221571+0.0128226j -0.0109309-0.0265566j -0.0222587-0.0103831j -0.0158127-0.0115053j 0.000703237+0.0119084j 0.0505215-0.0020741j 0.0469762-0.0450809j 0.0254031+0.0158j -0.00714684+0.0346226j -0.00318733-0.0450797j 0.00983145+0.045085j 0.0161044-0.0851929j -0.0071383-0.034372j -0.0265512-0.00532939j -0.0963329-0.0151255j -0.0435514+0.00546202j -0.00784151-0.0176056j -0.0436752-0.015972j -0.00342933-0.0799633j -0.0297465-0.0377988j 0.0239192-0.0356557j -0.00758772-0.0655509j -0.00994766-0.01956j -0.00495239+0.0201646j -0.00327394-0.0243029j 0.00183588-0.019068j 
0.00295953-0.0265525j -0.0204021+0.00507043j 0.0114096-0.00278808j -0.0122358+0.0197333j -0.013065-0.0110231j 0.0180647+0.00883688j -0.048017+0.0289573j -0.030662+0.0182871j 0.0320995-0.00475006j -0.00933842-0.0347488j 0.0337852-0.0994523j 0.00200321+0.0290866j 0.0416104-0.0110019j -0.0116216-0.023389j 0.0245412-0.016862j 0.0626388-0.0393432j -0.00626133-0.0362098j -0.000931498+0.00973781j -0.00159737-0.0316059j -0.0471079+0.00807396j 0.0707156-0.0408563j -0.0258666-0.0292133j 0.00851636-0.00779158j 0.0114653+0.0714837j -0.0350905-0.00867198j 0.0535618+0.077423j 0.00678784-0.0272313j 0.0369693-0.00548321j -0.164468-0.0128947j -0.033082+0.0427516j -0.046519-0.0164095j -0.0943983+0.0121726j 0.00795386+0.0408329j 0.0408475+0.0254678j -0.0177909-0.00403675j 0.00370776+0.00121067j 
-0.00380863-0.010283j -0.00203282+0.00865224j -0.0189711+0.0403923j -0.0455322-0.0246623j 0.0269373+0.000282084j 0.00657474-0.00141883j 0.00526962+0.0154322j -0.0021341-0.000831705j 0.00826849+0.0112469j -0.00484364-0.0123038j -0.0101167+0.0138452j 0.00242074-0.0168208j 0.00210103+0.00109532j -0.0087659-0.00360502j -0.004627-0.017636j 0.0340567+0.0192256j -0.00872722+0.013512j 0.0206505-0.0176465j -0.0392726-0.0557534j -0.0823316-0.0677747j -0.0723964-0.0521901j -0.0704881+0.0315475j -0.0483475-0.0171538j -0.0862229-0.0197423j -0.018266+0.00774999j -0.0535292+0.0122663j 0.107869+0.0961079j -0.0358928+0.0442491j 0.0353743-0.0183672j -0.0563652+0.0787402j 0.0617936+0.0862887j 0.0115493-0.023468j 0.012987+0.0708953j -0.0164714+0.00382338j -0.0113683+0.0591437j 0.0246807+0.0700401j 
0.0030509+0.00934399j 0.00373775-0.0117644j 0.0273609-0.00120212j -0.0437498+0.0253738j -0.0191947-0.0395987j 0.00520333-0.0171765j 0.00853874-0.00336824j -0.00281788+0.00104736j -0.00190498-0.0174016j 0.0103385+0.0152209j 0.00489222-0.0138094j -0.00883835+0.0123972j 0.00278018-0.00100846j -0.00529191+0.0157792j -0.00630716-0.00093253j 0.0248708-0.0698352j -0.0110438-0.0596426j 0.0172485+0.00457706j -0.0123591+0.0709084j -0.00945138-0.0250359j -0.061554+0.0860109j -0.0592922-0.0787861j -0.030235-0.0143582j -0.0352976-0.0454188j -0.109159+0.0951514j -0.0533019-0.0129548j 0.018294+0.00588385j -0.0869846+0.0192055j 0.0534697-0.0159457j -0.0647198-0.0319623j 0.070976-0.0505506j 0.0825759-0.069009j 0.0394819-0.056072j -0.0205788-0.0182053j -0.00821748-0.0134617j 0.0342677-0.0196644j 
-0.0206751-0.00449939j 0.00337666+0.0268831j 0.0127968-0.0112758j 0.0127445+0.0194759j -0.0111243-0.00278973j 0.0246479+0.0159122j -0.0109544+0.023203j 0.0415037+0.0107274j 0.00320025-0.0254053j 0.0343055+0.100645j -0.00792219+0.0357047j 0.0320775+0.00324349j -0.0299536-0.0178169j -0.049088-0.0281021j 0.0177266-0.0085738j -0.00397644+0.00154957j 0.0181936-0.00476449j 0.0410547-0.0258161j 0.00917495-0.0394576j -0.0938599-0.0123339j -0.0471536+0.015691j 0.0191062+0.0436583j -0.16476+0.0104025j -0.035547-0.00570087j 0.00431775+0.028852j -0.0517249+0.075759j -0.0381188+0.00883096j -0.0119474+0.0709298j 0.00550627+0.0106197j 0.0277911-0.0297587j 0.0699022+0.040985j -0.0468444-0.00583375j -0.00281749+0.0306431j -0.000337226-0.00909156j 0.00646667-0.0364227j -0.0625132-0.0396124j 
0.0448119+0.003516j -0.0134035-0.0545452j -0.0242052-0.0117395j 0.0345475-0.0281084j 0.00688164+0.025907j -0.000968312+0.012538j 0.0150434-0.0121584j 0.0218908-0.0107005j 0.0110924-0.0247834j 0.0212197+0.0122557j 0.0694842+0.0137796j -0.01922-0.00952886j -0.0191952+0.00114188j -0.0204668+0.0142312j -0.0178456+0.0300985j 0.00169637+0.0200779j -0.00274516+0.0253511j 0.00561142+0.0201556j 0.00964457-0.0212137j 0.00722893-0.0663966j -0.0230705-0.0377244j -0.0285649+0.031637j 0.00391045-0.081715j -0.0440847+0.0166953j 0.00869486-0.0201865j -0.0438917-0.00273084j 0.0948249-0.015084j -0.0259965+0.00492472j 0.00527595-0.0415011j 0.0177013+0.0829723j -0.0105885+0.0460446j 0.00131748-0.044594j 0.00686107+0.0353884j -0.0252313+0.0164377j 0.0462894+0.0449386j 0.0496506+0.00246724j 
-0.00932956-0.0046268j 0.000931346+0.014039j -0.0204808-0.0027281j 0.0318914-0.0225945j 0.012782+0.0264403j 0.0181381-0.0428619j 0.0549556-0.0457553j -0.0157642-0.0305601j -0.00989069+0.000396125j -0.0173806+0.0507261j 0.0013661+0.0697656j -0.0616473-0.00725619j -0.00528986+0.0382666j 0.013044+0.0418233j -0.0194052-0.00134331j 0.0163508+0.0185019j 0.00424417-0.0703113j 0.00830555-0.0585981j 0.0181785+0.0718834j -0.00468343-0.000458628j 0.0219971+0.0147963j -0.0333733-0.072492j 0.0193845+0.024648j 0.0104748+0.0133374j -0.0616248+0.0586845j -0.0398842-0.0295973j -0.0302495-0.00302824j -0.0470681+0.0112826j -0.00846671-0.0763946j 0.0130253-0.0469019j -0.0109477-0.0470415j -0.036133+0.0429337j -0.0403452-0.00157051j 0.0182734+0.0255455j -1.67625e-05-0.000707148j -0.00425034+0.0367423j 
0.00250149+0.061828j 0.045579-0.0129335j -0.00193009+0.026122j -0.0216515-0.0196512j 0.0261997-0.00659064j 0.0139304+0.0229329j -0.0513727-0.0177453j -0.0219816-0.0153264j -0.0127329+0.0331217j -0.00249439+0.00831193j 0.00171252-0.0185743j 0.00589502+0.0196809j 0.0138212+0.0276629j 0.0261339-0.0348479j 0.0596164-0.00073456j -0.00444335-0.0106583j 0.0588344+0.0223673j 0.0471725+0.034033j -0.0490563+0.00663111j -0.027289-0.00855748j 0.00987519+0.0506405j 0.0433618-0.0041061j -0.0217882-0.0058168j -0.0480936-0.0313146j -0.0333758-0.0393161j -0.00427411-0.0137651j -0.00917941+0.0173525j -0.00104878-0.0181066j 0.0684465-0.0120328j -0.0404281+0.0158782j 0.0483204-0.0170394j -0.0213921-0.105104j -0.0275834-0.0512885j -0.0172852-0.00211847j -0.0423368-0.00400824j -0.0319755-0.0336012j 
0.0361364-0.0180612j -0.026917-0.0402396j -0.00100968+0.0224226j -0.0278902+0.00516498j 0.00781407-0.00313027j 0.0298229-0.0157111j -0.00860169-0.00886189j -0.0118894-0.00747701j -0.0507278-0.0194016j -0.0280742+0.0387226j -0.0928933-0.0822935j 0.00730157+0.0443484j -0.00335397+0.00860776j 0.0249483+0.0132331j 0.0558276-0.00127728j -0.0107213+0.0107837j -0.00589983-0.0211913j -0.0161221-0.0499779j 0.0382859+0.0392477j -0.00999258+0.0413098j -0.0303088-0.00672715j -0.00359548+0.0402721j -0.0263211-0.00877225j -0.0213159+0.00272025j 0.0245874+0.0532059j -0.0762868+0.00717449j 0.0236681+0.0184539j -0.0170856+0.0397174j 0.0171095-0.0291081j 0.0416777+0.00109322j 0.0186602-0.000297045j -0.00413788+0.0553623j -0.0225197+0.0515021j 0.00534865-0.0228725j 0.0335994+0.035371j 0.0138088+0.00855679j 
