-0.000713635-0.0678087j -0.127903+0.0298269j 0.0177262-0.0357529j -0.0388743+0.0670226j 0.0477425+0.0710432j 0.0915901+0.0824912j 0.010252+0.00359175j -0.001312-0.0125048j -0.0132046+0.0346017j 0.00844157+0.0442924j -0.0139321+0.0619815j 0.0460578+0.0555813j -0.111794-0.0211991j 0.0882829-0.0117566j 0.00668609+0.0984263j -0.00869213-0.00516522j -0.010238-0.00731661j 0.0178602+0.00128255j -0.00556353+0.0162737j -0.00739592+0.00829383j -0.00631194+0.0205287j -0.000316427-0.0113106j 0.000150942-0.0291082j -0.000407985-0.0140459j -0.00791079-0.0132669j 0.0352854+0.0783517j -0.0169423-0.0796122j -0.0123859-0.00214783j 0.00680232+0.00899914j 0.000245166+0.00101968j -0.0110249-0.00504997j 0.000238086-0.0119173j 0.104615-0.0428057j -0.0617202+0.0406395j -0.0701634+0.0248952j -0.0658713+0.0497171j -0.00263279-0.0172881j -0.07374-0.115653j 0.0616879+0.0162818j -0.039077+0.0564449j 
-0.0514556-0.0282448j 0.000942657+0.0219283j 0.0116728-0.041178j -0.0420188+0.0477466j 0.0623847+0.0236896j -0.0645113-0.0602845j 0.0064137+0.00687768j -0.0156422-0.0316974j 0.0124201+0.0259733j 0.00737144+0.0247887j 0.00934724+0.0466778j 0.0720615+0.0258664j -0.011421-0.0100983j 0.00590564+0.0263846j 0.00152489-0.113639j -0.0153192-0.00822945j -0.0157721-0.00844193j 0.0139987+0.00477254j -0.0150195+0.00960468j 0.00669365+0.0104416j -0.00337493+0.00783966j -0.0141013-0.0111311j -0.015148-0.0138993j -0.0140385+0.000254305j 0.0146138-0.00786006j 0.0402577+0.041498j -0.0410002-0.0553456j 0.0179183+0.0110337j 0.00621651-0.000962017j -0.00497041+0.0100557j 0.0129653-0.00363682j 0.0017045-0.00179539j 0.00629111-0.00373697j -0.00226086+0.00211214j -0.0363989+0.0156584j -0.0515186+0.029872j -0.0392858+0.0250789j 0.0359161+0.0577679j -0.0639468+0.0240794j 0.0546398-0.0677939j 
-0.0717365+0.0578172j 0.0158674+0.00990078j -0.0280934+0.0305267j 0.0404956+0.0467118j -0.00215875-0.000810337j -0.0311467+0.0224021j 0.0182559+0.0441644j 0.0170436+0.0543648j -0.0125705-0.0560214j 0.00559269-0.0267194j 0.0316907+0.00814317j 0.0155811-0.0277196j 0.00425404+0.0624579j 0.0237736+0.0567238j -0.0457824+0.0372198j 0.00330653-0.0100408j -0.0254508-0.0211568j 0.0271684+0.0390751j -0.00300618+0.0146312j -0.0369375-0.029364j -0.0160709-0.0141354j 0.0299246+0.0385677j 0.0363984+0.0384995j 0.00873-0.01502j 0.011016+0.000518427j 0.0177031-0.0256388j -0.0229962+0.0219527j 0.0280346-0.0172188j -0.0201429+0.0164177j -0.00718605-0.00178578j 0.0499757-0.0169539j 0.0562284-0.0215627j -0.0192443-0.021994j -0.0142497-0.00875252j 0.0471399+0.0299444j 0.0230673+0.00144354j -0.0317575+0.0130166j -0.0140179+0.00722166j 0.00193687+0.0874762j -0.0878716+0.037689j 
0.0478333-0.0683083j 0.00274757+0.000982664j -0.0176634-0.0840488j -0.0477089-0.0198097j 0.0218153-0.0758561j -0.0157352+0.0193243j -0.0137821+0.00212354j -0.0603689-0.00766949j 0.0505127+0.00333967j 0.011743-0.00733542j -0.0351979-0.0422753j -0.0112329-0.0112884j -0.0389526-0.0235713j -0.0505511-0.0398026j -0.0321038+0.0271111j -0.0390624-0.00823853j -0.0164812-0.0346477j 0.014836+0.0232456j -0.0174614+0.0379491j 0.0131353-0.0400774j -0.0200111-0.00957081j -0.0297182+0.027325j -0.0264705+0.0325518j -0.00820307+0.0144749j 0.0296111-0.0231562j -0.0429442-0.0225609j 0.0228439+0.0266354j 0.0161811+0.0005272j -0.00508674-0.0201225j -0.0290191+0.0108485j 0.0308622+0.03598j -0.000673736+0.0475871j 0.0080825+0.0172239j 0.0111679+0.00429625j 0.0181749-0.0213813j 0.0498662+0.0361399j 0.00435063-0.0749637j -0.0505509-0.0137621j -0.012286+0.0119166j -0.0804812+0.0251206j 
-0.0230223+0.0785032j -0.00683114+0.00505753j 0.040894+0.00444214j 0.0411277+0.0040594j 0.059994+0.0149682j -0.0441673+0.00159546j -0.0828024-0.0742849j -0.0102366-0.0163052j 0.0239731+0.0410188j 0.024348+0.025487j 0.0389532+0.0058697j -0.0549935-0.0197378j -0.0170589-0.0529034j -0.0123059-0.0658689j -0.0396732-0.0129734j 0.0532942+0.0101305j 0.0544364+0.00198213j -0.0597663+0.00675829j 0.0179203-0.042776j 0.00215512-0.0298357j 0.0246392-0.0348912j 0.0218429-0.00217484j 0.0237446+0.00618469j 0.0463992-0.00514284j -0.0263897+0.0456184j -0.0206576-0.0195204j 0.044244+0.0401124j -0.0243498+0.0107974j -0.0143998+0.00362945j 0.00567657-0.050542j -0.0238664+0.0286855j 0.0103549-0.00682373j 0.00926939-0.0179154j 0.0145616-0.0152158j 0.0377753+0.0129714j 0.0109247-0.0639298j 0.0457125-0.0192421j -0.0471588-0.0732832j 0.0282038-0.0583882j -0.0355132+0.0362337j 
0.018817-0.0378383j -0.011807-0.00937898j -0.0149505+0.0559357j 0.0504983+0.0490495j -0.00656172+0.0313159j -0.0234097+0.00806777j 0.00169944+0.054028j -0.0380614-0.0232626j 0.0359911+0.00198635j 0.0116339-0.0110484j -0.0125677-0.0374917j 0.0349154+0.0184535j -0.0277721-0.00229684j -0.0275051-0.0019542j -0.0226634-0.0110121j -0.00819426-0.0222673j 0.0114527-0.0242181j -0.00912376+0.0183168j -0.043251+0.00273276j 0.0726452+0.00836233j 0.0671989+0.0117255j 0.0727465+0.0131081j 0.0546824+0.0155172j -0.0437698+0.0453161j 0.00552153+0.0433498j -0.0263132+0.0306382j 0.017911-0.0370777j 2.5407e-05+0.0200697j 0.00705718+0.0101515j 0.0786122-0.0800074j -0.021347+0.0240976j 0.0713075-0.00659094j 0.00688945+0.0580717j -0.00293014+0.0754304j -0.00406775+0.0672019j -0.0249159-0.0883665j -0.0299371-0.0109112j -0.0443799+0.0164991j -0.0400907-0.0318965j 0.0228304+0.0201125j 
0.0119249+0.0334197j -0.0171602-0.00360356j -0.00864663+0.0121771j -0.00691435-0.0156406j -0.034721+0.000684556j 0.0346808+0.00439507j -0.103476+0.010357j 0.0686539+0.0335346j -0.0237011-0.0139713j 0.0240859+0.00456746j 0.0897964+0.0498783j -0.0428522+0.0361554j -0.00352115+0.0279777j 0.0111647+0.0379777j -0.00429754-0.00521126j -0.0297995-0.0176472j -0.00604542-0.0643339j -0.00724258+0.0273778j -0.0344855-0.0278162j -0.0104125-0.00679344j -0.0390918+0.0101568j -0.0300847-0.014495j -0.0243382-0.0251364j -0.0222751-0.0480109j 0.0419809+0.0144124j 0.104608-0.0206678j -0.0533637+0.0202807j 0.0418401+0.0081673j 0.0130578+0.010498j -0.0315851+0.0158651j 0.0145491-0.00612338j -0.0285721-0.0208151j -0.0372247-0.0188461j -0.0268468-0.00720186j 0.0166808+0.0246444j -0.0520838+0.101378j 0.0226004+0.0437206j 0.0499606+0.00861608j -0.0441789+0.0813531j -0.035544-0.104663j 
-0.00318433+0.020535j 0.0073391-0.000584594j 0.00550083-0.0097674j -0.0717013-0.0180353j -0.0343689+0.0368013j 0.0491379-0.0621972j 0.0211442-0.00312532j -0.00563074+0.000769393j 0.00252185-0.00464839j 0.0142596-0.0151725j 0.0531558-0.0422726j 0.00711491-0.074203j 0.0178678+0.00676556j 0.0503092-0.0252257j -0.0989272+0.0325849j 0.00847099-0.0455298j 0.0817718-0.020307j -0.0341379-0.0139231j 0.0203162-0.0719329j -0.000925514+0.045206j -0.0394405+0.0239875j 0.00692787+0.0306185j 0.0181439+0.0174775j -0.00269423-0.0711375j -0.034967+0.047753j 0.00912154+0.0644852j 0.00596216-0.00282561j -0.0138099+0.0366807j -0.0130868+0.025169j 0.0435053+0.0375492j -0.0100939-0.0113323j 0.019314+0.0182295j -0.0486713-0.0241195j -0.0660413-0.0203773j -0.0559403+0.0110606j -0.0228568-0.0465169j -0.0180025+0.00388021j -0.0199095+0.00580385j -0.0375193-0.0480517j 0.0539666-0.0115869j 
0.000647348+0.0920983j 6.96631e-05+0.010603j -0.0183423-0.0217111j 0.000366428+0.00815347j 0.00706414-0.034731j -0.0182006+0.0218434j -0.0253633+0.043894j 0.011512-0.0410551j 0.00258964+0.0200656j -0.000298162-0.0139241j -0.00155497-0.0718492j -0.0285637+0.0418498j 0.00232466-0.0200759j -0.0170877-0.0383008j 0.0265198+0.0425297j -0.123689+0.0374317j -0.000225572-0.056285j -0.00601813-0.0724801j 0.0250624-0.013505j 0.0359603-0.0115171j -0.0353508+0.0620164j 0.014088-0.0449858j 0.0175826-0.0577278j -0.0346783+0.0107531j 0.0179119-0.013227j -0.00112919+0.101752j 0.0662412+0.00815555j 0.000411487+0.0173795j 0.0289607-0.000661432j -0.000300381+0.00901754j -0.0164656-0.0114576j -0.0319509-0.0138838j 0.0190939+0.0602415j 0.0155468+0.0455479j -0.0356937-0.0618956j -0.0356432-0.00958972j -0.0260508-0.0151735j -0.00682423+0.0736934j -0.000780575-0.0561492j 0.122906+0.0377674j 
-0.00349916-0.0199408j 0.00742697+0.000588452j -0.0498447-0.061566j -0.0714512+0.0188146j -0.0152123-0.0478695j -0.006388-0.0100237j -0.0982953-0.0321477j 0.0523941+0.0193949j -0.0183803+0.00707218j 0.0135387+0.015404j 0.0527376+0.0409808j -0.0681174+0.0315559j -0.00304558-0.00537312j -0.00665969-0.00111456j 0.0221614+0.00346403j 0.0536492+0.0124588j -0.0383985+0.046286j 0.0189723+0.00542576j -0.0178381-0.0041765j -0.0203632+0.0465469j 0.0550784+0.0119313j 0.0666915-0.0213512j 0.050597-0.0250089j -0.0222809+0.0153336j -0.0101742+0.0123949j 0.00967406-0.0626412j -0.00353532-0.00444112j -0.013775-0.0363045j 0.0138617+0.024643j 0.0435024-0.0391841j -0.0356223-0.0475927j 0.013638-0.0702133j -0.0185283+0.0171415j -0.00637482+0.0321085j 0.0390328+0.0241616j -0.00370956-0.0468326j 0.0200625+0.0718503j 0.0330587-0.013485j 0.0809164+0.02002j 0.0105606+0.0464244j 
-0.0111674+0.0344231j 0.0171835-0.00324162j 0.0350821-0.00357835j 0.00619572-0.0160083j 0.0302949+0.0161054j -0.00823087-0.0126946j 0.00397822-0.00607446j -0.00710391+0.0396864j -0.00191449-0.0284705j -0.0238498+0.00419556j -0.0900574+0.0502886j -0.0202157+0.0526029j -0.0237275+0.0138901j -0.0657628+0.0416636j 0.102772+0.00974421j 0.036173-0.105661j 0.0427761+0.0808072j 0.0506322-0.00750097j -0.0238528+0.0428057j 0.0553291+0.0995583j 0.0172183-0.0244304j -0.026932+0.00825693j -0.0375674+0.017844j -0.0323433+0.014839j -0.0132165-0.00558778j -0.103117-0.0221741j -0.0467652-0.0342557j -0.0416434+0.00833814j 0.0127572-0.0106187j 0.0312275+0.0161777j -0.0417057+0.0144077j -0.0297279+0.0445079j -0.0252176+0.0251877j -0.0303068+0.0141165j -0.0392128-0.00906946j 0.00965968-0.00608768j 0.0337986-0.0276604j -0.00688363-0.0267935j 0.00522022-0.0627975j 0.0296265-0.0189643j 
-0.0194566-0.0377017j 0.0117128-0.00933879j -0.0220583-0.00684417j -0.0488319+0.0487643j -0.00559363+0.0315728j -0.0159593-0.055585j 0.0217867-0.01023j 0.0275332-0.0046392j -0.027671+0.00195194j -0.0112734-0.011291j 0.0123162-0.0380324j -0.0291317-0.0263279j 0.0353337-0.00119522j 0.034622-0.0266265j -0.00171013+0.0545221j -0.0245756+0.0196019j 0.0409012-0.0310335j -0.0434946-0.0175753j 0.0301951-0.0100487j 0.023178-0.0889367j -0.00394966-0.0658777j -0.00314944-0.0757986j 0.00623284-0.0592697j 0.068814+0.0195425j 0.0213858+0.0240692j 0.025873+0.031153j 0.00727753+0.0407674j -6.01408e-06+0.0202582j 0.00698437-0.0105245j -0.0789178-0.0796281j -0.00587777+0.0439003j -0.0362635-0.0509928j 0.0539069-0.0142132j 0.0729447-0.0125029j 0.0673715-0.0120598j -0.0725823+0.0119523j 0.0435224+0.00213759j -0.00888937-0.0179568j -0.0108361-0.0249085j 0.00882182-0.0224831j 
0.0241991+0.077934j 0.00703936+0.00475687j -0.0447539-0.00106779j -0.0424238+0.00512345j -0.0616777-0.00960088j 0.040553-0.00676221j 0.0405874-0.0130296j 0.00423021-0.0655661j -0.0170346+0.0523341j -0.0241113+0.0259049j -0.0398238+0.00683046j 0.0368834+0.0444793j 0.0235132-0.0409029j 0.00849451-0.0161928j 0.0816202-0.0741643j 0.0343311+0.0370652j -0.0271867-0.0580031j -0.0475253+0.0726218j -0.0449768-0.0172021j -0.0119022-0.0655366j 0.0381703-0.0151878j 0.0141115+0.0148943j 0.00945854+0.0191937j 0.0102609+0.0103403j 0.023494+0.0282908j 0.0198991-0.0195095j 0.0518875-0.0259256j 0.0250754+0.0113299j -0.014252-0.00402519j -0.0067639-0.0517513j 0.0273539+0.0471169j 0.045401+0.0129033j 0.0249663-0.00646024j 0.023041+0.00168404j 0.0263815+0.0357168j -0.00271549-0.0288346j -0.0177989-0.0441837j -0.0597352-0.00747898j -0.0552136+0.00247297j -0.0550473+0.00846696j 
-0.0488002-0.066752j -0.00243476+0.000820774j -0.0155785-0.0197021j 0.0477464-0.0211221j 0.01201-0.0783782j -0.0160832+0.0832432j 0.0327937+0.0272604j 0.0468448-0.04646j -0.040123+0.0257233j -0.0122774-0.00552533j 0.0350486-0.042928j 0.0147563+0.00885776j 0.050729-0.0044564j 0.0587198-0.0147071j 0.0160169+0.000414368j 0.0795644+0.0257952j 0.0115926+0.0105485j -0.0518744+0.0152328j -0.00483376-0.0762833j -0.0479751+0.0366428j 0.0173525+0.0217508j 0.0110854-0.00471121j 0.00904951-0.0162349j 0.00581946-0.0479852j -0.0300265+0.0370178j 0.0433162-0.0209265j 0.0307845-0.0197833j -0.015079+0.00104388j -0.00389452+0.0206338j 0.0290002+0.00963675j -0.0287623-0.0217623j -0.00593457-0.0155063j -0.0260286-0.0324528j -0.0298476-0.0262037j -0.0205385+0.00917941j -0.0152197-0.0397022j 0.0172491+0.0359032j 0.0126966-0.0226591j 0.0151971-0.0347409j 0.0390929-0.0075929j 
0.0721278+0.0548979j -0.0159176+0.0099951j -0.0338019-0.0213559j -0.0381172+0.0484784j 0.000778671-0.000355553j -0.0280422-0.0273771j 0.0470181+0.0344579j -0.0179464+0.0602925j 0.00286807-0.0618536j -0.00684343-0.0266118j -0.0307573+0.00934116j 0.0190781-0.0260386j -0.0109685+0.0550051j -0.00982789+0.0541427j -0.0184646+0.0447614j 0.0870499+0.0357063j -0.00130667+0.0890616j -0.0135946-0.00860246j 0.0338593+0.0129357j -0.0207863+0.00406652j 0.0461385-0.030766j -0.0141079+0.00870095j -0.0181669+0.0211913j 0.0527518+0.0292445j -0.0511396-0.0162702j -0.0186899-0.0245902j -0.0183794-0.0251687j -0.0285533-0.0163556j -0.0205736-0.0154918j 0.00811015-0.00115799j -0.012342-0.000304939j 0.00564938+0.0152452j 0.0354756-0.038222j 0.0287251-0.0388026j -0.0155407+0.0132034j 0.0351436-0.0305348j 0.00424707+0.0162976j 0.0285109-0.0397167j 0.0271537-0.0212788j -0.0022818-0.0100737j 
-0.0485742+0.0303896j 0.00125762-0.0215253j 0.0638394-0.0617443j -0.0434785-0.0454755j 0.0657929+0.00523374j -0.0126009-0.0422174j 0.0031462+0.115338j 0.00162584-0.0254344j 0.0109424-0.0119279j 0.00770437-0.0252852j 0.00789701-0.0456495j 0.0486288+0.0586223j -0.0132889+0.0280183j -0.0127346+0.035208j 0.00544086-0.00577515j 0.0568764+0.0686593j -0.0640899-0.0228798j -0.0367382+0.0577243j -0.0386589-0.0238762j -0.0530825-0.0280629j 0.0374635+0.0147892j 0.00163049+0.00236988j -0.00568747-0.00213607j 0.000904719-0.00038353j 0.0108683+0.00258906j 0.0397347-0.0414008j 0.0534485-0.0431756j 0.016987-0.0122159j -0.00712441-0.00166295j -0.00468876-0.0100457j 0.0145672+0.00762705j 0.0148009+0.00349946j 0.0170359-0.0152658j 0.0151252-0.0126835j 0.00262758+0.00834788j 0.00819765-0.0118735j -0.0154485-0.0089366j -0.0127811+0.00350043j -0.0152241+0.00802498j -0.0158867+0.00784499j 
