-0.11175+0.215466j 0.202666-0.168068j -0.09469+0.125597j -0.007839+0.0272803j 0.0293202+0.00537406j 0.021693+0.017003j 0.0108714-0.0204553j 0.0246206+0.00715817j -0.0181515-0.00590436j 0.0368502-0.0299362j 0.00840084+0.00248383j -0.00261982-0.00619661j -0.00931162+0.00665383j 0.00568419+0.0017247j 0.0143381-0.00409729j 0.00694946+0.00402192j -0.0129286+0.00125455j 0.0317412-0.0116189j -0.00718936+0.00779096j -0.0010749+0.000141354j -0.0192855-0.00275233j 0.00591487-0.000489693j 0.00822215-0.00234693j -0.00517005-0.00446301j 0.00175075-0.000759017j -0.000520804-0.00369843j -0.00165159+0.010412j 0.00206709+0.0001479j 0.00783014+0.00740637j 0.0138865-0.00128578j -0.0030659+0.00425017j 0.00102574-0.00175387j 0.00390494-0.00288925j -0.00214357-0.00846452j -0.000952118+0.00713406j 0.00791773-0.00294666j 0.00103129-0.0101721j 0.0183381+0.00314967j -0.000402075-0.0147588j -0.0244293+0.00804522j 
-0.228627+0.286351j -0.0218691+0.0896637j -0.0429455-0.0212295j 0.0178372+0.0037342j 0.0175389-0.0142385j -0.0424799+0.00940934j 0.00859037-0.0184636j -0.0332939+0.0240879j 0.00350063+0.00296405j 0.00961359-0.0137634j 0.00910832+0.0102336j -0.0203896-0.00858271j -0.0100621+0.022262j 0.00354696-0.0127552j 0.00816997-0.0310543j -0.00906267+0.01642j 0.00136022-0.00957127j -0.0195279+0.0121559j -0.00544021+0.00268202j 0.00164168+0.0018683j 0.00503174-0.00833998j 0.000684267+0.00354598j -0.00687102-0.00365093j 0.00170814-0.00296877j -0.00865416+0.0014542j -0.000340103+0.00762927j -0.00969087+0.00447481j -0.000673175-0.00206203j 0.00846291-0.00286201j -0.00483273-0.00575516j -0.000768094-0.00206231j 0.00738351-0.00379617j -0.00457966+0.00841856j -0.0088376-0.00277351j 0.00697658-0.00975462j 0.00333125+0.0016627j 0.00307776+0.00809927j 0.00425151-0.000314431j -0.00993879+0.00692937j 0.0129035-0.00698882j 
-0.230676-0.242836j -0.0962634+0.0406918j 0.0200645-0.0693779j 0.000886373-0.0236111j 0.00613189+0.0410967j 0.0195386-0.00976154j 0.0014046+0.0057284j -0.0271651-0.0130491j 0.00331095+0.00814652j -0.0123993+0.01847j -0.00923706-0.0157793j 0.00961774-0.0161701j 0.00530598+0.0274049j 0.0121928+0.023279j -0.00740839-0.0103157j -0.00559926+0.00912469j 0.00887094-0.0131668j -0.00447171+0.00913823j 0.00456662+0.00778969j 0.00615899-0.0072584j 0.00851376-0.00196895j 0.00527673+0.000478035j -0.00855239+0.00432021j 0.000296453-0.00341026j -0.00285575+0.00430168j -0.00766876-0.00669614j -0.00992239+0.0111598j -0.00236464-0.00200454j 0.00171852+0.00266853j 0.00332429+0.00880605j -0.00276329-0.00752008j 0.00335231+0.0153595j 7.14233e-05+0.00682061j -0.00354026-0.00207263j 0.0047909+0.00700599j 0.00771406+0.00492956j 0.00238354+0.0116238j -0.00331016+0.00810534j -0.00588636+0.00119039j 0.0099767-0.00785446j 
-0.0164853+0.267215j -0.0216731+0.0511245j 0.0632965-0.0202216j -0.026066-0.0295689j -0.000520371+0.0414583j -0.0242512+0.00914952j 0.00454021+0.0103203j 0.0645563+0.00104631j 0.00462778+0.0123111j 0.00250042+0.00618152j -0.00638962-0.00265516j 0.00378549-0.00712518j -0.00347044+0.00502621j -0.0106236+0.00500788j -0.00107775+0.0048682j -0.00373056-0.00229226j -0.00510721-0.00132597j 0.00209084-0.00488675j -0.0145498-0.01844j 0.0085536+0.0125251j -0.00647534+0.00413793j -0.00564302-0.00378265j -0.00547067+0.00567265j 0.0072409+0.000528644j -0.00157986+0.00686595j -0.0132493-0.00198723j -0.00921965-0.0170942j 0.00635352+0.000817881j -0.00658337-0.00303483j -0.00593809+0.00545853j -0.00319514+0.00734521j -0.0136951-0.00822977j -0.00377735-0.0010754j 0.0137696+0.00727039j -0.0091993-0.00771971j -0.0159544+0.00635476j -0.0015077-0.00845804j 0.000259668-0.0155591j 0.0107896+0.00426076j -0.00798688+0.00398492j 
-0.217594-0.0591757j 0.0809647-0.048434j -0.0567376+0.0847057j 0.0277996-0.0380997j 0.00256144-0.0173845j 0.0121717-0.00492874j -0.0532551+0.00783012j 0.0169501+0.0396192j 0.00942063-0.00126301j 0.0256061+0.0182717j -0.0140274+0.0140337j 0.0119869+0.00234974j 0.00604114-0.022823j 0.00226216-0.0216643j 0.0174559+0.0023293j 0.0149178+0.00183122j -0.0228561+0.00545781j 0.00210281-0.00434635j -0.00167652-0.0141899j -0.00902173-0.00944307j -0.00655664-0.00921434j -0.00472079+0.0128143j 0.0117343-0.0117342j 0.0071222-0.000999432j 0.00633601+0.0056448j -0.00721768+0.0109799j -0.000921219-0.00350548j -0.00547022+0.0117158j 0.00452229-0.00025588j 0.0100019+0.00919976j -0.00495272-0.00192845j -0.0061329+0.0218861j -0.000170564-0.00064281j 0.00776465-0.00245814j 0.012851-0.00234499j 0.00791057+0.00164653j -0.00898113-0.0112387j -0.00773094+0.00411909j 0.00134005+0.00818146j -0.00230224-0.00136356j 
0.0706146+0.082999j 0.021951+0.163951j -0.0221834-0.109769j 0.0282981+0.00705361j 0.0272539-7.62613e-05j 0.00534833+0.00971111j -0.0325574-0.0151054j -0.0165766-0.0214248j -0.0140368+0.00538624j -0.0221783+0.015316j -0.00626095+0.0178738j -0.00511207-0.0139687j -0.00793658-0.00598181j -0.0160902-0.00200499j 0.000156274-0.00404679j 0.0193321-0.0207913j -0.000932534+0.0137249j 0.013922+0.013267j 0.00503955+0.00675772j 0.0222808-0.00206456j -0.00412604-0.000542478j -0.00357996+0.027948j 0.0139444-0.00322645j 0.000681132+0.00615904j 0.00694992-0.00506487j 0.00483293-0.00399517j -0.00781134-0.000838085j -0.030881-0.000470729j 0.00365166-0.00430744j 0.0122664+0.00261962j -0.000121825-8.60344e-05j -0.000932+0.00347279j -0.0197182+0.0132953j -0.0158177+0.00903006j 0.0162005+0.0110802j 0.0158085+0.00769897j 0.00360002+0.0136861j -0.0107581+0.0130371j 0.0103506-0.00464398j -0.0100186-0.0107757j 
0.113246-0.102102j -0.125082-0.0703977j 0.103655+0.021249j 0.0190501-0.00469377j 0.0162522-0.00145682j 0.0189401+0.009914j -0.00435818-0.00136235j 0.0239453+0.0162438j -0.0171287+0.0210811j -0.0157302+0.0348637j 0.00785947+0.0367462j -0.00356458+0.00999916j 0.00175799-0.00439381j -0.00802571-0.0114197j -0.0112533-0.0146369j -0.0155393+0.0175484j -0.00109942-0.0244709j 0.00864669-0.0205362j 0.00246802-0.00890295j 0.00367485-0.00307955j 0.00477157-0.00272647j 0.00624575+0.0113034j 0.00983146+0.00874821j 0.00824521+0.00880183j -0.000931267+0.0127814j 0.00433091+0.00564703j -0.0161453-0.0217278j -0.00517461-0.00525738j 0.00513662+0.000824029j 0.00542789-0.00188287j 0.00460842+0.00113274j -0.0120314+0.0203619j -0.0116754+0.00650248j -0.0152933-0.00190608j 0.00866562-0.00483981j -0.0072073+0.00731247j -0.0154779+0.0129703j 0.000853798-0.00335815j -0.013185+0.0186008j 0.0165058-0.00713471j 
-0.0588552-0.0109222j -0.0798429+0.00813115j 0.0514899+0.0137672j 0.00265801+0.0208295j 0.00482597+0.0469453j 0.00132923+0.0239907j 0.0178915-0.0408411j 0.0155619+0.0179276j -0.00668627-0.0276101j 0.0139217+0.00303445j -0.0209522+0.00772819j 0.0203706+0.0145466j 0.0137776-0.0188371j -0.0186139-0.0228337j -0.019138-0.0135631j -0.00813895-0.00203773j 0.0117929+0.00703301j -0.002711-0.00389403j 0.00452519+0.00942013j 0.00637096+0.0172724j 0.013773+0.00501146j -0.0077743-0.00248559j 0.0150374+0.014564j -0.00984691-0.00855016j 0.00780143-0.00886208j 0.00192431-0.00590217j -0.0151192+0.0153602j -0.00466989-0.0089405j 0.00720988-0.00462837j 0.00710525+0.00730064j 0.00219208+0.00971933j 0.0213054-0.0120242j -0.016368+0.00540093j -0.00666765+0.00278093j -0.00355872+0.0142525j 0.012273+0.00214775j 0.00311686+0.000394365j -0.00349386+0.0133536j 0.00330397-0.0145389j -0.00528127-0.00488643j 
0.0662316-0.0585584j 0.0266179+0.234575j -0.0324259-0.155346j 0.00848893+0.00442119j 0.0137022+0.0120153j -0.00565875-0.000254381j 0.0020769-0.0188333j 0.00700935+0.0012052j 0.0128886+0.00321463j 0.0124041+0.0557431j 0.00993039-0.0233936j -0.00914513+0.0318334j -0.00276038+0.00037898j 0.00664973-0.0228249j 0.0316204+0.0036953j 0.00532848-0.00584106j -0.0184116+0.00464569j -0.0180817+0.00505227j 0.00638156-0.000547369j 0.00230676+0.000414471j -0.00765514-0.00292839j 0.000220498+0.00438013j -0.00597668+0.0154525j -0.00535472-0.000453099j -0.000490523-0.00295034j 0.000650589+0.000572521j 0.0140061-0.00301356j -0.00141806+0.010395j -0.000578172-0.00175536j 0.00323034+0.00383978j -0.000966686+0.00674888j -0.00230355+0.00956347j 0.00301376-0.00637364j 0.00769576-0.00351102j 0.00572939-0.003932j 0.00711567-0.0103459j -0.00173244-0.0011707j -0.00977913+0.0212332j -0.00106581-0.00989576j -0.00654208-0.00635052j 
-0.0242507+0.0235401j 0.0996518+0.0321199j -0.0869229+0.0294482j 0.00643326-0.0326404j -0.0154523-0.01344j -0.00184632-0.0155106j -0.0153752+0.0275849j -0.0224999+0.0546979j 0.00679618+0.0152232j -0.00539908+0.0369028j 0.0060808+0.0226625j -0.0192819+0.0061348j -0.00156769-0.00104185j 0.00244514+0.00581097j 0.00467844-0.00707005j -0.0179239-0.0180142j 0.00637261+0.000383915j 0.0281399-0.019636j -0.00676182+0.0041269j -0.00696236+0.0125914j 0.00103186+0.00515448j -0.00427553-0.0110736j 0.0100448+0.0144608j -0.00536067-0.0130208j 0.00367505-0.00184938j -0.00757794-0.00809448j -0.0198665+0.0115277j 0.00892235-0.00690224j 0.00523557+0.000452732j 0.00100053+0.000665527j 0.00110649+0.00921j 0.015312-0.00378429j -0.00930922-0.00146393j 0.0059088+0.00257304j -0.00979639+0.00799006j 4.78287e-05-0.0015772j 0.0133472-0.00671875j 0.0106403+0.0163472j 0.00326735-0.0171394j -0.0162053+0.00347185j 
0.0580575+0.0278057j 0.136152-0.0163515j -0.0895511+0.00760106j 0.0139264+0.0283057j 0.0108554+0.0174228j 0.00538324+0.0126014j -0.00579083+0.00616544j -0.0282324-0.0168945j -0.0121922-0.00893751j -0.00747874+0.00580742j -0.0371937+0.0286654j 0.0156463+0.0202206j 0.00592523+0.000673694j -0.0268699-0.0044027j -0.00740092-0.0380499j -0.000303239+0.00223603j -0.0110812-0.000406499j -0.00496169-0.0322896j -0.00721768+0.0123981j -0.00201501+0.00344297j -0.00868503-0.00195393j -0.0148522-0.0113728j -0.00333498-0.018169j 0.0052042-0.00274599j 0.00380651+0.00639453j -0.00276944+0.00824262j 0.00532637+0.0216697j 0.00752165-0.00331849j -0.00352925-0.0050718j -0.00280783-0.00346874j 0.00307869-0.010847j 0.0086531+0.000965489j 0.015268+0.0024136j 0.00237248+0.00475547j -0.0101115-0.00972416j -0.000455402+0.00990581j 0.0109096-0.0135619j 0.00645005-0.0227174j -0.00448848+0.0123553j -0.00715592+0.00914839j 
-0.00651245+0.0545536j 0.00323471-0.153122j 0.0138889+0.12356j -0.0276817+0.0219565j -0.0446991+0.0231452j -0.0298082+0.00950416j 0.0409922+0.0244582j -0.00225045+0.0136841j 0.0208402-0.0202453j 0.00167567+0.00189998j -0.0118794-0.0202955j -0.00243681+0.0121898j 0.00029552+0.0182435j 0.0159772-0.00191631j 0.00432479-0.0187314j 0.00680998-0.0136657j 0.00484765+0.01458j -0.00126835-0.0141705j 0.0139252+0.0103602j 0.0132134-0.000843367j -0.00249588+0.00628052j -0.00109599+0.0178976j -0.00253048-0.0181082j -0.00176407+0.00836565j 0.00406748+0.00493964j 0.0125822+0.00254957j 0.00513172-0.00356976j -0.0282498+0.00208469j -0.00291088-0.00329594j 0.0045999-0.00423433j -0.00815636-0.0021233j -0.00465441-0.00502494j -0.00126428+0.01386j -0.0154753+0.00546888j 0.0160877-0.00283358j 0.0141633+0.0079925j 0.000849552-0.00727795j -0.0062784-0.0167256j 0.00358966+0.00240164j 0.00189205+0.00541004j 
0.0240746-0.0545909j 0.216524-0.0180585j -0.125926-0.0332j -0.0365796-0.0301608j -0.0321392-0.0543311j -0.0300822-0.0246396j 0.0204851+0.0382362j 0.010447-0.0264754j 0.0137221+0.0221105j 0.0506393-0.0154986j -0.00839722+0.00710074j 0.0118856-0.0053811j 0.00712876-0.00668334j 0.00664995-0.00121211j -0.0146705-0.00646837j -0.0070893-0.000193312j 0.00808792+0.00236764j 0.0270039+0.00802848j 0.0110322-0.0171965j 0.0136244-0.0121054j 0.00216105+0.0208507j 0.00314954-0.00111919j 0.00965427+0.0126162j 0.000400132+0.00730044j -0.000449012+0.00855122j -0.000663651-0.0163303j -0.00417535-0.00828283j -0.00896727-0.00560273j -0.00531358+0.00221073j 0.00195739+0.000604183j -0.00801956-0.00273045j -0.00490467-0.0126878j -0.00528367+0.00594619j -0.00946831+0.0102679j -0.00835025+0.00864139j -0.0088561-0.00301327j 0.0110539-0.00569436j 0.0174739-0.0143194j 0.00766856+0.0124834j -0.0134234+0.0120627j 
0.0249185+0.0427614j 0.00407514+0.0979555j 0.0775134-0.016989j 0.0459053-0.0313345j 0.0391633-0.0357195j 0.00960947-0.0167268j -0.0201321+0.0292148j 0.0143194+0.0193128j -0.0335321-0.0216891j 0.0423947-0.0135685j -0.00418341-0.0121575j -0.00512225-0.0107778j 0.0179549+0.0083576j 0.0194111+0.00400006j -0.00120626+0.00185513j -0.0120674-0.00128964j 0.0149027-0.00344641j 0.00980057+0.00692742j 0.0139833-0.000685313j 6.89903e-05-0.0105098j -0.00230842+0.00219548j -0.00736233-0.0128586j 0.0143989-0.00654928j 0.00721689-0.00990065j 0.00969613+0.00735743j -0.0111214+0.00518108j -0.0121792+0.00284021j -0.00554896-0.00218264j 0.00649995+0.0082336j -0.00506845+0.00226505j -0.00269211-0.000942649j -0.00428402+0.0152549j 0.0025602-0.00237864j 0.00569309+0.00374962j -0.00273694+0.00630445j 0.00870104+0.00888106j -0.00375127-0.00134584j 0.003571-0.00143063j -0.00447912+0.00329862j -0.0068279+0.00242352j 
0.0398268-0.0827412j -0.182256+0.251579j 0.14824-0.0942183j -0.0261722+0.0111523j -0.0321851+0.0226633j -0.0115728+0.00200424j 0.0148013+0.0249584j 0.0122855+0.0315345j 0.000418846-0.0272849j -0.0335248+0.0348641j -0.00459318+0.00617498j -0.00133541-0.00536583j -0.00725983+0.00407738j -0.00787621+0.00812608j -0.00804895+0.00554292j 0.00911609-0.0084554j 0.00511301-0.00570874j -0.00857371+0.023632j -0.00966872-0.0015615j -0.00658223-0.0024106j 0.000598499-0.024761j -0.00695608-0.00424706j -0.00582409+0.00533295j -0.000611244+7.86079e-05j 0.00496315+0.00147106j 0.000583622+0.0018901j 0.00525996+0.00474861j -0.0011959-0.00120503j 0.00244633+0.00140292j -0.00253015-0.00399451j -0.00245408-0.000876593j -0.00776534+0.00876908j 0.00528503-0.00263604j -0.000450557+0.00150137j 0.000159096-0.00102085j -0.00358221+0.000671725j -0.0129454+0.00867262j -0.01167+0.0238393j 0.00675677-0.000812147j 0.00885458-0.0243473j 
0.0841612+0.0425449j -0.257405-0.194152j 0.103119+0.155253j -0.00285322-0.0361172j -0.0268832-0.0244648j -0.00144912-0.0048334j -0.014533+0.00567323j -0.0324814+0.0300604j 0.0191166+0.0100753j -0.0476423-0.0385853j -0.00306811-0.00786022j 0.00547524-0.00171105j -0.00145545-0.00171704j -0.00770812-0.00445605j -0.00759712-0.00777981j 0.00712297-0.0022615j 0.00560871+0.0146225j -0.040917-0.00857183j -0.00295113-0.0126292j -0.000207531+0.00478042j 0.0192148+0.0055906j -0.00585239+0.00211094j -0.010373-0.0128059j -0.00402805-0.000844916j -0.00104467-0.00556793j 0.00224368+6.7051e-05j -0.00351754-0.000831339j -0.00181282+0.00289543j 0.00337755-0.00513466j -0.00723531-0.0042874j 0.00320542+0.00295048j -0.00440366-0.0124843j -0.00571992-0.00140854j 0.00237045+0.00177441j 0.00426364-0.00114228j -0.00130906-0.00695846j -0.0114663-0.00985257j -0.0284136-0.00978575j 0.0034776+0.000786153j 0.0265283+0.0131684j 
