0.00720385-0.00621992j -0.00734763-0.00362813j -0.00461524-0.00779242j 0.00921207-0.00660711j -0.00313224-0.00609967j -0.00875576-0.00043105j 0.00922686-0.010171j 0.00721828+0.00843932j 0.00030565+0.00139291j -0.00981489-0.00408738j -0.00802516+0.00497024j 0.00334225-2.76635e-05j 0.0011347+0.00207132j -0.00907445+0.00734934j -0.0138084-0.0107146j -0.000437501-0.000738437j 0.00285504-0.00562005j 0.00433227+0.00168282j 0.00397333+0.00542196j 0.00342947-0.00216222j 0.00324582+0.000120424j -0.00610083+0.00223371j 0.0067846-0.00161811j 0.00362958+0.00189519j -0.00676803-0.00560896j 0.00235338+0.00226824j -6.84082e-05+0.000350765j 0.00284292+0.0077755j 0.000733022+0.0072534j -0.00024583-0.00637344j -0.00393073-0.00723531j -0.00650534-0.00350246j -0.00589845-0.00153336j -0.000575369+0.000492112j -0.00325785-0.00177582j -0.000201712+0.002517j 0.00243929-0.00250145j 0.000523726+0.00102554j -0.00454423+0.000201047j -0.00137525+0.000142647j 0.00567743+0.00354116j -0.00756045-0.000480476j -0.00372462+0.00230651j -0.00432642+0.00401424j -0.00898562-0.00207532j -0.00153141+0.00131225j -0.00342148-0.000271437j 0.00637269-0.00722061j -0.0106607-0.00963915j 0.00749558-0.00460545j 0.00343049+0.0057441j -0.00822722-0.0109811j -0.00192673-0.0129598j 0.00152657-0.00227176j -0.00478444-0.0034213j 0.00226879+0.00328653j -0.00490833+0.0143926j 0.0132567-0.00468784j 0.000881645+0.0055302j -0.00624201+0.0177862j 0.0158392+0.0189761j 0.00675459-0.00566645j 0.011568-0.00819484j 0.000556209-0.00239585j -0.00706719-0.0103887j -0.00736254+0.0076518j -0.00311802+0.00542801j 0.0166348+0.00779259j -0.0182777+0.0163321j 0.0245484+0.00973728j -0.00737775+0.00265814j 0.00014382+0.00915197j 0.00873274-0.00349209j 0.0234353+3.76511e-05j -0.020412+0.00354918j -0.00598085+0.0124467j 0.0265169+0.0274953j -0.0165946-0.00596894j -0.0212903+0.00431633j -0.0412806+0.0300473j 0.0108381-0.000343092j -0.00687632+0.00193742j 0.0676196+0.0437896j -0.0261624+0.0453516j 0.0322493+0.0137136j -0.0059287-0.0121692j -0.00916314+0.00190649j 0.00356376-8.91253e-05j 0.00759149-0.00589407j 0.00347657-0.00189515j 0.000792479+0.00629241j 0.00675529+0.032958j -0.00948803+0.0285224j -0.014513-0.0397391j 0.00439216+0.0339215j -0.0358301-0.00766649j 0.0509885-0.076496j 0.0800721+0.0610841j 
0.00330795+0.000655363j -0.00488533+0.000417975j 0.0211263+0.0016875j -0.000528224-0.00962631j 0.00129127-0.00866551j -0.00625109+0.00223655j -0.000828995-0.00282129j 0.00422389+0.00764877j -0.00423106-0.000481715j 0.00117442-0.000981352j 0.00151164+0.0117229j -6.2863e-05-0.00270994j -0.000500668+0.00912202j 0.00123159+0.00564182j 0.00400758-0.0031014j 0.00271499+0.010134j 0.0119495-0.010278j -0.00137748-0.0169814j 0.00379448+0.00220503j 0.0070387-0.00883386j -0.00243311-0.00869502j -0.000592071+0.00685993j -0.00863804-0.0052153j 0.00215612-0.00763817j 0.00277915+0.0116103j 0.00662637-0.0126794j 0.00402233-0.00347352j -0.00219518-0.00622883j -0.00627511+0.00467464j 0.0026731+0.00853862j -0.00420271+0.00816158j -0.0131382+0.00595878j 0.00461057+0.00915558j -0.00323742-0.00471458j 0.017101+0.00959358j 0.00918524-0.00751105j 0.0136868+0.00569333j 0.00637804+0.0196414j -0.0112608+0.00131346j 0.0101858+0.0169235j -0.00564704-0.00929332j -0.0112736-0.00697475j -7.06155e-05-0.00229992j 0.00288689+0.0034625j 0.0118889-0.0139004j 0.0199419-0.00121419j -0.00820847+0.00277542j 0.0315901+0.0092121j 0.00853395-0.00853183j -0.00862251-0.0169203j 0.00336679-0.0186381j -0.0231547+0.021027j 0.00951622-0.00894609j -0.00437516-0.00270552j 0.00632624-0.00150625j -0.00206751+0.00115452j -0.00107346-0.000911648j -0.0241115-0.0209782j -0.0152825+0.00270868j 0.00586062-0.000498707j -0.0306394+0.0371751j 0.0124781-0.00701019j 0.0186031+0.00357407j -0.0135643+0.00849492j 0.000901466+0.0148994j -0.00864999+0.00151808j -0.0187712+0.0130968j -0.00620396-0.0279949j 0.00445999-0.0087381j -0.00864654-0.0406056j -0.00443248-0.00361772j 0.000430376-0.0316453j 0.00165255+0.00591339j 0.00678451+0.00448679j -0.0034701-0.000741163j -0.00557267+0.00847168j -0.00509975-0.000590872j 0.00377325-0.016001j -0.00440102+0.00856736j 0.00313866+0.00390675j 0.0065427-0.0317306j -0.0121634+0.00582943j -0.0139857-0.0190924j -0.0300099+0.000343269j 0.00422374+0.00310719j 0.00931575+0.00642482j 0.0080099-0.00285967j -0.0182264-0.00901539j 0.013963+0.00944548j -0.0130684+0.00777422j -0.020806-0.000317011j 0.00746248+0.00827813j -0.00507337+0.000133777j 0.00131681-0.0232799j 0.00262416+0.0092185j -0.0164277+0.00234156j 0.0100221-0.0155897j -0.010199-0.00946998j 
-0.00790912-0.000555779j 0.00271108-0.0017226j 0.00527764-0.000532645j -0.00264662+0.00212166j 0.00436946-0.00172744j -0.00434444+0.00725887j -0.00281756+0.0133125j 0.00886781-0.000393946j -0.00271462-0.0153144j -0.00248862+0.00619295j 0.00168972-0.00688314j 0.0037574+0.00607189j -0.00167624-0.00743116j 0.00945305-0.00190226j -0.0011559+0.000692477j -0.0128856+0.00289154j -0.0116971-0.00192144j -0.0148076-0.000814953j 0.00109858-0.00807798j 0.00117918-0.000960582j 5.63918e-05-0.0109988j 0.00107324+0.00143659j 0.0041624+0.00313416j -0.00623099+0.0132297j 0.00242253+0.00693356j -0.00611116+0.00983976j 0.00353095-0.0117897j 0.00378861-0.00757883j -0.00867981+0.000697542j -0.00689108-0.000459287j 0.0109741-0.0118496j 0.00249437-0.00786266j 0.00283915-0.0165526j -0.0106794+0.00315166j 0.00192027+0.00438153j -0.0100462-0.0100283j -0.0144112-0.0228582j -0.00424191-0.0105619j 0.0183127-0.00835899j 0.00421916+0.00594589j -0.00649172+0.00249299j -0.00034764+0.00477378j 0.0191416+0.0016248j 0.0123768-0.0175585j 0.00550475+0.0163406j 0.0122483-0.00540816j 0.000885621-0.00970879j 0.000854173-0.0078188j -0.0244715+0.00702624j -0.00227674-0.0149289j 0.00568239-0.00922321j 0.00911628-0.0253371j 0.0185385-0.00697117j -0.0279397+0.0101399j -0.00115235+0.00572313j 0.000800653-0.0241202j -0.00291106+0.00248717j -0.00465737-0.00300654j -0.00141444+0.0145342j -0.00549487-0.0203063j 0.019341-0.0118467j 0.00338329-0.0220182j -0.0116112-0.0185453j 0.00735444-0.0101291j -0.00700504+0.00199352j 0.00451951-0.021534j 0.0105895-0.00357294j -0.0105615+0.00408397j 0.00552736+0.0159778j 0.000583662+0.00137778j 0.0170841-0.0167163j -0.00187927+0.00463061j -0.00413704-0.00412308j -0.0165907+0.00144133j -0.0058211-0.00625379j 0.0137412+0.00936879j 0.00235725+0.00741872j -0.0083422-0.00449518j 0.0189405+0.0041401j 0.0136915-0.00548916j 0.00436471-0.00485956j 0.00169119-0.00130127j -0.00330361-0.00435291j 0.0287701-0.0149984j -0.0131156+0.012976j -0.0143407-0.00672292j -0.00540486+0.0249077j 0.0015121+0.0170951j 0.005151-0.00598081j 0.0144813-0.00145495j -0.00368205-0.0157958j -0.00167181-0.00342126j 0.00971832+0.0307963j -0.0123635-0.0109543j 0.0114643+0.0121285j -0.0047587+0.0119425j -0.0162713+0.00698444j 0.0131386+0.00826182j 
-0.0106029-0.00370499j 0.0118864-0.0059841j -0.0024945-0.00404878j -0.00797048+0.00301474j -0.00131123+0.00482914j 0.000781758-0.00183179j -0.000732463+0.000171754j -0.00830408-0.00518016j 0.00120645+0.00377135j -0.00217824+0.00650443j -0.0173183-0.00500252j 0.000603292+0.00487007j -0.00231255-0.00168412j 0.00330973+0.00411027j -0.00267081+0.00567259j 0.00257811-0.00552966j 0.00456397+2.98376e-05j 0.00163937+0.000427883j -0.0136359+0.0053194j -0.000496433+0.00501093j 0.00934699+0.00219343j -0.004125+0.0019438j -0.00901471+0.00465682j 0.00655306-0.00421406j -0.00425201-0.00215816j 0.0154194+0.00187752j 0.00455933+0.00410361j -0.00530083-0.0014669j -0.00809673+0.0089987j -0.000829511-0.0107603j -0.00862379+0.000235852j -0.00824561-0.00188658j 0.00140631+0.00864817j 0.00584455+0.0152356j -0.00258191-0.00104704j 0.00914505+0.00779007j 0.00303507-0.00192332j 0.0073102-0.00969995j -0.0102826-0.00340075j 0.00434903-0.00427686j 0.010255-0.00249653j -0.0108523+0.00975659j -0.0104486+0.000866253j 0.00710126+0.00809885j -0.0127388+0.0149045j 0.00995578-0.000714927j -0.00410861-0.0102906j 0.00731094-0.0020875j 0.00640268-0.00609681j -0.00971842+0.00674232j -0.0018198+0.00588674j -0.0308716+0.0118472j 0.00265436-0.00690217j 0.000130417+0.0151434j 0.019625-0.0216023j -0.0088422-0.000367963j 0.024503-0.00917436j -0.0147636+0.0190489j -0.000711534+0.0127559j 0.0275189-0.0160659j -0.0161907+0.00219808j -0.0162415+0.0117196j -0.00569437+0.00345433j -0.00527903-0.0195161j -0.0135805-0.00565664j 0.0104668+0.00437552j -0.00353858+0.00664973j -0.00840294+0.00316509j 0.0292461+0.00878433j -0.00424974+0.0177376j 0.00419593+0.00170984j 0.0142625+0.00482822j 0.00166725-0.00276119j 0.000295203-0.00307933j 0.00874876+0.0114401j 0.0146959-0.00598809j 0.00766593-0.00724529j 0.0179156-0.00693052j 0.00583853-0.00936621j 0.0319572-0.0112798j -0.000839242-0.0033632j 0.00166027-0.010082j -0.0039768+0.00028714j 0.0469992+0.00278668j -0.00919729-0.00903956j -0.00569947+0.00259845j 0.00875849-0.00277281j -0.0151105-0.0032639j -0.00120312+0.0103828j -0.00956593+0.0122388j -0.0061973-0.001122j -0.0259936-0.00253855j 0.0150376+0.0264026j 0.00182707-0.00118291j 0.0012185-0.00230081j -0.00955778+0.0193301j -0.0226142+0.00277302j 0.0170779+0.0175272j 
-0.0149238+0.0025759j -0.0108204-0.00697739j -0.00952044+0.00360385j -0.00728967+0.00744447j -0.0039813+0.000135043j -0.0136158+0.000815957j 0.00212968+0.00800823j 0.011214-0.00361092j 0.013409-0.00841041j 0.00851603+0.00417403j -0.00960406-0.00236167j -0.00452319+0.0111713j 0.00726767-0.00447136j 0.000617568+0.00969644j 0.000272794-0.00620609j 0.000719567+0.000471978j -0.00175979-0.0121129j -0.00554385+0.00323568j 8.63825e-05-0.00170994j -0.0087908-0.00358395j -0.0065294-0.0163765j -0.00333727-0.00503057j -0.00767151+0.0106036j 0.0113446-0.00298858j -0.00673332+0.00581785j 0.00147204+0.00151605j 0.00959311-0.00450074j 0.0060389-0.0115416j -3.62069e-05-0.000744214j -0.00420806-0.00615448j -0.0215632+4.52964e-05j -0.00203957+0.0021911j -0.00168016-0.0171494j -0.00824633+0.00779163j 0.0134102+0.00108375j 0.0125431-0.00200614j 0.0151128+0.00418935j -0.0196765+0.00384211j -0.000786214-0.00198609j 0.00517788-0.0151145j 0.0103914+0.0121579j -0.00173742-0.0132345j -0.00269566-0.0111046j 0.0193888-0.0134797j -0.0163626-0.0062589j -0.0124423+0.0129307j -0.00874192+0.0112371j 0.0208211-0.00713701j 0.00129574-0.00629189j 0.0105693-0.00193714j 0.000562469+0.0168262j -0.00771207-0.00704162j -0.0126815+0.00118292j 0.0061399+0.000989981j -0.0199299+0.0242238j -0.00114688-0.0097148j -0.00792553+0.00435539j -0.000863161-0.00837508j -0.000592317+0.0209685j 9.28535e-05-0.00958112j 0.00769858+0.02203j -0.00825626+0.000600837j 0.000516203-0.00726091j -0.000215474+0.0100543j -0.0126075+0.00687876j 0.0148594-0.0139364j 0.00195989+0.0161802j 0.0397167-0.0223533j 0.0131747-0.0188499j 0.00014189-0.019323j 0.0106764-0.0169729j 0.0107466-0.00550503j 0.00778056+0.00392653j 0.0095792+0.0153237j -0.00864982+0.0105655j 0.0173873-0.00458018j 0.0273526-0.00593666j -0.00995443+0.00341652j -0.00519987+0.010514j 0.00709387-0.0201179j 0.00728033+0.0194652j 0.00234715-0.00086985j 0.0479721+0.0173565j 0.0285957+0.0050859j 0.0198996+0.00201606j 0.00481178+0.00071374j 0.0174473+0.00424561j 0.0158881-0.0155635j -0.00564578-0.00569346j 0.0152594+0.00219461j -0.0110509-0.00841378j 0.0146557-0.0137221j -0.0165585+0.0138575j 0.00268498+0.00200679j -0.00670241-0.00859982j 0.00946017+0.00262863j 0.00183323+0.0258002j 0.0312988-0.00138834j 
-0.0001932+0.00414251j -0.00678294+0.0030394j 0.0137048+0.00738044j 0.00891644-0.00756714j 0.00543175-0.00228108j 0.00387588+0.012106j 0.0102781-0.000771278j 0.00527784+0.00359983j 0.00473561-0.00573211j 0.00781695+0.00400467j 0.00144833+0.014655j 0.00393428+0.00329101j 0.0103116+0.00282866j -0.00321008+0.00352489j -0.00466159-0.00841333j -0.00580638+0.0106445j -0.0128857+0.000803538j 0.00149027-0.00397382j -0.00165242-0.0016819j -0.00230271-0.00184234j -0.00918335-0.00684182j -0.00713542-0.00518772j -0.00363291+0.00219879j 0.00904882-0.0103176j 0.0133363+0.00553995j -0.0121685+0.00453459j -6.35895e-05-0.00160453j -0.00275192-0.0210209j 0.0166597+0.00333874j 0.0100236-0.00856111j -0.00963136-0.00424345j 0.00619343-0.0129214j -0.0241469-0.000872564j -0.0105851+0.00452313j -0.00624087-0.00575219j -0.0110244-0.0131128j -0.00551127-0.0119738j -0.0165379-0.00681672j 0.0124465+0.0206329j -0.00178108-0.0100344j 0.00493956-0.00585223j 0.0166194+0.0034367j 0.00167877-0.0037191j -0.000491537-0.00814614j 0.0118392-0.0023802j -0.0122532-0.000366388j 0.0150787+0.00951859j -0.0204681+0.000279514j 0.00675297-0.00702394j 0.015616-0.00251679j 0.000234427+0.00727095j -0.0101793-0.010693j 0.0109617+0.0069491j -0.0157899+0.0196653j -0.00961067+0.01773j -0.000356849+0.00128349j 0.00234893+0.0238241j 0.00257985-0.0133861j 0.00524376-0.00366786j -0.00130931-0.0142699j -0.0173273+0.00325846j -0.00416904+0.0150008j -0.00471384+0.0217756j 0.00585701-0.0147182j -0.00786266+0.0131987j -0.00788835+0.0174108j 0.018376-0.00674077j -0.00974971-0.0260068j 0.00544479+0.00272633j 0.00633553+0.00889686j -0.00399228+0.0140765j 0.0127775-0.024871j 0.00741922+0.0030644j -0.00146118+0.00458239j 0.00865172+0.015476j -0.00664079+0.00369212j 0.00206843-0.012587j -0.00554848+0.00580723j 0.0017108+0.0205354j -0.0122565+0.0105787j -0.0142892+0.0120846j -0.000802077-0.00198425j 0.00224602-0.0129698j -0.00724435+0.00393935j -0.00117635+0.0013654j -0.017275+0.00517928j 0.000410247-0.0228154j -0.00767182-0.00530689j 0.00146203+0.00314663j -0.00509278+0.00254105j -0.00914368+0.00310207j -0.0305755-0.0220564j 0.000978349-0.0164512j 0.00634273-0.00721698j -0.00519488-0.00153113j -0.0173574-0.00693161j 0.00708359-0.00891095j -0.0035439-0.0086384j 
-0.00228776+0.00611436j -0.00752191-0.00312342j -0.00664771+0.00583144j 0.0138346+0.00721643j -0.00860854+0.000323977j -0.00508183-1.56199e-05j 0.0210544-0.000638797j 0.00886015-0.00857855j -0.0045151-0.000773994j -0.000425229+0.0110036j -0.00744109-0.00202677j 0.00798152-0.00509443j 0.00446621+0.00640792j 0.000908387+0.00333729j -0.00914143+0.00487911j -0.00206575-0.00706898j -0.00302529+0.00179405j -0.00259434-0.00274653j -0.00554553+0.00468178j 0.0116123-0.000359641j 0.0108999+0.00169486j 0.00504697-0.009807j 0.0128709+0.00330152j 0.020495-0.00992206j -0.0200715-0.0107725j 4.1114e-05+0.0026772j 0.000318799+0.00506806j 0.00545376-0.00627613j 0.0059959+0.00946385j 0.0117309-0.00645452j 0.0169076-0.00493183j 0.00216938+0.00251973j -0.0179405-0.0105001j 0.00529341+0.00080626j 0.00213883+0.000332421j -0.0140929+0.00306285j -0.00334428+0.0041571j 0.0135799-0.0068619j -0.0176749-0.00772139j 0.00678063+0.0230433j 0.0017237-0.00423126j -0.0146643+0.00852114j -0.0120899-0.00796284j -0.0412599+0.00180048j 0.0240634+0.0133601j 0.00162559-0.0119161j -0.00487615-0.0238774j -0.0228976+0.0209203j 0.00186607-0.0141551j -0.00149318-0.0133406j 0.0183653-0.00451121j -0.0121857+0.016271j 0.0024482-0.00300091j 0.0082475+0.00294391j 0.010265-0.0194708j 0.00488556-0.00542097j 0.00804328+0.001924j -0.00766419+0.0120611j -0.0039629-0.00127503j 0.0310093-0.0267468j 0.00817002+0.00192571j 0.00738183+0.00500256j -0.0203027-0.00864926j 0.00591805-0.00488185j 0.00702815-0.00890066j 0.00666275-0.0234363j -0.00212749+0.00936097j 0.00110293+0.0228871j -0.0183515+0.00591585j 0.0178297-0.00238539j -0.0068187-0.0131135j 0.011431+0.000860764j 0.00738777+0.0119504j 0.0316277-0.00871905j -0.0161318+0.0146791j -0.0172557-0.00162906j 0.0198546+0.00577325j 0.00428204-0.00389971j -0.0106181-0.00453012j -0.0225866-0.00325797j 0.0150479+0.0112258j 0.00108256-0.0223024j 0.0468942-0.0108335j -0.0108033-0.0232229j 0.0144046+0.0105932j -0.02303+0.00850574j 0.0154093-0.00155485j 0.00926588+0.0137916j 0.0183605-0.0137862j -0.00829529+0.00236343j -0.0048695+0.00653718j -0.00551576-0.0118757j 0.018291-0.000196674j -0.00486562+0.00756058j -0.00359278-0.0122048j 0.00131964-0.00902722j 0.0235443+0.0127431j 0.0211767-0.0126536j 
-0.00234749-0.00549316j 0.0101109+0.000488641j 0.0074702-0.00868184j -0.0159825+0.00184984j -0.00122281-0.00863607j 0.00789568-0.00216629j -0.000493077-0.00335359j 0.00301152+0.00586981j 0.00380601+0.00643196j -0.000897732-0.00630251j -0.00374286+0.0019647j -0.010293-0.00140847j -0.00589819-0.000354253j 0.000850888-0.00288393j 0.00623215-0.00259181j -0.00287876+0.0117766j 0.00891175-0.00938532j -0.0129428+0.00189821j 0.00134946+0.00627455j 0.00522526-0.00187843j -0.00881783-0.0126902j 0.000156401-0.000604483j 0.000673703-0.00264165j -0.00232491-0.00252411j -0.000271001+0.00142106j 0.013076+0.00660268j 0.00837169+0.00241116j 0.00181024+0.00745058j 0.0151039-0.00595512j -0.016184+0.0067957j -0.0109822+0.0131095j 0.00772824+0.00611416j -0.000808648-0.000131282j -0.0261499-0.0112372j 0.00636913-0.00345853j 0.00377874+0.000899512j -0.00561293+0.0117923j 0.0108151+0.00696689j 0.0161389+0.00860948j -0.00219664+0.0100736j 0.0215272+0.00551311j 0.00198282-0.00762665j -0.00177615+0.0070713j -0.0120972+0.00337622j 0.010196-0.0136226j -0.0247718+0.00541853j -0.00719037-0.00257835j -0.0245929+0.00918613j 0.010757-0.00863187j 0.0148733-0.0303817j 0.0300893+0.00717448j 0.0214081+0.00915702j -0.0128142-0.00276193j 0.0301684-0.014503j 0.00737231-0.0113266j 0.00316598+0.00479809j -0.0179696+0.00467542j 0.0142076-0.00816111j 0.00640789+0.00336661j 0.0156391-0.00949025j -0.00976347+0.0165322j 0.00455265-0.0114669j -0.00778527+0.022428j 0.00707997+0.0135655j -0.0157688-0.00604084j 0.00508263-0.00432718j 0.00699027-0.0061954j -0.00409176+0.0107033j 0.00845682-0.010052j 0.0080824-0.0182273j -0.00313943-0.00880715j -0.000159158-0.00894879j -0.0020428+0.00701374j -0.00890273+0.0025651j 0.0227269-0.00472149j -0.00229921+0.00876968j -0.000355871+0.0121752j -0.0011535-0.0146936j -0.00381052-0.00229702j 0.0362925+0.0203197j -0.00810562+0.0215547j 0.0016495+0.00682463j -0.0107503-0.00334676j 0.0123688+0.00287321j -0.0300909+0.0196688j 0.0057075-0.00303956j 0.00388591-0.0220357j -0.0034331+0.00478225j -0.0333009-0.0132442j 0.0018851-0.0141337j 0.0113625-0.000356158j -0.0120079+0.0118428j -0.00519371+0.00842077j -0.00109182-0.00696023j 0.0154776+0.0157839j -0.0127917+0.0181456j -0.0184845-0.000141703j -0.00206536+0.0198357j 
-0.00133765-0.0019869j -0.000559755-0.00244315j -0.00388141+0.00151133j -0.00363817-0.000970789j 0.00446168+0.00213272j 0.00330857-0.00445231j -0.00681356-0.00312626j -0.00986227-0.000814725j 0.015196-0.00233328j -0.00899588-0.00178114j 0.00100541-0.0018565j -0.0100217+0.00749366j 0.00554105+0.002122j 0.00575011+0.00464391j 0.0148013-0.00886063j 0.00245182-0.00287622j 0.00841347-0.00485322j -0.0115003+0.014178j 0.00431577-0.00376223j -0.00367475+0.0116553j -0.0111297+0.00769341j -0.0051751-0.000686477j 0.000675871-0.00456171j 0.00965661+0.00279241j -0.0190034-0.0047073j 0.00120041+0.00773116j 0.0108159+0.00866189j -0.00525786+0.000779064j -0.000850691+0.0111659j -0.0107999+0.00244567j 0.0149678+0.00124708j -0.00337287-0.00290044j -0.0110867-0.00250635j -0.0014585-0.00751994j 0.00455879-0.00549386j 0.000506657-0.00441613j 0.00596878+0.000681313j 0.0090912+0.0107011j -0.00174919-0.000984484j 0.028299+0.0158811j 0.00710202+0.021314j 0.0010517-0.0076992j -0.00637008+0.00460798j 0.012963+0.00975839j -0.0126412+0.00857087j -0.0174323+0.000294028j 0.0170989+0.00864745j 0.00789693+0.00557537j -0.00521381+0.0199847j 0.00256994-0.0371374j 0.00889948-0.015227j 0.0379596-0.00934954j 0.001255-0.0142858j -0.0120564-0.013381j -0.0130258+0.0159562j 0.00087535-0.0135191j 0.00494144+0.0177534j 0.0117283-0.0152101j -0.000523892-0.00515252j -0.0394801+0.00373058j 0.00542438-0.0232369j -0.0194608+0.0220183j 0.00329136-0.00932694j 0.00218201-0.00169271j -0.00347395+0.00392079j -0.000167331-0.00557331j -0.0185529+0.0121924j -0.00928876-0.00807052j 0.0146864+0.00289846j -0.0206511-0.00668325j 0.00407463-0.0131533j -0.00657975+0.0183987j -0.0176638+0.00705003j -0.0115555+0.0106245j -0.00187521-0.0310646j 0.0129904+0.0133862j -0.00454542+0.00454522j -0.00542979-0.0146182j 0.0196026+0.00913738j -0.00236179+0.0355593j -0.00329431+0.00405418j 0.010727+0.00632282j -0.0196126-0.0309386j -0.00699833-0.0117213j -0.0058542+0.0293546j 0.0282625-0.015281j -0.0133033+0.00595834j -0.00083291+0.0153598j 0.00580959+0.0223635j 0.00632127+0.00313763j -0.00278545-0.00424693j 0.0114423-0.00465382j 0.0132852+0.0167879j 0.0136157+0.00624331j -0.00914777-0.000804041j 0.0161647+0.00439442j -0.00515179-0.00903312j -0.00962812+0.00170144j 
0.00265653+0.00544055j -0.00861902+0.00503949j 0.00262811+0.00564742j -0.000432297+0.00273975j -0.000156481-0.000298268j 0.00352933+0.00919668j 0.00103175+0.00294713j -0.00493742-0.00338332j 0.0156904-0.00473351j 0.0075937-0.00129912j -0.00908422+0.0111625j -0.0128375+0.00664712j 0.0109529+0.000634239j -0.000996238+0.000795545j 0.00976546+0.00100674j 0.00431842-0.00183558j 0.0106586-0.00725708j -0.00766297+0.00229169j -7.21855e-06+0.00314618j -0.00326483+0.00773334j 0.00911246+0.000768854j 0.00704257-0.00419919j 0.00802448+0.00397632j -0.0160482-0.00748434j -0.00910752-0.00537551j -0.00260318-0.00343955j -0.00635328-0.00498324j 0.00787494-0.00210819j -0.0163065+0.00317696j -0.0192397+0.00290548j 0.00851833+0.00335165j 0.0174542-0.00376231j 0.00459947-0.000322852j -0.00876303+0.00346739j -0.00232219-0.0119623j 0.00824321-0.00146531j 0.0096227+0.00111572j -0.000924866+0.0241141j 0.00826271+0.00514258j -0.00680058-0.0191724j 0.0052795-0.00446274j -0.0109398+9.02013e-05j -0.00582952+0.00440397j 0.00951989-0.0176361j -0.0143637+0.0252045j 0.00772016-0.0152818j -0.0161449+0.00173774j 0.014052-0.0282771j -0.00114183-0.000667783j 0.031469+0.00225248j 0.0266553+0.00187102j -0.0103515-0.00550517j 0.0181168+0.0140384j 0.00016635+0.0100098j 0.0144558+0.0237829j 0.0226042-0.0114841j -0.00438418+0.00327903j 0.0204082+0.00475682j -0.0157475+0.0241369j 0.0140904-0.0428228j -0.0211071-0.00188699j 0.00946925+0.00927123j 0.0183431-0.0111032j 0.00636274-0.0232863j -0.00162313+0.00601542j 0.0293148-0.0185344j -0.0100952+0.00247294j -0.0047558+0.0133377j 0.0121569+0.0129436j -0.0195592+0.0155554j 0.00207661-0.0155994j 0.00552105-0.0145167j 0.00399737-0.0504002j -0.0107429+0.00709819j -0.0144598+0.0258393j 0.00246502-0.00977083j -0.019228-0.0373728j 0.0157063-0.00572784j -0.0146735+0.000466149j -0.000869948-0.025467j -0.00484675+0.0220215j -0.00637321-0.00238218j -0.00712736+0.000774786j -0.016995+0.0113872j -0.00794714-0.0323216j 0.00608695-0.0184258j -0.00298096-0.0102235j -0.00618793-0.00647334j -0.0171718-0.00356238j -0.0226753-0.0128656j -0.0112352-0.000241545j 0.00709714-0.00362838j 0.0220167-0.00420291j 0.0165946+0.00692122j -0.010254+0.0111075j 0.0038333-0.0101213j 0.00585435-0.000746793j -0.0102916-0.00825525j 
0.00361561+0.0067946j -0.00339899+0.00233506j -0.00114978+0.00306617j 0.00828692+0.00486433j -0.00211759+0.0041118j 0.00246232+0.00474432j 0.0145521-0.000544166j -0.0036019-0.00113874j -0.00329114+0.00615818j 0.00411428+0.00720521j -7.93184e-07+0.0105967j -0.0039227+0.00787064j 0.00456117-0.00351184j -0.0104471+0.00130113j 0.0197965+0.0037436j 0.00150099+0.00597657j 0.00689657-0.0104122j 0.00884523+0.00743321j -0.00217017+0.00438613j -0.00650374-0.000525534j -0.00849225-0.00784109j 0.00693972-0.00196674j -0.00180628+0.00774653j -0.016053-0.0065191j 0.00713323-0.00213509j 0.0179808+0.000479804j -6.69496e-05-0.00737124j 0.0183077-0.00382395j -0.00207943-0.00506786j -0.0182345-0.000230064j -0.0202525-0.00205915j 0.00232425-0.00950342j 0.0115888+0.00150804j -0.019842+0.0100567j 0.000818349+0.00923018j 0.0110906-0.00123306j -0.0110961+0.00447098j -0.00186883-0.010577j -0.0101389+0.0140932j 0.0015718-0.0261224j -0.00936122+0.0268261j 0.00330106-0.0193966j 0.00745006-0.00387245j 0.00268632+0.00289347j -0.0090204+0.00931582j -0.00588065-0.00112297j -0.0285269+0.0165066j 0.00558485-0.0237111j 0.00189327+0.0173878j 0.00849593-0.0223752j -0.0094515-0.00470237j 0.00590807-0.0155136j -0.00267422+0.0110138j -0.00161784-0.00223675j 2.65534e-05+0.00974j -0.01341+0.00296985j -0.0128379-0.00788069j 0.0122973+0.00253682j -0.018354+0.0142276j -0.0297341-0.0090707j -0.00890957-0.0224311j 0.00509721-0.000686169j 0.00894585-0.00759681j 0.0115084-0.0135937j -0.00161459+0.00413139j 0.0111391-0.0107519j -0.0205552-0.00763042j -0.00618279-0.00295393j -0.00603638+0.00341348j -0.00906128+0.00960923j 0.0136345-0.00279229j -0.00457887+0.0263936j -0.0194243+0.0116417j -0.0024567-0.00305703j -0.0136948+0.000181254j -0.0076189-0.00600907j -0.00854899-0.0187781j -0.00439957+0.00964605j 0.00865387-0.00485485j -0.0304581+0.00433094j -0.000706655+0.00354487j 0.00269816+0.0115944j 0.00330061-0.0166036j -0.0424761-0.0140823j 0.00377031+0.0245732j -0.000685784+0.00804575j -0.00959299+0.00471697j 0.00856628+0.00829522j 0.0272596-0.00828025j -0.00583894+0.00404161j 0.0019611+0.0151244j 0.00582837-0.0134222j 0.0184005+0.00778911j -0.00660296-0.0112731j -0.00567414-0.012948j 0.0080468-0.01823j 0.0175079-0.00445601j -0.00749691-0.0153576j 
