-0.033415-0j -0.0413489-0j -0.0241202-0j -0.00415071-0j -0.0048425-0j -0.00296541-0j -0.00423718-0j -0.00174775-0j -0.0026087-0j -0.000376533-0j -0.00294684-0j -0.000425339-0j -0.00240608-0j -0.000347288-0j -0.00243102-0j -0.00210532-0j -0.000350887-0j -0.000303877-0j -0.0017368-0j -0.000250686-0j -0.000554917-0j -8.00953e-05-0j -0.00193223-0j -0.000341573-0j -2.84644e-05-0j -0.00213859-0j -0.000378052-0j -0.0016907-0j -3.15043e-05-0j -0.00112713-0j -0.00170822-0j -0.000298876-0j -0.000199251-0j -0.00197248-0j -2.49064e-05-0j -0.000301974-0j -0.000697378-0j -1.66042e-05-0j -0.00115062-0j -2.51645e-05-0j -0.00122041-0j -0.000348689-0j -0.00012328-0j -2.90574e-05-0j -0.000203402-0j -0.000711907-0j -1.02734e-05-0j -0.00021574-0j -1.69502e-05-0j -0.000185718-0j -0.000125849-0j -1.79784e-05-0j -3.28307e-05-0j -1.04874e-05-0j -2.73589e-06-0j 
0.0310611-0j 0.000547093-0j -0.0438847-0j 0.00385832-0j 6.40717e-05-0j 0.00275651-0j -0.00382657-0j -0.00478139-0j 0.00242493-0j 0.000350008-0j 3.899e-05-0j 5.62772e-06-0j 0.00223659-0j 0.000322823-0j -0.00219543-0j 2.78558e-05-0j -0.000316884-0j 4.02064e-06-0j -0.00315997-0j -0.000456102-0j -0.00202659-0j -0.000292513-0j 0.00179611-0j 0.000317511-0j 2.64593e-05-0j 2.82959e-05-0j 5.00206e-06-0j 0.0015716-0j 4.16838e-07-0j 0.00104773-0j -0.00154268-0j 0.000277822-0j 0.000185215-0j 2.60982e-05-0j 2.31519e-05-0j -0.00027271-0j 0.000648252-0j 1.54346e-05-0j -0.00209345-0j -2.27259e-05-0j -0.00110215-0j 4.61355e-06-0j 0.000114596-0j 3.84463e-07-0j -0.000370073-0j -0.00194759-0j 9.54965e-06-0j -0.000194834-0j -3.08394e-05-0j -0.000848435-0j -0.000344289-0j -1.62361e-05-0j -0.000149983-0j -2.86908e-05-0j -1.24986e-05-0j 
-0.0048425-0j -8.52931e-05-0j 0.00684173-0j 0.0284535-0j 0.000472502-0j 0.0203281-0j -0.0282194-0j -0.0352607-0j -0.000378052-0j 0.00521689-0j -6.07863e-06-0j 8.38815e-05-0j -0.000348689-0j 0.0048117-0j 0.000342273-0j -4.34278e-06-0j -0.00472317-0j 5.99278e-05-0j 0.000492647-0j -0.00679823-0j 0.000315951-0j -0.00435993-0j -0.000280018-0j 0.00234151-0j 0.000593628-0j -4.4114e-06-0j 3.68881e-05-0j -0.000245016-0j 9.35199e-06-0j -0.000163344-0j 0.000240508-0j 0.00204882-0j 0.00136588-0j -4.06877e-06-0j 0.000519424-0j -0.00201112-0j -0.000101064-0j 0.000346283-0j 0.000326374-0j -0.000509867-0j 0.000171827-0j 3.4023e-05-0j 0.000845096-0j 8.62563e-06-0j -0.00272913-0j 0.000303635-0j 0.000214252-0j -0.00143682-0j -0.000691899-0j 0.000132273-0j -0.00253899-0j -0.000364267-0j -0.00110606-0j -0.000643693-0j -0.000280413-0j 
-0.00375098-0j -6.60678e-05-0j 0.00529958-0j -0.000465936-0j -7.73739e-06-0j -0.000332881-0j 0.000462102-0j 0.000577408-0j 0.0281751-0j -4.22675e-05-0j 0.000453022-0j -6.79612e-07-0j 0.0259868-0j -3.89846e-05-0j -0.0255086-0j 0.000323655-0j 3.82673e-05-0j -4.85538e-07-0j -0.0367155-0j 5.50796e-05-0j -0.0235469-0j 3.53243e-05-0j -0.000216901-0j 0.00368914-0j -3.19526e-06-0j -3.41706e-06-0j 5.81186e-05-0j -0.000189789-0j -5.0338e-08-0j -0.000126526-0j 0.000186297-0j 0.003228-0j 0.002152-0j -3.15166e-06-0j -2.79585e-06-0j -0.00316861-0j -7.82839e-05-0j -1.8639e-06-0j 0.000252808-0j 2.74441e-06-0j 0.000133097-0j 5.36046e-05-0j 0.00133148-0j -4.64283e-08-0j -0.00429986-0j 0.000235194-0j -1.15323e-06-0j -0.00226376-0j 3.72422e-06-0j 0.000102458-0j -0.00400028-0j 1.9607e-06-0j -0.00174265-0j 3.46474e-06-0j 1.50935e-06-0j 
0.000541407-0j 9.53606e-06-0j -0.000764929-0j -0.00642964-0j -0.000106771-0j -0.00459355-0j 0.00637674-0j 0.00796788-0j 4.22675e-05-0j 0.0272953-0j 6.79612e-07-0j 0.000438876-0j 3.89846e-05-0j 0.0251753-0j -3.82673e-05-0j 4.85538e-07-0j -0.0247121-0j 0.000313548-0j -5.50796e-05-0j -0.035569-0j -3.53243e-05-0j -0.0228116-0j 3.1307e-05-0j -0.000529112-0j 0.006323-0j 4.9321e-07-0j -8.33561e-06-0j 2.73936e-05-0j 9.96122e-05-0j 1.82624e-05-0j -2.68896e-05-0j -0.000462973-0j -0.000308649-0j 4.54902e-07-0j 0.00553262-0j 0.000454455-0j 1.12993e-05-0j 0.00368841-0j -3.64897e-05-0j -0.00543082-0j -1.92109e-05-0j -7.68819e-06-0j -0.000190967-0j 9.18755e-05-0j 0.000616704-0j -3.39474e-05-0j 0.00228209-0j 0.000324678-0j -0.00736973-0j -1.47886e-05-0j 0.000573736-0j -0.00387997-0j 0.000249938-0j -0.00685626-0j -0.00298681-0j 
-0.00342416-0j -6.03113e-05-0j 0.00483784-0j -0.000425339-0j -7.06324e-06-0j -0.000303877-0j 0.00042184-0j 0.000527099-0j -0.000267323-0j -3.85848e-05-0j -4.29824e-06-0j -6.20398e-07-0j -0.000246561-0j -3.55879e-05-0j 0.000242024-0j -3.07081e-06-0j 3.49331e-05-0j -4.43234e-07-0j 0.000348354-0j 5.02805e-05-0j 0.000223411-0j 3.22466e-05-0j 0.028857-0j -3.50023e-05-0j -2.91686e-06-0j 0.000454612-0j -5.51425e-07-0j 0.0252498-0j -4.59521e-08-0j 0.0168332-0j -0.0247853-0j -3.0627e-05-0j -2.0418e-05-0j 0.000419302-0j -2.55225e-06-0j 3.00635e-05-0j 0.010415-0j -1.7015e-06-0j -0.0336341-0j 2.50529e-06-0j -0.0177074-0j -5.08596e-07-0j -1.2633e-05-0j -4.2383e-08-0j 4.07967e-05-0j -0.0312907-0j -1.05275e-06-0j 2.14784e-05-0j 3.39973e-06-0j -0.0136312-0j 3.79543e-05-0j 1.78987e-06-0j 1.65341e-05-0j 3.16286e-06-0j 1.37784e-06-0j 
0.000605312-0j 1.06616e-05-0j -0.000855217-0j -0.00355668-0j -5.90627e-05-0j -0.00254102-0j 0.00352742-0j 0.00440759-0j -0.00454674-0j -0.000652112-0j -7.31062e-05-0j -1.04852e-05-0j -0.0041936-0j -0.000601463-0j 0.00411644-0j -5.22296e-05-0j 0.000590396-0j -7.49098e-06-0j 0.00592494-0j 0.000849779-0j 0.00379986-0j 0.000544991-0j 3.50023e-05-0j 0.0281608-0j -7.42035e-05-0j 5.51425e-07-0j 0.000443644-0j 3.0627e-05-0j -1.169e-06-0j 2.0418e-05-0j -3.00635e-05-0j 0.0246407-0j 0.0164271-0j 5.08596e-07-0j -6.4928e-05-0j -0.0241873-0j 1.2633e-05-0j -4.32854e-05-0j -4.07967e-05-0j 6.37334e-05-0j -2.14784e-05-0j 0.000409186-0j 0.0101638-0j -1.0782e-06-0j -0.0328226-0j -3.79543e-05-0j -2.67815e-05-0j -0.0172802-0j 8.64874e-05-0j -1.65341e-05-0j -0.0305358-0j 4.55333e-05-0j -0.0133024-0j 8.04616e-05-0j 3.50517e-05-0j 
0.000403541-0j 7.10776e-06-0j -0.000570144-0j -0.00237112-0j -3.93752e-05-0j -0.00169401-0j 0.00235161-0j 0.00293839-0j 3.15043e-05-0j -0.000434741-0j 5.06553e-07-0j -6.99013e-06-0j 2.90574e-05-0j -0.000400975-0j -2.85228e-05-0j 3.61899e-07-0j 0.000393597-0j -4.99399e-06-0j -4.10539e-05-0j 0.000566519-0j -2.63292e-05-0j 0.000363327-0j -0.00682499-0j -0.000195126-0j -4.9469e-05-0j -0.000107521-0j -3.07401e-06-0j -0.00597186-0j -7.79333e-07-0j -0.00398124-0j 0.00586198-0j -0.000170735-0j -0.000113823-0j -9.91696e-05-0j -4.32854e-05-0j 0.000167594-0j -0.00246327-0j -2.88569e-05-0j 0.00795482-0j 4.24889e-05-0j 0.004188-0j -2.83525e-06-0j -7.04247e-05-0j -7.18803e-07-0j 0.000227428-0j 0.00740059-0j -1.78543e-05-0j 0.000119735-0j 5.76583e-05-0j 0.00322393-0j 0.000211582-0j 3.03556e-05-0j 9.21721e-05-0j 5.36411e-05-0j 2.33678e-05-0j 
-5.04427e-05-0j -8.8847e-07-0j 7.12681e-05-0j 0.000901702-0j 1.49738e-05-0j 0.000644207-0j -0.000894283-0j -0.00111743-0j -3.93804e-06-0j -0.00779287-0j -6.33191e-08-0j -0.0001253-0j -3.63218e-06-0j -0.0071876-0j 3.56535e-06-0j -4.52373e-08-0j 0.00705535-0j -8.95187e-05-0j 5.13173e-06-0j 0.010155-0j 3.29115e-06-0j 0.00651275-0j -2.91686e-06-0j 7.42035e-05-0j 0.027269-0j -4.59521e-08-0j 1.169e-06-0j -2.55225e-06-0j 0.000429596-0j -1.7015e-06-0j 2.50529e-06-0j 6.4928e-05-0j 4.32854e-05-0j -4.2383e-08-0j 0.0238604-0j -6.37334e-05-0j -1.05275e-06-0j 0.0159069-0j 3.39973e-06-0j -0.0234214-0j 1.78987e-06-0j 1.0782e-06-0j 2.67815e-05-0j 0.000396229-0j -8.64874e-05-0j 3.16286e-06-0j 0.00984192-0j -4.55333e-05-0j -0.0317833-0j 1.37784e-06-0j -8.04616e-05-0j -0.0167331-0j -3.50517e-05-0j -0.0295689-0j -0.0128811-0j 
0.000349477-0j 6.1555e-06-0j -0.00049376-0j 4.3411e-05-0j 7.20889e-07-0j 3.10143e-05-0j -4.30538e-05-0j -5.37968e-05-0j -0.0052774-0j 3.93804e-06-0j -8.48544e-05-0j 6.33191e-08-0j -0.00486751-0j 3.63218e-06-0j 0.00477795-0j -6.06229e-05-0j -3.56535e-06-0j 4.52373e-08-0j 0.00687708-0j -5.13173e-06-0j 0.0044105-0j -3.29115e-06-0j -0.0029452-0j -0.000691004-0j 2.97701e-07-0j -4.63986e-05-0j -1.0886e-05-0j -0.00257705-0j 4.68997e-09-0j -0.00171803-0j 0.00252963-0j -0.000604628-0j -0.000403085-0j -4.27949e-05-0j 2.60488e-07-0j 0.000593503-0j -0.00106298-0j 1.73659e-07-0j 0.00343276-0j -2.55695e-07-0j 0.00180726-0j -1.00405e-05-0j -0.000249396-0j 4.3257e-09-0j 0.000805395-0j 0.00319359-0j 1.07446e-07-0j 0.000424019-0j -3.46983e-07-0j 0.00139123-0j 0.000749281-0j -1.82677e-07-0j 0.000326411-0j -3.22808e-07-0j -1.40626e-07-0j 
-7.13367e-05-0j -1.25649e-06-0j 0.000100788-0j 0.000847179-0j 1.40684e-05-0j 0.000605254-0j -0.000840209-0j -0.00104986-0j 0.000535838-0j -0.00359647-0j 8.61565e-06-0j -5.7827e-05-0j 0.00049422-0j -0.00331714-0j -0.000485127-0j 6.15531e-06-0j 0.0032561-0j -4.13136e-05-0j -0.00069826-0j 0.00468663-0j -0.000447818-0j 0.00300569-0j 0.000601187-0j -0.00670772-0j -0.000833128-0j 9.47107e-06-0j -0.000105673-0j 0.000526039-0j -1.31251e-05-0j 0.000350692-0j -0.00051636-0j -0.00586925-0j -0.00391283-0j 8.73547e-06-0j -0.000728987-0j 0.00576126-0j 0.00021698-0j -0.000485991-0j -0.00070071-0j 0.000715574-0j -0.000368905-0j -9.74656e-05-0j -0.00242094-0j -1.21057e-05-0j 0.00781814-0j -0.000651889-0j -0.000300692-0j 0.00411604-0j 0.000971047-0j -0.000283984-0j 0.00727343-0j 0.000511231-0j 0.00316854-0j 0.000903392-0j 0.000393546-0j 
-3.56683e-05-0j -6.28243e-07-0j 5.03941e-05-0j 0.000209579-0j 3.4803e-06-0j 0.000149731-0j -0.000207855-0j -0.00025972-0j 0.000809327-0j 3.84261e-05-0j 1.3013e-05-0j 6.17846e-07-0j 0.000746467-0j 3.54415e-05-0j -0.000732732-0j 9.29695e-06-0j -3.47894e-05-0j 4.4141e-07-0j -0.00105465-0j -5.00737e-05-0j -0.000676381-0j -3.21139e-05-0j -2.06253e-06-0j -0.00501266-0j 4.37248e-06-0j -3.2493e-08-0j -7.89693e-05-0j -1.80471e-06-0j 6.88839e-08-0j -1.20314e-06-0j 1.77151e-06-0j -0.00438608-0j -0.00292405-0j -2.99693e-08-0j 3.82592e-06-0j 0.00430538-0j -7.44407e-07-0j 2.55061e-06-0j 2.40397e-06-0j -3.75553e-06-0j 1.26563e-06-0j -7.28358e-05-0j -0.00180916-0j 6.35338e-08-0j 0.00584248-0j 2.23648e-06-0j 1.57811e-06-0j 0.00307591-0j -5.09632e-06-0j 9.74282e-07-0j 0.00543542-0j -2.68308e-06-0j 0.00236784-0j -4.74125e-06-0j -2.06544e-06-0j 
4.20355e-06-0j 7.40392e-08-0j -5.939e-06-0j -0.000100363-0j -1.66664e-06-0j -7.17029e-05-0j 9.95374e-05-0j 0.000124374-0j 3.2817e-07-0j 0.00130792-0j 5.27659e-09-0j 2.10297e-05-0j 3.02682e-07-0j 0.00120633-0j -2.97112e-07-0j 3.76978e-09-0j -0.00118414-0j 1.50244e-05-0j -4.27645e-07-0j -0.00170437-0j -2.74263e-07-0j -0.00109307-0j -3.54253e-05-0j -8.25915e-06-0j -0.0093863-0j -5.58088e-07-0j -1.30114e-07-0j -3.09971e-05-0j -0.000147871-0j -2.06647e-05-0j 3.04268e-05-0j -7.22676e-06-0j -4.81784e-06-0j -5.14742e-07-0j -0.00821301-0j 7.09379e-06-0j -1.27857e-05-0j -0.00547534-0j 4.12897e-05-0j 0.0080619-0j 2.17379e-05-0j -1.20009e-07-0j -2.98089e-06-0j -0.000136386-0j 9.62641e-06-0j 3.8413e-05-0j -0.0033877-0j 5.06805e-06-0j 0.0109401-0j 1.67339e-05-0j 8.95571e-06-0j 0.0057597-0j 3.9014e-06-0j 0.0101779-0j 0.00443383-0j 
5.14828e-06-0j 9.06791e-08-0j -7.27377e-06-0j -9.20296e-05-0j -1.52826e-06-0j -6.57491e-05-0j 9.12724e-05-0j 0.000114047-0j -7.77435e-05-0j 0.000795356-0j -1.25002e-06-0j 1.27884e-05-0j -7.17052e-05-0j 0.000733582-0j 7.03859e-05-0j -8.9306e-07-0j -0.000720084-0j 9.13647e-06-0j 0.000101309-0j -0.00103644-0j 6.49728e-05-0j -0.000664705-0j 2.97701e-07-0j 0.0014649-0j -0.00278314-0j 4.68997e-09-0j 2.3078e-05-0j 2.60488e-07-0j -4.38454e-05-0j 1.73659e-07-0j -2.55695e-07-0j 0.00128179-0j 0.000854525-0j 4.3257e-09-0j -0.00243524-0j -0.0012582-0j 1.07446e-07-0j -0.0016235-0j -3.46983e-07-0j 0.00239044-0j -1.82677e-07-0j 2.12855e-05-0j 0.00052871-0j -4.044e-05-0j -0.00170741-0j -3.22808e-07-0j -0.00100449-0j -0.000898904-0j 0.00324387-0j -1.40626e-07-0j -0.00158845-0j 0.00170781-0j -0.000691978-0j 0.00301786-0j 0.00131468-0j 
