-0.072934+0.323507j -0.333462-0.0712614j -0.0961255+0.127478j 0.164704+0.0939536j -0.0682564-0.0554046j -0.00178686-0.0149445j 0.102272-0.104277j -0.0459436-0.0313868j -0.000895409-0.0653882j 0.14005+0.042722j 0.0489322+0.0751819j 0.0165691-0.0425941j -0.110495-0.0668587j 0.00942081+0.074075j -0.025806+0.0626606j -0.0627111+0.0751049j -0.00666727-0.0441382j -0.0430432-0.0495326j -0.0281921-0.199271j -0.0275209+0.0228347j -0.0424396-0.123179j 0.0779385-0.0724286j 0.194649-0.162326j -0.148659-0.105585j 0.367369-0.0554186j -0.0567968-0.36021j 
0.000502001+0.009335j -0.00816921+0.00153843j 0.000840244+0.00974442j 0.00843585-0.00372846j -0.0125664-0.000219476j -0.00465859+0.00341121j -0.00279436-0.0158959j -0.0095475-0.00207556j 0.00265493-0.0103009j 0.00388195-0.000290694j -0.00697232+0.00251964j -0.00719844-0.0104213j -0.0174285-0.0181562j 0.00152701-0.00258442j -0.0124399+0.00100051j -0.019931+0.00243227j 0.0197795-0.0013035j 0.00371118-0.0114671j 0.00521139+0.00438695j 0.0220975-0.0153234j -0.00238595-0.0134393j -0.00461941-0.0059492j 0.00366912+0.00429479j -0.00947538+0.000577939j 0.0201488-0.00129977j -5.74905e-05-0.0229244j 
-0.0121423-0.0176232j 0.016199-0.00712316j 0.0116681-0.00320979j 0.0130331-0.00947269j 0.0156803+0.00185337j 0.00844552+0.00516421j -0.0105085-0.00190776j -0.00220325-0.00586758j -0.00442392-0.00149867j 0.00848874-0.00847028j -0.00450644+0.00215463j 0.00501653+0.00262572j -0.000447533-0.00220268j -0.00639305+0.00124822j -0.0020487-0.00201011j 0.00149901-0.00919215j 3.32546e-05+0.00363129j 0.00257887+0.00561463j -0.00429213-0.00445288j 0.00584539-0.00315765j 0.000851461-0.00391239j -0.00246721+0.000487309j -0.00779762+0.0055533j 0.00575364+0.0074162j -0.00810785-0.00534811j -0.00136922+0.00733797j 
-0.00661478+0.0103273j -0.0119247-0.00443336j 0.00512319+0.00279914j 0.00115679+0.00921414j 0.00724695+0.00230311j -0.0140838-0.00490016j -0.000664333+0.00201241j 0.0106762-0.012467j 0.00803057+0.0118536j 0.00456868-0.00125412j 0.00470805-0.00301175j 0.0133838-0.0028034j -0.00312477-0.00463951j 0.000888016-0.0051953j -0.00540666+0.00700715j -0.000599663+0.00463611j 0.00853235-0.0141038j 0.011094+0.00448289j -0.00192683+0.00978761j 0.00460372-0.00378291j -0.0107381-0.0153627j 0.0145473-0.00609963j 0.00233338-0.00887562j -0.00889048-0.00628998j 0.00603493-0.00435818j -0.00432483-0.0058938j 
0.00505087-0.00675248j 0.00889766+0.00636237j 0.0123956-0.00680211j 0.000379224-0.00760122j -0.0111558-0.000470619j 0.0084589+0.00728143j 0.00228881-0.0134793j 0.0202422-0.00259382j 0.00307844+0.0122334j -0.0071054-0.00888954j 0.0103537+0.0119062j -0.00692199-0.0014912j -0.00568986+0.00295388j -0.0061786+0.00826174j 0.0055803-0.008514j -0.000417293-0.0137135j 0.00681873+0.00881531j -0.0118287-0.0109346j 0.0159767-0.00656157j 0.0029513-0.00534845j 0.0163861+0.0177412j -0.00799533+0.0100283j -0.00661143+0.0121086j 0.000968338-0.00314963j -0.0136351+0.000923493j 0.00160989+0.0132023j 
-0.00202316+0.00539217j -0.00437206-0.00294644j -0.00739393-0.00330313j -0.00214257+0.00170493j 0.00419387+0.00731224j 0.00353762+0.00897374j -0.0115288-0.00159948j -0.0119795+0.00278432j -0.00791369-0.0146474j 0.00868009+0.00834377j -0.0194805+0.00462257j -0.00401514-0.00192058j -0.00452026-0.0108199j -0.00514439+0.00832153j -0.0132313+0.00354479j -0.0107522+0.00128852j 0.0103378-0.00915741j 0.00785275-0.00288363j 0.00590817+0.0117392j 0.00570178-0.00630096j -0.0044123-0.0101699j 0.000388931-0.00038569j -0.000301836+0.000333335j -0.0139524+0.00542216j -0.00466681-0.00601204j -0.00527104+0.00230134j 
0.00273566-0.00592592j 0.00778309+0.00427852j -8.75033e-05+0.0134866j 0.00769535-0.00477494j 0.00010452-0.00365178j -0.00171359+0.00599102j -0.00378576-0.00551574j 0.00367848-0.000219873j 0.000255867+0.00347148j 0.00181408-0.00899516j 0.000495259-0.000164907j -0.00190167-0.00417265j -0.00697771+0.0027063j -0.00164855+0.0161263j -0.000867265-0.010807j -0.00279118-0.0037133j 0.00564433+0.000495841j -0.0089442+0.00105146j -0.000735958-0.00217378j -0.00905645+0.000994653j -0.0023129+0.00636322j 0.00766893+0.0100494j 0.00346446-0.00179247j -0.00100262-0.0180294j -0.0071489+0.00456998j 0.0042175+0.00470356j 
-0.000884468+0.00513447j -0.00947349+0.00181395j 0.0133189+0.0162967j 0.00215426+0.00664921j 0.0118917-0.00606941j -0.00366259-0.00431433j -0.0130611+0.00682128j -0.0158709+0.00747844j 0.00146564-0.00120175j 0.0136377-0.000613517j -0.00750904-0.0131572j 0.0152301+0.00392314j -0.000354679+0.00248219j 0.00490217+0.00515861j -0.00728134-0.00934165j 0.000151254+0.00508699j 0.00196041+0.0107389j -0.0096939-0.00932455j 0.00924654-0.0102779j 0.000738305+0.00081415j 0.0101174+0.0138622j -0.00565951+0.00724063j 0.00136466+0.000929035j 0.000378531-0.00332309j 0.00249573+0.000324537j 0.000335506-0.00167461j 
0.00107443-0.00348809j 0.00356809+0.00107964j 0.00664057-0.012355j -0.00740963+0.00872816j -0.0093138+0.00337415j -0.0074932-0.00173695j 0.00580497-0.00637773j 0.0163599-0.0162332j 0.0152964+0.0129034j -0.0119795+0.00267786j 0.0160082-0.000299663j 0.0028196-0.00233586j -0.00395319+0.00285429j -0.0022116-0.011462j 0.00736926+0.00808911j 0.00137979-0.00686354j 0.0141565-0.0113263j 0.00323183-0.0111282j 0.0185028+0.00914498j 0.00795838-0.0164653j 0.00504856-0.00350346j -0.00215927-0.00132886j -0.009369+0.00439897j -0.00631455+0.00939113j -0.0112373-0.00514731j -0.00543961+0.0125159j 
0.00401272+0.00780672j -0.00656266+0.00386657j 0.00142335-0.00673126j 0.00400693-0.00828615j -0.0124886+0.000772073j 0.0199302-0.000894978j -0.00290618-0.0129274j -0.00228494+0.00648143j -0.00694605-0.00878266j 0.00233183+0.000410257j -0.000439563+0.0114521j -0.00593436+0.00470694j -0.00171828-0.000721733j -0.00426127+0.00722614j -0.00329387-0.00445644j -0.00665774-0.00353122j -8.31384e-05+0.0107471j -0.00965401-0.00342755j -0.00210898-0.0165748j 0.00304132+0.00439328j 0.0148902+0.00310067j -0.00768802+0.00381593j 0.00523483+0.00576237j -0.00180535+0.00100705j 0.0122869+0.00205761j 0.00361475-0.0124955j 
-0.00605246-0.00071466j 0.000399818-0.000500668j 0.0164434-0.00931995j 0.00801228-0.00530661j 0.00879281+0.00206754j 0.00662394+0.000577982j -0.0135706-0.00393348j 0.00353926-0.00661996j -0.000338538+0.00591325j 0.00843734-0.00740522j 0.000617773+0.00500367j 0.0111504-0.000172826j -0.00129514+0.00176452j -0.0127264+0.00154428j -0.00548363+0.000601084j -0.000265173-0.00359683j -0.00246001-0.000911767j 0.0028964+0.000678607j -0.00231604-0.00749832j 0.00223502-0.00136539j 0.000728168+0.000762542j 0.00161954-0.00199631j 0.00203741+0.000698711j -0.00366881-0.00605644j -0.000667279-0.000938535j 0.00202324+0.000351264j 
-0.00777712-0.0253038j 0.0275394-0.00790326j -0.0142007-0.0220389j -0.00383051-0.0137149j 0.0101634+0.00573173j 0.0144711+0.00455745j 0.00140324-7.02116e-06j 0.00536905-0.00547346j -0.0130854+0.00276101j -0.00739659-0.000851479j 0.00435325+0.0114342j -0.00921881+0.00304637j 0.0107513+0.00236692j -0.0143327-0.00287656j 0.0107572+0.00383266j 0.00898812-0.0146523j -0.014313+0.0053521j 0.0148249+0.0109581j -0.013491+0.0151634j -0.00110114+0.00502503j -0.0113474-0.00105676j -0.00776043-0.00324571j -0.0170883+0.00271782j 0.0119746+0.0155758j -0.0150636-0.00361675j -0.000282682+0.0139922j 
-0.00933706-0.00259017j -0.000176208-0.00439975j 0.0166336-0.024895j -0.00315433-0.00020279j 0.0159886+0.00219372j 0.0102916-0.00817845j -0.0127968+0.00654246j -0.00239086-0.00425137j 0.000254187+0.00773598j 0.00926239-0.000642144j 0.0029403-0.00190953j 0.0167974+0.00722199j 0.0137419+0.00233977j -0.0126153-0.00919318j 0.00178737+0.0091013j 0.00838024-0.00737415j -0.0100992+0.0076998j 0.00994051-0.00177851j 0.00201187-0.00743021j 0.00839824+4.90407e-05j 0.0105495+0.00456665j -0.00978118-0.00461608j -0.00547891+0.011138j 0.00947669+0.0125356j -0.0123434-0.0102877j -0.00658958+0.0144777j 
-0.010542-0.0281921j 0.0292669-0.0101731j -0.0043798+0.0153357j 0.00818857-0.0103711j 0.0106227-0.00461683j -0.000688114+0.0109657j 0.00328952+0.00221172j -0.000593154-0.00652535j -0.00414801+0.00325948j -0.00696263-0.00611179j 0.00237784+0.00195384j -0.0107713-0.00293343j -0.00364385+0.00261631j 0.00230872+0.0033889j 0.00118509-0.0038378j 0.00261065-0.00691477j -0.00235269+0.00171518j 0.00425681+0.00930426j -0.00471117+0.0114504j -0.00327942-6.65017e-05j -0.011243+0.00452533j 0.00340775+0.000234596j -0.0113057-0.00294101j 0.00255731-0.0010039j -0.014383-0.00164862j -0.00169379+0.0123125j 
