0.075741+0.0826618j -0.0216409+0.0233663j 0.231936+0.0389636j 0.11966+0.199283j -0.14093-0.250831j -0.0352731+0.182742j -0.109121+0.357853j 0.0188194+0.0160251j -0.113473+0.192871j 0.06573-0.0565529j 0.121704-0.00731528j 0.029901-0.0372402j -0.08844+0.122621j 0.0141956-0.233737j -0.209757+0.118638j 0.0305947-0.0259484j 0.0239975+0.0821762j 0.0238277+0.102166j 0.00705107-0.0817898j 0.0290554+0.020819j -0.103028+0.0363275j 0.0425205+0.00657752j -0.0289337+0.0106428j -0.0138229+0.000229428j -0.0422076+0.00518982j -0.095206-0.0249854j 0.0078833+0.060383j -0.0199937+0.0637885j -0.004297+0.0370742j -0.0237691-0.073105j 0.0313817+0.02664j 0.012185-0.00939645j -0.00258398-0.0463158j -0.00633482-0.0207117j -0.0414689-0.0336894j 0.0735849-0.0262791j -0.0508844-0.0398989j 0.00531421-0.00120925j 0.00251333+0.00245238j 0.00816427+0.0201653j -0.00498982-0.0193419j -0.0114435+0.0211424j 0.0244123+0.0137302j -0.0106193-0.0200044j -0.00254943-0.0211445j -0.0185254-0.0289865j -0.012845-0.0193598j -0.0180252+0.0267423j 0.0415996-0.0446228j -0.00820806-0.00699156j -0.00241885-0.00165581j 0.000799551+0.0164575j -0.0123178+0.0166707j -0.0109185+0.00611859j 0.00648125-0.0328138j 0.0167531+0.0199043j -0.0389219-0.0107589j 0.0220513+0.00491077j 0.0301921-0.000781429j 0.0344032-0.0127034j 0.0245776+0.016506j -0.00949892-0.0243311j -0.00601566+0.0300387j 0.0307826-0.0085002j -0.00926509+0.0200868j 0.0181343+0.00274329j -0.0190256-0.0324217j -0.0183788+0.00467303j 0.0179654+0.0111359j -0.0221557+0.00883083j -0.00294364-0.00620659j -0.0479688-0.0188432j 0.0111783-0.00956926j 0.0410792+0.00681932j -0.00893563-0.00206002j 0.00298785-0.0253328j -0.0156152-0.0225267j 0.0136094+0.0190249j -0.0068219-0.0241774j -0.00583377+0.0223924j -0.012502-0.0368081j 0.00490122-0.0293349j 0.00764347+0.0328472j -0.00759397-0.0196108j -0.0265214-0.00622059j 0.00428454-0.0188687j -0.0264415-0.00759151j -0.00158105+0.00743594j 0.0289515+0.0584453j 0.0315443+0.0343925j -0.0396888+0.0441382j -0.0351853-0.00478412j -0.0115627-0.0162944j 0.08469+0.0914334j 0.0343279-0.062667j -0.105887-0.049518j 0.00619368-0.0360626j 
-0.0120443-0.00261083j 0.00485257-0.0115124j -0.00411033-0.00229141j 0.0122572-0.0112429j -0.0053644+0.00186615j -0.00392434-0.0198089j 0.0110734-0.00663656j -0.00450328+0.00644263j 0.0027665-0.00706937j -0.00780685-0.00407304j 0.00435756+0.0107523j -0.0145195-0.00354391j -0.00517171-0.000796527j 0.00105492+0.00138816j -0.0100004-0.00254051j 0.0107859-0.00767352j -0.000407936+0.00904138j 0.0118364-0.00944315j -0.00199561-0.00892456j 0.000633213-0.00238968j 0.0102209-0.00584665j 0.00259801-0.0112073j -0.000533037+0.0034829j 0.00527595-0.000718884j 0.00687609+0.00274834j 0.00769065-0.00686703j 0.00395492-0.0108641j -0.00506097-0.00189377j 0.00723019+0.00144926j 0.000342488-0.0101934j 0.00262466-0.011359j 0.000168665+0.00308401j -0.00855049+0.000931206j -0.00202406-0.00324437j -0.00232417+0.00676154j -0.00387403-0.00227115j 7.56744e-05-0.000947673j 0.0162975-0.0101908j 0.0145525+0.0035971j -0.00751591+0.00479946j -0.00372916+0.00459325j 0.0112673+0.00884935j 0.00795239-0.00616063j -0.0150366+0.000928167j -0.00531313+0.00283092j 0.0159735-0.0162858j -0.00510267+0.0187301j -0.00222472+0.0280732j 0.00167714-0.00204666j 0.00435046-0.00615862j 0.00467082+0.00471616j -0.00331024+0.0140956j 0.00292275-0.00448875j -0.0151098+0.0226043j -0.0110937-0.0134014j -0.0223771-0.026265j 0.0241835-0.00364098j -0.00593754+0.0072677j 0.0202394+0.025051j 0.0174799+0.00798989j -0.0119477-0.00990747j 0.0197254+0.00217584j -0.0160086+0.00669156j -0.00379651-0.0117262j 0.0454699-0.00527536j 0.00963621+0.0113775j 0.0106485-0.00326519j -0.0182658+0.0184692j -0.0302039+0.00958205j 0.0160769-0.00862248j 0.0266281-0.0236896j 0.0019044-0.00891095j 0.0144123-0.0107629j 0.0321222-0.0173899j 0.0123204-0.00378221j 0.00124458+0.0208557j 0.00699573+0.0168201j -0.0124907+0.00507841j -0.00980499-0.00851337j 0.00496748-0.0103776j -0.00652246-0.00760998j 0.0145865-0.00451176j 0.00162104+0.00915067j 0.0154455-0.0177j 0.0322707-0.0171753j 0.00964458+0.000679675j -0.00117756-0.00618428j -0.008898+0.00665733j 0.00227325+0.00159112j -0.0134016+0.00606575j 0.000283251-0.00275514j 0.0021072+0.00347423j 0.00142686-0.0012447j 0.000996411-0.00871436j -0.0108651+0.0087897j 0.00244335-0.0081521j 0.00093631+0.00833846j 
-0.00332368-0.00118597j -0.00168176+0.000818788j 0.00646209-0.0031753j -0.00582534+0.00936096j -0.00706442-0.00517384j 0.0114989-0.00412076j 0.00395273+0.00281347j -0.00934531-0.0112187j 0.0109591-0.00776313j -0.0055249-0.00809413j -0.00696736+0.00796673j -0.00554879-0.00642596j 0.00721722+0.00556809j -0.00356191-0.000412267j 0.00352321+0.00345914j -0.00338916-0.00192329j 0.00661648-0.0117129j -0.00209066-0.00419134j 0.00848199+0.0051547j -0.00722325+0.00108218j 0.00136547+0.0135548j -0.00445207-0.00667676j 0.00958437+0.00466946j -0.00572677-0.0119604j 0.0183574-0.00413866j 0.00351998+0.0083278j -0.000220706-0.00701751j 0.00655076-0.00352583j -0.000527326-0.00299031j 0.00907596-0.00330837j -0.00134582+0.0173299j -0.00818233-0.00478695j -0.00202979+0.00212856j -0.00143897+0.00632519j 0.00763123-0.00486159j -0.00418682-0.00347369j -0.00540483+0.00469194j -0.00347881-0.000891265j 0.00220455+0.000466008j 0.00275675-0.00313252j -0.000271422-2.71051e-05j -0.000685789-0.000681636j -0.0141612-0.00658595j 0.00609189-0.000202237j 0.010464-0.00358913j 0.00239774+0.00604411j -0.0141951-0.000288683j -0.0150222-0.00236797j -0.0197795-0.0058446j -0.0254471-0.00622624j -0.0429751-0.0154697j 0.0327252+0.00255005j 0.0167867+0.0102225j 0.0123304+0.00214745j 0.00628805+0.0205534j -0.00930739+0.0157701j 0.00855576+0.00109873j -0.000473049+0.00377102j 0.00106243-0.0136655j 0.00308076-0.00838258j -0.0336814-0.000565373j 0.0357767-0.00556029j -0.0158117+0.0107295j -0.00614298+0.00711388j 0.0203175-0.0169167j 0.0112701-0.0128552j 0.0258518-0.000281146j 0.0189878+0.00662174j -0.0100375+0.0150806j 0.012887-0.00384409j 0.0200032-0.0150776j 0.0112381+0.0197355j -0.00782673-0.00970096j 0.00687097-0.00567942j -0.0100985-0.00887598j -0.000419297-0.0171161j -0.0101848+0.00680154j 0.00142842+0.00439661j 0.00955167-0.00159233j -0.00473849+0.00926802j 0.0162176+0.0106062j 0.00444711+0.0128846j 0.00627683-0.00930684j 0.00298839+0.0145497j -0.00705833+0.0168739j -0.00303732+0.00210943j 0.00219709+0.00233578j 0.00484945-0.00387932j 0.011143+0.0133807j 0.00676618+0.00603504j 0.00188792+0.00074226j -0.00134517+0.00195178j 0.00045881-0.000951731j -0.00670553-0.00203632j 0.00645757+0.00172426j 0.00236673-0.00947879j 0.000447564-0.00216087j 
-0.00365259+0.00736345j -0.00745264-0.00652205j -0.00646365-8.46568e-05j 0.000149379-0.0107736j -0.0117518+0.0010732j -0.00486627+0.00261608j 0.0020577-0.0183052j 0.000638775-0.00827687j 0.0172295-0.00423335j -0.00134552-0.0193333j 0.00698702-0.00551005j 0.0122848-0.00589709j 0.00734866+0.00750099j 0.00701243-0.00374389j -0.00623507-0.00636915j 0.00306104-0.00442449j 0.00132351+0.00103206j 0.00716927-0.0104781j -0.00302416+0.00346215j -0.00167209-0.00247507j -0.0104907-0.00174867j -0.00662597+0.00156526j 0.00198845-1.33887e-05j 0.00803143-0.00545314j 0.00902198+0.0087756j -0.00356212+0.00237686j -0.00205199-0.00767618j 0.0211891+0.000781428j 0.00321648+0.00221247j -0.000202658-0.0170062j -0.0048532+0.0106416j 0.00438143-0.0107523j -0.00554771+0.00404987j 0.000653816-0.00194664j -0.00114798-0.00210008j -0.00346813+3.85901e-05j 1.2436e-05-0.00165137j 0.0120578-0.00248312j 0.00232831+0.000206719j -7.21801e-05-0.00113581j -0.00258963+0.00394948j 0.00297109+0.00717933j 0.000111486+0.00495177j 0.0028517-0.00854419j -0.0102048+0.00396966j 0.00609212+0.00709148j 0.0111495+0.00491156j 0.0222331+0.00742699j 0.00971272+0.00700858j 0.0272646+0.000382228j 0.0305056+0.0170933j -0.0181855+0.00294786j -0.0162609+0.000474295j -0.0186995+0.00161045j -0.00812696-0.0246345j 0.00977047-0.0311299j -0.00416829+0.0117783j -0.0165862-0.0169624j 0.000113598+0.0064277j -0.00456679+0.0187967j 0.0221306-0.000153238j -0.0265724+0.00192018j 0.00539391+0.0100072j 0.0142346+0.00132955j -0.0493796+0.00893743j -0.00825061+0.0134654j 0.000642095+0.00739209j 0.0175148+0.00275754j 0.0431567-0.0112622j -0.0131406-0.000486207j 0.00385595+0.00191769j 0.0063253+0.0117226j -0.009483+0.00623016j -0.00988637+0.0351562j -0.0077407-0.00233777j 0.0102694-0.0181263j -0.0147456-0.0038995j 0.00161114-0.0213824j 0.00565947+0.00755003j -0.00986016+0.000300322j -0.0122265+0.00599823j -0.0166408-0.000251165j 0.007795+0.0128563j 0.000762443-0.00524252j -0.00481717-0.00385609j -0.00225767-0.00196724j -0.00332694-0.00127254j -0.00247855+0.00438745j -0.0124228-0.00601463j 0.00112936-0.00654671j 0.00200499-0.00629018j 0.00489682-0.000272834j -0.00140889-0.00523933j 0.00147854+0.00193011j -0.00435644+0.00550182j -4.25784e-05+0.00278777j -0.000361906+0.00528932j 
-0.00470427-0.0130589j 0.0178624-0.0067791j -0.0187256-0.00296241j -0.00590949-0.000995202j -0.0111312+0.000123652j 0.0216714+0.0217317j 0.00266794+0.00737798j 0.00943026-0.00215418j -0.0154526+0.0106538j 0.000519961-0.00172537j 0.0008415+0.00926432j 0.000408624+0.00691587j -0.00834076-0.0011478j -0.00194601-0.00393337j 0.00616503+0.00281182j -0.00891979+0.00922888j -0.00322255-0.00475673j -0.0125446+0.0112626j 0.00883026-0.00347943j 0.00413529+0.00313529j 0.00715642+0.00904047j 0.00604969-0.00762514j -0.00631013+0.0128457j 0.0051398-0.0149461j 0.0166442+0.00659541j 0.0108433+0.00100543j -0.00490474+0.0124052j 0.00731461+0.0123568j 0.00125124-0.00197199j 0.0064253-0.000163637j -0.000758691-0.00486733j -0.00117323-0.0104598j 0.00501292-0.00501591j -0.00220749+0.00427554j -0.00310665+0.00440703j 0.0041348-0.00340989j -0.00122544-0.00148062j 0.00321412-0.00692373j 0.00481707-0.00132231j -0.00226669-0.0012686j -0.00398353+0.00302362j -0.0022132+0.00654232j 0.00224624-0.00476034j -0.00724316+0.00206654j -0.016337-0.00352389j 0.00149936-0.00783586j 0.000856449+0.00829386j 0.00401721+0.0171566j 0.00281394+0.000335828j 0.00327785+0.00289206j 0.00932178+0.0064136j -0.0126239+0.00766233j -0.00444993-0.00689487j -0.0117187+0.0151476j -0.00735362-0.016951j -0.00535471-0.0141233j 7.36531e-05+0.0165617j 0.00392608-0.00402429j -0.00215585+0.0159421j 0.019384-0.00657702j 0.00465207+0.00159903j -0.00907586-0.00898808j -0.00872069-0.00554939j 0.00859761+0.00307531j -0.00053326-0.00202075j -0.00457836-0.00403479j -0.000747043-0.00892322j 0.00213241+0.00385987j -0.00886286-0.00377599j -0.0191709+0.00390569j 0.00486014-0.00204813j -0.0145984+0.0067995j 0.00360234-0.00816439j 0.00243079+0.00432149j 0.00749197+0.00522073j 0.0031431+0.020903j -0.0158554+0.0161291j -0.000987391+0.00250123j -0.000332782+0.000323828j 0.000668617-0.00265913j 0.00886633-0.00283228j 0.010227-0.00436445j -0.00837133+0.00540576j 0.00772403-0.00138151j 0.00917667-0.00855799j 0.00362048-0.00324199j -0.00342339-0.0023916j -0.00151377+0.00496268j -0.00482493-0.00905818j -0.00439158+0.00122764j -0.0118018-0.00209383j 0.000524179+0.00035812j -0.000597237-0.000286984j 0.0091055-0.00254303j -0.00966178+0.00469233j -0.00177377-0.00325727j -0.00153533+0.00533493j 
0.00370627-0.00289695j 0.00896541+0.0020872j 0.000525538+0.00676691j -0.00521541+0.021752j -0.000211932+0.0101528j -0.00773075+0.00227871j -0.0168272-0.0065802j -0.00593975-0.0114624j -0.00149972-0.0126897j -0.00619956+0.0124725j -0.00468018-0.00699645j -0.0011112+0.0110903j 0.00310605-0.00801348j -0.00304287-0.00948296j 0.00289199+0.00448325j -0.00214183-4.14524e-05j 0.012006+0.00388761j -0.00498568-0.00242999j 0.00374964-0.00287653j 0.0057552-0.00653617j 0.00553651-0.00463172j 0.0064028-0.00343989j 0.00102212+0.00810674j -0.0121539-0.0133491j 0.0133302-0.00202713j 0.00605604+0.000490947j 0.00540734-0.00647755j 0.00624039-0.0120815j 0.00767179-0.00712424j -0.00975732-0.00352203j -0.00428497+0.00193112j -0.0026997-0.00650132j -0.00354833-0.00113777j -0.00102382+0.00654187j 0.00491141+0.00289048j -0.00147771-0.00284109j -0.00457139+0.00240795j -0.00286256+0.00512794j 0.00343394-0.00212463j 0.00189067+0.0045806j 0.000928539-0.00144425j -0.000446819-0.00331288j -0.00229393-0.00240871j -0.00717379-0.00354426j -0.00506865-0.00921714j 0.00982904-0.00975459j -0.00899334+0.00466892j -0.000798681+0.007745j -0.0080121-0.00420122j -0.00972311-0.00239078j -0.0157992-0.00220402j 0.00270785+0.0102998j 0.00861465+0.00258821j 0.00774318-0.000472486j 0.00273941+0.00506482j -0.0166779+0.00504745j 0.0148577+0.00226475j 0.00581049+0.00409385j 0.0074233-0.000401689j 0.0082575+0.0160519j -0.0216344+0.000514312j 0.00695461-0.0183739j 0.00190595+0.0240662j -0.0143382-0.0030204j 0.0196013+0.00846608j -0.00107398+0.00842951j 0.0106508+0.0215818j -0.000198592+0.020707j -0.00345133+0.012817j -0.000289799+0.00866926j 0.00905552-0.012219j 0.0166739-0.0185975j -0.00205318+0.000809529j 0.00695517-0.00859067j 0.00782027+0.0137998j -0.00227084+0.00562071j -0.00487239+0.00822133j 0.0094126+0.00377425j -0.0061007-0.00854797j 0.00201837-0.00548296j -0.000940356+0.000263814j 0.00557708-0.00150089j 0.000729681+0.00386835j 3.28619e-05+0.00524407j 0.00837017-0.0023699j 0.00475695+0.000387698j -0.00114584-0.00134488j 0.000866271+0.00324131j 0.00338281+0.00474029j -0.00493472+0.00634621j -0.00568737+0.000583088j -0.00101013-0.00159965j 0.00225894-0.00224012j -0.00235986-0.00229062j 0.00294161+0.0043891j 0.000546062-0.0064473j 0.000247068-0.00162147j 
-0.000227666+0.000853098j -0.00953877-0.00606211j 0.00708771+0.00411238j 0.00260655+0.00427311j 0.0131003-0.00784721j 0.00364035-0.00493249j 0.00784018+0.00262552j 0.00213138+0.00121374j 0.00493333+0.012354j 0.0138001+0.00740609j -0.00582674+0.00100539j 0.00112383-0.00315524j -0.00293327-0.00297609j -0.00300301+0.000827949j 0.000567684-0.00211849j 0.0085614+0.00238096j -0.00176553+0.0158489j -0.00136602+0.00190162j 0.0136813+0.00655536j 0.00330732-0.00600414j -0.00259249+0.00189012j 0.00162561-0.00215236j -0.00268576-0.01143j 0.00762384-0.00889214j 0.00726747+0.00755833j -0.0159875+0.0166085j -0.00675875-0.00653105j -0.00126607-0.00402624j 0.00410035-0.00713117j -0.00929783-0.0075586j 0.0036548+0.00105489j 0.00250977+0.00703972j -0.00197768+0.00024387j -0.00306343+0.0074223j 0.00305504-0.00402042j -0.0149698-0.000374264j -0.00542081+0.00477358j -0.000228768+0.0137172j 0.00510443-0.00183212j -0.00547643+0.00388008j -0.00784802+0.00626748j 0.00416952+0.00109815j 0.00610677+0.0113708j -0.00488881-0.00487478j 0.00523577+2.47997e-05j 0.0156942-0.00660796j 0.000306851+0.00545173j 0.0105643+0.00558515j 0.00207126-0.0023499j -0.0044318-0.00578636j 0.0109106+0.00689135j 0.00406049+0.018348j 0.0217865-0.00220468j -0.00438185-0.0110422j 0.00346678+0.0106789j 0.0207193-0.00471189j 0.0192494+0.00340577j -0.0163103+0.0026886j 0.0363209+0.0186359j 0.0236396+0.0267757j -0.00857226+0.0155267j 0.00817643-0.0164378j 0.00146873+0.00658802j -0.0193725+0.00291923j -0.00194181+0.0123671j -0.0129432-0.0041203j -0.0153682+0.0016771j -0.00803507+0.0161815j 0.0275301+0.00240151j 0.018631-0.00943657j 0.00989737-0.0168526j 0.0142042-0.0196319j -0.00231819-0.00178859j 0.00608417-0.00636797j 0.00499769-0.000276058j 0.00890475+0.000286324j -0.00069026+0.0074058j -0.00509924+0.0100391j -0.0014394-0.0159993j -0.00161488-0.0141853j -0.00885325-0.0021622j -0.000782162-0.00355211j 0.00498605-0.00295745j -0.015665-0.00261482j 0.0119734-0.00482195j -0.00109992+0.000835442j -0.00648023-0.00622679j 0.0101048+0.00431253j 0.00534215+0.000519584j -0.00388792+0.00435124j 0.00283583-0.000272739j 0.00328261-0.000123214j 0.00373612-0.00996248j -0.00146836-0.00164885j 0.00162793+0.00274998j -0.00170559+0.00219066j 0.000272039-0.00567322j 
-0.00829013-0.0021959j 0.00614824-0.0135768j 0.0132806-0.00637037j -0.00486548+0.0137621j 0.00549992-0.000425068j 0.00206758+0.00424057j 0.00276565+0.00445643j -0.00693515-0.00224721j 0.000228257-0.000461496j -0.00180018+0.0022039j -0.00285202+0.0110534j -0.0115402+0.000622333j -0.00584988+0.00487325j 0.00400645-0.00267229j 0.0046503+0.00166369j 0.00381637+0.00354697j -0.00403675+0.00027027j 0.00691263-0.0125867j -0.00184144-0.00859104j -0.0056728-0.00387388j -0.00262069-0.00932682j -0.00552018-0.00524392j -0.00992445-0.00678911j 0.00676695+0.0112451j -0.014678+0.00367512j -0.00121603+0.00833449j 0.00131714-0.0123272j -0.0102655+0.0008368j 0.00289592-0.000112975j 0.00207235-0.000361371j -0.0028331-0.00164453j 0.00319692+0.000502183j -0.00528503+0.00511885j -0.00455686-0.00165894j 0.000925371+0.00228149j 0.00824763-0.000466385j -0.000584507-0.00462413j 0.000328804+0.00587655j -0.00916129+0.000303192j 0.00143934+0.00225382j 0.00733768-0.00228576j 0.00348338-0.00722367j 0.00743589+0.00274952j -0.00709291-0.00418225j -0.00837332-0.00458292j 0.00114957-0.00423276j 0.00984507+0.00260302j 0.0117395-0.00802711j 0.0107381+0.0029733j 0.0172657-0.0056142j 0.0311212+0.015996j -0.0187001-0.00429278j -0.0166933+0.00128878j -0.00796245-0.0055628j -0.00300821-0.0217245j -0.0253439-0.0218381j -0.00913185+0.00509069j 0.0131381-0.004531j -0.0121796-0.0016941j -0.021991+0.0217468j 0.0247717-0.0182429j -0.0423407-0.00826404j 0.0245131+0.0146596j 0.0112993-0.014048j -0.030545+0.0117224j -0.0022265+0.0181458j 0.0278004+0.0107405j 0.00788371-0.0012356j 0.0248891-0.0123681j -0.00828483-0.0024441j -0.00237643-0.00336589j 0.00408298-0.00187777j 0.0106657+0.0135064j -0.00196224+0.00854641j -0.00325878+0.00723744j 0.00802486-0.000582796j -0.00118988-0.0104804j 0.00330035-0.00794864j -0.00102062+0.00119019j -0.00565063-0.0148475j -0.0101918+0.00153476j -0.00440119+0.00450571j 0.0077129+0.0110116j -0.00458744-0.00666239j -0.00100333-0.00780578j 0.00309451-0.00120616j 0.00585579-0.00379968j -0.00241388+0.00519913j -0.0103582-0.00645969j -0.00156494+0.00213564j 0.000950034-0.00363797j 0.000189549-0.00751346j -0.00251349-0.000940452j -0.00236839+0.00359192j -0.00148957+0.000224541j 0.000310441+0.00593776j -0.0032953+0.00395925j 
-0.0114885+0.00945419j 0.000199291-0.0200811j 0.0159801-0.0120872j -0.00350262+0.00801097j 0.0124514+0.00448562j -0.0124958+0.0236015j -0.00602237-0.0124897j 0.00118619-0.00326361j 0.00483808+0.0037805j -0.00166989-0.00324718j 0.00581508-0.00592965j 0.00234728+0.00419893j -0.00312461+0.00786168j 0.0136098-0.00721382j -0.000937132-0.0034941j 0.00954638+0.00214805j 0.00013258+0.00277319j 0.0149041-0.0175873j 0.000786962-0.012889j -0.000320302-0.00216307j 0.0117104-0.0063431j -0.00545182-0.00424401j -0.00731966+0.000871989j 0.00366804-0.0162108j -0.00362962-0.00509128j 0.0159509+0.00446423j -0.000938981+0.0048686j 0.000276596+0.000677056j -0.0027236+0.00461067j 0.00163609-0.0112212j 0.00472727-0.00231791j -0.00159224+0.00820085j 0.00864171-0.00485696j 0.00372962+0.00183006j -0.00545497-0.00228387j -0.00208397+0.00207219j 0.00299396+0.00130749j 0.00554561-0.00350582j 0.00364315-0.00206103j 0.0006108+0.00307127j 0.0025678-0.00116528j 0.00174315-0.00581652j 0.00889307-0.00710475j -0.000892039+0.00609528j 0.00210556+0.00198948j 0.0029208-0.0119967j 0.00100963+0.00459125j -0.00489655-0.00226768j -0.00649173-0.000808366j -0.00481048-0.00751326j 0.00106891+0.00401006j -0.0068894-0.00142702j -0.00406816-0.000219345j 0.0103578+0.00308294j -0.000753314-0.00795028j 0.00115668+0.00223595j -0.00750297-0.0135528j -0.0244283+0.00244714j -0.00136598+0.00607333j 0.0146119-0.0229081j 0.00265594+0.0156473j 0.0188027+0.0221125j -0.00431694-0.0108297j -0.0283681-0.0212138j 0.016224-0.00532827j -0.00721302-0.00826254j -0.0201035+0.00506236j -0.0133112-0.00554348j -0.00442571-0.00478724j 0.0030716-0.00684327j -0.0102513+0.00738351j -0.00589318-0.00777956j 0.0122346-0.00340003j 0.0110854-0.0133962j -0.00923421+0.000869341j 0.00605622-0.0140035j 0.0118011-0.00803848j -0.00685125-0.00249593j 0.0026491+0.00287854j 0.0102009-0.00692121j -0.00735899+0.013107j 0.00662078+0.0076692j -0.00643383-0.00633769j 0.00185242-0.00536375j 0.00289869-0.00211329j -0.000275305-0.000238917j -0.00552186-0.000997144j -0.00272076-0.0062996j -0.00262426+0.00812708j -0.00128038-0.00356666j 0.00566625-0.00553265j -0.000707514+0.00231897j 0.00110872+0.00177868j -0.00589538+0.00398894j -0.00149349-8.63396e-06j 0.000842173-0.00283005j 0.00251765+0.00186858j 
0.00301603-0.000529036j 0.00102968+0.00191574j 0.000908673-0.00151281j -0.000300529+0.013509j 0.00255063-0.00692238j 0.00248522-0.00574257j -0.00795161+0.00256605j 0.00111432-0.0103034j 0.00789555-0.00317535j 0.0015309+0.0071692j -0.00926828-0.00846417j -0.00319639+0.00114408j -0.00148574-0.00412596j 0.00348868-0.0040877j -0.00120976-0.002058j 0.00652721-0.00892173j 0.0112604+0.0051781j 0.00716774+0.0151151j 0.010882+0.00357087j 0.000114921+0.00126923j 0.0109287+0.00438929j 0.00748572-0.0210377j -0.00702521-0.0121508j 0.0110952+0.00716506j -0.016401+0.011282j -0.011894-0.0165219j -0.00431166+0.0187796j 0.00902659+0.0164841j 0.00512762+0.00529378j 0.00976566+0.0112812j 0.00895103+0.00269841j -0.000120218+0.00327886j -0.00552235-0.00119608j -0.000479953-0.00879616j 0.00437555-0.00601761j -0.0158776-0.00217953j -1.65093e-05+0.00181471j 0.0171034-0.0157395j 0.00803392-0.000444299j 0.00611807-0.0102073j -0.0147458+0.0029817j 0.0047749+0.0169775j -0.00264032-0.000356916j -0.00211579+0.00384804j -0.0131225+0.0162184j -0.00500858+0.00597713j 0.00429437+0.0151376j 0.0143697+0.0139152j 0.00433813+0.00642718j 0.00176622-0.00247563j 0.0196086+0.00792111j 0.0105551+0.0336503j 0.00988086-0.0228303j -0.0344433+0.0215187j -0.0178131-0.00827433j 0.00187197-0.0287962j 0.0148083-0.00129557j -0.0066066-0.0214634j 0.000229907-0.0160713j -0.00782209+0.0232969j -0.00666859-0.0289383j 0.00291043-0.0021824j -0.01036+0.000654497j 0.0056467+0.00582668j -0.00715149+0.0062222j 0.0131657-0.003398j -0.0112588-0.0210321j -0.0145563+0.0109546j -0.0173201+0.00614818j -0.000208567-0.00266676j 0.00859427-0.0182343j -0.00682967+0.0169344j 0.00132181+0.000129068j -0.00449053+0.0139228j 0.00668088-0.00743678j -0.00835774+0.00912569j 0.00453267-8.21934e-06j -0.0128099+0.00160976j -0.00408879+0.00897819j 0.00523614-0.00140477j -0.00920341-0.00480768j 0.00654345-0.00139999j 0.00717445+0.00756103j 0.000448652-0.00442396j 0.0134614+0.000799184j -0.00429946+0.00114333j 0.00129064-0.00447528j -0.00795447+0.0120631j -0.00313448-0.00683077j -0.00623346-0.000471005j -0.00709289-0.00509111j 0.00687066+0.00234002j -0.000115775-0.0134624j 0.00511686-0.00151375j -0.0101719+0.00245005j 0.000166507-0.00615581j 0.00629146+0.00231306j 
0.000838546-0.0122691j 0.0138706-0.00790462j -0.0130144+0.00396506j -0.00106979+0.00383638j -0.0121009+0.000387679j 0.00727976+0.00740799j -0.00649274+0.0103484j 0.0026026-0.000284327j -0.0116254-0.00335388j -0.00389687+0.0029211j -0.00179821-0.000162903j 0.00548823+0.00770428j -0.00678642-0.00299423j 0.000314165-0.00171481j 0.00191742-0.000186516j -0.00894453-0.00894131j -0.00264484-0.000627118j 0.00484101+0.000140183j 0.00416633+0.00432829j -0.00397752-0.00817475j -0.0158817-0.0019185j -0.00426736+0.0101248j 0.00134033-0.0147213j 0.0168232+0.00896687j -0.00390531+0.00988581j -0.0187824+0.0115202j -0.00932162-0.00205908j 0.00206099+0.00246821j 4.76285e-07+0.00629019j -0.00403286-0.0145177j 0.00291744+0.00110198j 0.00873256+0.00215732j 0.00169254-0.000266733j -0.000623679-0.00905846j -0.0107788-0.00271529j -0.0057459+0.00782278j 0.00875427-0.00519679j 0.0152796+0.00441828j 0.00254533-0.00347204j -0.00677379-0.00507837j -0.00926713+0.00792372j 0.00491486-0.0048273j 0.0195081+0.0129779j -0.000512591+0.0027463j 0.0210815+0.012825j 0.00131407+0.0044133j 0.00885733-0.00972289j 0.00236442-0.019441j 0.0161194-0.00852359j 0.00823699-0.00792503j 0.0504337+0.0119928j 0.00919934-0.0103406j -0.00675605-0.00977792j 0.000322722-0.0278263j -0.016214+0.00504684j 0.0270962-0.0138286j -0.00434419-0.022964j -0.0201368-0.013905j 0.0210464-0.00510436j -0.00394588+0.0117753j 0.0380969+0.00480591j -0.00186522+0.00764401j 0.00899584-0.0144521j -0.00538827-0.00604324j -0.0173442-0.00256018j -0.0194279-2.63187e-05j -0.0064005+0.00324692j 5.53268e-05-0.0153247j 0.0206102-0.0105288j 0.0269049-0.0274651j -0.0216352+0.0131304j 0.00445378-0.00140329j 0.0189448-0.00509785j 0.0130706-0.000418113j -0.0158313-0.0017197j 0.0242501-0.0211677j 0.0160128-0.0206744j -0.0133564+0.00936094j 0.0115814-0.011367j -0.00777319-0.00766439j -0.0157558-0.000854821j -0.0132121+0.00110322j 0.00682115-0.0141345j -0.0189527-0.0247253j -0.00555963+0.00123219j 0.000602184-0.00219329j -0.00796155+0.000448017j 0.00412586+0.00117494j 0.00799275-0.00588484j -0.00716157+0.00114928j 0.0239278+0.00109222j 0.00273027-0.000617641j 0.00266263-0.00424101j -0.00831331-0.00073434j 0.00140858-0.00471523j -0.00446142+0.021586j 0.00188234-0.00485727j 
