0.27959-0j -0.38102-0j 0.778403-0j -0.321304-0j 0.21088-0j 0.0740904-0j -0.0766355-0j 0.0621267-0j -0.0874416-0j -0.329973-0j -0.0713958-0j 0.145858-0j -0.0491582-0j 0.0279412-0j -0.0460858-0j -0.0772882-0j 0.136879-0j -0.00829076-0j 
0.0810263-0j -0.0354743-0j -0.015942-0j -0.0299145-0j 0.0611139-0j 0.0214717-0j -0.00713504-0j 0.0180045-0j -0.00814112-0j -0.0307216-0j -0.0066472-0j -0.00298723-0j -0.0045768-0j 0.00809748-0j -0.00429075-0j -0.0071958-0j -0.0304976-0j -0.000771899-0j 
-0.0102405-0j 0.0356877-0j -0.00915942-0j -0.0105764-0j -0.0077239-0j 0.0792107-0j -0.00252262-0j -0.188995-0j 0.0840156-0j -0.0108617-0j -0.195193-0j 0.0500972-0j 0.0472321-0j 0.0298722-0j 0.0442801-0j 0.07426-0j 0.0280052-0j 0.00796592-0j 
-0.0209209-0j 0.00915942-0j 0.00411621-0j 0.0077239-0j -0.0157795-0j 0.161823-0j 0.00184226-0j 0.135693-0j -0.0613563-0j 0.00793229-0j -0.0500972-0j -0.0225135-0j -0.0344935-0j 0.0610274-0j -0.0323376-0j -0.0542318-0j -0.229848-0j -0.00581749-0j 
-0.0178376-0j 0.0605942-0j 0.0442518-0j -0.0761401-0j -0.0210978-0j 0.0131107-0j 0.0770106-0j -0.00396362-0j 0.013906-0j -0.0189196-0j -0.0169188-0j -0.0123557-0j -0.00441995-0j 0.0206936-0j -0.00264242-0j -0.00443147-0j -0.00167121-0j -0.00983886-0j 
0.0143913-0j 0.0105101-0j -0.0214717-0j -0.0165384-0j -0.00581697-0j -0.0537514-0j 0.00211393-0j 0.0241541-0j -0.0339962-0j 0.00910205-0j -0.0277578-0j 0.0567077-0j 0.0356635-0j 0.0108632-0j 0.0847866-0j -0.0300487-0j 0.0532169-0j -0.00322334-0j 
0.0105101-0j -0.00207277-0j 0.000531987-0j -0.00962626-0j -0.0145087-0j -0.0022215-0j -0.00962353-0j 0.0936625-0j -0.00235626-0j 0.0111477-0j -0.0857856-0j 0.0220173-0j 0.0428409-0j 0.0410613-0j -0.0219445-0j -0.036802-0j -0.0138789-0j 0.0183984-0j 
0.0214717-0j -0.000531987-0j -0.000239073-0j 0.00703003-0j -0.0296404-0j -0.00453841-0j 0.00702804-0j -0.067247-0j 0.00172077-0j -0.00814112-0j -0.0220173-0j -0.0098945-0j -0.0312866-0j 0.0838861-0j 0.016026-0j 0.0268764-0j 0.113909-0j -0.0134363-0j 
0.0165384-0j 0.00962626-0j 0.00703003-0j -0.0169714-0j -0.00454348-0j 0.0547796-0j -0.0204491-0j 0.0277578-0j -0.0311372-0j -0.00940056-0j -0.0284845-0j -0.0208021-0j -0.0250343-0j 0.0515959-0j -0.0875672-0j 0.0310341-0j 0.0117037-0j 0.0545289-0j 
-0.00581697-0j -0.0145087-0j 0.0296404-0j 0.00454348-0j -0.0153199-0j -0.0397642-0j -0.0161501-0j 0.0182181-0j 0.0469298-0j 0.0068652-0j -0.0142297-0j 0.0290706-0j -0.0503346-0j 0.0128487-0j -0.0135143-0j -0.0226641-0j 0.0401387-0j 0.089074-0j 
-0.00320081-0j 7.93039e-05-0j 3.56389e-05-0j -0.00104797-0j 0.00441854-0j 0.00212564-0j -0.00104768-0j 0.0314963-0j -0.000805951-0j 0.00121361-0j 0.0103122-0j 0.00463425-0j 0.0146536-0j -0.0392895-0j -0.00750603-0j -0.012588-0j -0.053351-0j 0.00629312-0j 
-0.0024654-0j -0.001435-0j -0.00104797-0j 0.00252994-0j 0.000677302-0j -0.0256569-0j 0.00304837-0j -0.0130008-0j 0.0145836-0j 0.00140135-0j 0.0133412-0j 0.00974302-0j 0.0117252-0j -0.0241658-0j 0.0410135-0j -0.0145354-0j -0.00548163-0j -0.0255395-0j 
-0.00910205-0j -0.0111477-0j -0.00814112-0j -0.00940056-0j -0.0068652-0j 0.0339962-0j -0.00224216-0j 0.0285067-0j -0.13836-0j 0.0370441-0j 0.0294416-0j 0.0215011-0j 0.0202714-0j 0.0128208-0j 0.0190045-0j 0.0318714-0j 0.0120195-0j 0.00341887-0j 
0.000867142-0j 0.00216282-0j -0.00441854-0j -0.000677302-0j 0.00228376-0j 0.0186242-0j 0.00240752-0j -0.00853277-0j -0.0219804-0j -0.0010234-0j 0.00666472-0j -0.0136157-0j 0.0235751-0j -0.0060179-0j 0.00632964-0j 0.0106151-0j -0.0187996-0j -0.0417193-0j 
-0.00214532-0j -0.00156676-0j 0.00320081-0j 0.0024654-0j 0.000867142-0j 0.0251754-0j -0.000315126-0j -0.011313-0j 0.0159227-0j -0.00135685-0j 0.0130008-0j -0.02656-0j -0.0167036-0j -0.00508796-0j -0.0397112-0j 0.0140738-0j -0.024925-0j 0.00150971-0j 
-0.00156676-0j 0.00030899-0j -7.93039e-05-0j 0.001435-0j 0.00216282-0j 0.00104048-0j 0.00143459-0j -0.0438684-0j 0.00110359-0j -0.0016618-0j 0.0401791-0j -0.0103122-0j -0.0200652-0j -0.0192318-0j 0.010278-0j 0.0172368-0j 0.00650041-0j -0.0086172-0j 
-0.00211393-0j 0.00962353-0j 0.00702804-0j -0.0204491-0j 0.0161501-0j -0.0293481-0j -0.019388-0j 0.00662062-0j -0.0311284-0j -0.00224216-0j 0.0640445-0j 0.0467715-0j -0.0476878-0j -0.0521858-0j 0.00441374-0j 0.00740207-0j 0.0027915-0j 0.0952064-0j 
-0.0455091-0j -0.033236-0j 0.0678994-0j 0.052299-0j 0.0183949-0j -0.0120598-0j -0.00668484-0j 0.00541925-0j -0.00762745-0j -0.0287832-0j -0.00622779-0j 0.012723-0j 0.00800152-0j 0.00243729-0j 0.0190229-0j -0.00674178-0j 0.0119398-0j -0.000723195-0j 
-0.033236-0j 0.00655468-0j -0.00168229-0j 0.0304409-0j 0.0458804-0j -0.00049842-0j 0.0304323-0j 0.0210143-0j -0.000528655-0j -0.0352521-0j -0.019247-0j 0.00493984-0j 0.00961186-0j 0.00921259-0j -0.0049235-0j -0.00825696-0j -0.00311389-0j 0.0041279-0j 
-0.0678994-0j 0.00168229-0j 0.000756015-0j -0.0222309-0j 0.0937313-0j -0.00101825-0j -0.0222246-0j -0.0150877-0j 0.000386075-0j 0.0257445-0j -0.00493984-0j -0.00221995-0j -0.00701951-0j 0.0188208-0j 0.00359561-0j 0.00603003-0j 0.0255567-0j -0.00301459-0j 
-0.052299-0j -0.0304409-0j -0.0222309-0j 0.0536682-0j 0.0143678-0j 0.0122904-0j 0.0646658-0j 0.00622779-0j -0.00698599-0j 0.0297272-0j -0.00639083-0j -0.0046672-0j -0.00561674-0j 0.0115761-0j -0.0196467-0j 0.00696288-0j 0.00262587-0j 0.0122342-0j 
0.0183949-0j 0.0458804-0j -0.0937313-0j -0.0143678-0j 0.0484458-0j -0.00892158-0j 0.0510712-0j 0.00408745-0j 0.0105293-0j -0.0217097-0j -0.0031926-0j 0.00652232-0j -0.0112932-0j 0.00288276-0j -0.00303209-0j -0.00508497-0j 0.00900559-0j 0.0199848-0j 
0.0287832-0j 0.0352521-0j 0.0257445-0j 0.0297272-0j 0.0217097-0j 0.00762745-0j 0.00709035-0j 0.00639581-0j -0.0310426-0j -0.117144-0j 0.00660556-0j 0.00482402-0j 0.00454813-0j 0.00287649-0j 0.00426387-0j 0.00715073-0j 0.00269671-0j 0.000767064-0j 
0.00135685-0j 0.0016618-0j 0.00121361-0j 0.00140135-0j 0.0010234-0j -0.0159227-0j 0.000334242-0j -0.0133516-0j 0.0648031-0j -0.0055222-0j -0.0137894-0j -0.0100704-0j -0.00949445-0j -0.00600482-0j -0.00890105-0j -0.0149275-0j -0.00562952-0j -0.00160129-0j 
0.000315126-0j -0.00143459-0j -0.00104768-0j 0.00304837-0j -0.00240752-0j 0.0137457-0j 0.00289019-0j -0.00310088-0j 0.0145795-0j 0.000334242-0j -0.0299963-0j -0.0219062-0j 0.0223354-0j 0.0244421-0j -0.00206725-0j -0.00346688-0j -0.00130744-0j -0.0445915-0j 
0.00668484-0j -0.0304323-0j -0.0222246-0j 0.0646658-0j -0.0510712-0j -0.00658459-0j 0.0613102-0j 0.00148541-0j -0.00698402-0j 0.00709035-0j 0.0143691-0j 0.0104937-0j -0.0106993-0j -0.0117085-0j 0.000990276-0j 0.00166074-0j 0.000626305-0j 0.0213607-0j 
