0.170326-0.0304118j -0.0445023-0.138962j -0.00123041+0.03977j -0.0355343+0.113737j -0.164408-0.0866528j -0.0805393+0.235092j -0.058205-0.0533294j 0.314132-0.0225361j 0.0269284-0.0846893j 0.0261036+0.138738j -0.112755+0.2782j 0.258154-0.144391j 0.0185339+0.207251j 0.0898822-0.0680438j 0.167867+0.118371j -0.139623-0.170874j -0.0764671+0.0359639j -0.135838-0.146663j -0.1924-0.261977j -0.0946356+0.0370352j -0.161736+0.0896607j -0.0153193-0.113083j 
0.027273+0.0050524j 0.00873086-0.00878774j 0.0123546-0.0350563j 0.00242227+0.027477j 0.0229456-0.0389372j -0.0166691+0.0111561j 0.0149245+0.00174614j 0.00656782+0.00937356j -0.00614206-0.00226188j 0.00984991+0.00271312j -0.0187446+0.00181171j -0.00142313-0.0340738j 0.0405074-0.00939737j 0.0163347+0.0152596j -0.00742859+0.0133315j -0.0386284-0.00976734j 0.0122838+0.012553j -0.0149083-0.012391j -0.00389268+0.014368j 0.0323027+0.0323893j -0.0219512-0.0123132j 0.0422263-0.00761543j 
-0.000472994-0.00486069j 0.0016228+0.00395957j 0.00893188-0.00336043j -0.0164752+0.00726745j -0.0168332+0.00666396j -0.0161314+0.0168276j -0.030065+0.0181297j 0.00445352+0.023367j 0.00291393-0.0229443j -0.00794962+0.00198016j -0.00283437-0.00470391j 0.00151103-0.015968j 0.0113709-0.00752686j -0.0199334-0.0091888j -0.00161016+0.00475104j 0.0212516+0.0202671j 0.0219556-0.0229312j 0.00459375-0.0155994j -0.00662704+0.00656017j -0.0204299-0.00859682j -0.000597363+0.0102683j -0.0148812-0.00805461j 
-0.00792134-0.00138551j 0.00481466+0.000642892j -0.000587778-0.0146452j 0.0276023+0.0134173j 0.0214728+0.0078185j -0.0238286-0.0132555j 0.0121086+0.0198609j 0.000573786+0.00792532j -0.000490677-0.0144922j -0.0107446-0.0178276j 0.00180297-0.00714566j -0.00559135+0.00394536j 0.0137062-0.0102083j -0.0247+0.012197j -0.000863645+0.0023999j 0.023946-0.00237848j 0.0116764+0.00471321j -0.0241598+0.0148737j -0.0168632+0.00783885j 0.00965905-0.0100703j 0.00267308-0.0122004j 0.0113415-0.00661806j 
-0.00823332+0.000737231j -0.00493665+0.0117851j 0.0189273+0.0241682j 0.0058184+0.000304153j -0.0275857-0.00572293j -0.0109898-0.00345898j 0.0325181-0.0188566j 0.0232372-0.0311708j 0.00270637-0.0135529j -0.00374614-0.0283782j -0.00325413-0.00790725j 0.00765914+0.00509145j -0.00384336+0.000259887j -0.0241144-0.00941879j 0.0142605+0.00926788j 0.014766-0.00481779j 0.00254552-0.00863176j 0.0260022+0.0084037j -0.000653929-0.0357159j -0.0192773+0.017594j -0.00359418+0.0171882j -0.0253306+0.00633649j 
-9.68318e-05+0.00339454j 0.00195683-0.000364517j -0.0046816+0.00215999j -0.0180179+0.000171126j 0.00182087-0.000785577j 0.0186845-0.000258526j -0.0166208+0.0137574j -0.0134893+0.0188664j 0.0092987+0.0132659j 0.00702298+0.0123631j 0.00515994-0.0136988j -0.00964124-0.00191234j 0.00634815-0.0160311j 0.00424677-0.00399675j -0.0158582-0.00487317j -0.000898586+0.0150253j -0.00329302-0.00549667j 0.0054363-0.00857671j 0.00711923+0.0214196j 0.000691914-0.00416403j 0.00575024-0.00245303j 0.00247142+0.00396113j 
-0.00837459+0.0127533j -0.0123211+0.0127948j -0.00469232+0.0576274j 0.0250894-0.0084384j 0.0141555+0.012233j -0.0258296+0.0210668j -0.0184908-0.0181847j -0.000542821-0.0135996j 0.0139794-0.0128775j -0.0201128-0.0121658j 0.00912959-0.00590904j -0.0280586+0.0299525j -0.0108111-0.0174103j -0.0135806-0.0125301j -0.0051386-0.0155384j 0.0158617+0.00964459j 0.0124242-0.0110505j 0.00213706-0.0236027j 0.000418267+0.0101099j -0.0302072-0.00125766j 0.000846034+0.0195017j -0.0157991+0.0113587j 
0.00400938-0.00437015j -0.0116994-0.0206218j -0.00525999-0.0333793j 0.00278948-0.00238326j 0.000128134+0.00145196j -0.00171642+0.00544829j 0.0059855+0.0303984j -0.0039754+0.0162144j 0.024383+0.0131906j 0.0167084+0.00728973j -0.00193451+0.0233358j 0.0166831-0.0218169j -0.0102541-0.00901697j 0.0200028+0.0161579j 0.0151317-0.0250541j -0.0171642-0.020534j 0.013319+0.00582598j -0.00322889-0.00785901j -0.000729297-0.0137083j 0.00228994+0.00349301j -0.00899731-0.00457321j 0.0102232+0.000603716j 
0.0112152-0.00658955j -0.0172893-0.00406185j 0.0367013+0.0225118j 0.0305242-0.0214733j 0.00128108-0.0152472j -0.00894011-0.00127447j -0.0154713+0.0210101j -0.0120804+0.0154984j 0.0186255+0.021203j 0.00975285-0.0404437j -0.0037731+0.0269012j -0.00416308-0.000117613j -0.0291062-0.00424021j -0.00890471-0.00105007j -6.2352e-05-0.0140986j -0.0204329+0.00318485j -0.00544225-0.00635145j 0.00761678-0.00959348j 0.00350881-0.00351554j -0.0103119-0.000429989j 0.00460498+0.00559076j -0.00513118+0.00160031j 
0.014001-0.0117876j 0.00195081-0.00358883j 0.0169443+0.0200981j 0.00259179+0.0105736j -0.0226576-0.00730456j -0.00525783+0.00862036j -0.0219861-0.00982843j 0.0129112-0.00930366j -0.0128076+0.00372054j -0.00058402-0.0120547j -0.011977+0.0258607j 0.00624151+0.00366483j -0.00449584+0.0293678j -0.0107277-0.0112954j 0.00302669+0.0354357j -0.00759485+0.00340464j -0.0194035+0.00437081j 0.0050501-0.00447329j -0.00543441-0.0156486j -0.00409314-0.00699137j -0.00237015+0.00690309j -0.0131921-0.0116307j 
0.004423-0.0129917j -0.0116339-0.00565035j 0.0101882-0.00325864j -0.00482744-0.0083493j -0.0135183+0.00359095j -0.0169841-0.0027695j -0.00975771+0.00870512j 0.00523521-5.5432e-05j 0.0132027+0.00479496j 0.012152-0.00747008j 0.00213871+0.0265848j 0.00608689-0.00607461j -0.0213501+0.00973061j 0.000566239+0.00385158j -0.00121908+0.00404011j -0.0132099-0.00607785j -0.00424185-0.00609671j 0.0015425-0.00277931j 0.00287075-0.00729832j -0.0022636+0.00112801j -0.0010602+0.00493223j -0.0038413-0.000686176j 
-0.00995884-0.00260965j -9.13203e-05+0.0175512j 0.0217338+0.0378838j -0.0038822-0.0159187j -0.0185696+0.00130313j -0.0125899-0.00694433j -0.0113331-0.0181212j 0.00644059-0.0131578j -0.00891937-0.00204837j -0.0095747-0.0150557j 0.00650699-0.0137129j -0.00765666+0.0143378j -0.00605155+0.00128838j -0.0284934-0.016132j 0.000123799+0.0150282j 0.0198885+0.0208151j -0.00796401-0.0168612j 0.0189852+0.00438696j 0.0085004+0.00307602j -0.0209933-0.00272809j 0.00959402+0.0153492j -0.0282328+0.00580381j 
