-6.88773e-15-0.0144506j -1.51731e-15-0.0410662j 1.11238e-16+0.0280313j -9.61754e-17+0.00172809j -2.61456e-17-0.004719j -9.14198e-17-0.0139738j -2.46386e-17-0.00352988j -4.36433e-18-0.000119992j 5.05588e-18-0.00650691j 5.09645e-17+0.0257139j -2.15238e-17+0.0151003j 3.67303e-17+0.0211546j -1.29335e-17+0.00813478j 3.81071e-17-0.00157929j 2.24009e-16+0.00229497j -2.64364e-16-0.0224048j -2.89258e-16+0.00502555j -2.16649e-16+0.0157198j 9.20459e-17+0.00138915j 8.55437e-17-0.0366749j 7.26782e-17-0.0181577j 3.57245e-17+0.00478105j 4.70389e-17-0.0164183j 9.64368e-19-0.00354619j -7.7366e-17-0.000746648j -3.93619e-17-0.00310861j 1.59506e-16-0.0222723j -6.85427e-16-0.0163244j -1.08947e-15-0.0250997j -6.86291e-17-0.014457j 3.70117e-16-0.02911j 1.4022e-16-0.0113339j -1.29562e-17+0.00453918j -4.61409e-17+0.00950299j 3.05453e-17-0.000485272j -3.23258e-17+0.0209459j 4.55818e-17-0.00703874j 2.11107e-16+0.0101446j 4.45291e-16-0.0212457j 1.05431e-17+0.00145745j 1.93697e-16+0.0142905j 1.25604e-16+0.00618164j -6.63664e-17+0.00384134j 2.51974e-17+0.018812j 4.7938e-17-0.0072912j 7.49899e-17-0.00673243j -4.69153e-17+0.00646817j -8.4684e-18-0.00571245j -1.12806e-17+0.00915902j 1.12207e-18-0.00507336j -1.8497e-17-0.00796048j -1.8547e-17-0.0166828j 1.19828e-16+0.0357157j 8.86577e-17-0.00413466j 2.69497e-15-0.0122763j -1.24494e-14-0.0339159j 
-3.62454e-14-0.113299j -7.86938e-15-0.0446194j -2.32837e-17-0.0291306j 2.69914e-17-0.001293j 3.35013e-17+0.030788j -1.99864e-16-0.0254458j 3.43293e-17-0.0215461j 2.96395e-16-0.11121j 1.15417e-16-0.0123389j 8.48608e-17+0.0529597j -1.50444e-16+0.0244387j -4.71475e-18+0.00442479j 1.02103e-18-0.0440283j 6.36227e-17+0.0653907j 9.87561e-16+0.00945614j -7.61452e-16-0.0802033j -9.76013e-16+0.0150475j 6.22896e-16-0.0363873j -3.84655e-16+0.0305162j 1.62377e-16-0.116487j -5.97337e-16+0.10305j -6.51845e-16+0.00212028j 2.28601e-16-0.0625402j 2.12648e-16+0.0889144j 1.43935e-16+0.0229304j -5.18088e-16+0.0205915j 1.47227e-16-0.0583849j -6.47912e-16+0.00266435j -8.17659e-16-0.0405785j 1.028e-16-0.018373j -8.43269e-16+0.0365157j -4.67426e-16-0.005873j -1.88267e-16-0.0470702j 2.41094e-17-0.0119916j 5.63589e-17+0.0256153j -3.98022e-16+0.0206613j -1.08008e-15-0.0938736j 2.0784e-17+0.0252914j 1.6316e-15-0.0591519j 1.51378e-16+0.00565402j 1.29452e-15+0.074311j 7.9868e-16+0.0672003j 2.71324e-16-0.0372885j 2.44841e-16+0.0310805j 2.00284e-16+0.0290945j 2.48649e-16-0.0639391j -5.74067e-17-0.00604503j -2.52538e-16+0.084721j -1.73943e-16+0.0204151j 1.54035e-17+0.00268742j 1.14237e-16+0.0174205j -6.02476e-17+0.034559j 8.8805e-17+0.0291991j 1.36831e-16-0.0182201j 9.53343e-15+0.0549589j -4.36759e-14-0.0977664j 
1.49529e-14+0.0198506j 3.36291e-15+0.143552j -8.51333e-16-0.15522j 7.52945e-16+0.0234196j 8.08034e-17+0.0154854j 6.71474e-17+0.010257j 7.33691e-17-0.00849086j -4.38747e-17-0.0363297j -5.68465e-17-0.0149608j -1.93504e-16-0.106626j 4.9196e-17-0.061407j -1.7649e-16-0.0958253j 5.61736e-17-0.0425394j 5.25572e-17+0.0566413j -6.01192e-16-0.004794j 8.78983e-16+0.0743862j 1.70247e-15-0.0312453j 1.0067e-15-0.0777039j -4.62656e-16+0.0019315j -3.65169e-16+0.105995j -6.61303e-16+0.12803j -1.00054e-15+0.0224369j -1.06405e-16+0.0288663j 9.33302e-17+0.0493209j 4.03624e-16+0.034375j 1.92976e-17+0.07744j -4.22874e-16+0.0666737j 2.36594e-15+0.0576646j 3.7768e-15+0.0814543j 3.51403e-16+0.049572j -2.25916e-15+0.172786j -1.02521e-15+0.0191217j -1.86802e-16-0.00717152j 1.05733e-16-0.0530988j -6.31292e-17+0.0493188j -3.01854e-16-0.0283615j -4.39488e-16+0.00580702j -5.80337e-16-0.0371223j -8.70692e-16+0.0507058j 1.31741e-16-0.018947j -3.76342e-16-0.045113j -3.0791e-16-0.00611864j 4.25909e-16-0.0566474j 2.73336e-17-0.0523307j -1.13188e-16+0.0150261j -1.54638e-16+0.0221872j 1.47467e-16+0.00670048j 1.13913e-16+0.0723555j 4.46523e-17-0.0139943j -4.04744e-17+0.0338653j 9.77726e-17+0.0658103j 1.57011e-16+0.0748921j -7.45224e-16-0.15136j -6.14297e-16-0.0378096j -7.01829e-15+0.0487334j 3.26947e-14+0.0927537j 
2.27016e-14+0.0673434j 5.0092e-15+0.0405638j 5.92527e-16+0.0350227j -5.84532e-16-0.0384908j -7.2915e-17-0.0449533j 9.58133e-16+0.0847068j 2.21883e-16+0.0399143j 1.52745e-16+0.0717564j 1.50232e-16+0.00175005j -1.43065e-16-0.0402511j 3.87872e-16+0.0495287j 1.63185e-17+0.00953897j 3.91558e-18+0.0154223j -6.6375e-16-0.0852095j -1.88531e-16+0.00960597j 7.1372e-17+0.0269107j -4.89902e-16+0.0147415j -6.04393e-16+0.0364783j 1.50072e-17-0.0738514j 3.14328e-16+0.108692j 9.50561e-18-0.0400229j 3.8034e-16+0.00392078j 3.02285e-17+0.075856j -9.37785e-16-0.11857j -4.17838e-16-0.067549j -1.19648e-16-0.0330309j -2.50547e-17+0.0764881j 1.3384e-15+0.0123302j 2.10521e-15+0.0656946j -4.0097e-18+0.0378961j 2.09167e-16-0.0267094j 5.81224e-16+0.027039j 2.42064e-16+0.0266203j 8.82893e-17-0.006063j -3.80745e-16-0.0352937j -5.62674e-18+0.0168131j 7.71373e-16+0.0528037j -8.2142e-16+0.025488j -2.43191e-15+0.0827978j -1.45315e-16+0.021781j -8.26511e-16-0.0218237j -5.29186e-16-0.0594373j 6.19753e-17+0.0427881j -3.18272e-16-0.0424681j 1.32318e-16-0.0167409j -1.40235e-16-0.00749079j -3.70331e-16-0.0619968j -3.22865e-16-0.0672796j -6.5768e-18+0.0195759j -2.02689e-17-0.00455208j -3.28646e-16-0.0553415j -7.23881e-17-0.0128901j 1.11444e-16-0.0224003j 4.37803e-16+0.0472703j -5.74365e-15-0.00810192j 2.67339e-14+0.0647338j 
-2.02595e-14-0.0695749j -4.26193e-15+0.00403703j 8.51456e-17-0.0122126j -2.93536e-16-0.0476816j -1.06917e-16-0.0115098j 8.27548e-16+0.0844817j 1.79893e-16+0.0144576j 6.30723e-17-0.0699001j -2.1466e-17-0.0154664j 6.37983e-18+0.0583616j 3.45222e-16+0.0775916j -9.89767e-17-0.00256524j -1.8424e-16-0.0263304j -1.0198e-16+0.0116152j 1.3496e-15+0.0343838j -1.13457e-15-0.0671182j -1.62101e-15+0.033794j 2.13281e-16-0.0444028j -4.78373e-16-0.055295j 2.04295e-16-0.0412698j 1.98021e-16+0.0740738j 2.56652e-16-0.0593013j 3.03911e-17+0.00696752j -3.75447e-16-0.023174j -1.98536e-16-0.0272436j 1.50749e-16-0.0124037j 1.34884e-16+0.0242757j 1.30044e-15+0.0228538j 1.98959e-15+0.0411635j 6.28396e-17+0.0383861j -5.15535e-16+0.0187097j -1.52251e-16+0.0876782j 1.97986e-16-0.0244857j -9.58411e-17-0.0256957j -3.33251e-16-0.0253653j 5.41189e-17+0.0261388j -1.40205e-15-0.0774697j -6.07067e-16-0.00240169j 1.25243e-16+0.0199737j -2.87319e-16+0.0531725j 1.33279e-15+0.089121j 1.03801e-15+0.0352724j -8.53132e-18-0.00105948j 9.449e-17+0.016076j 2.67788e-16+0.0621328j -1.46905e-16-0.0945207j -4.7979e-16-0.0778103j -1.37427e-16+0.0194165j 2.89405e-17+0.0672779j 1.45693e-16-0.011225j -6.08868e-17-0.0545015j 7.11388e-17+0.0409773j -7.0844e-17-0.0114259j 1.52646e-16+0.0368283j 5.02931e-15+0.0733365j -2.24017e-14-0.0404222j 
-2.06573e-15-0.00451635j -3.7004e-16-0.0106261j 2.01498e-17+0.0282454j -3.49848e-16-0.00987261j -1.2161e-16+0.00524091j -8.87272e-17-0.00139117j -1.44732e-16+0.0307457j 3.07563e-16+0.00101041j -3.59195e-16+0.0375515j -5.43801e-17-0.0759609j -5.01219e-17+0.00144872j -2.68018e-16+0.0914941j 2.90965e-16-0.077917j -3.24139e-17-0.0403794j 4.23896e-16+0.0241938j -3.32094e-16-0.0376331j -2.04196e-15+0.0307305j 7.43492e-16+0.00952969j -1.41515e-15+0.118722j 2.61149e-16-0.00129771j -1.04725e-17-0.0321565j -8.01898e-17+0.0442152j 1.16963e-16+0.0205002j -4.08456e-16+0.00624824j 8.59737e-16-0.114242j -3.38314e-16-0.0486508j -2.01909e-16-0.0140912j -2.84507e-16+0.010421j 1.77394e-16-0.00480353j 4.15515e-16-0.000693201j 1.63445e-15-0.0267786j 1.26775e-15-0.124206j -5.16579e-17+0.0117281j 8.71079e-17-0.0194591j 6.42807e-16-0.0996774j 1.2009e-15-0.0466823j -9.30028e-17-0.0495379j -4.42177e-16+0.0654226j 7.74391e-16-0.0438343j 2.66608e-16-0.0306566j -3.85116e-16-0.0224017j -6.94826e-16-0.012396j 5.31667e-16-0.0386062j 4.38498e-16-0.0692382j 1.57743e-16-0.0619232j -2.82224e-16+0.0380566j 6.52817e-16-0.0962226j -2.95273e-16+0.00255979j 2.51412e-16-0.017097j -8.95143e-17+0.0262937j 6.68311e-17+0.0168762j -4.11194e-17-0.0265212j -4.31616e-17+0.0210917j 1.00063e-16+0.0105638j 1.58556e-15+0.00728179j -7.06241e-15-0.0160996j 
-1.22755e-14-0.0362366j -2.98617e-15-0.0247956j 9.24296e-16+0.0113767j -6.52797e-17-0.0915752j 1.55115e-15-0.104675j -1.29037e-15+0.0120457j -6.46633e-16+0.0201679j -4.00048e-16+0.123885j 1.57603e-15-0.161903j 1.15899e-15-0.091255j -1.87088e-15+0.150422j -7.42761e-16-0.0220626j 6.15332e-16+0.036357j 4.34104e-16-0.079006j -1.21661e-16+0.0440504j -3.18256e-16-0.0130014j 9.48787e-16-0.0258448j -2.41689e-15+0.0444176j 2.27182e-15-0.261766j -1.34243e-15+0.0823379j -2.19074e-15+0.0354004j -3.26462e-15+0.186051j -1.48609e-15+0.0742411j 1.0447e-15-0.232723j 1.60508e-15+0.0351849j -1.29452e-15+0.0582228j -1.30311e-15+0.140568j 2.28869e-15-0.00160828j 1.49761e-15+0.134224j -1.44105e-15+0.110592j -1.40556e-15+0.0200342j 5.62002e-16-0.0379208j -7.02949e-16+0.161397j 1.03424e-15-0.0809756j 1.81632e-16+0.146273j -4.20023e-15+0.254853j -1.42634e-16+0.00721031j -3.75262e-15+0.0556309j -5.05121e-15+0.131184j -6.06432e-16+0.0184635j -6.98853e-16+0.0431414j 1.06405e-15-0.110223j 4.8541e-16+0.0128212j 8.00727e-16+0.013221j 1.6122e-15-0.0608096j 1.56993e-15-0.0475482j 1.4008e-15-0.0343011j -1.31956e-16-0.0525666j -2.04581e-15+0.140977j -5.76367e-16+0.0297989j 5.32198e-16+0.0205984j -3.55664e-17-0.0727714j 8.39904e-16-0.0119972j 3.7754e-16-0.00125617j 6.20643e-15+0.0224917j -2.95606e-14-0.0697725j 
-1.21061e-14-0.0302444j -2.2966e-15-0.0498802j -1.25452e-16+0.0559299j -7.04812e-16-0.0476687j -1.78879e-15+0.0711542j 8.30341e-16-0.145892j 6.69551e-16-0.0554868j -2.32689e-16+0.108344j -1.4052e-15-0.00704133j -1.60038e-15+0.0728496j 2.34548e-15-0.0963095j 7.39275e-16-0.0921346j -9.13573e-16+0.118818j -9.20331e-16+0.02212j -2.63387e-16-0.0534586j 2.72295e-16+0.0643655j 5.22532e-15-0.0890705j -5.50586e-16-0.00461656j -4.1265e-16-0.097355j 1.42499e-15-0.0662589j 2.37222e-15-0.118338j 2.48222e-15-0.0145371j 1.08695e-15-0.0384191j -1.98218e-15+0.0284992j -2.95701e-15+0.260371j 1.89919e-15-0.0651414j 2.09826e-15-0.0167532j -5.55629e-17-0.0323629j -2.52966e-16-0.0202309j 6.69415e-16+0.000391766j 3.03563e-15-0.125252j -3.88924e-16+0.0298238j 1.68661e-15+0.0456496j -1.35384e-15+0.0373868j 2.19469e-16+0.160044j 2.60586e-15-0.0437227j -6.72087e-16+0.0285564j 2.50526e-15-0.13092j 2.2404e-15+0.0257787j 3.38321e-16-0.0155631j 4.96912e-16+0.00453346j -6.75053e-16-0.0105085j -1.41802e-15+0.0775588j -1.30873e-15+0.104561j -1.75015e-15+0.0707026j -1.06209e-15+0.0597731j -2.49049e-15+0.182724j 6.11405e-16-0.0677851j 2.20643e-15-0.0660592j 4.7211e-16-0.0256915j -1.01351e-15+0.100255j 2.00662e-16-0.0772717j -5.87049e-16+0.075086j -1.14733e-16+0.0384417j 3.6469e-15-0.0113539j -1.53885e-14-0.040669j 
1.43814e-14+0.0443215j 3.41009e-15+0.024922j -1.13408e-15-0.109494j 7.97387e-16+0.0882982j 3.45851e-16-0.0148859j -1.40265e-15-0.142361j -2.46716e-16-0.0598733j -1.24195e-16+0.065151j -7.52994e-17-0.0935952j -3.65793e-16-0.0611428j -4.32055e-16-0.111585j -5.06294e-16-0.0912669j 2.70506e-16+0.0617666j 4.16473e-16+0.100168j -1.34714e-15-0.0112764j 1.53746e-15+0.109278j 4.50175e-15-0.0906646j 1.68708e-16-0.0453898j -3.75144e-17-0.0175169j -1.43008e-16+0.0211637j -4.47248e-17-0.0199486j -7.59588e-16+0.0609626j 8.19705e-18-0.0328717j 6.06636e-16+0.0201673j 9.48677e-16+0.160218j 2.54782e-16+0.146898j 6.48392e-16+0.0178891j 3.79916e-16-0.0214953j -1.21676e-16+0.0118491j 6.78135e-17+0.0170239j -1.44843e-15+0.103844j -1.16646e-15-0.0257772j -2.37055e-16+0.11218j -2.24283e-16-0.0251481j 8.79991e-16+0.130949j -9.8218e-16+0.0693755j 2.96303e-16+0.0563474j 1.30979e-15-0.130186j 2.53571e-15-0.0193864j -9.50986e-17-0.0495695j -6.72545e-16-0.0735291j -6.3331e-16-0.0249766j 4.3078e-16-0.0666101j -1.28358e-16+0.0596301j -3.19797e-16-0.0275007j 1.6409e-16+0.116946j 5.18574e-16+0.165544j 6.31027e-16+0.0124586j -3.53868e-16+0.0112203j -1.42726e-16+0.0301998j 5.14901e-16+0.121861j 1.48302e-16-0.0291049j -7.99463e-16-0.0866443j -6.6831e-16-0.128242j -3.44235e-15-0.0678189j 1.68871e-14+0.027719j 
3.15506e-14+0.108056j 6.99176e-15-0.00730779j -7.28965e-17+0.0151549j 2.40216e-16+0.078835j 1.86127e-16-0.0856932j 1.41313e-15+0.118049j 1.70399e-16+0.0143333j -3.71235e-16-0.00265141j 4.35617e-16-0.00620995j 1.1899e-15+0.132182j -3.5651e-17+0.0128559j 1.78136e-16+0.0403623j 8.32181e-17+0.0597758j 5.44473e-16+0.0359423j 8.44208e-16+0.0543935j -5.59129e-16+0.0087931j -1.31095e-15+0.0390889j 1.64897e-16-0.0443165j 1.3737e-16+0.0289956j -3.91836e-16-0.0249438j 8.43242e-16-0.134969j 5.27431e-16-0.227928j 4.84447e-17+0.00765627j 3.12691e-16-0.0849625j -1.96877e-16-0.0966711j 5.06861e-16+0.0436875j 5.18938e-16+0.00720146j -1.75153e-17-0.0308843j -3.03398e-16-0.00311036j -1.73064e-16+0.00375549j -1.26327e-15-0.0236653j 8.25815e-16+0.188829j -2.61901e-16+0.0357887j -4.58109e-17+0.0295121j -2.01362e-15-0.180912j -3.16401e-16-0.00033202j -3.56349e-16+0.0262457j 1.28703e-15-0.15479j 3.55628e-15-0.0494794j -6.21462e-16+0.0734713j 9.94111e-16+0.0107246j 1.03677e-15+0.0343601j 2.17493e-16-0.0132424j 1.25164e-16+0.0686083j 5.76818e-16+0.0546779j -6.28619e-16+0.0100669j -5.18166e-16-0.0310821j -1.23515e-16-0.090479j -2.06816e-16+0.097774j -1.52522e-16-0.0419224j -5.82485e-16-0.153056j 1.85651e-16+0.0114727j -3.15371e-16-0.0492641j 1.68018e-16-0.034044j -7.61638e-15-0.0815138j 3.59104e-14+0.0715578j 
1.97592e-15-0.00498847j -3.85453e-16+0.0465229j 2.54409e-16-0.0495403j 4.65628e-16+0.0217705j -1.03294e-15+0.0474928j 1.60922e-16+0.00236907j 1.20682e-16-0.0103149j 9.10731e-16-0.0547719j -1.01133e-15+0.0509823j 7.58919e-17+0.0343561j 9.68044e-16-0.0855476j 4.19016e-16-0.0149156j 6.72025e-16-0.0265266j -3.51767e-16+0.0704135j 2.42667e-16+0.0105163j 1.19102e-16+0.0125408j 8.66751e-17-0.00146085j 2.71656e-15-0.0943991j -2.01128e-15+0.108335j 2.68809e-16-0.0472296j 1.40001e-16-0.0192761j 1.78368e-15-0.128748j 2.92869e-16-0.0178209j -9.6209e-16+0.0923303j -9.79472e-17+0.0155633j 1.09188e-15-0.0224319j 2.02501e-16-0.021817j -2.36927e-17+0.0220254j 7.24112e-16-0.000665031j 1.35361e-16+0.00732073j -4.83955e-16+0.0181002j -3.25809e-16+0.0564308j 8.11633e-16-0.027345j 7.354e-17-0.00213426j 2.2788e-16-0.0788045j 2.83667e-15-0.13076j -4.49934e-16-0.0580062j 1.70471e-15-0.111379j 3.67156e-15-0.0509495j -9.98722e-17+0.00495277j 6.00985e-16+0.00243936j -3.22924e-16+0.0562926j 5.21095e-16-0.0374419j 3.85759e-16+0.00900663j -1.21327e-15+0.0696581j -7.38078e-16+0.0359184j 3.31481e-16-0.00558635j -4.90064e-16+0.0157688j 9.15589e-16-0.0263473j -1.23372e-17-0.00405367j -5.3097e-16+0.0158297j -5.29821e-16+0.0355151j 1.79238e-16-0.0481039j -6.10138e-16+0.00249051j -3.20591e-15+0.0289545j 1.06686e-14+0.0338018j 
7.56869e-15+0.0230444j 1.73015e-15+0.00622591j 1.62793e-15+0.0432289j -1.56832e-15-0.0323419j 1.19186e-15+0.0386661j -3.54945e-15-0.107037j 9.62746e-16+0.0378653j 3.20804e-15+0.120202j 1.83123e-15+0.0593916j -6.06097e-15-0.206639j -3.3473e-15-0.10656j 4.13614e-15+0.129515j -3.17052e-15-0.107109j -2.05522e-15-0.0654716j 1.02513e-15+0.0377557j 1.96013e-16+0.0157523j -1.49794e-16-0.0122122j 1.02871e-15-0.0206623j 5.41583e-15+0.225807j 4.2177e-16+0.0226053j -5.00039e-15-0.178223j 2.2557e-15+0.100727j 1.71615e-15+0.0579198j 1.60331e-16+0.00264478j -2.13482e-15-0.0920314j -4.36147e-15-0.11572j -5.84519e-16+0.0111983j 1.09962e-15+0.0191385j 1.56606e-15+0.0342559j 1.62037e-15+0.0429363j 1.25552e-15-0.0880104j -5.66709e-15-0.280809j 3.10351e-15+0.123255j -1.28977e-15-0.0548763j -3.92808e-15-0.138394j -2.66264e-15-0.143996j -3.6889e-15-0.0802414j 1.59038e-16+0.00274759j 3.52105e-16-0.0675178j -2.4425e-15-0.0981585j -4.28891e-15-0.100336j -3.46028e-15-0.0684838j -1.41087e-15-0.0795751j -3.04104e-15-0.113955j -3.56244e-15-0.114854j 4.83472e-15+0.196391j -2.52393e-15-0.103652j -1.72364e-15-0.055746j -1.76192e-15-0.0703921j 1.59033e-15+0.0679519j 3.81614e-15+0.14391j -3.31373e-15-0.119815j 5.892e-16+0.0145794j 8.80874e-16+0.016618j 2.68006e-16-0.00410223j -6.03037e-16-0.001888j 
4.15999e-15-0.00238247j 1.99382e-15+0.0785468j 6.78699e-17-0.0188927j -1.73939e-15-0.0811408j 6.29991e-16+0.0485142j 2.67439e-16+0.0148975j -1.41176e-16-0.0133441j 1.49369e-15+0.0759258j -2.62722e-17+0.0157924j 1.6392e-15+0.089017j -1.74814e-15-0.104586j -1.344e-15-0.103693j 1.16889e-15+0.0738962j 1.20015e-15+0.0539559j 8.28454e-16+0.0261897j 1.4131e-15+0.0728117j 2.11155e-15-0.0572053j -2.02663e-15-0.161572j -1.04532e-15-0.0701974j -1.43055e-15-0.0301388j -1.74097e-15-0.145353j -2.04436e-15-0.231946j 4.55404e-16+0.0401084j -3.95599e-16-0.0279253j 2.86051e-15+0.178069j -3.02154e-16-0.100378j 1.77475e-15+0.0880875j 3.88389e-15+0.0326612j 6.05028e-15+0.119788j 2.0556e-15+0.116125j -1.03638e-15-0.0776067j 3.43589e-15+0.203016j 3.24596e-15+0.0774984j -7.84158e-16-0.0225251j -1.3658e-15-0.0227151j -1.61683e-15-0.154055j -4.80773e-15-0.0666073j -5.23622e-15-0.303143j 4.35786e-15+0.0573477j -1.49891e-16+0.0553559j 2.01083e-15+0.0438273j 1.3459e-15+0.0163418j -9.3986e-17+0.031992j 1.62879e-15+0.0867262j 2.4174e-15+0.185116j 6.3691e-16+0.0576406j 3.22885e-17+0.033778j -2.03512e-15-0.114505j 8.43884e-16+0.0144034j -3.58053e-16-0.0293592j 6.56208e-16+0.0328272j -8.22927e-16-0.0208866j -1.20945e-15-0.0716284j 1.42357e-15+0.088696j -2.32592e-15+0.0688777j 1.65953e-14+0.0552235j 
4.56239e-14+0.129442j 1.13938e-14+0.119741j -8.81548e-16-0.073418j -2.93724e-17+0.0801698j 1.73573e-15+0.0108336j 7.81785e-16+0.0451589j -2.63345e-16-0.0111491j -1.40928e-15-0.0326658j 1.30073e-15+0.0477368j 1.00415e-16-0.0509038j 7.21995e-16-0.0300889j -3.07933e-15-0.113833j 7.54913e-16+0.0387432j -1.29911e-15-0.0254656j -5.27158e-15-0.108043j 3.17653e-15+0.119544j 7.40508e-16-0.0123537j 1.02688e-15+0.103887j -2.10622e-15-0.0571503j 2.29755e-15+0.201488j 3.97404e-15+0.157449j 1.51753e-15+0.066208j -2.83401e-16+0.00793245j 2.1833e-15+0.0663583j 1.71527e-15+0.00263802j -5.25174e-16+0.0852628j -7.02871e-16-0.000597895j -3.95596e-16+0.0144988j -1.24147e-15-0.0424515j -1.52179e-15-0.0890464j -1.71244e-15+0.135688j -4.85243e-16+0.0488631j -4.91437e-15-0.158274j 1.54563e-15+0.0667269j 4.83091e-15+0.118194j -1.26224e-15-0.00386075j 6.81477e-15+0.217449j 3.4225e-15+0.130673j -3.23897e-15+0.0980907j 7.29263e-16-0.0215672j -2.0412e-15-0.112866j -1.22906e-15-0.025197j 2.38728e-15+0.0707515j -1.61099e-15-0.0748793j 6.90277e-16-0.0353415j -2.4906e-15-0.0390966j 2.22155e-15+0.107474j 2.22912e-15+0.0758718j -2.9389e-15-0.119256j -5.63132e-16-0.0152761j -1.46891e-16-0.0399284j 2.32604e-15+0.113752j 3.76728e-16-0.0694412j 1.18035e-15-0.0258213j -1.50778e-14-0.0554673j 7.47058e-14+0.172315j 
1.78375e-14+0.068781j 1.33034e-15-0.0325734j -1.67142e-15-0.0521655j 2.99268e-15+0.119508j -3.6075e-15-0.109426j -6.12609e-16-0.000489997j 3.38898e-16+0.00490447j 6.68683e-16+0.0136708j -3.63312e-15-0.0823653j 7.51312e-17-0.0214431j -4.39684e-17-0.0130632j 5.02616e-15+0.0974929j -1.46554e-15-0.0201006j 3.61242e-15+0.0763513j 6.536e-15+0.0996168j -3.25116e-15-0.00803298j 3.77563e-17+0.0165534j -2.95283e-15-0.0733631j 4.10957e-15+0.133425j -4.93939e-15-0.0485599j -5.72626e-15-0.11914j -3.36129e-15-0.0632712j 1.28218e-17-0.00501785j -3.5338e-15-0.0752626j -3.28786e-15-0.123495j 3.05103e-15+0.132905j 1.0665e-15+0.00620301j -9.93657e-16-0.0326854j 1.32552e-15+0.0111869j 3.07205e-15+0.0330998j -5.3505e-16+0.060632j -1.23703e-15-0.0201634j 7.27646e-15+0.156868j -3.18437e-15-0.0477228j -8.35215e-15-0.17013j 2.91394e-15+0.0801168j -6.49079e-15-0.04621j -4.37015e-15-0.129157j 2.71654e-16-0.128209j -2.14156e-16-0.000171702j 1.44824e-15-0.0280946j 5.90295e-16+0.0060511j -5.08458e-15-0.144992j 2.6189e-15+0.0359817j -1.27825e-15-0.0615577j 3.48998e-15+0.104358j -3.73039e-15-0.0534223j -2.15309e-15-0.0374439j 6.45781e-15+0.139187j 1.2051e-15+0.0301889j 1.99389e-17-0.0249945j -3.04068e-15-0.0432572j -2.68904e-15-0.0821343j -4.68914e-15-0.141352j -3.31145e-15-0.0931064j 5.4543e-15+0.000654839j 
4.07611e-14+0.121891j 9.1449e-15+0.0595928j 2.06939e-15+0.0682984j -1.76687e-15-0.0274802j 6.2738e-16+0.0178908j 5.24864e-16+0.0225971j 6.28012e-16+0.0316093j 1.74095e-15+0.121017j 1.43009e-15+0.0824426j -9.19476e-16-0.0653668j -5.32293e-16-0.0554151j 5.38013e-16+0.00231007j 1.16359e-16+0.0317685j -2.19591e-15-0.106408j -1.95462e-15-0.0408615j 1.93266e-15+0.0908543j 6.06329e-16-0.0111971j -3.24601e-17+0.0622057j 6.64147e-16+0.00735252j 1.18945e-15+0.137307j -1.66056e-15-0.123431j 7.90066e-16-0.00369878j 1.05369e-15+0.0729045j -8.97405e-16-0.0472278j -6.11857e-16-0.0284724j -2.42907e-15-0.102055j 1.57086e-16+0.0403063j 5.09125e-16+0.00824267j 1.06933e-15+0.0215764j 3.12601e-16-0.00498102j -5.34391e-16-0.0904366j 3.10535e-16-0.0246408j 3.69431e-16-0.00695187j 4.56601e-16+0.0378448j -8.55331e-16-0.0399955j -1.47317e-15-0.115085j 2.02988e-15+0.108718j -2.96048e-16+0.0128108j -1.66333e-15+0.0729321j -1.03256e-16-0.0210656j -2.58989e-15-0.0970345j -2.19017e-15-0.0714348j 8.68706e-16+0.0780798j -1.41141e-15-0.070698j -2.84286e-16-0.0253784j 6.51347e-16+0.0742175j -5.72069e-16-0.000485656j -1.58592e-15-0.091866j -1.16976e-15-0.099402j -1.58726e-16-0.0097947j -2.65842e-17-0.00785282j -9.4473e-16-0.034661j 9.64858e-16+0.00565548j 2.16534e-15+0.0741937j -1.13312e-14-0.0416699j 5.34239e-14+0.122387j 
