-0.0367194-0j -0.00649114-0j -0.000540929-0j -0.0319283-0j -0.00532138-0j -0.00325867-0j -0.000665172-0j -3.91957e-05-0j -0.0200667-0j -0.0202747-0j -0.00323826-0j -0.00327181-0j -0.00264402-0j -0.00267142-0j -0.000381632-0j -0.000330503-0j -0.000385587-0j -0.000333928-0j -3.89502e-05-0j -3.93538e-05-0j -1.77782e-06-0j -1.79625e-06-0j -0.0148632-0j -0.0183922-0j -0.0107288-0j -0.00235007-0j -0.00290807-0j -0.0018579-0j -0.00169637-0j -0.0012386-0j -0.000268164-0j -0.00229903-0j -0.00153269-0j -0.00030965-0j -0.0013411-0j -0.000331836-0j -0.000109478-0j -0.000894067-0j -2.58041e-05-0j -0.000193571-0j -2.73694e-05-0j -0.000383172-0j -0.000135472-0j -0.000223517-0j -3.1931e-05-0j -2.28078e-06-0j -7.90251e-05-0j -3.38679e-05-0j -1.86264e-05-0j -8.49998e-08-0j -2.82233e-06-0j -1.97563e-05-0j -1.05182e-07-0j -1.64636e-06-0j -6.13561e-08-0j 
0.00425052-0j -0.0355428-0j -0.00901092-0j -0.00359069-0j 0.0283081-0j -0.000366474-0j 0.00715184-0j 0.000847261-0j 0.00232286-0j -0.00234598-0j -0.0177313-0j 0.0179078-0j 0.000306063-0j -0.000309109-0j -0.00422349-0j -0.0018097-0j 0.00426553-0j 0.00182771-0j -0.000648841-0j 0.0006553-0j -4.94962e-05-0j 4.99889e-05-0j 0.00172051-0j -0.00206841-0j 0.00113737-0j -0.012868-0j 0.0154701-0j 0.000215064-0j -0.00850664-0j 0.000143376-0j -0.00296775-0j -0.000258552-0j -0.000172368-0j -0.00169551-0j 0.000142172-0j 0.00356786-0j 1.26728e-05-0j 9.47812e-05-0j -0.000429852-0j -0.00196189-0j -0.000302895-0j 0.00203836-0j -1.52353e-05-0j -0.00112085-0j 0.000516772-0j -5.07465e-05-0j 8.37756e-06-0j 0.000364143-0j -0.000284161-0j -2.84174e-06-0j 6.10079e-05-0j -0.000200234-0j 3.41636e-06-0j -3.35469e-05-0j -1.87858e-06-0j 
0.00490807-0j -0.0410412-0j -0.0104049-0j 6.07452e-05-0j -0.000478901-0j 6.19978e-06-0j -0.000120991-0j -1.43335e-05-0j -0.00263918-0j -0.00263285-0j 0.0201459-0j 0.0200976-0j -0.000347742-0j -0.000346909-0j 0.00479863-0j 0.00205614-0j 0.00478713-0j 0.00205121-0j 0.000737199-0j 0.000735432-0j 5.62365e-05-0j 5.61017e-05-0j -0.00396281-0j -3.44309e-05-0j -0.00280688-0j 0.0296386-0j 0.000257515-0j -0.000495351-0j 0.0209932-0j -0.000330234-0j 0.00683555-0j -4.30386e-06-0j -2.86924e-06-0j 0.00390523-0j -0.00035086-0j 5.93907e-05-0j -2.91888e-05-0j -0.000233906-0j 0.000990067-0j 0.00484166-0j 0.000697651-0j 3.39306e-05-0j -2.53607e-07-0j 0.00276609-0j 8.6022e-06-0j 0.000116883-0j -2.06746e-05-0j 6.06154e-06-0j 0.000701269-0j 6.5453e-06-0j 1.01554e-06-0j 0.000494149-0j 5.68689e-08-0j 8.27889e-05-0j 4.63607e-06-0j 
0.00173527-0j -0.0145103-0j -0.00367869-0j 0.00150885-0j -0.0118954-0j 0.000153996-0j -0.00300528-0j -0.000356028-0j -0.00469587-0j 0.000958129-0j 0.0358455-0j -0.0073138-0j -0.000618736-0j 0.000126245-0j 0.00853818-0j 0.00365847-0j -0.0017421-0j -0.000746461-0j 0.00131169-0j -0.000267633-0j 0.000100061-0j -2.04162e-05-0j 0.000702395-0j -0.00430402-0j 0.000507016-0j -0.00525335-0j 0.0321906-0j 8.77994e-05-0j -0.00379207-0j 5.85329e-05-0j -0.00121158-0j -0.000538003-0j -0.000358668-0j -0.000692189-0j 6.3377e-05-0j 0.00742412-0j 5.17363e-06-0j 4.22513e-05-0j -0.000175486-0j -0.000874564-0j -0.000123656-0j 0.00424148-0j -3.17021e-05-0j -0.000499649-0j 0.00107532-0j -2.07172e-05-0j 3.73452e-06-0j 0.000757721-0j -0.000126673-0j -1.16013e-06-0j 0.000126947-0j -8.92599e-05-0j 7.10887e-06-0j -1.49544e-05-0j -8.37429e-07-0j 
-0.00286304-0j 0.0239407-0j 0.00606953-0j 0.00487264-0j -0.0384147-0j 0.000497312-0j -0.00970519-0j -0.00114975-0j -0.00156462-0j -0.00144775-0j 0.0119434-0j 0.0110512-0j -0.000206157-0j -0.000190757-0j 0.00284484-0j 0.00121897-0j 0.00263234-0j 0.00112791-0j 0.000437044-0j 0.000404398-0j 3.33394e-05-0j 3.08491e-05-0j 0.00231164-0j 0.00280688-0j -0.00323898-0j -0.0172892-0j -0.0209932-0j 0.000288955-0j 0.024225-0j 0.000192637-0j -0.0039874-0j 0.00035086-0j 0.000233906-0j -0.00227805-0j -0.000404873-0j -0.00484166-0j 1.70268e-05-0j -0.000269915-0j -0.000577539-0j 0.00558701-0j -0.000406963-0j -0.00276609-0j 2.06746e-05-0j 0.00319192-0j -0.000701269-0j -6.81819e-05-0j -2.38574e-05-0j -0.000494149-0j 0.000809226-0j -3.81809e-06-0j -8.27889e-05-0j 0.000570221-0j -4.63607e-06-0j 9.55339e-05-0j 5.34977e-06-0j 
-0.00303672-0j 0.025393-0j 0.00643771-0j 0.00256531-0j -0.0202243-0j 0.000261821-0j -0.00510952-0j -0.000605312-0j 0.00492534-0j 0.00167605-0j -0.0375972-0j -0.012794-0j 0.000648971-0j 0.000220838-0j -0.00895541-0j -0.00383725-0j -0.00304744-0j -0.00130578-0j -0.00137579-0j -0.000468169-0j -0.000104951-0j -3.57138e-05-0j -0.00122919-0j -0.00438583-0j -0.00081258-0j 0.00919336-0j 0.0328024-0j -0.000153649-0j 0.00607744-0j -0.000102433-0j 0.00212026-0j -0.000548229-0j -0.000365486-0j 0.00121133-0j -0.000101572-0j 0.00756523-0j -9.05385e-06-0j -6.7715e-05-0j 0.000307101-0j 0.00140164-0j 0.000216399-0j 0.0043221-0j -3.23047e-05-0j 0.000800773-0j 0.00109575-0j 3.6255e-05-0j -5.98522e-06-0j 0.000772123-0j 0.000203015-0j 2.03023e-06-0j 0.00012936-0j 0.000143054-0j 7.244e-06-0j 2.39671e-05-0j 1.34212e-06-0j 
0.00177142-0j -0.0148126-0j -0.00375533-0j -0.00453315-0j 0.0357382-0j -0.000462663-0j 0.009029-0j 0.00106964-0j -0.000952529-0j 0.00467008-0j 0.00727105-0j -0.0356486-0j -0.000125507-0j 0.000615337-0j 0.00173192-0j 0.000742099-0j -0.00849128-0j -0.00363837-0j 0.000266069-0j -0.00130449-0j 2.02968e-05-0j -9.95117e-05-0j 0.000717028-0j 0.00256943-0j 0.000602245-0j -0.00536279-0j -0.0192172-0j 8.96286e-05-0j -0.0045043-0j 5.97524e-05-0j -0.00123682-0j 0.000321178-0j 0.000214119-0j -0.00070661-0j 7.52806e-05-0j -0.00443207-0j 5.28141e-06-0j 5.01871e-05-0j -0.000179142-0j -0.00103883-0j -0.000126232-0j -0.00253209-0j 1.89256e-05-0j -0.000593494-0j -0.000641945-0j -2.11488e-05-0j 4.43595e-06-0j -0.000452346-0j -0.000150465-0j -1.1843e-06-0j -7.57853e-05-0j -0.000106025-0j -4.24388e-06-0j -1.77632e-05-0j -9.94717e-07-0j 
-0.000462118-0j 0.00386422-0j 0.000979671-0j 0.00197479-0j -0.0155687-0j 0.000201551-0j -0.00393332-0j -0.000465971-0j -0.000252542-0j -0.00467524-0j 0.00192776-0j 0.035688-0j -3.32753e-05-0j -0.000616017-0j 0.000459179-0j 0.000196751-0j 0.00850066-0j 0.00364239-0j 7.05423e-05-0j 0.00130593-0j 5.38125e-06-0j 9.96216e-05-0j -0.000187055-0j 0.00113757-0j 0.00597289-0j 0.00139902-0j -0.00850812-0j -2.33818e-05-0j -0.0446724-0j -1.55879e-05-0j 0.000322655-0j 0.000142197-0j 9.47977e-05-0j 0.000184337-0j 0.000746611-0j -0.00196223-0j -1.37779e-06-0j 0.000497741-0j 4.67336e-05-0j -0.0103028-0j 3.29309e-05-0j -0.00112104-0j 8.37901e-06-0j -0.0058861-0j -0.000284211-0j 5.51718e-06-0j 4.39945e-05-0j -0.000200269-0j -0.00149226-0j 3.08955e-07-0j -3.35527e-05-0j -0.00105152-0j -1.87891e-06-0j -0.000176171-0j -9.86531e-06-0j 
0.0031278-0j -0.0531988-0j 4.60769e-05-0j 0.00271968-0j 0.000453281-0j -0.0536911-0j -0.00545149-0j 3.33873e-06-0j 0.00170931-0j 0.00172702-0j 0.000275838-0j 0.000278696-0j -0.0216694-0j -0.0218939-0j 3.25078e-05-0j -0.0054455-0j 3.28447e-05-0j -0.00550193-0j -0.00031922-0j -0.000322528-0j 1.51437e-07-0j 1.53006e-07-0j 0.00126606-0j 0.00156667-0j 0.000913891-0j 0.000200182-0j 0.000247712-0j -0.0152266-0j 0.000144499-0j 0.000105505-0j 2.28425e-05-0j -0.0188419-0j 0.000130556-0j -0.00253777-0j -0.0109911-0j 2.82662e-05-0j -0.00271036-0j 7.61576e-05-0j 2.19802e-06-0j 1.64886e-05-0j -0.000450949-0j -0.00314032-0j -0.0033539-0j -0.00183186-0j 2.71991e-06-0j -1.86924e-05-0j -0.00195644-0j -0.000558021-0j 1.58662e-06-0j 7.24037e-09-0j -2.31307e-05-0j -0.000325512-0j 8.9595e-09-0j -1.34929e-05-0j 5.22638e-09-0j 
-0.000451459-0j 0.00763-0j -0.09118-0j -0.000392552-0j 0.006255-0j -4.00647e-05-0j -0.0365897-0j -0.0133064-0j -0.000246717-0j -0.000249274-0j 0.0038064-0j 0.00384584-0j -3.25078e-05-0j -3.28447e-05-0j -0.0209927-0j 0.000388489-0j -0.0212103-0j 0.000392515-0j -0.00656552-0j -0.00663355-0j -0.00100942-0j -0.00101988-0j -0.00018274-0j -0.000226129-0j -0.000131909-0j 0.00276239-0j 0.00341828-0j -2.28425e-05-0j 0.001994-0j -1.52283e-05-0j -0.0147511-0j -2.82662e-05-0j -1.88441e-05-0j 0.000363977-0j -1.64886e-05-0j -0.0182536-0j -1.34601e-06-0j -1.09924e-05-0j -0.0043496-0j -0.0106479-0j -0.00150553-0j 0.000450398-0j -1.6656e-06-0j 0.000262732-0j -0.00538235-0j -0.000774297-0j -9.716e-07-0j -0.001863-0j -0.0031397-0j -7.25431e-05-0j -0.000958144-0j -0.00108675-0j -8.97675e-05-0j -0.000558917-0j -5.23644e-05-0j 
-0.00341342-0j 0.0580568-0j -5.02844e-05-0j -4.22465e-05-0j -7.04109e-06-0j 0.000834016-0j 8.46814e-05-0j -5.18625e-08-0j -0.00186539-0j 0.00183107-0j -0.000301027-0j 0.000295488-0j 0.0236482-0j -0.023213-0j -3.54763e-05-0j 0.00594276-0j 3.48236e-05-0j -0.00583342-0j 0.00034837-0j -0.00034196-0j -1.65266e-07-0j 1.62225e-07-0j -0.00138167-0j -2.43361e-05-0j 0.0019521-0j -0.000218462-0j -3.84787e-06-0j 0.016617-0j 0.000308654-0j -0.000115139-0j -2.49284e-05-0j 0.000292684-0j -2.028e-06-0j 0.00276951-0j -0.0234774-0j -4.39076e-07-0j 0.00295786-0j 0.000162675-0j -2.39874e-06-0j 3.52202e-05-0j 0.000492128-0j 4.87806e-05-0j 5.20981e-05-0j -0.0039129-0j -4.22501e-08-0j 2.03993e-05-0j -0.00417902-0j 8.66809e-06-0j 3.38906e-06-0j -7.90154e-09-0j 3.59303e-07-0j -0.000695305-0j -1.39173e-10-0j -2.88213e-05-0j 1.11637e-08-0j 
0.000492685-0j -0.00832674-0j 0.0995063-0j 6.09776e-06-0j -9.71628e-05-0j 6.2235e-07-0j 0.00056837-0j 0.000206697-0j 0.000269246-0j -0.000264292-0j -0.00415399-0j 0.00407755-0j 3.54763e-05-0j -3.48236e-05-0j 0.0229097-0j -0.000423965-0j -0.0224882-0j 0.000416164-0j 0.00716506-0j -0.00703322-0j 0.0011016-0j -0.00108133-0j 0.000199427-0j 3.51261e-06-0j -0.000281762-0j -0.00301464-0j -5.30983e-05-0j 2.49284e-05-0j 0.00425925-0j 1.66189e-05-0j 0.0160982-0j 4.39076e-07-0j 2.92717e-07-0j -0.000397214-0j -3.52202e-05-0j 0.000283544-0j 1.46892e-06-0j -2.34801e-05-0j 0.00474679-0j -0.0227443-0j 0.00164301-0j -6.99631e-06-0j 2.58728e-08-0j 0.000561205-0j 8.36074e-05-0j 0.000845003-0j -2.07537e-06-0j 2.89391e-05-0j -0.00670651-0j 7.91675e-05-0j 1.48834e-05-0j -0.00232133-0j 1.39441e-06-0j -0.00119387-0j -0.000111852-0j 
-0.00264402-0j 0.0449706-0j -3.89502e-05-0j -0.00229903-0j -0.000383172-0j 0.0453867-0j 0.00460831-0j -2.82233e-06-0j 0.00142175-0j -0.0014599-0j 0.000229434-0j -0.000235591-0j -0.0180239-0j 0.0185076-0j 2.7039e-05-0j -0.0045294-0j -2.77646e-05-0j 0.00465095-0j -0.000265518-0j 0.000272643-0j 1.25961e-07-0j -1.29341e-07-0j -0.00107024-0j 0.00130311-0j -0.00077254-0j -0.00016922-0j 0.00020604-0j 0.0128715-0j -0.000122149-0j -8.91866e-05-0j -1.93095e-05-0j -0.0156722-0j 0.000108592-0j 0.00214525-0j 0.00929114-0j 2.3511e-05-0j 0.00229115-0j -6.43783e-05-0j -1.85805e-06-0j -1.39383e-05-0j 0.000381201-0j -0.00261203-0j -0.00278967-0j 0.00154852-0j 2.26234e-06-0j 1.58013e-05-0j 0.00165384-0j -0.000464145-0j -1.34121e-06-0j -6.12051e-09-0j -1.92394e-05-0j 0.000275165-0j 7.45225e-09-0j 1.1406e-05-0j -4.41801e-09-0j 
0.00267142-0j -0.0454366-0j 3.93538e-05-0j -0.00225673-0j -0.000376122-0j 0.0445516-0j 0.00452352-0j -2.7704e-06-0j 0.0014599-0j -0.00147443-0j 0.000235591-0j -0.000237935-0j -0.0185076-0j 0.0186918-0j 2.77646e-05-0j -0.00465095-0j -2.8041e-05-0j 0.00469724-0j -0.000272643-0j 0.000275357-0j 1.29341e-07-0j -1.30628e-07-0j 0.00108133-0j -0.00129999-0j 0.000714834-0j 0.000170973-0j -0.000205546-0j -0.0130049-0j 0.000113025-0j 9.01109e-05-0j 1.95096e-05-0j 0.0156346-0j -0.000108332-0j -0.00216748-0j -0.00859712-0j -2.34546e-05-0j -0.00231489-0j 5.95695e-05-0j 1.87731e-06-0j 1.28972e-05-0j -0.000385151-0j 0.00260577-0j 0.00278298-0j -0.00143285-0j -2.25692e-06-0j -1.5965e-05-0j -0.0015303-0j 0.000463033-0j 1.24103e-06-0j 6.18393e-09-0j 1.91933e-05-0j -0.000254611-0j -7.43438e-09-0j -1.0554e-05-0j 4.088e-09-0j 
0.000381632-0j -0.00644987-0j 0.0770772-0j 0.000331836-0j -0.00528754-0j 3.38679e-05-0j 0.0309303-0j 0.0112483-0j -0.000205212-0j 0.000210719-0j 0.00316605-0j -0.00325101-0j -2.7039e-05-0j 2.77646e-05-0j -0.0174611-0j 0.000323134-0j 0.0179297-0j -0.000331805-0j -0.005461-0j 0.00560754-0j -0.000839604-0j 0.000862135-0j 0.000154476-0j -0.000188088-0j 0.000111507-0j -0.00233513-0j 0.00284323-0j 1.93095e-05-0j -0.00168559-0j 1.2873e-05-0j 0.0124696-0j -2.3511e-05-0j -1.5674e-05-0j -0.000307681-0j 1.39383e-05-0j -0.0151828-0j 1.13782e-06-0j 9.29221e-06-0j 0.00367684-0j 0.00900102-0j 0.00127267-0j 0.000374628-0j -1.3854e-06-0j -0.000222096-0j -0.00447688-0j 0.000654537-0j 8.21323e-07-0j -0.00154959-0j 0.00265409-0j 6.13229e-05-0j -0.000796955-0j 0.000918662-0j -7.4666e-05-0j 0.00047247-0j 4.42652e-05-0j 
