0.0145932-0j -0.100038-0j -0.0145004-0j -0.0146507-0j -0.101102-0j -0.102149-0j 0.69306-0j -0.00182621-0j 0.560077-0j 0.404285-0j 0.000861436-0j -0.0014758-0j -0.00106529-0j 0.116-0j 0.1015-0j 0.000696145-0j 0.000502504-0j -0.00477213-0j -0.00417562-0j 0.0418665-0j -0.0119499-0j -0.0104561-0j -0.000124976-0j -0.00014283-0j -0.0040904-0j -0.00292232-0j 0.0994284-0j 0.0710351-0j -0.00172235-0j 0.000605312-0j 0.000529648-0j -0.000122425-0j -0.00431293-0j -5.15499e-05-0j -0.0102427-0j 0.000518839-0j 0.000370676-0j -0.00731777-0j -8.74649e-05-0j 0.000218469-0j 
0.000857974-0j -0.0118873-0j -0.0392556-0j 0.040309-0j -6.07884e-05-0j 6.24196e-05-0j 0.000842228-0j -0.0100648-0j -0.000691719-0j -0.000499309-0j 0.00726277-0j 0.00826618-0j 0.00596684-0j 0.00331714-0j -0.00285594-0j -0.00596489-0j -0.00430569-0j 0.0826441-0j -0.0711536-0j 0.00119722-0j 3.63218e-06-0j -3.12718e-06-0j -0.00103861-0j 0.00120633-0j 0.0708378-0j -0.150203-0j 0.00284326-0j -0.0060288-0j 0.0298278-0j 3.55879e-05-0j -3.06399e-05-0j 0.001034-0j 1.31092e-06-0j 0.000435388-0j 3.1133e-06-0j 3.0504e-05-0j -6.46801e-05-0j -6.60138e-06-0j -0.00219247-0j 1.28444e-05-0j 
-0.000866866-0j -0.0116686-0j -0.040309-0j 0.0407102-0j -6.24196e-05-0j 6.30409e-05-0j -0.000840209-0j 0.0100407-0j 0.000698887-0j 0.000462012-0j -0.00724537-0j -0.00835184-0j -0.00552114-0j 0.0032561-0j 0.00293139-0j 0.00602671-0j 0.00398407-0j 0.0811234-0j 0.0730333-0j -0.00577559-0j 3.56535e-06-0j 3.20979e-06-0j 0.00106605-0j 0.00118414-0j -0.0715719-0j -0.0511334-0j -0.00287273-0j -0.00205237-0j -0.143894-0j 3.49331e-05-0j 3.14494e-05-0j -0.00104471-0j -6.32411e-06-0j -0.00210039-0j -3.14556e-06-0j -3.08201e-05-0j -2.20189e-05-0j -2.2473e-06-0j -0.000746379-0j -6.19634e-05-0j 
-0.00594422-0j -0.000861436-0j 6.07884e-05-0j -6.24196e-05-0j -0.0405209-0j 0.0416083-0j -0.00587229-0j 5.08614e-06-0j 0.00482289-0j 0.00348135-0j -0.050318-0j -4.17723e-06-0j -3.01528e-06-0j 0.00049422-0j -0.000425506-0j 0.041326-0j 0.0298307-0j 0.00598896-0j -0.00515628-0j 0.000178373-0j 0.00486751-0j -0.00419075-0j 2.60598e-07-0j -3.02682e-07-0j 0.00513339-0j -0.0108848-0j 0.000423617-0j -0.000898231-0j 0.00216153-0j -0.000246561-0j 0.00021228-0j -2.59441e-07-0j 0.00175678-0j -1.09244e-07-0j 0.00417215-0j -0.000211338-0j 0.000448117-0j -0.00884656-0j 5.50115e-07-0j -8.89884e-05-0j 
0.00600582-0j -0.000845586-0j 6.24196e-05-0j -6.30409e-05-0j -0.0416083-0j 0.0420224-0j 0.00585821-0j -5.07394e-06-0j -0.00487287-0j -0.0032213-0j 0.0501974-0j 4.22051e-06-0j 2.79005e-06-0j 0.000485127-0j 0.000436747-0j -0.0417542-0j -0.0276024-0j 0.00587876-0j 0.0052925-0j -0.000860504-0j 0.00477795-0j 0.00430147-0j -2.67483e-07-0j -2.97112e-07-0j -0.00518659-0j -0.00370548-0j -0.000428007-0j -0.000305783-0j -0.0104276-0j -0.000242024-0j -0.000217888-0j 2.6213e-07-0j -0.008475-0j 5.2701e-07-0j -0.00421539-0j 0.000213528-0j 0.000152552-0j -0.00301162-0j 1.87275e-07-0j 0.000429295-0j 
8.84741e-05-0j 0.00179261-0j 0.0126067-0j -0.0127322-0j -0.000612948-0j 0.000619049-0j -0.0124192-0j 0.0474351-0j 0.0103303-0j 0.00682903-0j -5.07394e-06-0j -0.0394566-0j -0.0260835-0j 0.0979797-0j 0.0882086-0j 4.22051e-06-0j 2.79005e-06-0j 8.55135e-05-0j 7.69856e-05-0j -0.173794-0j 7.03859e-05-0j 6.33666e-05-0j 0.0103289-0j 0.0114731-0j -7.5445e-05-0j -5.39005e-05-0j -0.0864435-0j -0.0617582-0j -0.000151681-0j -3.56535e-06-0j -3.20979e-06-0j -0.0101222-0j -0.000124849-0j -0.0203507-0j -6.20986e-05-0j 3.14556e-06-0j 2.2473e-06-0j -4.43654e-05-0j -0.00723168-0j 6.32411e-06-0j 
-0.00728015-0j 0.049906-0j -0.00711782-0j 0.00730883-0j 0.000515806-0j -0.000529648-0j -0.00353589-0j -0.000896432-0j 0.00290402-0j 0.00209623-0j 0.000422853-0j 0.000736237-0j 0.000531444-0j 0.000601463-0j -0.000517838-0j -0.000347288-0j -0.000250686-0j 0.00238069-0j -0.00204969-0j 0.000217079-0j -3.08201e-05-0j 2.6535e-05-0j -6.1347e-05-0j 7.12538e-05-0j 0.00204059-0j -0.00432683-0j 0.00051554-0j -0.00109314-0j 0.000859236-0j 0.0591526-0j -0.0509283-0j 6.10747e-05-0j -1.11235e-05-0j 2.57169e-05-0j -2.64172e-05-0j 0.0507022-0j -0.107508-0j 5.60146e-05-0j -0.000129502-0j 0.0213493-0j 
0.0073556-0j 0.0489878-0j -0.00730883-0j 0.00738158-0j 0.000529648-0j -0.00053492-0j 0.00352742-0j 0.000894283-0j -0.00293411-0j -0.00193965-0j -0.00042184-0j -0.000743866-0j -0.000491747-0j 0.000590396-0j 0.000531518-0j 0.000350887-0j 0.00023196-0j 0.00233688-0j 0.00210384-0j -0.00104723-0j -3.0253e-05-0j -2.7236e-05-0j 6.29677e-05-0j 6.99428e-05-0j -0.00206174-0j -0.00147298-0j -0.000520882-0j -0.000372136-0j -0.0041451-0j 0.0580642-0j 0.0522737-0j -6.17076e-05-0j 5.36619e-05-0j -0.000124062-0j 2.6691e-05-0j -0.0512277-0j -0.0365988-0j 1.90689e-05-0j -4.4086e-05-0j -0.102993-0j 
3.99685e-06-0j -0.000139311-0j -0.00188757-0j 0.00193823-0j -2.83181e-07-0j 2.9078e-07-0j 9.8703e-06-0j 0.0226482-0j -8.10644e-06-0j -5.85154e-06-0j -2.32149e-07-0j -0.0186009-0j -0.0134268-0j 0.000159502-0j -0.000137325-0j 1.90663e-07-0j 1.37628e-07-0j -6.64559e-06-0j 5.72161e-06-0j 5.75673e-05-0j 1.69204e-08-0j -1.45679e-08-0j -0.10977-0j 0.127497-0j -5.69622e-06-0j 1.20782e-05-0j 0.000136716-0j -0.00028989-0j -2.39852e-06-0j 1.65786e-07-0j -1.42735e-07-0j 0.109283-0j 6.1069e-09-0j 0.046016-0j 1.45032e-08-0j 1.42102e-07-0j -3.0131e-07-0j -3.07524e-08-0j -0.231721-0j 5.98352e-08-0j 
-4.03827e-06-0j -0.000136747-0j -0.00193823-0j 0.00195752-0j -2.9078e-07-0j 2.93674e-07-0j -9.84664e-06-0j -0.0225939-0j 8.19045e-06-0j 5.41445e-06-0j 2.31593e-07-0j 0.0187937-0j 0.0124239-0j 0.000156567-0j 0.000140953-0j -1.92639e-07-0j -1.27348e-07-0j -6.52331e-06-0j -5.87277e-06-0j -0.000277714-0j 1.66091e-08-0j 1.49527e-08-0j 0.11267-0j 0.125151-0j 5.75525e-06-0j 4.11175e-06-0j -0.000138133-0j -9.86868e-05-0j 1.15709e-05-0j 1.62735e-07-0j 1.46506e-07-0j -0.110415-0j -2.94607e-08-0j -0.221989-0j -1.46535e-08-0j -1.43574e-07-0j -1.02575e-07-0j -1.0469e-08-0j -0.0788845-0j -2.88655e-07-0j 
0.0451135-0j 0.00653784-0j -0.000461351-0j 0.000473732-0j -0.00319634-0j 0.00328211-0j -0.000463213-0j -3.86011e-05-0j 0.000380435-0j 0.000274613-0j -0.00262033-0j 3.17029e-05-0j 2.28844e-05-0j 3.89846e-05-0j -3.35644e-05-0j 0.00215207-0j 0.00155344-0j 0.000311877-0j -0.000268515-0j 1.40703e-05-0j 0.000190985-0j -0.000164431-0j -1.9778e-06-0j 2.29719e-06-0j 0.000267323-0j -0.000566828-0j 3.34154e-05-0j -7.08535e-05-0j 0.000112562-0j 0.00187126-0j -0.00161109-0j 1.96902e-06-0j 6.89301e-05-0j 8.291e-07-0j 0.000163701-0j 0.00160394-0j -0.00340097-0j -0.00034711-0j -4.17508e-06-0j 0.000675374-0j 
-0.045581-0j 0.00641754-0j -0.000473732-0j 0.000478447-0j -0.00328211-0j 0.00331478-0j 0.000462102-0j 3.85085e-05-0j -0.000384377-0j -0.0002541-0j 0.00261405-0j -3.20315e-05-0j -2.1175e-05-0j 3.82673e-05-0j 3.44511e-05-0j -0.00217437-0j -0.00143741-0j 0.000306139-0j 0.000275609-0j -6.78775e-05-0j 0.000187471-0j 0.000168775-0j 2.03005e-06-0j 2.25492e-06-0j -0.000270094-0j -0.000192964-0j -3.37617e-05-0j -2.41205e-05-0j -0.00054302-0j 0.00183683-0j 0.00165365-0j -1.98943e-06-0j -0.000332531-0j -3.99972e-06-0j -0.000165398-0j -0.00162056-0j -0.00115778-0j -0.000118166-0j -1.42131e-06-0j -0.00325812-0j 
